human_rights_un_wal_ezwa_64kb_0001	DÉCLARÅCION UNIVERSÈLE DÈS DREÛTS D’L’OME
human_rights_un_wal_ezwa_64kb_0033	Turtos ont dreût a ’ne minme prôtècsion po n’nin èssemètous so-l’costé d’ine manîre qu’îreût disconte li prézinte Dèclaråcion, minsossu disconte to çou qu’pôreût miner a garanti onk èt nin l’ôte ou a tote sôrt dipréférince.
human_rights_un_wal_ezwa_64kb_0034	Artike ûtinme (8)
human_rights_un_wal_ezwa_64kb_0035	Chaskeun’ a l’dreût d’s’aler plinde èt d’èsse ètindou po d’bon dè-l’justicecompétinte di s’payis, di tot çou qu’sèreût fêt po mète a må lès mêsses dreûtsqu’lî sont rik’nohous dè-l’constitucion ou bin dès lwès.
human_rights_un_wal_ezwa_64kb_0036	Artike noûvinme (9)
human_rights_un_wal_ezwa_64kb_0037	Nolu n’pout-èsse sins rêzon tchoûki è-l’pote, tinou èprîh’né ou tchèssi foû dis’payis.
human_rights_un_wal_ezwa_64kb_0038	Artike dîhinme (10)
human_rights_un_wal_ezwa_64kb_0039	Chaskeun’ a l’dreût d’èsse ètindou d’ine minme manîre, divant tot l’monde èt sinstotès fêtès-îdèyes, divant on tribunål indépendant èt djusse qui dècid’ré d’sèsdreûts ou bin d’sès d’vwérs, tot come lî r’vint l’dreût di s’disfinde di çou qu’on lîr’proche ou bin d’çou qu’on l’acuse.
human_rights_un_wal_ezwa_64kb_0040	Artike onzinme (11)
human_rights_un_wal_ezwa_64kb_0041	1.
human_rights_un_wal_ezwa_64kb_0042	Tot quî è-st-acusé d’ine måcule deût-èsse tinou po ènocint d’çou qu’on lîr’proche disqu’a tant qu’i seûye rik’nohou coupåbe, èco fåt-i qui s-procèsseûye public, qui totes lès règues sèyèsse rèspèctêyes èt qu’il åye avoul’dreût di s’disfinde po d’bon.
human_rights_un_wal_ezwa_64kb_0043	2.
human_rights_un_wal_ezwa_64kb_0044	Nolu n’pout-èsse condåné po ’ne sacwè qu’il a fêt ou qu’i n’a nin volou fé aon moumint wice qui, sorlon lès lwès di s’payis ou dè monde, çouchaln’èsteût nin co ’ne fåte.
human_rights_un_wal_ezwa_64kb_0045	De-l’minme manîre, on n’è-l’pôrè puni pus fwèrtqu’i n’l’åreût stu å moumint wice qui l’afêre s’a passé.
human_rights_un_wal_ezwa_64kb_0046	Artike dozinme (12)
human_rights_un_wal_ezwa_64kb_0047	Nouk ni pôrê aler hèrer s’narène divins l’vicårèye, li famile d’in-ôte, brokî ês’mohone ou bin nahî d’vins sès lètes èt sès papîs, ni l’ac’sûre divins si-oneûr ous’réputåcion.
human_rights_un_wal_ezwa_64kb_0048	Chaskeun’a l’dreût d’èsse protéjé dès lwès disconte dès s’fêtèsmanîres.
human_rights_un_wal_ezwa_64kb_0049	Artike trazinme (13)
human_rights_un_wal_ezwa_64kb_0050	1.
human_rights_un_wal_ezwa_64kb_0051	Chaskeun’ a l’dreût d’aler tot wice qu’i vout d’vins ’n-Etat èt d’î tchûzi comei vout l’plèce la qu’i vout d’mani.
human_rights_un_wal_ezwa_64kb_0052	2.
human_rights_un_wal_ezwa_64kb_0053	Chaskeun’ a l’dreût dè qwiter tot l’minme dué payis, minme li sonk, èt dèraler è s’payis qwand i lî plêt.
human_rights_un_wal_ezwa_64kb_0054	Artike catwazinme (14)
human_rights_un_wal_ezwa_64kb_0055	1.
human_rights_un_wal_ezwa_64kb_0056	S’il èst k’tchèssî, chaque ome a l’dreût dè cwèri a s’ahouter èt dè trover onratrêt divins dès-ôtes payis.
human_rights_un_wal_ezwa_64kb_0057	2.
human_rights_un_wal_ezwa_64kb_0058	On n’si pout nin chèrvi di ç’dreût la s’on-z-èst porsûvou po ’ne måcule quili lwè réprouve ou po dès keûres qui vont disconte çou qu’lès Nåcion-
human_rights_un_wal_ezwa_64kb_0059	Unies volèt mète èn-avant.
human_rights_un_wal_ezwa_64kb_0060	Artike qwinzinme (15)
human_rights_un_wal_ezwa_64kb_0061	1.
human_rights_un_wal_ezwa_64kb_0062	Chaskeun’ a l’dreût a ’ne nacionålité.
human_rights_un_wal_ezwa_64kb_0063	2.
human_rights_un_wal_ezwa_64kb_0064	On n’pout r’prinde a nolu, èt sins rêzon, si nacionålité, tot comme si dreûtd’ènnè candjî.
human_rights_un_wal_ezwa_64kb_0065	Artike sazinme (16)
human_rights_un_wal_ezwa_64kb_0066	1.
human_rights_un_wal_ezwa_64kb_0067	Si vite qu’ènn’ont l’adje, ome èt feume, di tot l’minme quéle race,nacionålité ou r’lidjon, ont l’dreût di s’marier èt dè fonder ’ne famile.
human_rights_un_wal_ezwa_64kb_0068	Il ontlès minmes dreûts po çou qu’ènn’èst dè marièdje, tant qu’i sont mariés ous’i m’nèt a d’vôrcer.
human_rights_un_wal_ezwa_64kb_0069	2.
human_rights_un_wal_ezwa_64kb_0070	Li marièdje ni s’pout fé qui dè-l’plinne vol’té èt dè-l’tchûze dès cis qu’s’ontpromètou lès-acwèrdances.
human_rights_un_wal_ezwa_64kb_0071	3.
human_rights_un_wal_ezwa_64kb_0072	Li famile c’èst l’vrêye fondemint dè-l’socièté, lî r’vint l’dreût d’ine prôtècsiondè-l’sôciété èt d’l’Etat.
human_rights_un_wal_ezwa_64kb_0073	Artike dîsètinme (17)
human_rights_un_wal_ezwa_64kb_0074	1.
human_rights_un_wal_ezwa_64kb_0075	Tot l’monde, seûye-t-i a lu tot seû ou bin avou dès-ôtes, a l’dreût d’aveûrdès bins.
human_rights_un_wal_ezwa_64kb_0076	2.
human_rights_un_wal_ezwa_64kb_0077	On n’pout r’prinde sès bins a nolu, sins bone rêzon.
human_rights_un_wal_ezwa_64kb_0078	Artike dîhûtinme (18)
human_rights_un_wal_ezwa_64kb_0079	Chaskeun’ a l’dreût dè tûzer çou qu’i vout, d’aveûr si consyince por lu èt dè priyîtot l’minme qué Bon Diu, çoula vout dîre ossu qu’i pout candjî di r’lidjon ou bincandjî d’îdèye.
human_rights_un_wal_ezwa_64kb_0080	Tot seû ou bin avou dès k’pagnons, è s’mohone to come å d’fou, ipout dîre tot hôt çou qu’i creût, l’aprinde ås-èfants, tot come ènnè fé-årèmus oulès cérémon’rèyes.
human_rights_un_wal_ezwa_64kb_0081	Artike dî-noûvinme (19)
human_rights_un_wal_ezwa_64kb_0082	Chaskeun’ a l’dreût d’sès-opinions èt l’lîbèrté d’èlzès d’ner a k’nohe, çou qui voutdîre qu’on nè-l’pôrè toûrmèter po çou qu’i tûze èt qu’i pout cwèri sins rat’na lèsinformåcions come lès îdèyes, ènnè r’çure èt ’nnè ripåde lådje èt lon, minme foûpayis, èt di tot l’minme quéle manîre.
human_rights_un_wal_ezwa_64kb_0083	Artike vintinme (20)
human_rights_un_wal_ezwa_64kb_0084	1.
human_rights_un_wal_ezwa_64kb_0085	Chaskeun’ a l’dreût di s’rapoûler ou d’s’acolèber po ’ne bone cåse.
human_rights_un_wal_ezwa_64kb_0086	2.
human_rights_un_wal_ezwa_64kb_0087	Nolu n’pout-èsse fwèrci dè fé pårtèye d’ine associåcion.
human_rights_un_wal_ezwa_64kb_0088	Artike vint-euninme (21)
human_rights_un_wal_ezwa_64kb_0089	1.
human_rights_un_wal_ezwa_64kb_0090	I r’vint a chaskeun’ li dreût dè prinde si pårt po çou qu’ènn’èst dè tinre livièrna di s’payis, seûye-t-i dirèctèmint, ou bin tot tchûzihant lîbrèmint dèsr’pruzintants.
human_rights_un_wal_ezwa_64kb_0091	2.
human_rights_un_wal_ezwa_64kb_0092	2.
human_rights_un_wal_ezwa_64kb_0093	Chaskeun’ a l’minme dreût dè prinde on posse divins l’administråcion diss’payis.
human_rights_un_wal_ezwa_64kb_0094	3.
human_rights_un_wal_ezwa_64kb_0095	Li vol’té dè peûpe c’èst l’fondemint dè pouvwèr d’on gouvèrnumint;
human_rights_un_wal_ezwa_64kb_0096	cissevol’té-là si deût d’ner a k’nohe divins dès-èlèc’cions qui sûvèt l’dreût dèdjeû, qu’on deût adjèrcî a tchoke, avou l’sufradje ûniversél : in-ome inevwè, èt å vôte sècrèt, ou di tot l’minme quéle ôte manîre qui rèspèceye lilîberté dè ci qui deût d’ner s’vwès.
human_rights_un_wal_ezwa_64kb_0097	Artike vint’deûzinme (22)
human_rights_un_wal_ezwa_64kb_0098	Chaskeun’ come mambe dè-l’sôcièté, a dreût a-l’sécurité sociâle;
human_rights_un_wal_ezwa_64kb_0099	èlle èstfondêye po qu’l’ome åye çou qu’a dandjî po s’dignité come po frudjî d’cwèr ètåme.
human_rights_un_wal_ezwa_64kb_0100	Chaque payis deût fé çou qu’i pout sorlon sès ritchèsses èt si-organisåcion,mins s’deût-i poleûr compter ossu so on côp di spale dès-ôtès nåcions.
human_rights_un_wal_ezwa_64kb_0101	Artike vint’treûzinme (23)
human_rights_un_wal_ezwa_64kb_0102	1.
human_rights_un_wal_ezwa_64kb_0103	Chaskeun’ a l’dreût d’ovrer, dè tchûzi l’mesti qu’lî plêt, dè-l’fé divins dèsbonès condicions èt d’èsse aasûré disconte li chômèdje.
human_rights_un_wal_ezwa_64kb_0104	2.
human_rights_un_wal_ezwa_64kb_0105	2.
human_rights_un_wal_ezwa_64kb_0106	Turtos on dreût, sins nole diférince, a on minme salère po on minmeovrèdje.
human_rights_un_wal_ezwa_64kb_0107	3.
human_rights_un_wal_ezwa_64kb_0108	Tos lès cis qu’ovrèt on l’dreût d’èsse payis d’tèle sôrt qu’il åyèsse assez poviker èt po fé viker leû famile, sins qwè èlzi r’vinrè dè toucherd’ine manîreou d’ine ôte, ine sacwè d’pus’ qui çou qu’gâgnèt.
human_rights_un_wal_ezwa_64kb_0109	4.
human_rights_un_wal_ezwa_64kb_0110	Chaskeun’ a l’dreût d’èmantchî avou dès-otes dès sindicats èt d’fé pårtèyed’on sindicat po disfinde sès-intèrèts.
human_rights_un_wal_ezwa_64kb_0111	Artike vint’cwatrinme (24)
human_rights_un_wal_ezwa_64kb_0112	Chaskeun’ a l’dreût di s’ripwèzer èt dè prinde dè bon tins.
human_rights_un_wal_ezwa_64kb_0113	Insi n’deût-on ninl’oblidjî d’ovrer a fwèce sins r’las èt foû mèzeûre èt lî r’vint-i dès condjîs payis åbout d’on tins.
human_rights_un_wal_ezwa_64kb_0114	Artike vint’cinquinme (25)
human_rights_un_wal_ezwa_64kb_0115	1.
human_rights_un_wal_ezwa_64kb_0116	Chaskeun’ a l’dreût dè gågni assez po s’poleûr sognî èt-z-aveûr bon, porlu-minme èt s’famile, insi po çou qu’ènn’èst dè magnî, di s’moussî, dis’lodjî, dè payî l’docteur èt l’apoticåre ou bin lès chèrvices qu’ènn’a dandjî.
human_rights_un_wal_ezwa_64kb_0117	Chaskeun’ a l’dreût a-l’sécurité s’il èst sins-ovrèdje, malåde, invalîde, vèf,qwand i d’vint vî ou qwand i n’a pus nole rintrêye di çans’ la qu’ci n’èst nindi s’fåte.
human_rights_un_wal_ezwa_64kb_0118	2.
human_rights_un_wal_ezwa_64kb_0119	Les mames èt lès-èfants ont pôr li dreût d’èsse êdîs.
human_rights_un_wal_ezwa_64kb_0120	Tos lès-èfants, qu’isèyèsse vinous å monde di djins mariés ou foû dè sacrumint divèt-èsseprotéjés dè-l’minme manîre.
human_rights_un_wal_ezwa_64kb_0121	Article vint’sîhinme (26)
human_rights_un_wal_ezwa_64kb_0122	1.
human_rights_un_wal_ezwa_64kb_0123	Chaskeun’ a l’dreût d’aler è scole.
human_rights_un_wal_ezwa_64kb_0124	Li scole ni deût rin coster, dè mons poçou qu’ènn’èst dès p’titès scoles la qu’tot l’monde deût-èsse oblidjî d’aler.
human_rights_un_wal_ezwa_64kb_0125	On deût trover tot-avå dès scoles tècniques èt profèssionéles;
human_rights_un_wal_ezwa_64kb_0126	tot l’mondeso-l’minme pîd deû poleûr fé dès hôtes-études sorlon sès mérites èt sèsquålités.
human_rights_un_wal_ezwa_64kb_0127	2.
human_rights_un_wal_ezwa_64kb_0128	L’éducåcion deût pèrmète a chaskeun’ dè fé frudjî sès capåcités èt deûtrinde pus fwèrt li rèspèt dès dreûts d’l’ome èt dès prumîrès lîbertés.
human_rights_un_wal_ezwa_64kb_0129	Eledeût aminer les djins di tot l’minme quèle race ou r’lidjon, lès peûpes èt lèsnåcions, a s’mî comprinde èt s’supwèrter, tot fant hôt avou lès Nåcions-
human_rights_un_wal_ezwa_64kb_0130	Unies po çou qu’èst dè garanti l’pâye.
human_rights_un_wal_ezwa_64kb_0131	3.
human_rights_un_wal_ezwa_64kb_0132	C’è-st-å prumî rang ås parints qu’i r’vint dè tchûzi l’mèyeuse sicole poleûs-èfants.
human_rights_un_wal_ezwa_64kb_0133	Artike vint’sètinme (27)
human_rights_un_wal_ezwa_64kb_0134	1.
human_rights_un_wal_ezwa_64kb_0135	Chaskeun’ a l’dreût dè prinde lîbrèmint pårt a çou qui fêt l’vèye culturéledè-l’comunôté, dè profiter dès-årts èt dè prinde pårt ås progrès dè-l’syinceèt tot çou qu’aminèt d’bon.
human_rights_un_wal_ezwa_64kb_0136	2.
human_rights_un_wal_ezwa_64kb_0137	Chaskeun’ a l’dreût dè veûy garanti sès-intérêts po dès-oûves di syince, discriyèdje ou d’årtisse, qu’ènnè l’ôteur.
human_rights_un_wal_ezwa_64kb_0138	Artike vint’ûtinme (28)
human_rights_un_wal_ezwa_64kb_0139	C’è-st-on dreût po chaskeun’ qui l’monde rote di tèle manîre qui, po ’ne classe oul’ôte dè-l’société come d’on payis a l’ôte, lès dreûts èt lès lîbertés qui s’trovèt chalrachous si polèsse mète èn-alèdje.
human_rights_un_wal_ezwa_64kb_0140	Artike vint’noûvinme (29)
human_rights_un_wal_ezwa_64kb_0141	1.
human_rights_un_wal_ezwa_64kb_0142	L’ome a dès dvwèrs po l’communôté wice qu’i pout dègn’mint crèhe ètviker.
human_rights_un_wal_ezwa_64kb_0143	2.
human_rights_un_wal_ezwa_64kb_0144	Po çou qu’ènn’èst d’sès dreûts èt d’sès lîbertés, chaskeun’ divrèt d’morerd’vins lès-arôyes qui li lwè a mètou djusse po garanti li rik’nohance ètl’rèspèt dès lîbertés dès-ôtes, dè-l’moråle, dè-l’tranquilité èt dè-l’binåhistéd’turtos divins ’ne sôciété d’dèmocråtes.
human_rights_un_wal_ezwa_64kb_0145	3.
human_rights_un_wal_ezwa_64kb_0146	Cès dreûts èt cès lîbertés-la ni spôront mây mète come dès hames è-l’vôye di çou qu’volèt fé lès Nåcions-Unies.
human_rights_un_wal_ezwa_64kb_0147	Artike trintinme (30)
human_rights_un_wal_ezwa_64kb_0148	Rin di tot çou quis’troûve divins cisse Dèclaråcion-chal ni pout d’ner a tûzer d’in-
human_rights_un_wal_ezwa_64kb_0149	Etat ou d’ine sakî, qu’il a l’dreût dè fé tot l’minme qwè qui pôreût mète a må lèsdreûts èt lès lîbertès qu’î sont rachous.
