sun_0001	PERNYATAAN UMUM NGEUNAAN HAK-HAK ASASI MANUSA
sun_0038	Sing saha bae nampa pangaku nu sarua di hareupeun hukum, di mana baeayana.
sun_0039	PASAL 7
sun_0040	Sing saha bae, boga kadudukan sajajar di hareupeun hukum jeung ngabogaanhak dina narima panangtayungan hukum bari teu diwilah-wilah.
sun_0041	Sakumna jalmaboga hak anu sarua dina narima panangtayungan tina polah-polah anu sokngawilah-wilah anu patukang-tonggong jeung ieu pernyataan, katut tina sagalarupa hasudan anu deukeut-deukeut kana polah diskriminasi.
sun_0042	PASAL 8
sun_0043	Sing saha bae, sacara mandiri boga hak dina mulangkeun deui ngaran hade tipangadilan nasional anu boga urusan dina nguruskeun tindakan-tindakan nungarempak hak-hak fundamental anu dibikeun ka manehna ku undang-undangdasar atawa hukum.
sun_0044	PASAL 9
sun_0045	Sing saha bae teu meunang ditewak, ditahan atawa dibuang bari sawenang-wenang.
sun_0046	PASAL 10
sun_0047	Sing saha bae, sacara gembleng, boga hak nampa kaadilan ti pangadilan sacaraadil jeung nembrak jeung henteu mihak, dina netepkeun hak jeung kawajiban-kawajibanana sarta tina saban tungtutan pidana anu ditibankeunana.
sun_0048	PASAL 11
sun_0049	1.
sun_0050	Sing saha bae anu unggah balewatangan ku sabab disangka ngarempakhukum, ulah waka dianggap salah, satungtung ku pangadilan anu terbukaacan dibuktikeun kasalahanana.
sun_0051	Manehna boga jaminan anu diperlukeundina pembelaanana.
sun_0052	2.
sun_0053	Sing saha bae teu meunang disalahkeun geus ngarempak hukum dumehpolahna anu lalawora satungtung henteu ngarempak hukum dumasarkana undang-undang nasional boh kana undang-undang internasionalwaktu eta polah dipigawe.
sun_0054	Pon kitu deui, dipahing nibankeun hukumanleuwih beurat ti batan hukuman anu geus sakuduna ditibankeun dumasarkana polahna tea.
sun_0055	PASAL 12
sun_0056	Sing saha bae teu meunang diganggu sacara sawenang-wenang kana urusanpribadina, kulawargana, rumah-tanggana atawa mun manehna ngayakeunhubungan surat-sinurat;
sun_0057	pon kitu deui dipahing ngaganggu kana kahormatansarta ngaruksak ngaran manehna.
sun_0058	Sakumna jalma boga hak narimapanangtayungan hukum tina gangguan jeung polah-polah sarupa kitu.
sun_0059	PASAL 13
sun_0060	1.
sun_0061	Sing saha bae boga hak kana kabebasan, boh anu kumelendang boh anucicing dina wates-wates saban nagara.
sun_0062	2.
sun_0063	Sing saha bae boga hak pikeun ninggalkeun nagara mana bae, kaasupnagarana sorangan, jeung boga hak pikeun balik deui ka nagaranasorangan.
sun_0064	PASAL 14
sun_0065	1.
sun_0066	Sing saha bae boga hak neangan suaka (panyalindungan) di nagri sejenpikeun neangan katengtreman jeung katingtriman katut panangtayungandirina ti pihak-pihak sejen anu ngudag-ngudag manehna.
sun_0067	2.
sun_0068	Tapi ieu hal teh henteu lumaku pikeun kasus jalma anu diudag-udagalatan polah-polah kajahatan (pidana) anu taya patula-patalina jeungpulitik atawa alatan polah-polah anu tojaiah jeung tujuan katut dasar
sun_0069	Perserikatan Bangsa-Bangsa.
sun_0070	PASAL 15
sun_0071	1.
sun_0072	Sing saha bae boga hak dina nangtukeun kawarga-nagaraanana.
sun_0073	2.
sun_0074	Sing saha bae kawarganagaraanana teu bisa dicabut sacara samena-mena, atawa ditolak hakna dina ngaganti kawarga-nagaraanana.
sun_0075	PASAL 16
sun_0076	1.
sun_0077	Lalaki jeung awewe anu geus dewasa, kalawan teu diwatesankabangsaanana, kawarganagaraanana atawa agamana, boga hak pikeunrarumah - tangga jeung ngawangun kahirupan rumahtanggana.
sun_0078	Maranehna boga hak anu sarua dina perkawinan, dina mangsanararumah-tangga jeung dina mangsa pipirakan.
sun_0079	2.
sun_0080	Eta perkawinan ngan ukur bisa dilaksanakeun dumasar kana pilihanbebas turta hasil tina babadamian eta calon ewe-salaki.
sun_0081	3.
sun_0082	Kulawarga teh hiji kesatuan nu alamiah tur fundamental masarakat, atuhku kituna boga hak dina narima panangtayungan boh ti masarakatsabudeureunana boh ti nagara.
sun_0083	PASAL 17
sun_0084	1.
sun_0085	Sing saha bae boga hak ngukumpul harta, boh sosoranganan bohbabarengan jeung batur.
sun_0086	2.
sun_0087	Sing saha bae teu meunang dirampas hartana kalawan samena-mena.
sun_0088	PASAL 18
sun_0089	Sing saha bae boga hak dina kabebasan mikir, hate nurani jeung agama;
sun_0090	dinahal ieu oge aya kabebasan ganti agama atawa kapercayaan, katut kabebasandina nembongkeun agama jeung kapercayaanana ku jalan ngajarkeun,milampah, ibadah jeung taat kana agama atawa kapercayaanana, bohsosoranganan boh jeung batur, naha di hareupeun umum atawa rerencepan.
sun_0091	PASAL 19
sun_0092	Sing saha bae boga hak dina ngaluarkeun pamanggih;
sun_0093	ieu kaasup kabebasandina boga pamanggih bari henteu diganggu deungeun, kaasup dinaneanganana, narima atawa nepikeun informasi tina hasil mikirna ngaliwatanmedia naon bae kalawan henteu kawatesan ku wilayah.
sun_0094	PASAL 20
sun_0095	1.
sun_0096	Sing saha bae boga hak kana kabebasan ririungan nyieun serikat tanpakekerasan.
sun_0097	2.
sun_0098	Sing saha bae teu meunang dipaksa asup kana hiji beungkeutan.
sun_0099	PASAL 21
sun_0100	1.
sun_0101	Sing saha bae boga hak ilubiung kana pamarentahan nagarana, bohsacara langsung boh ngaliwatan wakil-wakilna anu dipilih sacara bebas.
sun_0102	2.
sun_0103	Sing saha bae boga lolongkrang anu sarua pikeun diangkat dina jabatanpamarentahan di nagarana.
sun_0104	3.
sun_0105	Kereteg rahayat kudu jadi dasar kakawasaan pamarentah;
sun_0106	ieu kereteg tehkudu dinyatakeun dina wangun pilihan umum anu dilaksanakeun sacaraberkala jeung murni, kalawan hak pilihna sacara umum tur sajajar,kalawan ngayakeun pungutan sora sacara rusiah atawa ku ngagunakeunprosedur sejen anu pokona mah bisa ngajamin kabebasan dinangasongkeun sora.
sun_0107	PASAL 22
sun_0108	Sing saha bae salaku anggota masarakat boga hak dina narima jaminan sosial,sarta hak-hak ekonomi, sosial jeung budaya anu kacida dipikabutuhna pikeunnanjeurkeun martabat jeung tumuwuhna pribadi anu bebas, ngaliwatan usaha-usaha nasional katut gawe babarengan internasional anu luyu jeung anu diatursarta jeung sumber daya saban nagara.
sun_0109	PASAL 23
sun_0110	1.
sun_0111	Sing saha bae boga hak kana rupa-rupa pagawean, boga hak milih jenispagawean, boga hak narima pasaratan pagawean anu adil jeungnguntungkeun sarta boga hak narima panangtayungan dimana ngaligeuhteu digawe.
sun_0112	2.
sun_0113	Sing saha bae bari teu diwilah-wilah, boga hak narima upah anu sarualadang digawe anu sarua.
sun_0114	3.
sun_0115	Sing saha bae anu boga pagawean, boga hak narima upah anu adil jeungnguntungkeun, anu sakirana bisa mere jaminan kana kahirupan anuminuhan ajen martabat, boh keur dirina boh keur kulawargana, jeunglamun perlu ditambahan ku panangtayungan sosial sejenna.
sun_0116	4.
sun_0117	Sing saha bae boga hak ngadegkeun jeung asup kana sarikat-sarikatpagawe pikeun nangtayungan kapentinganana.
sun_0118	PASAL 24
sun_0119	Sing saha bae boga hak pikeun reureuh jeung libur, kaasup boga hak nampajam gawe anu ngawates tur merenah, boga pere anu mayeng bari angger narimaupah.
sun_0120	PASAL 25
sun_0121	1.
sun_0122	Sing saha bae boga hak kana taraf hirup anu merenah pikeun kasehatanjeung kasejahteraan dirina katut kulawargana, kaasup boga hak narimapangan, pakean, imah jeung miara kasehatan sarta pangladen sosial anudiperlukeun, oge boga hak kana jaminan saupamana ngaligeuh, gering,jadi tanpa-daksa, jadi randa, geus kolot atawa kaayaan sejen anungabalukarkeun pangasilan ngurangan luareun wates kamampuhanana.
sun_0123	2.
sun_0124	Awewe jeung anak-anakna boga hak narima bantuan istimewa.
sun_0125	Sakumnaturunan, boh anu lahir sacara sah boh anu diluar pernikahan, kudu narimapanangtayungan sosial anu sarua.
sun_0126	PASAL 26
sun_0127	1.
sun_0128	Sing saha bae boga hak nampa atikan.
sun_0129	Atikan teh kudu garatis, sakurang-kurangna pikeun tingkat sakola rendah jeung pendidikan dasar.
sun_0130	Pendidikan rendah kudu diwajibkeun.
sun_0131	Pendidikan teknik jeung jurusansacara umum kudu terbuka pikeun sing saha bae, ari pendidikan tinggikudu bisa diabusan ku saban jalma dumasar kumaha pantesna.
sun_0132	2.
sun_0133	Atikan kudu ditujulkeun pikeun ngamekarkeun kamampuh pribadisajembar-jembarna sarta ngandelan rasa ajen kana hak-hak asasimanusa jeung kabebasan fundamental.
sun_0134	Pendidikan kudu bisa ningkatkeunrasa saling pengertian, toleransi jeung duduluran di sasama bangsa,kelompok ras atawa agama sarta kudu bisa ngamajukeun kagiatan
sun_0135	Perserikatan Bangsa-Bangsa dina ngamumule perdamaian.
sun_0136	3.
sun_0137	Kolot boga hak utama dina milih-milih jenis pendidikan anu baris dibikeunka anak-anakna.
sun_0138	PASAL 27
sun_0139	1.
sun_0140	Sing saha bae boga hak pikeun ilubiung dina kabudayaan masarakatsacara bebas pikeun neuleuman kasenian jeung milu ngararasakeunmajuna sarta mangpaatna elmu pangaweruh.
sun_0141	2.
sun_0142	Sing sah bae boga hak pikeun narima panangtayungan kana kauntunganmoril atawa materil anu ditarima tina hasil karya ilmiah, sastra atawakasenian anu diciptakeunana.
sun_0143	PASAL 28
sun_0144	Sing saha bae boga hak kana tatanan nasional jeung internasional.
sun_0145	Eta hakjeung kabebasan anu aya dina ieu pernyataan teh bisa dilaksanakeun sacarajembar.
sun_0146	PASAL 29
sun_0147	1.
sun_0148	Sing saha bae boga kawajiban di masarakat tempat dimana manehnabisa ngamekarkeun kapribadian kalawan bebas.
sun_0149	2.
sun_0150	Dina ngajalankeun hak jeung kawajibanana, saban jalma kudu taat kanawatesan-watesan anu geus ditetepkeun ku undang-undang anu tujuananaukur pikeun ngajamin pangakuan sarta mere pangajen anu merenah kanahak jeung kabebasan balarea jeung pikeun minuhan pasaratan anu adildina kasusilaan, katartiban jeung kasejahteraan umum di masarakat anudemokratis.
sun_0151	3.
sun_0152	Hak jeung kabebasan ieu teh, sanajan kumaha bae oge dipahing ulahhenteu dilaksanakeun, angot bari patukang-tonggong jeung tujuan sartaprinsip-prinsip Perserikatan Bangsa-Bangsa mah.
sun_0153	PASAL 30
sun_0154	Tina ieu Pernyataan, hiji oge ulah ditafsirkeun saolah-olah mere nanaon ka hijinagara, kelompok atawa pribadi anu mangrupa hak, pikeun kalibet atawa nyieunpolah anu tujuanana rek ngaruksak kana hak-hak jeung kabebasan anu kacatetdina Pernyataan.
