human_rights_un_dut_aw_64kb_0001	UNIVERSELE VERKLARING VAN DE RECHTEN VAN DE MENS
human_rights_un_dut_aw_64kb_0040	Een ieder, die wegens een strafbaar feit wordt vervolgd, heeft er recht opvoor onschuldig gehouden te worden, totdat zijn schuld krachtens de wetbewezen wordt in een openbare rechtszitting, waarbij hem allewaarborgen, nodig voor zijn verdediging, zijn toegekend.
human_rights_un_dut_aw_64kb_0041	2.
human_rights_un_dut_aw_64kb_0042	Niemand zal voor schuldig gehouden worden aan enig strafrechtelijkvergrijp op grond van enige handeling of enig verzuim, welke naarnationaal of internationaal recht geen strafrechtelijk vergrijp betekendenop het tijdstip, waarop de handeling of het verzuim begaan werd.
human_rights_un_dut_aw_64kb_0043	Evenminzal een zwaardere straf worden opgelegd dan die, welke ten tijde van hetbegaan van het strafbare feit van toepassing was.
human_rights_un_dut_aw_64kb_0044	Artikel 12
human_rights_un_dut_aw_64kb_0045	Niemand zal onderworpen worden aan willekeurige inmenging in zijnpersoonlijke aangelegenheden, in zijn gezin, zijn tehuis of zijn briefwisseling,noch aan enige aantasting van zijn eer of goede naam.
human_rights_un_dut_aw_64kb_0046	Tegen een dergelijkeinmenging of aantasting heeft een ieder recht op bescherming door de wet.
human_rights_un_dut_aw_64kb_0047	Artikel 13
human_rights_un_dut_aw_64kb_0048	1.
human_rights_un_dut_aw_64kb_0049	Een ieder heeft het recht zich vrijelijk te verplaatsen en te vertoevenbinnen de grenzen van elke Staat.
human_rights_un_dut_aw_64kb_0050	2.
human_rights_un_dut_aw_64kb_0051	Een ieder heeft het recht welk land ook, met inbegrip van het zijne, teverlaten en naar zijn land terug te keren.
human_rights_un_dut_aw_64kb_0052	Artikel 14
human_rights_un_dut_aw_64kb_0053	1.
human_rights_un_dut_aw_64kb_0054	Een ieder heeft het recht om in andere landen asiel te zoeken en tegenieten tegen vervolging.
human_rights_un_dut_aw_64kb_0055	2.
human_rights_un_dut_aw_64kb_0056	Op dit recht kan geen beroep worden gedaan ingeval vanstrafvervolgingen wegens misdrijven van niet-politieke aard ofhandelingen in strijd met de doeleinden en beginselen van de Verenigde
human_rights_un_dut_aw_64kb_0057	Naties.
human_rights_un_dut_aw_64kb_0058	Artikel 15
human_rights_un_dut_aw_64kb_0059	1.
human_rights_un_dut_aw_64kb_0060	Een ieder heeft het recht op een nationaliteit.
human_rights_un_dut_aw_64kb_0061	2.
human_rights_un_dut_aw_64kb_0062	Aan niemand mag willekeurig zijn nationaliteit worden ontnomen, noch hetrecht worden ontzegd om van nationaliteit te veranderen.
human_rights_un_dut_aw_64kb_0063	Artikel 16
human_rights_un_dut_aw_64kb_0064	1.
human_rights_un_dut_aw_64kb_0065	Zonder enige beperking op grond van ras, nationaliteit of godsdienst,hebben mannen en vrouwen van huwbare leeftijd het recht om te huwenen een gezin te stichten.
human_rights_un_dut_aw_64kb_0066	Zij hebben gelijke rechten wat het huwelijkbetreft, tijdens het huwelijk en bij de ontbinding ervan.
human_rights_un_dut_aw_64kb_0067	2.
human_rights_un_dut_aw_64kb_0068	Een huwelijk kan slechts worden gesloten met de vrije en volledigetoestemming van de aanstaande echtgenoten.
human_rights_un_dut_aw_64kb_0069	3.
human_rights_un_dut_aw_64kb_0070	Het gezin is de natuurlijke en fundamentele groepseenheid van demaatschappij en heeft recht op bescherming door de maatschappij en de
human_rights_un_dut_aw_64kb_0071	Staat.
human_rights_un_dut_aw_64kb_0072	Artikel 17
human_rights_un_dut_aw_64kb_0073	1.
human_rights_un_dut_aw_64kb_0074	Een ieder heeft recht op eigendom, hetzij alleen, hetzij tezamen metanderen.
human_rights_un_dut_aw_64kb_0075	2.
human_rights_un_dut_aw_64kb_0076	Niemand mag willekeurig van zijn eigendom worden beroofd.
human_rights_un_dut_aw_64kb_0077	Artikel 18
human_rights_un_dut_aw_64kb_0078	Een ieder heeft recht op vrijheid van gedachte, geweten en godsdienst;
human_rights_un_dut_aw_64kb_0079	dit rechtomvat tevens de vrijheid om van godsdienst of overtuiging te veranderen,alsmede de vrijheid hetzij alleen, hetzij met anderen zowel in het openbaar als inzijn particuliere leven zijn godsdienst of overtuiging te belijden door hetonderwijzen ervan, door de praktische toepassing, door eredienst en deinachtneming van de geboden en voorschriften.
human_rights_un_dut_aw_64kb_0080	Artikel 19
human_rights_un_dut_aw_64kb_0081	Een ieder heeft recht op vrijheid van mening en meningsuiting.
human_rights_un_dut_aw_64kb_0082	Dit recht omvatde vrijheid om zonder inmenging een mening te koesteren en om door allemiddelen en ongeacht grenzen inlichtingen en denkbeelden op te sporen, teontvangen en door te geven.
human_rights_un_dut_aw_64kb_0083	Artikel 20
human_rights_un_dut_aw_64kb_0084	1.
human_rights_un_dut_aw_64kb_0085	Een ieder heeft recht op vrijheid van vreedzame vereniging envergadering.
human_rights_un_dut_aw_64kb_0086	2.
human_rights_un_dut_aw_64kb_0087	Niemand mag worden gedwongen om tot een vereniging te behoren.
human_rights_un_dut_aw_64kb_0088	Artikel 21
human_rights_un_dut_aw_64kb_0089	1.
human_rights_un_dut_aw_64kb_0090	Een ieder heeft het recht om deel te nemen aan het bestuur van zijn land,rechtstreeks of door middel van vrij gekozen vertegenwoordigers.
human_rights_un_dut_aw_64kb_0091	2.
human_rights_un_dut_aw_64kb_0092	Een ieder heeft het recht om op voet van gelijkheid te worden toegelatentot de overheidsdiensten van zijn land.
human_rights_un_dut_aw_64kb_0093	3.
human_rights_un_dut_aw_64kb_0094	De wil van het volk zal de grondslag zijn van het gezag van de Regering;
human_rights_un_dut_aw_64kb_0095	deze wil zal tot uiting komen in periodieke en eerlijke verkiezingen, diegehouden zullen worden krachtens algemeen en gelijkwaardig kiesrechten bij geheime stemmingen of volgens een procedure, die evenzeer devrijheid van de stemmen verzekert.
human_rights_un_dut_aw_64kb_0096	Artikel 22
human_rights_un_dut_aw_64kb_0097	Een ieder heeft als lid van de gemeenschap recht op maatschappelijke zekerheiden heeft er aanspraak op, dat door middel van nationale inspanning eninternationale samenwerking, en overeenkomstig de organisatie en dehulpbronnen van de betreffende Staat, de economische, sociale en culturelerechten, die onmisbaar zijn voor zijn waardigheid en voor de vrije ontplooiing vanzijn persoonlijkheid, verwezenlijkt worden.
human_rights_un_dut_aw_64kb_0098	Artikel 23
human_rights_un_dut_aw_64kb_0099	1.
human_rights_un_dut_aw_64kb_0100	Een ieder heeft recht op arbeid, op vrije keuze van beroep, op rechtmatigeen gunstige arbeidsvoorwaarden en op bescherming tegen werkloosheid.
human_rights_un_dut_aw_64kb_0101	2.
human_rights_un_dut_aw_64kb_0102	Een ieder, zonder enige achterstelling, heeft recht op gelijk loon voorgelijke arbeid.
human_rights_un_dut_aw_64kb_0103	3.
human_rights_un_dut_aw_64kb_0104	Een ieder, die arbeid verricht, heeft recht op een rechtvaardige engunstige beloning, welke hem en zijn gezin een menswaardig bestaanverzekert, welke beloning zo nodig met andere middelen van socialebescherming zal worden aangevuld.
human_rights_un_dut_aw_64kb_0105	4.
human_rights_un_dut_aw_64kb_0106	Een ieder heeft het recht om vakverenigingen op te richten en zich daarbijaan te sluiten ter bescherming van zijn belangen.
human_rights_un_dut_aw_64kb_0107	Artikel 24
human_rights_un_dut_aw_64kb_0108	Een ieder heeft recht op rust en op eigen vrije tijd, met inbegrip van een redelijkebeperking van de arbeidstijd, en op periodieke vakanties met behoud van loon.
human_rights_un_dut_aw_64kb_0109	Artikel 25
human_rights_un_dut_aw_64kb_0110	1.
human_rights_un_dut_aw_64kb_0111	Een ieder heeft recht op een levensstandaard, die hoog genoeg is voor degezondheid en het welzijn van zichzelf en zijn gezin, waaronder inbegrepenvoeding, kleding, huisvesting en geneeskundige verzorging en denoodzakelijke sociale diensten, alsmede het recht op voorziening in gevalvan werkloosheid, ziekte, invaliditeit, overlijden van de echtgenoot,ouderdom of een ander gemis aan bestaansmiddelen, ontstaan tengevolge van omstandigheden onafhankelijk van zijn wil.
human_rights_un_dut_aw_64kb_0112	2.
human_rights_un_dut_aw_64kb_0113	Moeder en kind hebben recht op bijzondere zorg en bijstand.
human_rights_un_dut_aw_64kb_0114	Alle kinderen,al dan niet wettig, zullen dezelfde sociale bescherming genieten.
human_rights_un_dut_aw_64kb_0115	Artikel 26
human_rights_un_dut_aw_64kb_0116	1.
human_rights_un_dut_aw_64kb_0117	Een ieder heeft recht op onderwijs;
human_rights_un_dut_aw_64kb_0118	het onderwijs zal kosteloos zijn,althans wat het lager en basisonderwijs betreft.
human_rights_un_dut_aw_64kb_0119	Het lager onderwijs zalverplicht zijn.
human_rights_un_dut_aw_64kb_0120	Ambachtsonderwijs en beroepsopleiding zullen algemeenbeschikbaar worden gesteld.
human_rights_un_dut_aw_64kb_0121	Hoger onderwijs zal openstaan voor eenieder, die daartoe de begaafdheid bezit.
human_rights_un_dut_aw_64kb_0122	2.
human_rights_un_dut_aw_64kb_0123	Het onderwijs zal gericht zijn op de volle ontwikkeling van de menselijkepersoonlijkheid en op de versterking van de eerbied voor de rechten vande mens en de fundamentele vrijheden.
human_rights_un_dut_aw_64kb_0124	Het zal het begrip, deverdraagzaamheid en de vriendschap onder alle naties, rassen ofgodsdienstige groepen bevorderen en het zal de werkzaamheden van de
human_rights_un_dut_aw_64kb_0125	Verenigde Naties voor de handhaving van de vrede steunen.
human_rights_un_dut_aw_64kb_0126	3.
human_rights_un_dut_aw_64kb_0127	Aan de ouders komt in de eerste plaats het recht toe om de soort vanopvoeding en onderwijs te kiezen, welke aan hun kinderen zal wordengegeven.
human_rights_un_dut_aw_64kb_0128	Artikel 27
human_rights_un_dut_aw_64kb_0129	1.
human_rights_un_dut_aw_64kb_0130	Een ieder heeft het recht om vrijelijk deel te nemen aan het culturele levenvan de gemeenschap, om te genieten van kunst en om deel te hebben aanwetenschappelijke vooruitgang en de vruchten daarvan.
human_rights_un_dut_aw_64kb_0131	2.
human_rights_un_dut_aw_64kb_0132	Een ieder heeft het recht op de bescherming van de geestelijke enmateriële belangen, voortspruitende uit een wetenschappelijk, letterkundigof artistiek werk, dat hij heeft voortgebracht.
human_rights_un_dut_aw_64kb_0133	Artikel 28
human_rights_un_dut_aw_64kb_0134	Een ieder heeft recht op het bestaan van een zodanige maatschappelijke eninternationale orde, dat de rechten en vrijheden, in deze Verklaring genoemd,daarin ten volle kunnen worden verwezenlijkt.
human_rights_un_dut_aw_64kb_0135	Artikel 29
human_rights_un_dut_aw_64kb_0136	1.
human_rights_un_dut_aw_64kb_0137	Een ieder heeft plichten jegens de gemeenschap, zonder welke de vrije
human_rights_un_dut_aw_64kb_0138	2.
human_rights_un_dut_aw_64kb_0139	en volledige ontplooiing van zijn persoonlijkheid niet mogelijk is.
human_rights_un_dut_aw_64kb_0140	In de uitoefening van zijn rechten en vrijheden zal een ieder slechtsonderworpen zijn aan die beperkingen, welke bij de wet zijn vastgestelden wel uitsluitend ter verzekering van de onmisbare erkenning eneerbiediging van de rechten en vrijheden van anderen en om te voldoenaan de gerechtvaardigde eisen van de moraliteit, de openbare orde en hetalgemeen welzijn in een democratische gemeenschap.
human_rights_un_dut_aw_64kb_0141	3.
human_rights_un_dut_aw_64kb_0142	Deze rechten en vrijheden mogen in geen geval worden uitgeoefend instrijd met de doeleinden en beginselen van de Verenigde Naties.
human_rights_un_dut_aw_64kb_0143	Artikel 30
human_rights_un_dut_aw_64kb_0144	Geen bepaling in deze Verklaring zal zodanig mogen worden uitgelegd, datwelke Staat, groep of persoon dan ook, daaraan enig recht kan ontlenen om ietste ondernemen of handelingen van welke aard ook te verrichten, die vernietigingvan een van de rechten en vrijheden, in deze Verklaring genoemd, ten doelhebben.
