ban_0001	Pangawedar indik Hak-Hak Azasi Manusia
ban_0042	Sami manusane maduwe hak ringpangayoman marep saluiring bentuk pabinayan sane tungkas ring pangawedarpuniki tur marep saluir hasutan sane nyujur pabinayan inucap.
ban_0043	Paos 8
ban_0044	Saluiring janma maduwe hak ring pemulihan saking pengadilan nasional sanemaduwe kawenangan marep saparisolah sane ngelanggar hak-hak dasar sanekapaica olih undang-undang dasar wiadin hukum.
ban_0045	Paos 9
ban_0046	Sapasira ugi nenten dados ketangkep, ketahan wiadin kakutang sakita arep.
ban_0047	Paos 10
ban_0048	Saluiring janma sajeroning sasama pada maduwe hak ring peradilan sane adillan terbuka saking pengadilan sane bebas tur nenten memihak, sajeroningngerajegang hak lan swadharmanipun tur ring saluiring danda (tuntutan pidana)sane katiwakang ring ragane.
ban_0049	Paos 11
ban_0050	1.
ban_0051	Saluiring janma sane katuntut sangkaning katarka maparisolahngelanggar hukum durung dados kasengguh salah, sadurung kabuktiangkasalahanipun manut hukum olih pengadilan, tur ring pengadilan inucappolih jaminan sane kasaratang nindihan raga.
ban_0052	2.
ban_0053	Nenten wenten janma sane dados kasalahang kadalih melaksanangelanggar hukum sangkaning pelaksana utawi kalengahan sane nentenmarupa pelanggaran hukum manut undang-undang nasional wiadininternasional, ritatkala saparisolah punika kalaksanayang.
ban_0054	Taler nentenkapatutang niwakang danda sane lebih abot saking danda sanesepatutipun katiwakang ritatkala pelanggaran hukum punikakalaksanayang.
ban_0055	Paos 12
ban_0056	Saluiring janma nenten dados kausak-asik urusannyane swang-swang,kulawarganipun, pakurenanipun, utawi paiketan swalapatraipun sakita arep, talernenten kadadosang mariceda.
ban_0057	Saluiring janma maduwe hak polih pengayomanhukum sane jagi kaanggen ngarepang saparisolah kaon ring arep.
ban_0058	Paos 13
ban_0059	1.
ban_0060	Saluiring janma maduwe hak kabebasan malaksana (sane patut) turmagenah ring wawidangan swang-swang negara.
ban_0061	2.
ban_0062	Saluiring janma maduwe hak melancaran ring swang-swang negara,makta padruwenipun, tur mewali malih ring panegara duwene.
ban_0063	Paos 14
ban_0064	1.
ban_0065	Saluiring janma maduwe hak ngaruruh tur ngerasanin suaka
ban_0066	(pengayoman) saking negara seosan jagi kaanggen ngayomindeweknyane saking katut buri.
ban_0067	2.
ban_0068	Hak punika nenten kedadosang kaangge marep ring sungketa tutburisane sumeken medal sangkaning saparisolah sane kaon, sane tanwenten paiketan ring politik, utawi sangkaning saparisolah sane piwal ringtujuan miwah dasar Perserikatan Bangsa-Bangsa.
ban_0069	Paos 15
ban_0070	1.
ban_0071	Saluiring janma maduwe hak kewarganegaraan (kewangsaan).
ban_0072	2.
ban_0073	Saluiring janma nenten dados sakama-kama kabancutkewarganegaraanipun (kewangsanipun) wiadin maduwe hak ngentosinkewarganegaraan (kewangsaan).
ban_0074	Paos 16
ban_0075	1.
ban_0076	Lanang lan istri sane sampun daha-truna, tanpa kawatesinkewangsaanipun, kewarganegaraanipun wiadin agama, maduwe hakmakurenan utawi mawiwaha tur ngewangun kulawarga.
ban_0077	Ipun maduwe haksane pateh ring sapari indik pawiwahan, ring sajeroning makurenan,wiadin ritatkala palas makurenan.
ban_0078	2.
ban_0079	Pawiwahan wantah dados kalaksanayang yaning calon penganten padasaling lulut asih.
ban_0080	3.
ban_0081	Kulawarga inggih punika paiketan sangkaning titah ring sajeroningpagubugan, tur maduwe hak polih pengayoman saking pagubugan wiadinnegara.
ban_0082	Paos 17
ban_0083	1.
ban_0084	Saluiring janma maduwe hak maderbe artha, ndiri (newek) wiadin sareng-sareng janma lianan.
ban_0085	2.
ban_0086	Saluiring janma nenten dados kerampas padruwenannyane sakita karep.
ban_0087	Paos 18
ban_0088	Saluiring janma maduwe hak kebebasan mapaidep, unteng kayun lan ngagemagama, hak kabebasan magentos agama utawi kepercayaan, lan kebebasannyengguhang agama utawi kepercayaan malarapan ngajahin, ngelaksanayang,ngaturang bakti tur nganutin ajaran agama punika, ndiri-ndiri wiadin sareng-sareng janma seosan, ring arep pagubugan wiadin ndiri (ndewek).
ban_0089	Paos 19
ban_0090	Saluiring janma bebas maduwe tetimbangan wiadin ngamedalang tetimbangan,tanpa gangguan ngeruruh, nerima tur ngamedalang gatra lan pakayunanmalarapan sarana napi ja, tanpa ngetang wates-wates wewidangan.
ban_0091	Paos 20
ban_0092	1.
ban_0093	Saluiring janma maduwe hak kebebasan mapupul lan ngewangun sekhatanpa ngangge kekerasan.
ban_0094	2.
ban_0095	Saluiring janma nenten dados kapaksa mangda ngiring nyarengin sekha.
ban_0096	Paos 21
ban_0097	1.
ban_0098	Saluiring janma maduwe hak nyarengin ngemargiang pemerintahannegarannyane secara langsung utawi malarapan wakil-wakil sane kapilihsecara bebas.
ban_0099	2.
ban_0100	Saluiring janma sami-sami pateh maduwe hak kabisekayang utawikalinggihang dados prajuru ring sajeroning ngemargiang pemerintahannegarannyane.
ban_0101	3.
ban_0102	Pakayunan para janma musti kadadosang pinaka dasar kewenanganpemerintah;
ban_0103	pakayun puniki musti kasinahang marupa pemilihan umumsane kamargiang sangkaning manah lascarya tur nirmala, malarapan hakpilih tur dudonan sane pateh, malarapan pemungutan suara sane singidutawi ngangge tata cara seosan sane nyamin kebebesan nguwehin suara.
ban_0104	Paos 22
ban_0105	Saluiring janma, pinaka krama pagubugan, maduwe hak jaminan sosial,ngelaksanayang hak ekonomi, sosial lan budaya sane pinih kabuatang jagingawangiang kaprabawan lan numbuhang kepribadian, malarapan utsaha-utsaha nasional wiadin nyarengin utsaha internasional (sajagat), manut kadi tatacara lan kekuatan swang-swang negara.
ban_0106	Paos 23
ban_0107	1.
ban_0108	Saluiring janma maduwe hak ring pekaryan, maduwe hak kabebasan milihpakaryan, maduwe hak ring tata cara ngelaksanayang pekaryan sane adilmiwah ngewetuang aget lan maduwe hak pangayoman sumangdane tankicalan pangupajiwa.
ban_0109	2.
ban_0110	Saluiring janma, tanpa pabinayan, maduwe hak ring pangupahan sanepateh ring pakaryan sane pateh.
ban_0111	3.
ban_0112	Saluiring janma sane makarya maduwe hak ring pangupahan sane adil turngewetuang aget sane nyamin kahidupan sane dahat mapikenoh ringpadewekan wiadin kulawargannyane, pingkalih yaning wantah perlukewewehin antuk pengayoman sosial sane siosan.
ban_0113	4.
ban_0114	Saluiring janma maduwe hak ngewangun tur ngeranjing ring paguyubanutawi sekha buruh sane jagi ngayomin saluir pabuatannyane.
ban_0115	Paos 24
ban_0116	Saluiring janma maduwe hak mesandekan wiadin liburan, pingkalih wates-watesgalah mekarya sane patut pingkalih polih libur berkala, tur tetep nampi upah.
ban_0117	Paos 25
ban_0118	1.
ban_0119	Saluiring janma maduwe hak ring taraf hidup sane cukup, mangda sidanemu kerahayuan lan kesejahteraan padewekan wiadin kulawarganipun,taler hak ring pangan, paumahan, pangupapira kerahajengan pingkalihpelayanan sosial sane kabuatang, tur maduwe hak ring jaminan ritatkalanganggur/magang, sungkan, cacad, balu, sampun lingsir, utawi kehanansiosan sane mekhawinan kekirangan pangupajiwa.
ban_0120	2.
ban_0121	Ibu lan anak-anak maduwe hak polih pangupapira wiadin wantuan sanedahat istimewa.
ban_0122	Saluiring anak alit sane embas saking pawiwahan wiadinbabinjat, musti polih pengayoman sosial tanpa pabinayan.
ban_0123	Paos 26
ban_0124	1.
ban_0125	Saluiring janma maduwe hak polih pendidikan.
ban_0126	Pendidikan punika mustigratis, paling nenten ring tingkat sekolah rendah wiadin pendidikan dasar.
ban_0127	Pendidikan rendah musti kewajibang (nenten dados tan kelaksanayang).
ban_0128	Pendidikan teknik lan jurusan sane sampun ketah mangda kabukak ringsaluiring janma, taler pendidikan tinggi mangda prasida keranjingang olihpara janmane sami nganutin tata cara sane pateh medasar antukkepatutan.
ban_0129	2.
ban_0130	Pendidikan punika musti matatujon ngewerdiang angga sarira tur mangdaprasida ngajiang hak azasi manusia wiadin kebebasan-kebebasan.
ban_0131	Pendidikan punika mangda prasida ngewetuang saling pengertian,mulatsarira, tur pasawitran ring saluiring wangsane sami, paguyuban raspingkalih agama, tur musti ngemajuang pemargin Perserikatan Bangsa-
ban_0132	Bangsa ring sajeroning ngupapira perdamaian.
ban_0133	3.
ban_0134	Irerama utawi guru rupaka maduwe hak sane mautama ring sajeroningmilih saluiring pendidikan sane pacang katiwakang ring okan-okannyane.
ban_0135	Paos 27
ban_0136	1.
ban_0137	Saluiring janma maduwe hak nyarengin ring sajeroning kehidupankebudayaan, ngerasayang kaluihan kesenian, lan sareng ngerasayangkemajuan tur namtamin pakenoh ilmu pengetahuan.
ban_0138	2.
ban_0139	Saluiring janma maduwe hak pangayoman marep ring keuntungan morilwiadin material, sane kamoling antuk hasil karya ilmiah, kesusastraanwiadian kesenian sane prasida kaortayang.
ban_0140	Paos 28
ban_0141	Saluiring janma maduwe hak marep ring tatanan sosial wiadin internasional, turhak-hak lan kebebasan-kebebasan sane mungguh ring sajeroning pangawedarpuniki prasida kalaksanayang.
ban_0142	Paos 29
ban_0143	1.
ban_0144	Saluiring janma sami maduwe swadarma marep ring pagubugan ring dijaugi ipun prasida ngewerdiang kepribadianipun malarapan antukkabebasan sane banget pisan.
ban_0145	2.
ban_0146	Ring sajeroning ngelaksanayang hak-hak lan kebebasan-kebebasanipun,swang-swang manusa musti nganutin wates-wates sane kapagehang olihundang-undang sane matatujon nyamin pangangken wiadin ngewangianghak-hak lan kebebasan-kebebasan manusa seosan, lan ring pakramannganutin tata cara sane adil ngenenin kesusilaan, ketreptian miwahkejagaditaan jagat sajeroning sane demokratis.
ban_0147	3.
ban_0148	Hak-hak lan kebebesan-kebebasan puniki ring sajeroningpelaksanaanipun nenten dados matungkasan ring tatujon lan prinsip-prinsip Perserikatan Bangsa-Bangsa.
ban_0149	Pasal 30
ban_0150	Ring sajeroning pangawedar puniki tan dados katarka tur nguwehin inggiannegara, paguyuban, utawi silih tunggal janma, hak nyarengin saluir pekaryaan,utawi ngelaksanayang saparisolah sane matujon ngerusak hak-hak lankebebasan-kebebasan sane mungguh ring sajeroning pangawedar puniki.
