human_rights_un_bra_rljb_64kb_0001	Declaração dos Direitos Humanos
human_rights_un_bra_rljb_64kb_0089	Todo ser humano tem direito à instrução.
human_rights_un_bra_rljb_64kb_0090	A instrução será gratuita, pelo menos nos graus elementares e fundamentais.
human_rights_un_bra_rljb_64kb_0091	A instrução elementar será obrigatória.
human_rights_un_bra_rljb_64kb_0092	A instrução técnico‐profissional será acessível a todos, bem como a instrução superior, esta baseada no mérito.
human_rights_un_bra_rljb_64kb_0093	A instrução será orientada no sentido do pleno desenvolvimento da personalidade humana e do fortalecimento do respeito pelos direitos humanos e pelas liberdades fundamentais.
human_rights_un_bra_rljb_64kb_0094	A instrução promoverá a compreensão, a tolerância e a amizade entre todas as nações e grupos raciais ou religiosos, e coadjuvará as atividades das Nações Unidas em prol da manutenção da paz.
human_rights_un_bra_rljb_64kb_0095	Os pais têm prioridade de direito na escolha do gênero de instrução que será ministrada a seus filhos.
human_rights_un_bra_rljb_64kb_0096	Artigo XXVII.
human_rights_un_bra_rljb_64kb_0097	Todo ser humano tem o direito de participar livremente da vida cultural da comunidade, de fruir das artes e de participar do progresso científico e de seus benefícios.
human_rights_un_bra_rljb_64kb_0098	Todo ser humano tem direito à proteção dos interesses morais e materiais decorrentes de qualquer produção científica literária ou artística da qual seja autor.
human_rights_un_bra_rljb_64kb_0099	Artigo XXVIII.
human_rights_un_bra_rljb_64kb_0100	Todo ser humano tem direito a uma ordem social e internacional em que os direitos e liberdades estabelecidos na presente Declaração possam ser plenamente realizados.
human_rights_un_bra_rljb_64kb_0101	Artigo XXIX.
human_rights_un_bra_rljb_64kb_0102	Todo ser humano tem deveres para com a comunidade, na qual o livre e pleno desenvolvimento de sua personalidade é possível.
human_rights_un_bra_rljb_64kb_0103	No exercício de seus direitos e liberdades, todo ser humano estará sujeito apenas às limitações determinadas pela lei, exclusivamente com o fim de assegurar o devido reconhecimento e respeito dos direitos e liberdades de outrem e de satisfazer as justas exigências da moral, da ordem pública e do bem‐estar de uma sociedade democrática.
human_rights_un_bra_rljb_64kb_0104	Esses direitos e liberdades não podem, em hipótese alguma, ser exercidos contrariamente aos objetivos e princípios das Nações Unidas.
human_rights_un_bra_rljb_64kb_0105	Artigo XXX.
human_rights_un_bra_rljb_64kb_0106	Nenhuma disposição da presente Declaração pode ser interpretada como o reconhecimento a qualquer Estado, grupo ou pessoa, do direito de exercer qualquer atividade ou praticar qualquer ato destinado à destruição de quaisquer dos direitos e liberdades aqui estabelecidos.
