human_rights_un_fri_sn_64kb_0001	Universele ferklearring fan de rjochten fan de minske
human_rights_un_fri_sn_64kb_0029	Elk hat rjocht op gelikense beskerming tsjin elke efterstelling yn striid mei dizze Ferklearring en tsjin elke oantrún ta sa'n efterstelling.
human_rights_un_fri_sn_64kb_0030	Kêst 8
human_rights_un_fri_sn_64kb_0031	Elk hat rjocht op doeltreffende rjochtshelp fan foechhawwende nasjonale rjochtlike ynstânsjes tsjin hanlingen dy't yn striid binne mei de grûnrjochten him takend by grûnwet of wet.
human_rights_un_fri_sn_64kb_0032	Kêst 9
human_rights_un_fri_sn_64kb_0033	Nimmen sil ûnderwurpen wurde oan eigenwillige arrestaasje, detinsje of ferbanning.
human_rights_un_fri_sn_64kb_0034	Kêst 10
human_rights_un_fri_sn_64kb_0035	Elk foar oar hat rjocht op in earlike en iepenbiere behanling fan syn saak troch in ûnôfhinklike en ûnpartidige rjochtlike ynstânsje by it fêststellen fan syn rjochten en ferplichtings en by it bepalen fan it grûndearre wêzen fan in tsjin him ynstelde strafferfolging.
human_rights_un_fri_sn_64kb_0036	Kêst 11
human_rights_un_fri_sn_64kb_0037	Elk dy't foar in strafber feit ferfolge wurdt, hat der rjocht op om foar ûnskuldich hâlden te wurden oant syn skuld út krêft fan 'e wet bewiisd wurdt yn in iepenbiere terjochtsitting dêr't him alle waarboargen, nedich foar syn ferdigening, by takend binne.
human_rights_un_fri_sn_64kb_0038	Nimmen sil foar skuldich hâlden wurde oan hokfoar strafrjochtlik fergryp ek op grûn fan hokker hanling of fersom ek dat neffens nasjonaal of ynternasjonaal rjocht gjin strafrjochtlik fergryp betsjutte op it stuit dat dy hanling of dat fersom begien waard.
human_rights_un_fri_sn_64kb_0039	Likemin sil in swierdere straf oplein wurde as de straf dy't fan tapassing wie op it stuit dat it strafbere feit begien waard.
human_rights_un_fri_sn_64kb_0040	Kêst 12
human_rights_un_fri_sn_64kb_0041	Nimmen sil ûnderwurpen wurde oan oarmans eigenwillich ynmingen yn syn persoanlike oangelegenheden, yn syn húshâlding, syn thús of syn briefwiksel, noch ien of oare oantaasting fan syn eare of goede namme.
human_rights_un_fri_sn_64kb_0042	Elk hat rjocht op beskerming troch de wet tsjin sok ymningen of oantaasten.
human_rights_un_fri_sn_64kb_0043	Kêst 13
human_rights_un_fri_sn_64kb_0044	Elk hat it rjocht om him frij te ferpleatsen en te ferbliuwen binnen de grinzen fan elke steat.
human_rights_un_fri_sn_64kb_0045	Elk hat it rjocht om elk lân, syn eigen ynbegrepen, te ferlitten en yn syn lân werom te kommen.
human_rights_un_fri_sn_64kb_0046	Kêst 14
human_rights_un_fri_sn_64kb_0047	Elk hat it rjocht om yn oare lannen asyl te freegjen en te hawwen tsjin ferfolging.
human_rights_un_fri_sn_64kb_0048	Op dat rjocht kin gjin berop dien wurde yn gefal fan strafferfolgings fanwegen misdriuwen fan net-politike aard of hanlings yn striid mei de doelen en begjinsels fan 'e Feriene Naasjes.
human_rights_un_fri_sn_64kb_0049	Kêst 15
human_rights_un_fri_sn_64kb_0050	Elk hat rjocht op in nasjonaliteit.
human_rights_un_fri_sn_64kb_0051	Nimmen mei eigenwillich syn nasjonaliteit ûntnommen wurde, noch it rjocht ûntsein wurde fan nasjonaliteit te feroarjen.
human_rights_un_fri_sn_64kb_0052	Kêst 16
human_rights_un_fri_sn_64kb_0053	Sûnder ien of oare beheining op grûn fan ras, nasjonaliteit of godstsjinst hawwe manlju en froulju as se de jierren dêrta hawwe it rjocht om te trouwen en in gesin te stichtsjen.
human_rights_un_fri_sn_64kb_0054	Hja hawwe gelikense rjochten wat trouwen oanbelanget, yn har trouwen en by de ûntbining dêrfan.
human_rights_un_fri_sn_64kb_0055	In houlik kin allinne sletten wurde mei de frije en folsleine tastimming fan elk syn oare helte.
human_rights_un_fri_sn_64kb_0056	lt gesin is de natuerlike en fûnemintele groepsienheid fan 'e maatskippij en hat rjocht op beskerming troch de maatskippij en de steat.
human_rights_un_fri_sn_64kb_0057	Kêst 17
human_rights_un_fri_sn_64kb_0058	Elk hat rjocht op eigendom, itsij allinne, itsij yn 'e mande mei oaren.
human_rights_un_fri_sn_64kb_0059	Nimmen mei samar fan syn eigendom berôve wurde.
human_rights_un_fri_sn_64kb_0060	Kêst 18
human_rights_un_fri_sn_64kb_0061	Elk hat rjocht op frijheid fan tinken, gewisse en godstsjinst;
human_rights_un_fri_sn_64kb_0062	dat rjocht hâldt teffens de frijheid yn om fan godstsjinst of oertsjûging te feroarjen, en de frijheid om òf allinne òf yn 'e mande mei oaren sawol yn it iepenbier as yn it partikuliere libben, foar syn godstsjinst of oertsjûging út te kommen troch dy te ûnderwizen, troch it praktysk tapassen, troch earetsjinst en it ûnderhâlden fan geboaden en foarskriften.
human_rights_un_fri_sn_64kb_0063	Kêst 19
human_rights_un_fri_sn_64kb_0064	Elk hat rjocht op frijheid fan miening en mieningsutering.
human_rights_un_fri_sn_64kb_0065	Dat rjocht hâldt de frijheid yn om sûnder ynminging in miening te hawwen en om troch alle middels en sûnder grinzen acht te slaan, ynljochtings en tinkbylden op te spoaren, te ûntfangen en troch te jaan.
human_rights_un_fri_sn_64kb_0066	Kêst 20
human_rights_un_fri_sn_64kb_0067	Elk hat rjocht op frijheid fan freedsume feriening en gearkomste.
human_rights_un_fri_sn_64kb_0068	Nimmen mei twongen wurde om by in feriening te hearren.
human_rights_un_fri_sn_64kb_0069	Kêst 21
human_rights_un_fri_sn_64kb_0070	Elk hat it rjocht om diel te nimmen oan it bestjoer fan syn lân, streekrjocht of troch frij keazen fertsjintwurdigers.
human_rights_un_fri_sn_64kb_0071	Elk hat it rjocht om op foet fan gelikensens talitten te wurden ta de oerheidstsjinsten fan syn lân.
human_rights_un_fri_sn_64kb_0072	De wil fan it folk sil de grûnslach wêze fan it gesach fan it regear;
human_rights_un_fri_sn_64kb_0073	dy wil sil ta utering komme yn periodike en earlike ferkiezings dy't hâlden wurde sille út krêft fan algemien en lykweardich kiesrjocht en by geheime stimmings of neffens in proseduere dy't krektlikegoed boarch stiet foar de frijheid fan stimmen.
human_rights_un_fri_sn_64kb_0074	Kêst 22
human_rights_un_fri_sn_64kb_0075	Elk hat as lid fan 'e mienskip rjocht op maatskiplike wissigens en hat der oanspraak op dat troch nasjonale ynspanning en ynternasjonale gearwurking, en yn oerienstimming mei de organisaasje en de helpboarnen fan 'e oanbelangjende steat, de ekonomyske, sosjale en kulturele rjochten dy 't ûnmisber binne foar syn weardichheid en foar it frij ûntploaien fan syn persoanlikheid, ferwêzentlike wurde.
human_rights_un_fri_sn_64kb_0076	Kêst 23
human_rights_un_fri_sn_64kb_0077	Elk hat rjocht op wurk, op frije kar fan berop, op rjochtrnjittige en geunstige arbeids-betingsten en op beskerming tsjin wurkleazens.
human_rights_un_fri_sn_64kb_0078	Elk hat, sûnder ien of oare benefterstelling, rjocht op itselde lean foar itselde wurk.
human_rights_un_fri_sn_64kb_0079	Elk dy't wurk docht, hat rjocht op in rjochtfeardige en geunstige beleanning dy't him en syn húshâlding in minskweardich bestean mooglik makket;
human_rights_un_fri_sn_64kb_0080	dy beleanning sil sa nedich mei oare middels fan sosjale beskerming oanfolle wurde.
human_rights_un_fri_sn_64kb_0081	Elk hat it rjocht om fakferienings op te rjochtsjen en him dêr by oan te sluten om syn belangen te beskermjen.
human_rights_un_fri_sn_64kb_0082	Kêst 24
human_rights_un_fri_sn_64kb_0083	Elk hat rjocht op rêst en frije tiid, mei ynbegryp fan in ridlike beheining fan 'e arbeidstiid en periodike fakânsjes mei behâld fan lean.
human_rights_un_fri_sn_64kb_0084	Kêst 25
human_rights_un_fri_sn_64kb_0085	Elk hat rjocht op in libbensstandert dy't heech genôch is foar de sûnens en it wolwêzen fan himsels en syn húshâlding, dêrûnder begrepen iten, klean, húsfesting en medyske fersoarging en needsaaklike sosjale tsjinsten en rjocht op foarsjenning yn gefal fan wurkleazens, sykte, ynvaliditeit, ferstjerren fan 'e oare helte, âlderdom of in oar gemis oan besteansmiddels troch omstannichheden bûten syn wil.
human_rights_un_fri_sn_64kb_0086	Mern en bern hawwe rjocht op bysûndere soarch en bystân.
human_rights_un_fri_sn_64kb_0087	Alle bern, al of net wetlik, sille ûnder deselde sosjale beskerming falle.
human_rights_un_fri_sn_64kb_0088	Kêst 26
human_rights_un_fri_sn_64kb_0089	Elk hat rjocht op ûnderwiis;
human_rights_un_fri_sn_64kb_0090	it ûnderwiis sil fergees wêze, teminsten wat it leger en basisûnderwiis oanbelanget.
human_rights_un_fri_sn_64kb_0091	It leger ûnderwiis sil ferplichte wêze.
human_rights_un_fri_sn_64kb_0092	Beropsûnderwiis en beropsoplieding sille algemien beskikber steld wurde.
human_rights_un_fri_sn_64kb_0093	Heger ûnderwiis sil lykop iepenstean foar elk, dy't dêr de kapasiteiten foar hat.
human_rights_un_fri_sn_64kb_0094	It ûnderwiis sil rjochte wêze op it folút ûntwikkeljen fan 'e minsklike persoanlikheid en op it fersterkjen fan 'e earbied foar de rjochten fan 'e minske en de fûnemintele frijheden.
human_rights_un_fri_sn_64kb_0095	lt sil it begryp, de ferdraachsumens en de freonskip ûnder alle naasjes, rassen of godstsjinstige groepen befoarderje en it sil it wurk fan 'e Feriene Naasjes foar it hanthavenjen fan 'e frede stypje.
human_rights_un_fri_sn_64kb_0096	Oan de âlden komt yn it foarste plak it rjocht ta de soarte fan opfieding en ûnderwiis te kiezen dy't harren bern jûn wurde sil.
human_rights_un_fri_sn_64kb_0097	Kêst 27
human_rights_un_fri_sn_64kb_0098	Elk hat it rjocht yn alle frijens diel te nimmen oan it kulturele libben fan 'e mienskip, te genietsjen fan keunst en diel te hawwen oan wittenskiplike foarútgong en de fruchten dêrfan.
human_rights_un_fri_sn_64kb_0099	Elk hat rjocht op 'e beskerming fan geastlike en materiële belangen dy't fuortkomme út in wittenskiplik, letterkundich of artistyk wurk dat er fuortbrocht hat.
human_rights_un_fri_sn_64kb_0100	Kêst 28
human_rights_un_fri_sn_64kb_0101	Elk hat rjocht op it bestean fan sa'n maatskiplike en ynternasjonale oarder, dat de rjochten en frijheden neamd yn dizze ferklearring, dêr folslein yn ferwêzentlike wurde kinne.
human_rights_un_fri_sn_64kb_0102	Kêst 29
human_rights_un_fri_sn_64kb_0103	Elk hat plichten foar de mienskip oer;
human_rights_un_fri_sn_64kb_0104	allinne dêr is de frije en folsleine ûntploaiïng fan syn persoanlikheid yn mooglik.
human_rights_un_fri_sn_64kb_0105	Yn it útoefenjen fan syn rjochten en frijheden sil elk allinne mar ûnderwurpen wêze oan dy beheinings dy't by de wet fêststeld binne en wol inkeld en allinne foar de ûnmisbere erkenning en earbiediging fan 'e rjochten en frijheden fan oaren en om te foldwaan oan de rjochtfeardige easken fan 'e moraliteit, iepenbiere oarder en it algemien wolwêzen yn in demokratyske mienskip.
human_rights_un_fri_sn_64kb_0106	Dy rjochten en frijheden meie yn gjin gefal útoefene wurde yn striid mei de doelen en begjinsels fan 'e Feriene Naasjes.
human_rights_un_fri_sn_64kb_0107	Kêst 30
human_rights_un_fri_sn_64kb_0108	Gjin bepaling yn dizze ferklearring sil sa útlein wurde meie, dat hokker steat, groep of persoan dan ek dêr ek mar ien of oar rjocht oan ûntliene kin om eat te ûndernimmen of hanlingen fan hokker aard ek te ferrjochtsjen dy't it ferneatigjen fan ien fan 'e rjochten en frijheden neamd yn dizze ferklearring, ta doel hawwe.
