human_rights_un_spa_mr_64kb_0001	Declaración Universal de Derechos Humanos
human_rights_un_spa_mr_64kb_0016	Todos los seres humanos nacen libres e iguales en dignidad y derechos y, dotados como están de razón y conciencia, deben comportarse fraternalmente los unos con los otros.
human_rights_un_spa_mr_64kb_0017	Artículo 2
human_rights_un_spa_mr_64kb_0018	Toda persona tiene los derechos y libertades proclamados en esta Declaración, sin distinción alguna de raza, color, sexo, idioma, religión, opinión política o de cualquier otra índole, origen nacional o social, posición económica, nacimiento o cualquier otra condición.
human_rights_un_spa_mr_64kb_0019	Además, no se hará distinción alguna fundada en la condición política, jurídica o internacional del país o territorio de cuya jurisdicción dependa una persona, tanto si se trata de un país independiente, como de un territorio bajo administración fiduciaria, no autónomo o sometido a cualquier otra limitación de soberanía.
human_rights_un_spa_mr_64kb_0020	Artículo 3
human_rights_un_spa_mr_64kb_0021	Todo individuo tiene derecho a la vida, a la libertad y a la seguridad de su persona.
human_rights_un_spa_mr_64kb_0022	Artículo 4
human_rights_un_spa_mr_64kb_0023	Nadie estará sometido a esclavitud ni a servidumbre;
human_rights_un_spa_mr_64kb_0024	la esclavitud y la trata de esclavos están prohibidas en todas sus formas.
human_rights_un_spa_mr_64kb_0025	Artículo 5
human_rights_un_spa_mr_64kb_0026	Nadie será sometido a torturas ni a penas o tratos crueles, inhumanos o degradantes.
human_rights_un_spa_mr_64kb_0027	Artículo 6
human_rights_un_spa_mr_64kb_0028	Todo ser humano tiene derecho, en todas partes, al reconocimiento de su personalidad jurídica.
human_rights_un_spa_mr_64kb_0029	Artículo 7
human_rights_un_spa_mr_64kb_0030	Todos son iguales ante la ley y tienen, sin distinción, derecho a igual protección de la ley.
human_rights_un_spa_mr_64kb_0031	Todos tienen derecho a igual protección contra toda discriminación que infrinja esta Declaración y contra toda provocación a tal discriminación.
human_rights_un_spa_mr_64kb_0032	Artículo 8
human_rights_un_spa_mr_64kb_0033	Toda persona tiene derecho a un recurso efectivo, ante los tribunales nacionales competentes, que la ampare contra actos que violen sus derechos fundamentales reconocidos por la constitución o por la ley.
human_rights_un_spa_mr_64kb_0034	Artículo 9
human_rights_un_spa_mr_64kb_0035	Nadie podrá ser arbitrariamente detenido, preso ni desterrado.
human_rights_un_spa_mr_64kb_0036	Artículo 10
human_rights_un_spa_mr_64kb_0037	Toda persona tiene derecho, en condiciones de plena igualdad, a ser oída públicamente y con justicia por un tribunal independiente e imparcial, para la determinación de sus derechos y obligaciones o para el examen de cualquier acusación contra ella en materia penal.
human_rights_un_spa_mr_64kb_0038	Artículo 11
human_rights_un_spa_mr_64kb_0039	Toda persona acusada de delito tiene derecho a que se presuma su inocencia mientras no se pruebe su culpabilidad, conforme a la ley y en juicio público en el que se le hayan asegurado todas las garantías necesarias para su defensa.
human_rights_un_spa_mr_64kb_0040	Nadie será condenado por actos u omisiones que en el momento de cometerse no fueron delictivos según el Derecho nacional o internacional.
human_rights_un_spa_mr_64kb_0041	Tampoco se impondrá pena más grave que la aplicable en el momento de la comisión del delito.
human_rights_un_spa_mr_64kb_0042	Artículo 12
human_rights_un_spa_mr_64kb_0043	Nadie será objeto de injerencias arbitrarias en su vida privada, su familia, su domicilio o su correspondencia, ni de ataques a su honra o a su reputación.
human_rights_un_spa_mr_64kb_0044	Toda persona tiene derecho a la protección de la ley contra tales injerencias o ataques.
human_rights_un_spa_mr_64kb_0045	Artículo 13
human_rights_un_spa_mr_64kb_0046	Toda persona tiene derecho a circular libremente y a elegir su residencia en el territorio de un Estado.
human_rights_un_spa_mr_64kb_0047	Toda persona tiene derecho a salir de cualquier país, incluso el propio, y a regresar a su país.
human_rights_un_spa_mr_64kb_0048	Artículo 14
human_rights_un_spa_mr_64kb_0049	En caso de persecución, toda persona tiene derecho a buscar asilo, y a disfrutar de él, en cualquier país.
human_rights_un_spa_mr_64kb_0050	Este derecho no podrá ser invocado contra una acción judicial realmente originada por delitos comunes o por actos opuestos a los propósitos y principios de las Naciones Unidas.
human_rights_un_spa_mr_64kb_0051	Artículo 15
human_rights_un_spa_mr_64kb_0052	Toda persona tiene derecho a una nacionalidad.
human_rights_un_spa_mr_64kb_0053	A nadie se privará arbitrariamente de su nacionalidad ni del derecho a cambiar de nacionalidad.
human_rights_un_spa_mr_64kb_0054	Artículo 16
human_rights_un_spa_mr_64kb_0055	Los hombres y las mujeres, a partir de la edad núbil, tienen derecho, sin restricción alguna por motivos de raza, nacionalidad o religión, a casarse y fundar una familia;
human_rights_un_spa_mr_64kb_0056	y disfrutarán de iguales derechos en cuanto al matrimonio, durante el matrimonio y en caso de disolución del matrimonio.
human_rights_un_spa_mr_64kb_0057	Sólo mediante libre y pleno consentimiento de los futuros esposos podrá contraerse el matrimonio.
human_rights_un_spa_mr_64kb_0058	La familia es el elemento natural y fundamental de la sociedad y tiene derecho a la protección de la sociedad y del Estado.
human_rights_un_spa_mr_64kb_0059	Artículo 17
human_rights_un_spa_mr_64kb_0060	Toda persona tiene derecho a la propiedad, individual y colectivamente.
human_rights_un_spa_mr_64kb_0061	Nadie será privado arbitrariamente de su propiedad.
human_rights_un_spa_mr_64kb_0062	Artículo 18
human_rights_un_spa_mr_64kb_0063	Toda persona tiene derecho a la libertad de pensamiento, de conciencia y de religión;
human_rights_un_spa_mr_64kb_0064	este derecho incluye la libertad de cambiar de religión o de creencia, así como la libertad de manifestar su religión o su creencia, individual y colectivamente, tanto en público como en privado, por la enseñanza, la práctica, el culto y la observancia.
human_rights_un_spa_mr_64kb_0065	Artículo 19
human_rights_un_spa_mr_64kb_0066	Todo individuo tiene derecho a la libertad de opinión y de expresión;
human_rights_un_spa_mr_64kb_0067	este derecho incluye el no ser molestado a causa de sus opiniones, el de investigar y recibir informaciones y opiniones, y el de difundirlas, sin limitación de fronteras, por cualquier medio de expresión.
human_rights_un_spa_mr_64kb_0068	Artículo 20
human_rights_un_spa_mr_64kb_0069	Toda persona tiene derecho a la libertad de reunión y de asociación pacíficas.
human_rights_un_spa_mr_64kb_0070	Nadie podrá ser obligado a pertenecer a una asociación.
human_rights_un_spa_mr_64kb_0071	Artículo 21
human_rights_un_spa_mr_64kb_0072	Toda persona tiene derecho a participar en el gobierno de su país, directamente o por medio de representantes libremente escogidos.
human_rights_un_spa_mr_64kb_0073	Toda persona tiene el derecho de acceso, en condiciones de igualdad, a las funciones públicas de su país.
human_rights_un_spa_mr_64kb_0074	La voluntad del pueblo es la base de la autoridad del poder público;
human_rights_un_spa_mr_64kb_0075	esta voluntad se expresará mediante elecciones auténticas que habrán de celebrarse periódicamente, por sufragio universal e igual y por voto secreto u otro procedimiento equivalente que garantice la libertad del voto.
human_rights_un_spa_mr_64kb_0076	Artículo 22
human_rights_un_spa_mr_64kb_0077	Toda persona, como miembro de la sociedad, tiene derecho a la seguridad social, y a obtener, mediante el esfuerzo nacional y la cooperación internacional, habida cuenta de la organización y los recursos de cada Estado, la satisfacción de los derechos económicos, sociales y culturales, indispensables a su dignidad y al libre desarrollo de su personalidad.
human_rights_un_spa_mr_64kb_0078	Artículo 23
human_rights_un_spa_mr_64kb_0079	Toda persona tiene derecho al trabajo, a la libre elección de su trabajo, a condiciones equitativas y satisfactorias de trabajo y a la protección contra el desempleo.
human_rights_un_spa_mr_64kb_0080	Toda personal tiene derecho, sin discriminación alguna, a igual salario por trabajo igual.
human_rights_un_spa_mr_64kb_0081	Toda persona que trabaja tiene derecho a una remuneración equitativa y satisfactoria, que le asegure, así como a su familia, una existencia conforme a la dignidad humana y que será completada, en caso necesario, por cualesquiera otros medios de protección social.
human_rights_un_spa_mr_64kb_0082	Toda persona tiene derecho a fundar sindicatos y a sindicarse para la defensa de sus intereses.
human_rights_un_spa_mr_64kb_0083	Artículo 24
human_rights_un_spa_mr_64kb_0084	Toda persona tiene derecho al descanso, al disfrute del tiempo libre, a una limitación razonable de la duración del trabajo y a vacaciones periódicas pagadas.
human_rights_un_spa_mr_64kb_0085	Artículo 25
human_rights_un_spa_mr_64kb_0086	Toda persona tiene derecho a un nivel de vida adecuado que le asegure, así como a su familia, la salud y el bienestar, y en especial la alimentación, el vestido, la vivienda, la asistencia médica y los servicios sociales necesarios;
human_rights_un_spa_mr_64kb_0087	tiene asimismo derecho a los seguros en caso de desempleo, enfermedad, invalidez, viudez, vejez y otros casos de pérdida de sus medios de subsistencia por circunstancias independientes de su voluntad.
human_rights_un_spa_mr_64kb_0088	La maternidad y la infancia tienen derecho a cuidados y asistencia especiales.
human_rights_un_spa_mr_64kb_0089	Todos los niños, nacidos de matrimonio o fuera de matrimonio, tienen derecho a igual protección social.
human_rights_un_spa_mr_64kb_0090	Artículo 26
human_rights_un_spa_mr_64kb_0091	Toda persona tiene derecho a la educación.
human_rights_un_spa_mr_64kb_0092	La educación debe ser gratuita, al menos en lo concerniente a la instrucción elemental y fundamental.
human_rights_un_spa_mr_64kb_0093	La instrucción elemental será obligatoria.
human_rights_un_spa_mr_64kb_0094	La instrucción técnica y profesional habrá de ser generalizada;
human_rights_un_spa_mr_64kb_0095	el acceso a los estudios superiores será igual para todos, en función de los méritos respectivos.
human_rights_un_spa_mr_64kb_0096	La educación tendrá por objeto el pleno desarrollo de la personalidad humana y el fortalecimiento del respeto a los derechos humanos y a las libertades fundamentales;
human_rights_un_spa_mr_64kb_0097	favorecerá la comprensión, la tolerancia y la amistad entre todas las naciones y todos los grupos étnicos o religiosos;
human_rights_un_spa_mr_64kb_0098	y promoverá el desarrollo de las actividades de las Naciones Unidas para el mantenimiento de la paz.
human_rights_un_spa_mr_64kb_0099	Los padres tendrán derecho preferente a escoger el tipo de educación que habrá de darse a sus hijos.
human_rights_un_spa_mr_64kb_0100	Artículo 27
human_rights_un_spa_mr_64kb_0101	Toda persona tiene derecho a tomar parte libremente en la vida cultural de la comunidad, a gozar de las artes y a participar en el progreso científico y en los beneficios que de él resulten.
human_rights_un_spa_mr_64kb_0102	Toda persona tiene derecho a la protección de los intereses morales y materiales que le correspondan por razón de las producciones científicas, literarias o artísticas de que sea autora.
human_rights_un_spa_mr_64kb_0103	Artículo 28
human_rights_un_spa_mr_64kb_0104	Toda persona tiene derecho a que se establezca un orden social e internacional en el que los derechos y libertades proclamados en esta Declaración se hagan plenamente efectivos.
human_rights_un_spa_mr_64kb_0105	Artículo 29
human_rights_un_spa_mr_64kb_0106	Toda persona tiene deberes respecto a la comunidad, puesto que sólo en ella puede desarrollar libre y plenamente su personalidad.
human_rights_un_spa_mr_64kb_0107	En el ejercicio de sus derechos y en el disfrute de sus libertades, toda persona estará solamente sujeta a las limitaciones establecidas por la ley con el único fin de asegurar el reconocimiento y el respeto de los derechos y libertades de los demás, y de satisfacer las justas exigencias de la moral, del orden público y del bienestar general en una sociedad democrática.
human_rights_un_spa_mr_64kb_0108	Estos derechos y libertades no podrán en ningún caso ser ejercidos en oposición a los propósitos y principios de las Naciones Unidas.
human_rights_un_spa_mr_64kb_0109	Artículo 30
human_rights_un_spa_mr_64kb_0110	Nada en la presente Declaración podrá interpretarse en el sentido de que confiere derecho alguno al Estado, a un grupo o a una persona, para emprender y desarrollar actividades o realizar actos tendientes a la supresión de cualquiera de los derechos y libertades proclamados en esta Declaración.
