human_rights_un_bug_brc_64kb_0001	ADA ASSIMATURUSENG NASENGNGE HAK-HAK SIMULAJAJINNA PADATTA RUPA TAU
human_rights_un_bug_brc_64kb_0076	Sininna rupa tau nappunai hak riasengnge kebebasang ri laleng mappikkiri, pattennang atinna na agamana, arega lecce agama na atteppereng, na kebebasang panessai agama na atteprenna arega napagguruangngi na nalalengi.
human_rights_un_bug_brc_64kb_0077	Arega naola manengngi ajarang agamana mo cuale alena arega massamangngi sibawa tau laingnge.
human_rights_un_bug_brc_64kb_0078	Ri olona tau maegae arega cuale alena.
human_rights_un_bug_brc_64kb_0079	Passaleng 19
human_rights_un_bug_brc_64kb_0080	Sininna rupa tauwe nappunai maneng riasengnge hak na kebebasang mampau ada nasengnge tongeng.
human_rights_un_bug_brc_64kb_0081	Ianaro hak e' muttama toni rilalenna kebebasang nappunai pendapat tenriganggu mo ripau rilalenna sininna beritae.
human_rights_un_bug_brc_64kb_0082	Passaleng 20
human_rights_un_bug_brc_64kb_0083	Sininna rupa tauwe nappunai riasengnge hak na kebebasang sipulung na pada tudang sipulung.
human_rights_un_bug_brc_64kb_0084	Degaga seddi tau weddi dipassangangi tama rilalenna seddi assipulungenge.
human_rights_un_bug_brc_64kb_0085	Passaleng 21
human_rights_un_bug_brc_64kb_0086	Sininna rupa tau nappunai hak maccue rilalenna pemerintahan negarana, langsungne arega pole wakkele wakkele purae napilei.
human_rights_un_bug_brc_64kb_0087	Sininna rupa tau pada nappunai hak na kesempatang ripaenre pangka'na pole pemerintahan negarana.
human_rights_un_bug_brc_64kb_0088	Akkelorenna taumegae sibole bolena mancaji sanreseng akkuasana pemerintae, akkelorengnge yede sibole bole ripalebbangi rilaleng Pemilihan Umum ye ripigau ri wettu purae ripatentungi nahadere maneng na naisseng maneng tau maegae.
human_rights_un_bug_brc_64kb_0089	Arega engka cara ye weddingengngi rijamingngi kebebasanna mappile.
human_rights_un_bug_brc_64kb_0090	Passaleng 22
human_rights_un_bug_brc_64kb_0091	Sininna rupa tau, riasengnge anggota masarakae' nappunai hak appunangeng, assalasurengeng, ade na allebireng ye napurennuang maneng riasengnge rupa tau, wedding riola riasengnge makkuraga ri laleng bangsata mo'ribangsa laingnge ri linoe.
human_rights_un_bug_brc_64kb_0092	Sibawa ye dee' nasisalang riaseng peraturanna seddi negara.
human_rights_un_bug_brc_64kb_0093	Passaleng 23
human_rights_un_bug_brc_64kb_0094	Sininna rupa tauwe nappunai hak riaseng ajjamang, nappunai hak mappile jamang , nappunai hak ye rilalenna syara' syara' jamangnge ye adelee' ye mappisaroe nasibole bolena engka nattoangeng ko de gaga jama jamanna.
human_rights_un_bug_brc_64kb_0095	Sininna rupa tau tewwedding dipasilaingeng, nappunai maneng hak runtu wassele papada egana narekko pappada jamang jamanna.
human_rights_un_bug_brc_64kb_0096	Sininna rupa tau majjamae nappunai hak peneddingiwi wassele adele'e na mappisaroe, ye weddingi padacengi na palebbiri attuwongena ri alena na keluargana, narekko parellu napunnai riasengnge assanreseng addecengeng ye weddingnge nattoangang ri laleng laingnge.
human_rights_un_bug_brc_64kb_0097	Sininna rupa tau nappunnai hak patettongi arega muttama rilalenna erikat serikat pekerjae' koeloi nalindungi kepentinganna.
human_rights_un_bug_brc_64kb_0098	Passaleng 24
human_rights_un_bug_brc_64kb_0099	Sininna rupa tau nappunai hak riaseng attennangeng na pakansi sibawa ripattentui wettunna ajamangnge na wettu pakansie ,na tette natarima gajinna.
human_rights_un_bug_brc_64kb_0100	Passaleng 25
human_rights_un_bug_brc_64kb_0101	Sininna rupa tau nappunai hak paneddingi e riaseng addecengeng tuwo rilinoe, attennangeng ri laleng alena sibawa keluargana.
human_rights_un_bug_brc_64kb_0102	Muttama toni riaseng hak ri si ninna wedding napake'e, pakeanna, bolana, nasininna pabburana ko malasai arega sininna pajjampa ye napareluangengngi , na nappunai to hak riasengnge jaminan narekko degaga jamang jamanna, narekko malasai, narekko sala salangangi arega sininna wettu ye mappancajie kuranna wassele'na assaleng tenniya ye nattungkaiye.
human_rights_un_bug_brc_64kb_0103	Indona na ana' ana'e nappunai hak lolonganngi riasengnge pammase na bantuang malebbie, sininna ana' ana'e ye rijajiangngi ri lalenna keluarga madecengnge arega ri jajiang mencaji ana' bule.
human_rights_un_bug_brc_64kb_0104	Parellu riasengngi addecengeng tuwong na teddipasilaingeng.
human_rights_un_bug_brc_64kb_0105	Passaleng 26
human_rights_un_bug_brc_64kb_0106	Sininna rupa tau nappunai hak paneddingi riasengnge massikola.
human_rights_un_bug_brc_64kb_0107	Riasengnge massappa paddissengeng ri lalenna assikolangnge dena parellu di waja sibole bole riwettunna mappamula sikola na pendidikan dasar'e.
human_rights_un_bug_brc_64kb_0108	Ammulangenna massikolae parellu ri wajibkan.
human_rights_un_bug_brc_64kb_0109	Ye assikolang tekni'e na kejuruangnge parellu natamaki maneng tauwe mappakkotoro riasengnge assikolang matanre koparellu natamaki maneng sininna tauwe narekko wedding coco.
human_rights_un_bug_brc_64kb_0110	Assikolangnge parellu ripattuju nasaba ianatu addecengeng rialena seddi tau na pada mita deceng.
human_rights_un_bug_brc_64kb_0111	Paddisengeng ye riappue riassikolange ianarito pancaji rupa tauwe pada sipakalebbireng, pada sipakamase ripadanna sinna bangsae.
human_rights_un_bug_brc_64kb_0112	Ia naro riasengnge tau matoa nappunai hak na parellu na pileangangngi sikola ye kira kira cocongngi nolae pada ana anana'.
human_rights_un_bug_brc_64kb_0113	Passaleng 27
human_rights_un_bug_brc_64kb_0114	Sininna rupa tau nappunai hak molai laleng abbiasang ade ri lalenna masyarakae, napaneddingiwi riaseng elong kelong, na napaneddingi toi riasengnge addeeecengeng na gunana assikolangnge.
human_rights_un_bug_brc_64kb_0115	Ia naro rupa tau nappunai hak riasengnge lolongan perlindunganng na addecengngeng riasengnge attuong ri linoe na ri aherae.
human_rights_un_bug_brc_64kb_0116	Passaleng 28
human_rights_un_bug_brc_64kb_0117	Sininna rupa tau nappunai hak ri asengnge addecengeng tuwo ri linoe na sininna hak kebebasan pura taruki maneng ri laleng na ada assaturuseng na sibole bolena riala sanreseng.
human_rights_un_bug_brc_64kb_0118	Passaleng 29
human_rights_un_bug_brc_64kb_0119	Sininna rupa tau nappunai riaseng kewajiban ri masyaraka onrongna monro tuwe pawekkemaneng sininna alebbireng rialena.
human_rights_un_bug_brc_64kb_0120	Rilaleleng ri paddupana riasengnge hak-hakna kebebasangnge sininna rupa tauwe paerlu tunru ribatasang tanrang purae ripatentuang ri undang-undangnge ye tujuanna na jaming maneng ri asengngnge ada tongngeng na allabbireng ri hak-hakna kebebasanna to laingnge.
human_rights_un_bug_brc_64kb_0121	Ia naritu ri asengnge hak-hak na kebebasangnge temmaka weddingi riola narekko de'na si maturu sibawa tujuaanna na peinsipna Assimaturusenna bangsa-bangsae.
human_rights_un_bug_brc_64kb_0122	Passaleng 30
human_rights_un_bug_brc_64kb_0123	Degaga mo seddi rilalenna ada assamaturusengnge napalalo ri tafsir nasenggnge dibukkang laleng seddi negara, kelompk, iya ga seddi rupa tau nappunai hak nateru terrusi nasengnge mappigau pangkaukang salae ye wedding na solangi riasengnge allebbirirenna hak-hakna kebebasang kebebasang ye tarukie ri lalenna ada assaturusengnge.
