human_rights_un_ukr_r90_64kb_0001	ЗАГАЛЬНА ДЕКЛАРАЦІЯ ПРАВ ЛЮДИНІ
human_rights_un_ukr_r90_64kb_0031	Кожна людина має право на ефективне поновлення у правах компетентними національними судами в разі порушення її основних прав, наданих їй конституцією або законом.
human_rights_un_ukr_r90_64kb_0032	Стаття 9.
human_rights_un_ukr_r90_64kb_0033	Ніхто не може зазнавати безпідставного арешту, затримання або вигнання.
human_rights_un_ukr_r90_64kb_0034	Стаття 10.
human_rights_un_ukr_r90_64kb_0035	Кожна людина, для визначення її прав і обов'язків і для встановлення обґрунтованості пред'явленого їй кримінального обвинувачення, має право, на основі повної рівності, на те, щоб її справа була розглянута прилюдно і з додержанням усіх вимог справедливості незалежним і безстороннім судом.
human_rights_un_ukr_r90_64kb_0036	Стаття 11.
human_rights_un_ukr_r90_64kb_0037	Кожна людина обвинувачена у вчиненні злочину, має право вважатися невинною доти, поки її винність не буде встановлена в законному порядку шляхом прилюдного судового розгляду, при якому їй забезпечують усі можливості для захисту.
human_rights_un_ukr_r90_64kb_0038	Ніхто не може бути засуджений за злочин на підставі вчинення будь‐якого діяння або за бездіяльність, які під час їх вчинення не становили злочину за національними законами або за міжнародним правом.
human_rights_un_ukr_r90_64kb_0039	Не може також накладатись покарання тяжче від того, яке могло бути застосоване на час вчинення злочину.
human_rights_un_ukr_r90_64kb_0040	Стаття 12.
human_rights_un_ukr_r90_64kb_0041	Ніхто не може зазнавати безпідставного втручання у його особисте і сімейне життя, безпідставного посягання на недоторканність його житла, таємницю його кореспонденції або на його честь і репутацію.
human_rights_un_ukr_r90_64kb_0042	Кожна людина має право на захист закону від такого втручання або таких посягань.
human_rights_un_ukr_r90_64kb_0043	Стаття 13.
human_rights_un_ukr_r90_64kb_0044	Кожна людина має право вільно пересуватися і обирати собі місце проживання у межах кожної держави.
human_rights_un_ukr_r90_64kb_0045	Кожна людина має право покинути будь‐яку країну, включаючи й свою власну, і повертатись у свою країну.
human_rights_un_ukr_r90_64kb_0046	Стаття 14.
human_rights_un_ukr_r90_64kb_0047	Кожна людина має право шукати притулку від переслідувань в інших країнах і користуватися цим притулком.
human_rights_un_ukr_r90_64kb_0048	Це право не може бути використане в разі переслідування, яке в дійсності ґрунтується на вчиненні неполітичного злочину, або діяння, що суперечить цілям і принципам Організації Об'єднаних Націй.
human_rights_un_ukr_r90_64kb_0049	Стаття 15.
human_rights_un_ukr_r90_64kb_0050	Кожна людина має право на громадянство.
human_rights_un_ukr_r90_64kb_0051	Ніхто не може бути безпідставно позбавлений громадянства або права змінити своє громадянство.
human_rights_un_ukr_r90_64kb_0052	Стаття 16.
human_rights_un_ukr_r90_64kb_0053	Чоловіки і жінки, які досягли повноліття, мають право без будь‐яких обмежень за ознакою раси, національності або релігії одружуватися і засновувати сім'ю.
human_rights_un_ukr_r90_64kb_0054	Вони користуються однаковими правами щодо одруження під час шлюбу та під час його розірвання.
human_rights_un_ukr_r90_64kb_0055	Шлюб може укладатися тільки при вільній і повній згоді сторін, що одружуються.
human_rights_un_ukr_r90_64kb_0056	Сім'я є природним і основним осередком суспільства і має право на захист з боку суспільства та держави.
human_rights_un_ukr_r90_64kb_0057	Стаття 17.
human_rights_un_ukr_r90_64kb_0058	Кожна людина має право володіти майном як одноособово, так і разом з іншими.
human_rights_un_ukr_r90_64kb_0059	Ніхто не може бути безпідставно позбавлений свого майна.
human_rights_un_ukr_r90_64kb_0060	Стаття 18.
human_rights_un_ukr_r90_64kb_0061	Кожна людина має право на свободу думки, совісті і релігії;
human_rights_un_ukr_r90_64kb_0062	це право включає свободу змінювати свою релігію або переконання і свободу сповідувати свою релігію або переконання як одноособово, так і разом з іншими, прилюдним або приватним порядком в ученні, богослужінні і виконанні релігійних та ритуальних обрядів.
human_rights_un_ukr_r90_64kb_0063	Стаття 19.
human_rights_un_ukr_r90_64kb_0064	Кожна людина має право на свободу переконань і на вільне їх виявлення;
human_rights_un_ukr_r90_64kb_0065	це право включає свободу безперешкодно дотримуватися своїх переконань та свободу шукати, одержувати і поширювати інформацію та ідеї будь‐якими засобами і незалежно від державних кордонів.
human_rights_un_ukr_r90_64kb_0066	Стаття 20.
human_rights_un_ukr_r90_64kb_0067	Кожна людина має право на свободу мирних зборів і асоціацій.
human_rights_un_ukr_r90_64kb_0068	Ніхто не може бути примушений вступати до будь‐якої асоціації.
human_rights_un_ukr_r90_64kb_0069	Стаття 21.
human_rights_un_ukr_r90_64kb_0070	Кожна людина має право брати участь в управлінні своєю країною безпосередньо або через вільно обраних представників.
human_rights_un_ukr_r90_64kb_0071	Кожна людина має право рівного доступу до державної служби в своїй країні.
human_rights_un_ukr_r90_64kb_0072	Воля народу повинна бути основою влади уряду;
human_rights_un_ukr_r90_64kb_0073	ця воля повинна виявлятися у періодичних і нефальсифікованих виборах, які повинні провадитись при загальному і рівному виборчому праві шляхом таємного голосування або ж через інші рівнозначні форми, що забезпечують свободу голосування.
human_rights_un_ukr_r90_64kb_0074	Стаття 22.
human_rights_un_ukr_r90_64kb_0075	Кожна людина, як член суспільства, має право на соціальне забезпечення і на здійснення необхідних для підтримання її гідності і для вільного розвитку її особи прав у економічній.
human_rights_un_ukr_r90_64kb_0076	Соціальній і культурній галузях за допомогою національних зусиль і міжнародного співробітництва та відповідно до структури і ресурсів кожної держави.
human_rights_un_ukr_r90_64kb_0077	Стаття 23.
human_rights_un_ukr_r90_64kb_0078	Кожна людина має право на працю, на вільний вибір роботи, на справедливі і сприятливі умови праці та на захист від безробіття.
human_rights_un_ukr_r90_64kb_0079	Кожна людина, без будь‐якої дискримінації, має право на рівну оплату за рівну працю.
human_rights_un_ukr_r90_64kb_0080	Кожний працюючий має право на справедливу і задовільну винагороду, яка забезпечує гідне людини існування, її самої та її сім'ї, і яка в разі необхідності доповнюється іншими засобами соціального забезпечення.
human_rights_un_ukr_r90_64kb_0081	Кожна людина має право створювати професійні спілки і входити до професійних спілок для захисту своїх інтересів.
human_rights_un_ukr_r90_64kb_0082	Стаття 24.
human_rights_un_ukr_r90_64kb_0083	Кожна людина має право на відпочинок і дозвілля, включаючи право на розумне обмеження робочого дня та на оплачувану періодичну відпустку.
human_rights_un_ukr_r90_64kb_0084	Стаття 25.
human_rights_un_ukr_r90_64kb_0085	Кожна людина має право на такий життєвий рівень, включаючи їжу, житло, медичний догляд та необхідне соціальне обслуговування, який є необхідним для підтримання здоров'я і добробуту її самої та її сім'ї, і право на забезпечення в разі безробіття, хвороби, інвалідності, вдівства, старості чи іншого випадку втрати засобів до існування через незалежні від неї обставини.
human_rights_un_ukr_r90_64kb_0086	Материнство і дитинство дають право на особливе піклування і допомогу.
human_rights_un_ukr_r90_64kb_0087	Всі діти, народжені у шлюбі або поза шлюбом, повинні користуватися однаковим соціальним захистом.
human_rights_un_ukr_r90_64kb_0088	Стаття 26.
human_rights_un_ukr_r90_64kb_0089	Кожна людина має право на освіту.
human_rights_un_ukr_r90_64kb_0090	Освіта повинна бути безплатною, хоча б початкова і загальна.
human_rights_un_ukr_r90_64kb_0091	Початкова освіта повинна бути обов'язковою.
human_rights_un_ukr_r90_64kb_0092	Технічна і професійна освіта повинна бути загальнодоступною, а вища освіта повинна бути однаково доступною для всіх на основі здібностей кожного.
human_rights_un_ukr_r90_64kb_0093	Освіта повинна бути спрямована на повний розвиток людської особи і збільшення поваги до прав людини і основних свобод.
human_rights_un_ukr_r90_64kb_0094	Освіта повинна сприяти взаєморозумінню, терпимості і дружбі між усіма народами, расовими, або релігійними групами і повинна сприяти діяльності Організації Об'єднаних Націй по підтриманню миру.
human_rights_un_ukr_r90_64kb_0095	Батьки мають право пріоритету у виборі виду освіти для своїх малолітніх дітей.
human_rights_un_ukr_r90_64kb_0096	Стаття 27.
human_rights_un_ukr_r90_64kb_0097	Кожна людина має право вільно брати участь у культурному житті суспільства, втішатися мистецтвом, брати участь у науковому прогресі і користуватися його благами.
human_rights_un_ukr_r90_64kb_0098	Кожна людина має право на захист її моральних і матеріальних інтересів, що є результатом наукових, літературних або художніх праць, автором яких вона є.
human_rights_un_ukr_r90_64kb_0099	Стаття 28.
human_rights_un_ukr_r90_64kb_0100	Кожна людина має право на соціальний і міжнародний порядок, при якому права і свободи, викладені в цій Декларації, можуть бути повністю здійснені.
human_rights_un_ukr_r90_64kb_0101	Стаття 29.
human_rights_un_ukr_r90_64kb_0102	Кожна людина має обов'язки перед суспільством, у якому тільки й можливий вільний і повний розвиток її особи.
human_rights_un_ukr_r90_64kb_0103	При здійсненні своїх прав і свобод кожна людина повинна зазнавати тільки таких обмежень, які встановлені законом виключно з метою забезпечення належного визнання і поваги прав і свобод інших та забезпечення справедливих вимог моралі, громадського порядку і загального добробуту в демократичному суспільстві.
human_rights_un_ukr_r90_64kb_0104	Здійснення цих прав і свобод ні в якому разі не повинно суперечити цілям і принципам Організації Об'єднаних Націй.
human_rights_un_ukr_r90_64kb_0105	Стаття 30.
human_rights_un_ukr_r90_64kb_0106	Ніщо у цій Декларації не може бути витлумачено як надання будь‐якій державі, групі осіб або окремим особам права займатися будь‐якою діяльністю або вчиняти дії, спрямовані на знищення прав і свобод, викладених у цій Декларації.
