human_rights_un_frn_gyz_64kb_0001	Déclaration universelle des droits de l’homme
human_rights_un_frn_gyz_64kb_0049	Article 15
human_rights_un_frn_gyz_64kb_0050	Tout individu a droit à une nationalité.
human_rights_un_frn_gyz_64kb_0051	Nul ne peut être arbitrairement privé de sa nationalité, ni du droit de changer de nationalité.
human_rights_un_frn_gyz_64kb_0052	Article 16
human_rights_un_frn_gyz_64kb_0053	A partir de l’âge nubile, l’homme et la femme, sans aucune restriction quant à la race, la nationalité ou la religion, ont le droit de se marier et de fonder une famille.
human_rights_un_frn_gyz_64kb_0054	Ils ont des droits égaux au regard du mariage, durant le mariage et lors de sa dissolution.
human_rights_un_frn_gyz_64kb_0055	Le mariage ne peut être conclu qu’avec le libre et plein consentement des futurs époux.
human_rights_un_frn_gyz_64kb_0056	La famille est l’élément naturel et fondamental de la société et a droit à la protection de la société et de l’État.
human_rights_un_frn_gyz_64kb_0057	Article 17
human_rights_un_frn_gyz_64kb_0058	Toute personne, aussi bien seule qu’en collectivité, a droit à la propriété.
human_rights_un_frn_gyz_64kb_0059	Nul ne peut être arbitrairement privé de sa propriété.
human_rights_un_frn_gyz_64kb_0060	Article 18
human_rights_un_frn_gyz_64kb_0061	Toute personne a droit à la liberté de pensée, de conscience et de religion;
human_rights_un_frn_gyz_64kb_0062	ce droit implique la liberté de changer de religion ou de conviction ainsi que la liberté de manifester sa religion ou sa conviction, seule ou en commun, tant en public qu’en privé, par l’enseignement, les pratiques, le culte et l’accomplissement des rites.
human_rights_un_frn_gyz_64kb_0063	Article 19
human_rights_un_frn_gyz_64kb_0064	Tout individu a droit à la liberté d’opinion et d’expression, ce qui implique le droit de ne pas être inquiété pour ses opinions et celui de chercher, de recevoir et de répandre, sans considérations de frontières, les informations et les idées par quelque moyen d’expression que ce soit.
human_rights_un_frn_gyz_64kb_0065	Article 20
human_rights_un_frn_gyz_64kb_0066	Toute personne a droit à la liberté de réunion et d’association pacifiques.
human_rights_un_frn_gyz_64kb_0067	Nul ne peut être obligé de faire partie d’une association.
human_rights_un_frn_gyz_64kb_0068	Article 21
human_rights_un_frn_gyz_64kb_0069	Toute personne a le droit de prendre part à la direction des affaires publiques de son pays, soit directement, soit par l’intermédiaire de représentants librement choisis.
human_rights_un_frn_gyz_64kb_0070	Toute personne a droit à accéder, dans des conditions d’égalité, aux fonctions publiques de son pays.
human_rights_un_frn_gyz_64kb_0071	La volonté du peuple est le fondement de l’autorité des pouvoirs publics;
human_rights_un_frn_gyz_64kb_0072	cette volonté doit s’exprimer par des élections honnêtes qui doivent avoir lieu périodiquement, au suffrage universel égal et au vote secret ou suivant une procédure équivalente assurant la liberté du vote.
human_rights_un_frn_gyz_64kb_0073	Article 22
human_rights_un_frn_gyz_64kb_0074	Toute personne, en tant que membre de la société, a droit à la sécurité sociale;
human_rights_un_frn_gyz_64kb_0075	elle est fondée à obtenir la satisfaction des droits économiques, sociaux et culturels indispensables à sa dignité et au libre développement de sa personnalité, grâce à l’effort national et à la coopération internationale, compte tenu de l’organisation et des ressources de chaque pays.
human_rights_un_frn_gyz_64kb_0076	Article 23
human_rights_un_frn_gyz_64kb_0077	Toute personne a droit au travail, au libre choix de son travail, à des conditions équitables et satisfaisantes de travail et à la protection contre le chômage.
human_rights_un_frn_gyz_64kb_0078	Tous ont droit, sans aucune discrimination, à un salaire égal pour un travail égal.
human_rights_un_frn_gyz_64kb_0079	Quiconque travaille a droit à une rémunération équitable et satisfaisante lui assurant ainsi qu’à sa famille une existence conforme à la dignité humaine et complétée, s’il y a lieu, par tous autres moyens de protection sociale.
human_rights_un_frn_gyz_64kb_0080	Toute personne a le droit de fonder avec d’autres des syndicats et de s’affilier à des syndicats pour la défense de ses intérêts.
human_rights_un_frn_gyz_64kb_0081	Article 24
human_rights_un_frn_gyz_64kb_0082	Toute personne a droit au repos et aux loisirs et notamment à une limitation raisonnable de la durée du travail et à des congés payés périodiques.
human_rights_un_frn_gyz_64kb_0083	Article 25
human_rights_un_frn_gyz_64kb_0084	Toute personne a droit à un niveau de vie suffisant pour assurer sa santé, son bien‐être et ceux de sa famille, notamment pour l’alimentation, l’habillement, le logement, les soins médicaux ainsi que pour les services sociaux nécessaires;
human_rights_un_frn_gyz_64kb_0085	elle a droit à la sécurité en cas de chômage, de maladie, d’invalidité, de veuvage, de vieillesse ou dans les autres cas de perte de ses moyens de subsistance par suite de circonstances indépendantes de sa volonté.
human_rights_un_frn_gyz_64kb_0086	La maternité et l’enfance ont droit à une aide et à une assistance spéciales.
human_rights_un_frn_gyz_64kb_0087	Tous les enfants, qu’ils soient nés dans le mariage ou hors mariage, jouissent de la même protection sociale.
human_rights_un_frn_gyz_64kb_0088	Article 26
human_rights_un_frn_gyz_64kb_0089	Toute personne a droit à l’éducation.
human_rights_un_frn_gyz_64kb_0090	L’éducation doit être gratuite, au moins en ce qui concerne l’enseignement élémentaire et fondamental.
human_rights_un_frn_gyz_64kb_0091	L’enseignement élémentaire est obligatoire.
human_rights_un_frn_gyz_64kb_0092	L’enseignement technique et professionnel doit être généralisé;
human_rights_un_frn_gyz_64kb_0093	l’accès aux études supérieures doit être ouvert en pleine égalité à tous en fonction de leur mérite.
human_rights_un_frn_gyz_64kb_0094	L’éducation doit viser au plein épanouissement de la personnalité humaine et au renforcement du respect des droits de l’homme et des libertés fondamentales.
human_rights_un_frn_gyz_64kb_0095	Elle doit favoriser la compréhension, la tolérance et l’amitié entre toutes les nations et tous les groupes raciaux ou religieux, ainsi que le développement des activités des Nations Unies pour le maintien de la paix.
human_rights_un_frn_gyz_64kb_0096	Les parents ont, par priorité, le droit de choisir le genre d’éducation à donner à leurs enfants.
human_rights_un_frn_gyz_64kb_0097	Article 27
human_rights_un_frn_gyz_64kb_0098	Toute personne a le droit de prendre part librement à la vie culturelle de la communauté, de jouir des arts et de participer au progrès scientifique et aux bienfaits qui en résultent.
human_rights_un_frn_gyz_64kb_0099	Chacun a droit à la protection des intérêts moraux et matériels découlant de toute production scientifique, littéraire ou artistique dont il est l’auteur.
human_rights_un_frn_gyz_64kb_0100	Article 28
human_rights_un_frn_gyz_64kb_0101	Toute personne a droit à ce que règne, sur le plan social et sur le plan international, un ordre tel que les droits et libertés énoncés dans la présente Déclaration puissent y trouver plein effet.
human_rights_un_frn_gyz_64kb_0102	Article 29
human_rights_un_frn_gyz_64kb_0103	L’individu a des devoirs envers la communauté dans laquelle seul le libre et plein développement de sa personnalité est possible.
human_rights_un_frn_gyz_64kb_0104	Dans l’exercice de ses droits et dans la jouissance de ses libertés, chacun n’est soumis qu’aux limitations établies par la loi exclusivement en vue d’assurer la reconnaissance et le respect des droits et libertés d’autrui et afin de satisfaire aux justes exigences de la morale, de l’ordre public et du bien‐être général dans une société démocratique.
human_rights_un_frn_gyz_64kb_0105	Ces droits et libertés ne pourront, en aucun cas, s’exercer contrairement aux buts et aux principes des Nations Unies.
human_rights_un_frn_gyz_64kb_0106	Article 30
human_rights_un_frn_gyz_64kb_0107	Aucune disposition de la présente Déclaration ne peut être interprétée comme impliquant pour un État, un groupement ou un individu un droit quelconque de se livrer à une activité ou d’accomplir un acte visant à la destruction des droits et libertés qui y sont énoncés.
