human_rights_un_por_sl_64kb_0001	Declaração Universal dos Direitos Humanos
human_rights_un_por_sl_64kb_0018	Além disso, não será feita nenhuma distinção fundada no estatuto político, jurídico ou internacional do país ou do território da naturalidade da pessoa, seja esse país ou território independente, sob tutela, autónomo ou sujeito a alguma limitação de soberania.
human_rights_un_por_sl_64kb_0019	Artigo 3.
human_rights_un_por_sl_64kb_0020	º
human_rights_un_por_sl_64kb_0021	Todo o indivíduo tem direito à vida, à liberdade e à segurança pessoal.
human_rights_un_por_sl_64kb_0022	Artigo 4.
human_rights_un_por_sl_64kb_0023	º
human_rights_un_por_sl_64kb_0024	Ninguém será mantido em escravatura ou em servidão;
human_rights_un_por_sl_64kb_0025	a escravatura e o trato dos escravos, sob todas as formas, são proibidos.
human_rights_un_por_sl_64kb_0026	Artigo 5.
human_rights_un_por_sl_64kb_0027	º
human_rights_un_por_sl_64kb_0028	Ninguém será submetido a tortura nem a penas ou tratamentos cruéis, desumanos ou degradantes.
human_rights_un_por_sl_64kb_0029	Artigo 6.
human_rights_un_por_sl_64kb_0030	º
human_rights_un_por_sl_64kb_0031	Todos os indivíduos têm direito ao reconhecimento, em todos os lugares, da sua personalidade jurídica.
human_rights_un_por_sl_64kb_0032	Artigo 7.
human_rights_un_por_sl_64kb_0033	º
human_rights_un_por_sl_64kb_0034	Todos são iguais perante a lei e, sem distinção, têm direito a igual protecção da lei.
human_rights_un_por_sl_64kb_0035	Todos têm direito a protecção igual contra qualquer discriminação que viole a presente Declaração e contra qualquer incitamento a tal discriminação.
human_rights_un_por_sl_64kb_0036	Artigo 8.
human_rights_un_por_sl_64kb_0037	º
human_rights_un_por_sl_64kb_0038	Toda a pessoa tem direito a recurso efectivo para as jurisdições nacionais competentes contra os actos que violem os direitos fundamentais reconhecidos pela Constituição ou pela lei.
human_rights_un_por_sl_64kb_0039	Artigo 9.
human_rights_un_por_sl_64kb_0040	º
human_rights_un_por_sl_64kb_0041	Ninguém pode ser arbitrariamente preso, detido ou exilado.
human_rights_un_por_sl_64kb_0042	Artigo 10.
human_rights_un_por_sl_64kb_0043	º
human_rights_un_por_sl_64kb_0044	Toda a pessoa tem direito, em plena igualdade, a que a sua causa seja equitativa e publicamente julgada por um tribunal independente e imparcial que decida dos seus direitos e obrigações ou das razões de qualquer acusação em matéria penal que contra ela seja deduzida.
human_rights_un_por_sl_64kb_0045	Artigo 11.
human_rights_un_por_sl_64kb_0046	º
human_rights_un_por_sl_64kb_0047	Toda a pessoa acusada de um acto delituoso presume‐se inocente até que a sua culpabilidade fique legalmente provada no decurso de um processo público em que todas as garantias necessárias de defesa lhe sejam asseguradas.
human_rights_un_por_sl_64kb_0048	Ninguém será condenado por acções ou omissões que, no momento da sua prática, não constituíam acto delituoso à face do direito interno ou internacional.
human_rights_un_por_sl_64kb_0049	Do mesmo modo, não será infligida pena mais grave do que a que era aplicável no momento em que o acto delituoso foi cometido.
human_rights_un_por_sl_64kb_0050	Artigo 12.
human_rights_un_por_sl_64kb_0051	º
human_rights_un_por_sl_64kb_0052	Ninguém sofrerá intromissões arbitrárias na sua vida privada, na sua família, no seu domicílio ou na sua correspondência, nem ataques à sua honra e reputação.
human_rights_un_por_sl_64kb_0053	Contra tais intromissões ou ataques toda a pessoa tem direito a protecção da lei.
human_rights_un_por_sl_64kb_0054	Artigo 13.
human_rights_un_por_sl_64kb_0055	º
human_rights_un_por_sl_64kb_0056	Toda a pessoa tem o direito de livremente circular e escolher a sua residência no interior de um Estado.
human_rights_un_por_sl_64kb_0057	Toda a pessoa tem o direito de abandonar o país em que se encontra, incluindo o seu, e o direito de regressar ao seu país.
human_rights_un_por_sl_64kb_0058	Artigo 14.
human_rights_un_por_sl_64kb_0059	º
human_rights_un_por_sl_64kb_0060	Toda a pessoa sujeita a perseguição tem o direito de procurar e de beneficiar de asilo em outros países.
human_rights_un_por_sl_64kb_0061	Este direito não pode, porém, ser invocado no caso de processo realmente existente por crime de direito comum ou por actividades contrárias aos fins e aos princípios das Nações Unidas.
human_rights_un_por_sl_64kb_0062	Artigo 15.
human_rights_un_por_sl_64kb_0063	º
human_rights_un_por_sl_64kb_0064	Todo o indivíduo tem direito a ter uma nacionalidade.
human_rights_un_por_sl_64kb_0065	Ninguém pode ser arbitrariamente privado da sua nacionalidade nem do direito de mudar de nacionalidade.
human_rights_un_por_sl_64kb_0066	Artigo 16.
human_rights_un_por_sl_64kb_0067	º
human_rights_un_por_sl_64kb_0068	A partir da idade núbil, o homem e a mulher têm o direito de casar e de constituir família, sem restrição alguma de raça, nacionalidade ou religião.
human_rights_un_por_sl_64kb_0069	Durante o casamento e na altura da sua dissolução, ambos têm direitos iguais.
human_rights_un_por_sl_64kb_0070	O casamento não pode ser celebrado sem o livre e pleno consentimento dos futuros esposos.
human_rights_un_por_sl_64kb_0071	A família é o elemento natural e fundamental da sociedade e tem direito à protecção desta e do Estado.
human_rights_un_por_sl_64kb_0072	Artigo 17.
human_rights_un_por_sl_64kb_0073	º
human_rights_un_por_sl_64kb_0074	Toda a pessoa, individual ou colectivamente, tem direito à propriedade.
human_rights_un_por_sl_64kb_0075	Ninguém pode ser arbitrariamente privado da sua propriedade.
human_rights_un_por_sl_64kb_0076	Artigo 18.
human_rights_un_por_sl_64kb_0077	º
human_rights_un_por_sl_64kb_0078	Toda a pessoa tem direito à liberdade de pensamento, de consciência e de religião;
human_rights_un_por_sl_64kb_0079	este direito implica a liberdade de mudar de religião ou de convicção, assim como a liberdade de manifestar a religião ou convicção, sozinho ou em comum, tanto em público como em privado, pelo ensino, pela prática, pelo culto e pelos ritos.
human_rights_un_por_sl_64kb_0080	Artigo 19.
human_rights_un_por_sl_64kb_0081	º
human_rights_un_por_sl_64kb_0082	Todo o indivíduo tem direito à liberdade de opinião e de expressão, o que implica o direito de não ser inquietado pelas suas opiniões e o de procurar, receber e difundir, sem consideração de fronteiras, informações e ideias por qualquer meio de expressão.
human_rights_un_por_sl_64kb_0083	Artigo 20.
human_rights_un_por_sl_64kb_0084	º
human_rights_un_por_sl_64kb_0085	Toda a pessoa tem direito à liberdade de reunião e de associação pacíficas.
human_rights_un_por_sl_64kb_0086	Ninguém pode ser obrigado a fazer parte de uma associação.
human_rights_un_por_sl_64kb_0087	Artigo 21.
human_rights_un_por_sl_64kb_0088	º
human_rights_un_por_sl_64kb_0089	Toda a pessoa tem o direito de tomar parte na direcção dos negócios, públicos do seu país, quer directamente, quer por intermédio de representantes livremente escolhidos.
human_rights_un_por_sl_64kb_0090	Toda a pessoa tem direito de acesso, em condições de igualdade, às funções públicas do seu país.
human_rights_un_por_sl_64kb_0091	A vontade do povo é o fundamento da autoridade dos poderes públicos: e deve exprimir‐se através de eleições honestas a realizar periodicamente por sufrágio universal e igual, com voto secreto ou segundo processo equivalente que salvaguarde a liberdade de voto.
human_rights_un_por_sl_64kb_0092	Artigo 22.
human_rights_un_por_sl_64kb_0093	º
human_rights_un_por_sl_64kb_0094	Toda a pessoa, como membro da sociedade, tem direito à segurança social;
human_rights_un_por_sl_64kb_0095	e pode legitimamente exigir a satisfação dos direitos económicos, sociais e culturais indispensáveis, graças ao esforço nacional e à cooperação internacional, de harmonia com a organização e os recursos de cada país.
human_rights_un_por_sl_64kb_0096	Artigo 23.
human_rights_un_por_sl_64kb_0097	º
human_rights_un_por_sl_64kb_0098	Toda a pessoa tem direito ao trabalho, à livre escolha do trabalho, a condições equitativas e satisfatórias de trabalho e à protecção contra o desemprego.
human_rights_un_por_sl_64kb_0099	Todos têm direito, sem discriminação alguma, a salário igual por trabalho igual.
human_rights_un_por_sl_64kb_0100	Quem trabalha tem direito a uma remuneração equitativa e satisfatória, que lhe permita e à sua família uma existência conforme com a dignidade humana, e completada, se possível, por todos os outros meios de protecção social.
human_rights_un_por_sl_64kb_0101	Toda a pessoa tem o direito de fundar com outras pessoas sindicatos e de se filiar em sindicatos para defesa dos seus interesses.
human_rights_un_por_sl_64kb_0102	Artigo 24.
human_rights_un_por_sl_64kb_0103	º
human_rights_un_por_sl_64kb_0104	Toda a pessoa tem direito ao repouso e aos lazeres, especialmente, a uma limitação razoável da duração do trabalho e as férias periódicas pagas.
human_rights_un_por_sl_64kb_0105	Artigo 25.
human_rights_un_por_sl_64kb_0106	º
human_rights_un_por_sl_64kb_0107	Toda a pessoa tem direito a um nível de vida suficiente para lhe assegurar e à sua família a saúde e o bem‐estar, principalmente quanto à alimentação, ao vestuário, ao alojamento, à assistência médica e ainda quanto aos serviços sociais necessários, e tem direito à segurança no desemprego, na doença, na invalidez, na viuvez, na velhice ou noutros casos de perda de meios de subsistência por circunstâncias independentes da sua vontade.
human_rights_un_por_sl_64kb_0108	A maternidade e a infância têm direito a ajuda e a assistência especiais.
human_rights_un_por_sl_64kb_0109	Todas as crianças, nascidas dentro ou fora do matrimónio, gozam da mesma protecção social.
human_rights_un_por_sl_64kb_0110	Artigo 26.
human_rights_un_por_sl_64kb_0111	º
human_rights_un_por_sl_64kb_0112	Toda a pessoa tem direito à educação.
human_rights_un_por_sl_64kb_0113	A educação deve ser gratuita, pelo menos a correspondente ao ensino elementar fundamental.
human_rights_un_por_sl_64kb_0114	O ensino elementar é obrigatório.
human_rights_un_por_sl_64kb_0115	O ensino técnico e profissional dever ser generalizado;
human_rights_un_por_sl_64kb_0116	o acesso aos estudos superiores deve estar aberto a todos em plena igualdade, em função do seu mérito.
human_rights_un_por_sl_64kb_0117	A educação deve visar à plena expansão da personalidade humana e ao reforço dos direitos humanos e das liberdades fundamentais e deve favorecer a compreensão, a tolerância e a amizade entre todas as nações e todos os grupos raciais ou religiosos, bem como o desenvolvimento das actividades das Nações Unidas para a manutenção da paz.
human_rights_un_por_sl_64kb_0118	Aos pais pertence a prioridade do direito de escolher o género de educação a dar aos filhos.
human_rights_un_por_sl_64kb_0119	Artigo 27.
human_rights_un_por_sl_64kb_0120	º
human_rights_un_por_sl_64kb_0121	Toda a pessoa tem o direito de tomar parte livremente na vida cultural da comunidade, de fruir as artes e de participar no progresso científico e nos benefícios que deste resultam.
human_rights_un_por_sl_64kb_0122	Todos têm direito à protecção dos interesses morais e materiais ligados a qualquer produção científica, literária ou artística da sua autoria.
human_rights_un_por_sl_64kb_0123	Artigo 28.
human_rights_un_por_sl_64kb_0124	º
human_rights_un_por_sl_64kb_0125	Toda a pessoa tem direito a que reine, no plano social e no plano internacional, uma ordem capaz de tornar plenamente efectivos os direitos e as liberdades enunciadas na presente Declaração.
human_rights_un_por_sl_64kb_0126	Artigo 29.
human_rights_un_por_sl_64kb_0127	º
human_rights_un_por_sl_64kb_0128	O indivíduo tem deveres para com a comunidade, fora da qual não é possível o livre e pleno desenvolvimento da sua personalidade.
human_rights_un_por_sl_64kb_0129	No exercício destes direitos e no gozo destas liberdades ninguém está sujeito senão às limitações estabelecidas pela lei com vista exclusivamente a promover o reconhecimento e o respeito dos direitos e liberdades dos outros e a fim de satisfazer as justas exigências da moral, da ordem pública e do bem‐estar numa sociedade democrática.
human_rights_un_por_sl_64kb_0130	Em caso algum estes direitos e liberdades poderão ser exercidos contrariamente aos fins e aos princípios das Nações Unidas.
human_rights_un_por_sl_64kb_0131	Artigo 30.
human_rights_un_por_sl_64kb_0132	º
human_rights_un_por_sl_64kb_0133	Nenhuma disposição da presente Declaração pode ser interpretada de maneira a envolver para qualquer Estado, agrupamento ou indivíduo o direito de se entregar a alguma actividade ou de praticar algum acto destinado a destruir os direitos e liberdades aqui enunciados.
