human_rights_un_afk_cdb_64kb_0001	Aanhef
human_rights_un_afk_cdb_64kb_0045	Elkeen het die reg om enige land te verlaat, insluitende sy eie, en na sy land terug te keer.
human_rights_un_afk_cdb_64kb_0046	Artikel 14
human_rights_un_afk_cdb_64kb_0047	Elkeen het die reg tot asiel in ander lande.
human_rights_un_afk_cdb_64kb_0048	Daar mag nie op hierdie reg aanspraak gemaak word tydens vervolging vir nie‐politieke oortredings of dade wat strydig is met die doelwitte en beginsels van die Verenigde Volke nie.
human_rights_un_afk_cdb_64kb_0049	Artikel 15
human_rights_un_afk_cdb_64kb_0050	Elkeen het die reg tot burgerskap.
human_rights_un_afk_cdb_64kb_0051	Niemand se burgerskap sal arbitrêr afgeneem word nie en niemand sal van die reg ontneem word om afstand te doen van burgerskap nie.
human_rights_un_afk_cdb_64kb_0052	Artikel 16
human_rights_un_afk_cdb_64kb_0053	Volwasse mans en vrouens, sonder enige beperking as gevolg van ras, nasionaliteit of godsdiens, het die reg om te trou en met ’n familie te begin.
human_rights_un_afk_cdb_64kb_0054	Hulle kan aanspraak maak op gelyke regte ten opsigte van die huwelik, tydens die huwelik en tydens ontbinding van die huwelik.
human_rights_un_afk_cdb_64kb_0055	Die huwelik sal plaasvind slegs met die vrywillige en volle toestemming van die voornemende huweliksmaats.
human_rights_un_afk_cdb_64kb_0056	Die familie is die natuurlike en fundamentele groepseenheid van die gemeenskap en kan aanspraak maak op beskerming deur die gemeenskap en die Staat.
human_rights_un_afk_cdb_64kb_0057	Artikel 17
human_rights_un_afk_cdb_64kb_0058	Elkeen het die reg om individueel en in assosiasie met ander eiendom te besit.
human_rights_un_afk_cdb_64kb_0059	Niemand se eiendom sal arbitrêr afgeneem word nie.
human_rights_un_afk_cdb_64kb_0060	Artikel 18
human_rights_un_afk_cdb_64kb_0061	Elkeen het die reg tot vryheid van denke, gewete en godsdiens;
human_rights_un_afk_cdb_64kb_0062	hierdie reg sluit in die reg om van godsdiens of geloof te verander en die vryheid om, hetsy alleen of in ’n gemeenskap, hierdie godsdiens of geloof te beoefen deur verkondiging, aanbidding of heiliging.
human_rights_un_afk_cdb_64kb_0063	Artikel 19
human_rights_un_afk_cdb_64kb_0064	Elkeen het die reg tot vryheid van opinie en uitdrukking;
human_rights_un_afk_cdb_64kb_0065	hierdie reg sluit die vryheid in om opinies sonder inmenging te lug en om inligting en idees te vra, te ontvang en te deel deur middel van enige medium ten spyte van grense.
human_rights_un_afk_cdb_64kb_0066	Artikel 20
human_rights_un_afk_cdb_64kb_0067	Elkeen het die reg tot vryheid van vreedsame vergadering en assosiasie.
human_rights_un_afk_cdb_64kb_0068	Niemand sal gedwing word om aan ’n assosiasie te behoort nie.
human_rights_un_afk_cdb_64kb_0069	Artikel 21
human_rights_un_afk_cdb_64kb_0070	Elkeen het die reg om aan die regering van sy land deel te neem, hetsy direk of deur vrylik verkose verteenwoordigers.
human_rights_un_afk_cdb_64kb_0071	Elkeen het die reg tot gelyke toegang tot die openbare dienste in sy land.
human_rights_un_afk_cdb_64kb_0072	Die wil van die mense sal die basis vorm van die owerheid of regering, en hierdie wil sal uitgedruk word deur middel van egte tussenverkiesings.
human_rights_un_afk_cdb_64kb_0073	Artikel 22
human_rights_un_afk_cdb_64kb_0074	Elkeen, as ’n lid van die gemeenskap, het die reg tot bestaan‐sekerheid en kan aanspraak maak op die verwesenliking van die ekonomiese, sosiale en kulturele regte wat noodsaaklik is vir sy waardigheid en die vrye ontwikkeling van sy persoonlikheid, deur middel van nasionale pogings en internasionale samewerking en volgens die organisasie en hulpbronne van elke staat.
human_rights_un_afk_cdb_64kb_0075	Artikel 23
human_rights_un_afk_cdb_64kb_0076	Elkeen het die reg om te werk, tot die vrye keuse van arbeid, tot regverdige en gunstige werksomstandighede en tot beskerming teen werkloosheid.
human_rights_un_afk_cdb_64kb_0077	Elkeen, sonder diskriminasie, het die reg tot gelyke betaling vir gelyke werk.
human_rights_un_afk_cdb_64kb_0078	Elkeen wat werk kan aanspraak maak op regverdige vergoeding wat aan hom en sy familie ’n menswaardige bestaan verseker en wat aangevul kan word deur ander vorms van sosiale sekerheid, indien nodig.
human_rights_un_afk_cdb_64kb_0079	Elkeen het die reg, ter beskerming van sy belange, om vakbonde te stig en daarby aan te sluit
human_rights_un_afk_cdb_64kb_0080	Artikel 24
human_rights_un_afk_cdb_64kb_0081	Elkeen het die reg tot rus en vrye tyd, insluitend redelike beperkings op werksure en periodieke betaalde verlof.
human_rights_un_afk_cdb_64kb_0082	Artikel 25
human_rights_un_afk_cdb_64kb_0083	Elkeen het die reg tot ’n lewenspeil wat voldoende is vir gesondheid, welsyn vir homself en sy familie, insluitende kos, klere, behuising, mediese sorg en noodsaaklike bestaansekerheid, en die reg tot voordele of onderstandsgeld tydens werkloosheid, siekte, ongeskiktheid, weduweeskap, ouderdom of ’n tekort aan lewens‐middele tydens omstandighede buite sy beheer.
human_rights_un_afk_cdb_64kb_0084	Moeders en kinders kan aanspraak maak op spesiale sorg en hulp.
human_rights_un_afk_cdb_64kb_0085	Alle kinders, hetsy binne‐ of buite‐egtelik, sal dieselfde sosiale beskerming geniet.
human_rights_un_afk_cdb_64kb_0086	Artikel 26
human_rights_un_afk_cdb_64kb_0087	Elkeen het die reg tot opvoeding.
human_rights_un_afk_cdb_64kb_0088	Opvoeding sal gratis wees, ten minste in die elementêre en fundamentele stadiums.
human_rights_un_afk_cdb_64kb_0089	Elementêre opvoeding sal verpligtend wees.
human_rights_un_afk_cdb_64kb_0090	Tegniese en professionele opvoeding sal geredelik beskikbaar wees en ho’r opvoeding sal net so geredelik op meriete beskikbaar wees.
human_rights_un_afk_cdb_64kb_0091	Opvoeding sal gemik wees op die volle ontwikkeling van die menslike persoonlikheid en op die bevordering van respek vir menseregte en fundamentele vryheid.
human_rights_un_afk_cdb_64kb_0092	Dit sal begrip, verdraag‐saamheid en vriendskap tussen alle nasies, rasse of etniese groepe bevorder, asook die aktiwiteite van die Verenigde Volke in die handhawing van vrede.
human_rights_un_afk_cdb_64kb_0093	Ouers het die reg om te kies watter tipe opvoeding hulle kinders ontvang.
human_rights_un_afk_cdb_64kb_0094	Artikel 27
human_rights_un_afk_cdb_64kb_0095	Almal het die reg om vrylik aan die kulturele lewe van hul gemeenskap deel te neem, om die kunste te geniet en in wetenskaplike vooruitgang en voordele te deel.
human_rights_un_afk_cdb_64kb_0096	Elkeen het die reg tot die beskerming van die morele en materi’le belange wat spruit uit enige wetenskaplike, letterkundige of kunswerk deur hom geproduseer.
human_rights_un_afk_cdb_64kb_0097	Artikel 28
human_rights_un_afk_cdb_64kb_0098	Elkeen is geregtig op ’n sosiale en internasionale orde waarin die regte en vryhede beskryf in hierdie Verklaring ten volle verwesenlik kan word.
human_rights_un_afk_cdb_64kb_0099	Artikel 29
human_rights_un_afk_cdb_64kb_0100	Elkeen het verpligtinge teenoor die gemeenskap waar alleenlik die vrye en volle ontwikkeling van sy persoonlikheid moontlik is.
human_rights_un_afk_cdb_64kb_0101	In die uitoefening van regte en vryhede, sal elke mens slegs onderworpe wees aan die wetlike beperkinge ingestel om deeglike erkenning en respek vir die regte en vryhede van ander te verseker en om die redelike vereistes na te kom vir sedelikheid, openbare orde en die algemene welsyn van ’n demokratiese gemeenskap.
human_rights_un_afk_cdb_64kb_0102	Hierdie regte en vryhede mag in geen geval strydig met die doelwitte en beginsels van die Verenigde Volke uitgeoefen word nie.
human_rights_un_afk_cdb_64kb_0103	Artikel 30
human_rights_un_afk_cdb_64kb_0104	Niks in hierdie Verklaring mag interpreteer word as impliserend dat enige Staat, groep of persoon die reg het om deel te neem aan enige aktiwiteit of enige daad wat gerig is op die beskadiging van enige regte en vryhede hierin beskryf nie.
