human_rights_un_grc_pi_64kb_0001	ΟΙΚΟΥΜΕΝΙΚΗ ΔΙΑΚΗΡΥΞΗ ΓΙΑ ΤΑ ΑΝΘΡΩΠΙΝΑ ΔΙΚΑΙΩΜΑΤΑ
human_rights_un_grc_pi_64kb_0018	Δεν θα μπορεί ακόμα να γίνεται καμία διάκριση εξαιτίας του πολιτικού, νομικού ή διεθνούς καθεστώτος της χώρας από την οποία προέρχεται κανείς, είτε πρόκειται για χώρα ή εδαφική περιοχή ανεξάρτητη, υπό κηδεμονία ή υπεξουσία, ή που βρίσκεται υπό οποιονδήποτε άλλον περιορισμό κυριαρχίας.
human_rights_un_grc_pi_64kb_0019	ΑΡΘΡΟ 3
human_rights_un_grc_pi_64kb_0020	Κάθε άτομο έχει δικαίωμα στη ζωή, την ελευθερία και την προσωπική του ασφάλεια.
human_rights_un_grc_pi_64kb_0021	ΑΡΘΡΟ 4
human_rights_un_grc_pi_64kb_0022	Κανείς δεν επιτρέπεται να ζει υπό καθεστώς δουλείας, ολικής ή μερικής.
human_rights_un_grc_pi_64kb_0023	Η δουλεία και το δουλεμπόριο υπό οποιαδήποτε μορφή απαγορεύονται.
human_rights_un_grc_pi_64kb_0024	ΑΡΘΡΟ 5
human_rights_un_grc_pi_64kb_0025	Κανείς δεν επιτρέπεται να υποβάλλεται σε βασανιστήρια ούτε σε ποινή ή μεταχείριση σκληρή, απάνθρωπη ή ταπεινωτική.
human_rights_un_grc_pi_64kb_0026	ΑΡΘΡΟ 6
human_rights_un_grc_pi_64kb_0027	Καθένας, όπου και αν βρίσκεται, έχει δικαίωμα στην αναγνώριση της νομικής του προσωπικότητας.
human_rights_un_grc_pi_64kb_0028	ΑΡΘΡΟ 7
human_rights_un_grc_pi_64kb_0029	Όλοι είναι ίσοι απέναντι στον νόμο και έχουν δικαίωμα σε ίση προστασία του νόμου, χωρίς καμία απολύτως διάκριση.
human_rights_un_grc_pi_64kb_0030	Όλοι έχουν δικαίωμα σε ίση προστασία από κάθε διάκριση που θα παραβίαζε την παρούσα Διακήρυξη και από κάθε πρόκληση για μια τέτοια δυσμενή διάκριση.
human_rights_un_grc_pi_64kb_0031	ΑΡΘΡΟ 8
human_rights_un_grc_pi_64kb_0032	Καθένας έχει δικαίωμα να ασκεί αποτελεσματικά ένδικα μέσα στα αρμόδια εθνικά δικαστήρια κατά των πράξεων που παραβιάζουν τα θεμελιακά δικαιώματα τα οποία του αναγνωρίζουν το Σύνταγμα και ο νόμος.
human_rights_un_grc_pi_64kb_0033	ΑΡΘΡΟ 9
human_rights_un_grc_pi_64kb_0034	Κανείς δεν μπορεί να συλλαμβάνεται, να κρατείται ή να εξορίζεται αυθαίρετα.
human_rights_un_grc_pi_64kb_0035	ΑΡΘΡΟ 10
human_rights_un_grc_pi_64kb_0036	Καθένας έχει δικαίωμα, με πλήρη ισότητα, να εκδικάζεται η υπόθεσή του δίκαια και δημόσια, από δικαστήριο ανεξάρτητο και αμερόληπτο, που θα αποφασίσει είτε για τα δικαιώματα και τις υποχρεώσεις του είτε, σε περίπτωση ποινικής διαδικασίας, για το βάσιμο της κατηγορίας που στρέφεται εναντίον του.
human_rights_un_grc_pi_64kb_0037	ΑΡΘΡΟ 11
human_rights_un_grc_pi_64kb_0038	Κάθε κατηγορούμενος για ποινικό αδίκημα πρέπει να θεωρείται αθώος, ωσότου διαπιστωθεί η ενοχή του σύμφωνα με τον νόμο, σε ποινική δίκη, κατά την οποία θα του έχουν εξασφαλιστεί όλες οι απαραίτητες για την υπεράσπισή του εγγυήσεις.
human_rights_un_grc_pi_64kb_0039	Κανείς δεν θα καταδικάζεται για πράξεις ή παραλείψεις που, κατά τον χρόνο που τελέστηκαν, δεν συνιστούσαν αξιόποινο αδίκημα κατά το εσωτερικό ή το διεθνές δίκαιο.
human_rights_un_grc_pi_64kb_0040	Επίσης, δεν επιβάλλεται ποινή βαρύτερη από εκείνη που ίσχυε κατά τον χρόνο που τελέστηκε η αξιόποινη πράξη.
human_rights_un_grc_pi_64kb_0041	ΑΡΘΡΟ 12
human_rights_un_grc_pi_64kb_0042	Κανείς δεν επιτρέπεται να υποστεί αυθαίρετες επεμβάσεις στην ιδιωτική του ζωή, την οικογένεια, την κατοικία ή την αλληλογραφία του, ούτε προσβολές της τιμής και της υπόληψης του.
human_rights_un_grc_pi_64kb_0043	Καθένας έχει το δικαίωμα να τον προστατεύουν οι νόμοι από επεμβάσεις και προσβολές αυτού του είδους.
human_rights_un_grc_pi_64kb_0044	ΑΡΘΡΟ 13
human_rights_un_grc_pi_64kb_0045	Καθένας έχει το δικαίωμα να κυκλοφορεί ελεύθερα και να εκλέγει τον τόπο της διαμονής του στο εσωτερικό ενός κράτους.
human_rights_un_grc_pi_64kb_0046	Καθένας έχει το δικαίωμα να εγκαταλείπει οποιαδήποτε χώρα, ακόμα και τη δική του, και να επιστρέφει σε αυτήν.
human_rights_un_grc_pi_64kb_0047	ΑΡΘΡΟ 14
human_rights_un_grc_pi_64kb_0048	Κάθε άτομο που καταδιώκεται έχει το δικαίωμα να ζητά άσυλο και του παρέχεται άσυλο σε άλλες χώρες.
human_rights_un_grc_pi_64kb_0049	Το δικαίωμα αυτό δεν μπορεί κανείς να το επικαλεστεί, σε περίπτωση δίωξης για πραγματικό αδίκημα του κοινού ποινικού δικαίου ή για ενέργειες αντίθετες προς τους σκοπούς και τις αρχές του ΟΗΕ.
human_rights_un_grc_pi_64kb_0050	ΑΡΘΡΟ 15
human_rights_un_grc_pi_64kb_0051	Καθένας έχει το δικαίωμα μιας ιθαγένειας.
human_rights_un_grc_pi_64kb_0052	Κανείς δεν μπορεί να στερηθεί αυθαίρετα την ιθαγένειά του ούτε το δικαίωμα να αλλάξει ιθαγένεια.
human_rights_un_grc_pi_64kb_0053	ΑΡΘΡΟ 16
human_rights_un_grc_pi_64kb_0054	Από τη στιγμή που θα φθάσουν σε ηλικία γάμου, ο άνδρας και η γυναίκα, χωρίς κανένα περιορισμό εξαιτίας της φυλής, της εθνικότητας ή της θρησκείας, έχουν το δικαίωμα να παντρεύονται και να ιδρύουν οικογένεια.
human_rights_un_grc_pi_64kb_0055	Και οι δύο έχουν ίσα δικαιώματα ως προς τον γάμο, κατά τη διάρκεια του γάμου και κατά τη διάλυσή του.
human_rights_un_grc_pi_64kb_0056	Γάμος δεν μπορεί να συναφθεί παρά μόνο με ελεύθερη και πλήρη συναίνεση των μελλονύμφων.
human_rights_un_grc_pi_64kb_0057	Η οικογένεια είναι το φυσικό και το βασικό στοιχείο της κοινωνίας και έχει το δικαίωμα προστασίας από την κοινωνία και το κράτος.
human_rights_un_grc_pi_64kb_0058	ΑΡΘΡΟ 17
human_rights_un_grc_pi_64kb_0059	Κάθε άτομο, μόνο του ή με άλλους μαζί, έχει το δικαίωμα της ιδιοκτησίας.
human_rights_un_grc_pi_64kb_0060	Κανείς δεν μπορεί να στερηθεί αυθαίρετα την ιδιοκτησία του.
human_rights_un_grc_pi_64kb_0061	ΑΡΘΡΟ 18
human_rights_un_grc_pi_64kb_0062	Κάθε άτομο έχει το δικαίωμα της ελευθερίας της σκέψης, της συνείδησης και της θρησκείας.
human_rights_un_grc_pi_64kb_0063	Στο δικαίωμα αυτό περιλαμβάνεται η ελευθερία για την αλλαγή της θρησκείας ή πεποιθήσεων, όπως και η ελευθερία να εκδηλώνει κανείς τη θρησκεία του ή τις θρησκευτικές του πεποιθήσεις, μόνος ή μαζί με άλλους, δημόσια ή ιδιωτικά, με τη διδασκαλία, την άσκηση, τη λατρεία και με την τέλεση θρησκευτικών τελετών.
human_rights_un_grc_pi_64kb_0064	ΑΡΘΡΟ 19
human_rights_un_grc_pi_64kb_0065	Καθένας έχει το δικαίωμα της ελευθερίας της γνώμης και της έκφρασης, που σημαίνει το δικαίωμα να μην υφίσταται δυσμενείς συνέπειες για τις γνώμες του, και το δικαίωμα να αναζητεί, να παίρνει και να διαδίδει πληροφορίες και ιδέες, με οποιοδήποτε μέσο έκφρασης, και από όλο τον κόσμο.
human_rights_un_grc_pi_64kb_0066	ΑΡΘΡΟ 20
human_rights_un_grc_pi_64kb_0067	Καθένας έχει το δικαίωμα να συνέρχεται και να συνεταιρίζεται ελεύθερα και για ειρηνικούς σκοπούς.
human_rights_un_grc_pi_64kb_0068	Κανείς δεν μπορεί να υποχρεωθεί να συμμετέχει σε ορισμένο σωματείο.
human_rights_un_grc_pi_64kb_0069	ΑΡΘΡΟ 21
human_rights_un_grc_pi_64kb_0070	Καθένας έχει το δικαίωμα να συμμετέχει στη διακυβέρνηση της χώρας του, άμεσα ή έμμεσα, με αντιπροσώπους ελεύθερα εκλεγμένους.
human_rights_un_grc_pi_64kb_0071	Καθένας έχει το δικαίωμα να γίνεται δεκτός, υπό ίσους όρους, στις δημόσιες υπηρεσίες της χώρας του.
human_rights_un_grc_pi_64kb_0072	Η λαϊκή θέληση είναι το θεμέλιο της κρατικής εξουσίας.
human_rights_un_grc_pi_64kb_0073	Η θέληση αυτή πρέπει να εκφράζεται με τίμιες εκλογές, οι οποίες πρέπει να διεξάγονται περιοδικά, με καθολική, ίση και μυστική ψηφοφορία, ή με αντίστοιχη διαδικασία που να εξασφαλίζει την ελευθερία της εκλογής.
human_rights_un_grc_pi_64kb_0074	ΑΡΘΡΟ 22
human_rights_un_grc_pi_64kb_0075	Κάθε άτομο, ως μέλος του κοινωνικού συνόλου, έχει δικαίωμα κοινωνικής προστασίας.
human_rights_un_grc_pi_64kb_0076	Η κοινωνία, με την εθνική πρωτοβουλία και τη διεθνή συνεργασία, ανάλογα πάντα με την οργάνωση και τις οικονομικές δυνατότητες κάθε κράτους, έχει χρέος να του εξασφαλίσει την ικανοποίηση των οικονομικών, κοινωνικών και πολιτιστικών δικαιωμάτων που είναι απαραίτητα για την αξιοπρέπεια και την ελεύθερη ανάπτυξη της προσωπικότητάς του.
human_rights_un_grc_pi_64kb_0077	ΑΡΘΡΟ 23
human_rights_un_grc_pi_64kb_0078	Καθένας έχει το δικαίωμα να εργάζεται και να επιλέγει ελεύθερα το επάγγελμά του, να έχει δίκαιες και ικανοποιητικές συνθήκες δουλειάς και να προστατεύεται από την ανεργία.
human_rights_un_grc_pi_64kb_0079	Όλοι, χωρίς καμία διάκριση, έχουν το δικαίωμα ίσης αμοιβής για ίση εργασία.
human_rights_un_grc_pi_64kb_0080	Κάθε εργαζόμενος έχει δικαίωμα δίκαιης και ικανοποιητικής αμοιβής, που να εξασφαλίζει σε αυτόν και την οικογένειά του συνθήκες ζωής άξιες στην ανθρώπινη αξιοπρέπεια.
human_rights_un_grc_pi_64kb_0081	Η αμοιβή της εργασίας, αν υπάρχει, πρέπει να συμπληρώνεται με άλλα μέσα κοινωνικής προστασίας.
human_rights_un_grc_pi_64kb_0082	Καθένας έχει το δικαίωμα να ιδρύει μαζί με άλλους συνδικάτα και να συμμετέχει σε συνδικάτα για την προάσπιση των συμφερόντων του.
human_rights_un_grc_pi_64kb_0083	ΑΡΘΡΟ 24
human_rights_un_grc_pi_64kb_0084	Καθένας έχει το δικαίωμα στην ανάπαυση, σε ελεύθερο χρόνο, και ιδιαίτερα, σε λογικό περιορισμό του χρόνου εργασίας και σε περιοδικές άδειες με πλήρεις αποδοχές.
human_rights_un_grc_pi_64kb_0085	ΑΡΘΡΟ 25
human_rights_un_grc_pi_64kb_0086	Καθένας έχει δικαίωμα σε ένα βιοτικό επίπεδο ικανό να εξασφαλίσει στον ίδιο και στην οικογένεια του υγεία και ευημερία, και ειδικότερα τροφή, ρουχισμό, κατοικία, ιατρική περίθαλψη όπως και τις απαραίτητες κοινωνικές υπηρεσίες.
human_rights_un_grc_pi_64kb_0087	Ἐχει ακόμα δικαίωμα σε ασφάλιση για την ανεργία, την αρρώστια, την αναπηρία, τη χηρεία, τη γεροντική ηλικία, όπως και για όλες τις άλλες περιπτώσεις που στερείται τα μέσα της συντήρησής του, εξαιτίας περιστάσεων ανεξαρτήτων της θέλησης του.
human_rights_un_grc_pi_64kb_0088	Η μητρότητα και η παιδική ηλικία έχουν δικαίωμα ειδικής μέριμνας και περίθαλψης.
human_rights_un_grc_pi_64kb_0089	Όλα τα παιδιά, ανεξάρτητα αν είναι νόμιμα ή εξώγαμα, απολαμβάνουν την ίδια κοινωνική προστασία.
human_rights_un_grc_pi_64kb_0090	ΑΡΘΡΟ 26
human_rights_un_grc_pi_64kb_0091	Καθένας έχει δικαίωμα στην εκπαίδευση.
human_rights_un_grc_pi_64kb_0092	Η εκπαίδευση πρέπει να παρέχεται δωρεάν, τουλάχιστον στη στοιχειώδη και βασική βαθμίδα της.
human_rights_un_grc_pi_64kb_0093	Η στοιχειώδης εκπαίδευση είναι υποχρεωτική.
human_rights_un_grc_pi_64kb_0094	Η τεχνική και επαγγελματική εκπαίδευση πρέπει να εξασφαλίζεται για όλους.
human_rights_un_grc_pi_64kb_0095	Η πρόσβαση στην ανώτατη παιδεία πρέπει να είναι ανοικτή σε όλους, υπό ίσους όρους, ανάλογα με τις ικανότητες τους.
human_rights_un_grc_pi_64kb_0096	Η εκπαίδευση πρέπει να αποβλέπει στην πλήρη ανάπτυξη της ανθρώπινης προσωπικότητας και στην ενίσχυση του σεβασμού των ανθρωπίνων δικαιωμάτων και των θεμελιακών ελευθεριών.
human_rights_un_grc_pi_64kb_0097	Πρέπει να προάγει την κατανόηση, την ανεκτικότητα και τη φιλία ανάμεσα σε όλα τα έθνη και σε όλες τις φυλές και τις θρησκευτικές ομάδες, και να ευνοεί την ανάπτυξη των δραστηριοτήτων των Ηνωμένων Εθνών για τη διατήρηση της ειρήνης.
human_rights_un_grc_pi_64kb_0098	Οι γονείς έχουν, κατά προτεραιότητα, το δικαίωμα να επιλέγουν το είδος της παιδείας που θα δοθεί στα παιδιά τους.
human_rights_un_grc_pi_64kb_0099	ΑΡΘΡΟ 27
human_rights_un_grc_pi_64kb_0100	Καθένας έχει το δικαίωμα να συμμετέχει ελεύθερα στην πνευματική ζωή της κοινότητας, να χαίρεται τις καλές τέχνες και να μετέχει στην επιστημονική πρόοδο και στα αγαθά της.
human_rights_un_grc_pi_64kb_0101	Καθένας έχει το δικαίωμα να προστατεύονται τα ηθικά και υλικά συμφέροντά του που απορρέουν από κάθε είδους επιστημονική, λογοτεχνική ή καλλιτεχνική παραγωγή του.
human_rights_un_grc_pi_64kb_0102	ΑΡΘΡΟ 28
human_rights_un_grc_pi_64kb_0103	Καθένας έχει το δικαίωμα να επικρατεί μια κοινωνική και διεθνής τάξη, μέσα στην οποία τα δικαιώματα και οι ελευθερίες που προκηρύσσει η παρούσα Διακήρυξη να μπορούν να πραγματώνονται σε όλη τους την έκταση.
human_rights_un_grc_pi_64kb_0104	ΑΡΘΡΟ 29
human_rights_un_grc_pi_64kb_0105	Το άτομο έχει καθήκοντα απέναντι στην κοινότητα, μέσα στα πλαίσια της οποίας και μόνο είναι δυνατή η ελεύθερη και ολοκληρωμένη ανάπτυξη της προσωπικότητάς του.
human_rights_un_grc_pi_64kb_0106	Στην άσκηση των δικαιωμάτων του και στην απόλαυση των ελευθεριών του κανείς δεν υπόκειται παρά μόνο στους περιορισμούς που ορίζονται από τους νόμους, με αποκλειστικό σκοπό να εξασφαλίζεται η αναγνώριση και ο σεβασμός των δικαιωμάτων και των ελευθεριών των άλλων, και να ικανοποιούνται οι δίκαιες απαιτήσεις της ηθικής, της δημόσιας τάξης και του γενικού καλού, σε μια δημοκρατική κοινωνία.
human_rights_un_grc_pi_64kb_0107	Τα δικαιώματα αυτά και οι ελευθερίες δεν μπορούν, σε καμία περίπτωση, να ασκούνται αντίθετα προς τους σκοπούς και τις αρχές των Ηνωμένων Εθνών.
human_rights_un_grc_pi_64kb_0108	ΑΡΘΡΟ 30
human_rights_un_grc_pi_64kb_0109	Καμιά διάταξη της παρούσας Διακήρυξης δεν μπορεί να ερμηνευθεί ότι παρέχει σε ένα κράτος, σε μια ομάδα ή σε ένα άτομο οποιοδήποτε δικαίωμα να επιδίδεται σε ενέργειες ή να εκτελεί πράξεις που αποβλέπουν στην άρνηση των δικαιωμάτων και των ελευθεριών που εξαγγέλλονται σε αυτήν.
