human_rights_un_urd_ahk_64kb_0001	انسانی حقوق کا عالمی منشور
human_rights_un_urd_ahk_64kb_0012	انسانی حقوق کا یہ عالمی منشور تمام اقوام کے واسطے حصولِ مقصد کا مشترک معیار ہو گا تاکہ ہر فرد اور معاشرے کا ہر ادارہ اس منشور کو ہمیشہ پیش نظر رکھتے ہوئے تعلیم و تبلیغ کے ذریعہ ان حقوق اور آزادیوں کا احترام پیدا کرے اور انہیں قومی اور بین الاقوامی کارروائیوں کے ذریعے ممبر ملکوں میں اور اُن قوموں میں جو ممبر ملکوں کے ماتحت ہوں، منوانے کے لئے بتدریج کوشش کر سکے۔
human_rights_un_urd_ahk_64kb_0013	دفعہ ۱۔
human_rights_un_urd_ahk_64kb_0014	تمام انسان آزاد اور حقوق و عزت کے اعتبار سے برابر پیدا ہوئے ہیں۔ انہیں ضمیر اور عقل ودیعت ہوئی ہے۔ اس لئے انہیں ایک دوسرے کے ساتھ بھائی چارے کا سلوک کرنا چاہیئے۔
human_rights_un_urd_ahk_64kb_0015	دفعہ ۲۔
human_rights_un_urd_ahk_64kb_0016	ہر شخص ان تمام آزادیوں اور حقوق کا مستحق ہے جو اس اعلان میں بیان کئے گئے ہیں، اور اس حق پر نسل، رنگ، جنس، زبان، مذہب اور سیاسی تفریق کا یا کسی قسم کے عقیدے، قوم، معاشرے، دولت یا خاندانی حیثیت وغیرہ کا کوئی اثر نہ پڑے گا۔
human_rights_un_urd_ahk_64kb_0017	اس کے علاوہ جس علاقے یا ملک سے جو شخص تعلق رکھتا ہے اس کی سیاسی کیفیت دائرہ اختیار یا بین الاقوامی حیثیت کی بنا پر اس سے کوئی امتیازی سلوک نہیں کیا جائے گا۔ چاہے وہ ملک یا علاقہ آزاد ہو یا تولیتی ہو یا غیر مختار ہو یا سیاسی اقتدار کے لحاظ سے کسی دوسری بندش کا پابند ہو۔
human_rights_un_urd_ahk_64kb_0018	دفعہ ۳۔
human_rights_un_urd_ahk_64kb_0019	ہر شخص کو اپنی جان، آزادی اور ذاتی تحفّظ کا حق ہے۔
human_rights_un_urd_ahk_64kb_0020	دفعہ ۴۔
human_rights_un_urd_ahk_64kb_0021	کوئی شخص غلام یا لونڈی بنا کر نہ رکھا جا سکے گا۔ غلامی اور بَردہ فروشی، چاہے اس کی کوئی شکل بھی ہو، ممنوع قرار دی جائے گی۔
human_rights_un_urd_ahk_64kb_0022	دفعہ ۵۔
human_rights_un_urd_ahk_64kb_0023	کسی شخص کو جسمانی اذیّت یا ظالمانہ، انسایت سوز، یا ذلیل سلوک یا سزا نہیں دی جائے گی۔
human_rights_un_urd_ahk_64kb_0024	دفعہ ۶۔
human_rights_un_urd_ahk_64kb_0025	ہر شخص کا حق ہے کہ ہر مقام پر قانون اس کی شخصیت کو تسلیم کرے۔
human_rights_un_urd_ahk_64kb_0026	دفعہ ۷۔
human_rights_un_urd_ahk_64kb_0027	قانون کی نظر میں سب برابر ہیں اور سب بغیر کسی تفریق کے قانون کے اندر امان پانے کے برابر کے حقدار ہیں۔ اس اعلان کے خلاف جو تفریق کی جائے یا جس تفریق کے لئے ترغیب دی جائے، اس سے سب برابر کے بچاؤ کے حقدار ہیں۔
human_rights_un_urd_ahk_64kb_0028	دفعہ ۸۔
human_rights_un_urd_ahk_64kb_0029	ہر شخص کو ان افعال کے خلاف جو اس دستور یا قانون میں دئے ہوئے بنیادی حقوق کو تلف کرتے ہوں، بااختیار قومی عدالتوں سے موثّر طریقے پر چارہ جوئی کرنے کا پورا حق ہے۔
human_rights_un_urd_ahk_64kb_0030	دفعہ ۹۔
human_rights_un_urd_ahk_64kb_0031	کسی شخص کو محض حاکم کی مرضی پر گرفتار، نظربند، یا جلاوطن نہیں کیا جائے گا۔
human_rights_un_urd_ahk_64kb_0032	دفعہ ۱۰۔
human_rights_un_urd_ahk_64kb_0033	ہر ایک شخص کو یکساں طور پر حق حاصل ہے کہ اس کے حقوق و فرائض کا تعین یا اس کے خلاف کسی عائد کردہ جرم کے بارے میں مقدمہ کی سماعت آزاد اور غیر جانب دار عدالت کے کھلے اجلاس میں منصفانہ طریقے پر ہو۔
human_rights_un_urd_ahk_64kb_0034	دفعہ ۱۱۔
human_rights_un_urd_ahk_64kb_0035	ایسے ہر شخص کو جس پر کوئی فوجداری کا الزام عائد کیا جائے، بے گناہ شمار کئے جانے کا حق ہے تاوقتیکہ اس پر کھلی عدالت میں قانون کے مطابق جرم ثابت نہ ہو جائے اور اسے اپنی صفائی پیش کرنے کا پورا موقع نہ دیا جا چکا ہو۔
human_rights_un_urd_ahk_64kb_0036	کسی شخص کو کسی ایسے فعل یا فروگذاشت کی بنا پر جو ارتکاب کے وقت قومی یا بین الاقوامی قانون کے اندر تعزیری جرم شمار نہیں کیا جاتا تھا، کسی تعزیری جرم میں ماخوذ نہیں کیا جائے گا۔
human_rights_un_urd_ahk_64kb_0037	دفعہ ۱۲۔
human_rights_un_urd_ahk_64kb_0038	کسی شخص کی نجی زندگی، خانگی زندگی، گھربار، خط و کتابت میں من مانے طریقے پر مداخلت نہ کی جائے گی اور نہ ہی اس کی عزت اور نیک نامی پر حملے کئے جائیں گے۔ ہر شخص کا حق ہے کہ قانون اسے حملے یا مداخلت سے محفوظ رکھے۔
human_rights_un_urd_ahk_64kb_0039	دفعہ ۱۳۔
human_rights_un_urd_ahk_64kb_0040	ہر شخص کا حق ہے کہ اسے ہر ریاست کی حدود کے اندر نقل و حرکت کرنے اور سکونت اختیار کرنے کی آزادی ہو۔
human_rights_un_urd_ahk_64kb_0041	ہر شخص کو اس بات کا حق ہے کہ وہ ملک سے چلا جائے چاہے یہ ملک اس کا اپنا ہو۔ اور اسی طرح اسے ملک میں واپس آ جانے کا بھی حق ہے۔
human_rights_un_urd_ahk_64kb_0042	دفعہ ۱۴۔
human_rights_un_urd_ahk_64kb_0043	ہر شخص کو ایذا رسانی سے دوسرے ملکوں میں پناہ ڈھونڈنے، اور پناہ مل جائے تو اس سے فائدہ اٹھانے کا حق ہے۔
human_rights_un_urd_ahk_64kb_0044	یہ حق ان عدالتی کارروائیوں سے بچنے کے لئے استعمال میں نہیں لایا جا سکتا جو خالصاً غیر سیاسی جرائم یا ایسے افعال کی وجہ سے عمل میں آتی ہیں جو اقوامِ متحدہ کے مقاصد اور اُصول کے خلاف ہیں۔
human_rights_un_urd_ahk_64kb_0045	دفعہ ۱۵۔
human_rights_un_urd_ahk_64kb_0046	ہر شخص کو قومیت کا حق ہے۔
human_rights_un_urd_ahk_64kb_0047	کوئی شخص محض حاکم کی مرضی پر اپنی قومیت سے محروم نہیں کیا جائے گا اور اس کو قومیت تبدیل کرنے کا حق دینے سے انکار نہ کیا جائے گا۔
human_rights_un_urd_ahk_64kb_0048	دفعہ ۱۶۔
human_rights_un_urd_ahk_64kb_0049	بالغ مردوں اور عورتوں کو بغیر کسی ایسی پابندی کے جو نسل قومیت یا مذہب کی بنا پر لگائی جائے شادی بیاہ کرنے اور گھر بسانے کا حق ہے۔ مردوں اور عورتوں کو نکاح، ازدواجی زندگی اور نکاح کو فسخ کرنے کے معاملہ میں برابر کے حقوق حاصل ہیں۔
human_rights_un_urd_ahk_64kb_0050	نکاح فریقین کی پوری اور آزاد رضامندی سے ہو گا۔
human_rights_un_urd_ahk_64kb_0051	خاندان، معاشرے کی فطری اور بنیادی اکائی ہے۔ اور وہ معاشرے اور ریاست دونوں کی طرف سے حفاظت کا حقدار ہے۔
human_rights_un_urd_ahk_64kb_0052	دفعہ ۱۷۔
human_rights_un_urd_ahk_64kb_0053	ہر انسان کو تنہا یا دوسروں سے مل کر جائداد رکھنے کا حق ہے۔
human_rights_un_urd_ahk_64kb_0054	کسی شخص کو زبردستی اس کی جائداد سے محروم نہیں کیا جائے گا۔
human_rights_un_urd_ahk_64kb_0055	دفعہ ۱۸ ۔
human_rights_un_urd_ahk_64kb_0056	ہر انسان کو آزادیٔ فکر، آزادیٔ ضمیر اور آزادیٔ مذہب کا پورا حق ہے۔ اس حق میں مذہب یا عقیدے کو تبدیل کرنے اور پبلک میں یا نجی طور پر، تنہا یا دوسروں کے ساتھ مِل جل کر عقیدے کی تبلیغ، عمل، عبادت اور مذہبی رسمیں پوری کرنے کی آزادی بھی شامل ہے۔
human_rights_un_urd_ahk_64kb_0057	دفعہ ۱۹۔
human_rights_un_urd_ahk_64kb_0058	ہر شخص کو اپنی رائے رکھنے اور اظہارِ رائے کی آزادی کا حق حاصل ہے۔ اس حق میں یہ امر بھی شامل ہے کہ وہ آزادی کے ساتھ اپنی رائے قائم کرے اور جس ذریعے سے چاہے بغیر ملکی سرحدوں کا خیال کئے علم اور خیالات کی تلاش کرے۔ انہیں حاصل کرے اور ان کی تبلیغ کرے۔
human_rights_un_urd_ahk_64kb_0059	دفعہ ۲۰۔
human_rights_un_urd_ahk_64kb_0060	ہر شخص کو پُرامن طریقے پر مِلنے جُلنے، اور انجمنیں قائم کرنے کی آزادی کا حق ہے۔
human_rights_un_urd_ahk_64kb_0061	کسی شخص کو کسی انجمن میں شامل ہونے لئے مجبور نہیں کیا جا سکتا۔
human_rights_un_urd_ahk_64kb_0062	دفعہ ۲۱۔
human_rights_un_urd_ahk_64kb_0063	ہر شخص کو اپنے ملک کی حکومت میں براہِ راست یا آزادانہ طور پر منتخب کئے ہوئے نمائندوں کے ذریعے حصہ لینے کا حق ہے۔
human_rights_un_urd_ahk_64kb_0064	ہر شخص کو اپنے ملک میں سرکاری ملازمت حاصل کرنے کا برابر کا حق ہے۔
human_rights_un_urd_ahk_64kb_0065	عوام کی مرضی حکومت کے اقتدار کی بنیاد ہو گی۔ یہ مرضی وقتاً فوقتاً ایسے حقیقی انتخابات کے ذریعے ظاہر کی جائے گی جو عام اور مساوی رائے دہندگی سے ہوں گے اور جو خفیہ ووٹ یا اس کے مساوی کسی دوسرے آزادانہ طریقِ رائے دہندگی کے مطابق عمل میں آئیں گے۔
human_rights_un_urd_ahk_64kb_0066	دفعہ ۲۲۔
human_rights_un_urd_ahk_64kb_0067	معاشرے کے رکن کی حیثیت سے ہر شخص کو معاشرتی تحفّظ کا حق حاصل ہے اور یہ حق بھی کہ وہ ملک کے نظام اور وسائل کے مطابق قومی کوشش اور بین الاقوامی تعاون سے ایسے اقتصادی، معاشرتی اور ثقافتی حقوق کو حاصل کرے، جو اس کی عزت اور شخصیت کی آزادانہ نشوونما کے لئے لازم ہیں۔
human_rights_un_urd_ahk_64kb_0068	دفعہ ۲۳۔
human_rights_un_urd_ahk_64kb_0069	ہر شخص کو کام کاج، روزگار کے آزادانہ انتخاب، کام کاج کی مناسب و معقول شرائط اور بے روزگاری کے خلاف تحفّظ کا حق ہے۔
human_rights_un_urd_ahk_64kb_0070	ہر شخص کو کسی تفریق کے بغیر مساوی کام کے لئے مساوی معاوضے کا حق ہے۔
human_rights_un_urd_ahk_64kb_0071	ہر شخص جو کام کرتا ہے وہ ایسے مناسب و معقول مشاہرے کا حق رکھتا ہے جو خود اس کے اور اس کے اہل و عیال کے لئے باعزت زندگی کا ضامن ہو۔ اور جس میں اگر ضروری ہو تو معاشرتی تحفّظ کے دوسرے ذریعوں سے اضافہ کیا جا سکے۔
human_rights_un_urd_ahk_64kb_0072	ہر شخص کو اپنے مفاد کے بچاؤ کے لئے تجارتی انجمنیں قائم کرنے اور اس میں شریک ہونے کا حق حاصل ہے۔
human_rights_un_urd_ahk_64kb_0073	دفعہ ۲۴۔
human_rights_un_urd_ahk_64kb_0074	ہر شخص کو آرام اور فرصت کا حق ہے جس میں کام کے گھنٹوں کی حدبندی اور تنخواہ کے علاوہ مقرّرہ وقفوں کے ساتھ تعطیلات بھی شامل ہیں۔
human_rights_un_urd_ahk_64kb_0075	دفعہ ۲۵۔
human_rights_un_urd_ahk_64kb_0076	ہر شخص کو اپنی اور اپنے اہل و عیال کی صحت اور فلاح و بہبود کے لئے مناسب معیار زندگی کا حق ہے جس میں خوراک، پوشاک، مکان اور علاج کی سہولتیں اور دوسری ضروری معاشرتی مراعات شامل ہیں اور بے روزگاری بیماری، معذوری، بیوگی، بڑھاپا یا ان حالات میں روزگار سے محرومی جو اس کے قبضۂ قدرت سے باہر ہوں، کے خلاف تحفظ کا حق حاصل ہے۔
human_rights_un_urd_ahk_64kb_0077	زچّہ اور بچّہ خاص توجہ اور امداد کے حقدار ہیں۔ تمام بچے خواہ وہ شادی سے پہلے پیدا ہوئے ہوں یا شادی کے بعد معاشرتی تحفّظ سے یکساں طور پر مستفید ہوں گے۔
human_rights_un_urd_ahk_64kb_0078	دفعہ ۲۶۔
human_rights_un_urd_ahk_64kb_0079	ہر شخص کو تعلیم کا حق ہے۔ تعلیم مفت ہو گی، کم سے کم ابتدائی اور بنیادی درجوں میں۔ ابتدائی تعلیم جبری ہو گی۔ فنّی اور پیشہ ورانہ تعلیم حاصل کرنے کا عام انتظام کیا جائے گا اور لیاقت کی بنا پر اعلیٰ تعلیم حاصل کرنا سب کے لئے مساوی طور پر ممکن ہو گا۔
human_rights_un_urd_ahk_64kb_0080	تعلیم کا مقصد انسانی شخصیت کی پوری نشوونما ہو گا۔ اور وہ انسانی حقوق اور بنیادی آزادیوں کے احترام میں اضافہ کرنے کا ذریعہ ہو گی۔ وہ تمام قوموں اور نسلی یا مذہبی گروہوں کے درمیان باہمی مفاہمت، رواداری اور دوستی کو ترقی دے گی اور امن کو برقرار رکھنے کے لئے اقوامِ متحدہ کی سرگرمیوں کو آگے بڑھائے گی۔
human_rights_un_urd_ahk_64kb_0081	والدین کو اس بات کے انتخاب کا اوّلین حق ہے کہ ان کے بچوں کو کس قسم کی تعلیم دی جائے گی۔
human_rights_un_urd_ahk_64kb_0082	دفعہ ۲۷۔
human_rights_un_urd_ahk_64kb_0083	ہر شخص کو قوم کی ثقافتی زندگی میں آزادانہ حصّہ لینے، ادبیات سے مستفید ہونے اور سائنس کی ترقی اور اس کے فوائد میں شرکت کا حق حاصل ہے۔
human_rights_un_urd_ahk_64kb_0084	ہر شخص کو حق حاصل ہے کہ اس کے اُن اخلاقی اور مادّی مفاد کا بچاؤ کیا جائے جو اسے ایسی سائنسی، علمی یا ادبی تصنیف سے، جس کا وہ مصنف ہے، حاصل ہوتے ہیں۔
human_rights_un_urd_ahk_64kb_0085	دفعہ ۲۸۔
human_rights_un_urd_ahk_64kb_0086	ہر شخص ایسے معاشرتی اور بین الاقوامی نظام میں شامل ہونے کا حقدار ہے جس میں وہ تمام آزادیاں اور حقوق حاصل ہو سکیں جو اس اعلان میں پیش کر دئے گئے ہیں۔
human_rights_un_urd_ahk_64kb_0087	دفعہ ۲۹۔
human_rights_un_urd_ahk_64kb_0088	ہر شخص پر معاشرے کے حق ہیں۔ کیونکہ معاشرے میں رہ کر ہی اس کی شخصیت کی آزادانہ اور پوری نشوونما ممکن ہے۔
human_rights_un_urd_ahk_64kb_0089	اپنی آزادیوں اور حقوق سے فائدہ اٹھانے میں ہر شخص صرف ایسی حدود کا پابند ہو گا جو دوسروں کی آزادیوں اور حقوق کو تسلیم کرانے اور ان کا احترام کرانے کی غرض سے یا جمہوری نظام میں اخلاق، امن عامّہ اور عام فلاح و بہبود کے مناسب لوازمات کو پورا کرنے کے لئے قانون کی طرف سے عائد کئے گئے ہیں۔
human_rights_un_urd_ahk_64kb_0090	یہ حقوق اور آزادیاں کسی حالت میں بھی اقوامِ متحدہ کے مقاصد اور اصول کے خلاف عمل میں نہیں لائی جا سکتیں۔
human_rights_un_urd_ahk_64kb_0091	دفعہ ۳۰۔
human_rights_un_urd_ahk_64kb_0092	اس اعلان کی کسی چیز سے کوئی ایسی بات مراد نہیں لی جا سکتی جس سے کسی ملک، گروہ یا شخص کو کسی ایسی سرگرمیوں میں مصروف ہونے یا کسی ایسے کام کو انجام دینے کا حق پیدا ہو جس کا منشا ان حقوق اور آزادیوں کی تخریب ہو جو یہاں پیش کی گئی ہیں۔by SPRAT, Ahmedabad, India [www.
human_rights_un_urd_ahk_64kb_0093	sprat.
human_rights_un_urd_ahk_64kb_0094	in / khitab@sprat.
human_rights_un_urd_ahk_64kb_0095	in]
