human_rights_un_rus_sd_64kb_0001	Всеобщая декларация прав человека
human_rights_un_rus_sd_64kb_0015	Все люди рождаются свободными и равными в своем достоинстве и правах.
human_rights_un_rus_sd_64kb_0016	Они наделены разумом и совестью и должны поступать в отношении другдруга в духе братства.
human_rights_un_rus_sd_64kb_0017	Статья 2
human_rights_un_rus_sd_64kb_0018	Каждый человек должен обладать всеми правами и всеми свободами,провозглашенными настоящей Декларацией, без какого бы то ни былоразличия, как-то в отношении расы, цвета кожи, пола, языка, религии,политических или иных убеждений, национального или социальногопроисхождения, имущественного, сословного или иного положения.
human_rights_un_rus_sd_64kb_0019	Кроме того, не должно проводиться никакого различия на основеполитического, правового или международного статуса страны илитерритории, к которой человек принадлежит, независимо от того, являетсяли эта территория независимой, подопечной, несамоуправляющейся иликак-либо иначе ограниченной в своем суверенитете.
human_rights_un_rus_sd_64kb_0020	Статья 3
human_rights_un_rus_sd_64kb_0021	Каждый человек имеет право на жизнь, на свободу и на личнуюнеприкосновенность.
human_rights_un_rus_sd_64kb_0022	Статья 4
human_rights_un_rus_sd_64kb_0023	Никто не должен содержаться в рабстве или в подневольном состоянии;
human_rights_un_rus_sd_64kb_0024	рабство и работорговля запрещаются во всех их видах.
human_rights_un_rus_sd_64kb_0025	Статья 5
human_rights_un_rus_sd_64kb_0026	Никто не должен подвергаться пыткам или жестоким, бесчеловечным илиунижающим его достоинство обращению и наказанию.
human_rights_un_rus_sd_64kb_0027	Статья 6
human_rights_un_rus_sd_64kb_0028	Каждый человек, где бы он ни находился, имеет право на признание егоправосубъектности.
human_rights_un_rus_sd_64kb_0029	Статья 7
human_rights_un_rus_sd_64kb_0030	Все люди равны перед законом и имеют право, без всякого различия, наравную защиту закона.
human_rights_un_rus_sd_64kb_0031	Все люди имеют право на равную защиту от какойбы то ни было дискриминации, нарушающей настоящую Декларацию, и откакого бы то ни было подстрекательства к такой дискриминации.
human_rights_un_rus_sd_64kb_0032	Статья 8
human_rights_un_rus_sd_64kb_0033	Каждый человек имеет право на эффективное восстановление в правахкомпетентными национальными судами в случаях нарушения его основныхправ, предоставленных ему конституцией или законом.
human_rights_un_rus_sd_64kb_0034	Статья 9
human_rights_un_rus_sd_64kb_0035	Никто не может быть подвергнут произвольному аресту, задержанию илиизгнанию.
human_rights_un_rus_sd_64kb_0036	Статья 10
human_rights_un_rus_sd_64kb_0037	Каждый человек, для определения его прав и обязанностей и дляустановления обоснованности предъявленного ему уголовного обвинения,имеет право, на основе полного равенства, на то, чтобы его дело былорассмотрено гласно и с соблюдением всех требований справедливостинезависимым и беспристрастным судом.
human_rights_un_rus_sd_64kb_0038	Статья 11
human_rights_un_rus_sd_64kb_0039	1.
human_rights_un_rus_sd_64kb_0040	Каждый человек, обвиняемый в совершении преступления, имеетправо считаться невиновным до тех пор, пока его виновность небудет установлена законным порядком путем гласного судебногоразбирательства, при котором ему обеспечиваются все возможностидля защиты.
human_rights_un_rus_sd_64kb_0041	2.
human_rights_un_rus_sd_64kb_0042	Никто не может быть осужден за преступление на основаниисовершения какого-либо деяния или за бездействие, которые вовремя их совершения не составляли преступления по национальнымзаконам или по международному праву.
human_rights_un_rus_sd_64kb_0043	Не может также налагатьсянаказание более тяжкое, нежели то, которое могло быть применено вто время, когда преступление было совершено.
human_rights_un_rus_sd_64kb_0044	Статья 12
human_rights_un_rus_sd_64kb_0045	Никто не может подвергаться произвольному вмешательству в его личную исемейную жизнь, произвольным посягательствам на неприкосновенностьего жилища, тайну его корреспонденции или на его честь и репутацию.
human_rights_un_rus_sd_64kb_0046	Каждый человек имеет право на защиту закона от такого вмешательстваили таких посягательств.
human_rights_un_rus_sd_64kb_0047	Статья 13
human_rights_un_rus_sd_64kb_0048	1.
human_rights_un_rus_sd_64kb_0049	Каждый человек имеет право свободно передвигаться и выбиратьсебе местожительство в пределах каждого государства.
human_rights_un_rus_sd_64kb_0050	2.
human_rights_un_rus_sd_64kb_0051	Каждый человек имеет право покидать любую страну, включая своюсобственную, и возвращаться в свою страну.
human_rights_un_rus_sd_64kb_0052	Статья 14
human_rights_un_rus_sd_64kb_0053	1.
human_rights_un_rus_sd_64kb_0054	Каждый человек имеет право искать убежища от преследования вдругих странах и пользоваться этим убежищем.
human_rights_un_rus_sd_64kb_0055	2.
human_rights_un_rus_sd_64kb_0056	Это право не может быть использовано в случае преследования, вдействительности основанного на совершении неполитическогопреступления, или деяния, противоречащего целям и принципам
human_rights_un_rus_sd_64kb_0057	Организации Объединенных Наций.
human_rights_un_rus_sd_64kb_0058	Статья 15
human_rights_un_rus_sd_64kb_0059	1.
human_rights_un_rus_sd_64kb_0060	Каждый человек имеет право на гражданство.
human_rights_un_rus_sd_64kb_0061	2.
human_rights_un_rus_sd_64kb_0062	Никто не может быть произвольно лишен своего гражданства илиправа изменить свое гражданство.
human_rights_un_rus_sd_64kb_0063	Статья 16
human_rights_un_rus_sd_64kb_0064	1.
human_rights_un_rus_sd_64kb_0065	Мужчины и женщины, достигшие совершеннолетия, имеют право безвсяких ограничений по признаку расы, национальности или религиивступать в брак и основывать свою семью.
human_rights_un_rus_sd_64kb_0066	Они пользуютсяодинаковыми правами в отношении вступления в брак, во времясостояния в браке и во время его расторжения.
human_rights_un_rus_sd_64kb_0067	2.
human_rights_un_rus_sd_64kb_0068	Брак может быть заключен только при свободном и полном согласииобеих вступающих в брак сторон.
human_rights_un_rus_sd_64kb_0069	3.
human_rights_un_rus_sd_64kb_0070	Семья является естественной и основной ячейкой общества и имеетправо на защиту со стороны общества и государства.
human_rights_un_rus_sd_64kb_0071	Статья 17
human_rights_un_rus_sd_64kb_0072	1.
human_rights_un_rus_sd_64kb_0073	Каждый человек имеет право владеть имуществом как единолично,так и совместно с другими.
human_rights_un_rus_sd_64kb_0074	2.
human_rights_un_rus_sd_64kb_0075	Никто не должен быть произвольно лишен своего имущества.
human_rights_un_rus_sd_64kb_0076	Статья 18
human_rights_un_rus_sd_64kb_0077	Каждый человек имеет право на свободу мысли, совести и религии;
human_rights_un_rus_sd_64kb_0078	этоправо включает свободу менять свою религию или убеждения и свободуисповедовать свою религию или убеждения как единолично, так и сообща сдругими, публичным или частным порядком в учении, богослужении ивыполнении религиозных и ритуальных обрядов.
human_rights_un_rus_sd_64kb_0079	Статья 19
human_rights_un_rus_sd_64kb_0080	Каждый человек имеет право на свободу убеждений и на свободноевыражение их;
human_rights_un_rus_sd_64kb_0081	это право включает свободу беспрепятственнопридерживаться своих убеждений и свободу искать, получать ираспространять информацию и идеи любыми средствами и независимо отгосударственных границ.
human_rights_un_rus_sd_64kb_0082	Статья 20
human_rights_un_rus_sd_64kb_0083	1.
human_rights_un_rus_sd_64kb_0084	Каждый человек имеет право на свободу мирных собраний иассоциаций.
human_rights_un_rus_sd_64kb_0085	2.
human_rights_un_rus_sd_64kb_0086	Никто не может быть принуждаем вступать в какую-либо ассоциацию.
human_rights_un_rus_sd_64kb_0087	Статья 21
human_rights_un_rus_sd_64kb_0088	1.
human_rights_un_rus_sd_64kb_0089	Каждый человек имеет право принимать участие в управлении своейстраной непосредственно или через посредство свободно избранныхпредставителей.
human_rights_un_rus_sd_64kb_0090	2.
human_rights_un_rus_sd_64kb_0091	Каждый человек имеет право равного доступа к государственнойслужбе в своей стране.
human_rights_un_rus_sd_64kb_0092	3.
human_rights_un_rus_sd_64kb_0093	Воля народа должна быть основой власти правительства;
human_rights_un_rus_sd_64kb_0094	эта волядолжна находить себе выражение в периодических инефальсифицированных выборах, которые должны проводиться привсеобщем и равном избирательном праве путем тайного голосованияили же посредством других равнозначных форм, обеспечивающихсвободу голосования.
human_rights_un_rus_sd_64kb_0095	Статья 22
human_rights_un_rus_sd_64kb_0096	Каждый человек, как член общества, имеет право на социальноеобеспечение и на осуществление необходимых для поддержания егодостоинства и для свободного развития его личности прав в экономической,социальной и культурной областях через посредство национальных усилийи международного сотрудничества и в соответствии со структурой иресурсами каждого государства.
human_rights_un_rus_sd_64kb_0097	Статья 23
human_rights_un_rus_sd_64kb_0098	1.
human_rights_un_rus_sd_64kb_0099	Каждый человек имеет право на труд, на свободный выбор работы,на справедливые и благоприятные условия труда и на защиту отбезработицы.
human_rights_un_rus_sd_64kb_0100	2.
human_rights_un_rus_sd_64kb_0101	Каждый человек, без какой-либо дискриминации, имеет право наравную оплату за равный труд.
human_rights_un_rus_sd_64kb_0102	3.
human_rights_un_rus_sd_64kb_0103	Каждый работающий имеет право на справедливое иудовлетворительное вознаграждение, обеспечивающее достойноечеловека существование для него самого и его семьи, идополняемое, при необходимости, другими средствами социальногообеспечения.
human_rights_un_rus_sd_64kb_0104	4.
human_rights_un_rus_sd_64kb_0105	Каждый человек имеет право создавать профессиональные союзы ивходить в профессиональные союзы для защиты своих интересов.
human_rights_un_rus_sd_64kb_0106	Статья 24
human_rights_un_rus_sd_64kb_0107	Каждый человек имеет право на отдых и досуг, включая право на разумноеограничение рабочего дня и на оплачиваемый периодический отпуск.
human_rights_un_rus_sd_64kb_0108	Статья 25
human_rights_un_rus_sd_64kb_0109	1.
human_rights_un_rus_sd_64kb_0110	Каждый человек имеет право на такой жизненный уровень, включаяпищу, одежду, жилище, медицинский уход и необходимое социальноеобслуживание, который необходим для поддержания здоровья иблагосостояния его самого и его семьи, и право на обеспечение наслучай безработицы, болезни, инвалидности, вдовства, наступлениястарости или иного случая утраты средств к существованию по независящим от него обстоятельствам.
human_rights_un_rus_sd_64kb_0111	2.
human_rights_un_rus_sd_64kb_0112	Материнство и младенчество дают право на особое попечение ипомощь.
human_rights_un_rus_sd_64kb_0113	Все дети, родившиеся в браке или вне брака, должныпользоваться одинаковой социальной защитой.
human_rights_un_rus_sd_64kb_0114	Статья 26
human_rights_un_rus_sd_64kb_0115	1.
human_rights_un_rus_sd_64kb_0116	Каждый человек имеет право на образование.
human_rights_un_rus_sd_64kb_0117	Образование должнобыть бесплатным по меньшей мере в том, что касается начального иобщего образования.
human_rights_un_rus_sd_64kb_0118	Начальное образование должно бытьобязательным.
human_rights_un_rus_sd_64kb_0119	Техническое и профессиональное образованиедолжно быть общедоступным, и высшее образование должно бытьодинаково доступным для всех на основе способностей каждого.
human_rights_un_rus_sd_64kb_0120	2.
human_rights_un_rus_sd_64kb_0121	Образование должно быть направлено к полному развитиючеловеческой личности и к увеличению уважения к правам человекаи основным свободам.
human_rights_un_rus_sd_64kb_0122	Образование должно содействоватьвзаимопониманию, терпимости и дружбе между всеми народами,расовыми и религиозными группами, и должно содействоватьдеятельности Организации Объединенных Наций по поддержаниюмира.
human_rights_un_rus_sd_64kb_0123	3.
human_rights_un_rus_sd_64kb_0124	Родители имеют право приоритета в выборе вида образования длясвоих малолетних детей.
human_rights_un_rus_sd_64kb_0125	Статья 27
human_rights_un_rus_sd_64kb_0126	1.
human_rights_un_rus_sd_64kb_0127	Каждый человек имеет право свободно участвовать в культурнойжизни общества, наслаждаться искусством, участвовать в научномпрогрессе и пользоваться его благами.
human_rights_un_rus_sd_64kb_0128	2.
human_rights_un_rus_sd_64kb_0129	Каждый человек имеет право на защиту его моральных иматериальных интересов, являющихся результатом научных,литературных или художественных трудов, автором которых онявляется.
human_rights_un_rus_sd_64kb_0130	Статья 28
human_rights_un_rus_sd_64kb_0131	Каждый человек имеет право на социальный и международный порядок,при котором права и свободы, изложенные в настоящей Декларации, могутбыть полностью осуществлены.
human_rights_un_rus_sd_64kb_0132	Статья 29
human_rights_un_rus_sd_64kb_0133	1.
human_rights_un_rus_sd_64kb_0134	Каждый человек имеет обязанности перед обществом, в которомтолько и возможно свободное и полное развитие его личности.
human_rights_un_rus_sd_64kb_0135	2.
human_rights_un_rus_sd_64kb_0136	При осуществлении своих прав и свобод каждый человек долженподвергаться только таким ограничениям, какие установленызаконом исключительно с целью обеспечения должного признания иуважения прав и свобод других и удовлетворения справедливыхтребований морали, общественного порядка и общегоблагосостояния в демократическом обществе.
human_rights_un_rus_sd_64kb_0137	3.
human_rights_un_rus_sd_64kb_0138	Осуществление этих прав и свобод ни в коем случае не должнопротиворечить целям и принципам Организации Объединенных
human_rights_un_rus_sd_64kb_0139	Наций.
human_rights_un_rus_sd_64kb_0140	Статья 30
human_rights_un_rus_sd_64kb_0141	Ничто в настоящей Декларации не может быть истолковано, какпредоставление какому-либо государству, группе лиц или отдельным лицамправа заниматься какой-либо деятельностью или совершать действия,направленные к уничтожению прав и свобод, изложенных в настоящей
human_rights_un_rus_sd_64kb_0142	Декларации.
