human_rights_un_ace_adam_64kb_0001	PEUNYATA UMUM HAK-HAK AZASI MANUSIA BAN SIGOM DÔNJA 
human_rights_un_ace_adam_64kb_0040	Peukara Nr.
human_rights_un_ace_adam_64kb_0041	6:
human_rights_un_ace_adam_64kb_0042	Tiëp ureuëng, pat mantong gobnjan geuduëk, na hak bri peungakuan dikeuë Hukôm.
human_rights_un_ace_adam_64kb_0043	Peukara Nr.
human_rights_un_ace_adam_64kb_0044	7:
human_rights_un_ace_adam_64kb_0045	Bandum ureuëng saban hak dikeuë hukôm, dan dan saban hak untuk meurumpokperlindungan hukôm deungon hana keutjuali dan handjeuët na diskriminasi.
human_rights_un_ace_adam_64kb_0046	Bandum sabanhak keu perlindôngan njoë ateuëh tiëp-tiëp diskriminasi njang meulawan deungon Peunjatanjoë, dan ateuëh bermatjam fitnah njang mendjurus keu diskriminasi.
human_rights_un_ace_adam_64kb_0047	Peukara Nr.
human_rights_un_ace_adam_64kb_0048	8:
human_rights_un_ace_adam_64kb_0049	Tiëp-tiëp ureuëng na hak keu peumuléhan njang effektif nibak tribunal-tribunal kebangsaannjang kompeten ateuëh buët-buët njang melawan deungon Hak-hak azasi njang geubri keugobnjan lé konstitusi atawa hukôm.
human_rights_un_ace_adam_64kb_0050	Peukara Nr.
human_rights_un_ace_adam_64kb_0051	9:
human_rights_un_ace_adam_64kb_0052	Hana meusidroë ureuëng pih djeuët dji-drop, djitheun atawa djiboih nanggroë deungon bannjang dji-suka atawa kri-kri njang hawa.
human_rights_un_ace_adam_64kb_0053	Peukara Nr.
human_rights_un_ace_adam_64kb_0054	10:
human_rights_un_ace_adam_64kb_0055	Tiëp-tiëp ureuëng na hak peunoh ngon samarata keu peumbitjaraan njang adé dan teuhahnibak saboh tribunal njang bibeuëh dan hana memihak, bak geupeudjalan hak-hak dankeuwadjéban-keuwadjéban njan dan ateuëh sibarang tuduhan djeunajah u ateuëh ureuëngnjan.
human_rights_un_ace_adam_64kb_0056	Peukara Nr.
human_rights_un_ace_adam_64kb_0057	11:
human_rights_un_ace_adam_64kb_0058	Tiëp-tiëp ureuëng njang djitudôh, djisok meusalah na hak geuh untuk na hak geuh untukmeuteumeung status ”hana meusalah” sampoë teubôkeuti keusalahan njang disjok njanmeunurôt undang-undang dalam sidang peungadélan teuhah dan ureuëng njang teutudôh njanka geubri djaminan njang peureulèë keu peumbèla gobnjan.
human_rights_un_ace_adam_64kb_0059	Hana meusidroë ureuëng djeuët tapeusalah meulangga hukôm meusabab deungon buët geuhatawa sabab lalé geuh njang hana meulangga hukôm atawa undang-undang nasional atawainternasional.
human_rights_un_ace_adam_64kb_0060	, bak watèë buët njan teudjadi.
human_rights_un_ace_adam_64kb_0061	Handjeuët tjit sidoë ureuëng geuhukôm deungonhukôman njang leubèh geuhon nibak njang patôt bak watèë buët salah njan teudjadi.
human_rights_un_ace_adam_64kb_0062	Peukara Nr.
human_rights_un_ace_adam_64kb_0063	12:
human_rights_un_ace_adam_64kb_0064	Hana meusidroë ureuëng pih djeuët ta peukaru urôsan pribadi gobnjan, keuluarga gobnjan,rumoh tangga gobnjan, atawa lam hubungan surat menjurat gobnjan, meunantjit handjeuëttapeurusak marwah dan keumuliaan gobnjan.
human_rights_un_ace_adam_64kb_0065	Tiëp-tiëp ureuëng na hak untuk meurumpokperlindungan ateuëh buët-buët peukaru atwa peurusak diateuëh.
human_rights_un_ace_adam_64kb_0066	Peukara Nr.
human_rights_un_ace_adam_64kb_0067	13:
human_rights_un_ace_adam_64kb_0068	Tiëp-tiëp ureuëng na hak meurdéhka bak geumeugrak, dan meurdéhka bak geuduëk pat njangmeuheut lam bataih-bataih lam saboh nanggroë.
human_rights_un_ace_adam_64kb_0069	Tiëp ureuëng na hak geubungka, geutinggai nanggroë sibeurangkapat, beuthatpih nanggroëdroë keudroë, dan na hak untuk geu-woë, geugisa bak sot u nanggroë droë geuh keudroë.
human_rights_un_ace_adam_64kb_0070	Peukara Nr.
human_rights_un_ace_adam_64kb_0071	14:
human_rights_un_ace_adam_64kb_0072	Tiëp-tiëp ureuëng na hak djak mita suaka dinanggroë laén dan na hak untuk geunikmati suakanjang ka geuteumeung dinanggroë njan bak geupeulindông droëgeuh nibak séksaan.
human_rights_un_ace_adam_64kb_0073	Hak njoë hana saban keu ureuëng njang peubuët djeuheut, hana meusabab deungon politék,atawa buët-buët njang meulawan lagèë njang geumeukeusud lé Persjarikatan Bangsa-Bangsa.
human_rights_un_ace_adam_64kb_0074	Peukara Nr.
human_rights_un_ace_adam_64kb_0075	15:
human_rights_un_ace_adam_64kb_0076	Tiëp-tiëp ureuëng na hak untuk geu-mat saboh hak warganeugara.
human_rights_un_ace_adam_64kb_0077	Handjeuët meusidroëpih deungon paksa djak peulheuëh warganeugara gobdan handjeuëtgeutulak hak sidroë ureuëng geudjak gantoë warga neugara.
human_rights_un_ace_adam_64kb_0078	Peukara Nr.
human_rights_un_ace_adam_64kb_0079	16:
human_rights_un_ace_adam_64kb_0080	Agam dan inong njang katrôh watèë, na hak untuk meunikah dan berkeluarga, deungon hanageupandang keu bangsa, warganeugara tawa agama.
human_rights_un_ace_adam_64kb_0081	Hak njoë saban watèë meukawén danpertjeraian.
human_rights_un_ace_adam_64kb_0082	Meunikah hanja djeuët peugot deungon hana paksaan dan ateuëh persetudjuan ban dua blahpihak.
human_rights_un_ace_adam_64kb_0083	Keluarga nakeuh saboh unit alami sibagoë saboh kelompok buhôm nibak masjarakat danneugara.
human_rights_un_ace_adam_64kb_0084	Peukara Nr.
human_rights_un_ace_adam_64kb_0085	17:
human_rights_un_ace_adam_64kb_0086	Tiëp-tiëp ureuëng na hak keu harta untuk hak milék keudroëgeuh atawa meukônsi deungonureuëng laén.
human_rights_un_ace_adam_64kb_0087	Handjeuët meusidroëpih djeuët ditjok hareuta djih deungon kri-njang galak gob.
human_rights_un_ace_adam_64kb_0088	Peukara Nr.
human_rights_un_ace_adam_64kb_0089	18:
human_rights_un_ace_adam_64kb_0090	Tiëp ureuëng na hak meurdéhka bak geuseumiké, bibeuëh bak geutjurah peurasaan-haté,meurdéhka bak geupeubuët agama;
human_rights_un_ace_adam_64kb_0091	hak njoë djitamong baih tuka agama atawa kepertjajaan,keumeurdèhkaan, peuëkeuh seutjara sidroë-droë atawa ramè-ramè ngon gob laén bôh seutjaraumum atawa sidroë-droë;
human_rights_un_ace_adam_64kb_0092	kejakinan keu agama geuh rhot pendidikan, amalan, pemudjaan dan
human_rights_un_ace_adam_64kb_0093	’ ibadat.
human_rights_un_ace_adam_64kb_0094	Peukara Nr.
human_rights_un_ace_adam_64kb_0095	19:
human_rights_un_ace_adam_64kb_0096	Tiëp ureuëng na hak meurdèhka bak geupeuteubiët peundapat dan geubri pikéran;
human_rights_un_ace_adam_64kb_0097	rôhdidalam hak njoë bibeuëh bak ta mat saboh-saboh keuputôsan, bèk na soë ganggu danpeukaru dan hana soë djak tuntu;
human_rights_un_ace_adam_64kb_0098	meurdéhka bak teurimong dan sipreuëk maklumat dan asoëpikéran rhot media beurangkapeuë deungon hana bataih.
human_rights_un_ace_adam_64kb_0099	Peukara Nr.
human_rights_un_ace_adam_64kb_0100	20:
human_rights_un_ace_adam_64kb_0101	Tiëp ureuëng na hak meurdéhka bak geumeuhimpôn deungon aman dan meurdéhka keugobnjan bak geupeutimoh saboh-saboh persatuan.
human_rights_un_ace_adam_64kb_0102	Hana meusidroëpih djeuët ta paksa untuk djeuët keu angèëta saboh-saboh kesatuan atawasjarikat.
human_rights_un_ace_adam_64kb_0103	Peukara Nr.
human_rights_un_ace_adam_64kb_0104	21:
human_rights_un_ace_adam_64kb_0105	Tiëp ureuëng na hak untuk tjok tanggông-djaweuëb lam peumeurintahan droë, bôh seutjaralangsông keudroëgeuh atawa meulalui wakilah njang geupiléh deungon meurdéhka.
human_rights_un_ace_adam_64kb_0106	Keumauan rakjat sipatôtdjih djeuët keu basis pokok nibak undang-undang dalam nanggroë.
human_rights_un_ace_adam_64kb_0107	Kemauan njoë musti geu-peutunjok/geupeunjata seutjara meu-atô dan bertahap-tahap dandeungon piléhan-piléhan umum njang adé setjara umum dan saban hak dan sama rata;
human_rights_un_ace_adam_64kb_0108	danmusti geupeugot deungon peumilihan su meurahsia ataupih deungon tjara laén njang sabandeungon peumilihan bibeuëh meurahsia.
human_rights_un_ace_adam_64kb_0109	Tiëp ureuëng na hak untuk meuteumeung keuseumpatan geu-angkèë dalam djabatanpemerintah nanggroë droëgeuh.
human_rights_un_ace_adam_64kb_0110	Peukara Nr.
human_rights_un_ace_adam_64kb_0111	22:
human_rights_un_ace_adam_64kb_0112	Tiëp ureuëng, sibagoë angèëta masjarakat, na hak djaminan keselamatan sosiai dan na hakbak peudjak buët deungon beunantu ôseuha-ôseuha nasional dan keuridja sama internasionalnjang seusuai deungon organisasi seureuta sumber-sumber keukajaan tiëp-tiëp nanggroë.
human_rights_un_ace_adam_64kb_0113	Meunantjit deungon hak-hak ekonomi, sosiai, budaja untuk peutheun marwah danperkembangan pribadi sidroë-sidroë ureuëng.
human_rights_un_ace_adam_64kb_0114	Peukara Nr.
human_rights_un_ace_adam_64kb_0115	23:
human_rights_un_ace_adam_64kb_0116	Tiëp ureuëng na hak untuk keuridja, peudjak buët, meurdéhka bak geupiléh buët njanggeugalak, na hak ateuëh undang-undang perburuhannjang adé dan djroh keu gobnjan;
human_rights_un_ace_adam_64kb_0117	dan nahak peulindông nibak pengangguran(hana buët).
human_rights_un_ace_adam_64kb_0118	Tiëp ureuëng, deungon hana diskriminasi, na hak meuteumeung upahnjang saban nibakkeuridja njang saban.
human_rights_un_ace_adam_64kb_0119	Tiëp ureuëng njang keuridja na hak untuk meurumpok upah njang adé dan mufaidah keudroëgeuh dan keu keuluarga geuh dalam saboh tahap hudép njang seusuai deungon martabatmanusia, njang meungnjo peureulèë geutamah nibak perlindôngan sosiai njang laén.
human_rights_un_ace_adam_64kb_0120	Tiëp ureuëng na hak peudong dan meugabông lam sjarikat-sjarikat maniaga untuk lindôngkeupeunténgan droë.
human_rights_un_ace_adam_64kb_0121	Peukara Nr.
human_rights_un_ace_adam_64kb_0122	24:
human_rights_un_ace_adam_64kb_0123	Tiëp ureuëng na ha untuk pijôh hèk dan djak tjok tjuti masa lapang, djitamong u dalamnjanmasa keuridja njang meuteuntèë meunurôt kemampuan, dan” tjuti berkala”njang geubajeuë.
human_rights_un_ace_adam_64kb_0124	Peukara Nr.
human_rights_un_ace_adam_64kb_0125	25:
human_rights_un_ace_adam_64kb_0126	Tiëp ureuëng na hak ateuëh standard hudép njang sesuai keu keusihatan dan sidjahtra keudroëgeuh dan keu keuluarga geuh, sép keu makanan, pakaian,rumoh dan perawatankeusihatan dan hai-hai sosiai njang geupeureulèë.
human_rights_un_ace_adam_64kb_0127	Na lom hak keu djaminan watèë hana buët,watèë sakét, tjatjad, inong balèë, masa tuha atawa laén-laén hai kureuëng beulandja diluwakontrol sidroë-droë ureuëng.
human_rights_un_ace_adam_64kb_0128	Kawôm mak dan aneuk miët na hak meurumpok bantuan khusus.
human_rights_un_ace_adam_64kb_0129	Bandum aneuk miët hanakeutjuali bôh njang lahé didalam atawa diluwa nikah, peureulèë meurumpok perlindôngansosiai njang saban.
human_rights_un_ace_adam_64kb_0130	Peukara Nr.
human_rights_un_ace_adam_64kb_0131	26:
human_rights_un_ace_adam_64kb_0132	Tiëp ureuëng na hak untuk meurumpok peundidékan.
human_rights_un_ace_adam_64kb_0133	Peundidékan peureulè beu-pré(hanapajah bajeuë), paléng ubeut ’èt sikula mijub, ’èt tingkat dasar.
human_rights_un_ace_adam_64kb_0134	Peundidékan mijub beudjeuëtpeuwadjéb.
human_rights_un_ace_adam_64kb_0135	Peundidikan tehnik dan professional beuteuhah keu umum dan peundidikanmanjang beu sama rata dan adé keu bandum ureuëng deungon dasar kepandaian danpengalaman.
human_rights_un_ace_adam_64kb_0136	Peundidikan peureulèë geu-arahkan keu perkembangan penoh nibak sifeuët-sifeuët manusiadan peukong hôreumat(respect) keu hak-hak azasi manusia dan dasar-dasar keumeurdéhkaan.
human_rights_un_ace_adam_64kb_0137	Dari sinan timoh saling peungeurtian, toleransi, dan rasa seutia keu ngon diantara bangsa-bangsa dalam dônja, hana ketjuali biëk atawa kelompok agama, demi keupeunténgan ôseuha
human_rights_un_ace_adam_64kb_0138	Sjarikat bangsa-bangsa untuk djaga kestabilan perdamaian dônja.
human_rights_un_ace_adam_64kb_0139	Ureuëng tuha na hak utama piléh peundidikan njang akan geudjôk keu aneuk droëgeuh.
human_rights_un_ace_adam_64kb_0140	Peukara Nr.
human_rights_un_ace_adam_64kb_0141	27:
human_rights_un_ace_adam_64kb_0142	Tiëp ureuëng na hak untôk geu-ikôt seureuta lam hudép budaja masjarakat, geunikmati budajaseni, dan geubagi peungalaman dalam perkembangan ’èleumèë pengetahuan dan manfa’at-manfa’at nibak njan.
human_rights_un_ace_adam_64kb_0143	Tiëp ureuëng na hak untôk meuteumeung perlindôngan nibak keupeunténgan-keupeunténganmoral dan material njang geuteumeung nibak buët-buët ilmiah, sastra atawa seni-budajagobnjan sibagoë peuntjipta, peunuléh atawa peungarang.
human_rights_un_ace_adam_64kb_0144	Peukara Nr.
human_rights_un_ace_adam_64kb_0145	28:
human_rights_un_ace_adam_64kb_0146	Tiëp ureuëng na hak ateuëh saboh susônan sosiai dan antara bangsa njang didalam njan hak-hak asazi manusia dan keumeurdéhkaan yang termaktub dalam Peunjata njoë djeuët geupeudjak dalam kenjataan njang seupenohdjih.
human_rights_un_ace_adam_64kb_0147	Peukara Nr.
human_rights_un_ace_adam_64kb_0148	29:
human_rights_un_ace_adam_64kb_0149	Tiëp ureuëng na kewadjiban ateuëh masjarakat meungnjo ureuëng njan bibeuëh bakgeupeudjalan keupeunténgan-keupeunténgan dan perkembangan keupribadian gobnjan setjaramenjeluruh.
human_rights_un_ace_adam_64kb_0150	Bak geupeudjak hak-hak dan keumeurdèhkaangeuh, tiëp-tiëp ureuëng handjeuët geuliwatbataih-bataih hukôm njang ka geupeuteuntèë lé undang-undang deungon tudjuan untukdjamin keupatuhan dan penghormatann jang sipatôtdjih ateuëh hak dan keumeurdéhkaanureuëng laén, demi perbaikan akhlak, keutentraman dan keubadjikan umum, dalam sabohmasjarakat dônja jang demokratik.
human_rights_un_ace_adam_64kb_0151	Hak-hak dan keumeurdèhkaan njoë handjeuët sagai-sagai ta amalkan sitjara meuteuntangdeungon tudjuan-tudjuan dan prinsip-prinsip Sjarikat Bangsa-Bangsa.
human_rights_un_ace_adam_64kb_0152	Peukara Nr.
human_rights_un_ace_adam_64kb_0153	30:
human_rights_un_ace_adam_64kb_0154	Hana sapeuë pih lam Peunjata njoë djeuët tatafsir lagèë njang ka meusurat teudjôk keubandum nanggroë, kumpulan atawa sidroë-droë ureuëng sibarang hak untuk geulibatdroëgeuh dalam peuë mantong kegiatan ataupih buët deungon tudjuan djak peugadoh peuëmantong hak-hak dan keumeurdèhkaan njang meutuléh dalam Peunjata njoë.
