human_rights_un_jav_vu_64kb_0001	PRANYATAN UMUM NGENANI HAK-HAK ASASI (UMAT)
human_rights_un_jav_vu_64kb_0044	(ngojok-ojoki) sing tumuju marang tumindak diskriminasi kasebut.
human_rights_un_jav_vu_64kb_0045	BAB : 8
human_rights_un_jav_vu_64kb_0046	Saben uwong nduweni hak kapulihake kanthi trep saka sesambunganekapatrapan pengadilan nasional tumrap tidak-tanduk kang nalisir saka hak-hakbaku kang dening angger-angger (undang-undang) kapasrahake dadi hake.
human_rights_un_jav_vu_64kb_0047	BAB : 9
human_rights_un_jav_vu_64kb_0048	Ora ana siji wae uwong kang kena ditangkep, ditahan utawa kasingkirake kanthisawenang-wenang.
human_rights_un_jav_vu_64kb_0049	BAB : 10
human_rights_un_jav_vu_64kb_0050	Saben uwong, kanthi nduweni drajad padha ing satemene, darbe hak tumrappangadilan kang adil lan tinarbuka dening pangadilan kanthi bebas lan ora bot-sih, ing babagan netepake hak lan kuwajiban-kuwajiban sarta ing sajroningnampa saben ancaman pidana kang ditetepake marang saben uwong.
human_rights_un_jav_vu_64kb_0051	BAB : 11
human_rights_un_jav_vu_64kb_0052	1.
human_rights_un_jav_vu_64kb_0053	Saben uwong kang dinakwa amargo dianggep nidakake laku nalisir sakaundang-undang, dianggep durung nyandhang kaluputan sadurungeundang-undang mbuktekake kaluputane ing pangadilan kang tinarbuka,ing bab iki saben uwong oleh jaminan kang diperlokake kanggo mbelanihake.
human_rights_un_jav_vu_64kb_0054	2.
human_rights_un_jav_vu_64kb_0055	Ora ana uwong siji wae kang kena dianggep luput nindakake nglanggarundang-undang utowo tledhor, kang ora mujudake tindak nalisir sakaundang-undang nasional utowo internasional, ing titi mangsa tumindakmau linakonan.
human_rights_un_jav_vu_64kb_0056	Ugo ora prayoga nemtokake paukuman kang luwih abodkatimbang paukuman kang katetepake nalika tindak nglanggar undang-undang iku linakonan.
human_rights_un_jav_vu_64kb_0057	BAB : 12
human_rights_un_jav_vu_64kb_0058	Ora ana uwong siji wae kang kena diregoni hak pribadine, kulowargane, balewismane utowa sesambungane nampa lan ngirim layang kanthi sawenang-wenang;
human_rights_un_jav_vu_64kb_0059	uga marang hak pakurmatan lan ajining diri.
human_rights_un_jav_vu_64kb_0060	Saben uwong ndarbeni hakkaayoman dining undang-undang awit saka anane gangguan utowo tindak nalisirmangkono iku.
human_rights_un_jav_vu_64kb_0061	BAB : 13
human_rights_un_jav_vu_64kb_0062	1.
human_rights_un_jav_vu_64kb_0063	Saben uwong darbe hak tumrap bebasing tumindak utawa ora nindakakeapa-apa ing sajroning laladan wewengkoning negara.
human_rights_un_jav_vu_64kb_0064	2.
human_rights_un_jav_vu_64kb_0065	Saben uwong darbe hak ninggalake sadhengah negara, kalebu negaranedhewe, lan darbe hak bali maneh menyang negarane.
human_rights_un_jav_vu_64kb_0066	BAB : 14
human_rights_un_jav_vu_64kb_0067	1.
human_rights_un_jav_vu_64kb_0068	Saben uwong darbe hak ngupaya pangayoman marang negara liyakanggo pangayoman amarga anggone dadi buron.
human_rights_un_jav_vu_64kb_0069	2.
human_rights_un_jav_vu_64kb_0070	Hak kasebut ora kena kaetrapake manawa anggone dadi buron iku nyatakang dadi sababe awit tumindak kadursilan kang ora gegandhengan karopolitik, utowo karana tumindak kang nalisir karo tujuan sing baku saka
human_rights_un_jav_vu_64kb_0071	Perserikatan Bangsa-Bangsa.
human_rights_un_jav_vu_64kb_0072	BAB : 15
human_rights_un_jav_vu_64kb_0073	1.
human_rights_un_jav_vu_64kb_0074	Saben uwong darbe hak dadi warga negara.
human_rights_un_jav_vu_64kb_0075	2.
human_rights_un_jav_vu_64kb_0076	Ora ana uwong siji wae kang kanthi tanpa landhesan tatanan banjurkabatalake anggone dadi warga negara utowo ditampik hake kanggo salindadi warga negara liya.
human_rights_un_jav_vu_64kb_0077	BAB : 16
human_rights_un_jav_vu_64kb_0078	1.
human_rights_un_jav_vu_64kb_0079	Priya lan wanita kang wus diwasa kanthi tanpa mawas bangsa, warganegara utawa agama, darbe hak nglakoni ningkah lan mbangunkulawarga.
human_rights_un_jav_vu_64kb_0080	Kabeh nduweni hak kang padha ing babakan neningkahan,ing sajroning alam ningkah lan ing alam pepisahan/pegatan.
human_rights_un_jav_vu_64kb_0081	2.
human_rights_un_jav_vu_64kb_0082	Neningkahan amung bisa dileksanani adhedhasar pilihan bebas lantemen-temen dadi pasarujukane penganten sakeloron.
human_rights_un_jav_vu_64kb_0083	3.
human_rights_un_jav_vu_64kb_0084	Brayat/kulawarga iku sawijining tetunggalan kang alamiyah lan baku ingmasyarakat lan anduweni hak pangayoman saka bebrayan (masyarakat)lan nagara.
human_rights_un_jav_vu_64kb_0085	BAB : 17
human_rights_un_jav_vu_64kb_0086	1.
human_rights_un_jav_vu_64kb_0087	Saben uwong duwe hak andarbeni bandha, kanthi pribadi utawabebarengan karo uwong liyane.
human_rights_un_jav_vu_64kb_0088	2.
human_rights_un_jav_vu_64kb_0089	Ora ana uwong siji wae kena dirampas bandhane kanthi sawenang-wenang.
human_rights_un_jav_vu_64kb_0090	BAB : 18
human_rights_un_jav_vu_64kb_0091	Saben uwong darbe hak bebas duwe panemu, kalbu lan agama.
human_rights_un_jav_vu_64kb_0092	Ing babakan ikikalebu hak bebas ganti agama lan kapitayan, lan hak bebas kanggo anekseniagamane utawa kapitayane, kanthi cara anggelar piwulang, nglakoni, lakuibadhah lan setya tuhu ngugemi percayane, kanthi cara pribadi utowobebarengan karo uwong liyane, ing ngedhengan (ngareping umum) utowopribadi.
human_rights_un_jav_vu_64kb_0093	BAB : 19
human_rights_un_jav_vu_64kb_0094	Saben uwong darbe hak ingatase hak bebas mratelakake panemume, kalebuduwe hak bebas darbe panemu tanpo diregoni/diganggu, lan kanggo ngupaya,nampa sarta mratelakake informasi lan pamikiran penemune lumantar media apawae kanthi tanpa mawas watesing wewengkon laladan.
human_rights_un_jav_vu_64kb_0095	BAB : 20
human_rights_un_jav_vu_64kb_0096	1.
human_rights_un_jav_vu_64kb_0097	Saben uwong nduweni hak ingatase hak bebas ngumpul lan gawepaguyuban tanpa anane rudapeksan.
human_rights_un_jav_vu_64kb_0098	2.
human_rights_un_jav_vu_64kb_0099	Ora ana uwong siji wae kang kena dipeksa lumebu ing sawijiningpakumpulan /paguyuban.
human_rights_un_jav_vu_64kb_0100	BAB : 21
human_rights_un_jav_vu_64kb_0101	1.
human_rights_un_jav_vu_64kb_0102	Saben uwong nduweni hak cawe-cawe ing kaperluane pamarintahnagarane, kanthi langsung utawa lumantar wakil-wakil kang pinilih kantibebas.
human_rights_un_jav_vu_64kb_0103	2.
human_rights_un_jav_vu_64kb_0104	Saben uwong darbe hak kang padha kanthi kalodhangan kang padha bisakawisudha tampa kalungguhan/jawatan pamarintah ing negarane.
human_rights_un_jav_vu_64kb_0105	3.
human_rights_un_jav_vu_64kb_0106	Gegayuhaning rakyat kudu dadi lambaran baku wewenange pamarintah,gegayuhan iki kudu kawujudake kanthi cara anane pamilihan umum kangdianakake ing wektu kang tinamtu lan murni kanthi hak pilih kang umumlan sadrajat, kanthi pungut swara sacara wadi utawa kanthi pranatan liyaangger bisa nanggung hak bebas anggone milih.
human_rights_un_jav_vu_64kb_0107	BAB : 22
human_rights_un_jav_vu_64kb_0108	Saben uwong, minangka warganing bebrayan (masyarakat) anduweni hakingatase jaminan sosial, sarta darbe hak amrih kaleksanane hak-hak ekonomi,sosial lan budaya sing dadi kaperluwan martabate sarta mekaring pribadinekanthi bebas, lumantar rekadaya nasional utawa karya pamitran internasional,condhong marang tata pranatane lan sumber dayaning Nagara.
human_rights_un_jav_vu_64kb_0109	BAB : 23
human_rights_un_jav_vu_64kb_0110	1.
human_rights_un_jav_vu_64kb_0111	Saben uwong anduweni hak pagawean, hak bebas milih pagawean, darbehak anane syarat-syarat nyambutgawe kanthi adil lan nguwohakekauntungan sarta nduweni hak ingayoman ing kahanane naliko oranyambutgawe/nganggur.
human_rights_un_jav_vu_64kb_0112	2.
human_rights_un_jav_vu_64kb_0113	Saben uwong kanthi ora kabedak-bedakake, darbe hak ingatase pituwas
human_rights_un_jav_vu_64kb_0114	(opah, asil) kang padha tumrap pagawean kang padha.
human_rights_un_jav_vu_64kb_0115	3.
human_rights_un_jav_vu_64kb_0116	Saben uwong kang nglakoni pagaweyan nduweni hak nampa opah/asilkang adil lan nguntungake/bathi, kang nanggung bisane dadi panguripankang murwat kanggo dhiri pribadi lan ugo marang kaluwargane, lanmanawa ana wigatine katambah ing lindhungan kaperluwan sosial liyane.
human_rights_un_jav_vu_64kb_0117	4.
human_rights_un_jav_vu_64kb_0118	Saben uwong darbe hak nggawa lan ngleboni paguyuban-paguyubanpegawe kanggo ngayomi kaperluane.
human_rights_un_jav_vu_64kb_0119	BAB : 24
human_rights_un_jav_vu_64kb_0120	Saben uwong nduwe hak ngaso lan libur, kelebu pranataning wanci nyambutgawe kang murwat lan dina libur kang pantes kanthi wewaton tumata, lan tetepnampaopah/pituwasing karya.
human_rights_un_jav_vu_64kb_0121	BAB : 25
human_rights_un_jav_vu_64kb_0122	1.
human_rights_un_jav_vu_64kb_0123	Saben uwong nduweni hak bisane urip kanthi murwat, kanggo kasarasanlan katentremane dalasan kulawargane, tan keri ing bab hak pangan,sandhang, papan lan pangopening kasarasan sarta kaperluan sosial singdadi kabutuhan lan hak oleh tanggungan jaminan nalika ngalaminganggur, nandhang lara, cacat, dadi warondha, nyandak umur tuwa,utawa kahanan liyane kang njalari kacingkrangan, kang nyata ngluwihidaya kekuwatane.
human_rights_un_jav_vu_64kb_0124	2.
human_rights_un_jav_vu_64kb_0125	Poro biyung (ibu) lan bocah-bocah darbe hak oleh pangopen lan bantuanistimewa (mirunggan).
human_rights_un_jav_vu_64kb_0126	Kabeh bocah, kang lair ing sajroning tatananningkah utowo sanjabaning tatanan ningkah kudu antuk pangayomansosial kang padha.
human_rights_un_jav_vu_64kb_0127	BAB : 26
human_rights_un_jav_vu_64kb_0128	1.
human_rights_un_jav_vu_64kb_0129	Saben uwong darbe hak oleh panggulowenthah ing pawiyatan kanthigratis, saora-orane tumrap sekolah/pawiyatan dhasar.
human_rights_un_jav_vu_64kb_0130	Pawiyatan dhasarkawajibake.
human_rights_un_jav_vu_64kb_0131	Sekolah (pawiyatan) tehnik lan jurusan umum kanggo sabenuwong kanthi tinarbuka, saben uwong bisa lumebu ing pawiyatan luhurkanthi pranatan kang padha salaras karo murwat lan pantese.
human_rights_un_jav_vu_64kb_0132	2.
human_rights_un_jav_vu_64kb_0133	Panggulowenthah kudu kaenerake amrih saben pribadi biso mekar kanthiomber, biso ndayani saya kandele rasa bisa ngajeni lan ngurmati hak-hakasasi umat manungsa lan kebebasan-kebebasan kang baku.
human_rights_un_jav_vu_64kb_0134	Panggulowenthah ing pawiyatan kudu bisa nenangi lan mekarake rasatepa salira karo pepadhane, mekaring pamitran, paseduluran ing antaranebangsa-bangsa, bebrayan, ras apadene agama, sarta njalari kudu sayamajuning Perserikatan Bangsa-Bangsa sajroning memetri lan nyiptobedhamen/pirukun.
human_rights_un_jav_vu_64kb_0135	3.
human_rights_un_jav_vu_64kb_0136	Para wong tuwa, darbe hak utama sajroning milih pawiyatan papanpanggulowenthah kanggo anak-anake.
human_rights_un_jav_vu_64kb_0137	BAB : 27
human_rights_un_jav_vu_64kb_0138	1.
human_rights_un_jav_vu_64kb_0139	Saben uwong duwe hak ngrasuk lan ambyur ing kiprahing kabudayan ingsadina-dinane ing bebrayan, ngresepi seni, lan bisa ngrasakake ngalamimajuning urip lan paedahing kawruh.
human_rights_un_jav_vu_64kb_0140	2.
human_rights_un_jav_vu_64kb_0141	Saben uwong duwe hak antuk pangayoman anggone kiprah lan makaryaing babagan ngelmu lan kawruh - kang arupa pangayoman marangkauntungan sing awujud moril utawa materiil, uga ing kasusastran utawaseni kang cinipta/asil karyane.
human_rights_un_jav_vu_64kb_0142	BAB : 28
human_rights_un_jav_vu_64kb_0143	Saben uwong darbe hak ingatase pranatan sosial nasional lan internasional,salaras karo hak-hak lan kabebasan-kabebasan kang kamot ing Pranyatan ikibisa kanthi temen maujud.
human_rights_un_jav_vu_64kb_0144	BAB : 29
human_rights_un_jav_vu_64kb_0145	1.
human_rights_un_jav_vu_64kb_0146	Saben uwong nduweni kuwajiban marang bebrayan/masyarakat, kangsanyatane ora ana papan liya kang bisa dadi papan mekaring kapribadenkanthi bebas sarta temen-tumemen.
human_rights_un_jav_vu_64kb_0147	2.
human_rights_un_jav_vu_64kb_0148	Sajroning ngleksanani hak-hak lan kabebasan-kabebasane, saben uwongkudu mbangun miturut marang pranatan kang salaras karo undang-undang (angger-angger), kang isi ancas lan tujuwan sing ora ana liyakajaba mung amrih gumolonging niyat ngugemi lan ngurmati kanthi trepmarang hak-hak lan kabebasan-kabebasan uwong liyane, kanggomujudake syarat-syarat kang adil ing bab kasusilan, tertib tumata lankatentremaning umum, ing bebrayan/masyarakat kang demokratis.
human_rights_un_jav_vu_64kb_0149	3.
human_rights_un_jav_vu_64kb_0150	Hak-hak lan kabebasan-kabebasan kasebut, kanthi alesan lan pawadanapa wae, ora keno dilaksanani nalisir karo ancas lan tujuwan sartawewaton-wewatoning Perserikatan Bangsa-Bangsa.
human_rights_un_jav_vu_64kb_0151	BAB : 30
human_rights_un_jav_vu_64kb_0152	Ora ana siji wae isi sajroning Pranyatan iki kena katapsir menehi kalodhanganmarang sawijining Nagara, paguyuban utawa pribadi, kang awujud hak supayaoleh utawa murihake antuk pakaryan apa wae, utawa nglakoni tumindak kanthitujuwan ngrusak hak-hak lan kabebasan-kabebasan wujud apa wae kangkapacak ing sajroning Pranyatan iki.
