human_rights_un_nno_be_64kb_0001	DEN INTERNASJONALE FRÅSEGNA OM MENNESKERETTANE
human_rights_un_nno_be_64kb_0073	Artikkel 23.
human_rights_un_nno_be_64kb_0074	Alle har rett til arbeid, til fritt å velje yrke, til rettferdige og gode arbeidstilhøve og vern mot arbeidsløyse.
human_rights_un_nno_be_64kb_0075	Alle har same rett til å få lik betaling for likt arbeid, utan skilnad av noko slag.
human_rights_un_nno_be_64kb_0076	Den som arbeider har krav på rettferdig og god betaling, så han kan syte for familien sin og seg sjølv på ein menneskeverdig måte, og om det trengst, få hjelp gjennom andre og utfyllande sosiale midlar.
human_rights_un_nno_be_64kb_0077	Alle har rett til å skipe og melde seg inn i fagforeningar for å verne interessene sine.
human_rights_un_nno_be_64kb_0078	Artikkel 24.
human_rights_un_nno_be_64kb_0079	Alle har rett til kvile og fritid, og dermed til ei rimeleg avgrensa arbeidstid, og til ferie med løn.
human_rights_un_nno_be_64kb_0080	Artikkel 25.
human_rights_un_nno_be_64kb_0081	Alle har rett til ein levestandard som kan tryggje helsa og velværet til forsytaren og familien hans, og gje dei mat, klede, hus, helsestell og nødvendige sosiale trygder ved arbeidsløyse, uføre, dødsfall, alderdom eller andre tilhøve som skiplar livskåra, og som forsytaren ikkje er herre over.
human_rights_un_nno_be_64kb_0082	Mor og barn har rett til særskild omsorg og hjelp.
human_rights_un_nno_be_64kb_0083	Alle barn skal ha same sosiale vern, anten dei er fødde i eller utafor ekteskapet.
human_rights_un_nno_be_64kb_0084	Artikkel 26.
human_rights_un_nno_be_64kb_0085	Alle har rett til undervisning.
human_rights_un_nno_be_64kb_0086	Opplæringa skal vere kostnadsfri, i det minste i den allmenne grunnskulen.
human_rights_un_nno_be_64kb_0087	Den elementære undervisninga skal vere pliktig for alle.
human_rights_un_nno_be_64kb_0088	Alle skal ha høve til å få fagopplæring, og det skal vere like vilkår for alle til å få høgre utdaning, alt etter dei evnene dei har.
human_rights_un_nno_be_64kb_0089	Undervisninga skal ha til mål å styrkje den menneskelege personlegdomen og auke vørdnaden for menneskerettane og den grunnleggjande fridomen, fremje skjønsemd, toleranse og venskap mellom alle nasjonar, folkeslag og religiøse grupper og stø fredsarbeidet til Dei Sameinte Nasjonane.
human_rights_un_nno_be_64kb_0090	Foreldra har førsteretten til å velje kva slag opplæring barna deira skal få.
human_rights_un_nno_be_64kb_0091	Artikkel 27.
human_rights_un_nno_be_64kb_0092	Alle har rett til fritt å vere med i det kulturelle livet i samfunnet, til å nyte kunst og til å få sin part av dei vitskaplege nyvinningane og godane som følgjer med dei.
human_rights_un_nno_be_64kb_0093	Kvar einskild har rett til å få verna dei moralske og materielle interessene som han har skapt seg gjennom vitskapleg, litterært eller kunstnarleg arbeid.
human_rights_un_nno_be_64kb_0094	Artikkel 28.
human_rights_un_nno_be_64kb_0095	Alle har krav på å få leve under slike sosiale kår og internasjonale tilhøve at dei fullt ut kan gjere til røyndom retten og fridomen i denne fråsegna.
human_rights_un_nno_be_64kb_0096	Artikkel 29.
human_rights_un_nno_be_64kb_0097	Alle har plikter andsynes samfunnet, då personlegdomen til den einskilde einast der kan få frie og fullgode voksterkår.
human_rights_un_nno_be_64kb_0098	Retten og fridomen til den einskilde skal ikkje vere avgrensa av anna enn det lova tydeleg slår fast for å tryggje den vørdnaden alle andre har krav på når det gjeld rett og fridom, og dei krav som eit demokratisk samfunn med rette kan setje til moral, offentleg orden og allmenn velferd.
human_rights_un_nno_be_64kb_0099	Denne retten og fridomen kan ikkje i noko høve nyttast i strid med formålet og prinsippet til Dei Sameinte Nasjonane.
human_rights_un_nno_be_64kb_0100	Artikkel 30.
human_rights_un_nno_be_64kb_0101	Ikkje noko i denne fråsegna må tolkast slik at det gjev stat, grupper eller einskildmenneske rett til å vere med på tiltak eller handlingar av noko slag som har til mål å øydeleggje den retten og fridomen som denne fråsegna stadfester.
