human_rights_un_lb_ll_64kb_0001	UNIVERSAL - DEKLARATIOUN VUN DE MËNSCHERECHTER
human_rights_un_lb_ll_64kb_0033	Kee Mënsch duerf arbiträr verhaft, agesat odder ausgewise gin.
human_rights_un_lb_ll_64kb_0034	Artikel 10
human_rights_un_lb_ll_64kb_0035	All Mënsch huet d'Recht, a voller Gläichheet, datt séng Saach, säin Uleies gerecht an öffentlech virun engem onofhängegen an onparteiesche Geriicht zur Sprooch kënnt, dat iwwer séng Rechter a Flichten an iwwer d'Berechtegong vun all Uklo, déi a Strofsaache géint e gefouert gët, entscheet.
human_rights_un_lb_ll_64kb_0036	Artikel 11
human_rights_un_lb_ll_64kb_0037	All Mënsch, dee wéinst engem strofbaren Akt ugeklot gët as esou laang als onschëlleg unzegesinn, bis séng Schold gesetzlech an am Verlaf vun engem öffentleche Prozess nogewisen as, an deem e mat Sécherheet op all néideg Garantië fir séng Verdedegong konnt rechnen.
human_rights_un_lb_ll_64kb_0038	Keen duerf veruurtelt gi fir Saachen, déi e gemat odder ënnerlooss huet, déi an deem Ament, wou dat geschitt as, no nationalem an internationalem Recht keng strofbar Akte woren.
human_rights_un_lb_ll_64kb_0039	Och duerf kee méi eng héich Strof kréie wi déi, déi an deem Ament applizéiert gouf, an deem de strofbaren Akt geschitt as.
human_rights_un_lb_ll_64kb_0040	Artikel 12
human_rights_un_lb_ll_64kb_0041	An enger Persoun hiirt Privatliewen, hir Famill, hir Wunnéng odder hir Korrespondenz duerf sech nët arbiträr agemëscht, an hir Éier an hire gudde Ruff och nët ugetaascht gin.
human_rights_un_lb_ll_64kb_0042	All Mënsch huet d'Recht op de Schutz vum Gesetz géint esou en Amëschen an Untaaschten.
human_rights_un_lb_ll_64kb_0043	Artikel 13
human_rights_un_lb_ll_64kb_0044	All Mënsch huet d'Recht fir fräi bannent de Grenze vun all Stat ze zirkuléieren a séng Residenz ze wielen.
human_rights_un_lb_ll_64kb_0045	All Mënsch huet d'Recht fir all Land ze verloossen, och säin egent, an nees a säi Land heemzekommen.
human_rights_un_lb_ll_64kb_0046	Artikel 14
human_rights_un_lb_ll_64kb_0047	All Mënsch huet d'Recht fir, wann e verfollegt gët, Asyl an anere Länner ze sichen a Gebrauch dovunner ze maachen.
human_rights_un_lb_ll_64kb_0048	Op dëst Recht ka sech nët beruff gin am Fall vun Ukloen, déi reell op engem Verbrieche vum allgemenge Recht an op Handlonge fundéieren, déi géint d'Ziler an d'Grondsätz vun de Vereenten Natioune verstoussen.
human_rights_un_lb_ll_64kb_0049	Artikel 15
human_rights_un_lb_ll_64kb_0050	All Mënsch huet d'Recht op eng Nationalitéit.
human_rights_un_lb_ll_64kb_0051	Séng Nationalitéit duerf kengem Mënsch arbiträr entzu gin, och nët dat Recht fir séng Nationalitéit ze changéieren.
human_rights_un_lb_ll_64kb_0052	Artikel 16
human_rights_un_lb_ll_64kb_0053	Wa Mann a Fra am Alter si fir sech ze bestueden, hu se d'Recht fir dat ze maachen an eng Famill ze grënnen ouni iirgendeng Restriktioun wat d'Rass, d'Nationalitéit odder d'Relioun ugeet.
human_rights_un_lb_ll_64kb_0054	Si hu beim Bestiednes, am Bestiednes a bei sénger Opléisong déi selwecht Rechter.
human_rights_un_lb_ll_64kb_0055	D'Bestiednes duerf nëmme mat der fräier a voller Awëllegong vum Brautpuer geschloss gin.
human_rights_un_lb_ll_64kb_0056	D'Famill as dat natiirlecht a fundamentaalt Element vun der Gesellschaft a si huet d'Recht op de Schutz vu Gesellschaft a Stat.
human_rights_un_lb_ll_64kb_0057	Artikel 17
human_rights_un_lb_ll_64kb_0058	All Mënsch huet d'Recht, eleng an och mat aneren zesummen, op Egentom.
human_rights_un_lb_ll_64kb_0059	Säin Egentom duerf kengem Mënsch arbiträr entzu gin.
human_rights_un_lb_ll_64kb_0060	Artikel 18
human_rights_un_lb_ll_64kb_0061	All Mënsch huet d'Recht op Gedanke-, Gewëssens- a Reliounsfräiheet;
human_rights_un_lb_ll_64kb_0062	an dësem Recht mat dran as d'Fräiheet fir séng Relioun odder séng Iwwerzegong ze änneren, grad esou wéi d'Fräiheet fir séng Relioun a séng lwwerzegong eleng odder mat aneren ze manifestéieren, sief et an der Öffentlechkeet odder privat, duerch den Unterrécht, d'Praktizéieren, de Kultus an d'Feiere vu Riten.
human_rights_un_lb_ll_64kb_0063	Artikel 19
human_rights_un_lb_ll_64kb_0064	All Mënsch huet d'Recht op eng fräi Menong a fir se fräi auszedrécken, an deem och d'Recht mat dran as op eng Menong fräi vu Fuurcht an dat Recht fir Informatiounen an Iddiën ze sichen, ze kréien an ze verbrede mat all dene Mëttele fir sech auszedrécken, déi et gët an ouni sech mussen u Grenze vu Länner ze halen.
human_rights_un_lb_ll_64kb_0065	Artikel 20
human_rights_un_lb_ll_64kb_0066	All Mënsch huet d'Recht op Versammlungs- a Verenegongsfräiheet am friddleche Sënn.
human_rights_un_lb_ll_64kb_0067	Keen duerf an eng Verenegong gezwong gin.
human_rights_un_lb_ll_64kb_0068	Artikel 21
human_rights_un_lb_ll_64kb_0069	All Mënsch huet d'Recht fir un den öffentlechen Ugeleënhete vu séngem Land matzewiirken, sief et direkt odder duerch fräi gewielt Vertrieder.
human_rights_un_lb_ll_64kb_0070	All Mënsch huet d'Recht fir ënner gläiche Konditiounen an d'öffentlech Fonktioune vu séngem Land eranzekommen.
human_rights_un_lb_ll_64kb_0071	De Vollekswëllen as d'Grondlag vun der Öffentlecher Gewalt hirer Autoritéit;
human_rights_un_lb_ll_64kb_0072	dee Wëlle muss sech an éierleche Walen, déi periodesch ofzehale sin no engem gläichen an allgemenge Walrecht, a geheime Walen odder an enger gläichwäerteger Prozedur, déi fräi Wale garantéiert, auszedrécken.
human_rights_un_lb_ll_64kb_0073	Artikel 22
human_rights_un_lb_ll_64kb_0074	All Mënsch huet als Mêmber vun der Gesellschaft d'Recht op zozial Sécherheet;
human_rights_un_lb_ll_64kb_0075	en as berechtegt fir an de Genoss vun de wirtschaftlechen, zozialen a kulturelle Rechter ze kommen, déi fir séng Dignitéit an d'fräi Entwécklong vu sénger Perséinlechkeet néideg sin, dat alles duerch en nationalen Effort an eng international Zesummenaarbecht an an engem Mooss, wéi d'Organisatioun an d'Ressource vun all Land et ausweisen.
human_rights_un_lb_ll_64kb_0076	Artikel 23
human_rights_un_lb_ll_64kb_0077	All Mënsch huet d'Recht op Aarbecht, op d'fräi Wiel vu sénger Aarbecht, op Aarbechtskonditiounen, déi gerecht sin an zefridde stellen an op de Schutz géint de Chômage.
human_rights_un_lb_ll_64kb_0078	Jiddereen huet ouni Diskriminatioun d'Recht op de selwechte Loun fir déi selwecht Aarbecht.
human_rights_un_lb_ll_64kb_0079	Jiddereen, dee schafft, huet d'Recht op e gerechten an ordentleche Loun, deen him selwer a sénger Famill eng Existenz op der Basis vun der mënschlëcher Dignitéit séchert an deen, wann néideg, duerch all aner zozial Mesüre gestäipt gët.
human_rights_un_lb_ll_64kb_0080	All Mënsch huet d'Recht fir mat anere Leit Beruffsorganisatiounen ze grënnen a fir séng Intressen ze verdedegen dranzegoen.
human_rights_un_lb_ll_64kb_0081	Artikel 24
human_rights_un_lb_ll_64kb_0082	All Mënsch huet d'Recht op Rou a Fräizäit a besonnesch op eng räsonnabel begrenzten Dauer vun der Aarbechtszäit an op periodeschen a bezuelte Congé.
human_rights_un_lb_ll_64kb_0083	Artikel 25
human_rights_un_lb_ll_64kb_0084	All Mënsch huet d'Recht op e Liewesniveau, deen duergeet fir him selwer a sénger Famill d'Gesondheet an d'Gutt-Ergoen, besonnesch d'Narong, d'Kleder, d'Wunneng, d'medezinesch Fleg an déi néideg zozial Déngschter ze garantéieren;
human_rights_un_lb_ll_64kb_0085	en huet d'Recht op Sécherheet am Fall vu Chômage, Krankheet, Invaliditéit, als Witfra odder Witmann, am Alter an an anere Fäll, wou en d'Mëttele fir säi Liewesënnerhalt nët méi huet duerch Ëmstänn, déi onofhängeg si vu séngem Wëllen.
human_rights_un_lb_ll_64kb_0086	Mamm a Kand hun d'Recht op speziell Hëllef a Bäistand.
human_rights_un_lb_ll_64kb_0087	D'Kanner alleguer, ob se am odder nët am Bestiednes gebuer gin, kommen an de Genoss vun deem selwechten zoziale Schutz.
human_rights_un_lb_ll_64kb_0088	Artikel 26
human_rights_un_lb_ll_64kb_0089	All Mënsch huet d'Recht op Bildung.
human_rights_un_lb_ll_64kb_0090	Den Unterrécht muss op d'mannst fir d'Elementar- an d'Grondschoule gratis sin.
human_rights_un_lb_ll_64kb_0091	Den Elementarunterrécht as obligatoresch.
human_rights_un_lb_ll_64kb_0092	Den techneschen an de Beruffsunterécht musse verallgemengert sin.
human_rights_un_lb_ll_64kb_0093	Den héiere Studium muss jidderengem mat dene selwechte Rechter an op der Basis vu sénge Leeschtungen opstoen.
human_rights_un_lb_ll_64kb_0094	D'Bildung soll déi voll Entwécklong vun der mënschlecher Perséinlechkeet a méi e grousse Respekt vun de Mënscherechter an de Grondfräiheten uviséieren.
human_rights_un_lb_ll_64kb_0095	Si soll de Versteesdemech, d'Toleranz an d'Frëndschaaft tëscht allen Natiounen an alle Gruppe vu Rassen a Relioune grad esou favoriséiere wéi d'Entwécklong vun de Vereenten Natiounen hiren Aktivitéite fir d'Erhale vum Fridden.
human_rights_un_lb_ll_64kb_0096	D'Elteren hu virewech d'Recht fir de Genre vun de Kanner hirer Bildung ze wielen.
human_rights_un_lb_ll_64kb_0097	Artikel 27
human_rights_un_lb_ll_64kb_0098	All Mënsch huet d'Recht fir fräi un der Kommunotéit hirem kulturelle Liewen deelzehuelen, an de Genoss vun der Konscht ze kommen a vum wësseschaaftleche Fortschrëtt a vun allem, wat sech doraus u Guddem ergët, ze profitéieren.
human_rights_un_lb_ll_64kb_0099	Jiddereen huet d'Recht op de Schutz vun de moraleschen a materiellen Intressen, déi aus jidfer wësseschaaftlecher, literarescher odder artistescher Produktioun entstin, vun deer hien den Auteur as.
human_rights_un_lb_ll_64kb_0100	Artikel 28
human_rights_un_lb_ll_64kb_0101	All Mënsch huet d'Recht op eng zozial an international Uerdnong, an deer sech déi Rechter a Fräiheten, déi an dëser Deklaratioun opgezielt gin, voll kënnen auswiirken.
human_rights_un_lb_ll_64kb_0102	Artikel 29
human_rights_un_lb_ll_64kb_0103	All Mënsch huet Flichte vis-à-vis vun der Kommunotéit, an deer eleng déi fräi a voll Entwécklong vu sénger Perséinlechkeet méiglech as.
human_rights_un_lb_ll_64kb_0104	Am Gebrauch vu sénge Rechter an am Genoss vu sénge Fräiheten as jiddereen nëmmen dene Limiten ënnerworf, déi d'Gesetz eenzeg an eleng dofir virgesäit, datt d'Unerkennong an de Respekt vun aneren hire Rechter a Fräihete gesechert sin a fir engem gerechten Usproch op Moral, op öffentlech Uerdnong an op en allgemengt Wuel an enger demokratescher Gesellschaft z'entspriechen.
human_rights_un_lb_ll_64kb_0105	Dës Rechter a Fräiheten duerfen a kengem Fall am Widdersproch mat de Vereenten Natiounen hiren Ziler a Prinzippie stoen.
human_rights_un_lb_ll_64kb_0106	Artikel 30
human_rights_un_lb_ll_64kb_0107	Keng Bestëmmong vun dëser Deklaratioun duerf esou ausgeluegt gin, datt e Recht fir e Stat, eng Grupp odder en eenzele Mënsch dra wär fir sech un Aktivitéiten ze gin odder Akten duerchzeféieren, déi drop erauslafe fir d'Rechter an d'Fräiheten, déi dra genannt sin, ëmzestoussen.
