human_rights_un_pl_km_64kb_0001	POWSZECHNA DEKLARACJA PRAW CZŁOWIEKA
human_rights_un_pl_km_64kb_0101	Każdy człowiek ma prawo do swobodnego uczestniczenia w życiu kulturalnym społeczeństwa, do korzystania ze sztuki, do uczestniczenia w postępie nauki i korzystania z jego dobrodziejstw.
human_rights_un_pl_km_64kb_0102	Każdy człowiek ma prawo do ochrony moralnych i materialnych korzyści wynikających z jakiejkolwiek jego działalności naukowej, literackiej lub artystycznej.
human_rights_un_pl_km_64kb_0103	Artykuł 28
human_rights_un_pl_km_64kb_0104	Każdy człowiek ma prawo do takiego porządku społecznego i międzynarodowego, w którym prawa i wolności zawarte w niniejszej Deklaracji byłyby w pełni realizowane.
human_rights_un_pl_km_64kb_0105	Artykuł 29
human_rights_un_pl_km_64kb_0106	Każdy człowiek ma obowiązki wobec społeczeństwa, bez którego niemożliwy jest swobodny i pełny rozwój jego osobowości.
human_rights_un_pl_km_64kb_0107	W korzystaniu ze swych praw i wolności każdy człowiek podlega jedynie takim ograniczeniom, które są ustalone przez prawo wyłącznie w celu zapewnienia odpowiedniego uznania i poszanowania praw i wolności innych i w celu uczynienia zadość słusznym wymogom moralności, porządku publicznego i powszechnego dobrobytu demokratycznego społeczeństwa.
human_rights_un_pl_km_64kb_0108	Z niniejszych praw i wolności nie wolno w żadnym przypadku korzystać w sposób sprzeczny z celami i zasadami Organizacji Narodów Zjednoczonych.
human_rights_un_pl_km_64kb_0109	Artykuł 30
human_rights_un_pl_km_64kb_0110	Żadnego z postanowień niniejszej Deklaracji nie można rozumieć jako udzielającego jakiemukolwiek Państwu, grupie lub osobie jakiegokolwiek prawa do podejmowania działalności lub wydawania aktów zmierzających do obalenia któregokolwiek z praw i wolności zawartych w niniejszej Deklaracji.
