human_rights_un_ltn_ezwa_64kb_0001	DECLARATIONEM HOMINIS IURIUM UNIVERSAM
human_rights_un_ltn_ezwa_64kb_0039	Suae quisque ipsius innocentiae coniectae, sceleris accusatus, omni de defendenda causa auctoritate comparata et fide accepta, dum culpa ex lege in publico iudicio ostenta erit, potestatem habet.
human_rights_un_ltn_ezwa_64kb_0040	Homo nemo damnari poterit, si iussum, quod ipso hoc tempore aut ex domestico iure aut ex gentium non fuerit scelus, perpetraverit vel praetermiserit.
human_rights_un_ltn_ezwa_64kb_0041	Item nulla poena maior quam quae, scelere commisso, iure potest dici, irroganda.
human_rights_un_ltn_ezwa_64kb_0042	XII
human_rights_un_ltn_ezwa_64kb_0043	Homo nemo intercessiones, sine causa, adire in suae ipsius vitae genus,familiam, domum, mutuam corresponsionem neque in sui fama detrimenta capere poterit.
human_rights_un_ltn_ezwa_64kb_0044	Suae quisque ipsius tutelae, ex lege contra easdem intercessiones aut detrimenta, potestatem habet.
human_rights_un_ltn_ezwa_64kb_0045	XIII
human_rights_un_ltn_ezwa_64kb_0046	Suae quisque et motus et sedis domiciliique, in omnium civitatum finibus, libertatis potestatem habet.
human_rights_un_ltn_ezwa_64kb_0047	Suam quisque potestatem habet quamlibet regionem atque suam relinquendi, in eandemque revertendi.
human_rights_un_ltn_ezwa_64kb_0048	XIV
human_rights_un_ltn_ezwa_64kb_0049	Suae quisque comparationis et usus, inter alias gentes, hospitii potestatem habet, vexationum causa.
human_rights_un_ltn_ezwa_64kb_0050	Quod ius non appellari potest, cum homo criminibus non publicis perquiratur vel rebus adversis Gentium Coniunctarum consiliis et rationibus.
human_rights_un_ltn_ezwa_64kb_0051	XV
human_rights_un_ltn_ezwa_64kb_0052	Suae quisque ipsius civitatis potestatem habet.
human_rights_un_ltn_ezwa_64kb_0053	Homo nemo sua civitate sine causa demi poterit nec civitatis iure mutandae.
human_rights_un_ltn_ezwa_64kb_0054	XVI
human_rights_un_ltn_ezwa_64kb_0055	Viri et feminae ius est ut, matrimonio aetate idonea, iungantur et familiam habeant, nullo modo generi, civitati, religioni imposito.
human_rights_un_ltn_ezwa_64kb_0056	Quibus de nuptiis, per nuptias, nuptiis dirimendis, paria iura.
human_rights_un_ltn_ezwa_64kb_0057	Nuptiae constitui possunt ipsis futuris coniugibus libere planeque consentientibus.
human_rights_un_ltn_ezwa_64kb_0058	Familia, societatis nucleus naturalis et praecipuus, ius utendi praesidio habet societatis et Rei Publicae.
human_rights_un_ltn_ezwa_64kb_0059	XVII
human_rights_un_ltn_ezwa_64kb_0060	Sui quisque ipsius patrimonii atque inter alios communis potestatem habet.
human_rights_un_ltn_ezwa_64kb_0061	Homo nemo suis bonis ex arbitrio potest demi.
human_rights_un_ltn_ezwa_64kb_0062	XVIII
human_rights_un_ltn_ezwa_64kb_0063	Suae quisque libertatis potestatem habet, cogitationis conscientiae religionis;
human_rights_un_ltn_ezwa_64kb_0064	ita ut religionem vel sententiam mutet, atque, solus vel communiter, in sacris docendis, exercendis, observandis, publice et privatim, ea possit colere.
human_rights_un_ltn_ezwa_64kb_0065	XIX
human_rights_un_ltn_ezwa_64kb_0066	Suae quisque ipsius libertatis potestatem habet, et opinandi et loquendi, de sua sententia nulla molestia affectus, atque nuntios et opiniones indagandi accipiendi divulgandi omnibus modis et nullis impedimentis.
human_rights_un_ltn_ezwa_64kb_0067	XX
human_rights_un_ltn_ezwa_64kb_0068	Suae quisque ipsius libertatis potestatem habet, et iure et honeste conveniendi et congregandi.
human_rights_un_ltn_ezwa_64kb_0069	Homo nemo, ut congregationi intersit, potest cogi.
human_rights_un_ltn_ezwa_64kb_0070	XXI
human_rights_un_ltn_ezwa_64kb_0071	Suae quisque rei publicae imperio intersit et per personam ipsam et per legatos sua sponte electos, legibus ferendis.
human_rights_un_ltn_ezwa_64kb_0072	Sui quisque aditus potestatem habet ad rei publicae officia, exaequatis condicionibus.
human_rights_un_ltn_ezwa_64kb_0073	Populi consensus principium est publicae potestatis;
human_rights_un_ltn_ezwa_64kb_0074	qui consensus certis temporibus veridicis et paribus omnium suffragiis, per tabellam est declarandus, vel pari iudicio liberi suffragii.
human_rights_un_ltn_ezwa_64kb_0075	XXII
human_rights_un_ltn_ezwa_64kb_0076	Suae quisque ipsius incolumitatis vitae, in hominum societate, potestatem habet etiamque civium conatu et gentium auxilio pro singularum rerum publicarum temperatione et opibus, operis ad rei familiaris et civilis curam et ad doctrinam pertinentis, necessarii ad propriae personae dignitatem et maturitatem.
human_rights_un_ltn_ezwa_64kb_0077	XXIII
human_rights_un_ltn_ezwa_64kb_0078	Suae quisque ipsius industriae potestatem habet, optionis munus solvendi, aequis condicionibus oblatis atque nulla opera intermissa.
human_rights_un_ltn_ezwa_64kb_0079	Suae quisque mercedis, nullo discrimine, cum pari opera convenientis potestatem habet.
human_rights_un_ltn_ezwa_64kb_0080	Quicumque in opera est, aequae et idoneae remunerationis ius habet ita ut sibi et familiae pro humana dignitate tutam vitam prospiciat, quae, si oporteat, aliis tutelae et fidei modis cumuletur.
human_rights_un_ltn_ezwa_64kb_0081	Suae quisque constitutionis propriae potestatem habet, collegiorum operarum, atque accessionis commoda defendendi causa.
human_rights_un_ltn_ezwa_64kb_0082	XXIV
human_rights_un_ltn_ezwa_64kb_0083	Sui quisque corporis et animi relaxationis ius habet, aliquot horis profestis ennumeratis et diebus feriatis, mercede persoluta.
human_rights_un_ltn_ezwa_64kb_0084	XXV
human_rights_un_ltn_ezwa_64kb_0085	Suae quisque ipsius rationis vivendae ius habet, quod bonae et integrae valetudini caveat, commodo suo et familiae, singulari cura victus, vestis, domicilii, et curationis munerum et societatis vitae officiorum utilium;
human_rights_un_ltn_ezwa_64kb_0086	praeterea ius habet eiusdem tutelae, si sine opere fuerit, si in morbo inciderit, si infirmus, viduus, senex aut defectus a copiis, invitus.
human_rights_un_ltn_ezwa_64kb_0087	Gignendi tempus et puerilis aetas maxima cura custodienda sunt.
human_rights_un_ltn_ezwa_64kb_0088	Omnibus pueris, et matrimonium et extra idem natis, eadem est humanae societatis tutela.
human_rights_un_ltn_ezwa_64kb_0089	XXVI
human_rights_un_ltn_ezwa_64kb_0090	Suae quisque ipsius doctrinae ius habet, quae de classibus puerilibus est gratuita et praecipua;
human_rights_un_ltn_ezwa_64kb_0091	praeterea doctrina primaria verum necessaria;
human_rights_un_ltn_ezwa_64kb_0092	doctrina, ad artem et munus pertinens, ab omnibus intellegi debet;
human_rights_un_ltn_ezwa_64kb_0093	denique ad ordinem superiorem aeque omnibus pro merito patens.
human_rights_un_ltn_ezwa_64kb_0094	Toti personae maturitati disciplina est dicanda, iurum et libertatum confirmationi et rationi, qua disciplina omnes gentes, omnia genera, omnes religiones intelligenda, observanda, amanda sunt, atque officiis Coniunctarum Gentium favendum ad pacem servandam.
human_rights_un_ltn_ezwa_64kb_0095	Parentium potestas est ut disciplinas, quibus liberi imbuantur, elegant.
human_rights_un_ltn_ezwa_64kb_0096	XXVII
human_rights_un_ltn_ezwa_64kb_0097	Sui quisque ipsius arbitrii ita potestatem habet ut vitae ad societatis doctrinam pertinenti particeps sit et artibus perfruatur, cum scientiae incrementis beneficiisque vehementer studeat.
human_rights_un_ltn_ezwa_64kb_0098	Suae quisque tutelae ius habet morum rationis utilitatis quae ex suis studiis scientiae litterarum artium efficiantur.
human_rights_un_ltn_ezwa_64kb_0099	XXVIII
human_rights_un_ltn_ezwa_64kb_0100	Suae quisque ipsius disciplinae societatis et gentium qua eiusdem DECLARATIONIS iura et libertates plane fieri possint, potestatem habet.
human_rights_un_ltn_ezwa_64kb_0101	XXIX
human_rights_un_ltn_ezwa_64kb_0102	Omnibus hominibus ad sodalicium officium est praestandum, quo modo mentes animique excoli possint.
human_rights_un_ltn_ezwa_64kb_0103	Sua quisque ipsius iura exercens et libertates derogationibus lege decretis afficiatur ad iurium aliorum et libertatum cognitionem et obsequium praestanda et ad morum legitimas necessitates explendas atque rei publicae tranquillitatis et communis commodi in populari societate.
human_rights_un_ltn_ezwa_64kb_0104	Contra Coniunctarum Gentium proposita et principia numquam haec iura et hae libertates exerceri possunt.
human_rights_un_ltn_ezwa_64kb_0105	XXX
human_rights_un_ltn_ezwa_64kb_0106	Cuius DECLARATIONIS nulla res ita potest putari ut quoddam ius exercendae operae vel faciendi facinoris detur cuivis civitati, aliquot hominibus vel uni e multis, ut aliquot iurium et aliquot libertatum eiusdem labefactentur.
