human_rights_un_far_pm_64kb_0001	HEIMSYVIRLÝSING UM MANNARÆTTINDI
human_rights_un_far_pm_64kb_0030	Eingin skal verða píndur ella harðliga, ómenniskjaliga ella vanæruliga viðfarin ella revsaður.
human_rights_un_far_pm_64kb_0031	6.
human_rights_un_far_pm_64kb_0032	grein
human_rights_un_far_pm_64kb_0033	Øll hava rætt til, hvar tey ery stødd, at verða viðurkend sum persænar fyri lægini.
human_rights_un_far_pm_64kb_0034	7.
human_rights_un_far_pm_64kb_0035	grein
human_rights_un_far_pm_64kb_0036	Øll eru jøvn fyri lægini hava rætt til somu rættarvernd uttan mismun.
human_rights_un_far_pm_64kb_0037	Øll hava sama rætt at verða vard fyri mismuni, sum er brot mæti hesi samtykt, og at verða vard fyri allari áeggjan til at skapa tílíkan mismun.
human_rights_un_far_pm_64kb_0038	8.
human_rights_un_far_pm_64kb_0039	grein
human_rights_un_far_pm_64kb_0040	Um onkur fær viðferð, sum er tvørtur 'mæti teimum grundrættindum, sum honum eru tryggjað sambært grundlæg og øðrum landslægum, skal hann hava rætt til at fáa fullar sømdir afturfyri við dæmstælar landsins.
human_rights_un_far_pm_64kb_0041	9.
human_rights_un_far_pm_64kb_0042	grein
human_rights_un_far_pm_64kb_0043	Eingin skal verða tilvildarliga handtikin, settur í varðhald ella gjørdur útlagin.
human_rights_un_far_pm_64kb_0044	10.
human_rights_un_far_pm_64kb_0045	grein
human_rights_un_far_pm_64kb_0046	Øll hava sannan javnrætt till rættvísa og almenna rættarviðgerð fyri æheftum og ævildigum dæmstæli, sum skal tka avgerð um rættindi teirra og skyldur, og um øll revsimál, ið verða reist.
human_rights_un_far_pm_64kb_0047	11.
human_rights_un_far_pm_64kb_0048	grein
human_rights_un_far_pm_64kb_0049	Hvør, sum verður ákærdur fyri revsiverda ferð, eigur rætt til al verða mettur æsekur, inntil hann er dømdur sekur við almenna rættargongd, har sum hann hevur fingið fulla trygd fyri verju.
human_rights_un_far_pm_64kb_0050	Eingin skal verða funnin sekur í revsimáli av nøkrum slag, uttan so at gerð ella ábyrgdarloysi, sum hann var ákærdur fyri, et at rokna sum brotsgerð sambært landslægum ella lægum, tá ið gerðin varð framd.
human_rights_un_far_pm_64kb_0051	Ei heldur skal strangari revsing verða ásett enn hon, ið var galdandi, tá ið tann revsiverda gerðin varð framd.
human_rights_un_far_pm_64kb_0052	12.
human_rights_un_far_pm_64kb_0053	grein
human_rights_un_far_pm_64kb_0054	Eingin eigur at vera fyri tilvildarligari uppílegging í persænlig viðurskifti, heimalív ella brævaskifti, ei heldur fyri æruskemd ella útspilling.
human_rights_un_far_pm_64kb_0055	Øll eiga rætt til lægarvernd fyri slíkari uppílegging ella ágangi.
human_rights_un_far_pm_64kb_0056	13.
human_rights_un_far_pm_64kb_0057	grein
human_rights_un_far_pm_64kb_0058	Øll hava rætt til frítt at fara og búsetast innan fyri landamark í hvørjum ríki sær.
human_rights_un_far_pm_64kb_0059	Øll hava rætt til at fara av landinum, hvørjum sum er, eisini sínum egna og at fara heim aftur til sítt land.
human_rights_un_far_pm_64kb_0060	14.
human_rights_un_far_pm_64kb_0061	grein
human_rights_un_far_pm_64kb_0062	Øll hava rætt at søkja um og fáa friðskjæl í øðrum londum fyri meinsæknum.
human_rights_un_far_pm_64kb_0063	Slíkan rætt ber ikki til at skjæta seg undir, tá ið ákæran av røttum er fyri æpolitiskar brotsgerðir ella gerðir, sum eru ímæti endamálum og grundreglum Sameindu Tjæðanna.
human_rights_un_far_pm_64kb_0064	15.
human_rights_un_far_pm_64kb_0065	grein
human_rights_un_far_pm_64kb_0066	Øll hava tjæðskaparrætt.
human_rights_un_far_pm_64kb_0067	Eingin skal tilvildarliga missa sín tjæðskap, og ongum skal verða sýtt fyri at skifta tjæðskap.
human_rights_un_far_pm_64kb_0068	16.
human_rights_un_far_pm_64kb_0069	grein
human_rights_un_far_pm_64kb_0070	Menn og kvinnur, sum eru komin til lægaldur, skulu uttan mun til ættarslag (rasu), tjæðskap ella átrúnað hava rætt at giftast og setast í búgv.
human_rights_un_far_pm_64kb_0071	Tey hava krav um javnrættindi at giftast, í hjúnalagnum og til hjúnaskilnað.
human_rights_un_far_pm_64kb_0072	Hjúnaband kann ikki verða bundið, uttan báðir partar samtykkja í tí av fríum vilja.
human_rights_un_far_pm_64kb_0073	Húskið er tann natúrliga frumeindin í samfelagnum og hevur rætt til vernd av samfelag og landi.
human_rights_un_far_pm_64kb_0074	17.
human_rights_un_far_pm_64kb_0075	grein
human_rights_un_far_pm_64kb_0076	Øll hava rætt til at eiga ogn, annaðhvørt einsamøll ella ' felag við onnur.
human_rights_un_far_pm_64kb_0077	Eingin skal hissini vera fyri ongartøku.
human_rights_un_far_pm_64kb_0078	18.
human_rights_un_far_pm_64kb_0079	grein
human_rights_un_far_pm_64kb_0080	Øll hava rætt til hugsanar-, samvitsku- og trúarfrælsi.
human_rights_un_far_pm_64kb_0081	Hesi rættur fatar eisini um frælsi at skifta átrúnað ella trúgv, og frælsi til annaðhvørt einsamallur ella í felag við onnur og alment ella einskilt at inna trúgv sína í frálæru, tilbiðing, gudstænastu og halgihaldi.
human_rights_un_far_pm_64kb_0082	19.
human_rights_un_far_pm_64kb_0083	grein
human_rights_un_far_pm_64kb_0084	Øll skulu vera fræls at hava sínar áskoðanir og bera tær fram uttan forðan, og at søkja sær og breiða út vitan og hugsanir ígjøgnum hvønn boðmiðil, sum vera skal, og æheft av landamarki.
human_rights_un_far_pm_64kb_0085	20.
human_rights_un_far_pm_64kb_0086	grein
human_rights_un_far_pm_64kb_0087	Øll hava rætt til frítt og á friðarligan hátt at koma saman og taka seg saman í felagsskapir.
human_rights_un_far_pm_64kb_0088	Eingin kann verða noyddur at vera limur í felag.
human_rights_un_far_pm_64kb_0089	21.
human_rights_un_far_pm_64kb_0090	grein
human_rights_un_far_pm_64kb_0091	Øll hava rætt til at taka lut í stjærn lands síns, annaðhvørt beinleiðis ella gjøgnum frítt vald umboð.
human_rights_un_far_pm_64kb_0092	Øll hava rætt til somu atgongd at embætum og almennum størvum í landi sínum.
human_rights_un_far_pm_64kb_0093	Fælksins vilji skal vera støði undir stjærnarinnar valdi;
human_rights_un_far_pm_64kb_0094	hesin vilji skal verða borin fram við ávísum millumbilum og rættiligum valum við almennum og jøvnum valrætti, og skulu verða framd við loyniligari atkvøðing ella samsvarandi frælsum valháttum.
human_rights_un_far_pm_64kb_0095	22.
human_rights_un_far_pm_64kb_0096	grein
human_rights_un_far_pm_64kb_0097	Øll hava sum samfelagsborgarar rætt til felagsliga trygd og kunnu krevja, at tey búskaparligu, felagsligu og mentanarligu rættindi, sum eru neyðug fyri teirra virðing og fría menning av persænleikanum, verða framd við tiltøkum innanlands og í altjæða samstarvi og í samsvari við skipan og tilfeingi í hvørjum landi.
human_rights_un_far_pm_64kb_0098	23.
human_rights_un_far_pm_64kb_0099	grein
human_rights_un_far_pm_64kb_0100	Øll eiga rætt til arbeiði, til frítt at velja starv, til rættvís og hæskandi arbeiðslíkindi og til vernd fyri arbeiðsloysi.
human_rights_un_far_pm_64kb_0101	Øll hava uttan mismun rætt til somu løn fyri sama arebeiði.
human_rights_un_far_pm_64kb_0102	Ein og hvør, sum arebeiðir, hevur rætt til rættvísa og hæskandi samsýning, ið tryggjar honum og hansara eina mannsømiliga tilveru, og harumframt um neyðugt aðra almenna vernd.
human_rights_un_far_pm_64kb_0103	Ein og hvør hevur rætt til at stovna og gerast limur í yrkisfelag til at verja síni áhugamál.
human_rights_un_far_pm_64kb_0104	24.
human_rights_un_far_pm_64kb_0105	grein
human_rights_un_far_pm_64kb_0106	Øll hava rætt til hvíld og frítíð, har uppi í rímiliga avmarking av arbeiðstíðini og frítíð við løn ávísum millumbilum.
human_rights_un_far_pm_64kb_0107	25.
human_rights_un_far_pm_64kb_0108	grein
human_rights_un_far_pm_64kb_0109	Ein og hvør hevur rætt til lívsumsøður, ið tryggja honum og hansara heilsu og vælveru, har uppi í mat, klæði, bústað og heilsurøkt og almennar tænastur og rætt til trygd við møguligum arbeiðsloysi, sjúku, æarbeiðsføri, missi av maka, aldri ella aðrari skerjing av vinnumøguleikum orsakað av um støðum, sum hann ikki hevur ræði á.
human_rights_un_far_pm_64kb_0110	Møður og børn hava krav um serliga umsorgan og hjálp.
human_rights_un_far_pm_64kb_0111	Øll børn, annaðhvørt tey eru fødd í hjúnalagi ella uttan, njæta somu almannavernd.
human_rights_un_far_pm_64kb_0112	26.
human_rights_un_far_pm_64kb_0113	grein
human_rights_un_far_pm_64kb_0114	Øll hava rætt til útbúgving.
human_rights_un_far_pm_64kb_0115	Útbúgving skal vera ækeypis, íhvussu er á byrjanarstigi skal vera skyldubundin.
human_rights_un_far_pm_64kb_0116	Tøknilig og yrkislig útbúgving skal standa øllum í boði, og øll skulu eftir førimuni hava somu atgongd a hægri undirvísing.
human_rights_un_far_pm_64kb_0117	Undirvísing skal miða ímæti at fullmenna persænleika einstaklingsins og at stimbra virðingina fyri mannarættindum og frælsi.
human_rights_un_far_pm_64kb_0118	Hon skal fremja fatan, tolsemi og vinalag millum tjæðir, fælkasløg og trúarbælkar, og skal fremja virki Sameindu Tjæðanna fyri at varðveita friðin.
human_rights_un_far_pm_64kb_0119	Foreldur hava fyrsta rætt at velja, hvat slag av undirvísing skal verða givin børnum teirra.
human_rights_un_far_pm_64kb_0120	27.
human_rights_un_far_pm_64kb_0121	grein
human_rights_un_far_pm_64kb_0122	Øll hava rætt til frítt at taka lut í mentanarlívi í samfelagnum, at njæta list og eiga lut í framburði vísinda og ágæðum teirra.
human_rights_un_far_pm_64kb_0123	Øll hava rætt til vernd av andaligum og evnisligum áhugamálum í sambandi vidð eitt og hvørt vísindaligt, bækmentaligt ella listarligt verk, sum avvarðandi hevur greitt úr hondum.
human_rights_un_far_pm_64kb_0124	28.
human_rights_un_far_pm_64kb_0125	grein
human_rights_un_far_pm_64kb_0126	Øll hava rætt til samfelags- og altjæða skipan, har tey rættindi og frælsi, ið nevnd eru í hesi yvirlýsing, kunnu verða framd út í æsir.
human_rights_un_far_pm_64kb_0127	29.
human_rights_un_far_pm_64kb_0128	grein
human_rights_un_far_pm_64kb_0129	Øll hava skyldur fyri samfelagnum;
human_rights_un_far_pm_64kb_0130	í tí einans er full og fræls menning persænleikans gjørlig.
human_rights_un_far_pm_64kb_0131	Samfelagsborgarar skulu viðvíkjandi rættindum og frælsi einans verða bundnir av avmarkanum, sum eru settar í lægum við tí í hyggju at tryggja viðurkenning av og virðing fyri frælsi og rættindum hjá øðrum og til tess at lúka rættvís krøv um siðalag, alment skil og vælferð almenningsins í fælkaræðissamfelag.
human_rights_un_far_pm_64kb_0132	Hesi rættindi og frælsi mega í ongum føri verða int í mætstøðu við endamál og grundreglur Sameindu Tjæðanna.
human_rights_un_far_pm_64kb_0133	30.
human_rights_un_far_pm_64kb_0134	grein
human_rights_un_far_pm_64kb_0135	Einki í hesi yvirlýsing eigur at verða tulkað tann veg, at nøkrum ríki, bælki ella einsaklingi verður loyvt at gera nakað, ið miðar ímæti at beina fyri nøkrum av teimun mannarættindum, sum her eru tald.
