human_rights_un_inz_mb_64kb_0001	Pernyataan Umum tentang Hak-Hak Asasi Manusia
human_rights_un_inz_mb_64kb_0030	Setiap orang berhak atas bantuan yang efektif dari pengadilan nasional yang kompeten untuk tindakan pelanggaran hak-hak dasar yang diberikan kepadanya oleh undang-undang dasar atau hukum.
human_rights_un_inz_mb_64kb_0031	Pasal 9
human_rights_un_inz_mb_64kb_0032	Tak seorang pun boleh ditangkap, ditahan atau dibuang dengan sewenang-wenang.
human_rights_un_inz_mb_64kb_0033	Pasal 10
human_rights_un_inz_mb_64kb_0034	Setiap orang, dalam persamaan yang penuh, berhak atas pengadilan yang adil dan terbuka oleh pengadilan yang bebas dan tidak memihak, dalam menetapkan hak dan kewajiban-kewajibannya serta dalam setiap tuntutan pidana yang dijatuhkan kepadanya.
human_rights_un_inz_mb_64kb_0035	Pasal 11
human_rights_un_inz_mb_64kb_0036	Setiap orang yang dituntut karena disangka melakukan suatu pelanggaran hukum dianggap tidak bersalah, sampai dibuktikan kesalahannya menurut hukum dalam suatu pengadilan yang terbuka, di mana dia memperoleh semua jaminan yang diperlukan untuk pembelaannya.
human_rights_un_inz_mb_64kb_0037	Tidak seorang pun boleh dipersalahkan melakukan pelanggaran hukum karena perbuatan atau kelalaian yang tidak merupakan suatu pelanggaran hukum menurut undang-undang nasional atau internasional, ketika perbuatan tersebut dilakukan.
human_rights_un_inz_mb_64kb_0038	Juga tidak diperkenankan menjatuhkan hukuman lebih berat daripada hukuman yang seharusnya dikenakan ketika pelanggaran hukum itu dilakukan.
human_rights_un_inz_mb_64kb_0039	Pasal 12
human_rights_un_inz_mb_64kb_0040	Tidak seorang pun dapat diganggu dengan sewenang-wenang urusan pribadinya, keluarganya, rumah-tangganya atau hubungan surat-menyuratnya, juga tak diperkenankan pelanggaran atas kehormatannya dan nama baiknya.
human_rights_un_inz_mb_64kb_0041	Setiap orang berhak mendapat perlindungan hukum terhadap gangguan atau pelanggaran seperti itu.
human_rights_un_inz_mb_64kb_0042	Pasal 13
human_rights_un_inz_mb_64kb_0043	Setiap orang berhak atas kebebasan bergerak dan berdiam di dalam batas-batas setiap negara.
human_rights_un_inz_mb_64kb_0044	Setiap orang berhak meninggalkan sesuatu negeri, termasuk negerinya sendiri, dan berhak kembali ke negerinya.
human_rights_un_inz_mb_64kb_0045	Pasal 14
human_rights_un_inz_mb_64kb_0046	Setiap orang berhak mencari dan menikmati suaka di negeri lain untuk melindungi diri dari pengejaran.
human_rights_un_inz_mb_64kb_0047	Hak ini tidak berlaku untuk kasus pengejaran yang benar-benar timbul karena kejahatan-kejahatan yang tak berhubungan dengan politik, atau karena perbuatan-perbuatan yang bertentangan dengan tujuan dan dasar Perserikatan Bangsa-Bangsa.
human_rights_un_inz_mb_64kb_0048	Pasal 15
human_rights_un_inz_mb_64kb_0049	Setiap orang berhak atas sesuatu kewarga-negaraan.
human_rights_un_inz_mb_64kb_0050	Tidak seorang pun dengan semena-mena dapat dicabut kewarga-negaraannya atau ditolak haknya untuk mengganti kewarga-negaraan.
human_rights_un_inz_mb_64kb_0051	Pasal 16
human_rights_un_inz_mb_64kb_0052	Pria dan wanita yang sudah dewasa, dengan tidak dibatasi kebangsaan, kewarga-negaraan atau agama, berhak untuk nikah dan untuk membentuk keluarga.
human_rights_un_inz_mb_64kb_0053	Mereka mempunyai hak yang sama dalam soal perkawinan, di dalam masa perkawinan dan pada saat perceraian.
human_rights_un_inz_mb_64kb_0054	Perkawinan hanya dapat dilaksanakan berdasarkan pilihan bebas dan persetujuan penuh oleh kedua mempelai.
human_rights_un_inz_mb_64kb_0055	Keluarga adalah kesatuan alamiah dan fundamental dari masyarakat dan berhak mendapat perlindungan dari masyarakat dan Negara.
human_rights_un_inz_mb_64kb_0056	Pasal 17
human_rights_un_inz_mb_64kb_0057	Setiap orang berhak memiliki harta, baik sendiri maupun bersama-sama dengan orang lain.
human_rights_un_inz_mb_64kb_0058	Tak seorang pun boleh dirampas hartanya dengan semena-mena.
human_rights_un_inz_mb_64kb_0059	Pasal 18
human_rights_un_inz_mb_64kb_0060	Setiap orang berhak atas kebebasan pikiran, hati nurani dan agama;
human_rights_un_inz_mb_64kb_0061	dalam hal ini termasuk kebebasan berganti agama atau kepercayaan, dan kebebasan untuk menyatakan agama atau kepercayaan dengan cara mengajarkannya, mempraktekkannya, melaksanakan ibadahnya dan mentaatinya, baik sendiri maupun bersama-sama dengan orang lain, di muka umum maupun sendiri.
human_rights_un_inz_mb_64kb_0062	Pasal 19
human_rights_un_inz_mb_64kb_0063	Setiap orang berhak atas kebebasan mempunyai dan mengeluarkan pendapat;
human_rights_un_inz_mb_64kb_0064	dalam hak ini termasuk kebebasan memiliki pendapat tanpa gangguan, dan untuk mencari, menerima dan menyampaikan informasi dan buah pikiran melalui media apa saja dan dengan tidak memandang batas-batas (wilayah).
human_rights_un_inz_mb_64kb_0065	Pasal 20
human_rights_un_inz_mb_64kb_0066	Setiap orang mempunyai hak atas kebebasan berkumpul dan berserikat secara damai.
human_rights_un_inz_mb_64kb_0067	Tidak seorang pun boleh dipaksa untuk memasuki sesuatu perkumpulan.
human_rights_un_inz_mb_64kb_0068	Pasal 21
human_rights_un_inz_mb_64kb_0069	Setiap orang berhak turut serta dalam pemerintahan negerinya, secara langsung atau melalui wakil-wakil yang dipilih dengan bebas.
human_rights_un_inz_mb_64kb_0070	Setiap orang berhak atas kesempatan yang sama untuk diangkat dalam jabatan pemerintahan negerinya.
human_rights_un_inz_mb_64kb_0071	Kehendak rakyat harus menjadi dasar kekuasaan pemerintah;
human_rights_un_inz_mb_64kb_0072	kehendak ini harus dinyatakan dalam pemilihan umum yang dilaksanakan secara berkala dan jujur dan yang dilakukan menurut hak pilih yang bersifat umum dan yang tidak membeda-bedakan, dan dengan pemungutan suara yang rahasia ataupun menurut cara-cara lain yang menjamin kebebasan memberikan suara.
human_rights_un_inz_mb_64kb_0073	Pasal 22
human_rights_un_inz_mb_64kb_0074	Setiap orang, sebagai anggota masyarakat, berhak atas jaminan sosial dan berhak melaksanakan dengan perantaraan usaha-usaha nasional dan kerjasama internasional, dan sesuai dengan organisasi serta sumber-sumber kekayaan dari setiap Negara, hak-hak ekonomi, sosial dan kebudayaan yang sangat diperlukan untuk martabat dan pertumbuhan bebas pribadinya.
human_rights_un_inz_mb_64kb_0075	Pasal 23
human_rights_un_inz_mb_64kb_0076	Setiap orang berhak atas pekerjaan, berhak dengan bebas memilih pekerjaan, berhak atas syarat-syarat perburuhan yang adil serta baik, dan berhak atas perlindungan dari pengangguran.
human_rights_un_inz_mb_64kb_0077	Setiap orang, tanpa diskriminasi, berhak atas pengupahan yang sama untuk pekerjaan yang sama.
human_rights_un_inz_mb_64kb_0078	Setiap orang yang melakukan pekerjaan berhak atas pengupahan yang adil dan baik yang menjamin kehidupannya dan keluarganya, suatu kehidupan yang pantas untuk manusia yang bermartabat, dan jika perlu ditambah dengan perlindungan sosial lainnya.
human_rights_un_inz_mb_64kb_0079	Setiap orang berhak mendirikan dan memasuki serikat-serikat pekerja untuk melindungi kepentingannya.
human_rights_un_inz_mb_64kb_0080	Pasal 24
human_rights_un_inz_mb_64kb_0081	Setiap orang berhak atas istirahat dan liburan, termasuk pembatasan-pembatasan jam kerja yang layak dan hari libur berkala, dengan menerima upah.
human_rights_un_inz_mb_64kb_0082	Pasal 25
human_rights_un_inz_mb_64kb_0083	Setiap orang berhak atas taraf hidup yang menjamin kesehatan dan kesejahteraan untuk dirinya dan keluarganya, termasuk pangan, pakaian, perumahan dan perawatan kesehatannya serta pelayanan sosial yang diperlukan, dan berhak atas jaminan pada saat menganggur, menderita sakit, cacat, menjadi janda, mencapai usia lanjut atau mengalami kekurangan mata pencarian yang lain karena keadaan yang berada di luar kekuasaannya.
human_rights_un_inz_mb_64kb_0084	Para ibu dan anak-anak berhak mendapat perawatan dan bantuan istimewa.
human_rights_un_inz_mb_64kb_0085	Semua anak, baik yang dilahirkan di dalam maupun di luar perkawinan, harus mendapat perlindungan sosial yang sama.
human_rights_un_inz_mb_64kb_0086	Pasal 26
human_rights_un_inz_mb_64kb_0087	Setiap orang berhak mendapat pendidikan.
human_rights_un_inz_mb_64kb_0088	Pendidikan harus gratis, setidak-tidaknya untuk tingkat sekolah rendah dan pendidikan dasar.
human_rights_un_inz_mb_64kb_0089	Pendidikan rendah harus diwajibkan.
human_rights_un_inz_mb_64kb_0090	Pendidikan teknik dan jurusan secara umum harus terbuka bagi semua orang, dan pengajaran tinggi harus secara adil dapat diakses oleh semua orang, berdasarkan kepantasan.
human_rights_un_inz_mb_64kb_0091	Pendidikan harus ditujukan ke arah perkembangan pribadi yang seluas-luasnya serta memperkokoh rasa penghargaan terhadap hak-hak manusia dan kebebasan asasi.
human_rights_un_inz_mb_64kb_0092	Pendidikan harus menggalakkan saling pengertian, toleransi dan persahabatan di antara semua bangsa, kelompok ras maupun agama, serta harus memajukan kegiatan Perserikatan Bangsa-Bangsa dalam memelihara perdamaian.
human_rights_un_inz_mb_64kb_0093	Orang-tua mempunyai hak utama untuk memilih jenis pendidikan yang akan diberikan kepada anak-anak mereka.
human_rights_un_inz_mb_64kb_0094	Pasal 27
human_rights_un_inz_mb_64kb_0095	Setiap orang berhak untuk turut serta dengan bebas dalam kehidupan kebudayaan masyarakat, untuk mengecap kenikmatan kesenian dan berbagi dalam kemajuan ilmu pengetahuan dan manfaatnya.
human_rights_un_inz_mb_64kb_0096	Setiap orang berhak untuk memperoleh perlindungan atas kepentingan-kepentingan moril dan material yang diperoleh sebagai hasil dari sesuatu produksi ilmiah, kesusasteraan atau kesenian yang diciptakannya.
human_rights_un_inz_mb_64kb_0097	Pasal 28
human_rights_un_inz_mb_64kb_0098	Setiap orang berhak atas suatu tatanan sosial dan internasional di mana hak-hak dan kebebasan-kebebasan yang termaktub di dalam Pernyataan ini dapat dilaksanakan sepenuhnya.
human_rights_un_inz_mb_64kb_0099	Pasal 29
human_rights_un_inz_mb_64kb_0100	Setiap orang mempunyai kewajiban terhadap masyarakat tempat satu-satunya di mana ia memperoleh kesempatan untuk mengembangkan pribadinya dengan penuh dan leluasa.
human_rights_un_inz_mb_64kb_0101	Dalam menjalankan hak-hak dan kebebasan-kebebasannya, setiap orang harus tunduk hanya pada pembatasan-pembatasan yang ditetapkan oleh undang-undang dengan maksud semata-mata untuk menjamin pengakuan serta penghormatan yang layak terhadap hak-hak dan kebebasan-kebebasan orang lain, dan untuk memenuhi syarat-syarat yang adil dalam hal kesusilaan, ketertiban dan kesejahteraan umum dalam suatu masyarakat yang demokratis.
human_rights_un_inz_mb_64kb_0102	Hak-hak dan kebebasan-kebebasan ini dengan jalan bagaimana pun sekali-kali tidak boleh dilaksanakan bertentangan dengan tujuan dan dasar Perserikatan Bangsa-Bangsa.
human_rights_un_inz_mb_64kb_0103	Pasal 30
human_rights_un_inz_mb_64kb_0104	Tidak satu pun di dalam Pernyataan ini boleh ditafsirkan memberikan sesuatu Negara, kelompok ataupun seseorang, hak untuk terlibat di dalam kegiatan apa pun atau melakukan perbuatan yang bertujuan untuk merusak hak-hak dan kebebasan-kebebasan yang mana pun yang termaktub di dalam Pernyataan ini.
