ind_0001	Az Emberi Jogok Egyetemes Nyilatkozata
ind_0036	A törvény előtt mindenki egyenlő és minden megkülönböztetés nélkül joga van a törvényegyenlő védelméhez.
ind_0037	Mindenkinek joga van egyenlő védelemhez a jelen Nyilatkozatot sértőminden megkülönböztetéssel és minden ilyen megkülönböztetésre irányuló felbujtássalszemben.
ind_0038	8.
ind_0039	cikk
ind_0040	Minden személynek joga van az alkotmányban vagy a törvényben részére biztosítottalapvető jogokat sértő eljárások ellen a hazai bíróságokhoz tényleges jogorvoslatértfolyamodni.
ind_0041	9.
ind_0042	cikk
ind_0043	Senkit sem lehet önkényesen letartóztatni, őrizetbe venni vagy száműzni.
ind_0044	10.
ind_0045	cikk
ind_0046	Minden személynek teljesen egyenlő joga van arra, hogy ügyét független és pártatlanbíróság méltányosan és nyilvánosan tárgyalja, s ez határozzon  egyrészt jogai éskőtelezettségei felől, másrészt minden ellene emelt bűnügyi vád megalapozottsága felől.
ind_0047	11.
ind_0048	cikk
ind_0049	1.
ind_0050	Minden büntetendő cselekménnyel vádolt személyt ártatlannak kell vélelmeznimindaddig, amíg bűnősségét nyilvánosan lefolytatott perben, a védelméhez szükségesvalamennyi biztosíték mellett, törvényesen megállapítják.
ind_0051	2.
ind_0052	Senkit sem szabad elítélni oly cselekményért vagy mulasztásért, amely elkövetésepillanatában a hazai jog vagy a nemzetközi jog szerint nem volt büntetendő cselekmény.
ind_0053	Ugyancsak nem szabad súlyosabb büntetést kiszabni, mint amely a büntetendőcselekmény elkövetése pillanatában volt alkalmazható.
ind_0054	12.
ind_0055	cikk
ind_0056	Senkinek magánéletébe, családi ügyeibe, lakóhelye megválasztásába vagy levelezésébenem szabad önkényesen beavatkozni, sem pedig becsületében vagy jó hírnevébenmegsérteni.
ind_0057	Minden személynek joga van az ilyen beavatkozásokkal vagy sértésekkelszemben a törvény védelméhez.
ind_0058	13.
ind_0059	cikk
ind_0060	1.
ind_0061	Az államon belül minden személynek joga van szabadon mozogni és lakóhelyétszabadon megválasztani.
ind_0062	2.
ind_0063	Minden személynek joga van minden országot, ideértve saját hazáját is, elhagyni,valamint saját hazájába visszatérni.
ind_0064	14.
ind_0065	cikk
ind_0066	1.
ind_0067	Minden személynek joga van az üldözés elől más országban menedéket keresni és amás ország nyújtotta menedéket élvezni.
ind_0068	2.
ind_0069	Erre a jogra nem lehet hivatkozni közönséges bűncselekmény miatti.
ind_0070	kellőképpenmegalapozott üldözés, sem pedig az Egyesült Nemzetek céljaival és elveivel ellentétestevékenység esetében.
ind_0071	15.
ind_0072	cikk
ind_0073	1.
ind_0074	Minden személynek joga van valamely állampolgársághoz.
ind_0075	2.
ind_0076	Senkit sem lehet sem állampolgárságától, sem állampolgársága megváltoztatásánakjogától önkényesen megfosztani.
ind_0077	16.
ind_0078	cikk
ind_0079	1.
ind_0080	Mind a férfinak, mind a nőnek a házasságra érett kor elérésétől kezdve joga van fajon,nemzetiségen vagy valláson alapuló korlátozás nélkül házasságot kötni és családotalapítani.
ind_0081	A házasság tekintetében a férfinak és a nőnek mind a házasság tartama alatt,mind a házasság felbontása tekintetében egyenlő jogai vannak.
ind_0082	2.
ind_0083	Házasságot csak a jövendő házastársak szabad és teljes beleegyezésével lehet kötni.
ind_0084	3.
ind_0085	A család a társadalom természetes és alapvető alkotó eleme és joga van a társadalom,valamint az állam védelmére.
ind_0086	17.
ind_0087	cikk
ind_0088	1.
ind_0089	Minden személynek, mind egyénileg, mind másokkal együttesen joga van a tulajdonhoz.
ind_0090	2.
ind_0091	Senkit sem lehet tulajdonától önkényesen megfosztani.
ind_0092	18.
ind_0093	cikk
ind_0094	Minden személynek joga van a gondolat, a lelkiismeret és a vallás szabadságához, ez a jogmagában foglalja a vallás és a meggyőződés megváltoztatásának szabadságát, valamint avallásnak vagy a meggyőződésnek mind egyénileg, mind együttesen, mind a nyilvánosságelőtt, mind a magánéletben oktatás, gyakorlás és szertartások végzése útján valókifejezésre juttatásának jogát.
ind_0095	19.
ind_0096	cikk
ind_0097	Minden személynek joga van a vélemény és a kifejezés szabadságához, amely magábanfoglalja azt a jogot, hogy véleménye miatt ne szenvedjen zaklatást és hogy határokra valótekintet nélkül kutathasson, átvihessen és terjeszthessen híreket és eszméket bármilyenkifejezési módon.
ind_0098	20.
ind_0099	cikk
ind_0100	1.
ind_0101	Minden személynek joga van békés célú gyülekezési és egyesülési szabadsághoz.
ind_0102	2.
ind_0103	Senkit sem lehet valamely egyesületbe való belépésre kőtelezni.
ind_0104	21.
ind_0105	cikk
ind_0106	1.
ind_0107	Minden személynek joga van a hazája közügyeinek igazgatásában akár közvetlenül, akárszabadon választott képviselői útján való részvételhez.
ind_0108	2.
ind_0109	Minden személynek egyenlő feltételek mellett joga van saját hazájában közszolgálatiállásokra való alkalmazásához.
ind_0110	3.
ind_0111	A közhatalom tekintélyének alapja a nép akarata;
ind_0112	ez az akarat egyenlő szavazati jog éstitkos szavazás vagy a szavazás szabadságát ezzel egyenértékűen biztosító eljárás alapjánidőszakonként tartandó tisztességes választáson kell hogy kifejezésre jusson.
ind_0113	22.
ind_0114	cikk
ind_0115	Minden személynek mint a társadalom tagjának joga van a szociális biztonsághoz;
ind_0116	mindenszemélynek ugyancsak igénye van arra, hogy -az államok erőfeszítései és a nemzetköziegyüttműködés eredményeképpen és számotvetve az egyes országok szervezetével és gazdasági erőforrásaival- a méltóságához ésszemélyiségének szabadon való kifejlődéséhez szükséges gazdasági, szociális éskulturális jogait kielégíthesse.
ind_0117	23.
ind_0118	cikk
ind_0119	1.
ind_0120	Minden személynek joga van a munkához, a munka szabad megválasztásához, améltányos és kielégítő munkafeltételekhez és a munkanélküliség elleni védelemhez.
ind_0121	2.
ind_0122	Az egyenlő munkáért mindenkinek, bármilyen megkülönböztetés nélkül egyenlő bérhezvan joga.
ind_0123	3.
ind_0124	Mindenkinek, aki dolgozik, olyan méltányos és kielégítő fizetéshez van joga, amelyszámára és családja számára az emberi méltóságnak megfelelő létet biztosít és amelyetmegfelelő esetben a szociális védelem összes egyéb eszközei egészítenek ki.
ind_0125	4.
ind_0126	Minden személynek joga van a pihenéshez, a szabad időhöz, nevezetesen a munkaidőtartamának ésszerű korlátozásához, valamint az időszakonkénti fizetett szabadsághoz.
ind_0127	24.
ind_0128	cikk
ind_0129	Minden személynek joga van a pihenésre és szabadidőre, beleértve a munkaidő ésszerűkorlátozását és az időszakos fizetett szabadságot.
ind_0130	25.
ind_0131	cikk
ind_0132	1.
ind_0133	Minden személynek joga van saját maga és családja egészségének és jóléténekbiztosítására alkalmas életszínvonalhoz, nevezetesen élelemhez, ruházathoz, lakáshoz,orvosi gondozáshoz, valamint a szükséges szociális szolgáltatásokhoz, joga van amunkanélküliség, betegség, rokkantság, özvegység, öregség esetére szóló, valamintmindazon más esetekre szóló biztosításhoz, amikor létfenntartási eszközeit akaratátólfüggetlen körülmények miatt elveszíti.
ind_0134	2.
ind_0135	Az anyaság és a gyermekkor különleges segítséghez és támogatáshoz adnak jogot.
ind_0136	Minden gyermek, akár házasságból, akár házasságon kívül született, ugyanabban aszociális védelemben részesül.
ind_0137	26.
ind_0138	cikk
ind_0139	1.
ind_0140	Minden személynek joga van a neveléshez.
ind_0141	A nevelésnek, legalábbis az elemi ésalapvető oktatást illetően, ingyenesnek kell lennie.
ind_0142	Az elemi oktatás kötelező.
ind_0143	A technikai ésszakoktatást általánossá kell tenni;
ind_0144	a felsőbb tanulmányokra való felvételnek mindenki előtt
ind_0145	-érdeméhez képest- egyenlő feltételek mellett nyitva kell állnia.
ind_0146	2.
ind_0147	A nevelésnek az emberi személyiség teljes kibontakoztatására, valamint az emberi jogokés alapvető szabadságok tiszteletbentartásának megerősítésére kell irányulnia.
ind_0148	Anevelésnek elő kell segítenie a nemzetek, valamint az összes faji és vallási csoportokközötti megértést, türelmet és barátságot, valamint az Egyesült Nemzetek által a békefenntartásának érdekében kifejtett tevékenység kifejlődését.
ind_0149	3.
ind_0150	A szülőket elsőbbségi jog illeti meg a gyermekeiknek adandó nevelés megválasztásában.
ind_0151	27.
ind_0152	cikk
ind_0153	1.
ind_0154	Minden személynek joga van a közösség kulturális életében való szabad részvételhez, aművészetek élvezéséhez, valamint a tudomány haladásában és az abból származójótéteményekben való részvételhez.
ind_0155	2.
ind_0156	Mindenkinek joga van minden általa alkotott tudományos, irodalmi és művészetitermékkel kapcsolatos erkölcsi és anyagi érdekeinek védelméhez.
ind_0157	28.
ind_0158	cikk  Minden személynek joga van ahhoz, hogy mind a társadalmi,mind a nemzetközi viszonyok tekintetében olyan rendszer uralkodjék,amelyben a jelen Nyilatkozatban kinyilvánított jogok és szabadságokteljes hatállyal érvényesülhessenek.
ind_0159	29.
ind_0160	cikk
ind_0161	1.
ind_0162	A személynek kőtelességei vannak a közösséggel szemben, amelynek keretébenegyedül lehetséges a személyiség szabad és teljes kifejlődése.
ind_0163	2.
ind_0164	Jogainak gyakorlása és szabadságainak élvezete tekintetében senki sincs alávetve máskorlátozásnak, mint amelyet a törvény kizárólag mások jogai és szabadságai elismerésénekés tiszteletbentartásának biztosítása érdekében, valamint a demokratikus társadalomerkölcse, közrendje és általános jóléte jogos követelményeinek kielégítése érdekébenmegállapít.
ind_0165	3.
ind_0166	Ezeket a jogokat és szabadságokat semmi esetre sem lehet az Egyesült Nemzetekcéljaival és elveivel ellentétesen gyakorolni.
ind_0167	30.
ind_0168	cikk
ind_0169	A jelen Nyilatkozat egyetlen rendelkezése sem értelmezhető úgy, hogy az valamely állam,valamely csoport, vagy valamely egyén részére bármilyen jogot adna arra, hogy az ittkinyilvánított jogok és szabadságok megsemmisítésére irányuló tevékenységet fejtsen ki,vagy ilyen cselekményt elkövessen.
