human_rights_un_frn_grd_64kb_0001	Déclaration universelle des droits de l'homme 
human_rights_un_frn_grd_64kb_0067	La famille est l'élément naturel et fondamental de la société et a droit à laprotection de la société et de l'Etat.
human_rights_un_frn_grd_64kb_0068	Article 17
human_rights_un_frn_grd_64kb_0069	1.
human_rights_un_frn_grd_64kb_0070	Toute personne, aussi bien seule qu'en collectivité, a droit à la propriété.
human_rights_un_frn_grd_64kb_0071	2.
human_rights_un_frn_grd_64kb_0072	Nul ne peut être arbitrairement privé de sa propriété
human_rights_un_frn_grd_64kb_0073	Article 18
human_rights_un_frn_grd_64kb_0074	Toute personne a droit à la liberté de pensée, de conscience et de religion;
human_rights_un_frn_grd_64kb_0075	ce droitimplique la liberté de changer de religion ou de conviction ainsi que la liberté demanifester sa religion ou sa conviction, seule ou en commun, tant en public qu'enprivé, par l'enseignement, les pratiques, le culte et l'accomplissement des rites.
human_rights_un_frn_grd_64kb_0076	Article 19
human_rights_un_frn_grd_64kb_0077	Tout individu a droit à la liberté d'opinion et d'expression, ce qui implique le droit dene pas être inquiété pour ses opinions et celui de chercher, de recevoir et derépandre, sans considérations de frontières, les informations et les idées parquelque moyen d'expression que ce soit.
human_rights_un_frn_grd_64kb_0078	Article 20
human_rights_un_frn_grd_64kb_0079	1.
human_rights_un_frn_grd_64kb_0080	Toute personne a droit à la liberté de réunion et d'association pacifiques.
human_rights_un_frn_grd_64kb_0081	2.
human_rights_un_frn_grd_64kb_0082	Nul ne peut être obligé de faire partie d'une association.
human_rights_un_frn_grd_64kb_0083	Article 21
human_rights_un_frn_grd_64kb_0084	1.
human_rights_un_frn_grd_64kb_0085	Toute personne a le droit de prendre part à la direction des affaires publiques deson pays, soit directement, soit par l'intermédiaire de représentants librementchoisis.
human_rights_un_frn_grd_64kb_0086	2.
human_rights_un_frn_grd_64kb_0087	Toute personne a droit à accéder, dans des conditions d'égalité, aux fonctionspubliques de son pays.
human_rights_un_frn_grd_64kb_0088	3.
human_rights_un_frn_grd_64kb_0089	La volonté du peuple est le fondement de l'autorité des pouvoirs publics;
human_rights_un_frn_grd_64kb_0090	cettevolonté doit s'exprimer par des élections honnêtes qui doivent avoir lieupériodiquement, au suffrage universel égal et au vote secret ou suivant uneprocédure équivalente assurant la liberté du vote.
human_rights_un_frn_grd_64kb_0091	Article 22
human_rights_un_frn_grd_64kb_0092	Toute personne, en tant que membre de la société, a droit à la sécurité sociale;
human_rights_un_frn_grd_64kb_0093	elleest fondée à obtenir la satisfaction des droits économiques, sociaux et culturelsindispensables à sa dignité et au libre développement de sa personnalité, grâce àl'effort national et à la coopération internationale, compte tenu de l'organisation etdes ressources de chaque pays.
human_rights_un_frn_grd_64kb_0094	Article 23
human_rights_un_frn_grd_64kb_0095	1.
human_rights_un_frn_grd_64kb_0096	Toute personne a droit au travail, au libre choix de son travail, à des conditionséquitables et satisfaisantes de travail et à la protection contre le chômage.
human_rights_un_frn_grd_64kb_0097	2.
human_rights_un_frn_grd_64kb_0098	Tous ont droit, sans aucune discrimination, à un salaire égal pour un travail égal
human_rights_un_frn_grd_64kb_0099	3.
human_rights_un_frn_grd_64kb_0100	Quiconque travaille a droit à une rémunération équitable et satisfaisante luiassurant ainsi qu'à sa famille une existence conforme à la dignité humaine etcomplétée, s'il y a lieu, par tous autres moyens de protection sociale.
human_rights_un_frn_grd_64kb_0101	4.
human_rights_un_frn_grd_64kb_0102	Toute personne a le droit de fonder avec d'autres des syndicats et de s'affilier àdes syndicats pour la défense de ses intérêts.
human_rights_un_frn_grd_64kb_0103	Article 24
human_rights_un_frn_grd_64kb_0104	Toute personne a droit au repos et aux loisirs et notamment à une limitationraisonnable de la durée du travail et à des congés payés périodiques.
human_rights_un_frn_grd_64kb_0105	Article 25
human_rights_un_frn_grd_64kb_0106	1.
human_rights_un_frn_grd_64kb_0107	Toute personne a droit à un niveau de vie suffisant pour assurer sa santé, sonbien-être et ceux de sa famille, notamment pour l'alimentation, l'habillement, lelogement, les soins médicaux ainsi que pour les services sociaux nécessaires;
human_rights_un_frn_grd_64kb_0108	elle adroit à la sécurité en cas de chômage, de maladie, d'invalidité, de veuvage, devieillesse ou dans les autres cas de perte de ses moyens de subsistance par suitede circonstances indépendantes de sa volonté.
human_rights_un_frn_grd_64kb_0109	2.
human_rights_un_frn_grd_64kb_0110	La maternité et l'enfance ont droit à une aide et à une assistance spéciales.
human_rights_un_frn_grd_64kb_0111	Tousles enfants, qu'ils soient nés dans le mariage ou hors mariage, jouissent de la mêmeprotection sociale.
human_rights_un_frn_grd_64kb_0112	Article 26
human_rights_un_frn_grd_64kb_0113	1.
human_rights_un_frn_grd_64kb_0114	Toute personne a droit à l'éducation.
human_rights_un_frn_grd_64kb_0115	L'éducation doit être gratuite, au moins en cequi concerne l'enseignement élémentaire et fondamental.
human_rights_un_frn_grd_64kb_0116	L'enseignementélémentaire est obligatoire.
human_rights_un_frn_grd_64kb_0117	L'enseignement technique et professionnel doit êtregénéralisé;
human_rights_un_frn_grd_64kb_0118	l'accès aux études supérieures doit être ouvert en pleine égalité à tousen fonction de leur mérite.
human_rights_un_frn_grd_64kb_0119	2.
human_rights_un_frn_grd_64kb_0120	L'éducation doit viser au plein épanouissement de la personnalité humaine et aurenforcement du respect des droits de l'homme et des libertés fondamentales.
human_rights_un_frn_grd_64kb_0121	Elledoit favoriser la compréhension, la tolérance et l'amitié entre toutes les nations ettous les groupes raciaux ou religieux, ainsi que le développement des activités des
human_rights_un_frn_grd_64kb_0122	Nations Unies pour le maintien de la paix.
human_rights_un_frn_grd_64kb_0123	3.
human_rights_un_frn_grd_64kb_0124	Les parents ont, par priorité, le droit de choisir le genre d'éducation à donner àleurs enfants.
human_rights_un_frn_grd_64kb_0125	Article 27
human_rights_un_frn_grd_64kb_0126	1.
human_rights_un_frn_grd_64kb_0127	Toute personne a le droit de prendre part librement à la vie culturelle de lacommunauté, de jouir des arts et de participer au progrès scientifique et auxbienfaits qui en résultent
human_rights_un_frn_grd_64kb_0128	2.
human_rights_un_frn_grd_64kb_0129	Chacun a droit à la protection des intérêts moraux et matériels découlant de touteproduction scientifique, littéraire ou artistique dont il est l'auteur.
human_rights_un_frn_grd_64kb_0130	Article 28
human_rights_un_frn_grd_64kb_0131	Toute personne a droit à ce que règne, sur le plan social et sur le plan international,un ordre tel que les droits et libertés énoncés dans la présente Déclaration puissenty trouver plein effet.
human_rights_un_frn_grd_64kb_0132	Article 29
human_rights_un_frn_grd_64kb_0133	1.
human_rights_un_frn_grd_64kb_0134	L'individu a des devoirs envers la communauté dans laquelle seule le libre et pleindéveloppement de sa personnalité est possible.
human_rights_un_frn_grd_64kb_0135	2.
human_rights_un_frn_grd_64kb_0136	Dans l'exercice de ses droits et dans la jouissance de ses libertés, chacun n'estsoumis qu'aux limitations établies par la loi exclusivement en vue d'assurer lareconnaissance et le respect des droits et libertés d'autrui et afin de satisfaire auxjustes exigences de la morale, de l'ordre public et du bien-être général dans unesociété démocratique.
human_rights_un_frn_grd_64kb_0137	3.
human_rights_un_frn_grd_64kb_0138	Ces droits et libertés ne pourront, en aucun cas, s'exercer contrairement aux butset aux principes des Nations Unies.
human_rights_un_frn_grd_64kb_0139	Article 30
human_rights_un_frn_grd_64kb_0140	Aucune disposition de la présente Déclaration ne peut être interprétée commeimpliquant, pour un Etat, un groupement ou un individu, un droit quelconque de selivrer à une activité ou d'accomplir un acte visant à la destruction des droits etlibertés qui y sont énoncés.
