human_rights_un_bul_eu_64kb_0001	ВСЕОБЩА ДЕКЛАРАЦИЯ ЗА ПРАВАТА НА ЧОВЕКА
human_rights_un_bul_eu_64kb_0062	Всеки човек има право на свобода на убеждение и на изразяването му;
human_rights_un_bul_eu_64kb_0063	тази свобода включва правото безпрепятствено да се придържа към своите убеждения, както и правото да търси, да получава и да разпространява информация и идеи чрез всички средства и без оглед на държавните граници.
human_rights_un_bul_eu_64kb_0064	Член 20
human_rights_un_bul_eu_64kb_0065	Всеки човек има право на свобода на мирни събрания и сдружения.
human_rights_un_bul_eu_64kb_0066	Никой не трябва да бъде принуждаван да участва в дадено сдружение.
human_rights_un_bul_eu_64kb_0067	Член 21
human_rights_un_bul_eu_64kb_0068	Всеки човек има право да участва в управлението на своята държава пряко или чрез свободно избрани представители.
human_rights_un_bul_eu_64kb_0069	Всеки човек има право на достъп, при равни условия, до обществените и държавни служби на своята страна.
human_rights_un_bul_eu_64kb_0070	Волята на народа трябва да бъде основата на властта на правителството.
human_rights_un_bul_eu_64kb_0071	Тази воля трябва да се изразява чрез периодични и действителни избори, при всеобщо, равно и тайно гласуване или чрез равностойна процедура, осигуряваща свобода на гласуването.
human_rights_un_bul_eu_64kb_0072	Член 22
human_rights_un_bul_eu_64kb_0073	Всеки човек, като член на обществото, има право на социална сигурност и на осъществяване – чрез национални усилия и международно сътрудничество и в съответствие с устройството и ресурсите на съответната държава – на икономическите, социалните и културни права, необходими за неговото достойнство и за свободното развитие на неговата личност.
human_rights_un_bul_eu_64kb_0074	Член 23
human_rights_un_bul_eu_64kb_0075	Всеки човек има право на труд, на свободен избор на работа, на справедливи и благоприятни условия на труда, както и на закрила срещу безработица.
human_rights_un_bul_eu_64kb_0076	Всеки човек, без каквато и да е дискриминация, има право на равно възнаграждение за равен труд.
human_rights_un_bul_eu_64kb_0077	Всеки човек, който се труди, има право на справедливо и задоволително възнаграждение, което да осигури на него и неговото семейство съществувание, съответствуващо на човешкото достойнство и допълнено, ако това е необходимо, с други средства за соцална защита.
human_rights_un_bul_eu_64kb_0078	Всеки човек има право да учредява и да членува в професионални съюзи за защита на своите интереси.
human_rights_un_bul_eu_64kb_0079	Член 24
human_rights_un_bul_eu_64kb_0080	Всеки човек има право на почивка и отдих, включително на разумно ограничаване на работното време и на периодичен платен отпуск.
human_rights_un_bul_eu_64kb_0081	Член 25
human_rights_un_bul_eu_64kb_0082	Всеки човек има право на жизнено равнище, включително прехрана, облекло, жилище, медицинско обслужване и необходимите социални грижи, което е необходимо за поддържане на неговото и на семейството му здраве и благосъстояние.
human_rights_un_bul_eu_64kb_0083	Той има право на осигуряване в случай на безработица, болест, инвалидност, овдовяване, старост или други случаи на лишаване от средства за съществуване по независещи от него причини.
human_rights_un_bul_eu_64kb_0084	Майките и децата се ползват с особени грижи и подпомагане.
human_rights_un_bul_eu_64kb_0085	Всички деца, родени в брака или извън брака, се ползуват с еднаква социална защита.
human_rights_un_bul_eu_64kb_0086	Член 26
human_rights_un_bul_eu_64kb_0087	Всеки човек има право на образование.
human_rights_un_bul_eu_64kb_0088	Образованието трябва да бъде безплатно, поне що се отнася до началното и основното образование.
human_rights_un_bul_eu_64kb_0089	Началното образование трябва да бъде задължително.
human_rights_un_bul_eu_64kb_0090	Техническото и професионалното образование трябва да бъдат общодостъпни, а висшето образование трябва да бъде еднакво достъпно за всички на основата на техните способности.
human_rights_un_bul_eu_64kb_0091	Образованието трябва да бъде насочено към цялостно развитие на човешката личност и засилване на уважението към правата на човека и основните свободи.
human_rights_un_bul_eu_64kb_0092	То трябва да съдейства за разбирателството, тъпримостта и приятелството между всички народи, расови или религиозни групи, както и за осъществяване дейността на Организацията на Обединените нации за поддържане на мира.
human_rights_un_bul_eu_64kb_0093	Родителите имат право, с приоритет, да избират вида образование, което да получат техните деца.
human_rights_un_bul_eu_64kb_0094	Член 27
human_rights_un_bul_eu_64kb_0095	Всеки човек има право свободно да участва в културния живот на обществото, да се наслаждава на изкуствата, да участва в научния напредък и да се ползва от неговите достижения.
human_rights_un_bul_eu_64kb_0096	Всеки човек има право на закрила на моралните и материалните си интереси, които са резултат от каквото и да е научно, литературно или художествено произведение, на което той е автор.
human_rights_un_bul_eu_64kb_0097	Член 28
human_rights_un_bul_eu_64kb_0098	Всеки човек има право на социален и международен ред, при който правата и свободите, провъзгласени в тази декларация, могат да бъдат напълно осъществени.
human_rights_un_bul_eu_64kb_0099	Член 29
human_rights_un_bul_eu_64kb_0100	Всеки човек има задължения към обществото, в което единствено е възможно свободното и цялостно развитие на неговата личност.
human_rights_un_bul_eu_64kb_0101	Всеки човек, при упражняването на своите права и свободи, е подчинен само на такива ограничения, установени със закон, изключително с цел да се осигури необходимото признаване и зачитане правата и свободите на другите и за удовлетворяване на справедливите изисквания на морала, обществения ред и общото благоденствие в едно демократично общество.
human_rights_un_bul_eu_64kb_0102	Тези права и свободи при никакви обстоятелства не могат да бъдат упражнявани в противоречие с целите и принципите на Организацията на Обединените нации.
human_rights_un_bul_eu_64kb_0103	Член 30
human_rights_un_bul_eu_64kb_0104	Нищо в тази Декларация не може да бъде тълкувано като предоставящо право на дадена държава, група или лице да се занимават с каквато и да е дейност или да извършват действия, насочени към унищожаване на правата и свободите, провъзгласени в нея.
