human_rights_un_pmp_dm_64kb_0001	Ding Pang Universung Karapatang Pantau A Miproklama Para Ipakilala
human_rights_un_pmp_dm_64kb_0084	ing kaburiang iti dapat ipabalu ya king pana-panaun at tuneng halalan king kapamilatan ning panglaganap at pante-panteng pamagbotu a magawa iya king sikretung paralan a pamagbotu o king kapamilatan ning katumbas a malayang pamiparalang pamagbotu.
human_rights_un_pmp_dm_64kb_0085	Artikulo 22
human_rights_un_pmp_dm_64kb_0086	Ing balang metung anting parti na ning lipunan atin yang katuliran king kapayapan na ning lipunan at ating karapatan king katuparan, king kapamilatan na ning pamagsikap na ning bansa at king pami saup-saup pang kabilugang bansa at makanayun iya king kaayusan at pibandian ding balang Estado, ding karapatang pangkabiayayan, pang masa, at pang kulturang karapatan at tune kailangan ne ning kayang dangal at ning malayang pangabuu na ning kayang pangatau.
human_rights_un_pmp_dm_64kb_0087	Artikulo 23
human_rights_un_pmp_dm_64kb_0088	Ing balang metung atin iyang karapatang magobra, malayang mamiling obra, makatuliran at masanting a kabilyan king pamagobra at proteksyun laban king obra.
human_rights_un_pmp_dm_64kb_0089	Ing balang metung, a alang tatangian, ating iyang katuliran king suweldung katumbas ning kayang pipagalan.
human_rights_un_pmp_dm_64kb_0090	Ing balang metung a magobra atin iyang karapatan king makatuliran at sapat a bayad a titiyakan na king kayang sarili at king kayang pamilya ing pamangabiyayan a marangal, dagdagan pa nung kailangan, ing aliwa pang paralan ning prteksyung paniupunan.
human_rights_un_pmp_dm_64kb_0091	Ing balang metung atin iyang karapatan mitatag at maki-abe karing unyun king pamangawa para protektahan ing kayang kapakanan.
human_rights_un_pmp_dm_64kb_0092	Artikulo 24
human_rights_un_pmp_dm_64kb_0093	Ing balang metung atin iyan karapatang magpaynawa at maglibang kabilang ing makatuliran oras ning pamaobra at ding pana-panaung piestang opisyal a ating bayad.
human_rights_un_pmp_dm_64kb_0094	Artikulo 25
human_rights_un_pmp_dm_64kb_0095	Ing balang metung atin iyang karapatan king antas ning pamangabiyayan sapat para king masikan a pamikakatawan at ikasanting na ning kayang sarili at ing kayang pamilya kayabe ing pamangan baru, pambale at ing pamanesang medikal at ding kailangang pangserbisyung panlipunan, at ating karapatan king sekyuridad nuna milako iva obra, mikasakit, mabalu, tumwa o mawala ka bie o nung datang la ding maliaring e dapat asaan.
human_rights_un_pmp_dm_64kb_0096	Ding inda at anak atin lang karapatan king pamanese at kasaupan.
human_rights_un_pmp_dm_64kb_0097	Ding anggang anak, kasal la man ding pengari o ali, magtamasa lang pare-pareung proteksyung panlipunan.
human_rights_un_pmp_dm_64kb_0098	Artikulo 26
human_rights_un_pmp_dm_64kb_0099	Ing balang metungatin lang karapatan king pamag-aral.
human_rights_un_pmp_dm_64kb_0100	Ing pamag-aral dapat iyang libri, anggang king elementarya mu man at pamag-umpisang antas.
human_rights_un_pmp_dm_64kb_0101	Ing pamag-aral king primera dapat sapilitan iya.
human_rights_un_pmp_dm_64kb_0102	Ing edukasyung teknikal at propesyunal dapat makatagulaling karing sabla at ating matas a edukasyun atamasa ding sabla agpang king meritu.
human_rights_un_pmp_dm_64kb_0103	Ing pamag-aral dapat idirekta iya king ganap nang pamgabuu ning ketaun at king pamipatibe ning pamanggalang karing karapatang pantau at karing kalayan pang konstitusyun.
human_rights_un_pmp_dm_64kb_0104	Itaguyud na niti ing pamikamtindi ing midinan at pamikaluguran karing sablang bansa, ding grupu agpang king lahi o reliyun, at paunlaran la ding obraan da ding Mesasanmetung a Bansa bang papanatilyna ing kapayapan.
human_rights_un_pmp_dm_64kb_0105	Peka mumuna rang karapatan ding pengari ing pamamili king klasi ning pamag-aral a ipaglalub karing karelang anak.
human_rights_un_pmp_dm_64kb_0106	Artikulo 27
human_rights_un_pmp_dm_64kb_0107	Ing balang metung atin iyang karapatang malayang makiabe king bie pang kultura ning komunidad, bang atamasa ing arti at munie kaganapan king pamipaunlad king siyensa at karing makinabang na niti.
human_rights_un_pmp_dm_64kb_0108	Ing balang metung atin iyang karapatan king proteksyun king kapakanang moral at materyal a ibat king siyentipiku, panliterature o artistiko a iya ing ginawa.
human_rights_un_pmp_dm_64kb_0109	Artikulo 28
human_rights_un_pmp_dm_64kb_0110	Ing balang metung atin iyang karapatan king kaayusang pangkapaligiran at pangyatu a ding karapatan a kalayang makatakda king pamisiwalat a iti lubusan iyang akamtan.
human_rights_un_pmp_dm_64kb_0111	Artikulo 29
human_rights_un_pmp_dm_64kb_0112	Ing balang metung atin lang tungkulan a dapat gampanan king komunidad at iya kabud ing bibie laya at lubus a kaganapan king panga tau na.
human_rights_un_pmp_dm_64kb_0113	King pamanupad na king kayang karapatan at kalayan ing balang metung mipailalam iya karing limitasyung sasaglawayan na ning batas para bangkanita akamtan ing karapad-dapat pamangilala at paggalang karing karapatan at kalayan ding aliwa at apakibatan ing makatulirang pamangailangan ning moralidad, kaayusang pambalen at panlaganap a kapakanan king metung a demokratikung lipunan.
human_rights_un_pmp_dm_64kb_0114	Ding karapatan at kalayan a iti, ela kapilan man magamit a makasalungat karing kapagnasan at tuntunan ding Misasanmetung a Bansa.
human_rights_un_pmp_dm_64kb_0115	Artikulo 30
human_rights_un_pmp_dm_64kb_0116	Alang nanu mang parti king Proklamasyung iti a tuturing mangabaldugan king sanu mang Estado, grupo o tau, ing karapatang makiabe kingnanu mang gagawan o kimut o bibie paralan para siran na ing sanu mang karapatan at kalayan mitakda keni.
