human_rights_un_arz_ef_64kb_0001	الإعلان العالمي لحقوق الإنسان
human_rights_un_arz_ef_64kb_0036	لكل إنسان الحق، على قدم المساواة التامة مع الآخرين، في أن تنظر قضيته أمام محكمة مستقلة نزيهة نظراً عادلاً علنياً للفصل في حقوقه والتزاماته وأية تهمة جنائية توجه له.
human_rights_un_arz_ef_64kb_0037	المادة 11
human_rights_un_arz_ef_64kb_0038	كل شخص متهم بجريمة يعتبر بريئاً إلى أن تثبت إدانته قانوناً بمحاكمة علنية تؤمن له فيها الضمانات الضرورية للدفاع عنه.
human_rights_un_arz_ef_64kb_0039	لا يدان أي شخص من جراء أداء عمل أو الإمتناع عن أداء عمل إلاّ إذا كان ذلك يعتبر جرماً وفقاً للقانون الوطني أو الدولي وقت الارتكاب.
human_rights_un_arz_ef_64kb_0040	كذلك لا توقع عليه عقوبة أشد من تلك التي كان يجوز توقيعها وقت ارتكاب الجريمة.
human_rights_un_arz_ef_64kb_0041	المادة 12
human_rights_un_arz_ef_64kb_0042	لا يعرض أحد لتدخل تعسفي في حياته الخاصة أو أسرته أو مسكنه أو مراسلاته أو لحملات على شرفه وسمعته.
human_rights_un_arz_ef_64kb_0043	ولكل شخص الحق في حماية القانون من مثل هذا التدخل أو تلك الحملات.
human_rights_un_arz_ef_64kb_0044	المادة 13
human_rights_un_arz_ef_64kb_0045	لكل فرد حرية النقل واختيار محل إقامته داخل حدود كل دولة.
human_rights_un_arz_ef_64kb_0046	يحق لكل فرد أن يغادر أية بلاد بما في ذلك بلده كما يحق له العودة إليه.
human_rights_un_arz_ef_64kb_0047	المادة 14
human_rights_un_arz_ef_64kb_0048	لكل فرد الحق أن يلجأ إلى بلاد أخرى أو يحاول الالتجاء إليها هربا من الاضطهاد.
human_rights_un_arz_ef_64kb_0049	لا ينتفع بهذا الحق من قدم للمحاكمة في جرائم غير سياسية أو لأعمال تناقض أغراض الأمم المتحدة ومبادئها.
human_rights_un_arz_ef_64kb_0050	المادة 15
human_rights_un_arz_ef_64kb_0051	لكل فرد حق التمتع بجنسية ما.
human_rights_un_arz_ef_64kb_0052	لا يجوز حرمان شخص من جنسيته تعسفا أو إنكار حقه في تغييرها.
human_rights_un_arz_ef_64kb_0053	المادة 16
human_rights_un_arz_ef_64kb_0054	للرجل والمرأة متا بلغا سن الزواج حق التزوج وتأسيس أسرة دون أي قيد بسبب الجنس أو الدين.
human_rights_un_arz_ef_64kb_0055	ولهما حقوق متساوية عند الزواج وأثناء قيامه وعند انحلاله.
human_rights_un_arz_ef_64kb_0056	لا يبرم عقد الزواج إلا برضى الطرفين الراغبين في الزواج رضى كاملا لا إكراه فيه.
human_rights_un_arz_ef_64kb_0057	الأسرة هي الوحدة الطبيعية الأساسية للمجتمع ولها حق التمتع بحماية المجتمع والدولة.
human_rights_un_arz_ef_64kb_0058	المادة 17
human_rights_un_arz_ef_64kb_0059	لكل شخص حق التملك بمفرده أو بالاشتراك مع غيره.
human_rights_un_arz_ef_64kb_0060	لا يجوز تجريد أحد من ملكه تعسفا.
human_rights_un_arz_ef_64kb_0061	المادة 18
human_rights_un_arz_ef_64kb_0062	لكل شخص الحق في حرية التفكير والضمير والدين.
human_rights_un_arz_ef_64kb_0063	ويشمل هذا الحق حرية تغيير ديانته أو عقيدته، وحرية الإعراب عنهما بالتعليم والممارسة وإقامة الشعائر ومراعاتها سواء أكان ذلك سرا أم مع الجماعة.
human_rights_un_arz_ef_64kb_0064	المادة 19
human_rights_un_arz_ef_64kb_0065	لكل شخص الحق في حرية الرأي والتعبير.
human_rights_un_arz_ef_64kb_0066	ويشمل هذا الحق حرية اعتناق الآراء دون أي تدخل، واستقاء الأنباء والأفكار وتلقيها وإذاعتها بأية وسيلة كانت دون تقيد بالحدود الجغرافية.
human_rights_un_arz_ef_64kb_0067	المادة 20
human_rights_un_arz_ef_64kb_0068	لكل شخص الحق في حرية الاشتراك في الجمعيات والجماعات السلمية.
human_rights_un_arz_ef_64kb_0069	لا يجوز إرغام أحد على الانضمام إلى جمعية ما.
human_rights_un_arz_ef_64kb_0070	المادة 21
human_rights_un_arz_ef_64kb_0071	لكل فرد الحق في الاشتراك في إدارة الشؤون العامة لبلاده ما مباشرة وإما بواسطة ممثلين يختارون اختيارا حرا.
human_rights_un_arz_ef_64kb_0072	لكل شخص نفس الحق الذي لغيره في تقلد الوظائف العامة في البلاد.
human_rights_un_arz_ef_64kb_0073	إن إرادة الشعب هي مصدر سلطة الحكومة، ويعبر عن هذه الإرادة بانتخابات نزيهة دورية تجري على أساس الاقتراع السري وعلى قدم المساواة بين الجميع أو حسب أي إجراء مماثل يضمن حرية التصويت.
human_rights_un_arz_ef_64kb_0074	المادة 22
human_rights_un_arz_ef_64kb_0075	لكل شخص بصفته عضوا في المجتمع الحق في الضمانة الاجتماعية وفي أن تحقق بوساطة المجهود القومي والتعاون الدولي وبما يتفق ونظم كل دولة ومواردها الحقوق الاقتصادية والاجتماعية والتربوية التي لا غنى عنها لكرامته وللنمو الحر لشخصيته.
human_rights_un_arz_ef_64kb_0076	المادة 23
human_rights_un_arz_ef_64kb_0077	لكل شخص الحق في العمل، وله حرية اختياره بشروط عادلة مرضية كما أن له حق الحماية من البطالة.
human_rights_un_arz_ef_64kb_0078	لكل فرد دون أي تمييز الحق في أجر متساو للعمل.
human_rights_un_arz_ef_64kb_0079	لكل فرد يقوم بعمل الحق في أجر عادل مرض يكفل له ولأسرته عيشة لائقة بكرامة الإنسان تضاف إليه، عند اللزوم، وسائل أخرى للحماية الاجتماعية.
human_rights_un_arz_ef_64kb_0080	لكل شخص الحق في أن ينشأ وينضم إلى نقابات حماية لمصلحته.
human_rights_un_arz_ef_64kb_0081	المادة 24
human_rights_un_arz_ef_64kb_0082	لكل شخص الحق في الراحة، أو في أوقات الفراغ، ولا سيما في تحديد معقول لساعات العمل وفي عطلات دورية بأجر.
human_rights_un_arz_ef_64kb_0083	المادة 25
human_rights_un_arz_ef_64kb_0084	لكل شخص الحق في مستوى من المعيشة كاف للمحافظة على الصحة والرفاهية له ولأسرته.
human_rights_un_arz_ef_64kb_0085	ويتضمن ذلك التغذية والملبس والمسكن والعناية الطبية وكذلك الخدمات الاجتماعية اللازمة.
human_rights_un_arz_ef_64kb_0086	وله الحق في تأمين معيشته في حالات البطالة والمرض والعجز والترمل والشيخوخة وغير ذلك من فقدان وسائل العيش نتيجة لظروف خارجة عن إرادته.
human_rights_un_arz_ef_64kb_0087	للأمومة والطفولة الحق في مساعدة ورعاية خاصتين.
human_rights_un_arz_ef_64kb_0088	وينعم كل الأطفال بنفس الحماية الاجتماعية سواء أكانت ولادتهم ناتجة عن رباط شرعي أم بطريقة غير شرعية.
human_rights_un_arz_ef_64kb_0089	المادة 26
human_rights_un_arz_ef_64kb_0090	لكل شخص الحق في التعلم.
human_rights_un_arz_ef_64kb_0091	ويجب أن يكون التعليم في مراحله الأولى والأساسية على الأقل بالمجان، وأن يكون التعليم الأولي إلزاميا وينبغي أن يعمم التعليم الفني والمهني، وأن ييسر القبول للتعليم العالي على قدم المساواة التامة للجميع وعلى أساس الكفاءة.
human_rights_un_arz_ef_64kb_0092	يجب أن تهدف التربية إلى إنماء شخصية الإنسان إنماء كاملا، وإلى تعزيز احترام الإنسان والحريات الأساسية وتنمية التفاهم والتسامح والصداقة بين جميع الشعوب والجماعات العنصرية أو الدينية، وإلى زيادة مجهود الأمم المتحدة لحفظ السلام.
human_rights_un_arz_ef_64kb_0093	للآباء الحق الأول في اختيار نوع تربية أولادهم.
human_rights_un_arz_ef_64kb_0094	المادة 27
human_rights_un_arz_ef_64kb_0095	لكل فرد الحق في أن يشترك اشتراكا حرا في حياة المجتمع الثقافي وفي الاستمتاع بالفنون والمساهمة في التقدم العلمي والاستفادة من نتائجه.
human_rights_un_arz_ef_64kb_0096	لكل فرد الحق في حماية المصالح الأدبية والمادية المترتبة على إنتاجه العلمي أو الأدبي أو الفني.
human_rights_un_arz_ef_64kb_0097	المادة 28
human_rights_un_arz_ef_64kb_0098	لكل فرد الحق في التمتع بنظام اجتماعي دولي تتحقق بمقتضاه الحقوق والحريات المنصوص عليها في هذا الإعلان تحققا تاما.
human_rights_un_arz_ef_64kb_0099	المادة 29
human_rights_un_arz_ef_64kb_0100	على كل فرد واجبات نحو المجتمع الذي يتاح فيه وحده لشخصيته أن تنمو نموا حرا كاملا.
human_rights_un_arz_ef_64kb_0101	يخضع الفرد في ممارسته حقوقه لتلك القيود التي يقررها القانون فقط، لضمان الاعتراف بحقوق الغير وحرياته واحترامها ولتحقيق المقتضيات العادلة للنظام العام والمصلحة العامة والأخلاق في مجتمع ديمقراطي.
human_rights_un_arz_ef_64kb_0102	يصح بحال من الأحوال أن تمارس هذه الحقوق ممارسة تتناقض مع أغراض الأمم المتحدة ومبادئها.
human_rights_un_arz_ef_64kb_0103	المادة 30
human_rights_un_arz_ef_64kb_0104	ليس في هذا الإعلان نص يجوز تأويله على أنه يخول لدولة أو جماعة أو فرد أي حق في القيام بنشاط أو تأدية عمل يهدف إلى هدم الحقوق والحريات الواردة فيه.
