human_rights_un_slo_msed_64kb_0001	VŠOBECNÁ DEKLARÁCIA LUDSKÝCH PRÁV
human_rights_un_slo_msed_64kb_0049	Článok 17.
human_rights_un_slo_msed_64kb_0050	Každý má právo vlastniť majetok ako sám, tak spolu s inými.
human_rights_un_slo_msed_64kb_0051	Nikto nesmie byť svojvoľne zbavený svojho majetku.
human_rights_un_slo_msed_64kb_0052	Článok 18.
human_rights_un_slo_msed_64kb_0053	Každý má právo na slobodu myslenia, svedomia a náboženstva;
human_rights_un_slo_msed_64kb_0054	toto právo obsahuje aj voľnosť zmeniť náboženstvo alebo vieru, ako i slobodu prejavovať svoje náboženstvo alebo vieru, sám alebo společne s inými, či už verejne alebo súkromne, vyučovaním, vykonávaním náboženských úkonov, bohoslužbou a zachovávaním obradov.
human_rights_un_slo_msed_64kb_0055	Článok 19.
human_rights_un_slo_msed_64kb_0056	Každý má právo na slobodu presvedčenia a prejavu: toto právo nepripúšťa, aby niekto trpel ujmu pre svoje presvedčenie a zahrňuje právo vyhľadávať, prijímať a rozširovať informácie a myšlienky hociakými prostriedkami a bez ohľadu na hranice.
human_rights_un_slo_msed_64kb_0057	Článok 20.
human_rights_un_slo_msed_64kb_0058	Každému je zaručená sloboda pokojného shromažďovania a sdružovania sa.
human_rights_un_slo_msed_64kb_0059	Nikto nesmie byť nútený, aby bol členom nejakého sdruženia.
human_rights_un_slo_msed_64kb_0060	Článok 21.
human_rights_un_slo_msed_64kb_0061	Každý má právo, aby sa účastnil na vláde svojej krajiny buď priamo, alebo prostredníctvom slobodne volených zástupcov.
human_rights_un_slo_msed_64kb_0062	Každý má právo vstúpiť za rovnakých podmienok do verejných služieb svojej krajiny.
human_rights_un_slo_msed_64kb_0063	Vôľa ľudu má byť základom vládnej moci: táto vôľa musí byť vyjadrená správne prevádzanými voľbami, ktoré sa majú konať v pravidelných obdobiach na základe všeobecného a rovného hlasovacieho práva tajným hlasovaním alebo rovnocenným postupom, ktorý zabezpečuje slobodu hlasovania.
human_rights_un_slo_msed_64kb_0064	Článok 22.
human_rights_un_slo_msed_64kb_0065	Každý človek má ako člen spoločnosti právo na sociálne zabezpečenie a nárok, aby mu boly národným úsilím i medzinárodnou súčinnosťou a v súlade s organizáciou a prostriedkami príslušného štátu zaistené hospodárske, sociálne a kultúrne práva, potrebné k jeho dôstojnosti a k slobodnému rozvoju jeho osobnosti.
human_rights_un_slo_msed_64kb_0066	Článok 23.
human_rights_un_slo_msed_64kb_0067	Každý má právo na prácu, na slobodnú voľbu zamestnania, na spravodlivé a uspokojivé pracovné podmienky a na ochranu proti nezamestnanosti.
human_rights_un_slo_msed_64kb_0068	Každý, bez hociakého rozlišovania, má nárok na rovnaký plat za rovnakú prácu.
human_rights_un_slo_msed_64kb_0069	Každý pracujúci má právo na spravodlivú a dostačujúcu odmenu, ktorá by zaisťovala jemu samému a jeho rodine živobytie odpovedajúce ľudskej dôstojnosti, a ktorá by bola doplnená, keby toho bolo treba, inými prostriedkami sociálnej ochrany.
human_rights_un_slo_msed_64kb_0070	Každý má právo na ochranu svojich záujmov zakladať s inými odborové organizácie a pristupovať k ním.
human_rights_un_slo_msed_64kb_0071	Článok 24.
human_rights_un_slo_msed_64kb_0072	Každý má právo na odpočinok a na zotavenie, zvlášť aj na rozumné vymedzenie pracovných hodín a na pravidelnú platenú dovolenku.
human_rights_un_slo_msed_64kb_0073	Článok 25.
human_rights_un_slo_msed_64kb_0074	Každý má právo na takú životnú úroveň, ktorá môže zaistiť jeho zdravie a blahobyt a zdravie jeho rodiny, počítajúc v to menovite výživu, šatenie, bývanie a lekárske ošetrovanie, ako aj potrebné sociálne opatrenia: má právo na zabezpečenie v nezamestnanosti, v nemoci, pri neschopnosti k práci, pri ovdovení, v starobe alebo v iných prípadoch straty zárobkových možností, ktoré nastanú za okolností nezávislých ne jeho vôli.
human_rights_un_slo_msed_64kb_0075	Materstvo a detstvo majú nárok na zvláštnu strarostlivosť a pomoc.
human_rights_un_slo_msed_64kb_0076	Všetky deti, či manželské alebo nemanželské, požívajú rovnakú sociálnu ochranu.
human_rights_un_slo_msed_64kb_0077	Článok 26.
human_rights_un_slo_msed_64kb_0078	Každý má právo na vzdelanie.
human_rights_un_slo_msed_64kb_0079	Vzdelanie nech je bezplatné aspoň v začiatočných a základných stupňoch.
human_rights_un_slo_msed_64kb_0080	Základné vzdelanie je povinné.
human_rights_un_slo_msed_64kb_0081	Technické a odborné vzdelanie nech je všeobecne prístupné a vyššie vzdelanie má byť rovnako prístupné každému podľa jeho schopností.
human_rights_un_slo_msed_64kb_0082	Vzdelanie má smerovať k plnému rozvoju ľudskej osobnosti a k posilneniu úcty k ľudským právam a základným slobodám.
human_rights_un_slo_msed_64kb_0083	Má napomáhať k vzájomnému porozumeniu, snášanlivosti a priateľstvu medzi všetkými národmi a všetkými rasovými i náboženskými skupinami, ako aj k rozvoju činnosti Spojených národov pre zachovanie mieru.
human_rights_un_slo_msed_64kb_0084	Rodičia majú prednostné právo voliť druh vzdelania pre svoje deti.
human_rights_un_slo_msed_64kb_0085	Článok 27.
human_rights_un_slo_msed_64kb_0086	Každý má právo slobodne sa účastniť na kultúrnom živote spoločnosti, užívať plodov umenia a účastniť sa na vedeckom pokroku a jeho výťažkoch.
human_rights_un_slo_msed_64kb_0087	Každý má právo na ochranu morálnych a materiálnych záujmov, ktoré vyplývajú z jeho vedeckej, literárnej alebo umeleckej tvorby.
human_rights_un_slo_msed_64kb_0088	Článok 28.
human_rights_un_slo_msed_64kb_0089	Každý má právo na to, aby vládol taký sociálny a medzinárodný poriadok, v ktorom by práva a slobody vyhlásené v tejto deklarácii boly plne uplatnené.
human_rights_un_slo_msed_64kb_0090	Článok 29.
human_rights_un_slo_msed_64kb_0091	Každý má povinnosť voči spoločnosti: jedine v nej môže slobodne a plne rozvinúť svoju osobnosť.
human_rights_un_slo_msed_64kb_0092	Vo výkone svojich práv a v užívaní svojich slobôd je každý podrobený iba takým obmedzeniam, ktoré stanoví zákon a ktoré slúžia výhradne k zabezpečeniu náležitého, uznávania a zachovávania práv a slobôd iných, ako aj k uspokojeniu spravodlivých požiadaviek mravnosti, verejného poriadku a obecného blaha v demokratiskej spoločnosti.
human_rights_un_slo_msed_64kb_0093	Výkon týchto práv a slobod nesmie byť v žiadnom prípade v rozpore s cieľami a zásadami Spojených národov.
human_rights_un_slo_msed_64kb_0094	Článok 30.
human_rights_un_slo_msed_64kb_0095	V tejto deklarácii nič sa nesmie vykladať tak, aby oprávňovalo ktorýkoľvek štát, skupinu, alebo osobu vyvíjať činnosť alebo dopúšťať sa činov, ktoré by smerovaly k potlačeniu niektorého z práv alebo slobôd v tejto deklarácii vyhlásených.
