human_rights_un_rum_xip_64kb_0001	DECLARAȚIA UNIVERSALĂ A DREPTURILOR OMULUI
human_rights_un_rum_xip_64kb_0054	Căsătoria nu poate fi încheiată decât cu consimțământul liber și deplin al viitorilor soți.
human_rights_un_rum_xip_64kb_0055	Familia constituie elementul natural și fundamental al societății și are dreptul la ocrotire din partea societății și a statului.
human_rights_un_rum_xip_64kb_0056	Articolul 17
human_rights_un_rum_xip_64kb_0057	Orice persoană are dreptul la proprietate, atât singură, cât și în asociație cu alții.
human_rights_un_rum_xip_64kb_0058	Nimeni nu poate fi lipsit în mod arbitrar de proprietatea sa.
human_rights_un_rum_xip_64kb_0059	Articolul 18
human_rights_un_rum_xip_64kb_0060	Orice om are dreptul la libertatea gândirii, de conștiință și religie;
human_rights_un_rum_xip_64kb_0061	acest drept include libertatea de a‐și schimba religia sau convingerea, precum și libertatea de a‐și manifesta religia sau convingerea, singur sau împreună cu alții, atât în mod public, cât și privat, prin învățătură, practici religioase, cult și îndeplinirea riturilor.
human_rights_un_rum_xip_64kb_0062	Articolul 19
human_rights_un_rum_xip_64kb_0063	Orice om are dreptul la libertatea opiniilor și exprimării;
human_rights_un_rum_xip_64kb_0064	acest drept include libertatea de a avea opinii fără imixtiune din afară, precum și libertatea de a căuta, de a primi și de a răspândi informații și idei prin orice mijloace și independent de frontierele de stat.
human_rights_un_rum_xip_64kb_0065	Articolul 20
human_rights_un_rum_xip_64kb_0066	Orice persoană are dreptul la libertatea de întrunire și de asociere pașnică.
human_rights_un_rum_xip_64kb_0067	Nimeni nu poate fi silit să făcă parte dintr‐o asociație.
human_rights_un_rum_xip_64kb_0068	Articolul 21
human_rights_un_rum_xip_64kb_0069	Orice persoană are dreptul de a lua parte la conducerea treburilor publice ale țării sale, fie direct, fie prin reprezentanți liber aleși.
human_rights_un_rum_xip_64kb_0070	Orice persoană are dreptul de acces egal la funcțiile publice din țara sa.
human_rights_un_rum_xip_64kb_0071	Voința poporului trebuie să constituie baza puterii de stat;
human_rights_un_rum_xip_64kb_0072	această voință trebuie să fie exprimată prin alegeri nefalsificate, care să aibă loc în mod periodic prin sufragiu universal, egal și exprimat prin vot secret sau urmând o procedură echivalentă care să asigure libertatea votului.
human_rights_un_rum_xip_64kb_0073	Articolul 22
human_rights_un_rum_xip_64kb_0074	Orice persoană, în calitatea sa de membru al societății, are dreptul la securitatea socială;
human_rights_un_rum_xip_64kb_0075	ea este îndreptățită ca prin efortul național și colaborarea internațională, ținându‐se seama de organizarea și resursele fiecărei țări, să obțină realizarea drepturilor economice, sociale și culturale indispensabile pentru demnitatea sa și libera dezvoltare a personalității sale.
human_rights_un_rum_xip_64kb_0076	Articolul 23
human_rights_un_rum_xip_64kb_0077	Orice persoană are dreptul la muncă, la libera alegere a muncii sale, la condiții echitabile și satisfăcătoare de muncă, precum și la ocrotirea împotriva șomajului.
human_rights_un_rum_xip_64kb_0078	Toți oamenii, fără nicio discriminare, au dreptul la salariu egal pentru muncă egală.
human_rights_un_rum_xip_64kb_0079	Orice om care muncește are dreptul la o retribuire echitabilă și satisfăcătoare care să‐i asigure atât lui, cât și familiei sale, o existență conformă cu demnitatea umană și completată, la nevoie, prin alte mijloace de protecție socială.
human_rights_un_rum_xip_64kb_0080	Orice persoană are dreptul de a întemeia sindicate și de a se afilia la sindicate pentru apărarea intereselelor sale.
human_rights_un_rum_xip_64kb_0081	Articolul 24
human_rights_un_rum_xip_64kb_0082	Orice persoană are dreptul la odihnă și recreație, inclusiv la o limitare rezonabilă a zilei de muncă și la concedii periodice plătite.
human_rights_un_rum_xip_64kb_0083	Articolul 25
human_rights_un_rum_xip_64kb_0084	Orice om are dreptul la un nivel de trai care să asigure sănătatea și bunăstarea lui și familiei sale, cuprinzând hrana, îmbrăcămintea, locuința, îngrijirea medicală, precum și serviciile sociale necesare;
human_rights_un_rum_xip_64kb_0085	el are dreptul la asigurare în caz de șomaj, boală, invaliditate, văduvie, bătrânețe sau în celelalte cazuri de pierdere a mijloacelor de subzistență, în urma unor împrejurări independente de voința sa.
human_rights_un_rum_xip_64kb_0086	Mama și copilul au dreptul la ajutor și ocrotire deosebite.
human_rights_un_rum_xip_64kb_0087	Toți copiii, fie că sunt născuți în cadrul căsătoriei sau în afara acesteia, se bucură de aceeași protecție socială.
human_rights_un_rum_xip_64kb_0088	Articolul 26
human_rights_un_rum_xip_64kb_0089	Orice persoană are dreptul la învățătură.
human_rights_un_rum_xip_64kb_0090	Învățământul trebuie să fie gratuit, cel puțin în ceea ce privește învățământul elementar și general.
human_rights_un_rum_xip_64kb_0091	Învățământul elementar trebuie să fie obligatoriu.
human_rights_un_rum_xip_64kb_0092	Învățământul tehnic și profesional trebuie să fie la îndemâna tuturor, iar învățământul superior trebuie să fie de asemenea egal, accesibil tuturora, pe bază de merit.
human_rights_un_rum_xip_64kb_0093	Învățământul trebuie să urmărească dezvoltarea deplină a personalității umane și întărirea respectului față de drepturile omului și libertățile fundamentale.
human_rights_un_rum_xip_64kb_0094	El trebuie să promoveze înțelegerea, toleranța, prietenia între toate popoarele și toate grupurile rasiale sau religioase, precum și dezvoltarea activității Organizației Națiunilor Unite pentru menținerea păcii.
human_rights_un_rum_xip_64kb_0095	Părinții au dreptul de prioritate în alegerea felului de învățământ pentru copiii lor minori.
human_rights_un_rum_xip_64kb_0096	Articolul 27
human_rights_un_rum_xip_64kb_0097	Orice persoană are dreptul de a lua parte în mod liber la viața culturală a colectivității, de a se bucura de arte și de a participa la progresul științific și la binefacerile lui.
human_rights_un_rum_xip_64kb_0098	Fiecare om are dreptul la ocrotirea intereselor morale și materiale care decurg din orice lucrare științifică, literară sau artistică al cărei autor este.
human_rights_un_rum_xip_64kb_0099	Articolul 28
human_rights_un_rum_xip_64kb_0100	Orice persoană are dreptul la o orânduire socială și internațională în care drepturile și libertățile expuse în prezenta Declarație pot fi pe deplin înfăptuite.
human_rights_un_rum_xip_64kb_0101	Articolul 29
human_rights_un_rum_xip_64kb_0102	Orice persoană are îndatoriri față de colectivitate, deoarece numai în cadrul acesteia este posibilă dezvoltarea liberă și deplină a personalității sale.
human_rights_un_rum_xip_64kb_0103	În exercitarea drepturilor și libertăților sale, fiecare om nu este supus decât numai îngrădirilor stabilite prin lege, exclusiv în scopul de a asigura cuvenita recunoaștere și respectare a drepturilor și libertăților altora și ca să fie satisfăcute justele cerințe ale moralei, ordinii publice și bunăstării generale într‐o societate democratică.
human_rights_un_rum_xip_64kb_0104	Aceste drepturi și libertăți nu vor putea fi în niciun caz exercitate contrar scopurilor și principiilor Organizației Națiunilor Unite.
human_rights_un_rum_xip_64kb_0105	Articolul 30
human_rights_un_rum_xip_64kb_0106	Nicio dispoziție a prezentei Declarații nu poate fi interpretată ca implicând pentru vreun stat, grupare sau persoană dreptul de a se deda la vreo activitate sau de a săvârși vreun act îndreptat spre desființarea unor drepturi sau libertăți enunțate în prezenta Declarație.
