human_rights_un_heb_ab_64kb_0001	הכרזה לכל באי עולם בדבר זכויות האדם
human_rights_un_heb_ab_64kb_0048	אין להסתמך על זכות זו במקרה של האשמה פלילית שמקורה האמיתי במעשי פשע לא-מדיניים או במעשים שהם בניגוד למטרותיהן ולעקרונותיהן של האומות המאוחדות.
human_rights_un_heb_ab_64kb_0049	סעיף טו.
human_rights_un_heb_ab_64kb_0050	כל אדם זכאי לאזרחות.
human_rights_un_heb_ab_64kb_0051	לא תישלל מאדם אזרחותו דרך שרירות ולא תקופח דרך שרירות זכותו להחליף את אזרחותו.
human_rights_un_heb_ab_64kb_0052	סעיף טז.
human_rights_un_heb_ab_64kb_0053	כל איש ואשה שהגיעו לפרקם רשאים לבוא בברית הנשואין ולהקים משפחה, ללא כל הגבלה מטעמי גזע, אזרחות או דת.
human_rights_un_heb_ab_64kb_0054	הם זכאים לזכויות שוות במעשה הנשואין בתקופת הנשואין ובשעת ביפולם.
human_rights_un_heb_ab_64kb_0055	נישואין יערכו רק מתוך הסמה חופשית ומלאה של בני הזוג המיועדים.
human_rights_un_heb_ab_64kb_0056	המשפחה היא היחידה הטבעית והבסיסית של החברה וזכאית להגנה של החברה והמדינה.
human_rights_un_heb_ab_64kb_0057	סעיף יז.
human_rights_un_heb_ab_64kb_0058	כל אדם זכאי להיות בעל קנין, בין לבדו ובין ביחד עם אחרים.
human_rights_un_heb_ab_64kb_0059	לא יישלל מאדם קנינו דרך שרירות.
human_rights_un_heb_ab_64kb_0060	סעיף יח.
human_rights_un_heb_ab_64kb_0061	כל אדם זכאי לחירות המחשבה, המצפון והדת;
human_rights_un_heb_ab_64kb_0062	חירות זו כוללת את הזכות להמיר את דתו או את אמונתו ולתת בטוי לדתו או לאמונתו, לבדו או כציבור, ברשות היחיד או ברשות הרבים, דרך הוראה, נוהג, פולחן ושמירת מצוות.
human_rights_un_heb_ab_64kb_0063	סעיף יט.
human_rights_un_heb_ab_64kb_0064	כל אדם זכאי לחירות הדעה והבטוי, לרבות החירות להחיק בדעות ללא כל הפרעה, ולבקש ידיעות ודעות, ולקבלן ולמסרן בכל הדרכים וללא סייגי גבולות.
human_rights_un_heb_ab_64kb_0065	סעיף ב.
human_rights_un_heb_ab_64kb_0066	כל אדם זכאי לחירות ההתאספות וההתאגדות בדרכי שלום.
human_rights_un_heb_ab_64kb_0067	לא יכפו על אדם השתייכות לאגודה.
human_rights_un_heb_ab_64kb_0068	סעיף כא.
human_rights_un_heb_ab_64kb_0069	כל אדם זכאי להשתתף בהנהלת ארצו, בין השתתפות ישירה ובין דרך נציגות שובחרה בבחירות חופשיות.
human_rights_un_heb_ab_64kb_0070	כל אדם זכאי לשויון בכניסן בכניסה לשירות במנגנון של ארצו.
human_rights_un_heb_ab_64kb_0071	רצון העם הוא היסוד לסמכותה של הממשלה.
human_rights_un_heb_ab_64kb_0072	העם ידיע את רצונו בבחירות כשרות הנשנות לעיתים מזזמנות, לפי זכות בחירה כללית ושווה ובהצבעה חשאית, או לפי סדר של בחירה חופשית כיוצא בזש.
human_rights_un_heb_ab_64kb_0073	סעיף כב.
human_rights_un_heb_ab_64kb_0074	כל אדם, כחבר החברה, זכאי לבטחון סוציאלי וזכאי לתבוע שהזכויות הכלכליות הסוציאליות והתרבותיות, שהן חיוניות לכבודו כאדם ולהתפתחות החופשית של אישיותו, יובטחו במשמץ לאומי ובשיתוף פעולה בינלאומי בהתאם לארגונה ולאוצרותיה של המדינה.
human_rights_un_heb_ab_64kb_0075	סעיף כג.
human_rights_un_heb_ab_64kb_0076	כל אדם זכאי לעבודה, לבחירה חופשית של עבודתו, לתנאי עבודה צודקים והוגנים ולהגנה מפני אבטלה.
human_rights_un_heb_ab_64kb_0077	כל אדם, ללא כל הפכיה, זכאי לשכר שווה בעד עבודה שווה.
human_rights_un_heb_ab_64kb_0078	כל עובד זכאי לשכר צודק והוגן, אשר יבטיח לו ולבני ביתו קיום הראוי לכבוד האדם שיושלם, אם יהיה צורך בכך, על ידי אמצעים אחרים של הגנה סוציאלית.
human_rights_un_heb_ab_64kb_0079	כל אדם זכאי לאגד אגודות מקצועיות ולהצטרף לאגודות כדי להגן על עניניו.
human_rights_un_heb_ab_64kb_0080	סעיף כד.
human_rights_un_heb_ab_64kb_0081	כל אדם זכאי למנוחה ולפנאי, ובכלל זש הגבלת שעות העבודה במידה המתקבלת על הדעת וחופשה בשכר לעיתים מזומנות.
human_rights_un_heb_ab_64kb_0082	סעיף כה.
human_rights_un_heb_ab_64kb_0083	כל אדם זכאי לרמת חיים נאותה לבריאותם ולרווחתם, שלו ושל בני ביתנ.
human_rights_un_heb_ab_64kb_0084	לרבות מזון, לבוש, שיכון, טיפול רפואי, שירותים סוציאליים כדרוש וזכות לבטחון במקרה של אבטלה, מחלה, אי-כושר לעבודה, אלמון, זקנה או מחסור אחר בנסיבות שאינן תלויות בו.
human_rights_un_heb_ab_64kb_0085	אמהות וילדות זכאיות לטיפול מיוחד ולסיוע.
human_rights_un_heb_ab_64kb_0086	כל הילדים, בין שנולדו בנשואין או שלא בנשואין, יהנו במידה שווה מהגנה סוציאלית.
human_rights_un_heb_ab_64kb_0087	סעיף כו.
human_rights_un_heb_ab_64kb_0088	כל אדם זכאי לחינוך.
human_rights_un_heb_ab_64kb_0089	החינוך ינתן חינם, לפחות בשלבים הראשונים והיסודיים;
human_rights_un_heb_ab_64kb_0090	החינוך בשלב הראשון הוא חובה.
human_rights_un_heb_ab_64kb_0091	החינוך הטכני והמקצועי יהיה מצוי לכל, והחינוך הגבוה יהיה פתוח לכל במידה שווה שעל יסוד הכשרון.
human_rights_un_heb_ab_64kb_0092	החינוך יכוון לפיתוחה המלא של האישיות ולטיפוח יחס כבוד לזכויות האדם ולחירויות היסודיות;
human_rights_un_heb_ab_64kb_0093	החינוך יטפח הבנה, סובלנות וידידות בין כל העמים והקיבוצים הדתיים והגזעיים, ויסייע למאמץ של האומות המאוחדות לקיים את השלום.
human_rights_un_heb_ab_64kb_0094	להורים זכות בכורה לבחור את דרך החינוך ליליהם.
human_rights_un_heb_ab_64kb_0095	סעיף כז.
human_rights_un_heb_ab_64kb_0096	אדם זכאי להשתתף תוך חירות בחייו התרבותיים של הציבור, ליהנות מהאמנויות ולהיות שותף בהתקדמות המדע ובברכתו.
human_rights_un_heb_ab_64kb_0097	כל אדם זכאי לוגנת האינטרסים המוסריים והחמריים הכרוכים בכל יצירה מדעית, ספרותית, או אמנותית שהיא פרי רוחו.
human_rights_un_heb_ab_64kb_0098	סעיף כח.
human_rights_un_heb_ab_64kb_0099	כל אדם זכאי למשטר סוציאלי ובינלאומי, שבו אפשר יהיה לקיים במלואן את הזכויות והחרויות אשר נקבעו בהכזש זו.
human_rights_un_heb_ab_64kb_0100	סעיף כט.
human_rights_un_heb_ab_64kb_0101	כל אדם יש לו חובות כלפי הכלל, כי רק בתוך הכלל נתונה לו האפשרות להתפתחות החופשית והמלאה של אישיותו.
human_rights_un_heb_ab_64kb_0102	לא יוגבל אדם בזכויותיו ובחירויותיו, פרט לאותן ההגבלות שנקבעו בחוק על מנת להבטיח את ההכרה בזכויות ובחירויות של הזולת ואת יחס הכבוד אליהן, וכן את מילוי הדרישות הצודקות של המוסר, של הסדר הציבורי ושל טובת הכלל בתוך חברה דמוקרטית.
human_rights_un_heb_ab_64kb_0103	לעולם לא ישתמשו בזכויות ובחירויות אלה בניגוד למטרותיהן ולעקרונותיהן של האומות המאוחדות.
human_rights_un_heb_ab_64kb_0104	סעיף ל.
human_rights_un_heb_ab_64kb_0105	שום דבר בהכרזש זו לא יתפרש כאילו הוא בא להקנות למדינה, לציבור או ליחיד כל זכות שהיא לעסוק בפעולה או לבצע מעשה שתכליתם לקפח כל זכות או חירות מן הזכויות והחירויות הקבועות בהכרש זאת.
