human_rights_un_chi_nf_64kb_0001	世界人权宣言
human_rights_un_chi_nf_64kb_0070	2.
human_rights_un_chi_nf_64kb_0071	㈡ 任 何 人 的 任 何 行 为 或 不 行 为, 在 其 发 生 时 依 国 家 法 或 国 际
human_rights_un_chi_nf_64kb_0072	法 均 不 构 成 刑 事 罪 者, 不 得 被 判 为 犯 有 刑 事 罪。
human_rights_un_chi_nf_64kb_0073	刑 罚 不 得 重 于
human_rights_un_chi_nf_64kb_0074	犯 罪 时 适 用 的 法 律 规 定。
human_rights_un_chi_nf_64kb_0075	第 十 二 条
human_rights_un_chi_nf_64kb_0076	任 何 人 的 私 生 活、 家 庭、 住 宅 和 通 信 不 得 任 意 干 涉, 他 的 荣 誉 和 名
human_rights_un_chi_nf_64kb_0077	誉 不 得 加 以 攻 击。
human_rights_un_chi_nf_64kb_0078	人 人 有 权 享 受 法 律 保 护, 以 免 受 这 种 干 涉 或 攻
human_rights_un_chi_nf_64kb_0079	击。
human_rights_un_chi_nf_64kb_0080	第 十 三 条
human_rights_un_chi_nf_64kb_0081	1.
human_rights_un_chi_nf_64kb_0082	㈠ 人 人 在 各 国 境 内 有 权 自 由 迁 徙 和 居 住。
human_rights_un_chi_nf_64kb_0083	2.
human_rights_un_chi_nf_64kb_0084	㈡ 人 人 有 权 离 开 任 何 国 家, 包 括 其 本 国 在 内, 并 有 权 返 回 他 的
human_rights_un_chi_nf_64kb_0085	国 家。
human_rights_un_chi_nf_64kb_0086	第 十 四 条
human_rights_un_chi_nf_64kb_0087	1.
human_rights_un_chi_nf_64kb_0088	㈠ 人 人 有 权 在 其 他 国 家 寻 求 和 享 受 庇 护 以 避 免 迫 害。
human_rights_un_chi_nf_64kb_0089	2.
human_rights_un_chi_nf_64kb_0090	㈡ 在 真 正 由 于 非 政 治 性 的 罪 行 或 违 背 联 合 国 的 宗 旨 和 原 则 的
human_rights_un_chi_nf_64kb_0091	行 为 而 被 起 诉 的 情 况 下, 不 得 援 用 此 种 权 利。
human_rights_un_chi_nf_64kb_0092	第 十 五 条
human_rights_un_chi_nf_64kb_0093	1.
human_rights_un_chi_nf_64kb_0094	㈠ 人 人 有 权 享 有 国 籍。
human_rights_un_chi_nf_64kb_0095	2.
human_rights_un_chi_nf_64kb_0096	㈡ 任 何 人 的 国 籍 不 得 任 意 剥 夺, 亦 不 得 否 认 其 改 变 国 籍 的 权
human_rights_un_chi_nf_64kb_0097	利。
human_rights_un_chi_nf_64kb_0098	第 十 六 条
human_rights_un_chi_nf_64kb_0099	1.
human_rights_un_chi_nf_64kb_0100	㈠ 成 年 男 女, 不 受 种 族、 国 籍 或 宗 教 的 任 何 限 制 有 权 婚 嫁 和 成
human_rights_un_chi_nf_64kb_0101	立 家 庭。
human_rights_un_chi_nf_64kb_0102	他 们 在 婚 姻 方 面, 在 结 婚 期 间 和 在 解 除 婚 约 时, 应 有
human_rights_un_chi_nf_64kb_0103	平 等 的 权 利。
human_rights_un_chi_nf_64kb_0104	2.
human_rights_un_chi_nf_64kb_0105	㈡ 只 有 经 男 女 双 方 的 自 由 和 完 全 的 同 意, 才 能 缔 婚。
human_rights_un_chi_nf_64kb_0106	3.
human_rights_un_chi_nf_64kb_0107	㈢ 家 庭 是 天 然 的 和 基 本 的 社 会 单 元, 并 应 受 社 会 和 国 家 的 保
human_rights_un_chi_nf_64kb_0108	护。
human_rights_un_chi_nf_64kb_0109	第 十 七 条
human_rights_un_chi_nf_64kb_0110	1.
human_rights_un_chi_nf_64kb_0111	㈠ 人 人 得 有 单 独 的 财 产 所 有 权 以 及 同 他 人 合 有 的 所 有 权。
human_rights_un_chi_nf_64kb_0112	2.
human_rights_un_chi_nf_64kb_0113	㈡ 任 何 人 的 财 产 不 得 任 意 剥 夺。
human_rights_un_chi_nf_64kb_0114	第 十 八 条
human_rights_un_chi_nf_64kb_0115	人 人 有 思 想、 良 心 和 宗 教 自 由 的 权 利;
human_rights_un_chi_nf_64kb_0116	此 项 权 利 包 括 改 变 他 的 宗 教
human_rights_un_chi_nf_64kb_0117	或 信 仰 的 自 由, 以 及 单 独 或 集 体、 公 开 或 秘 密 地 以 教 义、 实 践、 礼
human_rights_un_chi_nf_64kb_0118	拜 和 戒 律 表 示 他 的 宗 教 或 信 仰 的 自 由。
human_rights_un_chi_nf_64kb_0119	第 十 九 条
human_rights_un_chi_nf_64kb_0120	人 人 有 权 享 有 主 张 和 发 表 意 见 的 自 由;
human_rights_un_chi_nf_64kb_0121	此 项 权 利 包 括 持 有 主 张 而 不
human_rights_un_chi_nf_64kb_0122	受 干 涉 的 自 由, 和 通 过 任 何 媒 介 和 不 论 国 界 寻 求、 接 受 和 传 递 消 息
human_rights_un_chi_nf_64kb_0123	和 思 想 的 自 由。
human_rights_un_chi_nf_64kb_0124	第 二 十 条
human_rights_un_chi_nf_64kb_0125	1.
human_rights_un_chi_nf_64kb_0126	㈠ 人 人 有 权 享 有 和 平 集 会 和 结 社 的 自 由。
human_rights_un_chi_nf_64kb_0127	2.
human_rights_un_chi_nf_64kb_0128	㈡ 任 何 人 不 得 迫 使 隶 属 于 某 一 团 体。
human_rights_un_chi_nf_64kb_0129	第 二 十 一 条
human_rights_un_chi_nf_64kb_0130	1.
human_rights_un_chi_nf_64kb_0131	㈠ 人 人 有 直 接 或 通 过 自 由 选 择 的 代 表 参 与 治 理 本 国 的 权 利。
human_rights_un_chi_nf_64kb_0132	2.
human_rights_un_chi_nf_64kb_0133	㈡ 人 人 有 平 等 机 会 参 加 本 国 公 务 的 权 利。
human_rights_un_chi_nf_64kb_0134	3.
human_rights_un_chi_nf_64kb_0135	㈢ 人 民 的 意 志 是 政 府 权 力 的 基 础;
human_rights_un_chi_nf_64kb_0136	这 一 意 志 应 以 定 期 的 和 真
human_rights_un_chi_nf_64kb_0137	正 的 选 举 予 以 表 现, 而 选 举 应 依 据 普 遍 和 平 等 的 投 票 权, 并 以
human_rights_un_chi_nf_64kb_0138	不 记 名 投 票 或 相 当 的 自 由 投 票 程 序 进 行。
human_rights_un_chi_nf_64kb_0139	第 二 十 二 条
human_rights_un_chi_nf_64kb_0140	每 个 人, 作 为 社 会 的 一 员, 有 权 享 受 社 会 保 障, 并 有 权 享 受 他 的 个 人
human_rights_un_chi_nf_64kb_0141	尊 严 和 人 格 的 自 由 发 展 所 必 需 的 经 济、 社 会 和 文 化 方 面 各 种 权 利
human_rights_un_chi_nf_64kb_0142	的 实 现, 这 种 实 现 是 通 过 国 家 努 力 和 国 际 合 作 并 依 照 各 国 的 组 织 和
human_rights_un_chi_nf_64kb_0143	资 源 情 况。
human_rights_un_chi_nf_64kb_0144	第 二 十 三 条
human_rights_un_chi_nf_64kb_0145	1.
human_rights_un_chi_nf_64kb_0146	㈠ 人 人 有 权 工 作、 自 由 选 择 职 业、 享 受 公 正 和 合 适 的 工 作 条
human_rights_un_chi_nf_64kb_0147	件 并 享 受 免 于 失 业 的 保 障。
human_rights_un_chi_nf_64kb_0148	2.
human_rights_un_chi_nf_64kb_0149	㈡ 人 人 有 同 工 同 酬 的 权 利, 不 受 任 何 歧 视。
human_rights_un_chi_nf_64kb_0150	3.
human_rights_un_chi_nf_64kb_0151	㈢ 每 一 个 工 作 的 人, 有 权 享 受 公 正 和 合 适 的 报 酬, 保 证 使 他 本
human_rights_un_chi_nf_64kb_0152	人 和 家 属 有 一 个 符 合 人 的 生 活 条 件, 必 要 时 并 辅 以 其 他 方 式
human_rights_un_chi_nf_64kb_0153	的 社 会 保 障。
human_rights_un_chi_nf_64kb_0154	4.
human_rights_un_chi_nf_64kb_0155	㈣ 人 人 有 为 维 护 其 利 益 而 组 织 和 参 加 工 会 的 权 利。
human_rights_un_chi_nf_64kb_0156	第 二 十 四 条
human_rights_un_chi_nf_64kb_0157	人 人 有 享 有 休 息 和 闲 暇 的 权 利, 包 括 工 作 时 间 有 合 理 限 制 和 定 期 给
human_rights_un_chi_nf_64kb_0158	薪 休 假 的 权 利。
human_rights_un_chi_nf_64kb_0159	第 二 十 五 条
human_rights_un_chi_nf_64kb_0160	1.
human_rights_un_chi_nf_64kb_0161	㈠ 人 人 有 权 享 受 为 维 持 他 本 人 和 家 属 的 健 康 和 福 利 所 需 的 生
human_rights_un_chi_nf_64kb_0162	活 水 准, 包 括 食 物、 衣 着、 住 房、 医 疗 和 必 要 的 社 会 服 务;
human_rights_un_chi_nf_64kb_0163	在 遭
human_rights_un_chi_nf_64kb_0164	到 失 业、 疾 病、 残 废、 守 寡、 衰 老 或 在 其 他 不 能 控 制 的 情 况
human_rights_un_chi_nf_64kb_0165	下 丧 失 谋 生 能 力 时, 有 权 享 受 保 障。
human_rights_un_chi_nf_64kb_0166	2.
human_rights_un_chi_nf_64kb_0167	㈡ 母 亲 和 儿 童 有 权 享 受 特 别 照 顾 和 协 助。
human_rights_un_chi_nf_64kb_0168	一 切 儿 童, 无 论 婚 生
human_rights_un_chi_nf_64kb_0169	或 非 婚 生, 都 应 享 受 同 样 的 社 会 保 护。
human_rights_un_chi_nf_64kb_0170	第 二 十 六 条
human_rights_un_chi_nf_64kb_0171	1.
human_rights_un_chi_nf_64kb_0172	㈠ 人 人 都 有 受 教 育 的 权 利, 教 育 应 当 免 费, 至 少 在 初 级 和 基 本
human_rights_un_chi_nf_64kb_0173	阶 段 应 如 此。
human_rights_un_chi_nf_64kb_0174	初 级 教 育 应 属 义 务 性 质。
human_rights_un_chi_nf_64kb_0175	技 术 和 职 业 教 育 应 普
human_rights_un_chi_nf_64kb_0176	遍 设 立。
human_rights_un_chi_nf_64kb_0177	高 等 教 育 应 根 据 成 绩 而 对 一 切 人 平 等 开 放。
human_rights_un_chi_nf_64kb_0178	2.
human_rights_un_chi_nf_64kb_0179	㈡ 教 育 的 目 的 在 于 充 分 发 展 人 的 个 性 并 加 强 对 人 权 和 基 本 自
human_rights_un_chi_nf_64kb_0180	由 的 尊 重。
human_rights_un_chi_nf_64kb_0181	教 育 应 促 进 各 国、 各 种 族 或 各 宗 教 集 团 间 的 了
human_rights_un_chi_nf_64kb_0182	解、 容 忍 和 友 谊, 并 应 促 进 联 合 国 维 护 和 平 的 各 项 活 动。
human_rights_un_chi_nf_64kb_0183	3.
human_rights_un_chi_nf_64kb_0184	㈢ 父 母 对 其 子 女 所 应 受 的 教 育 的 种 类, 有 优 先 选 择 的 权 利。
human_rights_un_chi_nf_64kb_0185	第 二 十 七 条
human_rights_un_chi_nf_64kb_0186	1.
human_rights_un_chi_nf_64kb_0187	㈠ 人 人 有 权 自 由 参 加 社 会 的 文 化 生 活, 享 受 艺 术, 并 分 享 科 学
human_rights_un_chi_nf_64kb_0188	进 步 及 其 产 生 的 福 利。
human_rights_un_chi_nf_64kb_0189	2.
human_rights_un_chi_nf_64kb_0190	㈡ 人 人 对 由 于 他 所 创 作 的 任 何 科 学、 文 学 或 美 术 作 品 而 产 生
human_rights_un_chi_nf_64kb_0191	的 精 神 的 和 物 质 的 利 益, 有 享 受 保 护 的 权 利。
human_rights_un_chi_nf_64kb_0192	第 二 十 八 条
human_rights_un_chi_nf_64kb_0193	人 人 有 权 要 求 一 种 社 会 的 和 国 际 的 秩 序, 在 这 种 秩 序 中, 本 宣 言 所
human_rights_un_chi_nf_64kb_0194	载 的 权 利 和 自 由 能 获 得 充 分 实 现。
human_rights_un_chi_nf_64kb_0195	第 二 十 九 条
human_rights_un_chi_nf_64kb_0196	1.
human_rights_un_chi_nf_64kb_0197	㈠ 人 人 对 社 会 负 有 义 务, 因 为 只 有 在 社 会 中 他 的 个 性 才 可 能
human_rights_un_chi_nf_64kb_0198	得 到 自 由 和 充 分 的 发 展。
human_rights_un_chi_nf_64kb_0199	2.
human_rights_un_chi_nf_64kb_0200	㈡ 人 人 在 行 使 他 的 权 利 和 自 由 时, 只 受 法 律 所 确 定 的 限 制, 确
human_rights_un_chi_nf_64kb_0201	定 此 种 限 制 的 唯 一 目 的 在 于 保 证 对 旁 人 的 权 利 和 自 由 给 予 应
human_rights_un_chi_nf_64kb_0202	有 的 承 认 和 尊 重, 并 在 一 个 民 主 的 社 会 中 适 应 道 德、 公 共 秩 序
human_rights_un_chi_nf_64kb_0203	和 普 遍 福 利 的 正 当 需 要。
human_rights_un_chi_nf_64kb_0204	3.
human_rights_un_chi_nf_64kb_0205	㈢ 这 些 权 利 和 自 由 的 行 使, 无 论 在 任 何 情 形 下 均 不 得 违 背 联
human_rights_un_chi_nf_64kb_0206	合 国 的 宗 旨 和 原 则。
human_rights_un_chi_nf_64kb_0207	第 三 十 条
human_rights_un_chi_nf_64kb_0208	本 宣 言 的 任 何 条 文, 不 得 解 释 为 默 许 任 何 国 家、 集 团 或 个 人 有 权 进
human_rights_un_chi_nf_64kb_0209	行 任 何 旨 在 破 坏 本 宣 言 所 载 的 任 何 权 利 和 自 由 的 活 动 或 行 为。
