human_rights_un_pql_jawo_64kb_0001	VŠEOBECNÁ DEKLARACE LIDSKÝCH PRÁV
human_rights_un_pql_jawo_64kb_0079	má právo na zabezpečení v nezaměstnanosti, v nemoci, při nezpůsobilosti k práci, při ovdovění, ve stáří nebo v ostatních případech ztráty výdělečných možností, nastalé v důsledku okolností nezávislých na jeho vůli.
human_rights_un_pql_jawo_64kb_0080	Mateřství a dětství mají nárok na zvláštní péči a pomoc.
human_rights_un_pql_jawo_64kb_0081	Všechny děti, ať manželské nebo nemanželské, požívají stejné sociální ochrany.
human_rights_un_pql_jawo_64kb_0082	Článek 26
human_rights_un_pql_jawo_64kb_0083	Každý má právo na vzdělání.
human_rights_un_pql_jawo_64kb_0084	Vzdělání nechť je bezplatné, alespoň v počátečních a základních stupních.
human_rights_un_pql_jawo_64kb_0085	Základní vzdělání je povinné.
human_rights_un_pql_jawo_64kb_0086	Technické a odborné vzdělání budiž všeobecně přístupné a rovněž vyšší vzdělání má být stejně přístupné všem podle schopností.
human_rights_un_pql_jawo_64kb_0087	Vzdělání má směřovat k plnému rozvoji lidské osobnosti a k posílení úcty k lidským právům a základním svobodám.
human_rights_un_pql_jawo_64kb_0088	Má napomáhat k vzájemnému porozumění, snášenlivosti a přátelství mezi všemi národy a všemi skupinami rasovými i náboženskými, jakož i k rozvoji činnosti Spojených národů pro zachování míru.
human_rights_un_pql_jawo_64kb_0089	Rodiče mají přednostní právo volit druh vzdělání pro své děti.
human_rights_un_pql_jawo_64kb_0090	Článek 27
human_rights_un_pql_jawo_64kb_0091	Každý má právo svobodně se účastnit kulturního života společnosti, úžívat plodů umění a podílet se na vědeckém pokroku a jeho výtěžcích.
human_rights_un_pql_jawo_64kb_0092	Každý má právo na ochranu morálních a materiálních zájmů, které vyplývají z jeho vědecké, literární nebo umělecké tvorby.
human_rights_un_pql_jawo_64kb_0093	Článek 28
human_rights_un_pql_jawo_64kb_0094	Každý má právo na to, aby vládl takový sociální a mezinárodní řád, ve kterém by práva a svobody stanovené v této deklaraci byly plně uplatněny.
human_rights_un_pql_jawo_64kb_0095	Článek 29
human_rights_un_pql_jawo_64kb_0096	Každý má povinnosti vůči společnosti, v níž jediné může volně a plně rozvinout svou osobnost.
human_rights_un_pql_jawo_64kb_0097	Každý je při výkonu svých práv a svobod podroben jen takovým omezením, která stanoví zákon výhradně za tím účelem, aby bylo zajištěno uznávání a zachovávání práv a svobod ostatních a vyhověno spravedlivým požadavkům morálky, veřejného pořádku a obecného blaha v demokratické společnosti.
human_rights_un_pql_jawo_64kb_0098	Výkon těchto práv a svobod nesmí být v žádném případě v rozporu s cíli a zásadami Spojených národů.
human_rights_un_pql_jawo_64kb_0099	Článek 30
human_rights_un_pql_jawo_64kb_0100	Nic v této deklaraci nemůže být vykládáno, jako by dávalo kterémukoli státu, kterékoli skupině nebo osobě jakékoli právo vyvíjet činnost nebo dopouštět se činů, které by směřovaly k potlačení některého z práv nebo některé ze svobod v této deklaraci uvedených.
