human_rights_un_cat_nv_64kb_0001	Adoptada i proclamada per l'Assemblea General de les Nacions Unides, resolució 217 A (III), de
human_rights_un_cat_nv_64kb_0031	Tots són iguals davant la llei i tenen dret, sense cap distinció, a igual protecció per la llei.
human_rights_un_cat_nv_64kb_0032	Totstenen dret a igual protecció contra qualsevol discriminació que violi aquesta Declaració i contraqualsevol incitació a una tal discriminació.
human_rights_un_cat_nv_64kb_0033	Article 8
human_rights_un_cat_nv_64kb_0034	Tota persona té dret a un recurs efectiu prop dels tribunals nacionals competents que l'emparicontra actes que violin els seus drets fonamentals reconeguts per la constitució o per la llei.
human_rights_un_cat_nv_64kb_0035	Article 9
human_rights_un_cat_nv_64kb_0036	Ningú no serà detingut, pres o desterrat arbitràriament.
human_rights_un_cat_nv_64kb_0037	Article 10
human_rights_un_cat_nv_64kb_0038	Tota persona té dret, en condicions de plena igualtat, a ser escoltada públicament i amb justíciaper un tribunal independent i imparcial, per a la determinacio dels seus drets i obligacions o per al'examen de qualsevol acusació contra ella en matèria penal.
human_rights_un_cat_nv_64kb_0039	Article 11
human_rights_un_cat_nv_64kb_0040	1.
human_rights_un_cat_nv_64kb_0041	Tots els acusats d'un delicte tenen el dret que hom presumeixi la seva innocència fins queno es provi la seva culpabilitat segons la llei en un judici públic, en què hom li hagiassegurat totes les garanties necessàries per a la seva defensa.
human_rights_un_cat_nv_64kb_0042	2.
human_rights_un_cat_nv_64kb_0043	Ningú no serà condemnat per actes o omissions que en el moment que varen éssercomesos no eren delictius segons el dret nacional o internacional.
human_rights_un_cat_nv_64kb_0044	Tampoc no s'imposaràcap pena superior a l'aplicable en el moment de cometre el delicte.
human_rights_un_cat_nv_64kb_0045	Article 12
human_rights_un_cat_nv_64kb_0046	Ningú no serà objecte d'intromissions arbitràries en la seva vida privada, la seva família, el seudomicili o la seva correspondència, ni d'atacs al seu honor i reputació.
human_rights_un_cat_nv_64kb_0047	Tothom té dret a laprotecció de la llei contra tals intromissions o atacs.
human_rights_un_cat_nv_64kb_0048	Article 13
human_rights_un_cat_nv_64kb_0049	1.
human_rights_un_cat_nv_64kb_0050	Tota persona té dret a circular lliurement i a triar la seva residència dins les fronteres decada Estat.
human_rights_un_cat_nv_64kb_0051	2.
human_rights_un_cat_nv_64kb_0052	Tota persona té dret o sortir de qualsevol país, àdhuc el propi, i a retornar-hi.
human_rights_un_cat_nv_64kb_0053	Article 14
human_rights_un_cat_nv_64kb_0054	1.
human_rights_un_cat_nv_64kb_0055	En cas de persecució, tota persona té dret a cercar asil en altres països i a beneficiar-se'n.
human_rights_un_cat_nv_64kb_0056	2.
human_rights_un_cat_nv_64kb_0057	Aquest dret no podrà ser invocat contra una persecució veritablement originada perdelictes comuns o per actes oposats als objectius i principis de les Nacions Unides.
human_rights_un_cat_nv_64kb_0058	Article 15
human_rights_un_cat_nv_64kb_0059	1.
human_rights_un_cat_nv_64kb_0060	Tota persona té dret a una nacionalitat.
human_rights_un_cat_nv_64kb_0061	2.
human_rights_un_cat_nv_64kb_0062	Ningú no serà privat arbitràriament de la seva nacionalitat, ni del dret de canviar denacionalitat.
human_rights_un_cat_nv_64kb_0063	Article 16
human_rights_un_cat_nv_64kb_0064	1.
human_rights_un_cat_nv_64kb_0065	Els homes i les dones, a partir de l'edat núbil, tenen dret, sense cap restricció per motiusde raça, nacionalitat o religió, a casar-se i a fundar una família.
human_rights_un_cat_nv_64kb_0066	Gaudiran de drets igualspel que fa al casament, durant el matrimoni i en la seva dissolució.
human_rights_un_cat_nv_64kb_0067	2.
human_rights_un_cat_nv_64kb_0068	Nomes es realitzarà el casament amb el lliure i ple consentiment dels futurs esposos.
human_rights_un_cat_nv_64kb_0069	3.
human_rights_un_cat_nv_64kb_0070	La família és l'element natural i fonamental de la societat i té dret a la protecció de lasocietat i de l'Estat.
human_rights_un_cat_nv_64kb_0071	Article 17
human_rights_un_cat_nv_64kb_0072	1.
human_rights_un_cat_nv_64kb_0073	Tota persona té dret a la propietat, individualment i col_lectiva.
human_rights_un_cat_nv_64kb_0074	2.
human_rights_un_cat_nv_64kb_0075	Ningú no serà privat arbitràriament de la seva propietat.
human_rights_un_cat_nv_64kb_0076	Article 18
human_rights_un_cat_nv_64kb_0077	Tota persona té dret a la llibertat de pensament, de consciència i de religió;
human_rights_un_cat_nv_64kb_0078	aquest dret inclou lallibertat de canviar de religió o de creença, i la llibertat, individualment o col lectivament, enpúblic o en privat, de manifestar la seva religió o creença per mitjà de l'ensenyament, la pràctica,el culte i l'observança.
human_rights_un_cat_nv_64kb_0079	Article 19
human_rights_un_cat_nv_64kb_0080	Tota persona té dret a la llibertat d'opinió i d'expressió;
human_rights_un_cat_nv_64kb_0081	aquest dret inclou el de no ser molestat acausa de les pròpies opinions i el de cercar, rebre i difondre les informacions i les idees perqualsevol mitjà i sense límit de fronteres.
human_rights_un_cat_nv_64kb_0082	Article 20
human_rights_un_cat_nv_64kb_0083	1.
human_rights_un_cat_nv_64kb_0084	Tota persona té dret a la llibertat de reunió i d'associació pacífiques.
human_rights_un_cat_nv_64kb_0085	2.
human_rights_un_cat_nv_64kb_0086	Ningú no pot ser obligat a pertànyer a una associació.
human_rights_un_cat_nv_64kb_0087	Article 21
human_rights_un_cat_nv_64kb_0088	1.
human_rights_un_cat_nv_64kb_0089	Tota persona té dret a participar en el govern del seu país, directament o per mitjà derepresentants lliurement elegits.
human_rights_un_cat_nv_64kb_0090	2.
human_rights_un_cat_nv_64kb_0091	Tota persona té dret, en condicions d'igualtat, a accedir a les funcions públiques del seupaís.
human_rights_un_cat_nv_64kb_0092	3.
human_rights_un_cat_nv_64kb_0093	La voluntat del poble és el fonament de l'autoritat de l'Estat;
human_rights_un_cat_nv_64kb_0094	aquesta voluntat had'expressar-se mitjançant eleccions autèntiques, que hauran de fer-se periòdicament persufragi universal i igual i per vot secret o per altre procediment equivalent que garanteixila llibertat del vot.
human_rights_un_cat_nv_64kb_0095	Article 22
human_rights_un_cat_nv_64kb_0096	Tota persona, com a membre de la societat, té dret a la seguretat social i a obtenir, mitjançantl'esforç nacional i la cooperació internacional, segons l'organització i els recursos de cada país, lasatisfacció dels drets econòmics, socials i culturals indispensables per a la seva dignitat i el lliuredesenvolupament de la seva personalitat.
human_rights_un_cat_nv_64kb_0097	Article 23
human_rights_un_cat_nv_64kb_0098	1.
human_rights_un_cat_nv_64kb_0099	Tota persona té dret al treball, a la lliure elecció de la seva ocupació, a condicionsequitatives i satisfactòries de treball, i a la protecció contra l'atur.
human_rights_un_cat_nv_64kb_0100	2.
human_rights_un_cat_nv_64kb_0101	Tota persona, sense cap discriminació, té dret a salari igual per igual treball.
human_rights_un_cat_nv_64kb_0102	3.
human_rights_un_cat_nv_64kb_0103	Tothom que treballa té dret a una remuneració equitativa i satisfactòria que asseguri per aell i la seva família una existència conforme a la dignitat humana, completada, si cal, ambaltres mitjans de protecció social.
human_rights_un_cat_nv_64kb_0104	4.
human_rights_un_cat_nv_64kb_0105	Tothom té dret a constituir sindicats per a la defensa dels seus interessos i a afiliar-s'hi.
human_rights_un_cat_nv_64kb_0106	Article 24
human_rights_un_cat_nv_64kb_0107	Tota persona té dret al descans i al lleure i, particularment, a una limitació raonable de la jornadade treball i a vacances periòdiques pagades.
human_rights_un_cat_nv_64kb_0108	Article 25
human_rights_un_cat_nv_64kb_0109	1.
human_rights_un_cat_nv_64kb_0110	Tota persona té dret a un nivell de vida que asseguri, per a ell i la seva família, la salut iel benestar, especialment quant a alimentació, vestir, habitatge, assistència mèdica i alsserveis socials necessaris;
human_rights_un_cat_nv_64kb_0111	també té dret a la seguretat en cas d'atur, malaltia, incapacitat,viduïtat, vellesa o altra manca de mitjans de subsistència independent de la seva voluntat.
human_rights_un_cat_nv_64kb_0112	2.
human_rights_un_cat_nv_64kb_0113	La maternitat i la infantesa tenen dret a una cura i a una assistència especials.
human_rights_un_cat_nv_64kb_0114	Tots elsinfants, nascuts d'un matrimoni o fora d'un matrimoni, gaudeixen d'igual protecció social.
human_rights_un_cat_nv_64kb_0115	Article 26
human_rights_un_cat_nv_64kb_0116	1.
human_rights_un_cat_nv_64kb_0117	Tota persona té dret a l'educació.
human_rights_un_cat_nv_64kb_0118	L'educació serà gratuïta, si més no, en la instruccióelemental i fonamental.
human_rights_un_cat_nv_64kb_0119	La instrucció elemental serà obligatòria.
human_rights_un_cat_nv_64kb_0120	L'ensenyament tècnic iprofessional es posarà a l'abast de tothom, i l'accés a l'ensenyament superior serà igual pera tots en funció dels mèrits respectius.
human_rights_un_cat_nv_64kb_0121	2.
human_rights_un_cat_nv_64kb_0122	L'educació tendirà al ple desenvolupament de la personalitat humana i a l'enfortiment delrespecte als drets humans i a les llibertats fonamentals;
human_rights_un_cat_nv_64kb_0123	promourà la comprensió, latolerància i l'amistat entre totes les nacions i grups ètnics o religiosos, i fomentarà lesactivitats de les Nacions Unides per al manteniment de la pau.
human_rights_un_cat_nv_64kb_0124	3.
human_rights_un_cat_nv_64kb_0125	El pare i la mare tenen dret preferent d'escollir la mena d'educació que serà donada alsseus fills.
human_rights_un_cat_nv_64kb_0126	Article 27
human_rights_un_cat_nv_64kb_0127	1.
human_rights_un_cat_nv_64kb_0128	Tota persona té dret a participar lliurement en la vida cultural de la comunitat, a gaudir deles arts i a participar i beneficiar-se del progrés científic.
human_rights_un_cat_nv_64kb_0129	2.
human_rights_un_cat_nv_64kb_0130	Tota persona té dret a la protecció dels interessos morals i materials derivats de lesproduccions científiques, literàries o artístiques de què sigui autor.
human_rights_un_cat_nv_64kb_0131	Article 28
human_rights_un_cat_nv_64kb_0132	Tota persona té dret a un ordre social i internacional en què els drets i llibertats proclamats enaquesta Declaració puguin ser plenament efectius.
human_rights_un_cat_nv_64kb_0133	Article 29
human_rights_un_cat_nv_64kb_0134	1.
human_rights_un_cat_nv_64kb_0135	Tota persona té deures envers la comunitat, ja que només en aquesta li és possible ellliure i ple desenvolupament de la seva personalitat.
human_rights_un_cat_nv_64kb_0136	2.
human_rights_un_cat_nv_64kb_0137	En l'exercici dels drets i les llibertats, tothom estarà sotmès només a les limitacionsestablertes per la llei i únicament amb la finalitat d'assegurar el reconeixement i elrespecte deguts als drets i llibertats dels altres i de complir les justes exigències de lamoral, de l'ordre públic i del benestar general en una societat democràtica.
human_rights_un_cat_nv_64kb_0138	3.
human_rights_un_cat_nv_64kb_0139	Aquests drets i llibertats mai no podran ser exercits en oposició als objectius i principisde les Nacions Unides.
human_rights_un_cat_nv_64kb_0140	Article 30
human_rights_un_cat_nv_64kb_0141	Res en aquesta Declaració no podrà interpretar-se en el sentit que doni cap dret a un Estat, a ungrup o a una persona a emprendre activitats o a realitzar actes que tendeixin a la supressió dequalsevol dels drets i llibertats que s'hi enuncien.
