human_rights_un_jpn_k_64kb_0001	『世界人権宣言』
human_rights_un_jpn_k_64kb_0044	何人も、奴隷にされ、又は苦役に服することはない。
human_rights_un_jpn_k_64kb_0045	奴隷制度及び奴隷
human_rights_un_jpn_k_64kb_0046	売買は、いかなる形においても禁止する。
human_rights_un_jpn_k_64kb_0047	第５条
human_rights_un_jpn_k_64kb_0048	何人も、拷問又は残虐な、非人道的なもしくは屈辱的な取扱もしくは刑
human_rights_un_jpn_k_64kb_0049	罰を受けることはない。
human_rights_un_jpn_k_64kb_0050	第６条
human_rights_un_jpn_k_64kb_0051	すべての人は、いかなる場所においても、法の下において、人として認
human_rights_un_jpn_k_64kb_0052	められる権利を有する。
human_rights_un_jpn_k_64kb_0053	第７条
human_rights_un_jpn_k_64kb_0054	すべての人は、法の下において平等であり、また、いかなる差別もなし
human_rights_un_jpn_k_64kb_0055	に法の平等な保護を受ける権利を有する。
human_rights_un_jpn_k_64kb_0056	すべての人は、この宣言に違反
human_rights_un_jpn_k_64kb_0057	するいかなる差別に対しても、また、そのような差別をそそのかすいかな
human_rights_un_jpn_k_64kb_0058	る行為に対しても、平等な保護を受ける権利を有する。
human_rights_un_jpn_k_64kb_0059	第８条
human_rights_un_jpn_k_64kb_0060	すべての人は、憲法又は法律によって与えられた基本的権利を侵害する
human_rights_un_jpn_k_64kb_0061	行為に対し、権限を有する国内裁判所による効果的な救済を受ける権利を
human_rights_un_jpn_k_64kb_0062	有する。
human_rights_un_jpn_k_64kb_0063	第９条
human_rights_un_jpn_k_64kb_0064	何人も、ほしいままに逮捕、拘禁、又は追放されることはない。
human_rights_un_jpn_k_64kb_0065	第10条
human_rights_un_jpn_k_64kb_0066	すべての人は、自己の権利及び義務並びに自己に対する刑事責任が決
human_rights_un_jpn_k_64kb_0067	定されるに当たって、独立の公平な裁判所による公平な公開の審理を受け
human_rights_un_jpn_k_64kb_0068	ることについて完全に平等の権利を有する。
human_rights_un_jpn_k_64kb_0069	第11条
human_rights_un_jpn_k_64kb_0070	1.
human_rights_un_jpn_k_64kb_0071	犯罪の訴追を受けた者は、すべて、自己の弁護に必要なすべての保
human_rights_un_jpn_k_64kb_0072	障を与えられた公開の裁判において法律に従って有罪の立証があるまでは
human_rights_un_jpn_k_64kb_0073	、
human_rights_un_jpn_k_64kb_0074	無罪と推定される権利を有する。
human_rights_un_jpn_k_64kb_0075	2.
human_rights_un_jpn_k_64kb_0076	何人も、実行の時に国内法又は国際法により犯罪を構成しなかった作
human_rights_un_jpn_k_64kb_0077	為又は不作為のために有罪とされることはない。
human_rights_un_jpn_k_64kb_0078	また、犯罪が行われた時
human_rights_un_jpn_k_64kb_0079	に適用される刑罰より重い刑罰は課せられない。
human_rights_un_jpn_k_64kb_0080	第12条
human_rights_un_jpn_k_64kb_0081	何人も、自己の私事、家族、家庭もしくは通信に対して、ほしいまま
human_rights_un_jpn_k_64kb_0082	に干渉され、又は名誉及び信用に対して攻撃を受けることはない。
human_rights_un_jpn_k_64kb_0083	人はす
human_rights_un_jpn_k_64kb_0084	べて、このような干渉又は攻撃に対して法の保護を受ける権利を有する。
human_rights_un_jpn_k_64kb_0085	第13条
human_rights_un_jpn_k_64kb_0086	1.
human_rights_un_jpn_k_64kb_0087	すべて人は、各国の境界内において自由に移転及び居住する権利を
human_rights_un_jpn_k_64kb_0088	有する。
human_rights_un_jpn_k_64kb_0089	2.
human_rights_un_jpn_k_64kb_0090	すべて人は、自国その他いずれの国をも立ち去り、及び自国に帰る権
human_rights_un_jpn_k_64kb_0091	利を有する。
human_rights_un_jpn_k_64kb_0092	第14条
human_rights_un_jpn_k_64kb_0093	1.
human_rights_un_jpn_k_64kb_0094	すべて人は、迫害からの避難を他国に求め、かつ、これを他国で享
human_rights_un_jpn_k_64kb_0095	有する権利を有する。
human_rights_un_jpn_k_64kb_0096	2.
human_rights_un_jpn_k_64kb_0097	この権利は、非政治犯罪又は国際連合の目的及び原則に反する行為を
human_rights_un_jpn_k_64kb_0098	もっぱら原因とする訴追の場合には、採用することはできない
human_rights_un_jpn_k_64kb_0099	第15条
human_rights_un_jpn_k_64kb_0100	1.
human_rights_un_jpn_k_64kb_0101	すべて人は、国籍をもつ権利を有する。
human_rights_un_jpn_k_64kb_0102	2.
human_rights_un_jpn_k_64kb_0103	何人も、ほしいままにその国籍を奪われ、又はその国籍を変更する権
human_rights_un_jpn_k_64kb_0104	利を否認されることはない。
human_rights_un_jpn_k_64kb_0105	第16条
human_rights_un_jpn_k_64kb_0106	1.
human_rights_un_jpn_k_64kb_0107	成年の男女は、人種、国籍又は宗教によるいかなる制限をも受ける
human_rights_un_jpn_k_64kb_0108	ことなく、婚姻し、かつ家庭をつくる権利を有する。
human_rights_un_jpn_k_64kb_0109	成年の男女は、婚姻
human_rights_un_jpn_k_64kb_0110	中及びその解消に際し、婚姻に関し平等の権利を有する。
human_rights_un_jpn_k_64kb_0111	2.
human_rights_un_jpn_k_64kb_0112	婚姻は、婚姻の意思を有する両当事者の自由かつ完全な合意によって
human_rights_un_jpn_k_64kb_0113	のみ成立する。
human_rights_un_jpn_k_64kb_0114	3.
human_rights_un_jpn_k_64kb_0115	家庭は、社会の自然かつ基礎的な集団単位であって、社会及び国の保
human_rights_un_jpn_k_64kb_0116	護を受ける権利を有する。
human_rights_un_jpn_k_64kb_0117	第17条
human_rights_un_jpn_k_64kb_0118	1.
human_rights_un_jpn_k_64kb_0119	すべての人は、単独で又は他の者と共同して財産を所有する権利を
human_rights_un_jpn_k_64kb_0120	有する。
human_rights_un_jpn_k_64kb_0121	2.
human_rights_un_jpn_k_64kb_0122	何人も、ほしいままに自己の財産を奪われることはない。
human_rights_un_jpn_k_64kb_0123	第18条
human_rights_un_jpn_k_64kb_0124	すべて人は、思想、良心及び宗教の自由を享有する権利を有する。
human_rights_un_jpn_k_64kb_0125	こ
human_rights_un_jpn_k_64kb_0126	の権利は、宗教又は信念を変更する自由並びに単独で又は他の者と共同し
human_rights_un_jpn_k_64kb_0127	て、公的に又は私的に、布教、行事、礼拝及び儀式によって宗教又は信念
human_rights_un_jpn_k_64kb_0128	を表明する自由を含む。
human_rights_un_jpn_k_64kb_0129	第19条
human_rights_un_jpn_k_64kb_0130	すべて人は、意見及び表現の自由を享有する権利を有する。
human_rights_un_jpn_k_64kb_0131	この権利
human_rights_un_jpn_k_64kb_0132	は、干渉を受けることなく自己の意見をもつ自由並びにあらゆる手段によ
human_rights_un_jpn_k_64kb_0133	り、また、国境を越えると否とにかかわりなく、情報及び思想を求め、受
human_rights_un_jpn_k_64kb_0134	け、及び伝える自由を含む。
human_rights_un_jpn_k_64kb_0135	第20条
human_rights_un_jpn_k_64kb_0136	1.
human_rights_un_jpn_k_64kb_0137	すべて人は、平和的な集会及び結社の自由を享有する権利を有する。
human_rights_un_jpn_k_64kb_0138	2.
human_rights_un_jpn_k_64kb_0139	何人も、結社に属することを強制されない。
human_rights_un_jpn_k_64kb_0140	第21条
human_rights_un_jpn_k_64kb_0141	1.
human_rights_un_jpn_k_64kb_0142	すべて人は、直接に又は自由に選出された代表者を通じて、自国の
human_rights_un_jpn_k_64kb_0143	政治に参与する権利を有する。
human_rights_un_jpn_k_64kb_0144	2.
human_rights_un_jpn_k_64kb_0145	すべて人は自国においてひとしく公務につく権利を有する。
human_rights_un_jpn_k_64kb_0146	3.
human_rights_un_jpn_k_64kb_0147	人民の意思は、統治の権力の基礎とならなければならない。
human_rights_un_jpn_k_64kb_0148	この意思
human_rights_un_jpn_k_64kb_0149	は、定期のかつ真正な選挙によって表明されなければならない。
human_rights_un_jpn_k_64kb_0150	この選挙
human_rights_un_jpn_k_64kb_0151	は、平等の普通選挙によるものでなければならず、また、秘密投票又はこ
human_rights_un_jpn_k_64kb_0152	れと同等の自由が保障される投票手続によって行われなければならない。
human_rights_un_jpn_k_64kb_0153	第22条
human_rights_un_jpn_k_64kb_0154	すべて人は、社会の一員として、社会保障を受ける権利を有し、かつ、
human_rights_un_jpn_k_64kb_0155	国家的努力及び国際的協力により、また、各国の組織及び資源に応じて、
human_rights_un_jpn_k_64kb_0156	自己の尊厳と自己の人格の自由な発展とに欠くことのできない経済的、社
human_rights_un_jpn_k_64kb_0157	会的及び文化的権利の実現に対する権利を有する。
human_rights_un_jpn_k_64kb_0158	弟23条
human_rights_un_jpn_k_64kb_0159	1.
human_rights_un_jpn_k_64kb_0160	すべて人は、労働し、職業を自由に選択し、公平かつ有利な労働条
human_rights_un_jpn_k_64kb_0161	件を確保し、及び失業に対する保護を受ける権利を有する。
human_rights_un_jpn_k_64kb_0162	2.
human_rights_un_jpn_k_64kb_0163	すべて人は、いかなる差別をも受けることなく、同等の労働に対し、
human_rights_un_jpn_k_64kb_0164	同等の報酬を受ける権利を有する。
human_rights_un_jpn_k_64kb_0165	3.
human_rights_un_jpn_k_64kb_0166	労働する者は、すべて、自己及び家族に対して人間の尊厳にふさわし
human_rights_un_jpn_k_64kb_0167	い生活を保障する公平かつ有利な報酬を受け、かつ、必要な場合には、他
human_rights_un_jpn_k_64kb_0168	の社会的保護手段によって補充を受けることができる。
human_rights_un_jpn_k_64kb_0169	4.
human_rights_un_jpn_k_64kb_0170	すべて人は、自己の利益を保護するために労働組合を組織し、及びこ
human_rights_un_jpn_k_64kb_0171	れに加入する権利を有する。
human_rights_un_jpn_k_64kb_0172	第24条
human_rights_un_jpn_k_64kb_0173	すべて人は、労働時間の合理的な制限及び定期的な有給休暇を含む休
human_rights_un_jpn_k_64kb_0174	息及び余暇をもつ権利を有する。
human_rights_un_jpn_k_64kb_0175	第25条
human_rights_un_jpn_k_64kb_0176	1.
human_rights_un_jpn_k_64kb_0177	すべて人は、衣食住、医療及び必要な社会的施設等により、自己及
human_rights_un_jpn_k_64kb_0178	び家族の健康及び福祉に十分な生活水準を保持する権利並びに失業、疾病
human_rights_un_jpn_k_64kb_0179	、
human_rights_un_jpn_k_64kb_0180	心身障害、配偶者の死亡、老齢その他不可抗力による生活不能の場合は、
human_rights_un_jpn_k_64kb_0181	保障を受ける権利を有する。
human_rights_un_jpn_k_64kb_0182	2.
human_rights_un_jpn_k_64kb_0183	母と子とは、特別の保護及び援助を受ける権利を有する。
human_rights_un_jpn_k_64kb_0184	すべての児
human_rights_un_jpn_k_64kb_0185	童は、嫡出であると否とを問わず、同じ社会的保護を享有する。
human_rights_un_jpn_k_64kb_0186	第26条
human_rights_un_jpn_k_64kb_0187	1.
human_rights_un_jpn_k_64kb_0188	すべて人は、教育を受ける権利を有する。
human_rights_un_jpn_k_64kb_0189	教育は、少なくとも初等
human_rights_un_jpn_k_64kb_0190	の及び基礎的の段階においては、無償でなければならない。
human_rights_un_jpn_k_64kb_0191	初等教育は、
human_rights_un_jpn_k_64kb_0192	義務的でなければならない。
human_rights_un_jpn_k_64kb_0193	技術教育及び職業教育は、一般に利用できる
human_rights_un_jpn_k_64kb_0194	もでなければならず、また、高等教育は、能力に応じ、すべての者にひと
human_rights_un_jpn_k_64kb_0195	しく開放されていなければならない。
human_rights_un_jpn_k_64kb_0196	2.
human_rights_un_jpn_k_64kb_0197	教育は、人格の完全な発展並びに人権及び基本的自由の尊重の教科を
human_rights_un_jpn_k_64kb_0198	目的としなければならない。
human_rights_un_jpn_k_64kb_0199	教育は、すべての国又は人種的もしくは宗教
human_rights_un_jpn_k_64kb_0200	的集団の相互間の理解、寛容及び友好関係を増進し、かつ、平和の維持の
human_rights_un_jpn_k_64kb_0201	ため、国際連合の活動を促進するものでなければならない。
human_rights_un_jpn_k_64kb_0202	3.
human_rights_un_jpn_k_64kb_0203	親は、子に与える教育の種類を選択する優先的権利を有する。
human_rights_un_jpn_k_64kb_0204	第27条
human_rights_un_jpn_k_64kb_0205	1.
human_rights_un_jpn_k_64kb_0206	すべて人は、自由に社会の文化生活に参加し、芸術を鑑賞し、及び
human_rights_un_jpn_k_64kb_0207	科学の進歩とその恩恵とにあずかる権利を有する。
human_rights_un_jpn_k_64kb_0208	2.
human_rights_un_jpn_k_64kb_0209	すべて人は、その創作した科学的、文学的又は美術的作品から生ずる
human_rights_un_jpn_k_64kb_0210	精神的及び物質的利益を保護される権利を有する。
human_rights_un_jpn_k_64kb_0211	第28条
human_rights_un_jpn_k_64kb_0212	すべて人は、この宣言に掲げる権利及び自由が完全に実現される社会
human_rights_un_jpn_k_64kb_0213	的及び国際的秩序に対する権利を有する。
human_rights_un_jpn_k_64kb_0214	第29条
human_rights_un_jpn_k_64kb_0215	1.
human_rights_un_jpn_k_64kb_0216	すべて人は、その人格の自由かつ完全な発展がその中にあつてのみ
human_rights_un_jpn_k_64kb_0217	可能である社会に対して義務を負う。
human_rights_un_jpn_k_64kb_0218	2.
human_rights_un_jpn_k_64kb_0219	すべて人は、自己の権利及び自由を行使するに当たつては、他人の権
human_rights_un_jpn_k_64kb_0220	利及び事由の正当な承認及び尊重を保障すること並びに民主的社会におけ
human_rights_un_jpn_k_64kb_0221	る道徳、公の秩序及び一般の福祉の正当な要求を満たすことをもっぱら目
human_rights_un_jpn_k_64kb_0222	的として法律によって定められた制限にのみ服する。
human_rights_un_jpn_k_64kb_0223	3.
human_rights_un_jpn_k_64kb_0224	これらの権利及び自由は、いかなる場合にも、国際連合の目的及び原
human_rights_un_jpn_k_64kb_0225	則に反して行使してはならない。
human_rights_un_jpn_k_64kb_0226	第30条
human_rights_un_jpn_k_64kb_0227	この宣言のいかなる規定も、いずれかの国、集団又は個人に対して、
human_rights_un_jpn_k_64kb_0228	この宣言に掲げる権利及び自由の破壊を目的とする活動に従事し、又はそ
human_rights_un_jpn_k_64kb_0229	のような目的を有する行為を行う権利を認めるものと解釈してはならない。
