human_rights_un_cze_msed_64kb_0001	VŠEOBECNÁ DEKLARACE LIDSKÝCH PRÁV
human_rights_un_cze_msed_64kb_0023	Valné shromážděnívyhlašuje tuto
human_rights_un_cze_msed_64kb_0024	Všeobecnou deklaraci lidských právjakožto společný cíl pro všechny národy a všechny státy za tím účelem,
human_rights_un_cze_msed_64kb_0025	aby se každý jednotlivec a každý orgán společnosti,
human_rights_un_cze_msed_64kb_0026	maje tuto deklaraci stále na mysli,
human_rights_un_cze_msed_64kb_0027	snažil vyučováním a výchovou rozšířit úctu k těmto právům a svobodám a zajistil postupnými opatřeními vnitrostátními i mezinárodními jejich všeobecné a účinné uznávání a zachovávání jak mezi lidem členských států samých,
human_rights_un_cze_msed_64kb_0028	tak i mezi lidem území,
human_rights_un_cze_msed_64kb_0029	jež jsou pod jejich pravomocí.
human_rights_un_cze_msed_64kb_0030	Článek 1
human_rights_un_cze_msed_64kb_0031	Všichni lidé rodí se svobodní a sobě rovní co do důstojnosti a práv.
human_rights_un_cze_msed_64kb_0032	Jsou nadáni rozumem a svědomím a mají spolu jednat v duchu bratrství.
human_rights_un_cze_msed_64kb_0033	Článek 2
human_rights_un_cze_msed_64kb_0034	Každý má všechna práva a všechny svobody,
human_rights_un_cze_msed_64kb_0035	stanovené touto deklarací,
human_rights_un_cze_msed_64kb_0036	bez jakéhokoli rozlišování,
human_rights_un_cze_msed_64kb_0037	zejména podle rasy,
human_rights_un_cze_msed_64kb_0038	barvy,
human_rights_un_cze_msed_64kb_0039	pohlaví,
human_rights_un_cze_msed_64kb_0040	jazyka,
human_rights_un_cze_msed_64kb_0041	náboženství,
human_rights_un_cze_msed_64kb_0042	politického nebo jiného smýšlení,
human_rights_un_cze_msed_64kb_0043	národnostního nebo sociálního původu,
human_rights_un_cze_msed_64kb_0044	majetku,
human_rights_un_cze_msed_64kb_0045	rodu nebo jiného postavení.
human_rights_un_cze_msed_64kb_0046	Žádný rozdíl nebude dále činěn z důvodu politického,
human_rights_un_cze_msed_64kb_0047	právního nebo mezinárodního postavení země nebo území,
human_rights_un_cze_msed_64kb_0048	k nimž určitá osoba přísluší,
human_rights_un_cze_msed_64kb_0049	ať jde o zemi nebo území nezávislé nebo pod poručenstvím,
human_rights_un_cze_msed_64kb_0050	nesamosprávné nebo podrobené jakémukoli jinému omezení suverenity.
human_rights_un_cze_msed_64kb_0051	Článek 3
human_rights_un_cze_msed_64kb_0052	Každý má právo na život,
human_rights_un_cze_msed_64kb_0053	svobodu a osobní bezpečnost.
human_rights_un_cze_msed_64kb_0054	Článek 4
human_rights_un_cze_msed_64kb_0055	Nikdo nesmí být držen v otroctví nebo nevolnictví;
human_rights_un_cze_msed_64kb_0056	všechny formy otroctví a obchodu s otroky jsou zakázány.
human_rights_un_cze_msed_64kb_0057	Článek 5
human_rights_un_cze_msed_64kb_0058	Nikdo nesmí být mučen nebo podrobován krutému,
human_rights_un_cze_msed_64kb_0059	nelidskému nebo ponižujícímu zacházení nebo trestu.
human_rights_un_cze_msed_64kb_0060	Článek 6
human_rights_un_cze_msed_64kb_0061	Každý má právo na to,
human_rights_un_cze_msed_64kb_0062	aby byla všude uznávána jeho právní osobnost.
human_rights_un_cze_msed_64kb_0063	Článek 7
human_rights_un_cze_msed_64kb_0064	Všichni jsou si před zákonem rovni a mají právo na stejnou ochranu zákona bez jakéhokoli rozlišování.
human_rights_un_cze_msed_64kb_0065	Všichni mají právo na stejnou ochranu proti jakékoli diskriminaci,
human_rights_un_cze_msed_64kb_0066	která porušuje tuto deklaraci,
human_rights_un_cze_msed_64kb_0067	a proti každému podněcování k takové diskriminaci.
human_rights_un_cze_msed_64kb_0068	Článek 8
human_rights_un_cze_msed_64kb_0069	Každý má právo,
human_rights_un_cze_msed_64kb_0070	aby mu příslušné vnitrostátní soudy poskytly účinnou ochranu proti činům porušujícím základní práva,
human_rights_un_cze_msed_64kb_0071	která jsou mu přiznána ústavou nebo zákonem.
human_rights_un_cze_msed_64kb_0072	Článek 9
human_rights_un_cze_msed_64kb_0073	Nikdo nesmí být svévolně zatčen,
human_rights_un_cze_msed_64kb_0074	držen ve vazbě nebo vyhoštěn do vyhnanství.
human_rights_un_cze_msed_64kb_0075	Článek 10
human_rights_un_cze_msed_64kb_0076	Každý má úplně stejné právo,
human_rights_un_cze_msed_64kb_0077	aby byl spravedlivě a veřejně vyslechnut nezávislým a nestranným soudem,
human_rights_un_cze_msed_64kb_0078	který rozhoduje buď o jeho právech a povinnostech,
human_rights_un_cze_msed_64kb_0079	nebo o jakémkoli trestním obvinění vzneseném proti němu.
human_rights_un_cze_msed_64kb_0080	Článek 11
human_rights_un_cze_msed_64kb_0081	Každý,
human_rights_un_cze_msed_64kb_0082	kdo je obviněn z trestného činu,
human_rights_un_cze_msed_64kb_0083	považuje se za nevinného,
human_rights_un_cze_msed_64kb_0084	dokud není zákonným postupem prokázána jeho vina ve veřejném řízení,
human_rights_un_cze_msed_64kb_0085	v němž mu byly zajištěny veškeré možnosti obhajoby.
human_rights_un_cze_msed_64kb_0086	Nikdo nesmí být odsouzen pro čin nebo opomenutí,
human_rights_un_cze_msed_64kb_0087	které v době,
human_rights_un_cze_msed_64kb_0088	kdy byly spáchány,
human_rights_un_cze_msed_64kb_0089	nebyly trestné podle státního nebo mezinárodního práva.
human_rights_un_cze_msed_64kb_0090	Rovněž nesmí být uložen trest těžší,
human_rights_un_cze_msed_64kb_0091	než jakého bylo lze použít v době,
human_rights_un_cze_msed_64kb_0092	kdy byl trestný čin spáchán.
human_rights_un_cze_msed_64kb_0093	Článek 12
human_rights_un_cze_msed_64kb_0094	Nikdo nesmí být vystaven svévolnému zasahování do soukromého života,
human_rights_un_cze_msed_64kb_0095	do rodiny,
human_rights_un_cze_msed_64kb_0096	domova nebo korespondence,
human_rights_un_cze_msed_64kb_0097	ani útokům na svou čest a pověst.
human_rights_un_cze_msed_64kb_0098	Každý má právo na zákonnou ochranu proti takovým zásahům nebo útokům.
human_rights_un_cze_msed_64kb_0099	Článek 13
human_rights_un_cze_msed_64kb_0100	Každý má právo volně se pohybovat a svobodně si volit bydliště uvnitř určitého státu.
human_rights_un_cze_msed_64kb_0101	Každý má právo opustit kteroukoli zemi,
human_rights_un_cze_msed_64kb_0102	i svou vlastní,
human_rights_un_cze_msed_64kb_0103	a vrátit se do své země.
human_rights_un_cze_msed_64kb_0104	Článek 14
human_rights_un_cze_msed_64kb_0105	Každý má právo vyhledat si před pronásledováním útočiště v jiných zemích a požívat tam azylu.
human_rights_un_cze_msed_64kb_0106	Toto právo nelze uplatnit v případě stíhání skutečně odůvodněného nepolitickými zločiny nebo činy,
human_rights_un_cze_msed_64kb_0107	které jsou v rozporu s cíli a zásadami Spojených národů.
human_rights_un_cze_msed_64kb_0108	Článek 15
human_rights_un_cze_msed_64kb_0109	Každý má právo na státní příslušnost.
human_rights_un_cze_msed_64kb_0110	Nikdo nesmí být svévolně zbaven své státní příslušnosti ani práva svou státní příslušnost změnit.
human_rights_un_cze_msed_64kb_0111	Článek 16
human_rights_un_cze_msed_64kb_0112	Muži a ženy,
human_rights_un_cze_msed_64kb_0113	jakmile dosáhnou plnoletosti,
human_rights_un_cze_msed_64kb_0114	mají právo,
human_rights_un_cze_msed_64kb_0115	bez jakéhokoli omezení z důvodů příslušnosti rasové,
human_rights_un_cze_msed_64kb_0116	národnostní nebo náboženské,
human_rights_un_cze_msed_64kb_0117	uzavřít sňatek a založit rodinu.
human_rights_un_cze_msed_64kb_0118	Pokud jde o manželství,
human_rights_un_cze_msed_64kb_0119	mají za jeho trvání i při jeho rozvázání stejná práva.
human_rights_un_cze_msed_64kb_0120	Sňatky mohou být uzavřeny jen se svobodným a plným souhlasem nastávajících manželů.
human_rights_un_cze_msed_64kb_0121	Rodina je přirozenou a základní jednotkou společnosti a má nárok na ochranu ze strany společnosti a státu.
human_rights_un_cze_msed_64kb_0122	Článek 17
human_rights_un_cze_msed_64kb_0123	Každý má právo vlastnit majetek jak sám,
human_rights_un_cze_msed_64kb_0124	tak spolu s jinými.
human_rights_un_cze_msed_64kb_0125	Nikdo nesmí být svévolně zbaven svého majetku.
human_rights_un_cze_msed_64kb_0126	Článek 18
human_rights_un_cze_msed_64kb_0127	Každý má právo na svobodu myšlení,
human_rights_un_cze_msed_64kb_0128	svědomí a náboženství;
human_rights_un_cze_msed_64kb_0129	toto právo zahrnuje v sobě i volnost změnit své náboženství nebo víru,
human_rights_un_cze_msed_64kb_0130	jakož i svobodu projevovat své náboženství nebo víru,
human_rights_un_cze_msed_64kb_0131	sám nebo společně s jinými,
human_rights_un_cze_msed_64kb_0132	ať veřejně nebo soukromě,
human_rights_un_cze_msed_64kb_0133	vyučováním,
human_rights_un_cze_msed_64kb_0134	prováděním náboženských úkonů,
human_rights_un_cze_msed_64kb_0135	bohoslužbou a zachováváním obřadů.
human_rights_un_cze_msed_64kb_0136	Článek 19
human_rights_un_cze_msed_64kb_0137	Každý má právo na svobodu přesvědčení a projevu;
human_rights_un_cze_msed_64kb_0138	toto právo nepřipouští,
human_rights_un_cze_msed_64kb_0139	aby někdo trpěl újmu pro své přesvědčení,
human_rights_un_cze_msed_64kb_0140	a zahrnuje právo vyhledávat,
human_rights_un_cze_msed_64kb_0141	přijímat a rozšiřovat informace a myšlenky jakýmikoli prostředky a bez ohledu na hranice.
human_rights_un_cze_msed_64kb_0142	Článek 20
human_rights_un_cze_msed_64kb_0143	Každému je zaručena svoboda pokojného shromažďování a sdružování.
human_rights_un_cze_msed_64kb_0144	Nikdo nesmí být nucen,
human_rights_un_cze_msed_64kb_0145	aby byl členem nějakého sdružení.
human_rights_un_cze_msed_64kb_0146	Článek 21
human_rights_un_cze_msed_64kb_0147	Každý má právo,
human_rights_un_cze_msed_64kb_0148	aby se účastnil vlády své země přímo nebo prostřednictvím svobodně volených zástupců.
human_rights_un_cze_msed_64kb_0149	Každý má právo vstoupit za rovných podmínek do veřejných služeb své země.
human_rights_un_cze_msed_64kb_0150	Základem vládní moci budiž vůle lidu;
human_rights_un_cze_msed_64kb_0151	ta musí být vyjádřena správně prováděnými volbami,
human_rights_un_cze_msed_64kb_0152	které se mají konat v pravidelných obdobích na základě všeobecného a rovného hlasovacího práva tajným hlasováním nebo jiným rovnocenným postupem,
human_rights_un_cze_msed_64kb_0153	zabezpečujícím svobodu hlasování.
human_rights_un_cze_msed_64kb_0154	Článek 22
human_rights_un_cze_msed_64kb_0155	Každý člověk má jako člen společnosti právo na sociální zabezpečení a nárok na to,
human_rights_un_cze_msed_64kb_0156	aby mu byla národním úsilím i mezinárodní součinností a v souladu s organizací a s prostředky příslušného státu zajištěna hospodářská,
human_rights_un_cze_msed_64kb_0157	sociální a kulturní práva,
human_rights_un_cze_msed_64kb_0158	nezbytná k jeho důstojnosti a k svobodnému rozvoji jeho osobnosti.
human_rights_un_cze_msed_64kb_0159	Článek 23
human_rights_un_cze_msed_64kb_0160	Každý má právo na práci,
human_rights_un_cze_msed_64kb_0161	na svobodnou volbu zaměstnání,
human_rights_un_cze_msed_64kb_0162	na spravedlivé a uspokojivé pracovní podmínky a na ochranu proti nezaměstnanosti.
human_rights_un_cze_msed_64kb_0163	Každý,
human_rights_un_cze_msed_64kb_0164	bez jakéhokoli rozlišování,
human_rights_un_cze_msed_64kb_0165	má nárok na stejný plat za stejnou práci.
human_rights_un_cze_msed_64kb_0166	Každý pracující má právo na spravedlivou a uspokojivou odměnu,
human_rights_un_cze_msed_64kb_0167	která by zajišťovala jemu samému a jeho rodině živobytí odpovídající lidské důstojnosti a která by byla doplněna,
human_rights_un_cze_msed_64kb_0168	kdyby toho bylo třeba,
human_rights_un_cze_msed_64kb_0169	jinými prostředky sociální ochrany.
human_rights_un_cze_msed_64kb_0170	Na ochranu svých zájmů má každý právo zakládat s jinými odborové organizace a přistupovat k nim.
human_rights_un_cze_msed_64kb_0171	Článek 24
human_rights_un_cze_msed_64kb_0172	Každý má právo na odpočinek a na zotavení,
human_rights_un_cze_msed_64kb_0173	zejména také na rozumné vymezení pracovních hodin a na pravidelnou placenou dovolenou.
human_rights_un_cze_msed_64kb_0174	Článek 25
human_rights_un_cze_msed_64kb_0175	Každý má právo na takovou životní úroveň,
human_rights_un_cze_msed_64kb_0176	která by byla s to zajistit jeho zdraví a blahobyt i zdraví a blahobyt jeho rodiny,
human_rights_un_cze_msed_64kb_0177	počítajíc v to zejména výživu,
human_rights_un_cze_msed_64kb_0178	šatstvo,
human_rights_un_cze_msed_64kb_0179	byt a lékařskou péči,
human_rights_un_cze_msed_64kb_0180	jakož i nezbytná sociální opatření;
human_rights_un_cze_msed_64kb_0181	má právo na zabezpečení v nezaměstnanosti,
human_rights_un_cze_msed_64kb_0182	v nemoci,
human_rights_un_cze_msed_64kb_0183	při nezpůsobilosti k práci,
human_rights_un_cze_msed_64kb_0184	při ovdovění,
human_rights_un_cze_msed_64kb_0185	ve stáří nebo v ostatních případech ztráty výdělečných možností,
human_rights_un_cze_msed_64kb_0186	nastalé v důsledku okolností nezávislých na jeho vůli.
human_rights_un_cze_msed_64kb_0187	Mateřství a dětství mají nárok na zvláštní péči a pomoc.
human_rights_un_cze_msed_64kb_0188	Všechny děti,
human_rights_un_cze_msed_64kb_0189	ať manželské nebo nemanželské,
human_rights_un_cze_msed_64kb_0190	požívají stejné sociální ochrany.
human_rights_un_cze_msed_64kb_0191	Článek 26
human_rights_un_cze_msed_64kb_0192	Každý má právo na vzdělání.
human_rights_un_cze_msed_64kb_0193	Vzdělání nechť je bezplatné,
human_rights_un_cze_msed_64kb_0194	alespoň v počátečních a základních stupních.
human_rights_un_cze_msed_64kb_0195	Základní vzdělání je povinné.
human_rights_un_cze_msed_64kb_0196	Technické a odborné vzdělání budiž všeobecně přístupné a rovněž vyšší vzdělání má být stejně přístupné všem podle schopností.
human_rights_un_cze_msed_64kb_0197	Vzdělání má směřovat k plnému rozvoji lidské osobnosti a k posílení úcty k lidským právům a základním svobodám.
human_rights_un_cze_msed_64kb_0198	Má napomáhat k vzájemnému porozumění,
human_rights_un_cze_msed_64kb_0199	snášenlivosti a přátelství mezi všemi národy a všemi skupinami rasovými i náboženskými,
human_rights_un_cze_msed_64kb_0200	jakož i k rozvoji činnosti Spojených národů pro zachování míru.
human_rights_un_cze_msed_64kb_0201	Rodiče mají přednostní právo volit druh vzdělání pro své děti.
human_rights_un_cze_msed_64kb_0202	Článek 27
human_rights_un_cze_msed_64kb_0203	Každý má právo svobodně se účastnit kulturního života společnosti,
human_rights_un_cze_msed_64kb_0204	úžívat plodů umění a podílet se na vědeckém pokroku a jeho výtěžcích.
human_rights_un_cze_msed_64kb_0205	Každý má právo na ochranu morálních a materiálních zájmů,
human_rights_un_cze_msed_64kb_0206	které vyplývají z jeho vědecké,
human_rights_un_cze_msed_64kb_0207	literární nebo umělecké tvorby.
human_rights_un_cze_msed_64kb_0208	Článek 28
human_rights_un_cze_msed_64kb_0209	Každý má právo na to,
human_rights_un_cze_msed_64kb_0210	aby vládl takový sociální a mezinárodní řád,
human_rights_un_cze_msed_64kb_0211	ve kterém by práva a svobody stanovené v této deklaraci byly plně uplatněny.
human_rights_un_cze_msed_64kb_0212	Článek 29
human_rights_un_cze_msed_64kb_0213	Každý má povinnosti vůči společnosti,
human_rights_un_cze_msed_64kb_0214	v níž jediné může volně a plně rozvinout svou osobnost.
human_rights_un_cze_msed_64kb_0215	Každý je při výkonu svých práv a svobod podroben jen takovým omezením,
human_rights_un_cze_msed_64kb_0216	která stanoví zákon výhradně za tím účelem,
human_rights_un_cze_msed_64kb_0217	aby bylo zajištěno uznávání a zachovávání práv a svobod ostatních a vyhověno spravedlivým požadavkům morálky,
human_rights_un_cze_msed_64kb_0218	veřejného pořádku a obecného blaha v demokratické společnosti.
human_rights_un_cze_msed_64kb_0219	Výkon těchto práv a svobod nesmí být v žádném případě v rozporu s cíli a zásadami Spojených národů.
human_rights_un_cze_msed_64kb_0220	Článek 30
human_rights_un_cze_msed_64kb_0221	Nic v této deklaraci nemůže být vykládáno,
human_rights_un_cze_msed_64kb_0222	jako by dávalo kterémukoli státu,
human_rights_un_cze_msed_64kb_0223	kterékoli skupině nebo osobě jakékoli právo vyvíjet činnost nebo dopouštět se činů,
human_rights_un_cze_msed_64kb_0224	které by směřovaly k potlačení některého z práv nebo některé ze svobod v této deklaraci uvedených.
