human_rights_un_ger_robu_64kb_0001	Die Allgemeine Erklärung der Menschenrechte
human_rights_un_ger_robu_64kb_0036	Niemand darf willkürlichen Eingriffen in sein Privatleben, seine Familie, seine Wohnung und seinen Schriftverkehr oder Beeinträchtigungen seiner Ehre und seines Rufes ausgesetzt werden.
human_rights_un_ger_robu_64kb_0037	Jeder hat Anspruch auf rechtlichen Schutz gegen solche Eingriffe oder Beeinträchtigungen.
human_rights_un_ger_robu_64kb_0038	Artikel 13
human_rights_un_ger_robu_64kb_0039	Jeder hat das Recht, sich innerhalb eines Staates frei zu bewegen und seinen Aufenthaltsort frei zu wählen.
human_rights_un_ger_robu_64kb_0040	Jeder hat das Recht, jedes Land, einschließlich seines eigenen, zu verlassen und in sein Land zurückzukehren.
human_rights_un_ger_robu_64kb_0041	Artikel 14
human_rights_un_ger_robu_64kb_0042	Jeder hat das Recht, in anderen Ländern vor Verfolgung Asyl zu suchen und zu genießen.
human_rights_un_ger_robu_64kb_0043	Dieses Recht kann nicht in Anspruch genommen werden im Falle einer Strafverfolgung, die tatsächlich auf Grund von Verbrechen nichtpolitischer Art oder auf Grund von Handlungen erfolgt, die gegen die Ziele und Grundsätze der Vereinten Nationen verstoßen.
human_rights_un_ger_robu_64kb_0044	Artikel 15
human_rights_un_ger_robu_64kb_0045	Jeder hat das Recht auf eine Staatsangehörigkeit.
human_rights_un_ger_robu_64kb_0046	Niemandem darf seine Staatsangehörigkeit willkürlich entzogen noch das Recht versagt werden, seine Staatsangehörigkeit zu wechseln.
human_rights_un_ger_robu_64kb_0047	Artikel 16
human_rights_un_ger_robu_64kb_0048	Heiratsfähige Frauen und Männer haben ohne Beschränkung auf Grund der Rasse, der Staatsangehörigkeit oder der Religion das Recht, zu heiraten und eine Familie zu gründen.
human_rights_un_ger_robu_64kb_0049	Sie haben bei der Eheschließung, während der Ehe und bei deren Auflösung gleiche Rechte.
human_rights_un_ger_robu_64kb_0050	Eine Ehe darf nur bei freier und uneingeschränkter Willenseinigung der künftigen Ehegatten geschlossen werden.
human_rights_un_ger_robu_64kb_0051	Die Familie ist die natürliche Grundeinheit der Gesellschaft und hat Anspruch auf Schutz durch Gesellschaft und Staat.
human_rights_un_ger_robu_64kb_0052	Artikel 17
human_rights_un_ger_robu_64kb_0053	Jeder hat das Recht, sowohl allein als auch in Gemeinschaft mit anderen Eigentum innezuhaben.
human_rights_un_ger_robu_64kb_0054	Niemand darf willkürlich seines Eigentums beraubt werden.
human_rights_un_ger_robu_64kb_0055	Artikel 18
human_rights_un_ger_robu_64kb_0056	Jeder hat das Recht auf Gedanken‐, Gewissens‐ und Religionsfreiheit;
human_rights_un_ger_robu_64kb_0057	dieses Recht schließt die Freiheit ein, seine Religion oder Überzeugung zu wechseln, sowie die Freiheit, seine Religion oder Weltanschauung allein oder in Gemeinschaft mit anderen, öffentlich oder privat durch Lehre, Ausübung, Gottesdienst und Kulthandlungen zu bekennen.
human_rights_un_ger_robu_64kb_0058	Artikel 19
human_rights_un_ger_robu_64kb_0059	Jeder hat das Recht auf Meinungsfreiheit und freie Meinungsäußerung;
human_rights_un_ger_robu_64kb_0060	dieses Recht schließt die Freiheit ein, Meinungen ungehindert anzuhängen sowie über Medien jeder Art und ohne Rücksicht auf Grenzen Informationen und Gedankengut zu suchen, zu empfangen und zu verbreiten.
human_rights_un_ger_robu_64kb_0061	Artikel 20
human_rights_un_ger_robu_64kb_0062	Alle Menschen haben das Recht, sich friedlich zu versammeln und zu Vereinigungen zusammenzuschließen.
human_rights_un_ger_robu_64kb_0063	Niemand darf gezwungen werden, einer Vereinigung anzugehören.
human_rights_un_ger_robu_64kb_0064	Artikel 21
human_rights_un_ger_robu_64kb_0065	Jeder hat das Recht, an der Gestaltung der öffentlichen Angelegenheiten seines Landes unmittelbar oder durch frei gewählte Vertreter mitzuwirken.
human_rights_un_ger_robu_64kb_0066	Jeder hat das Recht auf gleichen Zugang zu öffentlichen Ämtern in seinem Lande.
human_rights_un_ger_robu_64kb_0067	Der Wille des Volkes bildet die Grundlage für die Autorität der öffentlichen Gewalt;
human_rights_un_ger_robu_64kb_0068	dieser Wille muss durch regelmäßige, unverfälschte, allgemeine und gleiche Wahlen mit geheimer Stimmabgabe oder in einem gleichwertigen freien Wahlverfahren zum Ausdruck kommen.
human_rights_un_ger_robu_64kb_0069	Artikel 22
human_rights_un_ger_robu_64kb_0070	Jeder hat als Mitglied der Gesellschaft das Recht auf soziale Sicherheit und Anspruch darauf, durch innerstaatliche Maßnahmen und internationale Zusammenarbeit sowie unter Berücksichtigung der Organisation und der Mittel jedes Staates in den Genuss der wirtschaftlichen, sozialen und kulturellen Rechte zu gelangen, die für seine Würde und die freie Entwicklung seiner Persönlichkeit unentbehrlich sind.
human_rights_un_ger_robu_64kb_0071	Artikel 23
human_rights_un_ger_robu_64kb_0072	Jeder hat das Recht auf Arbeit, auf freie Berufswahl, auf gerechte und befriedigende Arbeitsbedingungen sowie auf Schutz vor Arbeitslosigkeit.
human_rights_un_ger_robu_64kb_0073	Jeder, ohne Unterschied, hat das Recht auf gleichen Lohn für gleiche Arbeit.
human_rights_un_ger_robu_64kb_0074	Jeder, der arbeitet, hat das Recht auf gerechte und befriedigende Entlohnung, die ihm und seiner Familie eine der menschlichen Würde entsprechende Existenz sichert, gegebenenfalls ergänzt durch andere soziale Schutzmaßnahmen.
human_rights_un_ger_robu_64kb_0075	Jeder hat das Recht, zum Schutz seiner Interessen Gewerkschaften zu bilden und solchen beizutreten.
human_rights_un_ger_robu_64kb_0076	Artikel 24
human_rights_un_ger_robu_64kb_0077	Jeder hat das Recht auf Erholung und Freizeit und insbesondere auf eine vernünftige Begrenzung der Arbeitszeit und regelmäßigen bezahlten Urlaub.
human_rights_un_ger_robu_64kb_0078	Artikel 25
human_rights_un_ger_robu_64kb_0079	Jeder hat das Recht auf einen Lebensstandard, der seine und seiner Familie Gesundheit und Wohl gewährleistet, einschließlich Nahrung, Kleidung, Wohnung, ärztlicher Versorgung und notwendiger sozialer Leistungen, sowie das Recht auf Sicherheit im Falle von Arbeitslosigkeit, Krankheit, Invalidität oder Verwitwung, im Alter sowie bei anderweitigem Verlust seiner Unterhaltsmittel durch unverschuldete Umstände.
human_rights_un_ger_robu_64kb_0080	Mütter und Kinder haben Anspruch auf besondere Fürsorge und Unterstützung.
human_rights_un_ger_robu_64kb_0081	Alle Kinder, eheliche wie außereheliche, genießen den gleichen sozialen Schutz.
human_rights_un_ger_robu_64kb_0082	Artikel 26
human_rights_un_ger_robu_64kb_0083	Jeder hat das Recht auf Bildung.
human_rights_un_ger_robu_64kb_0084	Die Bildung ist unentgeltlich, zum mindesten der Grundschulunterricht und die grundlegende Bildung.
human_rights_un_ger_robu_64kb_0085	Der Grundschulunterricht ist obligatorisch.
human_rights_un_ger_robu_64kb_0086	Fach‐ und Berufsschulunterricht müssen allgemein verfügbar gemacht werden und der Hochschulunterricht muss allen gleichermaßen entsprechend ihren Fähigkeiten offenstehen.
human_rights_un_ger_robu_64kb_0087	Die Bildung muss auf die volle Entfaltung der menschlichen Persönlichkeit und auf die Stärkung der Achtung vor den Menschenrechten und Grundfreiheiten gerichtet sein.
human_rights_un_ger_robu_64kb_0088	Sie muss zu Verständnis, Toleranz und Freundschaft zwischen allen Nationen und allen rassischen oder religiösen Gruppen beitragen und der Tätigkeit der Vereinten Nationen für die Wahrung des Friedens förderlich sein.
human_rights_un_ger_robu_64kb_0089	Die Eltern haben ein vorrangiges Recht, die Art der Bildung zu wählen, die ihren Kindern zuteilwerden soll.
human_rights_un_ger_robu_64kb_0090	Artikel 27
human_rights_un_ger_robu_64kb_0091	Jeder hat das Recht, am kulturellen Leben der Gemeinschaft frei teilzunehmen, sich an den Künsten zu erfreuen und am wissenschaftlichen Fortschritt und dessen Errungenschaften teilzuhaben.
human_rights_un_ger_robu_64kb_0092	Jeder hat das Recht auf Schutz der geistigen und materiellen Interessen, die ihm als Urheber von Werken der Wissenschaft, Literatur oder Kunst erwachsen.
human_rights_un_ger_robu_64kb_0093	Artikel 28
human_rights_un_ger_robu_64kb_0094	Jeder hat Anspruch auf eine soziale und internationale Ordnung, in der die in dieser Erklärung verkündeten Rechte und Freiheiten voll verwirklicht werden können.
human_rights_un_ger_robu_64kb_0095	Artikel 29
human_rights_un_ger_robu_64kb_0096	Jeder hat Pflichten gegenüber der Gemeinschaft, in der allein die freie und volle Entfaltung seiner Persönlichkeit möglich ist.
human_rights_un_ger_robu_64kb_0097	Jeder ist bei der Ausübung seiner Rechte und Freiheiten nur den Beschränkungen unterworfen, die das Gesetz ausschließlich zu dem Zweck vorsieht, die Anerkennung und Achtung der Rechte und Freiheiten anderer zu sichern und den gerechten Anforderungen der Moral, der öffentlichen Ordnung und des allgemeinen Wohles in einer demokratischen Gesellschaft zu genügen.
human_rights_un_ger_robu_64kb_0098	Diese Rechte und Freiheiten dürfen in keinem Fall im Widerspruch zu den Zielen und Grundsätzen der Vereinten Nationen ausgeübt werden.
human_rights_un_ger_robu_64kb_0099	Artikel 30
human_rights_un_ger_robu_64kb_0100	Keine Bestimmung dieser Erklärung darf dahin ausgelegt werden, dass sie für einen Staat, eine Gruppe oder eine Person irgendein Recht begründet, eine Tätigkeit auszuüben oder eine Handlung zu begehen, welche die Beseitigung der in dieser Erklärung verkündeten Rechte und Freiheiten zum Ziel hat.
