human_rights_un_eo_ac_64kb_0001	Universala Deklaracio de Homaj Rajtoj
human_rights_un_eo_ac_64kb_0012	La Ĝenerala Asembleo,
human_rights_un_eo_ac_64kb_0013	Proklamas tiun ĉi Universalan Deklaracion de Homaj Rajtoj kiel komunan celon de atingo por ĉiuj popoloj kaj ĉiuj nacioj, por tio, ke ĉiu individuo kaj ĉiu organo de la socio, konstante atentante ĉi tiun Deklaracion, per instruado kaj edukado strebu al respektigo de tiuj ĉi rajtoj kaj liberecoj, kaj per laŭgradaj paŝoj naciaj kaj internaciaj certigu ilian universalan kaj efektivan agnoskon kaj observadon, same tiel inter la popoloj de la Ŝtatoj-Membroj mem, kiel inter la popoloj de teritorioj sub ilia jurisdikcio.
human_rights_un_eo_ac_64kb_0014	Artikolo 1
human_rights_un_eo_ac_64kb_0015	Ĉiuj homoj estas denaske liberaj kaj egalaj laŭ digno kaj rajtoj.
human_rights_un_eo_ac_64kb_0016	Ili posedas racion kaj konsciencon, kaj devus konduti unu al alia en spirito de frateco.
human_rights_un_eo_ac_64kb_0017	Artikolo 2
human_rights_un_eo_ac_64kb_0018	Ĉiuj rajtoj kaj liberecoj difinitaj en tiu ĉi Deklaracio validas same por ĉiuj homoj, sen kia ajn diferencigo, ĉu laŭ raso, haŭtkoloro, sekso, lingvo, religio, politika aŭ alia opinio, nacia aŭ socia deveno, posedaĵoj, naskiĝo aŭ alia stato.
human_rights_un_eo_ac_64kb_0019	Plie, nenia diferencigo estu farata surbaze de la politika, jurisdikcia aŭ internacia pozicio de la lando aŭ teritorio, al kiu apartenas la koncerna persono, senkonsidere ĉu ĝi estas sendependa, sub kuratoreco, ne-sinreganta aŭ sub kia ajn alia limigo de la suvereneco.
human_rights_un_eo_ac_64kb_0020	Artikolo 3
human_rights_un_eo_ac_64kb_0021	Ĉiu havas la rajtojn je vivo, libereco kaj persona sekureco.
human_rights_un_eo_ac_64kb_0022	Artikolo 4
human_rights_un_eo_ac_64kb_0023	Neniu estu tenata en sklaveco aŭ servuteco;
human_rights_un_eo_ac_64kb_0024	sklaveco kaj sklavkomerco estu malpermesitaj en ĉiuj siaj formoj.
human_rights_un_eo_ac_64kb_0025	Artikolo 5
human_rights_un_eo_ac_64kb_0026	Neniu suferu torturon aŭ kruelan, nehoman aŭ sendignigan traktadon aŭ punon.
human_rights_un_eo_ac_64kb_0027	Artikolo 6
human_rights_un_eo_ac_64kb_0028	Ĉiu rajtas esti ĉie agnoskita jure kiel persono.
human_rights_un_eo_ac_64kb_0029	Artikolo 7
human_rights_un_eo_ac_64kb_0030	Ĉiuj homoj estas jure egalaj, kaj rajtas sen diskriminacio al egala jura protekto.
human_rights_un_eo_ac_64kb_0031	Ĉiuj rajtas ricevi egalan protekton kontraŭ kia ajn diskriminacio, kiu kontraŭas tiun ĉi Deklaracion, kaj kontraŭ kia ajn instigo al tia diskriminacio.
human_rights_un_eo_ac_64kb_0032	Artikolo 8
human_rights_un_eo_ac_64kb_0033	Ĉiu rajtas ricevi de la kompetentaj naciaj tribunaloj efikan riparon pro agoj, kiuj kontraŭas la fundamentajn rajtojn, kiujn li havas laŭ la konstitucio aŭ la leĝoj.
human_rights_un_eo_ac_64kb_0034	Artikolo 9
human_rights_un_eo_ac_64kb_0035	Neniu suferu arbitrajn areston, malliberigon aŭ ekzilon.
human_rights_un_eo_ac_64kb_0036	Artikolo 10
human_rights_un_eo_ac_64kb_0037	Ĉiu en plena egaleco rajtas je justa kaj publika proceso antaŭ sendependa kaj senpartia tribunalo, por prijuĝo de liaj rajtoj kaj devoj kaj de kiu ajn kriminala akuzo kontraŭ li.
human_rights_un_eo_ac_64kb_0038	Artikolo 11
human_rights_un_eo_ac_64kb_0039	Ĉiu akuzita pro punebla faro rajtas, ke oni supozu lin senkulpa, ĝis oni pruvos laŭleĝe lian kulpon en publika proceso, en kiu li ricevis ĉiujn garantiojn necesajn por sia defendo.
human_rights_un_eo_ac_64kb_0040	Neniu estu konsiderata krimkulpa pro kia ajn ago aŭ neago, kiu ne konsistigis puneblan faron, laŭ nacia aŭ internacia juro, en la tempo, kiam ĝi estis farita.
human_rights_un_eo_ac_64kb_0041	Same tiel, ne estu aljuĝita pli severa puno ol tiu, kiu estis aplikebla en la tempo, kiam la punebla faro estis plenumita.
human_rights_un_eo_ac_64kb_0042	Artikolo 12
human_rights_un_eo_ac_64kb_0043	Neniu suferu arbitrajn intervenojn en sian privatecon, familion, hejmon aŭ korespondadon, nek atakojn kontraŭ sia honoro aŭ reputacio.
human_rights_un_eo_ac_64kb_0044	Ĉiu rajtas ricevi juran protekton kontraŭ tiaj intervenoj aŭ atakoj.
human_rights_un_eo_ac_64kb_0045	Artikolo 13
human_rights_un_eo_ac_64kb_0046	Ĉiu havas la rajton libere moviĝi kaj loĝi interne de la limoj de kiu ajn ŝtato.
human_rights_un_eo_ac_64kb_0047	Ĉiu rajtas eliri el kiu ajn lando, inkluzive la propran, kaj reveni en sian landon.
human_rights_un_eo_ac_64kb_0048	Artikolo 14
human_rights_un_eo_ac_64kb_0049	Ĉiu rajtas peti kaj ricevi en aliaj landoj azilon kontraŭ persekuto.
human_rights_un_eo_ac_64kb_0050	Tiu rajto ne estas alvokebla en kazoj de persekutaj akuzoj malfalse levitaj pro ne-politikaj krimoj aŭ pro agoj kontraŭaj al la celoj kaj principoj de Unuiĝintaj Nacioj.
human_rights_un_eo_ac_64kb_0051	Artikolo 15
human_rights_un_eo_ac_64kb_0052	Ĉiu rajtas havi ŝtatanecon.
human_rights_un_eo_ac_64kb_0053	Al neniu estu arbitre forprenita la ŝtataneco, nek rifuzita la rajto ŝanĝi sian ŝtatanecon.
human_rights_un_eo_ac_64kb_0054	Artikolo 16
human_rights_un_eo_ac_64kb_0055	Plenaĝaj viroj kaj virinoj, sen ia ajn limigo pro raso, nacieco aŭ religio, rajtas edziĝi kaj fondi familion.
human_rights_un_eo_ac_64kb_0056	Iliaj rajtoj estas egalaj koncerne la geedziĝon, dum la geedzeco kaj koncerne eksedziĝon.
human_rights_un_eo_ac_64kb_0057	Geedziĝo okazu sole laŭ libera kaj plena konsento de la geedziĝontoj.
human_rights_un_eo_ac_64kb_0058	La familio estas la natura kaj fundamenta grupunuo de la socio, kaj ĝi rajtas ricevi protekton de la socio kaj de la Ŝtato.
human_rights_un_eo_ac_64kb_0059	Artikolo 17
human_rights_un_eo_ac_64kb_0060	Ĉiu rajtas proprieti havaĵon, kaj sola kaj en asociiĝo kun aliaj.
human_rights_un_eo_ac_64kb_0061	Al neniu estu arbitre forprenita lia proprieto.
human_rights_un_eo_ac_64kb_0062	Artikolo 18
human_rights_un_eo_ac_64kb_0063	Ĉiu havas la rajton je libereco de penso, konscienco kaj religio;
human_rights_un_eo_ac_64kb_0064	tiu ĉi rajto inkluzivas la liberecon ŝanĝi sian religion aŭ kredon, kaj liberecon manifesti, ĉu sola ĉu kune kun aliaj, ĉu publike ĉu private, sian religion aŭ kredon per instruado, praktikado, adorado kaj observado.
human_rights_un_eo_ac_64kb_0065	Artikolo 19
human_rights_un_eo_ac_64kb_0066	Ĉiu havas la rajton je libereco de opinio kaj esprimado;
human_rights_un_eo_ac_64kb_0067	ĉi tiu rajto inkluzivas la liberecon havi opiniojn sen intervenoj de aliaj, kaj la rajton peti, ricevi kaj havigi informojn kaj ideojn per kiu ajn rimedo kaj senkonsidere pri la landlimoj.
human_rights_un_eo_ac_64kb_0068	Artikolo 20
human_rights_un_eo_ac_64kb_0069	Ĉiu havas la rajton je libereco de pacema kunvenado kaj asociiĝo.
human_rights_un_eo_ac_64kb_0070	Neniu estu devigita aparteni al asocio.
human_rights_un_eo_ac_64kb_0071	Artikolo 21
human_rights_un_eo_ac_64kb_0072	Ĉiu homo rajtas partopreni la regadon de sia lando, aŭ rekte aŭ pere de libere elektitaj reprezentantoj.
human_rights_un_eo_ac_64kb_0073	Ĉiu rajtas je egala aliro al publika servo en sia lando.
human_rights_un_eo_ac_64kb_0074	La volo de la popolo estu la bazo de la aŭtoritato de la registaro;
human_rights_un_eo_ac_64kb_0075	tiu volo estu esprimata per regulaj kaj aŭtentikaj elektoj, kiuj okazu per universala kaj egala balotrajto, kaj per sekreta voĉdono aŭ ekvivalentaj liberaj voĉdonaj proceduroj.
human_rights_un_eo_ac_64kb_0076	Artikolo 22
human_rights_un_eo_ac_64kb_0077	Ĉiu, kiel membro de la socio, havas rajton je socia sekureco kaj povas postuli la realigon, per naciaj klopodoj kaj internacia kunlaboro, kaj konforme al la organizo kaj disponeblaj rimedoj de ĉiu Ŝtato, de tiuj ekonomiaj, sociaj kaj kulturaj rajtoj, kiuj estas nepre necesaj por lia digno kaj por la libera disvolviĝo de lia personeco.
human_rights_un_eo_ac_64kb_0078	Artikolo 23
human_rights_un_eo_ac_64kb_0079	Ĉiu havas rajton je laboro, je libera elekto de sia okupo, je justaj kaj favoraj laborkondiĉoj kaj je protekto kontraŭ senlaboreco.
human_rights_un_eo_ac_64kb_0080	Ĉiu, sen ia ajn diskriminacio, rajtas ricevi egalan salajron pro egala laboro.
human_rights_un_eo_ac_64kb_0081	Ĉiu, kiu laboras, rajtas ricevi justan kaj favoran kompenson, kiu certigu por li mem kaj por lia familio ekziston konforman al homa digno, kaj kiun suplementu, laŭnecese, aliaj rimedoj de socia protekto.
human_rights_un_eo_ac_64kb_0082	Ĉiu rajtas formi kaj aliĝi sindikatojn por protekto de siaj interesoj.
human_rights_un_eo_ac_64kb_0083	Artikolo 24
human_rights_un_eo_ac_64kb_0084	Ĉiu havas rajton je ripozo kaj libertempo, inkluzive racian limigon de la laborhoroj kaj periodajn feriojn kun salajro.
human_rights_un_eo_ac_64kb_0085	Artikolo 25
human_rights_un_eo_ac_64kb_0086	Ĉiu havas rajton je vivnivelo adekvata por la sano kaj bonfarto de si mem kaj de sia familio, inkluzive de nutraĵo, vestaĵoj, loĝejo kaj medicina prizorgo kaj necesaj sociaj servoj, kaj la rajton je sekureco en okazo de senlaboreco, malsano, malkapablo, vidvineco, maljuneco aŭ alia perdo de la vivrimedoj pro cirkonstancoj ekster sia povo.
human_rights_un_eo_ac_64kb_0087	Patrineco kaj infaneco rajtigas al specialaj prizorgoj kaj helpo.
human_rights_un_eo_ac_64kb_0088	Ĉiuj infanoj, egale ĉu ili naskiĝis en aŭ ekster geedzeco, ricevu saman socian protekton.
human_rights_un_eo_ac_64kb_0089	Artikolo 26
human_rights_un_eo_ac_64kb_0090	Ĉiu havas rajton je edukiĝo.
human_rights_un_eo_ac_64kb_0091	La edukado estu senpaga, almenaŭ en la elementa kaj fundamenta stadioj.
human_rights_un_eo_ac_64kb_0092	La elementa edukado estu deviga.
human_rights_un_eo_ac_64kb_0093	La teknika kaj porprofesia edukado estu ĝenerale akirebla, kaj pli alta edukado estu egale akirebla por ĉiuj laŭ ties meritoj.
human_rights_un_eo_ac_64kb_0094	Edukado celu la plenan disvolvon de la homa personeco kaj plifortigon de la respekto al la homaj rajtoj kaj fundamentaj liberecoj.
human_rights_un_eo_ac_64kb_0095	Ĝi kreskigu komprenon, toleron kaj amikecon inter ĉiuj nacioj, rasaj aŭ religiaj grupoj, kaj antaŭenigu la agadon de Unuiĝintaj Nacioj por konservo de paco.
human_rights_un_eo_ac_64kb_0096	Gepatroj havas unuavican rajton elekti la specon de la edukado, kiun ricevu iliaj infanoj.
human_rights_un_eo_ac_64kb_0097	Artikolo 27
human_rights_un_eo_ac_64kb_0098	Ĉiu rajtas libere partopreni la kulturan vivon de la komunumo, ĝui la artojn kaj partopreni sciencan progreson kaj ĝiajn fruktojn.
human_rights_un_eo_ac_64kb_0099	Ĉiu havas rajton je protekto de la moralaj kaj materialaj interesoj rezultantaj el eventualaj sciencaj, literaturaj aŭ artaj produktaĵoj, kiujn li aŭtoris.
human_rights_un_eo_ac_64kb_0100	Artikolo 28
human_rights_un_eo_ac_64kb_0101	Ĉiu havas rajton je socia kaj internacia organizo, en kiu la rajtoj kaj liberecoj difinitaj en ĉi tiu Deklaracio povas esti plene realigitaj.
human_rights_un_eo_ac_64kb_0102	Artikolo 29
human_rights_un_eo_ac_64kb_0103	Ĉiu havas devojn al la komunumo, en kiu, sole, estas ebla la libera kaj plena disvolviĝo de lia personeco.
human_rights_un_eo_ac_64kb_0104	En la uzado de siaj rajtoj kaj liberecoj, ĉiu estu subigita sole al tiuj limigoj, kiuj estas jure difinitaj ekskluzive kun la celo certigi adekvatan rekonon kaj respekton por la rajtoj kaj liberecoj de aliaj kaj por konformiĝi al justaj postuloj de moralo, publika ordo kaj ĝenerala bonfarto en demokrata socio.
human_rights_un_eo_ac_64kb_0105	Tiuj ĉi rajtoj kaj liberecoj estas en neniu okazo efektivigeblaj kontraŭe al la celoj kaj principoj de Unuiĝintaj Nacioj.
human_rights_un_eo_ac_64kb_0106	Artikolo 30
human_rights_un_eo_ac_64kb_0107	Nenio en ĉi tiu Deklaracio estu interpretita kiel implico, ke iu ajn Ŝtato, grupo aŭ persono iel ajn rajtas entrepreni ian ajn agadon aŭ plenumi ian ajn agon, kiu celus detrui kiun ajn el la rajtoj kaj liberecoj ĉi-ene difinitaj.
