human_rights_un_dut_mb_64kb_0001	UNIVERSELE VERKLARING VAN DE RECHTEN VAN DE MENS
human_rights_un_dut_mb_64kb_0087	Een ieder heeft recht op onderwijs;
human_rights_un_dut_mb_64kb_0088	het onderwijs zal kosteloos zijn, althans wat het lager en basisonderwijs betreft.
human_rights_un_dut_mb_64kb_0089	Het lager onderwijs zal verplicht zijn.
human_rights_un_dut_mb_64kb_0090	Ambachtsonderwijs en beroepsopleiding zullen algemeen beschikbaar worden gesteld.
human_rights_un_dut_mb_64kb_0091	Hoger onderwijs zal openstaan voor een ieder, die daartoe de begaafdheid bezit.
human_rights_un_dut_mb_64kb_0092	Het onderwijs zal gericht zijn op de volle ontwikkeling van de menselijke persoonlijkheid en op de versterking van de eerbied voor de rechten van de mens en de fundamentele vrijheden.
human_rights_un_dut_mb_64kb_0093	Het zal het begrip, de verdraagzaamheid en de vriendschap onder alle naties, rassen of godsdienstige groepen bevorderen en het zal de werkzaamheden van de Verenigde Naties voor de handhaving van de vrede steunen.
human_rights_un_dut_mb_64kb_0094	Aan de ouders komt in de eerste plaats het recht toe om de soort van opvoeding en onderwijs te kiezen, welke aan hun kinderen zal worden gegeven.
human_rights_un_dut_mb_64kb_0095	Artikel 27
human_rights_un_dut_mb_64kb_0096	Een ieder heeft het recht om vrijelijk deel te nemen aan het culturele leven van de gemeenschap, om te genieten van kunst en om deel te hebben aan wetenschappelijke vooruitgang en de vruchten daarvan.
human_rights_un_dut_mb_64kb_0097	Een ieder heeft het recht op de bescherming van de geestelijke en materiële belangen, voortspruitende uit een wetenschappelijk, letterkundig of artistiek werk, dat hij heeft voortgebracht.
human_rights_un_dut_mb_64kb_0098	Artikel 28
human_rights_un_dut_mb_64kb_0099	Een ieder heeft recht op het bestaan van een zodanige maatschappelijke en internationale orde, dat de rechten en vrijheden, in deze Verklaring genoemd, daarin ten volle kunnen worden verwezenlijkt.
human_rights_un_dut_mb_64kb_0100	Artikel 29
human_rights_un_dut_mb_64kb_0101	Een ieder heeft plichten jegens de gemeenschap, zonder welke de vrije en volledige ontplooiing van zijn persoonlijkheid niet mogelijk is.
human_rights_un_dut_mb_64kb_0102	In de uitoefening van zijn rechten en vrijheden zal een ieder slechts onderworpen zijn aan die beperkingen, welke bij de wet zijn vastgesteld en wel uitsluitend ter verzekering van de onmisbare erkenning en eerbiediging van de rechten en vrijheden van anderen en om te voldoen aan de gerechtvaardigde eisen van de moraliteit, de openbare orde en het algemeen welzijn in een democratische gemeenschap.
human_rights_un_dut_mb_64kb_0103	Deze rechten en vrijheden mogen in geen geval worden uitgeoefend in strijd met de doeleinden en beginselen van de Verenigde Naties.
human_rights_un_dut_mb_64kb_0104	Artikel 30
human_rights_un_dut_mb_64kb_0105	Geen bepaling in deze Verklaring zal zodanig mogen worden uitgelegd, dat welke Staat, groep of persoon dan ook, daaraan enig recht kan ontlenen om iets te ondernemen of handelingen van welke aard ook te verrichten, die vernietiging van een van de rechten en vrijheden, in deze Verkaring genoemd, ten doel hebben.
