human_rights_un_ger_robu_64kb_0001	di algemaɪnɛ ɛʁklɛʁʊŋ dɛʁ mɛnʃɛnʁɛktɛ
human_rights_un_ger_robu_64kb_0012	dɛs vˈaitərən dˈarf kaɪn ʊntɛʁʃit ɡəmaxt vˈeːrdən aʊf ɡrˈʊnt dɛʁ politiʃɛn rˈɛxtlɪxən ˈoːdər ɪntərnatsiːoːnaːlən ʃtɛlʊŋ dɛs lˈandəs ˈoːdər gebits dˈeːm aɪnɛ pɛʁzɔn aŋeøʁt glaɪkgʏltik ɔp dizɛs unabhɛŋɪk ɪst ˈʊntər tʁɔʏandʒhaft ʃteːt kaɪnɛ zɛlbstʁegiʁʊŋ bəzˈɪtst ˈoːdər zˈɔnst ɪn zaɪnɛʁ zɔuveʁɛnitɛt aɪŋɛʃʁɛŋkt ɪst
human_rights_un_ger_robu_64kb_0013	aʁtikɛl 3
human_rights_un_ger_robu_64kb_0014	jedɛʁ hat das ʁɛkt aʊf lebɛn frˈaihait ˈʊnt zɪkɛʁhaɪt dɛʁ pɛrzˈoːn
human_rights_un_ger_robu_64kb_0015	aʁtikɛl 4
human_rights_un_ger_robu_64kb_0016	nˈiːmant dˈarf ɪn sklaveʁaɪ ˈoːdər laɪbaɪgɛnʃaft ɡəhaltən vˈeːrdən
human_rights_un_ger_robu_64kb_0017	sklaveʁaɪ ˈʊnt sklavɛnhandɛl zɪnt ɪn alɛn ˈiːrən fɔʁmɛn vɛʁboten
human_rights_un_ger_robu_64kb_0018	aʁtikɛl 5
human_rights_un_ger_robu_64kb_0019	nˈiːmant dˈarf dɛʁ fˈɔltər ˈoːdər gʁaʊzamɛʁ ˈʊnmɛnʃlɪxər ˈoːdər ɛrnˈiːdriːɡəndər beandlʊŋ ˈoːdər ʃtrˈaːfə ʊntərvˈɔrfən vˈeːrdən
human_rights_un_ger_robu_64kb_0020	aʁtikɛl 6
human_rights_un_ger_robu_64kb_0021	jedɛʁ hat das ʁɛkt ybeʁal als ʁɛktsfɛɪk ˈanɛrkant tsˈuː vˈeːrdən
human_rights_un_ger_robu_64kb_0022	aʁtikɛl 7
human_rights_un_ger_robu_64kb_0023	alɛ mˈɛnʃən zɪnt fˈoːr dˈeːm gezɛts glaɪk ˈʊnt habɛn onɛ ʊntɛʁʃit ˈanʃprʊx aʊf glaɪkɛn ʃʊts dˈʊrx das ɡəzˈɛts
human_rights_un_ger_robu_64kb_0024	alɛ habɛn ˈanʃprʊx aʊf glaɪkɛn ʃʊts gegɛn jedɛ dɪskʁiminiʁʊŋ di gegɛn dizɛ ɛʁklɛʁʊŋ fɛrʃtœst ˈʊnt gegɛn jedɛ ˈaufhɛtsʊŋ tsˈuː aɪnɛʁ dˈeːrˈaːrtɪɡən dɪskʁiminiʁʊng
human_rights_un_ger_robu_64kb_0025	aʁtikɛl 8
human_rights_un_ger_robu_64kb_0026	jedɛʁ hat ˈanʃprʊx aʊf aɪnɛn vˈɪrkzaːmən ʁɛktsbeɛlf bˈai dɛn tsʊstɛndigɛn ˈɪnərʃtaːtlɪxən ɡərˈɪxtən gegɛn handlʊŋɛn dˈʊrx di zaɪnɛ ˈiːm nax dɛʁ vɛʁfasʊŋ ˈoːdər nax dˈeːm gezɛts tsˈuːʃteːəndən gʁʊndʁɛktɛ fɛrlˈɛtst vˈeːrdən
human_rights_un_ger_robu_64kb_0027	aʁtikɛl 9
human_rights_un_ger_robu_64kb_0028	nˈiːmant dˈarf wɪlkʏʁlɪk fɛstgenɔmen ɪn haft ɡəhaltən ˈoːdər dɛs lˈandəs fɛrviːzən vˈeːrdən
human_rights_un_ger_robu_64kb_0029	aʁtikɛl 10
human_rights_un_ger_robu_64kb_0030	jedɛʁ hat bˈai dɛʁ fɛststɛlʊŋ zaɪnɛʁ ʁɛktɛ ˈʊnt pflˈɪxtən zoːviː bˈai aɪnɛʁ gegɛn ˈiːn ɛrhˈoːbənən ʃtrˈaːfrɛxtlɪxən bɛʃʊldigʊŋ ɪn vɔlɛʁ glaɪkhaɪt ˈanʃprʊx aʊf aɪn ɡərˈɛxtəs ˈʊnt œfɛntlɪkɛs vɛʁfaʁɛn fˈoːr ˈainəm unabhɛŋigɛn ˈʊnt ˈʊnpartaiɪʃən geʁɪkt
human_rights_un_ger_robu_64kb_0031	aʁtikɛl 1
human_rights_un_ger_robu_64kb_0032	jedɛʁ dɛʁ vˈeːɡən aɪnɛʁ ʃtrˈaːfbaːrən handlʊŋ bəʃˈʊldɪxt wɪʁd hat das ʁɛkt als ˈʊnʃʊldɪx tsˈuː gɛltɛn zoːlaŋə zaɪnɛ ʃʊlt nɪkt ɪn ˈainəm œfɛntlɪkɛn fɛrfˈaːrən ɪn dˈeːm ɛʁ alɛ fʏʁ zaɪnɛ vɛʁtaɪdigʊŋ nˈoːtvɛndɪɡən gaʁantiɛn ɡəhaːpt hat gemɛs dˈeːm gezɛts nˈaːxɡəviːzən ɪst
human_rights_un_ger_robu_64kb_0033	nˈiːmant dˈarf vˈeːɡən aɪnɛʁ handlʊŋ ˈoːdər ʊntɛʁlasʊŋ fɛrˈʊrtailt vˈeːrdən di tsʊʁ tsaɪt iʁɛʁ bəɡˈeːʊŋ nax ˈɪnərʃtaːtlɪxəm ˈoːdər ɪntərnatsiːoːnaːləm ʁɛkt nɪkt ʃtrˈaːfbaːr vˈar
human_rights_un_ger_robu_64kb_0034	ˈeːbənzoː dˈarf kaɪnɛ ʃvˈeːrərə ʃtrˈaːfə als di tsʊm tsaɪtpʊŋkt dɛʁ bəɡˈeːʊŋ dɛʁ ʃtrˈaːfbaːrən handlʊŋ ˈanɡədrˈoːtə ʃtrˈaːfə vɛʁhɛŋt vˈeːrdən
human_rights_un_ger_robu_64kb_0035	aʁtikɛl 12
human_rights_un_ger_robu_64kb_0036	nˈiːmant dˈarf wɪlkʏʁlɪkɛn ˈainɡrɪfən ɪn zaɪn priːvaːtleːbən zaɪnɛ famili zaɪnɛ wonʊŋ ˈʊnt zaɪnɛn ʃrˈɪftfɛrkeːr ˈoːdər beɪntʁɛktigʊŋɛn zaɪnɛʁ ˈeːrə ˈʊnt zˈainəs rˈuːfəs aʊsgezɛtst vˈeːrdən
human_rights_un_ger_robu_64kb_0037	jedɛʁ hat ˈanʃprʊx aʊf rˈɛxtlɪxən ʃʊts gegɛn zˈɔlxə ˈainɡrɪfə ˈoːdər beɪntʁɛktigʊŋɛn
human_rights_un_ger_robu_64kb_0038	aʁtikɛl 13
human_rights_un_ger_robu_64kb_0039	jedɛʁ hat das ʁɛkt zɪk ˈɪnərhalp ˈainəs ʃtatɛs fʁaɪ tsˈuː bəveːɡən ˈʊnt zaɪnɛn ˈaufɛnthaltsɔrt fʁaɪ tsˈuː wɛlɛn
human_rights_un_ger_robu_64kb_0040	jedɛʁ hat das ʁɛkt jedɛs lˈant aɪnʃlislɪk zˈainəs aɪgenɛn tsˈuː vɛʁlasɛn ˈʊnt ɪn zaɪn lant tsuʁʏktsukeʁɛn
human_rights_un_ger_robu_64kb_0041	aʁtikɛl 14
human_rights_un_ger_robu_64kb_0042	jedɛʁ hat das ʁɛkt ɪn andeʁɛn lɛndɛʁn fˈoːr fɛrfˈɔlɡʊŋ azyːl tsˈuː zuːxən ˈʊnt tsˈuː genisɛn
human_rights_un_ger_robu_64kb_0043	dˈiːzəs ʁɛkt kan nɪkt ɪn ˈanʃprʊx genɔmɛn vˈeːrdən ɪm falɛ aɪnɛʁ ʃtʁafvɛʁfɔlgʊŋ di tatzɛklɪk aʊf ɡrˈʊnt vɔn vɛʁbʁɛkɛn nɪktpoːliːtɪʃər aʁt ˈoːdər aʊf ɡrˈʊnt vɔn handlʊŋən ɛrfˈɔlkt di gegɛn di tsˈiːlə ˈʊnt gʁʊndzɛtsɛ dɛʁ veʁaɪntɛn natsɪonɛn vɛʁstosɛn
human_rights_un_ger_robu_64kb_0044	aʁtikɛl 15
human_rights_un_ger_robu_64kb_0045	jedɛʁ hat das ʁɛkt aʊf aɪnɛ ʃtatzaŋeøʁɪgkaɪt
human_rights_un_ger_robu_64kb_0046	nˈiːmandəm dˈarf zaɪnɛ ʃtatzaŋeøʁɪgkaɪt wɪlkʏʁlɪk ɛnttsˈoːɡən nɔx das ʁɛkt fɛrzˈaːkt vˈeːrdən zaɪnɛ ʃtatzaŋeøʁɪgkaɪt tsˈuː vˈɛksəln
human_rights_un_ger_robu_64kb_0047	aʁtikɛl 16
human_rights_un_ger_robu_64kb_0048	haɪʁatsfɛigɛ fʁaʊɛn ˈʊnt mɛnɛʁ habɛn onɛ bɛʃʁɛŋkʊŋ aʊf ɡrˈʊnt dɛʁ ʁasɛ dɛʁ ʃtatzaŋeøʁɪgkaɪt ˈoːdər dɛʁ ʁeligɪɔn das ʁɛkt tsˈuː hˈairaːtən ˈʊnt aɪnɛ famili tsˈuː gʁʏndɛn
human_rights_un_ger_robu_64kb_0049	zˈiː habɛn bˈai dɛʁ eɛʃlisʊŋ wɛʁɛnt dɛʁ ˈeːə ˈʊnt bˈai dˈeːrən aʊfløzʊŋ glaɪkɛ ʁɛktɛ
human_rights_un_ger_robu_64kb_0050	aɪnɛ ˈeːə dˈarf nʊʁ bˈai fʁaɪɛʁ ˈʊnt unaɪŋɛʃʁɛŋktɛʁ vˈɪlənsainɪɡʊŋ dɛʁ kʏnftigɛn ˈeːəɡatən gɛʃlɔsɛn vˈeːrdən
human_rights_un_ger_robu_64kb_0051	di famili ɪst di natʏʁlɪkɛ gʁʊndaɪnhaɪt dɛʁ gezɛlʃaft ˈʊnt hat ˈanʃprʊx aʊf ʃʊts dˈʊrx gezɛlʃaft ˈʊnt ʃtat
human_rights_un_ger_robu_64kb_0052	aʁtikɛl 17
human_rights_un_ger_robu_64kb_0053	jedɛʁ hat das ʁɛkt zoːvˈoːl alaɪn als aux ɪn gemaɪnʃaft mɪt andeʁɛn aɪgɛntʊm ˈɪnətsuːhaːbən
human_rights_un_ger_robu_64kb_0054	nˈiːmant dˈarf wɪlkʏʁlɪk zˈainəs ˈaiɡəntuːms bərˈaupt vˈeːrdən
human_rights_un_ger_robu_64kb_0055	aʁtikɛl 18
human_rights_un_ger_robu_64kb_0056	jedɛʁ hat das ʁɛkt aʊf gedaŋkɛn ɡəvˈɪsəns ˈʊnt reːliːɡiːoːnsfraihait
human_rights_un_ger_robu_64kb_0057	dizɛs ʁɛkt ʃlist di frˈaihait ˈain zaɪnɛ ʁeligɪɔn ˈoːdər ybɛʁtsɔʏgʊŋ tsˈuː vˈɛksəln zoːviː di fʁaɪaɪt zaɪnɛ ʁeligɪɔn ˈoːdər vɛltanʃauʊŋ alaɪn ˈoːdər ɪn gemaɪnʃaft mɪt andeʁɛn œfɛntlɪk ˈoːdər priːvˈaːt dˈʊrx leʁɛ aʊzybʊŋ ɡˈɔtəsdiːnst ˈʊnt kʊlthandlʊŋən tsˈuː bəkˈɛnən
human_rights_un_ger_robu_64kb_0058	aʁtikɛl 19
human_rights_un_ger_robu_64kb_0059	jedɛʁ hat das ʁɛkt aʊf mainʊŋsfraihait ˈʊnt frˈaiə maɪnʊŋzɔʏseʁʊŋ
human_rights_un_ger_robu_64kb_0060	dizɛs ʁɛkt ʃlist di frˈaihait ˈain maɪnʊŋɛn ˈʊnɡəhɪndərt ˈantsuːhɛŋɛn zoːviː ybɛʁ medin jedɛʁ aʁt ˈʊnt onɛ ʁʏkzɪkt aʊf ɡrˈɛntsən ɪnfɔʁmatsɪonɛn ˈʊnt ɡədˈaŋkənɡuːt tsˈuː zuːxən tsˈuː ɛmpfaŋɛn ˈʊnt tsˈuː fɛrbrˈaitən
human_rights_un_ger_robu_64kb_0061	aʁtikɛl 20
human_rights_un_ger_robu_64kb_0062	alɛ mˈɛnʃən habɛn das ʁɛkt zɪk frˈiːtlɪx tsˈuː vɛʁzamɛln ˈʊnt tsˈuː veʁaɪnigʊŋɛn tsuːzˈaməntsuːʃlisɛn
human_rights_un_ger_robu_64kb_0063	nˈiːmant dˈarf ɡətsvʊŋən vˈeːrdən aɪnɛʁ veʁaɪnigʊŋ antsugeøʁɛn
human_rights_un_ger_robu_64kb_0064	aʁtikɛl 21
human_rights_un_ger_robu_64kb_0065	jedɛʁ hat das ʁɛkt an dɛʁ ɡəʃtaltʊŋ dɛʁ œfɛntlɪkɛn aŋelegɛnhaɪtɛn zˈainəs lˈandəs ʊnmɪtɛlbaʁ ˈoːdər dˈʊrx fʁaɪ gewɛltɛ vɛʁtʁetɛʁ mˈɪttsuːvɪrkən
human_rights_un_ger_robu_64kb_0066	jedɛʁ hat das ʁɛkt aʊf glaɪkɛn tsˈuːɡaŋ tsˈuː œfɛntlɪkɛn ɛmtɛʁn ɪn zˈainəm lantˈɛ
human_rights_un_ger_robu_64kb_0067	dɛʁ wɪlɛ dɛs fˈɔlkəs bɪldət di gʁʊndlagɛ fʏʁ di aʊtoʁitɛt dɛʁ œfɛntlɪkɛn gewalt
human_rights_un_ger_robu_64kb_0068	dizɛʁ wɪlɛ mˈʊs dˈʊrx ʁegɛlmɛsigɛ ʊnvɛʁfɛlʃtɛ algemaɪnɛ ˈʊnt glaɪkɛ vˈaːlən mɪt geaɪmɛʁ ʃtimabgabɛ ˈoːdər ɪn ˈainəm ɡlˈaixveːrtɪɡən frˈaiən walvɛʁfaʁɛn tsʊm aʊsdʁʊk kˈɔmən
human_rights_un_ger_robu_64kb_0069	aʁtikɛl 2
human_rights_un_ger_robu_64kb_0070	jedɛʁ hat als mˈɪtɡliːt dɛʁ gezɛlʃaft das ʁɛkt aʊf zotsɪalɛ zɪkɛʁhaɪt ˈʊnt ˈanʃprʊx daʁaʊf dˈʊrx ˈɪnərʃtaːtlɪxə masnamɛn ˈʊnt ɪntɛʁnatsɪonalɛ tsuzamenaʁbaɪt zoːviː ˈʊntər beʁʏkzɪktigʊŋ dɛʁ ɔʁganizatsɪɔn ˈʊnt dɛʁ mˈɪtəl jedɛs ʃtatɛs ɪn dɛn genʊs dɛʁ wɪʁtʃhaftlɪkɛn zoːtsiːˈaːlən ˈʊnt kʊltuːrˈɛlən ʁɛktɛ tsˈuː ɡəlˈaŋən di fʏʁ zaɪnɛ wʏʁdɛ ˈʊnt di frˈaiə ɛntwɪklʊŋ zaɪnɛʁ pɛʁzœnlɪkaɪt ʊnɛntbˈeːrlɪx zˈɪnd
human_rights_un_ger_robu_64kb_0071	aʁtikɛl 23
human_rights_un_ger_robu_64kb_0072	jedɛʁ hat das ʁɛkt aʊf ˈarbait aʊf frˈaiə beʁʊfswal aʊf ɡərˈɛxtə ˈʊnt bəfrˈiːdɪɡəndə aʁbaɪtsbedɪŋʊŋɛn zoːviː aʊf ʃʊts fˈoːr aʁbaɪtslozɪgkaɪt
human_rights_un_ger_robu_64kb_0073	jedɛʁ onɛ ʊntɛʁʃid hat das ʁɛkt aʊf glaɪkɛn lˈoːn fʏʁ glaɪkɛ ˈarbait
human_rights_un_ger_robu_64kb_0074	jedɛʁ dɛʁ arbaitət hat das ʁɛkt aʊf ɡərˈɛxtə ˈʊnt bəfrˈiːdɪɡəndə ɛntlonʊŋ di ˈiːm ˈʊnt zaɪnɛʁ famili aɪnɛ dɛʁ mˈɛnʃlɪxən wʏʁdɛ ɛntʃprɛxəndə ɛksɪstˈɛnts zɪxərt ɡəɡeːbənənfals ɛʁgɛntst dˈʊrx andeʁɛ zotsɪalɛ ʃʊtsmasnamɛn
human_rights_un_ger_robu_64kb_0075	jedɛʁ hat das ʁɛkt tsʊm ʃʊts zaɪnɛʁ ɪntərˈɛsən gewɛʁkʃaftɛn tsˈuː bɪldən ˈʊnt zˈɔlxən bˈaitsuːtreːtən
human_rights_un_ger_robu_64kb_0076	aʁtikɛl 24
human_rights_un_ger_robu_64kb_0077	jedɛʁ hat das ʁɛkt aʊf ɛrhˈoːlʊŋ ˈʊnt fʁaɪtsaɪt ˈʊnt ɪnsbəzˈɔndərə aʊf aɪnɛ vɛʁnʏnftigɛ bəɡrɛntsʊŋ dɛʁ aʁbaɪtstsaɪt ˈʊnt ʁegɛlmɛsigɛn bətsaːltən ˈuːrlaup
human_rights_un_ger_robu_64kb_0078	aʁtikɛl 25
human_rights_un_ger_robu_64kb_0079	jedɛʁ hat das ʁɛkt aʊf aɪnɛn lˈeːbənsʃtandard dɛʁ zaɪnɛ ˈʊnt zaɪnɛʁ famili gezʊndhaɪt ˈʊnt voːl gewɛʁlaɪstɛt aɪnʃlislɪk naʁʊŋ klˈaidʊŋ wonʊŋ ɛʁtstlɪkɛʁ vɛʁzɔʁgʊŋ ˈʊnt nˈoːtvɛndɪɡər zoːtsiːˈaːlər laɪstʊŋɛn zoːviː das ʁɛkt aʊf zɪkɛʁhaɪt ɪm falɛ vɔn aʁbaɪtslozɪgkaɪt krˈaŋkhait ɪnvaliditɛt ˈoːdər vɛʁwɪtwʊŋ ɪm ˈaltər zoːviː bˈai ˈandərvˈaitɪɡəm vɛʁlʊst zaɪnɛʁ ʊntɛʁhaltsmɪtɛl dˈʊrx ˈʊnfɛrʃʊldətə ʊmstɛndɛ
human_rights_un_ger_robu_64kb_0080	mʏtɛʁ ˈʊnt kɪndɛʁ habɛn ˈanʃprʊx aʊf bəzˈɔndərə fʏʁzɔʁgɛ ˈʊnt ʊntɛʁstʏtsʊng
human_rights_un_ger_robu_64kb_0081	alɛ kɪndɛʁ ˈeːəlɪxə vˈiː aʊseʁelɪkɛ genisɛn dɛn glaɪkɛn zoːtsiːˈaːlən ʃˈʊts
human_rights_un_ger_robu_64kb_0082	aʁtikɛl 26
human_rights_un_ger_robu_64kb_0083	jedɛʁ hat das ʁɛkt aʊf bɪldʊng
human_rights_un_ger_robu_64kb_0084	di bɪldʊŋ ɪst unɛntgɛltlɪk tsʊm mˈɪndəstən dɛʁ ɡrˈʊntʃuːlʊntərrɪxt ˈʊnt di ɡrˈʊntleːɡəndə bɪldʊng
human_rights_un_ger_robu_64kb_0085	dɛʁ ɡrˈʊntʃuːlʊntərrɪxt ɪst ɔbligatoʁɪʃ
human_rights_un_ger_robu_64kb_0086	fax ˈʊnt beʁʊfskulʊntərrɪxt mʏsɛn algemaɪn vɛʁfʏgbaʁ ɡəmaxt vˈeːrdən ˈʊnt dɛʁ hɔxʃulʊntərrɪxt mˈʊs alɛn glaɪkɛʁmasɛn ɛntʃprɛxənt ˈiːrən fɛɪgkaɪtɛn ˈɔfənʃteːən
human_rights_un_ger_robu_64kb_0087	di bɪldʊŋ mˈʊs aʊf di fˈɔlə ɛntfˈaltʊŋ dɛʁ mˈɛnʃlɪxən pɛʁzœnlɪkaɪt ˈʊnt aʊf di ʃtɛʁkʊŋ dɛʁ aktʊŋ fˈoːr dɛn mˈɛnʃənrɛxtən ˈʊnt gʁʊndfʁaɪaɪtɛn geʁɪktɛt zˈain
human_rights_un_ger_robu_64kb_0088	zˈiː mˈʊs tsˈuː vɛʁstɛndnɪs toleʁants ˈʊnt fʁɔʏndʒhaft tsvˈɪʃən alɛn natsɪonɛn ˈʊnt alɛn rˈasɪʃən ˈoːdər ʁeligɪøzɛn gʁʊpɛn bˈaitraːɡən ˈʊnt dɛʁ tɛtigkaɪt dɛʁ veʁaɪntɛn natsɪonɛn fʏʁ di vˈaːrʊŋ dɛs fʁidɛns fœʁdɛʁlɪk zˈain
human_rights_un_ger_robu_64kb_0089	di ɛltɛʁn habɛn aɪn fˈoːrraŋɪɡəs ʁɛkt di aʁt dɛʁ bɪldʊŋ tsˈuː wɛlɛn di ˈiːrən kˈɪndərn tsˈuːtailwɛʁdɛn zˈɔl
human_rights_un_ger_robu_64kb_0090	aʁtikɛl 27
human_rights_un_ger_robu_64kb_0091	jedɛʁ hat das ʁɛkt am kʊltuːrˈɛlən lebɛn dɛʁ gemaɪnʃaft fʁaɪ tˈailtsuːneːmən zɪk an dɛn kʏnstɛn tsˈuː ɛrfrˈɔyən ˈʊnt am wɪsɛnʃaftlɪxən fɔʁtʃhʁɪt ˈʊnt dˈɛsən ɛrrˈʊŋənʃaftən tˈailtsuːhaːbən
human_rights_un_ger_robu_64kb_0092	jedɛʁ hat das ʁɛkt aʊf ʃʊts dɛʁ ɡˈaistɪɡən ˈʊnt mateːriːˈɛlən ɪntərɛsˈɛn di ˈiːm als ˈuːrheːbər vɔn vˈɛrkən dɛʁ wɪsɛnʃaft liteʁatʊʁ ˈoːdər kʊnst ɛrvˈakseːn
human_rights_un_ger_robu_64kb_0093	aʁtikɛl 28
human_rights_un_ger_robu_64kb_0094	jedɛʁ hat ˈanʃprʊx aʊf aɪnɛ zotsɪalɛ ˈʊnt ɪntɛʁnatsɪonalɛ ɔʁdnʊŋ ɪn dɛʁ di ɪn dizɛʁ ɛʁklɛʁʊŋ vɛʁkʏndetɛn ʁɛktɛ ˈʊnt frˈaihaitən fɔl fɛrvˈɪrklɪxt vˈeːrdən kœnɛn
human_rights_un_ger_robu_64kb_0095	aʁtikɛl 29
human_rights_un_ger_robu_64kb_0096	jedɛʁ hat pflˈɪxtən gegenybɛʁ dɛʁ gemaɪnʃaft ɪn dɛʁ alaɪn di frˈaiə ˈʊnt fˈɔlə ɛntfˈaltʊŋ zaɪnɛʁ pɛʁzœnlɪkaɪt mœglɪk ɪst
