human_rights_un_eo_ac_64kb_0001	niversala eklaratʃo r omaj aitoj
human_rights_un_eo_ac_64kb_0024	sklaveko kaj sklavkomerko estu malpermesitaj en ʃj siaj formoj
human_rights_un_eo_ac_64kb_0025	rtikolo
human_rights_un_eo_ac_64kb_0026	enʃ sufˈɛndru torturon a kruelan ne∅oman a sendˈiːrɲidʒan traktadon a pnon
human_rights_un_eo_ac_64kb_0027	rtikolo
human_rights_un_eo_ac_64kb_0028	ʃ rajtas esti ie aɲoskita jue kiel persono
human_rights_un_eo_ac_64kb_0029	rtikolo
human_rights_un_eo_ac_64kb_0030	ʃj ∅omoj estas jue euɲɲalai kaj rajtas sen dˈiːrskriminˈaːrtʃo al edʒala jura protekto
human_rights_un_eo_ac_64kb_0031	ʃj rajtas ritʃevi euɲɲalan protekton kontra kia ajn dˈiːrskriminˈaːrtʃo kʃ kontraas tʃn i eklaratʃon kaj kontra kia ajn instiuɡo al tia dˈiːrskriminˈaːrtʃo
human_rights_un_eo_ac_64kb_0032	rtikolo
human_rights_un_eo_ac_64kb_0033	ʃ rajtas ritʃevi r la kompetentaj atʃaj tribualoj efjkan riparon pro auɡoi kʃj kontraas la fundamentajn rajtoin kʃjn li ∅avas la la konstitutʃo a la leoj
human_rights_un_eo_ac_64kb_0034	rtikolo
human_rights_un_eo_ac_64kb_0035	enʃ sufˈɛndru arbitrajn aeston malliberiuɲɲon a ekdzilon
human_rights_un_eo_ac_64kb_0036	rtikolo
human_rights_un_eo_ac_64kb_0037	ʃ en plea eɡaleko rajtas je justa kaj pblika prokeso anta sˈɛnderpenda kaj senpartia tribualo por prijwo r liaj rajtoj kaj rvoj kaj r kʃ ajn krimiala akudzo kontra li
human_rights_un_eo_ac_64kb_0038	rtikolo
human_rights_un_eo_ac_64kb_0039	ʃ akudzita pro pnebla faro rajtas ke oni supodzu lin senkulpa is oni pruvos lalee lian kulpon en pblika prokeso en kʃ li ritʃevis ʃjn dʒarantiojn netʃesajn por sia rfˈɛndedo
human_rights_un_eo_ac_64kb_0040	enʃ estu konsirrata krimkulpa pro kia ajn auɡo a neauɡo kʃ ne konsistidʒs pneblan faron la atʃa a interatʃa juro en la tempo kiam i estis farita
human_rights_un_eo_ac_64kb_0041	ame tiel ne estu aljuita pli severa pno ol tʃ kʃ estis aplikebla en la tempo kiam la pnebla faro estis plenwmita
human_rights_un_eo_ac_64kb_0042	rtikolo
human_rights_un_eo_ac_64kb_0043	enʃ sufˈɛndru arbitrajn intervenojn en sian privatekon familion ∅ejmon a koespondadon nek atakojn kontra sia ∅onoro a eputatʃo
human_rights_un_eo_ac_64kb_0044	ʃ rajtas ritʃevi juran protekton kontra tiaj intervenoj a atakoj
human_rights_un_eo_ac_64kb_0045	rtikolo
human_rights_un_eo_ac_64kb_0046	ʃ ∅avas la rajton libˈeːre movii kaj loi interne r la limoj r kʃ ajn tato
human_rights_un_eo_ac_64kb_0047	ʃ rajtas eliri el kʃ ajn lando inkludzive la propran kaj eveni en sian landon
human_rights_un_eo_ac_64kb_0048	rtikolo
human_rights_un_eo_ac_64kb_0049	ʃ rajtas peti kaj ritʃevi en aliaj landoj adzilon kontra persekuto
human_rights_un_eo_ac_64kb_0050	ʃ rajto ne estas alvokebla en kadzoj r persekutaj akudzoi malfalse levitaj pro nepolitikaj krimoj a pro auɡoi kontraaj al la tʃeloj kaj printʃpoj r nwiintaj atʃoj
human_rights_un_eo_ac_64kb_0051	rtikolo
human_rights_un_eo_ac_64kb_0052	ʃ rajtas ∅avi tatanekon
human_rights_un_eo_ac_64kb_0053	l nenʃ estu arbite forpenita la tataneko nek rifudzita la rajto ani sian tatanekon
human_rights_un_eo_ac_64kb_0054	rtikolo
human_rights_un_eo_ac_64kb_0055	leaaj viroj kaj virinoj sen ia ajn limiuɡo pro raso atʃeko a elidʒo rajtas eddzii kaj fondi familion
human_rights_un_eo_ac_64kb_0056	liaj rajtoj estas euɲɲalai kontʃerne la dʒeeddzion dum la dʒeeddzeko kaj kontʃerne ekseddzion
human_rights_un_eo_ac_64kb_0057	eeddzio okadzu sole la libera kaj plea konsento r la dʒeeddziontoi
human_rights_un_eo_ac_64kb_0058	a familio estas la atura kaj fundamenta ɡrupnwo r la sotʃo kaj i rajtas ritʃevi protekton r la sotʃo kaj r la tato
human_rights_un_eo_ac_64kb_0059	rtikolo
human_rights_un_eo_ac_64kb_0060	ʃ rajtas proprieti ∅avaon kaj sola kaj en asotʃio kun aliaj
human_rights_un_eo_ac_64kb_0061	l nenʃ estu arbite forpenita lia proprieto
human_rights_un_eo_ac_64kb_0062	rtikolo
human_rights_un_eo_ac_64kb_0063	ʃ ∅avas la rajton je libeeko r penso konʃenko kaj elidʒo
human_rights_un_eo_ac_64kb_0064	tʃ i rajto inkludzivas la libeekon ani sian elidʒon a kredon kaj libeekon manifˈɛndsti u sola u kune kun aliaj u pblike u private sian elidʒon a kredon per instruado praktikado adorado kaj observado
human_rights_un_eo_ac_64kb_0065	rtikolo
human_rights_un_eo_ac_64kb_0066	ʃ ∅avas la rajton je libeeko r opinio kaj esprimado
human_rights_un_eo_ac_64kb_0067	i tʃ rajto inkludzivas la libeekon ∅avi opiniojn sen intervenoj r aliaj kaj la rajton peti ritʃevi kaj ∅avidʒ informojn kaj irojn per kʃ ajn rimedo kaj senkonsidˈeːre pri la landlimoj
human_rights_un_eo_ac_64kb_0068	rtikolo
human_rights_un_eo_ac_64kb_0069	ʃ ∅avas la rajton je libeeko r patʃema kunveado kaj asotʃio
human_rights_un_eo_ac_64kb_0070	enʃ estu rvidʒta aparteni al asotʃo
human_rights_un_eo_ac_64kb_0071	rtikolo
human_rights_un_eo_ac_64kb_0072	ʃ ∅omo rajtas partopeni la edʒadon r sia lando a ekte a pˈeːre r libˈeːre elektitaj epedzentantoi
human_rights_un_eo_ac_64kb_0073	ʃ rajtas je edʒala aliro al pblika servo en sia lando
human_rights_un_eo_ac_64kb_0074	a volo r la popolo estu la badzo r la atoritato r la edʒstaro
human_rights_un_eo_ac_64kb_0075	tʃ volo estu esprimata per euɲɲulaj kaj atentikaj elektoj kʃj okadzu per universala kaj edʒala balotrajto kaj per seketa vodono a ekvivalentaj liberaj vodoaj prokeduroj
human_rights_un_eo_ac_64kb_0076	rtikolo
human_rights_un_eo_ac_64kb_0077	ʃ kiel membro r la sotʃo ∅avas rajton je sotʃa sekueko kaj povas postuli la ealidʒon per atʃaj klopodoj kaj interatʃa kunlaboro kaj konforme al la ordʒanidzo kaj dˈiːrsponeblaj rimedoj r ʃ tato r tʃj ekonomiaj sotʃaj kaj kulturaj rajtoj kʃj estas nepe netʃesaj por lia dˈiːrɲo kaj por la libera dˈiːrsvolvio r lia personeko
human_rights_un_eo_ac_64kb_0078	rtikolo
human_rights_un_eo_ac_64kb_0079	ʃ ∅avas rajton je laboro je libera elekto r sia okupo je justaj kaj favoraj laborkondˈiːroj kaj je protekto kontra senlaboeko
human_rights_un_eo_ac_64kb_0080	ʃ sen ia ajn dˈiːrskriminˈaːrtʃo rajtas ritʃevi euɲɲalan salajron pro edʒala laboro
human_rights_un_eo_ac_64kb_0081	ʃ kʃ laboras rajtas ritʃevi justan kaj favoran kompenson kʃ tʃertiuɲɲu por li mem kaj por lia familio ekdziston konforman al ∅oma dˈiːrɲo kaj kʃn suplementu lanetʃese aliaj rimedoj r sotʃa protekto
human_rights_un_eo_ac_64kb_0082	ʃ rajtas formi kaj alii sindˈiːrkatojn por protekto r siaj inteesoj
human_rights_un_eo_ac_64kb_0083	rtikolo
human_rights_un_eo_ac_64kb_0084	ʃ ∅avas rajton je ripodzo kaj libertempo inkludzive ratʃan limiuɡon r la labor∅oroj kaj periodajn fˈɛndriojn kun salajro
human_rights_un_eo_ac_64kb_0085	rtikolo
human_rights_un_eo_ac_64kb_0086	ʃ ∅avas rajton je vivnivelo arkvata por la sano kaj bonfarto r si mem kaj r sia familio inkludzive r nwtrao vestaoj loejo kaj medˈiːrtʃa pridzoruɡo kaj netʃesaj sotʃaj servoj kaj la rajton je sekueko en okadzo r senlaboeko malsano malkapablo vidvineko maljuneko a alia perdo r la vivrimedoj pro tʃrkonstankoj ekster sia povo
human_rights_un_eo_ac_64kb_0087	atrineko kaj infaneko rajtiɡas al spetʃalaj pridzordʒoi kaj ∅elpo
human_rights_un_eo_ac_64kb_0088	ʃj infanoj edʒale u ili askiis en a ekster dʒeeddzeko ritʃevu saman sotʃan protekton
human_rights_un_eo_ac_64kb_0089	rtikolo
human_rights_un_eo_ac_64kb_0090	ʃ ∅avas rajton je edukio
human_rights_un_eo_ac_64kb_0091	a edukado estu senpauɡa almea en la elementa kaj fundamenta stadˈiːroj
human_rights_un_eo_ac_64kb_0092	a elementa edukado estu rviɡa
human_rights_un_eo_ac_64kb_0093	a teknika kaj porprofˈɛndsia edukado estu enerale akiebla kaj pli alta edukado estu edʒale akiebla por ʃj la ties meritoj
human_rights_un_eo_ac_64kb_0094	dukado tʃelu la plenan dˈiːrsvolvon r la ∅oma personeko kaj plifortiuɲɲon r la espekto al la ∅omaj rajtoj kaj fundamentaj libeekoj
human_rights_un_eo_ac_64kb_0095	i keskiuɲɲu kompenon toleron kaj amikekon inter ʃj atʃoj rasaj a elidʒaj ɡrupoj kaj antaeniuɡu la adʒadon r nwiintaj atʃoj por konservo r pako
human_rights_un_eo_ac_64kb_0096	epatroj ∅avas unwavikan rajton elekti la spekon r la edukado kʃn ritʃevu iliaj infanoj
human_rights_un_eo_ac_64kb_0097	rtikolo
human_rights_un_eo_ac_64kb_0098	ʃ rajtas libˈeːre partopeni la kulturan vivon r la komunwmo ui la artojn kaj partopeni ʃenkan prodʒeson kaj iajn fruktojn
human_rights_un_eo_ac_64kb_0099	ʃ ∅avas rajton je protekto r la moralaj kaj materialaj inteesoj etsultantaj el eventualaj ʃenkaj literaturaj a artaj produktaoj kʃjn li atoris
human_rights_un_eo_ac_64kb_0100	rtikolo
human_rights_un_eo_ac_64kb_0101	ʃ ∅avas rajton je sotʃa kaj interatʃa ordʒanidzo en kʃ la rajtoj kaj libeekoj dˈiːrfinitaj en i tʃ eklaratʃo povas esti plene ealidʒtaj
human_rights_un_eo_ac_64kb_0102	rtikolo
human_rights_un_eo_ac_64kb_0103	ʃ ∅avas rvojn al la komunwmo en kʃ sole estas ebla la libera kaj plea dˈiːrsvolvio r lia personeko
human_rights_un_eo_ac_64kb_0104	n la udzado r siaj rajtoj kaj libeekoj ʃ estu subidʒta sole al tʃj limidʒoi kʃj estas jue dˈiːrfinitaj ekskludzive kun la tʃelo tʃertidʒ arkvatan ekonon kaj espekton por la rajtoj kaj libeekoj r aliaj kaj por konformii al justaj postuloj r moralo pblika ordo kaj enerala bonfarto en rmokrata sotʃo
human_rights_un_eo_ac_64kb_0105	ʃj i rajtoj kaj libeekoj estas en nenʃ okadzo efˈɛndktividʒeblaj kontrae al la tʃeloj kaj printʃpoj r nwiintaj atʃoj
human_rights_un_eo_ac_64kb_0106	rtikolo
human_rights_un_eo_ac_64kb_0107	enio en i tʃ eklaratʃo estu interpetita kiel impliko ke ʃ ajn tato ɡrupo a persono iel ajn rajtas entepeni ian ajn adʒadon a plenwmi ian ajn auɡon kʃ tʃelus rtrui kʃn ajn el la rajtoj kaj libeekoj iene dˈiːrfinitaj
