human_rights_un_lav_kb_64kb_0001	is̪pɑːreːjɑː t̪s̪ilvæːkt̪ies̪iːbu d̪æklɑrɑːt̪s̪ijɑ
human_rights_un_lav_kb_64kb_0012	ɑt̪rɑm t̪s̪ilveːkɑm jɑːbuːt̪ ɑpvelt̪iːt̪ɑm ɑrʲ vis̪ɑːm t̪ies̪iːbɑːm uŋ vis̪ɑːm briːviːbɑːm kɑs̪pɑs̪lud̪in̪ɑːt̪ɑs̪ ʃɑjɑː d̪æklɑrɑːt̪s̪ijɑː ŋæɑt̪kɑriːɡi ŋua rɑs̪æs̪ ɑːd̪ɑs̪ krɑːs̪ɑs̪ d̪z̪imumɑ vɑluad̪ɑs̪reliɟijɑs̪ pualit̪is̪kɑːs̪ vɑi t̪s̪it̪ɑs̪ pɑːrʲliet̪s̪iːbɑs̪ ŋɑt̪s̪ioːŋɑːlɑːs̪ vɑi t̪s̪it̪ɑs̪ iz̪t̪s̪els̪mæs̪ mɑŋt̪is̪kɑːs̪t̪ɑːvoːkʎɑ kɑːrʲt̪ɑs̪ vɑi t̪s̪it̪ɑ s̪t̪ɑːvuakʎɑ
human_rights_un_lav_kb_64kb_0013	urklɑːt̪ ŋæd̪riːks̪t̪ buːt̪ ŋekɑːd̪ɑs̪ ɑt̪ʃciriːbɑs̪ vɑls̪t̪s̪ vɑi t̪erʲit̪oːrʲijɑs̪ pie kurɑs̪ t̪s̪ilvæːks̪ pied̪erʲpualit̪is̪kɑː t̪ies̪is̪kɑː vɑi s̪t̪ɑrpt̪ɑut̪is̪kɑː s̪t̪ɑːvuakʎɑ d̪æːʎ ŋæɑt̪kɑriːɡi ŋua t̪ɑː vɑi ʃiː t̪erʲit̪oːrʲijɑ irʲŋæɑt̪kɑrʲiːɡɑ ɑiz̪bils̪t̪ɑmɑ bæz̪ pɑʃpɑːrvɑld̪æs̪ vɑi kɑut̪ kɑː t̪s̪it̪ɑːd̪i ierobæʒuat̪ɑ s̪ɑvɑːs̪uværæŋit̪ɑːt̪æː
human_rights_un_lav_kb_64kb_0014	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ d̪z̪iːviːbu briːviːbu uŋ pærs̪on̪ɑs̪ ŋæɑiz̪s̪kɑrɑmiːbu
human_rights_un_lav_kb_64kb_0015	
human_rights_un_lav_kb_64kb_0016	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0017	
human_rights_un_lav_kb_64kb_0018	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0019	ævien̪u t̪s̪ilvæːku ŋæd̪riːks̪t̪ t̪urʲeːt̪ værʲd̪z̪iːbɑː vɑi ŋæbrʲiːveː vis̪ɑ væid̪ɑ værʲd̪z̪iːbɑ uŋ værɡut̪irʲd̪z̪ŋiæt̪s̪iːbɑ irʲ ɑiz̪lieɡt̪ɑ
human_rights_un_lav_kb_64kb_0020	
human_rights_un_lav_kb_64kb_0021	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0022	ævien̪u t̪s̪ilvæːku ŋæd̪riːks̪t̪ pɑkʎɑut̪ s̪piːd̪z̪in̪ɑːʃɑŋɑi vɑi t̪s̪iæt̪s̪ird̪iːɡi ŋæt̪s̪ilveːt̪s̪iːɡi ɑrʲ viɲuɑpiet̪iæs̪ uŋ s̪oːd̪iːt̪ pɑz̪emuajuat̪ viɲɑ t̪s̪ilvæːt̪s̪is̪kua t̪s̪ieɲu
human_rights_un_lav_kb_64kb_0023	
human_rights_un_lav_kb_64kb_0024	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0025	ɑt̪rɑm t̪s̪ilveːkɑm lɑi kur viɲʃ ɑt̪rɑs̪t̪uas̪ irʲ t̪ies̪iːbɑs̪ t̪ikt̪ ɑt̪z̪iːt̪ɑm pɑr perʲs̪uaŋu likumɑprʲiekʃɑː
human_rights_un_lav_kb_64kb_0026	
human_rights_un_lav_kb_64kb_0027	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0028	is̪i t̪s̪ilvæːki irʲ vieŋliːd̪z̪iːɡi likumɑ prʲiekʃɑː uŋ viɲiem irʲ t̪ies̪iːbɑs̪ bæz̪ jæbkɑːd̪ɑːmɑt̪ʃciriːbɑːm uz̪ viæn̪ɑːd̪u likumɑ ɑiz̪s̪ɑrʲd̪z̪iːbu prʲet̪ jebkɑːd̪u d̪is̪krʲimin̪ɑːt̪s̪iju kurɑ pɑːrʲkɑːpjʃua æklɑrɑːt̪s̪iju uŋ prʲet̪ jebkurʲu kuːd̪iːʃɑn̪u uz̪ t̪ɑːd̪u d̪is̪krʲimin̪ɑːt̪s̪iju
human_rights_un_lav_kb_64kb_0029	
human_rights_un_lav_kb_64kb_0030	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0031	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ æfekt̪iːvu viɲɑ t̪ies̪iːbu ɑt̪jɑuŋuaʃɑŋu kompet̪eŋt̪ɑːŋɑt̪s̪ioŋɑːlɑː t̪ies̪ɑː ɡɑd̪iːjumoːs̪ kɑd̪ pɑːrkɑːpt̪ɑs̪ viɲɑ pɑmɑt̪t̪ies̪iːbɑs̪ kɑs̪ n̪oːt̪æikt̪ɑs̪ kon̪s̪t̪it̪uːt̪s̪ijɑːvɑi likumɑː
human_rights_un_lav_kb_64kb_0032	
human_rights_un_lav_kb_64kb_0033	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0034	ævien̪u ŋæd̪riːks̪t̪ pɑt̪vɑʎiːɡi ɑrʲæs̪t̪æːt̪ ɑiz̪t̪urʲeːt̪ vɑi pɑkʎɑut̪ iz̪rɑid̪iːʃɑn̪ɑi
human_rights_un_lav_kb_64kb_0035	
human_rights_un_lav_kb_64kb_0036	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0037	ɑt̪rɑm t̪s̪ilveːkɑm viɲɑ t̪ies̪iːbu uŋ piæn̪ɑːkumu ŋuas̪kɑid̪roːʃɑŋɑi kɑː ɑrʲiː lɑi ŋoːt̪æikt̪u viɲɑmiz̪virʲz̪iːt̪ɑːs̪ krʲimin̪ɑːlɑːs̪ ɑps̪uːd̪z̪iːbɑs̪ pɑmɑt̪uat̪iːbu irʲ t̪ies̪iːbɑs̪ s̪ɑkɑrɑː ɑrʲ vis̪u perʲs̪uaŋuvieŋliːd̪z̪iːbu likumɑ uŋ t̪iæs̪ɑs̪ prʲiekʃɑː prɑs̪iːt̪ lɑi viɲɑ liet̪u ɑt̪klɑːt̪i uŋ iævæːroːjoːt̪ vis̪ɑs̪t̪ɑis̪ŋiːɡumɑ prɑs̪iːbɑs̪ iz̪s̪kɑt̪iːt̪u ŋæɑt̪kɑriːɡɑ uŋ oːbjækt̪iːvɑ t̪ies̪ɑ
human_rights_un_lav_kb_64kb_0038	
human_rights_un_lav_kb_64kb_0039	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0040	
human_rights_un_lav_kb_64kb_0041	ɑt̪rɑm t̪s̪ilveːkɑm kɑm in̪krimin̪æːt̪s̪ krʲimiŋɑːln̪oz̪iæɡums̪ irʲ t̪ies̪iːbɑs̪ t̪ikt̪ uz̪s̪kɑt̪iːt̪ɑmpɑr ŋævɑin̪iːɡu kɑmæːr viɲɑ vɑiŋɑ ŋæbuːs̪ piærɑːd̪iːt̪ɑ s̪ɑs̪kɑɲɑː ɑrʲ likumu ɑt̪klɑːt̪ɑː t̪ies̪ɑs̪prot̪s̪es̪ɑː kurɑː viɲɑm t̪iek n̪oːd̪roʃin̪ɑːt̪ɑs̪ vis̪ɑs̪ iæs̪peːjɑs̪ uz̪ ɑiz̪s̪t̪ɑːviːbu
human_rights_un_lav_kb_64kb_0042	
human_rights_un_lav_kb_64kb_0043	ævien̪u ŋæd̪riːks̪t̪ n̪oːt̪iæs̪ɑːt̪ pɑr ŋoːz̪iæɡumu t̪ɑːd̪ɑs̪ d̪ɑrbiːbɑs̪ vɑi bæz̪d̪ɑrbiːbɑs̪ d̪æːʎ kɑs̪s̪ɑs̪kɑɲɑː ɑrʲ iz̪d̪ɑrʲiːʃɑŋɑs̪ brʲiːd̪iː s̪peːkɑː bijuʃɑjiem vɑls̪t̪s̪ iækʃæːjiæm likumiem vɑis̪t̪ɑrpt̪ɑut̪is̪kɑjɑːm t̪ies̪iːbɑːm ŋebijɑ krʲimiŋɑːln̪oz̪iæɡums̪
human_rights_un_lav_kb_64kb_0044	ɑːpɑt̪ ŋæd̪riːks̪t̪ pies̪priæs̪t̪s̪mɑɡɑːku s̪oːd̪u ŋækɑː t̪ɑs̪ kɑs̪ bijɑ jɑːpiemeːrʲua lɑikɑː kɑd̪ t̪ikɑ iz̪d̪ɑriːt̪s̪ krʲimiŋɑːln̪oz̪iæɡums̪
human_rights_un_lav_kb_64kb_0045	
human_rights_un_lav_kb_64kb_0046	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0047	æd̪riːks̪t̪ pɑt̪vɑʎiːɡi iejɑukt̪iæs̪ n̪ævien̪ɑ privɑːt̪ɑjɑː uŋ ɟimeŋæs̪ d̪z̪iːvæː pɑt̪vɑʎiːɡi ɑpd̪rʲɑud̪eːt̪viɲɑ d̪z̪iːvoːkʎɑ ŋæɑiz̪s̪kɑrɑmiːbu vɑi viɲɑ koːres̪poːn̪d̪æn̪t̪s̪æs̪ ŋoːs̪læːpumu vɑi n̪elikumiːɡiɑpd̪rʲɑud̪eːt̪ viɲɑ ɡoːd̪u uŋ rʲeput̪ɑːt̪s̪iju
human_rights_un_lav_kb_64kb_0048	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ likumɑ ɑiz̪s̪ɑrʲd̪z̪iːbuprʲet̪ ʃɑːd̪u iæjɑukʃɑn̪os̪ vɑi ʃɑːd̪iem ɑpd̪rʲɑud̪æːjumiæm
human_rights_un_lav_kb_64kb_0049	
human_rights_un_lav_kb_64kb_0050	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0051	
human_rights_un_lav_kb_64kb_0052	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ brʲiːvi pɑːrviet̪ot̪ies̪ uŋ iz̪væːlæːt̪iæs̪ s̪æv d̪z̪iːves̪viæt̪u jæbkurɑːvɑls̪t̪iː
human_rights_un_lav_kb_64kb_0053	
human_rights_un_lav_kb_64kb_0054	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ ɑt̪s̪t̪ɑːt̪ jebkurʲu ɑrʲiː s̪ɑvu vɑls̪t̪i uŋ ɑt̪ɡriez̪t̪ies̪ s̪ɑvɑː vɑls̪t̪iː
human_rights_un_lav_kb_64kb_0055	
human_rights_un_lav_kb_64kb_0056	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0057	
human_rights_un_lav_kb_64kb_0058	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ meklæːt̪ pɑt̪væːrumu ŋua vɑjɑːʃɑŋɑs̪ t̪s̪it̪ɑːs̪ vɑls̪t̪iːs̪ uŋiz̪mɑŋt̪oːt̪ ʃoː pɑt̪væːrumu
human_rights_un_lav_kb_64kb_0059	
human_rights_un_lav_kb_64kb_0060	iːs̪ t̪ies̪iːbɑs̪ ŋævɑr t̪ikt̪ iz̪mɑn̪t̪uat̪ɑs̪ t̪ɑːd̪ɑs̪ vɑjɑːʃɑŋɑs̪ ɡɑd̪iːjumɑː kɑs̪ iːs̪t̪æn̪iːbɑː s̪ɑis̪t̪iːt̪ɑ ɑrŋepualit̪is̪kɑ ŋoːz̪iæɡumɑ iz̪d̪ɑriːʃɑŋu vɑi ɑrʲ d̪ɑrbiːbu kɑs̪ irʲ pret̪rʲun̪ɑː ɑrʲ pvieŋuat̪o ɑːt̪s̪iju
human_rights_un_lav_kb_64kb_0061	rʲɡɑn̪iz̪ɑːt̪s̪ijɑs̪ mæːrʲciæm uŋ prʲiŋt̪s̪ipiæm
human_rights_un_lav_kb_64kb_0062	
human_rights_un_lav_kb_64kb_0063	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0064	
human_rights_un_lav_kb_64kb_0065	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ t̪ɑut̪iːbu
human_rights_un_lav_kb_64kb_0066	
human_rights_un_lav_kb_64kb_0067	evien̪ɑm pɑt̪vɑʎiːɡi ŋæd̪riːks̪t̪ ɑt̪ɲæmt̪ t̪ɑː t̪ɑut̪iːbu vɑi t̪ies̪iːbɑs̪ mɑiŋiːt̪ s̪ɑvu t̪ɑut̪iːbu
human_rights_un_lav_kb_64kb_0068	
human_rights_un_lav_kb_64kb_0069	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0070	
human_rights_un_lav_kb_64kb_0071	iːrʲiæʃiæm uŋ s̪ieviæt̪eːm kɑs̪ s̪ɑs̪ŋieɡuʃi piln̪ɡɑd̪iːbu irʲ t̪ies̪iːbɑs̪ bæz̪ jebkɑːd̪iæm ɑrʲ rʲɑs̪ut̪ɑut̪iːbu vɑi rʲeliɟiju ɑt̪ʃciriːbɑːm s̪ɑis̪t̪iːt̪iem iæroːbeʒoːjumiæm s̪t̪ɑːt̪iæs̪ lɑuliːbɑː uŋ n̪uad̪ibin̪ɑːt̪ɟimæŋi
human_rights_un_lav_kb_64kb_0072	iɲiæm irʲ vieŋliːd̪z̪iːɡɑs̪ t̪ies̪iːbɑs̪ s̪t̪ɑːjot̪iæs̪ lɑuliːbɑː lɑuliːbɑs̪ lɑikɑː uŋ ʃciroːt̪lɑuliːbu
human_rights_un_lav_kb_64kb_0073	
human_rights_un_lav_kb_64kb_0074	ɑuliːbɑ vɑr t̪ikt̪ s̪læːɡt̪ɑ t̪ikɑi ɑrʲ ɑbu perʲs̪uaŋu kɑs̪ s̪t̪ɑːjɑs̪ lɑuliːbɑː brʲiːvu uŋ pilŋiːɡupiækriʃɑn̪u
human_rights_un_lav_kb_64kb_0075	
human_rights_un_lav_kb_64kb_0076	imen̪æ irʲ d̪ɑbis̪kɑ s̪ɑbiæd̪riːbɑs̪ pɑmɑt̪ʃuːn̪iɲɑ uŋ t̪ɑi irʲ t̪ies̪iːbɑs̪ uz̪ s̪ɑbiæd̪riːbɑs̪ un̪vɑls̪t̪s̪ ɑiz̪s̪ɑrʲd̪z̪iːbu
human_rights_un_lav_kb_64kb_0077	
human_rights_un_lav_kb_64kb_0078	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0079	
human_rights_un_lav_kb_64kb_0080	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ iːpɑʃumu kɑː viæŋperʲs̪uaŋis̪ki t̪ɑː ɑrʲiː kuapiːɡi ɑrʲ t̪s̪it̪iem
human_rights_un_lav_kb_64kb_0081	
human_rights_un_lav_kb_64kb_0082	evien̪ɑm pɑt̪vɑʎiːɡi ŋæd̪riːks̪t̪ ɑt̪ɲæmt̪ iːpɑʃumu
human_rights_un_lav_kb_64kb_0083	
human_rights_un_lav_kb_64kb_0084	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0085	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ d̪oːmu ɑpz̪iɲɑs̪ uŋ rʲeliɟijɑs̪ briːviːbu briːviːbu piæɲæmt̪rʲeliɟiju vɑi pɑːrʲliet̪s̪iːbu pæːt̪s̪ s̪ɑvɑs̪ iz̪veːlæs̪ uŋ briːviːbu ŋuad̪uat̪iæs̪ s̪ɑvɑi rʲeliɟijɑi un̪pɑːrʲliæt̪s̪iːbɑi t̪iklɑb vien̪ɑt̪n̪æː kɑː ɑrʲiː koːpɑː ɑrʲ t̪s̪it̪iem publis̪ki vɑi n̪oʃcirt̪i piækuapjot̪ kult̪uiz̪pild̪oːt̪ rʲeliɟis̪kɑs̪ vɑi rʲit̪uɑːlɑs̪ t̪s̪ærʲæmon̪ijɑs̪ uŋ s̪lud̪iŋot̪ mɑːt̪s̪iːbu
human_rights_un_lav_kb_64kb_0086	
human_rights_un_lav_kb_64kb_0087	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0088	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ pɑːrʲliet̪s̪iːbɑs̪ briːviːbu uŋ t̪ies̪iːbɑs̪ brʲiːvi pɑus̪t̪ s̪ɑvus̪uz̪s̪kɑt̪us̪ ʃiːs̪ t̪ies̪iːbɑs̪ iet̪ver briːviːbu ŋet̪rɑut̪s̪æːt̪i pɑlikt̪ pie s̪ɑviem uz̪s̪kɑt̪iæm uŋ brʲiːviːbumæklæːt̪ s̪ɑɲæmt̪ uŋ iz̪plɑt̪iːt̪ iŋfoːrʲmɑːt̪s̪iju uŋ id̪æjɑs̪ ɑrʲ jebkurʲiem liːd̪z̪ækʎiem ŋæɑt̪kɑriːɡi ŋovɑls̪t̪u roːbæʒɑːm
human_rights_un_lav_kb_64kb_0089	
human_rights_un_lav_kb_64kb_0090	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0091	
human_rights_un_lav_kb_64kb_0092	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ uz̪ miærmiːliːɡu s̪ɑpultʃu uŋ ɑs̪uat̪s̪iɑːt̪s̪iju briːviːbu
human_rights_un_lav_kb_64kb_0093	
human_rights_un_lav_kb_64kb_0094	ævien̪u ŋæd̪riːks̪t̪ piæs̪piæs̪t̪ ies̪t̪ɑːt̪iæs̪ kɑut̪ kɑːd̪ɑː ɑs̪uat̪s̪iɑːt̪s̪ijɑː
human_rights_un_lav_kb_64kb_0095	
human_rights_un_lav_kb_64kb_0096	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0097	
human_rights_un_lav_kb_64kb_0098	ɑt̪rɑm t̪s̪ilveːkɑm irʲ t̪ies̪iːbɑs̪ pied̪ɑliːt̪iæs̪ s̪ɑvɑs̪ vɑls̪t̪s̪ pɑːrvɑld̪æː t̪ieʃi vɑi ɑrʲ brʲiːviiz̪væːlæːt̪u pɑːrs̪t̪ɑːvju s̪t̪ɑrʲpn̪iæt̪s̪iːbu
human_rights_un_lav_kb_64kb_0099	
human_rights_un_lav_kb_64kb_0100	kvien̪ɑm irʲ vieŋliːd̪z̪iːɡɑs̪ t̪ies̪iːbɑs̪ pied̪ɑliːt̪iæs̪ vɑls̪t̪s̪ pɑːrvɑld̪æː s̪ɑvɑː z̪æmeː
human_rights_un_lav_kb_64kb_0101	
human_rights_un_lav_kb_64kb_0102	ɑut̪ɑs̪ ɡribɑi irʲ jɑːbuːt̪ vɑld̪iːbɑs̪ vɑrɑs̪ pɑmɑt̪ɑm ʃɑi ɡribɑi irʲ jɑːbuːt̪ iz̪t̪æikt̪ɑipæriod̪is̪kɑːs̪ uŋ ŋæfɑls̪ifit̪s̪eːt̪ɑːs̪ veːleːʃɑŋɑːs̪ kɑm jɑːŋuat̪iæk uz̪ vis̪pɑːreːju uŋ vien̪liːd̪z̪iːɡuveːlæːʃɑŋu t̪ies̪iːbu pɑmɑt̪ɑ ɑiz̪klɑːt̪i bɑls̪uajuat̪ vɑi ɑrʲiː t̪s̪it̪ɑːs̪ liːd̪z̪væːrʲt̪iːɡɑːs̪ fuarʲmɑːs̪ kɑs̪ŋod̪roːʃiŋɑ væːleːt̪ɑːju briːvɑs̪ ɡribɑs̪ iz̪pɑud̪umu
human_rights_un_lav_kb_64kb_0103	
human_rights_un_lav_kb_64kb_0104	pɑn̪t̪s̪
human_rights_un_lav_kb_64kb_0105	ɑt̪rɑm t̪s̪ilveːkɑm kɑː s̪ɑbiæd̪riːbɑs̪ lot̪s̪æklim irʲ t̪ies̪iːbɑs̪ uz̪ s̪ot̪s̪iɑːlua n̪oːd̪roʃin̪ɑːjumu uŋ viɲɑpærʲs̪uan̪iːbɑs̪ pɑʃt̪s̪ieɲɑs̪ uz̪t̪urʲæːʃɑŋɑi uŋ briːvɑi ɑt̪t̪iːs̪t̪iːbɑi n̪æpiet̪s̪iæʃɑmua t̪ies̪iːbu iːs̪t̪æn̪oʃɑŋuækuan̪uamis̪kɑjɑː s̪uat̪s̪iɑːlɑjɑː uŋ kult̪uːrʲɑs̪ joːmɑː ɑrʲ n̪ɑt̪s̪ioːŋɑːloː pɑs̪ɑːkumu pɑliːd̪z̪iːbu uŋs̪t̪ɑrʲpt̪ɑut̪is̪kɑːs̪ s̪ɑd̪ɑrbiːbɑs̪ t̪s̪æʎɑː uŋ ɑt̪bils̪t̪oːʃi kɑt̪rʲɑs̪ vɑls̪t̪s̪ s̪t̪rukt̪uːrɑi uŋ ræs̪urs̪iem
human_rights_un_lav_kb_64kb_0106	
human_rights_un_lav_kb_64kb_0107	pɑn̪t̪s̪
