human_rights_un_frn_ezwa_64kb_0001	deklaʁatjɔn ynivesɛl d dʁwat d l’ɔm
human_rights_un_frn_ezwa_64kb_0038	nyl n zea kɔndamne puʁ d aktjɔn u ɔmisjɔn ki o mɔmɛn ɔù ɛl ɔn ete komizs n kɔ̃stitɥɛ pa yn akt deliktɥɛy d’apʁɛ l dʁwa natjɔnal u intenatjɔnal.
human_rights_un_frn_ezwa_64kb_0039	dɛ mɛm il n zea ɛ̃fliʒe okyn pɛn ply fɔʁt k sɛl ki etɛ aplikabl o mɔmɛn ɔù l’akt deliktɥɛy a ete kɔmis.
human_rights_un_frn_ezwa_64kb_0040	aʁtikl 12
human_rights_un_frn_ezwa_64kb_0041	nyl n zea l’ɔbʒɛ d’imikstjɔ̃ aRbitRɛR dan sa vj pʁiveɛ sa famit sɔ̃ domisil u sa kɔʁpɔnda ni d’atɛnt a sɔ̃ ɔnœʁ ɛ a sa ʁepytatjɔn.
human_rights_un_frn_ezwa_64kb_0042	tut pesɔn a dʁwa a la pʁɔtɛktjɔn d la lwa kɔ̃tR d tɛl imikstjɔ̃ u d tɛl atɛntɛs.
human_rights_un_frn_ezwa_64kb_0043	aʁtikl 13
human_rights_un_frn_ezwa_64kb_0044	tut pesɔn a l dʁwa d siRkule libʁɛmɛn ɛ d ʃwaziʁ sa ʁezidɛns a l’inteʁjœʁ d’yn etat.
human_rights_un_frn_ezwa_64kb_0045	tut pesɔn a l dʁwa d kite ty pɛjs j kɔ̃pRi l sjɛ̃ ɛ d ʁɛvɛniʁ dan sɔ̃ pɛjs.
human_rights_un_frn_ezwa_64kb_0046	aʁtikl 14
human_rights_un_frn_ezwa_64kb_0047	dɛvan la pɛRsekutl tut pesɔn a l dʁwa d ʃeʃe azil ɛ d benefisje d l’azil ɛn d’otʁ pɛjs.
human_rights_un_frn_ezwa_64kb_0048	sɛ dʁwa n pœ ɛtʁ ɛ̃voke dan l ka d puʁsɥit ʁeɛlɛmɛn fɔ̃de syʁ yn kRim d dʁwa kɔmyn u syʁ d aʒisəmɑ̃ kɔ̃tRɛR o byt ɛ o pRɛ̃sip d natjɔn ynj.
human_rights_un_frn_ezwa_64kb_0049	aʁtikl 15
human_rights_un_frn_ezwa_64kb_0050	tu individy a dʁwa a yn nasjonalite.
human_rights_un_frn_ezwa_64kb_0051	nyl n pœ ɛtʁ aʁbitʁeʁɛmɛn pʁive d sa natjɔnals ni dy dʁwa d ʃaŋe d nasjonalite.
human_rights_un_frn_ezwa_64kb_0052	aʁtikl 16
human_rights_un_frn_ezwa_64kb_0053	a paʁtiʁ d l’ɑʒ nybilɛ l’ɔm ɛ la fɛmɛ sɑ̃ okyn ʁtʁiktjɔn kɑ̃ a la ʁasɛ la nasjonalite u la Rəliʒjo ɔn l dʁwa d s maRje ɛ d fɔ̃de yn familɛ.
human_rights_un_frn_ezwa_64kb_0054	il ɔn d dʁwat ego o RəgaR dy maRj. duRɑ̃ l maʁjaʒ ɛ lɔʁ d sa disɔlytjɔn.
human_rights_un_frn_ezwa_64kb_0055	l maʁjaʒ n pœ ɛtʁ kɔ̃klu k’avɛk l libʁ ɛ plɛn kɔnsɛntɛmɛn d fytyʁ epy.
human_rights_un_frn_ezwa_64kb_0056	la famil t l’elemɛn natyʁɛl ɛ fɔndamɛntal d la sɔsjete ɛ a dʁwa a la pʁɔtɛktjɔn d la sɔsjete ɛ d l’etat.
human_rights_un_frn_ezwa_64kb_0057	aʁtikl 17
human_rights_un_frn_ezwa_64kb_0058	tut pesɔnɛ osi bjɛn sœl k’ɛn kolɛktivs a dʁwa a la pʁɔpʁjete.
human_rights_un_frn_ezwa_64kb_0059	nyl n pœ ɛtʁ aʁbitʁeʁɛmɛn pʁive d sa pʁɔpʁjete.
human_rights_un_frn_ezwa_64kb_0060	aʁtikl 18
human_rights_un_frn_ezwa_64kb_0061	tut pesɔn a dʁwa a la libete d pɑ̃se d kɔnsjɛns ɛ d ʁɛligɔn
human_rights_un_frn_ezwa_64kb_0062	s dʁwa ɛ̃plik la libete d ʃaŋe d ʁɛligɔn u d kɔ̃viksjɔ̃ ensi k la libete d manifte sa ʁɛligɔn u sa kɔ̃viksl sœl u ɛn komun tɑ̃ ɛn pyblik k’ɛn pʁive paʁ l’ɛnsɛɲɛmɛnt l pʁatikɛs l kult ɛ l’akɔmplisɛmɛn d Rit.
human_rights_un_frn_ezwa_64kb_0063	aʁtikl 19
human_rights_un_frn_ezwa_64kb_0064	tu individy a dʁwa a la libete d’ɔpinjɔn ɛ d’ɛkspʁl s ki ɛ̃plik l dʁwa d n pa ɛtʁ ɛ̃kjete puʁ z ɔpinjɔn ɛ sɛlɥi d ʃeʃe d ʁɛsɛvwaʁ ɛ d Repɑ̃o sɑ̃ kɔ̃sideRasjɔ̃ d fʁɔntjɛʁɛs l infɔʁmatjɔn ɛ l ide paʁ kɛlk mwajɛn d’ɛkspʁsjɔn k s swat.
human_rights_un_frn_ezwa_64kb_0065	aʁtikl 20
human_rights_un_frn_ezwa_64kb_0066	tut pesɔn a dʁwa a la libete d ʁeynjɔn ɛ d’asɔsjatjɔn pasifik.
human_rights_un_frn_ezwa_64kb_0067	nyl n pœ ɛtʁ obliʒe d feʁ paʁtj d’yn asɔsjatjɔn.
human_rights_un_frn_ezwa_64kb_0068	aʁtikl 21
human_rights_un_frn_ezwa_64kb_0069	tut pesɔn a l dʁwa d pʁɛndʁ paʁ a la diʁɛktjɔn d afeʁ pyblik d sɔ̃ pɛjs swa diʁɛktɛmɛnt swa paʁ l’intemedjeʁ d ʁɛpʁezɛntant libʁɛmɛn ʃwazis.
human_rights_un_frn_ezwa_64kb_0070	tut pesɔn a dʁwa a akede dan d kɔnditjɔn d’egls o fɔnjɔn pyblik d sɔ̃ pɛjs.
human_rights_un_frn_ezwa_64kb_0071	la vɔlɔnte dy pøpl t l fɔ̃dəmɑ̃ d l’otɔʁite d puvwaʁ pyblik
human_rights_un_frn_ezwa_64kb_0072	sɛt vɔlɔnte dwa s’ɛkspʁime paʁ d elɛktjɔn ɔnɛt ki dwav avwaʁ ljœ peʁjɔdikɛmɛnt o syfʁaʒ ynivesɛl egl ɛ o vɔt sɛkʁɛ u sɥivan yn pʁɔkedyʁ ekivalɛnt asuRɑ̃ la libete dy vɔtɛ.
human_rights_un_frn_ezwa_64kb_0073	aʁtikl 2
human_rights_un_frn_ezwa_64kb_0074	tut pesɔnɛ ɛn tɑ̃ k mɛmbʁ d la zɔsjete a dʁwa a la sekyʁite sosjal
human_rights_un_frn_ezwa_64kb_0075	ɛl t fɔ̃de a ɔbtɛniʁ la satisfaktjɔn d dʁwat ekɔnɔmikɛs sɔsjo ɛ kultuRɛl ɛ̃dispɑ̃sabl a sa diɲite ɛ o libʁ devɛlɔpɛmɛn d sa pɛRsonals gRas a l’ɛfɔʁ natjɔnal ɛ a la kɔpeʁatjɔn ɛ̃tɛRnasjonn kɔ̃t tənu d l’ɔʁgnizatjɔn ɛ d ʁsuʁs d ʃak pɛjs.
human_rights_un_frn_ezwa_64kb_0076	aʁtikl 23
human_rights_un_frn_ezwa_64kb_0077	tut pesɔn a dʁwa o tʁavel o libʁ ʃwa d sɔ̃ tʁavel a d kɔnditjɔn ekitabl ɛ satisfezant d tʁavel ɛ a la pʁɔtɛktjɔn kɔ̃tR l ʃomaʒ.
human_rights_un_frn_ezwa_64kb_0078	tu ɔn dʁwat sɑ̃ okyn diskʁiminatl a yn saleʁ egl puʁ yn tʁavel egal.
human_rights_un_frn_ezwa_64kb_0079	kikɔ̃k tʁavel a dʁwa a yn ʁemyneʁatjɔn ekitabl ɛ satisfezant lɥi asuRɑ̃ ensi k’a sa famil yn ɛksistɛns kɔnfɔʁm a la diɲite ymen ɛ kɔ̃plete s’il j a ljœ paʁ tu otʁ mwajɛn d pʁɔtɛktjɔn zɔsjalɛ.
human_rights_un_frn_ezwa_64kb_0080	tut pesɔn a l dʁwa d fɔ̃de avɛk d’otʁ d sindikat ɛ d s’afilje a d sindikat puʁ la defɛns d z inteʁɛts.
human_rights_un_frn_ezwa_64kb_0081	aʁtikl 24
human_rights_un_frn_ezwa_64kb_0082	tut pesɔn a dʁwa o ʁɛpɔ ɛ o lwaziʁ ɛ notamɑ̃ a yn limitatjɔn ʁezɔnabl d la dyʁe dy tʁavel ɛ a d kɔ̃ʒe pɛje peRjodik.
human_rights_un_frn_ezwa_64kb_0083	aʁtikl 25
human_rights_un_frn_ezwa_64kb_0084	tut pesɔn a dʁwa a yn nivo d vj sufizɑ̃ puʁ asuRe sa zante sɔ̃ bjɛ̃nɛtR ɛ sø d sa famit notamɑ̃ puʁ l’alimɛntatl l’abilɛmɛnt l lɔgmɛnt l swan mediko ensi k puʁ l sevis sɔsjo nesesɛR
human_rights_un_frn_ezwa_64kb_0085	ɛl a dʁwa a la sekyʁite ɛn ka d ʃom. d maladjɛ d’invalids d vœv. d vjɛls u dan l otʁ ka d pɛRt d z mwajɛn d sybsistans paʁ sɥit d siʁkɔnstans ɛ̃depɑ̃dɑ̃t d sa volɔ̃te.
human_rights_un_frn_ezwa_64kb_0086	la matɛRnite ɛ l’ɛnfans ɔn dʁwa a yn ɛd ɛ a yn asistans spesjal.
human_rights_un_frn_ezwa_64kb_0087	tu l ɑ̃fɑ̃ts k’il swa ne dan l maʁjaʒ u ɔR maRj. ʒwis d la mɛm pʁɔtɛktjɔn zɔsjalɛ.
human_rights_un_frn_ezwa_64kb_0088	aʁtikl 26
human_rights_un_frn_ezwa_64kb_0089	tut pesɔn a dʁwa a l’edykatjɔn.
human_rights_un_frn_ezwa_64kb_0090	l’edykatjɔn dwa ɛtʁ gRatɥd o mwan ɛn s ki kɔ̃sɛRn l’ɛnsɛɲɛmɛn elemɛnteʁ ɛ fɔndamɛntal.
human_rights_un_frn_ezwa_64kb_0091	l’ɛnsɛɲɛmɛn elemɛnteʁ t ɔbligtwaʁɛ.
human_rights_un_frn_ezwa_64kb_0092	l’ɛnsɛɲɛmɛn tɛʃnik ɛ pʁɔfsjɔnɛl dwa ɛtʁ ʒeneRalize
human_rights_un_frn_ezwa_64kb_0093	l’akɛ o etyd zypeʁjœʁ dwa ɛtʁ yvɛR ɛn plɛn eglite a tu ɛn fɔnjɔn d lœR meRitɛ.
human_rights_un_frn_ezwa_64kb_0094	l’edykatjɔn dwa vize o plɛn epanwisəmɑ̃ d la pesɔnalite ymen ɛ o ʁɛnfɔʁsɛmɛn dy ʁpɛkt d dʁwat d l’ɔm ɛ d libete fɔ̃damɑ̃tal.
human_rights_un_frn_ezwa_64kb_0095	ɛl dwa favoRize la kɔ̃pReɑ̃sl la tɔleʁans ɛ l’amitje ɑ̃tR tut l nasjɔ̃ ɛ tu l gup ʁasjo u Rəliʒjø ensi k l devɛlɔpɛmɛn d aktivite d natjɔn ynj puʁ l mentjɛn d la peks.
human_rights_un_frn_ezwa_64kb_0096	l paRɑ̃ ɔnt paʁ pRijoRs l dʁwa d ʃwaziʁ l gnʁ d’edykatjɔn a dɔne a lœʁ ɛnfants.
human_rights_un_frn_ezwa_64kb_0097	aʁtikl 27
human_rights_un_frn_ezwa_64kb_0098	tut pesɔn a l dʁwa d pʁɛndʁ paʁ libʁɛmɛn a la vj kyltyʁɛl d la kɔmynote d ʒwiʁ d aR ɛ d paʁtisipe o pʁɔgɛ sjɛntifik ɛ o bjɛ̃fɛ ki ɛn ʁezyltɛnt.
human_rights_un_frn_ezwa_64kb_0099	ʃakyn a dʁwa a la pʁɔtɛktjɔn d inteʁɛt moRo ɛ mateʁjɛl dekylɑ̃ d tut pʁɔdyktjɔn sjɛntifikɛ liteʁeʁ u aʁtistik dɔn il t l’otœʁ.
human_rights_un_frn_ezwa_64kb_0100	aʁtikl 28
human_rights_un_frn_ezwa_64kb_0101	tut pesɔn a dʁwa a s k Rɛ syʁ l plan sɔsjal ɛ syʁ l plan intenatjɔnal yn ɔʁdʁ tɛl k l dʁwat ɛ libete enɔ̃se dan la pRezɑ̃t deklaʁatjɔn pɥisɛn j tʁuve plɛn ɛfɛt.
human_rights_un_frn_ezwa_64kb_0102	aʁtikl 29
human_rights_un_frn_ezwa_64kb_0103	l’individy a d dɛvwaʁ ɛnve la kɔmynote dan lakɛl sœl l libʁ ɛ plɛn devɛlɔpɛmɛn d sa pesɔnalite t pɔsiblɛ.
human_rights_un_frn_ezwa_64kb_0104	dan l’ɛksesis d z dʁwat ɛ dan la ʒwisans d z libetes ʃakyn n’t sumi k’o limitatjɔn etabli paʁ la lwa ɛkskluzivəmɑ̃ ɛn vy d’asuRe la ʁɛkɔnesans ɛ l ʁpɛkt d dʁwat ɛ libete d’otʁɥi ɛ afin d satisfeʁ o ʒust ɛgziʒɑ̃s d la mɔRn d l’ɔʁdʁ pyblik ɛ dy bjɛ̃nɛtR gneʁal dan yn sɔsjete demɔkʁatikɛ.
human_rights_un_frn_ezwa_64kb_0105	s dʁwat ɛ libete n pyRɔ̃ ɛn okyn kas s’ɛksese kɔntʁeʁɛmɛn o byt ɛ o pRɛ̃sip d natjɔn ynj.
human_rights_un_frn_ezwa_64kb_0106	aʁtikl 30
human_rights_un_frn_ezwa_64kb_0107	okyn dispɔzitjɔn d la pRezɑ̃t deklaʁatjɔn n pœ ɛtʁ intepʁete kɔm ɛ̃plikɑ̃ puʁ yn etat yn gupɛmɛn u yn individy yn dʁwa kɛlkɔ̃k d s livRe a yn aktivite u d’akɔmpliʁ yn akt vizan a la dtʁyktjɔn d dʁwat ɛ libete ki j sɔn enɔnkes.
