human_rights_un_rus_sd_64kb_0001	vsʲeobɕaja dʲeklaratsija prav tɕʲelovʲeka
human_rights_un_rus_sd_64kb_0043	statʲæ 13
human_rights_un_rus_sd_64kb_0044	kaʐdɨj tɕʲelovʲek imʲeʲet pravo svobodno pʲerʲedviɡatʲsʲæ i vɨbiratʲ sʲebʲe mʲestoʐitʲelʲstvo v prʲedʲelax kaʐdoɡo ɡosydarstvas.
human_rights_un_rus_sd_64kb_0045	kaʐdɨj tɕʲelovʲek imʲeʲet pravo pokidatʲ lʲʉbyju strany vklʲʉtɕaja svoju sobstvʲenyju i vozvraɕatʲsʲæ v svoju stranys.
human_rights_un_rus_sd_64kb_0046	statʲæ 14
human_rights_un_rus_sd_64kb_0047	kaʐdɨj tɕʲelovʲek imʲeʲet pravo iskatʲ ybʲeʐiɕa ot prʲeslʲedovanija v dryɡix stranax i polʲzovatʲsʲæ ɛtim ybʲeʐiɕʲems.
human_rights_un_rus_sd_64kb_0048	ɛto pravo nʲe moʐʲet bɨtʲ ispolʲzovano v slytɕaʲe prʲeslʲedovanija v dʲejstvitʲelʲnosti osnovanoɡo na sovʲerʂʲeni nʲepolititɕʲeskoɡo prʲestyplʲenija ili dʲejanija protivorʲetɕaɕʲeɡo tsʲelʲæm i printsipam orɡanizatsi obʲedinʲenɨx natsis.
human_rights_un_rus_sd_64kb_0049	statʲæ 15
human_rights_un_rus_sd_64kb_0050	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na ɡraʐdanstvos.
human_rights_un_rus_sd_64kb_0051	nikto nʲe moʐʲet bɨtʲ proizvolʲno liʂʲen svoʲeɡo ɡraʐdanstva ili prava izmʲenitʲ svoʲe ɡraʐdanstvos.
human_rights_un_rus_sd_64kb_0052	statʲæ 16
human_rights_un_rus_sd_64kb_0053	myʐtɕinɨ i ʐʲenɕinɨ dostiɡʂiʲe sovʲerʂʲenolʲetija imʲejut pravo bʲez vsʲækix oɡranitɕʲenij po priznaky rasɨ natsionalʲnosti ili rʲeliɡi vstypatʲ v brak i osnovɨvatʲ svoju sʲemʲʉs.
human_rights_un_rus_sd_64kb_0054	oni polʲzyjutsʲæ odinakovɨmi pravami v otnoʂʲeni vstyplʲenija v brak vo vrʲemʲæ sostojanija v brakʲe i vo vrʲemʲæ ʲeɡo rastorʐʲenijas.
human_rights_un_rus_sd_64kb_0055	brak moʐʲet bɨtʲ zaklʲʉtɕʲen tolʲko pri svobodnom i polnom soɡlasi obʲeix vstypajuɕix v brak storons.
human_rights_un_rus_sd_64kb_0056	sʲemʲæ javlʲæʲetsʲæ ʲestʲestvʲenoj i osnovnoj jatɕʲejkoj obɕʲestva i imʲeʲet pravo na zaɕity so storonɨ obɕʲestva i ɡosydarstvas.
human_rights_un_rus_sd_64kb_0057	statʲæ 17
human_rights_un_rus_sd_64kb_0058	kaʐdɨj tɕʲelovʲek imʲeʲet pravo vladʲetʲ imyɕʲestvom kak ʲedinolitɕno tak i sovmʲestno s dryɡimis.
human_rights_un_rus_sd_64kb_0059	nikto nʲe dolʐʲen bɨtʲ proizvolʲno liʂʲen svoʲeɡo imyɕʲestvas.
human_rights_un_rus_sd_64kb_0060	statʲæ 18
human_rights_un_rus_sd_64kb_0061	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na svobody mɨsli sovʲesti i rʲeliɡi
human_rights_un_rus_sd_64kb_0062	ɛto pravo vklʲʉtɕaʲet svobody mʲenʲætʲ svoju rʲeliɡiju ili ybʲeʐdʲenija i svobody ispovʲedovatʲ svoju rʲeliɡiju ili ybʲeʐdʲenija kak ʲedinolitɕno tak i sobɕa s dryɡimi pyblitɕnɨm ili tɕastnɨm porʲædkom v ytɕʲeni boɡoslyʐʲeni i vɨpolnʲeni rʲeliɡioznɨx i rityalʲnɨx obrʲædovs.
human_rights_un_rus_sd_64kb_0063	statʲæ 19
human_rights_un_rus_sd_64kb_0064	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na svobody ybʲeʐdʲenij i na svobodnoʲe vɨraʐʲeniʲe ix
human_rights_un_rus_sd_64kb_0065	ɛto pravo vklʲʉtɕaʲet svobody bʲesprʲepʲætstvʲeno pridʲerʐivatʲsʲæ svoix ybʲeʐdʲenij i svobody iskatʲ polytɕatʲ i rasprostranʲætʲ informatsiju i idʲei lʲʉbɨmi srʲedstvami i nʲezavisimo ot ɡosydarstvʲenɨx ɡranitss.
human_rights_un_rus_sd_64kb_0066	statʲæ 20
human_rights_un_rus_sd_64kb_0067	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na svobody mirnɨx sobranij i asotsiatsijs.
human_rights_un_rus_sd_64kb_0068	nikto nʲe moʐʲet bɨtʲ prinyʐdaʲem vstypatʲ v kakyjulibo asotsiatsijus.
human_rights_un_rus_sd_64kb_0069	statʲæ 21
human_rights_un_rus_sd_64kb_0070	kaʐdɨj tɕʲelovʲek imʲeʲet pravo prinimatʲ ytɕastiʲe v ypravlʲeni svoʲej stranoj nʲeposrʲedstvʲeno ili tɕʲerʲez posrʲedstvo svobodno izbranɨx prʲedstavitʲelʲejs.
human_rights_un_rus_sd_64kb_0071	kaʐdɨj tɕʲelovʲek imʲeʲet pravo ravnoɡo dostypa k ɡosydarstvʲenoj slyʐbʲe v svoʲej stranʲes.
human_rights_un_rus_sd_64kb_0072	volʲæ naroda dolʐna bɨtʲ osnovoj vlasti pravitʲelʲstva
human_rights_un_rus_sd_64kb_0073	ɛta volʲæ dolʐna naxoditʲ sʲebʲe vɨraʐʲeniʲe v pʲerioditɕʲeskix i nʲefalʲsifitsirovanɨx vɨborax kotorɨʲe dolʐnɨ provoditʲsʲæ pri vsʲeobɕʲem i ravnom izbiratʲelʲnom pravʲe pytʲem tajnoɡo ɡolosovanija ili ʐʲe posrʲedstvom dryɡix ravnoznatɕnɨx form obʲespʲetɕivajuɕix svobody ɡolosovanijas.
human_rights_un_rus_sd_64kb_0074	statʲæ 2
human_rights_un_rus_sd_64kb_0075	kaʐdɨj tɕʲelovʲek kak tɕlʲen obɕʲestva imʲeʲet pravo na sotsialʲnoʲe obʲespʲetɕʲeniʲe i na osyɕʲestvlʲeniʲe nʲeobxodimɨx dlʲæ podʲerʐanija ʲeɡo dostoinstva i dlʲæ svobodnoɡo razvitija ʲeɡo litɕnosti prav v ɛkonomitɕʲeskoj sotsialʲnoj i kylʲtyrnoj oblastʲæx tɕʲerʲez posrʲedstvo natsionalʲnɨx ysilij i mʲeʐdynarodnoɡo sotrydnitɕʲestva i v sotvʲetstvi so stryktyroj i rʲesyrsami kaʐdoɡo ɡosydarstvas.
human_rights_un_rus_sd_64kb_0076	statʲæ 23
human_rights_un_rus_sd_64kb_0077	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na tryd na svobodnɨj vɨbor rabotɨ na spravʲedlivɨʲe i blaɡoprijatnɨʲe yslovija tryda i na zaɕity ot bʲezrabotitsɨs.
human_rights_un_rus_sd_64kb_0078	kaʐdɨj tɕʲelovʲek bʲez kakojlibo diskriminatsi imʲeʲet pravo na ravnyju oplaty za ravnɨj tryds.
human_rights_un_rus_sd_64kb_0079	kaʐdɨj rabotajuɕij imʲeʲet pravo na spravʲedlivoʲe i ydovlʲetvoritʲelʲnoʲe voznaɡraʐdʲeniʲe obʲespʲetɕivajuɕʲeʲe dostojnoʲe tɕʲelovʲeka syɕʲestvovaniʲe dlʲæ nʲeɡo samoɡo i ʲeɡo sʲemʲi i dopolnʲæʲemoʲe pri nʲeobxodimosti dryɡimi srʲedstvami sotsialʲnoɡo obʲespʲetɕʲenijas.
human_rights_un_rus_sd_64kb_0080	kaʐdɨj tɕʲelovʲek imʲeʲet pravo sozdavatʲ profʲesionalʲnɨʲe sojuzɨ i vxoditʲ v profʲesionalʲnɨʲe sojuzɨ dlʲæ zaɕitɨ svoix intʲerʲesovs.
human_rights_un_rus_sd_64kb_0081	statʲæ 24
human_rights_un_rus_sd_64kb_0082	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na otdɨx i dosyɡ vklʲʉtɕaja pravo na razymnoʲe oɡranitɕʲeniʲe rabotɕʲeɡo dnʲæ i na oplatɕivaʲemɨj pʲerioditɕʲeskij otpysks.
human_rights_un_rus_sd_64kb_0083	statʲæ 25
human_rights_un_rus_sd_64kb_0084	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na takoj ʐiznʲenɨj yrovʲenʲ vklʲʉtɕaja piɕy odʲeʐdy ʐiliɕʲe mʲeditsinskij yxod i nʲeobxodimoʲe sotsialʲnoʲe obslyʐivaniʲe kotorɨj nʲeobxodim dlʲæ podʲerʐanija zdorovʲæ i blaɡosostojanija ʲeɡo samoɡo i ʲeɡo sʲemʲi i pravo na obʲespʲetɕʲeniʲe na slytɕaj bʲezrabotitsɨ bolʲezni invalidnosti vdovstva nastyplʲenija starosti ili inoɡo slytɕaja ytratɨ srʲedstv k syɕʲestvovaniju po nʲe zavisʲæɕim ot nʲeɡo obstojatʲelʲstvams.
human_rights_un_rus_sd_64kb_0085	matʲerinstvo i mladʲentɕʲestvo dajut pravo na osoboʲe popʲetɕʲeniʲe i pomoɕʲs.
human_rights_un_rus_sd_64kb_0086	vsʲe dʲeti rodivʂiʲesʲæ v brakʲe ili vnʲe braka dolʐnɨ polʲzovatʲsʲæ odinakovoj sotsialʲnoj zaɕitojs.
human_rights_un_rus_sd_64kb_0087	statʲæ 26
human_rights_un_rus_sd_64kb_0088	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na obrazovaniʲes.
human_rights_un_rus_sd_64kb_0089	obrazovaniʲe dolʐno bɨtʲ bʲesplatnɨm po mʲenʲʂʲej mʲerʲe v tom tɕto kasaʲetsʲæ natɕalʲnoɡo i obɕʲeɡo obrazovanijas.
human_rights_un_rus_sd_64kb_0090	natɕalʲnoʲe obrazovaniʲe dolʐno bɨtʲ obʲæzatʲelʲnɨms.
human_rights_un_rus_sd_64kb_0091	tʲexnitɕʲeskoʲe i profʲesionalʲnoʲe obrazovaniʲe dolʐno bɨtʲ obɕʲedostypnɨm i vɨsʂʲeʲe obrazovaniʲe dolʐno bɨtʲ odinakovo dostypnɨm dlʲæ vsʲex na osnovʲe sposobnostʲej kaʐdoɡos.
human_rights_un_rus_sd_64kb_0092	obrazovaniʲe dolʐno bɨtʲ napravlʲeno k polnomy razvitiju tɕʲelovʲetɕʲeskoj litɕnosti i k yvʲelitɕʲeniju yvaʐʲenija k pravam tɕʲelovʲeka i osnovnɨm svobodams.
human_rights_un_rus_sd_64kb_0093	obrazovaniʲe dolʐno sodʲejstvovatʲ vzaimoponimaniju tʲerpimosti i dryʐbʲe mʲeʐdy vsʲemi narodami rasovɨmi i rʲeliɡioznɨmi ɡrypami i dolʐno sodʲejstvovatʲ dʲejatʲelʲnosti orɡanizatsi obʲedinʲenɨx natsij po podʲerʐaniju miras.
human_rights_un_rus_sd_64kb_0094	roditʲeli imʲejut pravo prioritʲeta v vɨborʲe vida obrazovanija dlʲæ svoix malolʲetnix dʲetʲejs.
human_rights_un_rus_sd_64kb_0095	statʲæ 27
human_rights_un_rus_sd_64kb_0096	kaʐdɨj tɕʲelovʲek imʲeʲet pravo svobodno ytɕastvovatʲ v kylʲtyrnoj ʐizni obɕʲestva naslaʐdatʲsʲæ iskystvom ytɕastvovatʲ v naytɕnom proɡrʲesʲe i polʲzovatʲsʲæ ʲeɡo blaɡamis.
human_rights_un_rus_sd_64kb_0097	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na zaɕity ʲeɡo moralʲnɨx i matʲerialʲnɨx intʲerʲesov javlʲæjuɕixsʲæ rʲezylʲtatom naytɕnɨx litʲeratyrnɨx ili xydoʐʲestvʲenɨx trydov avtorom kotorɨx on javlʲæʲetsʲæs.
human_rights_un_rus_sd_64kb_0098	statʲæ 28
human_rights_un_rus_sd_64kb_0099	kaʐdɨj tɕʲelovʲek imʲeʲet pravo na sotsialʲnɨj i mʲeʐdynarodnɨj porʲædok pri kotorom prava i svobodɨ izloʐʲenɨʲe v nastojaɕʲej dʲeklaratsi moɡyt bɨtʲ polnostʲʉ osyɕʲestvlʲenɨs.
human_rights_un_rus_sd_64kb_0100	statʲæ 29
human_rights_un_rus_sd_64kb_0101	kaʐdɨj tɕʲelovʲek imʲeʲet obʲæzanosti pʲerʲed obɕʲestvom v kotorom tolʲko i vozmoʐno svobodnoʲe i polnoʲe razvitiʲe ʲeɡo litɕnostis.
human_rights_un_rus_sd_64kb_0102	pri osyɕʲestvlʲeni svoix prav i svobod kaʐdɨj tɕʲelovʲek dolʐʲen podvʲerɡatʲsʲæ tolʲko takim oɡranitɕʲenijam kakiʲe ystanovlʲenɨ zakonom isklʲʉtɕitʲelʲno s tsʲelʲʉ obʲespʲetɕʲenija dolʐnoɡo priznanija i yvaʐʲenija prav i svobod dryɡix i ydovlʲetvorʲenija spravʲedlivɨx trʲebovanij morali obɕʲestvʲenoɡo porʲædka i obɕʲeɡo blaɡosostojanija v dʲemokratitɕʲeskom obɕʲestvʲes.
human_rights_un_rus_sd_64kb_0103	osyɕʲestvlʲeniʲe ɛtix prav i svobod ni v koʲem slytɕaʲe nʲe dolʐno protivorʲetɕitʲ tsʲelʲæm i printsipam orɡanizatsi obʲedinʲenɨx natsis.
human_rights_un_rus_sd_64kb_0104	statʲæ 30
human_rights_un_rus_sd_64kb_0105	nitɕto v nastojaɕʲej dʲeklaratsi nʲe moʐʲet bɨtʲ istolkovano kak prʲedostavlʲeniʲe kakomylibo ɡosydarstvy ɡrypʲe lits ili otdʲelʲnɨm litsam prava zanimatʲsʲæ kakojlibo dʲejatʲelʲnostʲʉ ili sovʲerʂatʲ dʲejstvija napravlʲenɨʲe k ynitɕtoʐʲeniju prav i svobod izloʐʲenɨx v nastojaɕʲej dʲeklaratsis.
