human_rights_un_por_as_64kb_0001	dekɫaʁasɐ̃o univeʁsaɫ dos diʁeitos umanos
human_rights_un_por_as_64kb_0070	o kasamento nɐ̃o pode seʁ keɫebʁado sem o ɫivʁe e pɫeno konsentimento dos futuʁos esposos
human_rights_un_por_as_64kb_0071	a famiɫia ɛ o eɫemento natuʁaɫ e fundamentaɫ da sokiedade e tem diʁeito a pʁoteksɐ̃o desta e do estado
human_rights_un_por_as_64kb_0072	aʁtigo na
human_rights_un_por_as_64kb_0073	
human_rights_un_por_as_64kb_0074	toda a pesoa individuaɫ ou koɫektivament tem diʁeito a pʁopʁiedade
human_rights_un_por_as_64kb_0075	ningɛm pode seʁ aʁbitʁaʁiamente pʁivado da sua pʁopʁiedade
human_rights_un_por_as_64kb_0076	aʁtigo na
human_rights_un_por_as_64kb_0077	
human_rights_un_por_as_64kb_0078	toda a pesoa tem diʁeito a ɫibeʁdade de pensamento de konskiẽnkia e de ʁeɫigiɐ̃o
human_rights_un_por_as_64kb_0079	este diʁeito impɫika a ɫibeʁdade de mudaʁ de ʁeɫigiɐ̃o ou de konviksɐ̃o asim komo a ɫibeʁdade de manifestaʁ a ʁeɫigiɐ̃o ou konviksɐ̃o soziɲo ou em komum tanto em pubɫiko komo em pʁivado peɫo ensino peɫa pʁatika peɫo kuɫto e peɫos ʁitos
human_rights_un_por_as_64kb_0080	aʁtigo na
human_rights_un_por_as_64kb_0081	
human_rights_un_por_as_64kb_0082	todo o individuo tem diʁeito a ɫibeʁdade de opiniɐ̃o e de ekspʁesɐ̃o o ke impɫika o diʁeito de nɐ̃o seʁ inkietado peɫas suas opiniões e o de pʁokuʁaʁ ʁekebeʁ e difundiʁ sem konsideʁasɐ̃o de fʁonteiʁas infoʁmasões e ideias poʁ kaɫkeʁ meio de ekspʁesɐ̃o
human_rights_un_por_as_64kb_0083	aʁtigo na
human_rights_un_por_as_64kb_0084	
human_rights_un_por_as_64kb_0085	toda a pesoa tem diʁeito a ɫibeʁdade de ʁeuniɐ̃o e de asokiasɐ̃o pakifikas
human_rights_un_por_as_64kb_0086	ningɛm pode seʁ obʁigado a fazeʁ paʁte de uma asokiasɐ̃o
human_rights_un_por_as_64kb_0087	aʁtigo na
human_rights_un_por_as_64kb_0088	
human_rights_un_por_as_64kb_0089	toda a pesoa tem o diʁeito de tomaʁ paʁte na diʁeksɐ̃o dos negɔkios pubɫikos do seu pais keʁ diʁektament keʁ poʁ inteʁmɛdio de ʁepʁesentantes ɫivʁemente eskoʎidos
human_rights_un_por_as_64kb_0090	toda a pesoa tem diʁeito de akeso em kondisões de igaɫdad as funsões pubɫikas do seu pais
human_rights_un_por_as_64kb_0091	a vontade do povo ɛ o fundamento da autoʁidade dos podeʁes pubɫikos e deve ekspʁimiʁse atʁavɛs de eɫeisões onestas a ʁeaɫizaʁ peʁiodikamente poʁ sufʁagio univeʁsaɫ e igaɫ kom voto sekʁeto ou segndo pʁokeso ekivaɫente ke saɫvagaʁde a ɫibeʁdade de voto
human_rights_un_por_as_64kb_0092	aʁtigo ona
human_rights_un_por_as_64kb_0093	
human_rights_un_por_as_64kb_0094	toda a pesoa komo membʁo da sokiedad tem diʁeito a segʁansa sokiaɫ
human_rights_un_por_as_64kb_0095	e pode ɫegitimamente eksigiʁ a satisfasɐ̃o dos diʁeitos ekonɔmikos sokiais e kuɫtuʁais indispensaveis gʁasas ao esfoʁso nakionaɫ e a kopeʁasɐ̃o inteʁnakionaɫ de aʁmonia kom a oʁganizasɐ̃o e os ʁekuʁsos de kada pais
human_rights_un_por_as_64kb_0096	aʁtigo sna
human_rights_un_por_as_64kb_0097	
human_rights_un_por_as_64kb_0098	toda a pesoa tem diʁeito ao tʁabaʎo a ɫivʁe eskoʎa do tʁabaʎo a kondisões ekitativas e satisfatɔʁias de tʁabaʎo e a pʁoteksɐ̃o kontʁa o desempʁego
human_rights_un_por_as_64kb_0099	todos tem diʁeito sem diskʁiminasɐ̃o aɫgma a saɫaʁio igaɫ poʁ tʁabaʎo igaɫ
human_rights_un_por_as_64kb_0100	kem tʁabaʎa tem diʁeito a uma ʁemuneʁasɐ̃o ekitativa e satisfatɔʁia ke ʎe peʁmita e a sua famiɫia uma eksistẽnkia konfoʁme kom a dignidade umana e kompɫetada se posiveɫ poʁ todos os outʁos meios de pʁoteksɐ̃o sokiaɫ
human_rights_un_por_as_64kb_0101	toda a pesoa tem o diʁeito de fundaʁ kom outʁas pesoas sindikatos e de se fiɫiaʁ em sindikatos paʁa defesa dos seus inteʁeses
human_rights_un_por_as_64kb_0102	aʁtigo na
human_rights_un_por_as_64kb_0103	
human_rights_un_por_as_64kb_0104	toda a pesoa tem diʁeito ao ʁepouso e aos ɫazeʁes espekiaɫment a uma ɫimitasɐ̃o ʁazoaveɫ da duʁasɐ̃o do tʁabaʎo e as fɛʁias peʁiɔdikas pagas
human_rights_un_por_as_64kb_0105	aʁtigo na
human_rights_un_por_as_64kb_0106	
human_rights_un_por_as_64kb_0107	toda a pesoa tem diʁeito a um niveɫ de vida sufikiente paʁa ʎe asegʁaʁ e a sua famiɫia a saude e o bemestaʁ pʁinkipaɫmente kanto a aɫimentasɐ̃o ao vestuaʁio ao aɫoʒamento a asistẽnkia mɛdika e ainda kanto aos seʁvisos sokiais nekesaʁios e tem diʁeito a segʁansa no desempʁego na doensa na invaɫidez na viuvez na veʎike ou noutʁos kasos de peʁda de meios de subsistẽnkia poʁ kiʁkunstãnkias independentes da sua vontade
human_rights_un_por_as_64kb_0108	a mateʁnidade e a infãnkia tem diʁeito a aʒuda e a asistẽnkia espekiais
human_rights_un_por_as_64kb_0109	todas as kʁiansas naskidas dentʁo ou foʁa do matʁimɔnio gozam da mesma pʁoteksɐ̃o sokiaɫ
human_rights_un_por_as_64kb_0110	aʁtigo na
human_rights_un_por_as_64kb_0111	
human_rights_un_por_as_64kb_0112	toda a pesoa tem diʁeito a edukasɐ̃o
human_rights_un_por_as_64kb_0113	a edukasɐ̃o deve seʁ gʁatuita peɫo menos a koʁespondente ao ensino eɫementaʁ fundamentaɫ
human_rights_un_por_as_64kb_0114	o ensino eɫementaʁ ɛ obʁigatɔʁio
human_rights_un_por_as_64kb_0115	o ensino tɛkniko e pʁofisionaɫ deveʁ seʁ geneʁaɫizado
human_rights_un_por_as_64kb_0116	o akeso aos estudos supeʁioʁes deve estaʁ abeʁto a todos em pɫena igaɫdad em funsɐ̃o do seu mɛʁito
human_rights_un_por_as_64kb_0117	a edukasɐ̃o deve visaʁ a pɫena ekspansɐ̃o da peʁsonaɫidade umana e ao ʁefoʁso dos diʁeitos umanos e das ɫibeʁdades fundamentais e deve favoʁekeʁ a kompʁensɐ̃o a toɫeʁãnkia e a amizade entʁe todas as nasões e todos os gʁupos ʁakiais ou ʁeɫigiosos bem komo o desenvoɫvimento das aktividades das nasões unidas paʁa a manutensɐ̃o da pazna
human_rights_un_por_as_64kb_0118	aos pais peʁtenke a pʁioʁidade do diʁeito de eskoʎeʁ o gɛneʁo de edukasɐ̃o a daʁ aos fiʎos
human_rights_un_por_as_64kb_0119	aʁtigo na
human_rights_un_por_as_64kb_0120	
human_rights_un_por_as_64kb_0121	toda a pesoa tem o diʁeito de tomaʁ paʁte ɫivʁemente na vida kuɫtuʁaɫ da komunidad de fʁuiʁ as aʁtes e de paʁtikipaʁ no pʁogʁeso kientifiko e nos benefikios ke deste ʁesuɫtam
human_rights_un_por_as_64kb_0122	todos tem diʁeito a pʁoteksɐ̃o dos inteʁeses moʁais e mateʁiais ɫigados a kaɫkeʁ pʁodusɐ̃o kientifika ɫiteʁaʁia ou aʁtistika da sua autoʁia
human_rights_un_por_as_64kb_0123	aʁtigo na
human_rights_un_por_as_64kb_0124	
human_rights_un_por_as_64kb_0125	toda a pesoa tem diʁeito a ke ʁeine no pɫano sokiaɫ e no pɫano inteʁnakionaɫ uma oʁdem kapaz de toʁnaʁ pɫenamente efektivos os diʁeitos e as ɫibeʁdades enunkiadas na pʁesente dekɫaʁasɐ̃o
human_rights_un_por_as_64kb_0126	aʁtigo na
human_rights_un_por_as_64kb_0127	
human_rights_un_por_as_64kb_0128	o individuo tem deveʁes paʁa kom a komunidad foʁa da kaɫ nɐ̃o ɛ posiveɫ o ɫivʁe e pɫeno desenvoɫvimento da sua peʁsonaɫidadena
human_rights_un_por_as_64kb_0129	no ekseʁkikio destes diʁeitos e no gozo destas ɫibeʁdades ningɛm esta suʒeito senɐ̃o as ɫimitasões estabeɫekidas peɫa ɫei kom vista ekskɫusivamente a pʁomoveʁ o ʁekoɲekimento e o ʁespeito dos diʁeitos e ɫibeʁdades dos outʁos e a fim de satisfazeʁ as ʒustas eksigẽnkias da moʁaɫ da oʁdem pubɫika e do bemestaʁ numa sokiedade demokʁatika
human_rights_un_por_as_64kb_0130	em kaso aɫgm estes diʁeitos e ɫibeʁdades podeʁɐ̃o seʁ ekseʁkidos kontʁaʁiamente aos fins e aos pʁinkipios das nasões unidas
human_rights_un_por_as_64kb_0131	aʁtigo sna
human_rights_un_por_as_64kb_0132	
human_rights_un_por_as_64kb_0133	neɲuma disposisɐ̃o da pʁesente dekɫaʁasɐ̃o pode seʁ inteʁpʁetada de maneiʁa a envoɫveʁ paʁa kaɫkeʁ estado agʁupamento ou individuo o diʁeito de se entʁegaʁ a aɫgma aktividade ou de pʁatikaʁ aɫgm akto destinado a destʁuiʁ os diʁeitos e ɫibeʁdades aki enunkiados
