human_rights_un_chi_nf_64kb_0001	ʂɯ˥˩tɕjɛ˥˩ɻə˧˥ntɕʰɥa˧˥nɕɥa˥njɛ˧˥n
human_rights_un_chi_nf_64kb_0012	tɕjɛ˥˩ny˧˥kə˥˩hwe˥˩jy˧˥nkwɔ˧˥jɛ˥˩i˨˩˦ʂɯ˥˩ɥɛ˥˩ntʰo˧˥ŋljɛ˧˥nhə˧˥kwɔ˧˥hə˧˥tswɔ˥˩i˨˩˦tsʰu˥˩tɕi˥˩ntwe˥˩jɻə˧˥ntɕʰɥa˧˥nhə˧˥tɕi˥pə˨˩˦ntsɨ˥˩jo˧˥wtəpʰu˨˩˦pjɛ˥˩ntswə˥nʈʂo˥˩ŋhə˧˥tswə˥nɕi˧˥ŋ
human_rights_un_chi_nf_64kb_0013	tɕjɛ˥˩ny˧˥twe˥˩jʈʂe˥˩jɕjɛ˥tɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wtəpʰu˨˩˦pjɛ˥˩nljɑ˧˥wtɕjɛ˨˩˦twe˥˩jy˧˥ʈʂe˥˩jkə˥˩ʂɯ˥˩ɥɛ˥˩ntəʈʂʰo˥ŋfə˥nʂɯ˧˥ɕjɛ˥˩ntɕy˥˩jo˨˩˦whə˨˩˦ntɑ˥˩təʈʂo˥˩ŋjɑ˥˩wɕi˥˩ŋ
human_rights_un_chi_nf_64kb_0014	ji˥ntsʰɨ˨˩˦ɕjɛ˥˩ntsa˥˩jtɑ˥˩hwe˥˩jfɑ˥pu˥˩ʈʂe˥˩ji˧˥ʂɯ˥˩tɕjɛ˥˩ɻə˧˥ntɕʰɥa˧˥nɕɥa˥njɛ˧˥ntswɔ˥˩we˧˥jswɔ˧˥jo˨˩˦wɻə˧˥nmi˧˥nhə˧˥swɔ˧˥jo˨˩˦wkwɔ˧˥tɕja˥nu˧˥li˥˩ʂɯ˧˥ɕjɛ˥˩ntəko˥˩ŋtʰo˧˥ŋpjɑ˥wʈʂwə˨˩˦ni˨˩˦tɕʰi˥me˨˩˦ji˧˥kə˥˩ɻə˧˥nhə˧˥ʂə˥˩hwe˥˩jtɕi˥ko˥˩wtɕi˥ŋʈʂʰɑ˧˥ŋmi˧˥ŋnjɛ˥˩npə˨˩˦nɕɥa˥njɛ˧˥nnu˧˥li˥˩tʰo˥ŋkwɔ˥˩tɕjɑ˥˩whə˧˥tɕjɑ˥˩wy˥˩tsʰu˥˩tɕi˥˩ntwe˥˩jtɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wtətswə˥nʈʂo˥˩ŋpi˥˩ŋtʰo˥ŋkwɔ˥˩kwɔ˧˥tɕja˥təhə˧˥kwɔ˧˥tɕi˥˩tətɕjɛ˥˩ntɕi˥˩ntsʰwɔ˥˩ʂɯ˥ʂɯ˨˩˦ʈʂə˥˩˧˥ɕjɛ˥tɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wtsa˥˩jkə˥˩hwe˥˩jy˧˥nkwɔ˧˥pə˨˩˦nʂə˥nɻə˧˥nmi˧˥ntɕi˧˥tsa˥˩jtɕʰi˧˥kwa˨˩˦nɕja˧˥ɕja˥˩li˧˥ŋtʰu˨˩˦təɻə˧˥nmi˧˥nʈʂo˥ŋtə˧˥tɑ˥˩wpʰu˨˩˦pjɛ˥˩nhə˧˥jo˨˩˦wɕjɑ˥˩wtəʈʂʰə˧˥ŋɻə˥˩nhə˧˥tswə˥nɕi˧˥ŋ
human_rights_un_chi_nf_64kb_0015	ti˥˩i˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0016	ɻə˧˥nɻə˧˥nʂə˥ŋɚ˧˥tsɨ˥˩jo˧˥wtsa˥˩jtswə˥njɛ˧˥nhə˧˥tɕʰɥa˧˥nli˥˩ʂɑ˥˩ŋi˥˩ly˥˩pʰi˧˥ŋtə˨˩˦ŋ
human_rights_un_chi_nf_64kb_0017	tʰɑ˥mənfu˥˩jo˧˥wli˨˩˦ɕi˥˩ŋhə˧˥ljɑ˧˥ŋɕi˥npi˥˩ŋji˥˩ŋi˨˩˦ɕo˥ŋti˥˩kwa˥nɕi˥˩tətɕi˥ŋʂə˧˥nɕjɑ˥ŋtwe˥˩jta˥˩j
human_rights_un_chi_nf_64kb_0018	ti˥˩˥˩ɚtʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0019	ɻə˧˥nɻə˧˥njo˨˩˦wtsɨ˥kə˧˥ɕjɑ˧˥ŋjo˨˩˦wpə˨˩˦nɕɥa˥njɛ˧˥nswɔ˨˩˦tsa˥˩jtəi˧˥tɕʰjɛ˥˩tɕʰɥa˧˥nli˥˩hə˧˥tsɨ˥˩jo˧˥wpu˥˩fə˥nʈʂo˨˩˦ŋtsu˧˥fu˥sə˥˩ɕi˥˩ŋpjɛ˧˥y˨˩˦jɛ˧˥ntso˥ŋtɕjɑ˥˩wʈʂə˥˩ŋʈʂɯ˥˩hwɔ˥˩tɕʰi˧˥tʰɑ˥tɕjɛ˥˩ntɕjɛ˨˩˦kwɔ˧˥tɕi˧˥hwɔ˥˩ʂə˥˩hwe˥˩jʈʂʰu˥ʂə˥ntsʰa˧˥jʈʂʰa˨˩˦nʈʂʰu˥ʂə˥ŋhwɔ˥˩tɕʰi˧˥tʰɑ˥ʂə˥nfə˥ntə˨˩˦ŋɻə˥˩nhə˧˥tɕʰy˥pjɛ˧˥
human_rights_un_chi_nf_64kb_0020	pi˥˩ŋtɕʰjɛ˨˩˦pu˥˩tə˧˥ji˥ni˧˥ɻə˧˥nswɔ˧˥ʂu˨˩˦təkwɔ˧˥tɕja˥hwɔ˥˩li˧˥ŋtʰu˨˩˦təʈʂə˥˩ŋʈʂɯ˥˩təɕi˧˥ŋʈʂə˥˩ŋtəhwɔ˥˩ʈʂə˨˩˦kwɔ˧˥tɕi˥˩ti˥˩ti˥˩we˥˩jʈʂɯ˥pu˥˩tʰo˧˥ŋɚ˧˥jo˧˥wswɔ˨˩˦tɕʰy˥pjɛ˧˥wu˧˥lwə˥˩nka˥jli˧˥ŋtʰu˨˩˦ʂɯ˥˩tu˧˥li˥˩li˧˥ŋtʰu˨˩˦tʰwɔ˥kwa˨˩˦nli˧˥ŋtʰu˨˩˦fe˥jtsɨ˥˩ʈʂɯ˥˩li˧˥ŋtʰu˨˩˦hwɔ˥˩ʈʂə˨˩˦ʈʂʰu˨˩˦y˧˥tɕʰi˧˥tʰɑ˥ɻə˥˩nhə˧˥ʈʂu˨˩˦tɕʰɥa˧˥nʂo˥˩wɕjɛ˥˩nʈʂɯ˥˩tətɕʰi˧˥ŋkʰwɑ˥˩ŋʈʂɯ˥ɕja˥˩
human_rights_un_chi_nf_64kb_0021	ti˥˩sa˥ntʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0022	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˧˥ŋjo˨˩˦wʂə˥ŋmi˥˩ŋtsɨ˥˩jo˧˥whə˧˥ɻə˧˥nʂə˥na˥ntɕʰɥa˧˥n
human_rights_un_chi_nf_64kb_0023	ti˥˩sɨ˥˩tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0024	ɻə˥˩nhə˧˥ɻə˧˥npu˥˩tə˧˥ʂɯ˨˩˦we˧˥jnu˧˥li˥˩hwɔ˥˩nu˧˥i˥˩
human_rights_un_chi_nf_64kb_0025	i˧˥tɕʰjɛ˥˩ɕi˧˥ŋʂɯ˥˩tənu˧˥li˥˩ʈʂɯ˥˩tu˥˩hə˧˥nu˧˥li˥˩ma˨˩˦jma˥˩jtɕɥə˥nji˥˩ŋy˧˥i˨˩˦tɕi˥˩nʈʂɯ˨˩˦
human_rights_un_chi_nf_64kb_0026	ti˥˩wu˨˩˦tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0027	ɻə˥˩nhə˧˥ɻə˧˥npu˥˩tə˧˥tɕja˥i˧˥kʰu˥˩ɕi˧˥ŋhwɔ˥˩ʂɯ˥i˨˩˦tsʰa˧˥nɻə˨˩˦ntəpu˥˩ɻə˧˥ntɑ˥˩wtəhwɔ˥˩wu˧˥ɻu˨˩˦ɕi˥˩ŋtəta˥˩jy˥˩hwɔ˥˩ɕi˧˥ŋfɑ˧˥
human_rights_un_chi_nf_64kb_0028	ti˥˩ljo˥˩wtʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0029	ɻə˧˥nɻə˧˥ntsa˥˩jɻə˥˩nhə˧˥ti˥˩fɑ˥ŋjo˨˩˦wtɕʰɥa˧˥npe˥˩jʈʂʰə˧˥ŋɻə˥˩ntsa˥˩jfɑ˨˩˦ly˥˩tɕʰjɛ˧˥ntəɻə˧˥nkə˧˥
human_rights_un_chi_nf_64kb_0030	ti˥˩tɕʰi˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0031	fɑ˨˩˦ly˥˩ʈʂɯ˥tɕʰjɛ˧˥nɻə˧˥nɻə˧˥npʰi˧˥ŋtə˨˩˦ŋpi˥˩ŋjo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wfɑ˨˩˦ly˥˩təpʰi˧˥ŋtə˨˩˦ŋpɑ˨˩˦whu˥˩pu˥˩ʂo˥˩wɻə˥˩nhə˧˥tɕʰi˧˥ʂɯ˥˩
human_rights_un_chi_nf_64kb_0032	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wpʰi˧˥ŋtə˨˩˦ŋpɑ˨˩˦whu˥˩i˨˩˦mjɛ˨˩˦nʂo˥˩wwe˧˥jfa˨˩˦npə˨˩˦nɕɥa˥njɛ˧˥ntəɻə˥˩nhə˧˥tɕʰi˧˥ʂɯ˥˩ɕi˧˥ŋwe˧˥ji˨˩˦tɕi˧˥ʂa˥nto˥˩ŋʈʂe˥˩jʈʂo˨˩˦ŋtɕʰi˧˥ʂɯ˥˩təɻə˥˩nhə˧˥ɕi˧˥ŋwe˧˥jʈʂɯ˥ha˥˩j
human_rights_un_chi_nf_64kb_0033	ti˥˩pɑ˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0034	ɻə˥˩nhə˧˥ɻə˧˥ntɑ˥ŋɕjɛ˥˩nfɑ˨˩˦hwɔ˥˩fɑ˨˩˦ly˥˩swɔ˨˩˦fu˥˩y˨˩˦tʰɑ˥tətɕi˥pə˨˩˦ntɕʰɥa˧˥nli˥˩tsɑ˥wʂo˥˩wtɕʰi˥nha˥˩jʂɯ˧˥jo˨˩˦wtɕʰɥa˧˥njo˧˥whə˧˥kə˧˥təkwɔ˧˥tɕja˥fɑ˨˩˦tʰi˧˥ŋtwe˥˩jʈʂe˥˩jʈʂo˨˩˦ŋtɕʰi˥nha˥˩jɕi˧˥ŋwe˧˥jtswɔ˥˩jo˨˩˦wɕjɑ˥˩wtəpu˨˩˦tɕjo˥˩w
human_rights_un_chi_nf_64kb_0035	ti˥˩tɕjo˨˩˦wtʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0036	ɻə˥˩nhə˧˥ɻə˧˥npu˥˩tə˧˥tɕja˥i˧˥ɻə˥˩ni˥˩ta˥˩jpu˨˩˦tɕy˥tɕi˥˩nhwɔ˥˩fɑ˥˩ŋʈʂu˧˥
human_rights_un_chi_nf_64kb_0037	ti˥˩ʂɯ˧˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0038	ɻə˧˥nɻə˧˥nwa˧˥ntɕʰɥa˧˥npʰi˧˥ŋtə˨˩˦ŋti˥˩jo˨˩˦wtɕʰɥa˧˥njo˧˥wi˧˥kə˥˩tu˧˥li˥˩ɚ˧˥wu˧˥pʰjɛ˥ni˨˩˦təfɑ˨˩˦tʰi˧˥ŋtɕi˥˩nɕi˧˥ŋko˥ŋʈʂə˥˩ŋtəhə˧˥ko˥ŋkʰa˥jtəʂə˨˩˦nɕɥə˥˩ni˨˩˦tɕʰɥɛ˥˩ti˥˩ŋtʰɑ˥tətɕʰɥa˧˥nli˥˩hə˧˥i˥˩wu˥˩pi˥˩ŋpʰa˥˩nti˥˩ŋtwe˥˩jtʰɑ˥tʰi˧˥ʈʂʰu˥təɻə˥˩nhə˧˥ɕi˧˥ŋʂɯ˥˩ʈʂɯ˨˩˦kʰo˥˩ŋ
human_rights_un_chi_nf_64kb_0039	ti˥˩ʂɯ˧˥i˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0040	fa˧˥nʂo˥˩wɕi˧˥ŋʂɯ˥˩kʰo˥˩ŋkɑ˥˩wʈʂə˨˩˦tsa˥˩jwe˥˩jtɕi˥ŋhwɔ˥˩tə˧˥pjɛ˥˩nhu˥˩ʂɑ˥˩ŋswɔ˨˩˦ɕy˥təi˧˥tɕʰjɛ˥˩pɑ˨˩˦wʈʂə˥˩ŋtəko˥ŋkʰa˥jʂə˨˩˦npʰa˥˩nɚ˧˥i˥fɑ˨˩˦ʈʂə˥˩ŋʂɯ˧˥jo˨˩˦wtswe˥˩ji˨˩˦tɕʰjɛ˧˥njo˨˩˦wtɕʰɥa˧˥npe˥˩jʂɯ˥˩we˧˥jwu˧˥tswe˥˩j
human_rights_un_chi_nf_64kb_0041	ɻə˥˩nhə˧˥ɻə˧˥ntəɻə˥˩nhə˧˥ɕi˧˥ŋwe˧˥jhwɔ˥˩pu˥˩ɕi˧˥ŋwe˧˥jtsa˥˩jtɕʰi˧˥fɑ˥ʂə˥ŋʂɯ˧˥i˥kwɔ˧˥tɕja˥fɑ˨˩˦hwɔ˥˩kwɔ˧˥tɕi˥˩fɑ˨˩˦tɕɥə˥npu˥˩ko˥˩wʈʂʰə˧˥ŋɕi˧˥ŋʂɯ˥˩tswe˥˩jʈʂə˨˩˦pu˥˩tə˧˥pe˥˩jpʰa˥˩nwe˧˥jfa˥˩njo˨˩˦wɕi˧˥ŋʂɯ˥˩tswe˥˩j
human_rights_un_chi_nf_64kb_0042	ɕi˧˥ŋfɑ˧˥pu˥˩tə˧˥ʈʂo˥˩ŋy˧˥fa˥˩ntswe˥˩jʂɯ˧˥ʂɯ˥˩jo˥˩ŋtəfɑ˨˩˦ly˥˩kwe˥jti˥˩ŋ
human_rights_un_chi_nf_64kb_0043	ti˥˩ʂɯ˧˥ɚ˥˩tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0044	ɻə˥˩nhə˧˥ɻə˧˥ntəsɨ˥ʂə˥ŋhwɔ˧˥tɕja˥tʰi˧˥ŋʈʂu˥˩ʈʂa˧˥jhə˧˥tʰo˥ŋɕi˥˩npu˥˩tə˧˥ɻə˥˩ni˥˩ka˥nʂə˥˩tʰɑ˥təɻo˧˥ŋy˥˩hə˧˥mi˧˥ŋy˥˩pu˥˩tə˧˥tɕja˥i˧˥ko˥ŋtɕi˥
human_rights_un_chi_nf_64kb_0045	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˨˩˦ŋʂo˥˩wfɑ˨˩˦ly˥˩pɑ˨˩˦whu˥˩i˨˩˦mjɛ˨˩˦nʂo˥˩wʈʂe˥˩jʈʂo˨˩˦ŋka˥nʂə˥˩hwɔ˥˩ko˥ŋtɕi˥
human_rights_un_chi_nf_64kb_0046	ti˥˩ʂɯ˧˥sa˥ntʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0047	ɻə˧˥nɻə˧˥ntsa˥˩jkə˥˩kwɔ˧˥tɕi˥˩ŋne˥˩jjo˨˩˦wtɕʰɥa˧˥ntsɨ˥˩jo˧˥wtɕʰjɛ˥nɕi˨˩˦hə˧˥tɕy˥ʈʂu˥˩
human_rights_un_chi_nf_64kb_0048	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nli˧˥kʰa˥jɻə˥˩nhə˧˥kwɔ˧˥tɕja˥pɑ˥wkʰwɔ˥˩tɕʰi˧˥pə˨˩˦nkwɔ˧˥tsa˥˩jne˥˩jpi˥˩ŋjo˨˩˦wtɕʰɥa˧˥nfa˨˩˦nhwe˧˥jtʰɑ˥təkwɔ˧˥tɕja˥
human_rights_un_chi_nf_64kb_0049	ti˥˩ʂɯ˧˥sɨ˥˩tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0050	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥ntsa˥˩jtɕʰi˧˥tʰɑ˥kwɔ˧˥tɕja˥ɕɥə˧˥ntɕʰjo˧˥whə˧˥ɕjɑ˨˩˦ŋʂo˥˩wpi˥˩hu˥˩i˨˩˦pi˥˩mjɛ˨˩˦npʰwo˥˩ha˥˩j
human_rights_un_chi_nf_64kb_0051	tsa˥˩jʈʂə˥nʈʂə˥˩ŋjo˧˥wy˧˥fe˥jʈʂə˥˩ŋʈʂɯ˥˩ɕi˥˩ŋtətswe˥˩jɕi˧˥ŋhwɔ˥˩we˧˥jpe˥˩jljɛ˧˥nhə˧˥kwɔ˧˥tətso˥ŋʈʂɯ˨˩˦hə˧˥ɥɛ˧˥ntsə˧˥təɕi˧˥ŋwe˧˥jɚ˧˥pe˥˩jtɕʰi˨˩˦su˥˩tətɕʰi˧˥ŋkʰwɑ˥˩ŋɕja˥˩pu˥˩tə˧˥ɥɛ˧˥njo˥˩ŋtsʰɨ˨˩˦ʈʂo˨˩˦ŋtɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0052	ti˥˩ʂɯ˧˥wu˨˩˦tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0053	ɻə˧˥nɻə˧˥njo˨˩˦wtɕʰɥa˧˥nɕjɑ˧˥ŋjo˨˩˦wkwɔ˧˥tɕi˧˥
human_rights_un_chi_nf_64kb_0054	ɻə˥˩nhə˧˥ɻə˧˥ntəkwɔ˧˥tɕi˧˥pu˥˩tə˧˥ɻə˥˩ni˥˩pwo˥twɔ˧˥i˥˩pu˥˩tə˧˥fo˨˩˦wɻə˥˩ntɕʰi˧˥ka˨˩˦jpjɛ˥˩nkwɔ˧˥tɕi˧˥tətɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0055	ti˥˩ʂɯ˧˥ljo˥˩wtʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0056	ʈʂʰə˧˥ŋnjɛ˧˥nna˧˥nny˨˩˦pu˥˩ʂo˥˩wʈʂo˨˩˦ŋtsu˧˥kwɔ˧˥tɕi˧˥hwɔ˥˩tso˥ŋtɕjɑ˥˩wtəɻə˥˩nhə˧˥ɕjɛ˥˩nʈʂɯ˥˩jo˨˩˦wtɕʰɥa˧˥nhwə˥ntɕja˥˩hə˧˥ʈʂʰə˧˥ŋli˥˩tɕja˥tʰi˧˥ŋ
human_rights_un_chi_nf_64kb_0057	tʰɑ˥məntsa˥˩jhwə˥nji˥nfɑ˥ŋmjɛ˥˩ntsa˥˩jtɕjɛ˧˥hwə˥ntɕʰi˥tɕjɛ˥nhə˧˥tsa˥˩jtɕjɛ˨˩˦ʈʂʰu˧˥hwə˥nɥɛ˥ʂɯ˧˥ji˥ŋjo˨˩˦wpʰi˧˥ŋtə˨˩˦ŋtətɕʰɥa˧˥nli˥˩
human_rights_un_chi_nf_64kb_0058	ʈʂɯ˧˥jo˨˩˦wtɕi˥ŋna˧˥nny˨˩˦ʂwɑ˥ŋfɑ˥ŋtətsɨ˥˩jo˧˥whə˧˥wa˧˥ntɕʰɥa˧˥ntətʰo˧˥ŋi˥˩tsʰa˧˥jnə˧˥ŋti˥˩hwə˥n
human_rights_un_chi_nf_64kb_0059	tɕja˥tʰi˧˥ŋʂɯ˥˩tʰjɛ˥nɻa˧˥ntəhə˧˥tɕi˥pə˨˩˦ntəʂə˥˩hwe˥˩jta˥nɥɛ˧˥npi˥˩ŋji˥˩ŋʂo˥˩wʂə˥˩hwe˥˩jhə˧˥kwɔ˧˥tɕja˥təpɑ˨˩˦whu˥˩
human_rights_un_chi_nf_64kb_0060	ti˥˩ʂɯ˧˥tɕʰi˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0061	ɻə˧˥nɻə˧˥ntə˧˥jo˨˩˦wta˥ntu˧˥tətsʰa˧˥jʈʂʰa˨˩˦nswɔ˧˥jo˨˩˦wtɕʰɥa˧˥ni˨˩˦tɕi˧˥tʰo˧˥ŋtʰɑ˥ɻə˧˥nhə˧˥jo˨˩˦wtəswɔ˧˥jo˨˩˦wtɕʰɥa˧˥n
human_rights_un_chi_nf_64kb_0062	ɻə˥˩nhə˧˥ɻə˧˥ntətsʰa˧˥jʈʂʰa˨˩˦npu˥˩tə˧˥ɻə˥˩ni˥˩pwo˥twɔ˧˥
human_rights_un_chi_nf_64kb_0063	ti˥˩ʂɯ˧˥pɑ˥tʰjɑ˧˥w
human_rights_un_chi_nf_64kb_0064	ɻə˧˥nɻə˧˥njo˨˩˦wsɨ˥ɕjɑ˨˩˦ŋljɑ˧˥ŋɕi˥nhə˧˥tso˥ŋtɕjɑ˥˩wtsɨ˥˩jo˧˥wtətɕʰɥa˧˥nli˥˩
