human_rights_un_dut_aw_64kb_0001	ˈyːnɪveːˈeːrsˈeːlˈeː vˈeːrklˈɑrɪnɣ vˈɑn dˈeː rˈeːseːhteːˈeːn vˈɑn dˈeː ɛmˈeːns
human_rights_un_dut_aw_64kb_0012	ɑlə mˈɛnsə ʋˈɔrdə vrɛɪ ˈɛn xəlˈɛɪk ˈɪn ʋˈaːrdəxhɛɪt ˈɛn rɛxtə xəbˈoːrə
human_rights_un_dut_aw_64kb_0013	zɛɪ zˈɛɪn bəɣˈɪftəxt mˈɛt vərstɑnt ˈɛn xəʋˈeːtə ˈɛn bəhoːrə zˈɪx jˈeːɣəns ˈɛlkɑndər ˈɪn ˈeːn xˈeːst vˈɑn brˈuːdərsxɑp tə xədraːɣə
human_rights_un_dut_aw_64kb_0014	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0015	eːə ˈiːdər hˈeːft aːnspraːk ˈɔp ˈɑlə rɛxtə ˈɛn vrˈɛɪheːdə ˈɪn dˈeːzə vɛrklaːrɪŋ ˈɔpxəsɔmt zˈɔndər ˈeːnəx ɔndərsxˈɛɪt vˈɑn ʋˈɛlkə ˈaːrt ˈoːk zoːʋˈɑls rˈɑs klˈøːr xəslˈɑxt tˈaːl xˈɔdzdiːnst poːliːtˈiːkə ˈɔf ˈɑndərə oːvərtˈœɪɣɪŋ nɑtʃoːnˈaːlə ˈɔf maːtsxˈɑpələkə ˈɑfkɔmst ˈɛɪɣədɔm xəbˈoːrtə ˈɔf ˈɑndərə stˈaːtʉs
human_rights_un_dut_aw_64kb_0016	vˈeːrdər zˈɑl xˈeːn ɔndərsxˈɛɪt ʋˈɔrdə xəmaːkt nˈaːr də poːliːtˈiːkə jyːrˈiːdiːsə ˈɔf ɪntərnɑtʃoːnˈaːlə stˈaːtʉs vˈɑn hɛt lˈɑnt ˈɔf xəbˈiːt ʋaːrtˈuː ˈiːmɑnt bəhˈoːrt ɔnvərsxˈɪləx ˈɔf hɛt ˈeːn ɔnɑfhˈɑŋkələk trˈʉst# ˈɔf nˈiːt#zˈɛlvbəstyːrənt xəbˈiːt bətrˈɛft dˈɑn ʋˈɛl ˈɔf ˈɛr ˈeːn ˈɑndərə bəpˈɛrkɪŋ vˈɑn də suːvərɛɪniːtˈɛɪt bəstˈaːt
human_rights_un_dut_aw_64kb_0017	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0018	eːə ˈiːdər hˈeːft hɛt rɛxt ˈɔp lˈeːvə vrˈɛɪhɛɪt ˈɛn ɔnsxˈɛndbaːrhɛɪt vˈɑn zˈɛɪn pərsˈoːn
human_rights_un_dut_aw_64kb_0019	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0020	nˈiːmɑnt zˈɑl ˈɪn slaːvərnˈɛɪ ˈɔf hˈoːrəxhɛɪt xəhɯdə ʋˈɔrdə
human_rights_un_dut_aw_64kb_0021	slaːvərnˈɛɪ ˈɛn slˈaːvəhɑndəl ˈɪn ˈiːdərə vˈɔrm zˈɛɪn vərboːdə
human_rights_un_dut_aw_64kb_0022	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0023	nˈiːmɑnt zˈɑl ɔndərʋˈɔrpə ʋˈɔrdə ˈaːn fˈɔltərɪŋə nˈɔx ˈaːn ˈeːn ʋrˈeːdə ɔnmˈɛnsələkə ˈɔf ɔntˈeːrəndə bəhɑndəlɪŋ ˈɔf bəstrˈɑfɪŋ
human_rights_un_dut_aw_64kb_0024	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0025	eːə ˈiːdər hˈeːft ʋˈaːr hˈɛɪ zˈɪx ˈoːk bəvˈɪnt hɛt rɛxt ɑls pərsˈoːn ˈɛrkənt tə ʋˈɔrdə vˈoːr də ʋɛt
human_rights_un_dut_aw_64kb_0026	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0027	ɑlə zˈɛɪn xəlˈɛɪk vˈoːr də ʋɛt ˈɛn hˈɛbə zˈɔndər ɔndərsxˈɛɪt aːnspraːk ˈɔp xəlˈɛɪkə bəsxˈɛrmɪŋ dˈoːr də ʋɛt
human_rights_un_dut_aw_64kb_0028	ɑlə hˈɛbə aːnspraːk ˈɔp xəlˈɛɪkə bəsxˈɛrmɪŋ tˈeːɣə ˈiːdərə ˈɑxtərstɛlɪŋ ˈɪn strˈɛɪt mˈɛt dˈeːzə vɛrklaːrɪŋ ˈɛn tˈeːɣə ˈiːdərə ˈɔphɪtsɪŋ tɔt ˈeːn dˈɛrɣələkə ˈɑxtərstɛlɪŋ
human_rights_un_dut_aw_64kb_0029	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0030	eːə ˈiːdər hˈeːft rɛxt ˈɔp daːdʋˈɛrkələkə rˈɛxtshʉlp vˈɑn bəvˈuːɣdə nɑtʃoːnˈaːlə rˈɛxtərləkə ɪnstˈɑnsiːs tˈeːɣə hˈɑndəlɪŋə ʋˈɛlkə ˈɪn strˈɛɪt zˈɛɪn mˈɛt də xrˈɔndrɛxtə hˈɛm tˈuːɣəkɛnt bˈɛɪ xrˈɔntʋɛt ˈɔf ʋɛt
human_rights_un_dut_aw_64kb_0031	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0032	nˈiːmɑnt zˈɑl ɔndərʋˈɔrpə ʋˈɔrdə ˈaːn ʋɪləkˈøːrəɣə ɑrəstˈaːtsiː deːtˈɛnsiː ˈɔf vərbˈɑnɪŋ
human_rights_un_dut_aw_64kb_0033	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0034	eːə ˈiːdər hˈeːft ˈɪn vɔlə xəlˈɛɪkhɛɪt rɛxt ˈɔp ˈeːn ˈeːrləkə ˈɛn oːpəbˈaːrə bəhɑndəlɪŋ vˈɑn zˈɛɪn zˈaːk dˈoːr ˈeːn ɔnɑfhˈɑŋkələkə ˈɛn ɔmpɑrtˈɛɪdəɣə rˈɛxtərləkə ɪnstˈɑnsiː bˈɛɪ hɛt vˈɑststɛlə vˈɑn zˈɛɪn rɛxtə ˈɛn vərplˈɪxtɪŋə ˈɛn bˈɛɪ hɛt bəpaːlə vˈɑn də xəɣrˈɔnthɛɪt vˈɑn ˈeːn tˈeːɣə hˈɛm ˈɪŋɣəstɛldə strˈɑfərvɔlɣɪŋ
human_rights_un_dut_aw_64kb_0035	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0036	eːə ˈiːdər dˈiː ʋˈeːɣəns ˈeːn strˈɑvbaːr fˈɛɪt ʋˈɔrt vərvˈɔlxt hˈeːft ˈɛr rɛxt ˈɔp vˈoːr ɔnsxʉldəx xəhɯdə tə ʋˈɔrdə tɔdˈɑt zˈɛɪn sxˈʉlt krˈɑxtəs də ʋɛt bəʋˈeːzə ʋˈɔrt ˈɪn ˈeːn oːpəbˈaːrə rˈɛxtsɪtɪŋ ʋaːrbˈɛɪ hˈɛm ˈɑlə ʋˈaːrbɔrɣə nˈoːdəx vˈoːr zˈɛɪn vərdˈeːdəɣɪŋ zˈɛɪn tˈuːɣəkɛnt
human_rights_un_dut_aw_64kb_0037	nˈiːmɑnt zˈɑl vˈoːr sxˈʉldəx xəhɯdə ʋˈɔrdə ˈaːn ˈeːnəx strɑfrˈɛxtələk vərɣrˈɛɪp ˈɔp xrˈɔnt vˈɑn ˈeːnəɣə hˈɑndəlɪŋ ˈɔf ˈeːnəx vərzˈœɪm ʋˈɛlkə nˈaːr nɑtʃoːnˈaːl ˈɔf ɪntərnɑtʃoːnˈaːl rɛxt xˈeːn strɑfrˈɛxtələk vərɣrˈɛɪp bətˈeːkəndə ˈɔp hɛt tˈɛɪtstɪp ʋaːrˈɔp də hˈɑndəlɪŋ ˈɔf hɛt vərzˈœɪm bəɣˈaːn ʋˈɛrt
human_rights_un_dut_aw_64kb_0038	ˈeːvənmɪn zˈɑl ˈeːn zʋˈaːrdərə strˈɑf ʋˈɔrdə ˈɔpxəlɛxt dˈɑn dˈiː ʋˈɛlkə tˈɛn tˈɛɪdə vˈɑn hɛt bəɣˈaːn vˈɑn hɛt strˈɑvbaːrə fˈɛɪt vˈɑn tˈuːpɑsɪŋ ʋˈɑs
human_rights_un_dut_aw_64kb_0039	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0040	nˈiːmɑnt zˈɑl ɔndərʋˈɔrpə ʋˈɔrdə ˈaːn ʋɪləkˈøːrəɣə ˈɪnmɛŋɪŋ ˈɪn zˈɛɪn pərsˈoːnləkə ˈaːŋɣəleːɣəheːdə ˈɪn zˈɛɪn xəzˈɪn zˈɛɪn təhœɪs ˈɔf zˈɛɪn brˈiːfʋɪsəlɪŋ nˈɔx ˈaːn ˈeːnəɣə ˈaːntɑstɪŋ vˈɑn zˈɛɪn ˈeːr ˈɔf xuːdə nˈaːm
human_rights_un_dut_aw_64kb_0041	teːɣə ˈeːn dˈɛrɣələkə ˈɪnmɛŋɪŋ ˈɔf ˈaːntɑstɪŋ hˈeːft ˈeːn ˈiːdər rɛxt ˈɔp bəsxˈɛrmɪŋ dˈoːr də ʋɛt
human_rights_un_dut_aw_64kb_0042	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0043	eːə ˈiːdər hˈeːft hɛt rɛxt zˈɪx vrɛɪjələk tə vərplaːtsə ˈɛn tə vərtˈuːvə bˈɪnə də xrˈɛnzə vˈɑn ˈɛlkə stˈaːt
human_rights_un_dut_aw_64kb_0044	eːə ˈiːdər hˈeːft hɛt rɛxt ʋˈɛlk lˈɑnt ˈoːk mˈɛt ˈɪmbəɣrɪp vˈɑn hɛt zˈɛɪnə tə vərlˈaːtə ˈɛn nˈaːr zˈɛɪn lˈɑnt tərˈʉx tə kˈeːrə
human_rights_un_dut_aw_64kb_0045	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0046	eːə ˈiːdər hˈeːft hɛt rɛxt ɔm ˈɪn ˈɑndərə lˈɑndə aːzˈiːl tə zˈuːkə ˈɛn tə xənˈiːtə tˈeːɣə vərvˈɔlɣɪŋ
human_rights_un_dut_aw_64kb_0047	ɔp dɪt rɛxt kˈɑn xˈeːn bərˈuːp ʋˈɔrdə xədˈaːn ˈɪŋɣəvɑl vˈɑn strˈɑfərvɔlɣɪŋə ʋˈeːɣəns mɪzdrɛɪvə vˈɑn nˈiːt#poːliːtˈiːkə ˈaːrt ˈɔf hˈɑndəlɪŋə ˈɪn strˈɛɪt mˈɛt də dˈuːlɛɪndə ˈɛn bəɣˈɪnsələ vˈɑn də vɛreːnəɣdə naːtsiːs
human_rights_un_dut_aw_64kb_0048	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0049	eːə ˈiːdər hˈeːft hɛt rɛxt ˈɔp ˈeːn nɑtʃoːnaːliːtˈɛɪt
human_rights_un_dut_aw_64kb_0050	ɑən nˈiːmɑnt mˈɑx ʋɪləkˈøːrəx zˈɛɪn nɑtʃoːnaːliːtˈɛɪt ʋˈɔrdə ɔntnoːmə nˈɔx hɛt rɛxt ʋˈɔrdə ɔntsˈɛxt ɔm vˈɑn nɑtʃoːnaːliːtˈɛɪt tə vərˈɑndərə
human_rights_un_dut_aw_64kb_0051	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0052	zɔndər ˈeːnəɣə bəpˈɛrkɪŋ ˈɔp xrˈɔnt vˈɑn rˈɑs nɑtʃoːnaːliːtˈɛɪt ˈɔf xˈɔdzdiːnst hˈɛbə mˈɑnə ˈɛn vrɯʋə vˈɑn hˈyːʋbaːrə lˈeːftɛɪt hɛt rɛxt ɔm tə hˈyːʋə ˈɛn ˈeːn xəzˈɪn tə stˈɪxtə
human_rights_un_dut_aw_64kb_0053	zɛɪ hˈɛbə xəlˈɛɪkə rɛxtə ʋˈɑt hɛt hˈyːʋələk bətrˈɛft tˈɛɪdəns hɛt hˈyːʋələk ˈɛn bˈɛɪ də ɔndbˈɪndɪŋ ɛrvˈɑn
human_rights_un_dut_aw_64kb_0054	eːə hˈyːʋələk kˈɑn slˈɛxts ʋˈɔrdə xəsloːtə mˈɛt də vrˈɛɪjə ˈɛn vɔlˈeːdəɣə tˈuːstɛmɪŋ vˈɑn də ˈaːnstaːndə ˈɛxtxənoːtə
human_rights_un_dut_aw_64kb_0055	hɛt xəzˈɪn ˈɪs də naːtˈyːrləkə ˈɛn fʉndaːmɛntˈeːlə xrˈuːpseːnhɛɪt vˈɑn də maːtsxɑpɛɪ ˈɛn hˈeːft rɛxt ˈɔp bəsxˈɛrmɪŋ dˈoːr də maːtsxɑpɛɪ ˈɛn də stˈaːt
human_rights_un_dut_aw_64kb_0056	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0057	eːə ˈiːdər hˈeːft rɛxt ˈɔp ˈɛɪɣədɔm hˈɛtsɛɪ ɑlˈeːn hˈɛtsɛɪ təsˈaːmə mˈɛt ˈɑndərə
human_rights_un_dut_aw_64kb_0058	nˈiːmɑnt mˈɑx ʋɪləkˈøːrəx vˈɑn zˈɛɪn ˈɛɪɣədɔm ʋˈɔrdə bərˈoːft
human_rights_un_dut_aw_64kb_0059	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0060	eːə ˈiːdər hˈeːft rɛxt ˈɔp vrˈɛɪhɛɪt vˈɑn xədˈɑxtə xəʋˈeːtə ˈɛn xˈɔdzdiːnst
human_rights_un_dut_aw_64kb_0061	dɪt rɛxt ɔmvˈɑt teːvəns də vrˈɛɪhɛɪt ɔm vˈɑn xˈɔdzdiːnst ˈɔf oːvərtˈœɪɣɪŋ tə vərˈɑndərə ɑlsmˈeːdə də vrˈɛɪhɛɪt hˈɛtsɛɪ ɑlˈeːn hˈɛtsɛɪ mˈɛt ˈɑndərə zoːʋˈɛl ˈɪn hɛt oːpəbˈaːr ɑls ˈɪn zˈɛɪn pɑrtiːkyːlˈiːrə lˈeːvə zˈɛɪn xˈɔdzdiːnst ˈɔf oːvərtˈœɪɣɪŋ tə bəlˈɛɪdə dˈoːr hɛt ɔndərʋˈɛɪzə ɛrvˈɑn dˈoːr də prˈɑktiːsə tˈuːpɑsɪŋ dˈoːr ˈeːrədiːnst ˈɛn də ɪnˈɑxtneːmɪŋ vˈɑn də xəboːdə ˈɛn voːrsxrɪftə
human_rights_un_dut_aw_64kb_0062	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0063	eːə ˈiːdər hˈeːft rɛxt ˈɔp vrˈɛɪhɛɪt vˈɑn mˈeːnɪŋ ˈɛn mˈeːnɪŋsœɪtɪŋ
human_rights_un_dut_aw_64kb_0064	dˈɪt rɛxt ɔmvˈɑt də vrˈɛɪhɛɪt ɔm zˈɔndər ˈɪnmɛŋɪŋ ˈeːn mˈeːnɪŋ tə kˈuːstərə ˈɛn ɔm dˈoːr ˈɑlə mɪdələ ˈɛn ˈɔŋɣəɑxt xrˈɛnzə ˈɪnlɪxtɪŋə ˈɛn dɛŋɡbeːldə ˈɔp tə spoːrə tə ɔntfˈɑŋə ˈɛn dˈoːr tə xˈeːvə
human_rights_un_dut_aw_64kb_0065	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0066	eːə ˈiːdər hˈeːft rɛxt ˈɔp vrˈɛɪhɛɪt vˈɑn vrˈeːtsaːmə vərˈeːnəɣɪŋ ˈɛn vərɣaːdərɪŋ
human_rights_un_dut_aw_64kb_0067	nˈiːmɑnt mˈɑx ʋˈɔrdə xədʋˈɔŋə ɔm tɔt ˈeːn vərˈeːnəɣɪŋ tə bəhoːrə
human_rights_un_dut_aw_64kb_0068	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0069	eːə ˈiːdər hˈeːft hɛt rɛxt ɔm dˈeːl tə nˈeːmə ˈaːn hɛt bəstyːr vˈɑn zˈɛɪn lˈɑnt rɛxtstrˈeːks ˈɔf dˈoːr mɪdəl vˈɑn vrɛɪ xəkoːzə vərteːɣəʋoːrdəɣərs
human_rights_un_dut_aw_64kb_0070	eːə ˈiːdər hˈeːft hɛt rɛxt ɔm ˈɔp vˈuːt vˈɑn xəlˈɛɪkhɛɪt tə ʋˈɔrdə tˈuːɣəlaːtə tɔt də ˈoːvərhɛɪdzdiːnstə vˈɑn zˈɛɪn lˈɑnt
human_rights_un_dut_aw_64kb_0071	deː ʋˈɪl vˈɑn hɛt vɔlk zˈɑl də xrˈɔntslɑx zˈɛɪn vˈɑn hɛt xəzˈɑx vˈɑn də reːɣərɪŋ
human_rights_un_dut_aw_64kb_0072	dˈeːzə ʋˈɪl zˈɑl tɔt ˈœɪtɪŋ kˈoːmə ˈɪn peːriːjoːdˈiːkə ˈɛn ˈeːrləkə vərkˈiːzɪŋə dˈiː xəhɯdə zˈʉlə ʋˈɔrdə krˈɑxtəs ɑlɣəmˈeːn ˈɛn xəlɛɪkʋˈaːrdəx kˈiːsrɛxt ˈɛn bˈɛɪ xəhˈɛɪmə stˈɛmɪŋə ˈɔf vˈɔlɣəns ˈeːn proːsədyːrə dˈiː eːvənzˈeːr də vrˈɛɪhɛɪt vˈɑn də stˈɛmə vərzˈeːkərt
human_rights_un_dut_aw_64kb_0073	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0074	eːə ˈiːdər hˈeːft ɑls lˈɪt vˈɑn də xəmˈeːnsxɑp rɛxt ˈɔp maːtsxˈɑpələkə zˈeːkərhɛɪt ˈɛn hˈeːft ˈɛr aːnspraːk ˈɔp dˈɑt dˈoːr mɪdəl vˈɑn nɑtʃoːnˈaːlə ˈɪnspɑnɪŋ ˈɛn ɪntərnɑtʃoːnˈaːlə sˈaːmənʋɛrkɪŋ ˈɛn oːvəreːŋkˈɔmstəx də ɔrɣaːniːzaːtsiː ˈɛn də hˈʉlbrɔnə vˈɑn də bətrˈɛfəndə stˈaːt də eːkoːnˈoːmiːsə soːʃˈaːlə ˈɛn kʉltyːrˈeːlə rɛxtə dˈiː ɔnmˈɪzbaːr zˈɛɪn vˈoːr zˈɛɪn ʋˈaːrdəxhɛɪt ˈɛn vˈoːr də vrˈɛɪjə ɔntplˈoːjɪŋ vˈɑn zˈɛɪn pərsˈoːnləkhɛɪt vərʋˈeːzələkt ʋˈɔrdə
human_rights_un_dut_aw_64kb_0075	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0076	eːə ˈiːdər hˈeːft rɛxt ˈɔp ˈɑrbɛɪt ˈɔp vrˈɛɪjə kˈøːzə vˈɑn bərˈuːp ˈɔp rɛxtmˈaːtəɣə ˈɛn xˈʉnstəɣə ˈɑrbɛɪtsfoːrʋaːrdə ˈɛn ˈɔp bəsxˈɛrmɪŋ tˈeːɣə ʋɛrklˈoːshɛɪt
human_rights_un_dut_aw_64kb_0077	eːə ˈiːdər zˈɔndər ˈeːnəɣə ˈɑxtərstɛlɪŋ hˈeːft rɛxt ˈɔp xəlˈɛɪk lˈoːn vˈoːr xəlˈɛɪkə ˈɑrbɛɪt
human_rights_un_dut_aw_64kb_0078	eːə ˈiːdər dˈiː ˈɑrbɛɪt vərˈɪxt hˈeːft rɛxt ˈɔp ˈeːn rɛxtfˈaːrdəɣə ˈɛn xˈʉnstəɣə bəlˈoːnɪŋ ʋˈɛlkə hˈɛm ˈɛn zˈɛɪn xəzˈɪn ˈeːn mɛnsʋˈaːrdəx bəstaːn vərzˈeːkərt ʋˈɛlkə bəlˈoːnɪŋ zˈoː nˈoːdəx mˈɛt ˈɑndərə mɪdələ vˈɑn soːʃˈaːlə bəsxˈɛrmɪŋ zˈɑl ʋˈɔrdə ˈaːŋɣəvʉlt
human_rights_un_dut_aw_64kb_0079	eːə ˈiːdər hˈeːft hɛt rɛxt ɔm vˈɑkfəreːnəɣɪŋə ˈɔp tə rˈɪxtə ˈɛn zˈɪx daːrbˈɛɪ ˈaːn tə slˈœɪtə tˈɛr bəsxˈɛrmɪŋ vˈɑn zˈɛɪn bəlˈɑŋə
human_rights_un_dut_aw_64kb_0080	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0081	eːə ˈiːdər hˈeːft rɛxt ˈɔp rˈʉst ˈɛn ˈɔp ˈɛɪɣə vrˈɛɪjə tˈɛɪt mˈɛt ˈɪmbəɣrɪp vˈɑn ˈeːn rˈeːdələkə bəpˈɛrkɪŋ vˈɑn də ˈɑrbɛɪtstɛɪt ˈɛn ˈɔp peːriːjoːdˈiːkə vaːkˈɑnsiːs mˈɛt bəhɯt vˈɑn lˈoːn
human_rights_un_dut_aw_64kb_0082	aːrtˈiːkəl
human_rights_un_dut_aw_64kb_0083	eːə ˈiːdər hˈeːft rɛxt ˈɔp ˈeːn lˈeːvəstɑndaːrt dˈiː hˈoːx xənˈuːx ˈɪs vˈoːr də xəzˈɔnthɛɪt ˈɛn hɛt ʋˈɛlzɛɪn vˈɑn zɪɣzˈɛlf ˈɛn zˈɛɪn xəzˈɪn ʋaːrˈɔndər ˈɪmbəɣrˈeːpə vˈuːdɪŋ klˈeːdɪŋ hˈœɪsfɛstɪŋ ˈɛn xəneːskˈʉndəɣə vərzˈɔrɣɪŋ ˈɛn də noːtsˈaːkələkə soːʃˈaːlə dˈiːnstə ɑlsmˈeːdə hɛt rɛxt ˈɔp voːrziːnɪŋ ˈɪn xəvˈɑl vˈɑn ʋɛrklˈoːshɛɪt zˈiːktə ɪnvaːliːdiːtˈɛɪt oːvərlˈɛɪdə vˈɑn də ˈɛxtxənoːt ɯdˈərdɔm ˈɔf ˈeːn ˈɑndər xəmˈɪs ˈaːn bəstˈaːnsmɪdələ ɔntstˈaːn tˈɛn xəvˈɔlɣə vˈɑn ɔmstɑndəxheːdə ɔnɑfhˈɑŋkələk vˈɑn zˈɛɪn ʋˈɪl
