human_rights_un_ind_rd_64kb_0001	ɛrɲətəən mum tentaŋ əkək sasɪ ənʊsea
human_rights_un_ind_rd_64kb_0043	ətɪəp ʊraŋ bɛrhək ətəs kebɪbasan bɪrɡərək dən bɪrdiam di dəlam batasbətəs sətiəp nɪɡərə
human_rights_un_ind_rd_64kb_0044	ətɪəp ʊraŋ bɛrhək mɪniŋɡəlkan səsoətʊ neɡere tərməsʊk neɡerɪɲə sɛndere dən bɛrhək kəmbalɪ kɪ neɡerɪɲə
human_rights_un_ind_rd_64kb_0045	əsəl
human_rights_un_ind_rd_64kb_0046	ətɪəp ʊraŋ bɛrhək məntʃarɪ dən mɪnɪkməte soakə di neɡere lain ontok mɛlɪndoŋe dɪri darɪ peŋedʒarən
human_rights_un_ind_rd_64kb_0047	ək ene tedak bərlakʊ ontok kasus peŋedʒarən jaŋ bɛnarbenar tembʊl kərənə kedʒəhətənkɛdʒahətən jaŋ tək bərhubuŋən dɪŋən pʊletik atau kərənə pɛrbuətənperbuatan jaŋ bərtɛntəŋan dɪŋən tʊdʒoən dən dəsar ərsɪrikatan əŋsaəŋsə
human_rights_un_ind_rd_64kb_0048	əsəl
human_rights_un_ind_rd_64kb_0049	ətɪəp ʊraŋ bɛrhək ətəs səsoətʊ kɛwərɡənɛɡəraən
human_rights_un_ind_rd_64kb_0050	ɪdək sɪɔrəŋ pun dɪŋən sɛmenamɪnə dəpat dɪtʃəbʊt kɛwərɡanɛɡaraanɲa atau dɪtʊlak hakɲa ontok mɪŋɡənte kɛwərɡənɛɡəraən
human_rights_un_ind_rd_64kb_0051	əsəl
human_rights_un_ind_rd_64kb_0052	rea dən wənɪta jaŋ sodah dɪwəsə dɪŋən tedak dɪbatəsi kəbaŋsəən kɛwərɡənɛɡəraən atau əɡama bɛrhək ontok nekah dən ontok məmbəntʊk kɪloarɡə
human_rights_un_ind_rd_64kb_0053	erəkə mɛmpʊɲai hək jaŋ səma dəlam soal pɛrkawɪnən di dəlam məsa pɛrkawɪnən dən pəda səat pərtʃɛraiən
human_rights_un_ind_rd_64kb_0054	ərkawenan haɲə dəpat dɪləksənakan berdəsərkan pɪlɪhan bebəs dən pɛrsɛtodʒuən penʊh oləh kɪdoa mɪmpelai
human_rights_un_ind_rd_64kb_0055	ɛloarɡa ədələh kɪsətʊən ələmiəh dən fʊndamɛntəl darɪ maʃarəkət dən bɛrhək mendapət perlɪndoŋan darɪ maʃarəkət dən ɛɡarə
human_rights_un_ind_rd_64kb_0056	əsəl
human_rights_un_ind_rd_64kb_0057	ətɪəp ʊraŋ bɛrhək mɪmileke hərta baik sɛndere maupun bɛrsaməsəma dɪŋən ʊraŋ lain
human_rights_un_ind_rd_64kb_0058	ək sɪɔrəŋ pun bʊləh dirəmpas hərtəɲa dɪŋən sɛmenamɪnə
human_rights_un_ind_rd_64kb_0059	əsəl
human_rights_un_ind_rd_64kb_0060	ətɪəp ʊraŋ bɛrhək ətəs kebɪbasan pɪkɪran hatɪ nurane dən əɡama
human_rights_un_ind_rd_64kb_0061	dəlam həl ene tərməsʊk kebɪbasan bɛrɡanti əɡama atau kɪpərtʃajaan dən kebɪbasan ontok mɛɲətakən əɡama atau kɪpərtʃajaan dɪŋən tʃəra məŋadʒarkanɲa məmprəktɛkkənɲa mɛləksənəkan ibədəhɲa dən məntəateɲa baik sɛndere maupun bɛrsaməsəma dɪŋən ʊraŋ lain di moka omom maupun sɛndere
human_rights_un_ind_rd_64kb_0062	əsəl
human_rights_un_ind_rd_64kb_0063	ətɪəp ʊraŋ bɛrhək ətəs kebɪbasan mɛmpʊɲai dən məŋeluərkan pendapət
human_rights_un_ind_rd_64kb_0064	dəlam hək ene tərməsʊk kebɪbasan mɪmileke pendapət tənpa ɡəŋɡuan dən ontok məntʃarɪ mɪnɪremə dən mɪɲəmpaikan enfɔrmase dən boah pɪkɪran mɛlalʊe mɪdea əpə sədʒa dən dɪŋən tedak məmandaŋ batasbətəs welajəh
human_rights_un_ind_rd_64kb_0065	əsəl
human_rights_un_ind_rd_64kb_0066	ətɪəp ʊraŋ mɛmpʊɲai hək ətəs kebɪbasan berkumpul dən berserɪkat sɪtʃərə damai
human_rights_un_ind_rd_64kb_0067	ɪdək sɪɔrəŋ pun bʊləh dipaksə ontok mɛmasoke səsoətʊ pərkʊmpolən
human_rights_un_ind_rd_64kb_0068	əsəl
human_rights_un_ind_rd_64kb_0069	ətɪəp ʊraŋ bɛrhək tʊrʊt sərtə dəlam pɛmɛrintahan neɡerɪɲə sɪtʃərə laŋsoŋ atau mɛlalʊe wakilwakɪl jaŋ dɪpelih dɪŋən bebəs
human_rights_un_ind_rd_64kb_0070	ətɪəp ʊraŋ bɛrhək ətəs kɛsɛmpətan jaŋ səma ontok dɪaŋkat dəlam dʒəbətən pɛmɛrintahan neɡerɪɲə
human_rights_un_ind_rd_64kb_0071	ɪhəndak rakjat harus məndʒadɪ dəsar kəkoəsəən pemɛrɪntəh
human_rights_un_ind_rd_64kb_0072	kəhəndak ene harus diɲətakən dəlam pɪmilɪhən omom jaŋ dɪləksənakan sɪtʃərə bɪrkəla dən dʒʊdʒʊr dən jaŋ dɪlakʊkən mɪnorʊt hək pɪlɪh jaŋ bɪrsifat omom dən jaŋ tedak membedabɪdəkan dən dɪŋən pəmoŋutən soarə jaŋ rahasɪa ataupun mɪnorʊt tʃaratʃərə lain jaŋ məndʒəmɪn kebɪbasan memberɪkan soarə
human_rights_un_ind_rd_64kb_0073	əsəl
human_rights_un_ind_rd_64kb_0074	ətɪəp ʊraŋ sɪbəɡai əŋɡota maʃarəkət bɛrhək ətəs dʒamɪnən sʊseəl dən bɛrhək mɛləksənəkan dɪŋən pɛrantərəan usəhausahə nəsɪonəl dən kerdʒəsəma entərnəsɪʊnal dən səsoai dɪŋən orɡanɪsasi sərtə sombɛrsʊmbɪr kekəjaan darɪ sətiəp ɛɡarə haxək əkʊnʊmɪ sʊseəl dən kebodajəan jaŋ saŋət dɪpərlʊkən ontok mərtəbat dən pərtʊmbohən bebəs prɪbədɪɲə
human_rights_un_ind_rd_64kb_0075	əsəl
human_rights_un_ind_rd_64kb_0076	ətɪəp ʊraŋ bɛrhək ətəs pəkərdʒaan bɛrhək dɪŋən bebəs mɪmelɪh pəkərdʒaan bɛrhək ətəs ʃəratʃərat pərborohən jaŋ adil sərtə baik dən bɛrhək ətəs perlɪndoŋan darɪ pɪŋaŋɡʊrən
human_rights_un_ind_rd_64kb_0077	ətɪəp ʊraŋ tənpa diskreminase bɛrhək ətəs pɪŋʊpahan jaŋ səma ontok pəkərdʒaan jaŋ səma
human_rights_un_ind_rd_64kb_0078	ətɪəp ʊraŋ jaŋ mɪlakukən pəkərdʒaan bɛrhək ətəs pɪŋʊpahan jaŋ adil dən baik jaŋ məndʒəmɪn kɛhedupanɲa dən kelʊərɡaɲə soatu kɪhidʊpən jaŋ pantas ontok mənʊsɪə jaŋ bermartabat dən dʒeka pɪrlʊ ditəmbah dɪŋən perlɪndoŋan sʊseəl lainɲə
human_rights_un_ind_rd_64kb_0079	ətɪəp ʊraŋ bɛrhək mənderekən dən mɛmasoke sɛrekətsərɪkət pekərdʒa ontok mɛlɪndoŋe kɪpɪntiŋənɲə
human_rights_un_ind_rd_64kb_0080	əsəl
human_rights_un_ind_rd_64kb_0081	ətɪəp ʊraŋ bɛrhək ətəs ɪstirahət dən lɪbʊran tərməsʊk pɛmbətasanpɛmbətəsan dʒəm kərdʒə jaŋ ləjak dən harɪ lɪbʊr bɪrkəla dɪŋən mɪnɪremə ʊpəh
human_rights_un_ind_rd_64kb_0082	əsəl
human_rights_un_ind_rd_64kb_0083	ətɪəp ʊraŋ bɛrhək ətəs təraf hɪdʊp jaŋ məndʒəmɪn kesɪhatan dən kɛsɛdʒəhtɪrəan ontok dɪrɪɲa dən kelʊərɡaɲə tərməsʊk paŋən pakaian pɛroməhan dən pərəwətan kɛsəhatanɲə sərtə pələjənan sʊseəl jaŋ dɪpərlʊkən dən bɛrhək ətəs dʒamɪnən pəda səat mɛŋaŋɡor mɛndərita sakit tʃətʃat məndʒadɪ dʒənda mɪntʃəpai usea landʒut atau mɛŋaləme kɪkurəŋən məta pəntʃarɪan jaŋ lain kərənə kɛadaən jaŋ bɪrədə di loar kəkoasəanɲa
human_rights_un_ind_rd_64kb_0084	ərə ebo dən ənakanak bɛrhək mendapət pərəwətan dən bantʊən istɪmɪwə
human_rights_un_ind_rd_64kb_0085	əmʊə ənək baik jaŋ dɪlahɪrkən di dəlam maupun di loar pɛrkawɪnən harus mendapət perlɪndoŋan sʊseəl jaŋ səma
human_rights_un_ind_rd_64kb_0086	əsəl
human_rights_un_ind_rd_64kb_0087	ətɪəp ʊraŋ bɛrhək mendapət pəndedekən
human_rights_un_ind_rd_64kb_0088	ɛndidɪkən harus ɡratɪs setidaktɪdəkɲa ontok teŋkət səkɔlah rɛndəh dən pəndedekən dəsar
human_rights_un_ind_rd_64kb_0089	ɛndidɪkən rɛndəh harus dɪwadʒɪbkən
human_rights_un_ind_rd_64kb_0090	ɛndidɪkən təknɪk dən dʒʊrʊsan sɪtʃərə omom harus tɛrbʊka baɡɪ sɪmoa ʊraŋ dən pɛŋədʒarən tiŋɡe harus sɪtʃərə adil dəpat deəksɪs oləh sɪmoa ʊraŋ berdəsərkan kepantasan
human_rights_un_ind_rd_64kb_0091	ɛndidɪkən harus dɪtodʒokan kɪ ərəh pərkɛmbəŋan pribəde jaŋ selʊəsluəsɲə sərtə memperkʊkɔh rəsa peŋhərɡaan terhadəp haxək mənʊsɪə dən kebɪbasan asəse
human_rights_un_ind_rd_64kb_0092	ɛndidɪkən harus məŋɡaləkkan səleŋ pəŋɛrtɪan tʊlɪrənsɪ dən pɛrsahəbətan di antərə sɪmoa bəŋsa kɪlompɔk rəs maupun əɡama sərtə harus mɪmadʒukən kɪɡɪatən ərsɪrikatan əŋsaəŋsə dəlam mɛmelehərə pərdamaian
human_rights_un_ind_rd_64kb_0093	rəŋtua mɛmpʊɲai hək otamə ontok mɪmelɪh dʒenɪs pəndedekən jaŋ əkən debɪrikən kɪpədə ənakanak mɛrəkə
human_rights_un_ind_rd_64kb_0094	əsəl
human_rights_un_ind_rd_64kb_0095	ətɪəp ʊraŋ bɛrhək ontok tʊrʊt sərtə dɪŋən bebəs dəlam kɪhidʊpən kebodajəan maʃarəkət ontok mɛŋɛtʃəp kɛnekmatən kɛsəniən dən bərbaɡɪ dəlam kɪmədʒʊən elmo pɛŋɪtəhoən dən mənfəatɲə
human_rights_un_ind_rd_64kb_0096	ətɪəp ʊraŋ bɛrhək ontok mɛmpərʊleh perlɪndoŋan ətəs kɛpɪnteŋankepentɪŋan mʊrɪl dən matɪrɪəl jaŋ dɪperɔleh sɪbəɡai hasil darɪ səsoətʊ prɔdoksɪ ɪlmɪəh kɛsusəsterəən atau kɛsəniən jaŋ dɪtʃiptəkanɲə
human_rights_un_ind_rd_64kb_0097	əsəl
human_rights_un_ind_rd_64kb_0098	ətɪəp ʊraŋ bɛrhək ətəs soatu tətənən sʊseəl dən entərnəsɪʊnal di məna haxək dən kəbɪbasənkɛbebasan jaŋ tɛrmaktob di dəlam ɛrɲətəən ene dəpat dɪləksənakan səpənuhɲa
human_rights_un_ind_rd_64kb_0099	əsəl
human_rights_un_ind_rd_64kb_0100	ətɪəp ʊraŋ mɛmpʊɲai kɪwadʒibən terhadəp maʃarəkət tɛmpət satosatoɲa di məna ia mɛmpərʊleh kɛsɛmpətan ontok mɪŋembaŋkən prɪbədɪɲə dɪŋən penʊh dən leloəsa
human_rights_un_ind_rd_64kb_0101	ələm mendʒələnkan haxək dən kɛbəbasənkɪbɪbəsanɲa sətiəp ʊraŋ harus tondʊk haɲə pəda pɛmbətasanpɛmbətəsan jaŋ dɪtetapkan oləh ondaŋundəŋ dɪŋən maksud sɛmətəməta ontok məndʒəmɪn peŋakʊan sərtə pɪnxɔrmatən jaŋ ləjak terhadəp haxək dən kəbɪbasənkɛbebasan ʊraŋ lain dən ontok memenʊhɪ ʃəratʃərat jaŋ adil dəlam həl kesosiləən ketɛrtiban dən kɛsɛdʒəhtɪrəan omom dəlam soatu maʃarəkət jaŋ dəmʊkrates
human_rights_un_ind_rd_64kb_0102	əxak dən kəbɪbasənkɛbebasan ene dɪŋən dʒəlan bəɡaiməna pun sekalekəlɪ tedak bʊləh dɪləksənakan bərtɛntəŋan dɪŋən tʊdʒoən dən dəsar ərsɪrikatan əŋsaəŋsə
human_rights_un_ind_rd_64kb_0103	əsəl
human_rights_un_ind_rd_64kb_0104	ɪdək satʊ pun di dəlam ɛrɲətəən ene bʊləh dɪtafsɪrkən memberɪkan səsoətʊ ɛɡarə kɪlompɔk ataupun sɪsɛɔrəŋ hək ontok tɪrlibat di dəlam kɪɡɪatən əpə pun atau mɪlakukən pɪrboətən jaŋ bɪrtudʒoən ontok mərusak haxək dən kəbɪbasənkɛbebasan jaŋ məna pun jaŋ tɛrmaktob di dəlam ɛrɲətəən ene
