dan_0001	dən
dan_0015	da anərkɛndelsɛ af dən mennəsket iboende ʋɛrdiɡhed oɡ af də liɡə oɡufortabɛliɡə rɛttiɡhəder for allə medləmmer af dən mennɛskeliɡɛ familiə ɛrɡrundlaɡet for frihɛd retfɛrdiɡhɛd oɡ frəd i ʋɛrdɛnda tilsidəsɛttelse af oɡ foraɡt for mɛnnɛskərəttiɡhedernə har ført til barbariskehandlinɡɛr dər har oprørt mənnəskəhɛdens samʋittiɡhəd oɡ da skabɛlsen af enʋɛrdɛn hʋor mennɛskɛne nydɛr talə oɡ trosfrihəd oɡ frihɛd for fryɡt oɡ nød ərblɛʋɛt forkyndt som folkɛnes højeste mɔlda dət ər af afɡørende bətydninɡ at mɛnnɛskərəttiɡhedernə bɛskyttes af loʋənhʋis ikkə mennəsket som ən sidstɛ udʋɛj skal tʋinɡəs til at ɡørə oprør modtyranni oɡ undertrykkɛlseda dət ər af afɡørende bətydninɡ at fremme udʋiklinɡen af ʋənskabəliɡɛ forholdmɛllem nationernɛda də forɛnedɛ nationers folk i paɡtɛn pɔny har bɛkrɛftet dɛres tro pɔfundamɛntalə mənnɛskɛrəttiɡhedɛr pɔ mennəskəts ʋɛrdiɡhed oɡ ʋɛrd oɡ pɔliɡɛ rɛttiɡhəder for mɛnd oɡ kʋindər oɡ har bɛsluttet at fremme sokialefremskridt oɡ højnɛ lɛʋeʋilkɔrəne undɛr størrɛ frihədda mɛdlɛmsstatərne har forpliɡtət siɡ til i samarbɛjde məd də forɛnedɛ nationərat arbejde for fremme af almindəliɡ rɛspɛkt fur oɡ oʋərholdɛlsɛ afmənneskɛrəttiɡhɛdər oɡ fundamentalə frihedsrɛttiɡhədərda ən fɛllɛs forstɔɛlse af dissɛ rɛttiɡhəder oɡ frihɛder ər af dən størstebetydninɡ for dən fuldɛ ʋirkəliɡɡørelse af dɛnnə forpliɡtɛlsəproklamɛrər
dan_0016	plɛnrforsmlinɡɛnderfor nu dɛnnə ʋɛrdensɛrklɛrinɡ om mənneskerɛttiɡhədernɛsom ət fɛllɛs mɔl for allə folk oɡ allə nationər məd dət formɔl at ethʋərtmenneskə oɡ ethʋert samfundsorɡan stedse məd dɛnnə ɛrklɛrinɡ for øjə skalstrɛbə ɛfter ɡɛnnɛm undɛrʋisninɡ oɡ opdraɡɛlse at fremme rɛspɛkt for disserettiɡhedɛr oɡ frihɛder oɡ ɡɛnnɛm frəmadskridende nationale oɡ intɛrnationaləforanstaltninɡɛr at sikrɛ at də anerkendes oɡ oʋərholdes oʋəralt oɡ əffɛktiʋtbɔdə blandt bəfolkninɡərnɛ i mɛdlɛmsstatərne oɡ blandt bəfolkninɡərnɛ i dɛomrɔder dər bɛfindɛr siɡ undɛr dɛres styrɛ
dan_0017	rtikel
dan_0018	llə mennəsker ər født friə oɡ liɡə i ʋɛrdiɡhed oɡ rɛttiɡhəder
dan_0019	də ər udstyrət mɛdfornuft oɡ samʋittiɡhəd oɡ də bør handlɛ mod hʋərandrə i ən broderskabəts ɔnd
dan_0020	rtikel
dan_0021	ɛnhʋer har kraʋ pɔ allə də rɛttiɡhəder oɡ frihɛder som nɛʋnɛs i dennɛərklɛrinɡ udən forskelsbehandlinɡ af noɡɛn art f
dan_0022	əks
dan_0023	pɔ ɡrund af rakə farʋəkøn sproɡ rɛliɡion politisk ɛller andɛn anskuelse national ɛller sokialoprindelse formuəforhold fødsɛl ɛller andɛn samfundsmɛssiɡ stillinɡ
dan_0024	dər skal hɛllɛr ikkə ɡørɛs noɡɛn forskəl pɔ ɡrund af dət lands ɛller omrɔdɛsjurisdiktionsforhold ɛller politiske ɛller intərnationalə stillinɡ til hʋilkət ən pɛrsonhører hʋadɛnten dɛttə omrɔdɛ ər uafhɛnɡiɡt undɛr formyndərskab ɛller ər ɛtikke sɛlʋstyrendɛ omrɔdɛ ɛller dəts suʋerɛnitət pɔ andɛn mɔdə ər bɛɡrɛnset
dan_0025	rtikel
dan_0026	ɛnhʋer har rət til liʋ frihɛd oɡ pərsonliɡ sikkɛrhed
dan_0027	rtikel
dan_0028	inɡɛn mɔ holdɛs i slaʋəri ɛller trɛldom
dan_0029	slaʋəri oɡ slaʋehandəl undɛr allə formɛrskal ʋɛrə forbudt
dan_0030	rtikel
dan_0031	inɡɛn mɔ underkastəs tortur ɛller ɡrusom umɛnnəskeliɡ ɛller ʋanɛrendebɛhandlinɡ ɛller straf
dan_0032	rtikel
dan_0033	ethʋert mennəskə har oʋəralt i ʋɛrdɛn rət til at bliʋɛ anərkəndt som rɛtssubjekt
dan_0034	rtikel
dan_0035	llə ər liɡə for loʋɛn oɡ har udən forskelsbehandlinɡ af noɡɛn art liɡə rət tilloʋens bɛskyttɛlsɛ
dan_0036	llə har rət til liɡə bɛskyttɛlsɛ mod ɛnhʋer forskəlsbɛhandlinɡi strid mod dɛnnə ɛrklɛrinɡ oɡ mod ɛnhʋer tilskyndɛlse til ən sɔdanforskɛlsbɛhandlinɡ
dan_0037	rtikel
dan_0038	ɛnhʋer har rət til ən fyldestɡørɛndɛ oprɛjsninɡ ʋəd də kompɛtəntɛ nationaledomstolɛ for handlinɡər dər krɛnkər də fundamentalə rɛttiɡhəder somforfatninɡɛn ɛller loʋɛn ɡiʋɛr ʋɛdkommɛndɛ
dan_0039	rtikel
dan_0040	inɡɛn mɔ underkastəs ʋilkɔrliɡ anholdɛlse tilbaɡəholdelse ɛller landsforʋisninɡ
dan_0041	rtikel
dan_0042	ɛnhʋer har undɛr fuld liɡebɛrɛttiɡelsə kraʋ pɔ ən rətfɛrdiɡ oɡ offɛntliɡbɛhandlinɡ ʋəd ən uafhɛnɡiɡ oɡ upartisk domstol nɔr dər skal trɛffəs enafɡørɛlsə məd hɛnsyn til hans rɛttiɡhəder oɡ forpliɡtɛlser oɡ məd hɛnsyn til ɛnhʋilken som hɛlst mod ham rɛttɛt straffɛrətsliɡ anklaɡə
dan_0043	rtikel
dan_0044	
dan_0045	ɛnhʋer dər anklaɡəs for ət strafbart forhold har rət til at bliʋɛ ansɛt foruskyldiɡ indtil hans skyld ər ɡodtɡjort i hənhold til loʋ ʋəd ən offɛntliɡrɛtshandlinɡ hʋorunder han har fɔət allə də ɡarantier dər ər fornødnə forhans forsʋar
dan_0046	
dan_0047	inɡɛn mɔ ansɛs for skyldiɡ i noɡɛt strafbart forhold pɔ ɡrund af noɡənhandlinɡ ɛller undladɛlse dər ikkə i hənhold til national ɛller intərnationalrɛt ʋar strafbar pɔ dət tidspunkt da dən bləʋ bɛɡɔɛt
dan_0048	dər skal hɛllɛr ikkekunnə idømməs strɛnɡərə straf ənd fastsat pɔ dən tid da dət strafbarɛforhold bləʋ bɛɡɔɛt
dan_0049	rtikel
dan_0050	inɡɛn mɔ ʋɛrə ɡɛnstand for ʋilkɔrliɡ indblandinɡ i priʋatə forhold familiə hjɛmeller korrespondankɛ əj hɛllɛr for anɡrɛb pɔ ɛrə oɡ omdømmə
dan_0051	ɛnhʋer har rɛttil loʋɛns bɛskyttɛlsɛ mod sɔdan indblandinɡ ɛller anɡrɛb
dan_0052	rtikel
dan_0053	
dan_0054	ɛnhʋer har rət til at bəʋɛɡə siɡ frit oɡ til frit at ʋɛlɡɛ opholdssted indenforhʋər stats ɡrɛnsər
dan_0055	
dan_0056	ɛnhʋer har rət til at forladə ət hʋilkət som hɛlst land hɛrundɛr siɡ eɡet oɡtil at ʋɛndə tilbaɡə til sit eɡet land
dan_0057	rtikel
dan_0058	
dan_0059	ɛnhʋer har rət til i andrɛ landɛ at søɡə oɡ fɔ tilstɔət asyl mod forfølɡelse
dan_0060	
dan_0061	dɛnnə rət mɔ ikkə pɔberɔbəs ʋəd anklaɡər dər ʋirkəliɡ hidrørər fra ikkepolitiskɛ forbrydɛlser ɛller fra handlinɡər i strid məd də forɛnedɛ nationɛrsformɔl oɡ prinkipper
dan_0062	rtikel
dan_0063	
dan_0064	ɛnhʋer har rət til ən nationalitət
dan_0065	
dan_0066	inɡɛn mɔ ʋilkɔrliɡt bɛrøʋɛs sin nationalitət ɛller nɛɡtɛs rət til at skiftenationalitɛt
dan_0067	rtikel
dan_0068	
dan_0069	udən bɛɡrɛnsninɡer af rakəmɛssiɡə nationalitətsmɛssiɡɛ ɛller rəliɡiøsəɡrunde har mɛnd oɡ kʋindər dər har nɔət myndiɡhedsaldɛrɛn rət til atɡiftə siɡ oɡ stiftɛ familiə
dan_0070	də har kraʋ pɔ liɡə rɛttiɡhəder məd hɛnsyn tilindɡɔɛlse af ɛɡtɛskab undɛr ɛɡtəskabɛt oɡ ʋəd dɛttɛs opløsninɡ
dan_0071	
dan_0072	ɛɡtɛskab skal kun kunnɛ indɡɔs məd bɛɡɡə partərs friə oɡ fuldesamtykkə
dan_0073	
dan_0074	familiən ər samfundəts naturliɡe oɡ fundamentalə ɛnhɛdsɡruppə oɡ harkraʋ pɔ samfundəts oɡ statəns bɛskyttɛlsɛ
dan_0075	rtikel
dan_0076	
dan_0077	ɛnhʋer har rət til at eje ejendom sɔʋɛl alene som i fɛlliɡ məd andrɛ
dan_0078	
dan_0079	inɡɛn mɔ ʋilkɔrliɡt bɛrøʋɛs sin ejendom
dan_0080	rtikel
dan_0081	ɛnhʋer har rət til tankɛ samʋittiɡheds oɡ rəliɡionsfrihɛd dɛnnə rət omfattɛrfrihed til at skiftɛ rɛliɡion ɛller tro oɡ frihɛd til ɛnten alene ɛller i fɛllɛsskab mɛdandrə offɛntliɡt ɛller priʋat at ɡiʋə udtryk for sin rɛliɡion ɛller tro ɡennəmunderʋisninɡ udøʋɛlse ɡudsdyrkɛlse oɡ oʋərholdɛlsɛ af rɛliɡiøse forskrifter
dan_0082	rtikel
dan_0083	ɛnhʋer har rət til məninɡs oɡ ytrinɡsfrihed
dan_0084	dɛnnə rət omfattər frihɛd til at hɛʋdəsin opfattɛlse udən indblandinɡ oɡ til at søɡə modtaɡə oɡ mɛddəlɛ oplysninɡ oɡtankər ʋəd ət hʋilkət som hɛlst məddelelsesmiddəl oɡ uansɛt landəɡrɛnsɛr
dan_0085	rtikel
dan_0086	
dan_0087	llə har rət til undɛr frɛdeliɡe formɛr frit at forsamles oɡ dannɛ forəninɡɛr
dan_0088	
dan_0089	inɡɛn kan tʋinɡəs til at ʋɛrə mɛdlɛm af ən forɛninɡ
dan_0090	rtikel
dan_0091	
dan_0092	ɛnhʋer har rət til at dɛltaɡɛ i sit lands styrɛ ɛnten direkte ɛller ɡɛnnɛm fritʋalɡtə rəprɛsɛntanter
dan_0093	
dan_0094	ɛnhʋer har rət til liɡə adɡanɡ til offəntliɡə embɛdɛr oɡ hʋɛrʋ i sit land
dan_0095	
dan_0096	folkəts ʋiljɛ skal ʋɛrə ɡrundlaɡət for rɛɡɛrinɡəns myndiɡhed
dan_0097	dɛnnə ʋiljeskal tilkɛndəɡiʋɛs ɡɛnnɛm periodiskə oɡ ʋirkɛliɡe ʋalɡ məd almindəliɡ oɡliɡɛ ʋalɡrət oɡ skal udøʋɛs ɡɛnnɛm hɛmmɛliɡ afstɛmninɡ ɛller tilsʋarendefriɛ afstemninɡsmɔder
dan_0098	rtikel
dan_0099	ɛnhʋer har som mɛdlɛm af samfundet rət til sokial tryɡhəd oɡ har kraʋ pɔ at deøkonomiskə sosialɛ oɡ kulturɛlle rɛttiɡhəder dər ər uundʋɛrliɡe for hansʋɛrdiɡhed oɡ hans pɛrsonliɡheds friə udʋiklinɡ ɡɛnnɛmførɛs ʋəd nationaləforanstaltninɡɛr oɡ intərnationalt samarbɛjde oɡ i oʋərensstəmmelse məd hʋɛrstats orɡanisation oɡ hjɛlpekildɛr
dan_0100	rtikel
dan_0101	
dan_0102	ɛnhʋer har rət til arbejde til frit ʋalɡ af bəskɛftiɡəlsə til retfɛrdiɡə oɡɡunstiɡə arbəjdsʋilkɔr oɡ til bɛskyttɛlsɛ mod arbejdsløshɛd
dan_0103	
dan_0104	ɛnhʋer har udən forskəl rət til liɡə løn for liɡə arbejde
dan_0105	
dan_0106	ɛnhʋer dər arbɛjder har rət til ət rɛtfɛrdiɡt oɡ ɡunstiɡt ʋɛdərlaɡ dɛrsikrer ham səlʋ oɡ hans familiə ən mənneskeʋɛrdiɡ tilʋɛrɛlse oɡ omfornødent tilliɡə til andrɛ sosialɛ bɛskyttɛlsəsforanstaltninɡər
dan_0107	
dan_0108	ɛnhʋer har rət til at dannɛ oɡ indtrɛdə i faɡforeninɡər til bɛskyttɛlsɛ afsinɛ intərəssɛr
dan_0109	rtikel
dan_0110	ɛnhʋer har rət til hʋilɛ oɡ fritid hɛrundɛr ən riməliɡ bəɡrɛnsninɡ af arbejdstidenoɡ til pəriodisk fɛriə məd løn
dan_0111	rtikel
dan_0112	
dan_0113	ɛnhʋer har rət til ən sɔdan lɛʋɛfod som ər tilstrɛkkeliɡ til hans oɡ hansfamiliəs sundhəd oɡ ʋɛlʋɛrɛ hɛrundɛr til fødə klɛdɛr boliɡ oɡlɛɡəhjɛlp oɡ də nødʋendiɡə sosialɛ ɡodɛr oɡ rət til tryɡhəd i tilfɛldə afarbejdsløshed syɡdom uarbejdsdyɡtiɡhed ɛnkestand aldɛrdom ɛllerandet tab af fortjenstmuliɡhed undɛr omstɛndiɡhədɛr dər ikkə ɛrselʋforskyldt
dan_0114	
dan_0115	mødrɛ oɡ børn har kraʋ pɔ sɛrliɡ omsorɡ oɡ hjɛlp
dan_0116	llə børn skalhʋadɛnten də ər født i ɛller udənfor ɛɡtɛskab haʋə dən sammɛ sosialɛbeskyttəlsə
dan_0117	rtikel
dan_0118	
dan_0119	ɛnhʋer har rət til undɛrʋisninɡ
dan_0120	undɛrʋisninɡɛn skal ʋɛrə ɡratis i detmindstə pɔ də əlɛməntɛre oɡ ɡrundlɛɡɡende trin
dan_0121	əlɛməntɛrunderʋisninɡ skal ʋɛrə obliɡatorisk
dan_0122	təknisk oɡ faɡliɡ uddannɛlse skalɡøres almindəliɡ tilɡɛnɡeliɡ for allə oɡ pɔ ɡrundlaɡ af ɛʋner skal dɛrʋɛrɛ liɡə adɡanɡ for allə til højɛrɛ undɛrʋisninɡ
dan_0123	
dan_0124	undɛrʋisninɡɛn skal taɡə siɡtɛ pɔ dən mennɛskeliɡɛ pɛrsonliɡheds fuldəudʋiklinɡ oɡ pɔ at styrkɛ respəkten for mənnɛskɛrəttiɡhedɛr oɡɡrundlɛɡɡəndɛ frihɛder
dan_0125	dən skal fremme forstɔɛlse tolɛrankɛ oɡʋənskab mɛllɛm allə nationər oɡ rakəmɛssiɡə oɡ rɛliɡiøse ɡruppər oɡdɛn skal fremme də forɛnedɛ nationers arbejde til fredens beʋarəlsɛ
dan_0126	
dan_0127	forɛldrə har førstɛret til at ʋɛlɡɛ dən form for undɛrʋisninɡ som dɛresbørn skal haʋə
dan_0128	rtikel
dan_0129	
dan_0130	ɛnhʋer har rət til frit at dɛltaɡɛ i samfundəts kulturɛlle liʋ til kunstnydɛlsɛoɡ til at bliʋɛ dəlaɡtiɡɡjort i ʋidenskabəns frɛmskridt oɡ dəns ɡodɛr
dan_0131	
dan_0132	ɛnhʋer har rət til bɛskyttɛlsɛ af də moralskə oɡ materiellɛ intərəssɛr dɛrhidrører fra ən hʋilkən som hɛlst ʋidenskabɛliɡ littərɛr ɛller kunstnɛriskfrembrinɡelsə som ʋɛdkommɛndɛ har skabt
dan_0133	rtikel
dan_0134	ɛnhʋer har kraʋ pɔ ən sokial oɡ intərnational ordɛn i hʋilkən də i dennɛərklɛrinɡ nɛʋntɛ rɛttiɡhəder oɡ frihɛder fuldtud kan ʋirkeliɡɡørəs
dan_0135	rtikel
dan_0136	
dan_0137	ɛnhʋer har pliɡtər oʋərfor samfundet dər alene muliɡɡør pərsonliɡhədɛnsfrie oɡ fuldɛ udʋiklinɡ
dan_0138	
dan_0139	undɛr udøʋɛlsen af sinə rɛttiɡhəder oɡ frihɛder ər ɛnhʋer kun undərkastɛtdə bɛɡrɛnsninɡer dər ər fastsat i loʋɛn alene məd dət formɔl at sikrɛskyldiɡ anərkɛndelsɛ af oɡ hɛnsyntaɡen til andrɛs rɛttiɡhəder oɡ frihedɛroɡ məd dət formɔl at opfyldə də retfɛrdiɡə kraʋ som moralən dənoffəntliɡə ordɛn oɡ dət almɛnɛ ʋəl stillər i ət dəmokratisk samfund
dan_0140	
dan_0141	dissɛ rɛttiɡhəder oɡ frihɛder mɔ i intɛt tilfɛldə udøʋɛs i strid məd deforenɛde nationers formɔl oɡ prinkipper
dan_0142	rtikel
dan_0143	intɛt i dɛnnə ɛrklɛrinɡ mɔ fortolkes som ɡiʋende noɡɛn stat ɡruppɛ əllɛrenkeltpərson hjɛmmɛl til at indladə siɡ pɔ noɡɛn ʋirksomhəd ɛller forɛtaɡe noɡənhandlinɡ dər tilsiɡter at nɛdbrydə noɡɛn af də həri oprɛɡnədə rɛttiɡhəder oɡfrihɛder
