human_rights_03_eng_rg_64kb_0001	juːnɪvɜːsl̩ dˈɛkləreɪʃn̩ ɒv hjˈuːmən ɻaɪts
human_rights_03_eng_rg_64kb_0012	pɻəklˈeɪmz ðˈɪs juːnɪvɜːsl̩ dˈɛkləreɪʃn̩ ɒv hjˈuːmən ɻaɪts əs ə kˈɒmən stˈændəd ɒv əɲˈiːvmənt fˈɔːɜ˞ ɔːl pˈiːpl̩z ænd ɔːl nˈæʃn̩z təʊ θɪ ɛnd ðˈæt ˈɛvɻɪ ˈɪndɪvˈɪdʒʊəl ænd ˈɛvɻɪ ˈɔːɡən ɒv səsˈaɪətɪ kˈiːpɪŋ ðˈɪs dˈɛkləreɪʃn̩ kənstəntlɪ ɪn mˈaɪnd ʃˈæl stɻˈaɪv bˈaɪ tˈiːɲɪŋ ænd ˈɛdʒʊkˈeɪʃn̩ təʊ pɻəmˈəʊt ɻɪspɛkt fˈɔːɜ˞ θˈiːz ɻˈaɪts ænd fɻˈiːdəmz ænd bˈaɪ pɻəʊɡɻˈɛsɪv mˈɛʒəz nˈæʃənl̩ ænd ˈɪntənˈæʃənl̩ təʊ sɪkjˈʊəɜ˞ ðˈɛə jˈuːnɪvɜːsl̩ ænd ɪfˈɛktɪv ɻˈiːkɒɡnˈɪʃn̩ ænd əbzˈɜːvn̩s bˈəʊθ əmˈʌŋ θɪ pˈiːpl̩z ɒv mˈɛmbəɜ˞ stˈeɪts θɪmsˈɛlvz ænd əmˈʌŋ θɪ pˈiːpl̩z ɒv tɛrətəɻɪz ˈʌndəɜ˞ ðˈɛə dʒʊərɪsdˈɪkʃəɻəbl̩
human_rights_03_eng_rg_64kb_0013	ætɪkl̩
human_rights_03_eng_rg_64kb_0014	ˈæl hjˈuːmən bˈiːɪŋz ɛə* bˈɔːn fɻˈiː ænd ɪkwəl ɪn dˈɪɡnətɪ ænd ɻˈaɪts
human_rights_03_eng_rg_64kb_0015	θɪ ɛə* ɪndˈaʊd wɪð ɻˈiːzn̩ ænd kˈɒnʃəns ænd ʃˈəʊld ækt təwˈɔːdz wˈʌn ənˈʌðəɜ˞ ɪn ə spˈɪɻɪt ɒv bɻˈʌðəhʊdˈiː
human_rights_03_eng_rg_64kb_0016	ætɪkl̩
human_rights_03_eng_rg_64kb_0017	ˈiːvrɪwʌn ɪz ɪntˈaɪtl̩d təʊ ɔːl θɪ ɻˈaɪts ænd fɻˈiːdəmz sˈɛt fˈɔːθ ɪn ðˈɪs dˈɛkləreɪʃən wɪðˈaʊt dɪstˈɪŋkʃn̩ ɒv ˈɛnɪ kˈaɪnd sʌtʃ əs ɻˈeɪs kˈʌlə sˈɛks lˈæŋɡwɪdʒ ɻɪlˈɪdʒən pəlˈɪtɪkl̩ əɜ˞ ˈʌðəɜ˞ əpˈɪnjən nˈæʃənl̩ əɜ˞ sˈəʊʃl̩ əɻˈɪdʒən pɻˈɒpətɪ bˈɜːθ əɜ˞ ˈʌðəɜ˞ stˈætjʊs
human_rights_03_eng_rg_64kb_0018	fˈɜːðəmˈɔːɜ˞ nəʊ dɪstˈɪŋkʃn̩ ʃˈæl b mˈeɪd ɒn θɪ beɪsɪs ɒv θɪ pəlˈɪtɪkl̩ dʒʊərɪsdˈɪkʃənl̩ əɜ˞ ˈɪntənˈæʃənl̩ stˈeɪtəs ɒv θɪ kˈʌntɻɪ əɜ˞ tɛrətərɪ təʊ wˈɪɲ ə pˈɜːsn̩ bɪlˈɒŋz wˈɛðəɜ˞ ˈɪt b ˈɪndɪpˈɛndənt tɻˈʌst nɒnsˈɛlfɡˈʌvənɪŋ əɜ˞ ˈʌndəɜ˞ ˈɛnɪ ˈʌðəɜ˞ lˈɪmɪtˈeɪʃn̩ ɒv sˈɒvɻɪntɪˈiː
human_rights_03_eng_rg_64kb_0019	ætɪkl̩
human_rights_03_eng_rg_64kb_0020	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ lˈaɪf lˈɪbətɪ ænd θɪ sɪkjˈʊəɻətɪ ɒv pˈɜːsnˈiː
human_rights_03_eng_rg_64kb_0021	ætɪkl̩
human_rights_03_eng_rg_64kb_0022	nəʊ wˈʌn ʃˈæl b hˈɛld ɪn slˈeɪvəɻɪ əɜ˞ sˈɜːvɪtjuːd
human_rights_03_eng_rg_64kb_0023	slˈeɪvəɻɪ ænd θɪ slˈeɪv tɻˈeɪd ʃˈæl b pɻəhˈɪbɪtɪd ɪn ɔːl ðˈɛə fɔːms
human_rights_03_eng_rg_64kb_0024	ætɪkl̩
human_rights_03_eng_rg_64kb_0025	nəʊ wˈʌn ʃˈæl b səbdʒˈɛktɪd təʊ tˈɔːɲəɜ˞ əɜ˞ təʊ kɻˈʊəl ˈɪnhjuːmən əɜ˞ dɪɡɻˈeɪdɪŋ tɻˈiːtmənt əɜ˞ pˈʌnɪʃməntˈiː
human_rights_03_eng_rg_64kb_0026	ætɪkl̩
human_rights_03_eng_rg_64kb_0027	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ɻˈiːkɒɡnˈɪʃn̩ ˈɛvɻɪwɛəɜ˞ əs ə pˈɜːsn̩ bɪfɔː* θɪ lˈɔːˈiː
human_rights_03_eng_rg_64kb_0028	ætɪkl̩
human_rights_03_eng_rg_64kb_0029	ˈæl ɛə* ɪkwəl bɪfɔː* θɪ lˈɔː ænd ɛə* ɪntˈaɪtl̩d wɪðˈaʊt ˈɛnɪ dɪskɻˈɪmɪnˈeɪʃn̩ təʊ ɪkwəl pɻətˈɛkʃn̩ ɒv θɪ lˈɔːˈiː
human_rights_03_eng_rg_64kb_0030	ˈæl ɛə* ɪntˈaɪtl̩d təʊ ɪkwəl pɻətˈɛkʃn̩ əɡˈɛnst ˈɛnɪ dɪskɻˈɪmɪnˈeɪʃn̩ ɪn vˈaɪəlˈeɪʃn̩ ɒv ðˈɪs dˈɛkləreɪʃn̩ ænd əɡˈɛnst ˈɛnɪ ɪnsˈaɪtmənt təʊ sʌtʃ dɪskɻˈɪmɪnˈeɪʃn̩ˈiː
human_rights_03_eng_rg_64kb_0031	ætɪkl̩
human_rights_03_eng_rg_64kb_0032	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ æn ɪfˈɛktɪv ɻˈɛmədɪ bˈaɪ θɪ kˈɒmpɪtənt nˈæʃənl̩ tɻˈɪbjuːnl̩z fˈɔːɜ˞ ˈækts vˈaɪəleɪtɪŋ θɪ fˈʌndəmˈɛntl̩ ɻˈaɪts ɡɻˈæntɪd hɪm bˈaɪ θɪ kənstɪtjˈuːʃn̩ əɜ˞ bˈaɪ lˈɔːˈiː
human_rights_03_eng_rg_64kb_0033	ætɪkl̩
human_rights_03_eng_rg_64kb_0034	nəʊ wˈʌn ʃˈæl b səbdʒˈɛktɪd təʊ ˈɑːbɪtɻəɻɪ əɻˈɛst dɪtˈɛnʃn̩ əɜ˞ ˈɛksaɪlˈiː
human_rights_03_eng_rg_64kb_0035	ætɪkl̩
human_rights_03_eng_rg_64kb_0036	ˈiːvrɪwʌn ɪz ɪntˈaɪtl̩d ɪn fˈʊl ɪkwɒlətɪ təʊ ə fˈɛəɜ˞ ænd pˈʌblɪk hˈɪəɻɪŋ bˈaɪ æn ˈɪndɪpˈɛndənt ænd ɪmpˈɑːʃl̩ tɻˈɪbjuːnl̩ ɪn θɪ dɪtˈɜːmɪnˈeɪʃn̩ ɒv hˈɪz ɻˈaɪts ænd əblɪɡˈeɪʃn̩z ænd ɒv ˈɛnɪ kɻˈɪmɪnl̩ ɲˈɑːdʒ əɡˈɛnst hˈaɪm
human_rights_03_eng_rg_64kb_0037	ætɪkl̩
human_rights_03_eng_rg_64kb_0038	ˈiːvrɪwʌn ɲˈɑːdʒd wɪð ə pˈiːnl̩ əfˈɛns hˈæz θɪ ɻˈaɪt təʊ b pɻɪzjˈuːmd ɪnəsn̩t ˈʌntɪl pɻˈuːvd ɡˈɪltɪ əkˈɔːdɪŋ təʊ lˈɔː ɪn ə pˈʌblɪk tɻˈaɪəl ˈæt wˈɪɲ hˈiː hˈæz hˈæd ɔːl θɪ ɡˈæɻəntˈiːz nˈɛsəsərɪ fˈɔːɜ˞ hˈɪz dɪfˈɛnsˈiː
human_rights_03_eng_rg_64kb_0039	nəʊ wˈʌn ʃˈæl b hˈɛld ɡˈɪltɪ ɒv ˈɛnɪ pˈiːnl̩ əfˈɛns ɒn əkˈaʊnt ɒv ˈɛnɪ ækt əɜ˞ əmɪʃn̩ wˈɪɲ dˈɪd nɒt kənstɪtjuːt ə pˈiːnl̩ əfˈɛns ˈʌndəɜ˞ nˈæʃənl̩ əɜ˞ ˈɪntənˈæʃənl̩ lˈɔː ˈæt θɪ tˈaɪm wˈɛn ˈɪt wˈeɪs kəmˈɪtɪdˈiː
human_rights_03_eng_rg_64kb_0040	nˈɔːɜ˞ ʃˈæl ə hˈɛvɪəɜ˞ pˈɛnl̩tɪ b ɪmpˈəʊzd ðˈæn θɪ wˈʌn ðˈæt wˈeɪs ˈæplɪkəbl̩ ˈæt θɪ tˈaɪm θɪ pˈiːnl̩ əfˈɛns wˈeɪs kəmˈɪtɪdˈiː
human_rights_03_eng_rg_64kb_0041	ætɪkl̩
human_rights_03_eng_rg_64kb_0042	nəʊ wˈʌn ʃˈæl b səbdʒˈɛktɪd təʊ ˈɑːbɪtɻəɻɪ ˈɪntəfˈɪəɻəns wɪð hˈɪz pɻˈɪvəsɪ fˈæməlɪ hˈəʊm əɜ˞ kˈɒɻɪspˈɒndəns nˈɔːɜ˞ təʊ ətˈæks əpˈɒn hˈɪz ˈɒnəɜ˞ ænd ɻˈɛpjʊtˈeɪʃn̩ˈiː
human_rights_03_eng_rg_64kb_0043	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ θɪ pɻətˈɛkʃn̩ ɒv θɪ lˈɔː əɡˈɛnst sʌtʃ ˈɪntəfˈɪəɻəns əɜ˞ ətˈæksn̩
human_rights_03_eng_rg_64kb_0044	ætɪkl̩
human_rights_03_eng_rg_64kb_0045	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɻˈiːdəm ɒv mˈuːvmənt ænd ɻˈɛzɪdəns wɪðɪn θɪ bˈɔːdəz ɒv ˈiːɲ stˈeɪtˈiː
human_rights_03_eng_rg_64kb_0046	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ lˈiːv ˈɛnɪ kˈʌntɻɪ ɪnklˈuːdɪŋ hˈɪz ˈəʊn ænd təʊ ɻɪtˈɜːn təʊ hˈɪz kˈʌntɻɪˈiː
human_rights_03_eng_rg_64kb_0047	ætɪkl̩
human_rights_03_eng_rg_64kb_0048	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ sˈiːk ænd təʊ ɪndʒˈɔɪ ɪn ˈʌðəɜ˞ kˈʌntɻɪz əsˈaɪləm fɻˈɒm pˈɜːsɪkjuːʃn̩ˈiː
human_rights_03_eng_rg_64kb_0049	tɪz ɻˈaɪt mˈeɪ nɒt b ɪnvˈəʊkt ɪn θɪ kˈeɪs ɒv pɻˈɒsɪkjˈuːʃn̩z dʒˈɛnjʊɪnlɪ əɻˈaɪzɪŋ fɻˈɒm nˈɒnpəlˈɪtɪkl̩ kɻˈaɪmz əɜ˞ fɻˈɒm ˈækts kəntɻəɻɪ təʊ θɪ pˈɜːpəsɪz ænd pɻˈɪnsəpl̩z ɒv θɪ jˈuːnɪtɪd nˈæʃn̩s
human_rights_03_eng_rg_64kb_0050	ætɪkl̩
human_rights_03_eng_rg_64kb_0051	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ə nˈæʃənˈælətɪˈiː
human_rights_03_eng_rg_64kb_0052	nəʊ wˈʌn ʃˈæl b ˈɑːbɪtɻəɻəlɪ dɪpɻˈaɪvd ɒv hˈɪz nˈæʃənˈælətɪ nˈɔːɜ˞ dɪnˈaɪd θɪ ɻˈaɪt təʊ ɲˈeɪndʒ hˈɪz nˈæʃənˈælətɪˈiː
human_rights_03_eng_rg_64kb_0053	ætɪkl̩
human_rights_03_eng_rg_64kb_0054	mɛn ænd wˈɪmɪn ɒv fˈʊl ˈeɪdʒ wɪðˈaʊt ˈɛnɪ lˈɪmɪtˈeɪʃn̩ djuː təʊ ɻˈeɪs nˈæʃənˈælətɪ əɜ˞ ɻɪlˈɪdʒən hˈæv θɪ ɻˈaɪt təʊ mˈæɻɪ ænd təʊ fˈaʊnd ə fˈæməlɪˈiː
human_rights_03_eng_rg_64kb_0055	θɪ ɛə* ɪntˈaɪtl̩d təʊ ɪkwəl ɻˈaɪts əs təʊ mˈæɻɪdʒ djˈʊəɻɪŋ mˈæɻɪdʒ ænd ˈæt ˈɪts dˈɪsəlˈuːʃn̩ˈiː
human_rights_03_eng_rg_64kb_0056	mˈæɻɪdʒ ʃˈæl b ˈɛntəd ˈɪntuː ˈəʊnlɪ wɪð θɪ fɻˈiː ænd fˈʊl kənsˈɛnt ɒv θɪ ɪntˈɛndɪŋ spˈaʊzs
human_rights_03_eng_rg_64kb_0057	tʃ fˈæməlɪ ɪz θɪ nˈæɲɻəl ænd fˈʌndəmˈɛntl̩ ɡɻˈuːp jˈuːnɪt ɒv səsˈaɪətɪ ænd ɪz ɪntˈaɪtl̩d təʊ pɻətˈɛkʃn̩ bˈaɪ səsˈaɪətɪ ænd θɪ stˈeɪtˈiː
human_rights_03_eng_rg_64kb_0058	ætɪkl̩
human_rights_03_eng_rg_64kb_0059	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ˈəʊn pɻˈɒpətɪ ələʊn əs wˈɛl əs ɪn əsˈəʊʃɪeɪʃn̩ wɪð ˈʌðəs
human_rights_03_eng_rg_64kb_0060	nəʊ wˈʌn ʃˈæl b ˈɑːbɪtɻəɻəlɪ dɪpɻˈaɪvd ɒv hˈɪz pɻˈɒpətɪˈiː
human_rights_03_eng_rg_64kb_0061	ætɪkl̩
human_rights_03_eng_rg_64kb_0062	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɻˈiːdəm ɒv θˈɔːt kˈɒnʃəns ænd ɻɪlˈɪdʒən
human_rights_03_eng_rg_64kb_0063	ðˈɪs ɻˈaɪt ɪnklˈuːdz fɻˈiːdəm təʊ ɲˈeɪndʒ hˈɪz ɻɪlˈɪdʒən əɜ˞ bɪlˈiːf ænd fɻˈiːdəm ˈaɪðəɜ˞ ələʊn əɜ˞ ɪn kəmjˈuːnətɪ wɪð ˈʌðəz ænd ɪn pˈʌblɪk əɜ˞ pɻˈaɪvɪt təʊ mˈænɪfɛst hˈɪz ɻɪlˈɪdʒən əɜ˞ bɪlˈiːf ɪn tˈiːɲɪŋ pɻˈæktɪs wˈɜːʃɪp ænd əbzˈɜːvn̩sˈiː
human_rights_03_eng_rg_64kb_0064	ætɪkl̩
human_rights_03_eng_rg_64kb_0065	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɻˈiːdəm ɒv əpˈɪnjən ænd ɪkspɻˈɛʃn̩
human_rights_03_eng_rg_64kb_0066	ðˈɪs ɻˈaɪt ɪnklˈuːdz fɻˈiːdəm təʊ hˈəʊld əpˈɪnjənz wɪðˈaʊt ˈɪntəfˈɪəɻəns ænd təʊ sˈiːk ɻɪsˈiːv ænd ɪmpɑːt ɪnfɔːmˈeɪʃn̩ ænd aɪdˈɪəz θɻˈuː ˈɛnɪ mˈiːdjə ænd ɻɪɡˈɑːdlɪs ɒv fɻˈʌntˈɪəzˈiː
human_rights_03_eng_rg_64kb_0067	ætɪkl̩
human_rights_03_eng_rg_64kb_0068	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɻˈiːdəm ɒv pˈiːsfʊl əsˈɛmblɪ ænd əsˈəʊʃɪeɪʃn̩ˈiː
human_rights_03_eng_rg_64kb_0069	nəʊ wˈʌn mˈeɪ b kəmpˈɛld təʊ bɪlˈɒŋ təʊ æn əsˈəʊʃɪeɪʃn̩ˈiː
human_rights_03_eng_rg_64kb_0070	ætɪkl̩
human_rights_03_eng_rg_64kb_0071	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ tˈeɪk pˈɑːt ɪn θɪ ɡˈʌvn̩mənt ɒv hˈɪz kˈʌntɻɪ dɪɻˈɛktlɪ əɜ˞ θɻˈuː fɻˈiːlɪ ɲˈəʊzn̩ ɻˈɛpɻɪzˈɛntətɪvs
human_rights_03_eng_rg_64kb_0072	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt ɒv ɪkwəl əksɛs təʊ pˈʌblɪk sˈɜːvɪs ɪn hˈɪz kˈʌntɻɪˈiː
human_rights_03_eng_rg_64kb_0073	tʃ wˈɪl ɒv θɪ pˈiːpl̩ ʃˈæl b θɪ beɪsɪs ɒv θɪ ɔːθˈɒɻətɪ ɒv ɡˈʌvn̩mənt
human_rights_03_eng_rg_64kb_0074	ðˈɪs wˈɪl ʃˈæl b ɪkspɻˈɛst ɪn pˈɪəɻɪˈɒdɪk ænd dʒˈɛnjʊɪn ɪlˈɛkʃn̩z wˈɪɲ ʃˈæl b bˈaɪ jˈuːnɪvɜːsl̩ ænd ɪkwəl sˈʌfɻɪdʒ ænd ʃˈæl b hˈɛld bˈaɪ sɛkrət vˈəʊt əɜ˞ bˈaɪ ɪkwˈɪvələnt fɻˈiː vˈəʊtɪŋ pɻəsˈiːdʒəzdɪ
human_rights_03_eng_rg_64kb_0075	ætɪkl̩
human_rights_03_eng_rg_64kb_0076	ˈiːvrɪwʌn əs ə mˈɛmbəɜ˞ ɒv səsˈaɪətɪ hˈæz θɪ ɻˈaɪt təʊ sˈəʊʃl̩ sɪkjˈʊəɻətɪ ænd ɪz ɪntˈaɪtl̩d təʊ rɪəlaɪzeɪʃən θɻˈuː nˈæʃənl̩ ˈɛfət ænd ˈɪntənˈæʃənl̩ kəʊˈɒpəɻˈeɪʃn̩ ænd ɪn əkˈɔːdəns wɪð θɪ ˈɔːɡənaɪzˈeɪʃn̩ ænd ɻɪsˈɔːsɪz ɒv ˈiːɲ stˈeɪt ɒv θɪ ˈiːkənˈɒmɪk sˈəʊʃl̩ ænd kˈʌlɲəɻəl ɻˈaɪts ˈɪndɪspˈɛnsəbl̩ fˈɔːɜ˞ hˈɪz dˈɪɡnətɪ ænd θɪ fɻˈiː dɪvˈɛləpmənt ɒv hˈɪz pˈɜːsənˈælətɪˈiː
human_rights_03_eng_rg_64kb_0077	ætɪkl̩
human_rights_03_eng_rg_64kb_0078	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ wˈɜːk təʊ fɻˈiː ɲˈɔɪs ɒv ɪmplˈɔɪmənt təʊ dʒˈʌst ænd fˈeɪvəɻəbl̩ kəndˈɪʃn̩z ɒv wɜːk ænd təʊ pɻətˈɛkʃn̩ əɡˈɛnst ˈʌnɪmplˈɔɪməntˈiː
human_rights_03_eng_rg_64kb_0079	ˈiːvrɪwʌn wɪðˈaʊt ˈɛnɪ dɪskɻˈɪmɪnˈeɪʃən hˈæz θɪ ɻˈaɪt təʊ ɪkwəl pˈeɪ fˈɔːɜ˞ ɪkwəl wˈɜːkˈiː
human_rights_03_eng_rg_64kb_0080	ˈiːvrɪwʌn hˈuː wɜːks hˈæz θɪ ɻˈaɪt təʊ dʒˈʌst ænd fˈeɪvəɻəbl̩ ɻɪmjˈuːnəɻˈeɪʃn̩ ɪnʃˈɔːɻɪŋ fˈɔːɜ˞ hɪmsˈɛlf ænd hˈɪz fˈæməlɪ æn ɪɡzˈɪstəns wˈɜːðɪ ɒv hjˈuːmən dˈɪɡnətɪ ænd sˈʌplɪmɛntɪd ɪf nˈɛsəsərɪ bˈaɪ ˈʌðəɜ˞ mˈiːnz ɒv sˈəʊʃl̩ pɻətˈɛkʃn̩ˈiː
human_rights_03_eng_rg_64kb_0081	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɔːm ænd təʊ dʒˈɔɪn tɻˈeɪd jˈuːnjənz fˈɔːɜ˞ θɪ pɻətˈɛkʃn̩ ɒv hˈɪz ˈɪntɻəsts
human_rights_03_eng_rg_64kb_0082	ætɪkl̩
human_rights_03_eng_rg_64kb_0083	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ɻɪst ænd lˈɛʒə ɪnklˈuːdɪŋ ɻˈiːzn̩əbl̩ lˈɪmɪtˈeɪʃn̩ ɒv wˈɜːkɪŋ ˈaʊəz ænd pˈɪəɻɪˈɒdɪk hˈɒlədeɪz wɪð pˈeɪˈiː
human_rights_03_eng_rg_64kb_0084	ætɪkl̩
human_rights_03_eng_rg_64kb_0085	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ə stˈændəd ɒv lˈɪvɪŋ ˈædɪkwət fˈɔːɜ˞ θɪ hˈɛlθ ænd wɛɫbiɪŋ ɒv hɪmsˈɛlf ænd ɒv hˈɪz fˈæməlɪ ɪnklˈuːdɪŋ fˈuːd klˈəʊðɪŋ hˈaʊzɪŋ ænd mˈɛdɪkl̩ kɛə* ænd nˈɛsəsərɪ sˈəʊʃl̩ sˈɜːvɪss ænd θɪ ɻˈaɪt təʊ sɪkjˈʊəɻətɪ ɪn θɪ ɪvˈɛnt ɒv ˈʌnɪmplˈɔɪmənt sˈɪknɪs dˈɪsəbˈɪlətɪ wˈɪdəʊhʊd ˈəʊld ˈeɪdʒ əɜ˞ ˈʌðəɜ˞ lˈæk ɒv lˈaɪvlɪhʊd ɪn sˈɜːkəmstənsɪz bɪjɒnd hˈɪz kəntɻˈəʊlˈaɪ
human_rights_03_eng_rg_64kb_0086	mˈʌðəhʊd ænd ɲˈaɪldhʊd ɛə* ɪntˈaɪtl̩d təʊ spˈɛʃl̩ kɛə* ænd əsˈɪstənsˈiː
human_rights_03_eng_rg_64kb_0087	ˈæl ɲˈaɪldɻən wˈɛðəɜ˞ bˈɔːn ɪn əɜ˞ aʊt ɒv wˈɛdlɒk ʃˈæl ɪndʒˈɔɪ θɪ sˈeɪm sˈəʊʃl̩ pɻətˈɛkʃn̩ˈiː
human_rights_03_eng_rg_64kb_0088	ætɪkl̩
human_rights_03_eng_rg_64kb_0089	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ˈɛdʒʊkˈeɪʃn̩ˈiː
human_rights_03_eng_rg_64kb_0090	ɪdʒʊkˈeɪʃn̩ ʃˈæl b fɻˈiː ˈæt lˈiːst ɪn θɪ ˈɛlɪmɛntəɻɪ ænd fˈʌndəmˈɛntl̩ stˈeɪdʒs
human_rights_03_eng_rg_64kb_0091	ɪlɪmɛntəɻɪ ˈɛdʒʊkˈeɪʃn̩ ʃˈæl b kəmpˈʌlsəɻɪˈiː
human_rights_03_eng_rg_64kb_0092	tˈɛknɪkl̩ ænd pɻəfˈɛʃənl̩ ˈɛdʒʊkˈeɪʃn̩ ʃˈæl b mˈeɪd dʒˈɛnəɻəlɪ əvˈeɪləbl̩ ænd hˈaɪəɜ˞ ˈɛdʒʊkˈeɪʃn̩ ʃˈæl b ɪkwəlɪ əksɛsəbl̩ təʊ ɔːl ɒn θɪ beɪsɪs ɒv mˈɛɻɪtˈiː
