human_rights_un_pmp_dm_64kb_0001	diŋ paŋ univesuŋ kaapataŋ pantau a mipoklama paa ipakilala
human_rights_un_pmp_dm_64kb_0012	uliŋ tune mauladʒaŋ paunlakan iŋ pami udʒnaudʒnajan da iŋ bansa
human_rights_un_pmp_dm_64kb_0013	diŋ sablaŋ bansa kailaŋan laŋ dinaŋ ajudaŋ mikakalapit la
human_rights_un_pmp_dm_64kb_0014	uliŋ diŋ maemalen da iŋ mesasanmetuŋ a bansa menalakaan la kiŋ kaelaŋ sailiŋ kata kiŋ kaelaŋ kapanalidʒan kaiŋ kaapataŋ pantau kiŋ daŋal a kauladʒan na niŋ paŋatau at kiŋ pante aŋ kaapatan niŋ lalakit babi at pinilmi neŋ tedʒujud iŋ pamanasensuŋ paŋ lipunan at iŋ majap a kabiljan a bie a atiŋ malawak a kaapatan
human_rights_un_pmp_dm_64kb_0015	kapamilatan na niŋ kataŋ iti diŋ makaanib kaiŋ mesasanmetuŋ a bansa pasiwala da iŋ kaelaŋ kapaniwalan kaiŋ kaapataŋ pantau kiŋ kauladʒan at uladʒa niŋ balaŋ tau at kiŋ pante kaapatan niŋ lalakit babai
human_rights_un_pmp_dm_64kb_0016	mikasundu la in pasikapan daŋ atamasa iŋ kaunlaaŋ paŋ lipunan at iŋ majap a pami biebie
human_rights_un_pmp_dm_64kb_0017	uliŋ diŋ kaanib a bansa meŋaku la kinŋ makisaupan la kaiŋ misasanmetuŋ a bansa a sikapan daŋ kamtan iŋ pamitadʒujud kiŋ pamaŋalaŋ at pamanupad diŋ sabla kaiŋ kaapataŋ pantau at kaiŋ mauladʒaŋ kalajan
human_rights_un_pmp_dm_64kb_0018	diŋ bansaŋ kabilaŋ kaiŋ bansaŋ misasanmetuŋ medʒaku laŋ misaupsaupan la kiŋ nanu maŋ paalan baŋ in kaapatan at kalajan diŋ sablaŋ tau ketiŋ jatu poteksjunan da at idʒalaŋ
human_rights_un_pmp_dm_64kb_0019	uliŋ mauladʒaŋ abalu a diŋ sabla diŋ kaapatan at kalajaŋ iti baŋ pilmiŋ matupad iŋ paŋakuŋ iti
human_rights_un_pmp_dm_64kb_0020	at muna kauladʒaŋ aintindian da iŋ sablaŋ bansa nuŋ nanu la iŋ kaapatan at kalajan a eti baŋ atupaan la diŋ paŋaku
human_rights_un_pmp_dm_64kb_0021	pauli na niti papasiwala na niŋ paŋaladʒanap a kapuluŋan iŋ pamisiwala mabiludʒ a jatu diŋ kaapataŋ pantau antiŋ metuŋ a paŋaladʒanap a daleajan niŋ tadʒumpe paa kaiŋ sablaŋ tau at diŋ sabla naŋ patiŋ paŋ lipunan diŋ memalen a paladʒi aŋ isipan iŋ pamipasiwalaŋ iti masikap la kiŋ kapamilatan na niŋ pamanuu at pamadʒaal at adʒujud da iŋ pamaŋdʒalaŋ kaiŋ kaapatan at kalajan a iti at kapamilatan da iŋ masasantiŋ a daleajan pambansa at paŋjatu man tijakan iŋ paŋladʒanap at mabisaŋ pamipaaladʒa at pamanupad kaeti kaiŋ memalen diŋ musmuŋ kaanib a ɛstado at kaiŋ memalen diŋ teitojuŋ sasakupan da
human_rights_un_pmp_dm_64kb_0022	pepasiwala na niŋ paŋladʒanap a kapuluŋan diŋ mesasanmetuŋ a bansa itiŋ paŋjatuŋ paŋaladʒanap a daleajan niŋ tadʒumpe paa kaiŋ sablaŋ tau at kaiŋ sablaŋ bansa
human_rights_un_pmp_dm_64kb_0023	aduan da kaiŋ sablaŋ tau at kaiŋ aŋdʒaŋ dʒupu diŋ lipunan a isunduŋ padʒsikapaŋ akamtan diŋ kapakajan a eti kapamilatan niŋ pamanuu kiŋ pamaŋdʒlalaŋ kaiŋ kaapataŋ pantau at kalajan at kiŋ kapamilatan niŋ pamipatibe diŋ batas a bibie midʒit a masantiŋ a poteksjun kaiŋ kaapataŋ kalajaŋ iti
human_rights_un_pmp_dm_64kb_0024	atikulo
human_rights_un_pmp_dm_64kb_0025	diŋ sablaŋ tau mibait laŋ malaja at pantepante kiŋ kaaŋalan at kaapatan
human_rights_un_pmp_dm_64kb_0026	ila mipadʒkaluban laŋ katulian at konsensija aj dapat misaupan kiŋ diwaŋ pamikapatian
human_rights_un_pmp_dm_64kb_0027	atikulo
human_rights_un_pmp_dm_64kb_0028	iŋ balaŋ metuŋ atin ijaŋ kaapatan kaiŋ aŋdʒaŋ kaapatan at kalajaŋ tikda na niŋ poklamasjun a iti kiŋ alaŋ lalon ninu maŋ lahi kule paŋatau salita elijun kapaniwalan kiŋ pulitika ɔː aliwa paŋ pamaniwala penibataŋ bansa ɔː lipunan pibandian kepaitan ɔː aliwa paŋ kabiljan
human_rights_un_pmp_dm_64kb_0029	maliban pa kaeta iŋ pamialiwaŋ padʒlalawe tuŋkul kiŋ pulitika e dapat madʒawa adʒpaŋ kiŋ kabiljaŋ pulitikal sakup ɔː paŋjatu niŋ bansa ɔː teitoju a nuŋ nokain ija iŋ tau madʒsasaili ija man iti mamasa e madʒsaili ɔː kiŋ lalam niŋ aliwaŋ mitakdaŋ pamadʒdʒɔːbieno
human_rights_un_pmp_dm_64kb_0030	atikulo
human_rights_un_pmp_dm_64kb_0031	diŋ balaŋ metuŋ atin laŋ kaapataŋ mie kalajan at kalidʒtasan antimoŋ tau
human_rights_un_pmp_dm_64kb_0032	atikulo
human_rights_un_pmp_dm_64kb_0033	alaŋ ninu man iŋ dapat dʒawan alipan ɔː busabus
human_rights_un_pmp_dm_64kb_0034	makabawal la diŋ sablaŋ badʒe pamanalipa at pamaŋalakal alipan
human_rights_un_pmp_dm_64kb_0035	atikulo
human_rights_un_pmp_dm_64kb_0036	alaŋ ninu man iŋ mipailalam ja kiŋ labis a pamipasakit ɔː pamadʒmalupit a e makatau mababaŋ pamanuiŋ ɔː pamamausa
human_rights_un_pmp_dm_64kb_0037	atikulo
human_rights_un_pmp_dm_64kb_0038	iŋ balaŋ metuŋ atin ijaŋ kaapataŋ kilalanan nokain man antiŋ metuŋ a tau kiŋ aap niŋ batas
human_rights_un_pmp_dm_64kb_0039	atikulo
human_rights_un_pmp_dm_64kb_0040	diŋ sabla pantepante la kiŋ aap niŋ atas at atin laŋ kaapatan kiŋ pantepante poteksjun niŋ batas a alaŋ pipilinan
human_rights_un_pmp_dm_64kb_0041	diŋ sabla atin laŋ kaapatan kiŋ pantepante laban kiŋ nanu maŋ pamimili a labadʒ kiŋ poklamasjun a iti at laban kiŋ nanu maŋ pamanulsul kiŋ mesabiŋ pamamili
human_rights_un_pmp_dm_64kb_0042	atikulo
human_rights_un_pmp_dm_64kb_0043	iŋ balaŋ metuŋ atin ijaŋ kaapatan kiŋ mabisaŋ atul niŋ kaapatdapat a pambansaŋ huwes adʒpaŋ kaiŋ lalabadʒ kaiŋ panimulaŋ kaapatan a ipadʒkalub na kaja niŋ konstitusjun ɔː niŋ batas
human_rights_un_pmp_dm_64kb_0044	atikulo
human_rights_un_pmp_dm_64kb_0045	alaŋ ninu man iŋ mipailalam ja kiŋ e makatuliaŋ paŋaakap pamipakuluŋ ɔː pamipaudʒse
human_rights_un_pmp_dm_64kb_0046	atikulo
human_rights_un_pmp_dm_64kb_0047	balaŋ metuŋ atin laŋ lubus a pantepanteŋ kaapatan kiŋ makatulian at lantad a pamadʒlitis niŋ metuŋ a malaja at alaŋ kikiliŋaŋ usdʒadu kiŋ pamanidʒuu na kaiŋ kajaŋ kaapatan at pakibatan at nanu maŋ dimandaŋ kiminal laban kaja
human_rights_un_pmp_dm_64kb_0048	atikulo
human_rights_un_pmp_dm_64kb_0049	iŋ balaŋ metuŋ a akusadu kiŋ kasalanan a mipausan at iŋ kaapatan niŋ ninu maŋ tauŋ mi akusaŋ linabadʒ kaiŋ batas atin ijaŋ kaapataŋ ituiŋ inosenti ɔː alaŋ sala aŋdʒaŋ e mipatunajaŋ mikasala adʒpaŋ kiŋ batas kiŋ makalantad a pamadʒlitis atilu kaja diŋ sablaŋ dʒantijaŋ kailaŋan kiŋ kajaŋ dispensa
human_rights_un_pmp_dm_64kb_0050	alaŋ ninu maŋ mijatulaŋ mikasala a nanu man pamikasala mipapausan pauli na niŋ nanu maŋ dʒewa ɔː pamaŋuluŋ a e tutuiŋ pamikasalaŋ mipapausan adʒpaŋ kiŋ batas a pambansa ɔː paŋjatu injaŋa awan da ita
human_rights_un_pmp_dm_64kb_0051	at e dapat mipaataŋaŋ mas mabajat a pausa kesa kanitaŋ bibie na niŋ batas inijaŋ medʒawa iŋ pamikasalaŋ mipapausan
human_rights_un_pmp_dm_64kb_0052	atikulo
human_rights_un_pmp_dm_64kb_0053	alaŋ ninu man iŋ mipailalam ja keŋ e makatuliaŋ pamakialam da kiŋ kajaŋ saili pamilja bale ɔː kaiŋ sulat ɔː pamanamak kiŋ kajaŋ daŋal at ladʒju
human_rights_un_pmp_dm_64kb_0054	iŋ balaŋ metuŋ atiŋ ijaŋ kaapatan kiŋ poteksjun niŋ batas laban kiŋ makanjan a pamakialam ɔː pamanamak
human_rights_un_pmp_dm_64kb_0055	atikulo
human_rights_un_pmp_dm_64kb_0056	atin ijaŋ kaapataŋ lumipat iŋ balaŋ metuŋ at manuknaŋan kilub niŋ sasakupan naniŋ balaŋ ɛstado
human_rights_un_pmp_dm_64kb_0057	atin ijaŋ kaapataŋ mako iŋ balaŋ metuŋ kaiŋ sanu maŋ bansa madʒiŋ kiŋ sailiŋ bansa at mibalik kiŋ kajaŋ bansa
human_rights_un_pmp_dm_64kb_0058	atikulo
human_rights_un_pmp_dm_64kb_0059	iŋ balaŋ metuŋ atin ijaŋ kaapatan a maniawad at taŋdʒap asajlum kiŋ aliwaŋ bansa nuŋ iti pasakitan de
human_rights_un_pmp_dm_64kb_0060	iŋ kaapatan a iti eja madʒamit nuŋ iŋ pamipasakit sadja laŋ buŋa diŋ pamikasalaŋ e pulitikal ɔː pemaŋawaŋ saluŋat kaiŋ kapakajan at tuntunan da diŋ misasanmetuŋ a bansa
human_rights_un_pmp_dm_64kb_0061	atikulo
human_rights_un_pmp_dm_64kb_0062	iŋ balaŋ metuŋ atin ijaŋ kaapatan antiŋ memalen
human_rights_un_pmp_dm_64kb_0063	alaŋ ninu maŋ e makatuliaŋ lako a iŋ kajaŋ papaŋamemalen ɔː padʒkaitaŋ kaapataŋ mamalit kiŋ kajaŋ paŋamemalen
human_rights_un_pmp_dm_64kb_0064	atikulo
human_rights_un_pmp_dm_64kb_0065	diŋ lalakit babai a atiju na kiŋ ustuŋ idad a alaŋ mitakdaŋ lahi paŋamemalen ɔː elijun atiŋ ijaŋ kaapataŋ makiasawa at mikaatin ijaŋ pamilja
human_rights_un_pmp_dm_64kb_0066	iia atiŋ laŋ pante kaapatan kiŋ kasal kabaŋ miasawa la at kiŋ pamipalako naŋ bisa niti
human_rights_un_pmp_dm_64kb_0067	iŋ kasal madʒawa mu kiŋ malaja at lubus daŋ kabuian diŋ ikakasal
human_rights_un_pmp_dm_64kb_0068	iŋ pamilja likas ijaŋ batajan pati niŋ lipunan at atiŋ kaapatan kiŋ poteksjun niŋ lipinan at estado
human_rights_un_pmp_dm_64kb_0069	atikulo
human_rights_un_pmp_dm_64kb_0070	iŋ balaŋ metuŋ atin ijaŋ kaapataŋ mikabandi pibandian a madʒsasaili at kajabe diŋ aliwa
human_rights_un_pmp_dm_64kb_0071	alaŋ ninu maŋ makatulian paa ilako a iŋ kajaŋ pibandian
human_rights_un_pmp_dm_64kb_0072	atikulo
human_rights_un_pmp_dm_64kb_0073	iŋ balaŋ metuŋ atiŋ ijaŋ kaapatan kiŋ pamiisip konsensija at elijun
human_rights_un_pmp_dm_64kb_0074	kajabe kiŋ kaapataŋ iti iŋ kalajan a mamalit kiŋ kajaŋ elijun ɔː kapaniwalan iŋ kalajan a madʒ dilidili man ɔː kajabe diŋ aliwa at kiŋ publiku ɔː pibabdo a pamalinawan kiŋ aal dʒawa pamanjamba at pamadʒdiwaŋ
human_rights_un_pmp_dm_64kb_0075	atikulo
human_rights_un_pmp_dm_64kb_0076	iŋ balaŋ metuŋ atin jaŋ kaapatan at kalajan at mamje at madʒsiwalat a opinjun kajabe diŋ kaapataŋ deni atin tamuŋ kalajan a alaŋ maialam ɔː pamintuan man taŋdʒap at mamie impomasjun ɔː kaisipan keŋ nanumaŋ klasiŋ paalan a e makatauŋan kaeŋ limitasjun da eŋ kalajan a eti
human_rights_un_pmp_dm_64kb_0077	atikulo
human_rights_un_pmp_dm_64kb_0078	diŋ balaŋ tau atin laŋ kaapatan at kalajan at makiadʒuman at makialubilu
human_rights_un_pmp_dm_64kb_0079	ita mu ea kata apilit makiabe kiŋ nanu pa maŋ dʒupo ɔː pamiabeabe a labadʒ kiŋ kekaŋ kabuian
human_rights_un_pmp_dm_64kb_0080	atikulo
human_rights_un_pmp_dm_64kb_0081	iŋ balaŋ metuŋ atin ijaŋ kaapataŋ dʒanap pati kiŋ dʒobienu na niŋ kajaŋ bansa dietsuan ɔː kiŋ kapamilatan niŋ kalajaŋ pamili kaiŋ madʒiŋ peka katawan
human_rights_un_pmp_dm_64kb_0082	iŋ balaŋ metuŋ atin ijaŋ kaapatan kiŋ paeuŋ pamadʒsebisjuŋ pambalen kiŋ kajaŋ bansa
human_rights_un_pmp_dm_64kb_0083	iŋ kabuian diŋ memalen ija dapat madʒiŋ batajan niŋ upaja niŋ dʒobienu
human_rights_un_pmp_dm_64kb_0084	iŋ kabuiaŋ iti dapat ipabalu ja kiŋ panapanaun at tuneŋ halalan kiŋ kapamilatan niŋ paŋladʒanap at pantepanteŋ pamadʒbotu a madʒawa ija kiŋ siketuŋ paalan a pamadʒbotu ɔː kiŋ kapamilatan niŋ katumbas a malajaŋ pamipaalaŋ pamadʒbotu
human_rights_un_pmp_dm_64kb_0085	atikulo
human_rights_un_pmp_dm_64kb_0086	iŋ balaŋ metuŋ antiŋ pati na niŋ lipunan atin jaŋ katulian kiŋ kapajapan na niŋ lipunan at atiŋ kaapatan kiŋ katupaan kiŋ kapamilatan na niŋ pamadʒsikap na niŋ bansa at kiŋ pami saupsaup paŋ kabiludʒaŋ bansa at makanajun ija kiŋ kaajusan at pibandian diŋ balaŋ ɛstado diŋ kaapataŋ paŋkabiajajan paŋ masa at paŋ kultuaŋ kaapatan at tune kailaŋan ne niŋ kajaŋ daŋal at niŋ malajaŋ paŋabuu na niŋ kajaŋ paŋatau
human_rights_un_pmp_dm_64kb_0087	atikulo
human_rights_un_pmp_dm_64kb_0088	iŋ balaŋ metuŋ atin ijaŋ kaapataŋ madʒoba malajaŋ mamiliŋ oba makatulian at masantiŋ a kabiljan kiŋ pamadʒoba at poteksjun laban kiŋ oba
human_rights_un_pmp_dm_64kb_0089	iŋ balaŋ metuŋ a alaŋ tataŋian atiŋ ijaŋ katulian kiŋ suwelduŋ katumbas niŋ kajaŋ pipadʒalan
human_rights_un_pmp_dm_64kb_0090	iŋ balaŋ metuŋ a madʒoba atin ijaŋ kaapatan kiŋ makatulian at sapat a bajad a titijakan na kiŋ kajaŋ saili at kiŋ kajaŋ pamilja iŋ pamaŋabijajan a maaŋal dadʒdadʒan pa nuŋ kailaŋan iŋ aliwa paŋ paalan niŋ pteksjuŋ paniupunan
human_rights_un_pmp_dm_64kb_0091	iŋ balaŋ metuŋ atin ijaŋ kaapatan mitatadʒ at makiabe kaiŋ unjun kiŋ pamaŋawa paa potektahan iŋ kajaŋ kapakanan
human_rights_un_pmp_dm_64kb_0092	atikulo
human_rights_un_pmp_dm_64kb_0093	iŋ balaŋ metuŋ atin ijan kaapataŋ madʒpajnawa at madʒlibaŋ kabilaŋ iŋ makatulian oas niŋ pamaoba at diŋ panapanauŋ piestaŋ opisjal a atiŋ bajad
human_rights_un_pmp_dm_64kb_0094	atikulo
human_rights_un_pmp_dm_64kb_0095	iŋ balaŋ metuŋ atin ijaŋ kaapatan kiŋ antas niŋ pamaŋabijajan sapat paa kiŋ masikan a pamikakatawan at ikasantiŋ na niŋ kajaŋ saili at iŋ kajaŋ pamilja kajabe iŋ pamaŋan bau pambale at iŋ pamanesaŋ medikal at diŋ kailaŋaŋ paŋsebisjuŋ panlipunan at atiŋ kaapatan kiŋ sekjuidad nuna milako iva oba mikasakit mabalu tumwa ɔː mawala ka bie ɔː nuŋ dataŋ la diŋ maliaiŋ e dapat asaan
human_rights_un_pmp_dm_64kb_0096	diŋ inda at anak atin laŋ kaapatan kiŋ pamanese at kasaupan
human_rights_un_pmp_dm_64kb_0097	diŋ aŋdʒaŋ anak kasal la man diŋ peŋai ɔː ali madʒtamasa laŋ paepaeuŋ poteksjuŋ panlipunan
human_rights_un_pmp_dm_64kb_0098	atikulo
human_rights_un_pmp_dm_64kb_0099	iŋ balaŋ metuŋatin laŋ kaapatan kiŋ pamadʒaal
human_rights_un_pmp_dm_64kb_0100	iŋ pamadʒaal dapat ijaŋ libi aŋdʒaŋ kiŋ elementaja mu man at pamadʒumpisaŋ antas
human_rights_un_pmp_dm_64kb_0101	iŋ pamadʒaal kiŋ pimea dapat sapilitan ija
human_rights_un_pmp_dm_64kb_0102	iŋ edukasjuŋ teknikal at popesjunal dapat makatadʒulaliŋ kaiŋ sabla at atiŋ matas a edukasjun atamasa diŋ sabla adʒpaŋ kiŋ meitu
human_rights_un_pmp_dm_64kb_0103	iŋ pamadʒaal dapat idiekta ija kiŋ dʒanap naŋ pamdʒabuu niŋ ketaun at kiŋ pamipatibe niŋ pamaŋdʒalaŋ kaiŋ kaapataŋ pantau at kaiŋ kalajan paŋ konstitusjun
human_rights_un_pmp_dm_64kb_0104	itadʒujud na niti iŋ pamikamtindi iŋ midinan at pamikaludʒuan kaiŋ sablaŋ bansa diŋ dʒupu adʒpaŋ kiŋ lahi ɔː elijun at paunlaan la diŋ obaan da diŋ mesasanmetuŋ a bansa baŋ papanatiljna iŋ kapajapan
human_rights_un_pmp_dm_64kb_0105	peka mumuna aŋ kaapatan diŋ peŋai iŋ pamamili kiŋ klasi niŋ pamadʒaal a ipadʒlalub kaiŋ kaelaŋ anak
human_rights_un_pmp_dm_64kb_0106	atikulo
human_rights_un_pmp_dm_64kb_0107	iŋ balaŋ metuŋ atin ijaŋ kaapataŋ malajaŋ makiabe kiŋ bie paŋ kultua niŋ komunidad baŋ atamasa iŋ ati at munie kadʒanapan kiŋ pamipaunlad kiŋ sijensa at kaiŋ makinabaŋ na niti
human_rights_un_pmp_dm_64kb_0108	iŋ balaŋ metuŋ atin ijaŋ kaapatan kiŋ poteksjun kiŋ kapakanaŋ moal at matejal a ibat kiŋ sijentipiku panliteatue ɔː atistiko a ija iŋ dʒinawa
human_rights_un_pmp_dm_64kb_0109	atikulo
human_rights_un_pmp_dm_64kb_0110	iŋ balaŋ metuŋ atin ijaŋ kaapatan kiŋ kaajusaŋ paŋkapalidʒian at paŋjatu a diŋ kaapatan a kalajaŋ makatakda kiŋ pamisiwalat a iti lubusan ijaŋ akamtan
human_rights_un_pmp_dm_64kb_0111	atikulo
human_rights_un_pmp_dm_64kb_0112	iŋ balaŋ metuŋ atin laŋ tuŋkulan a dapat dʒampanan kiŋ komunidad at ija kabud iŋ bibie laja at lubus a kadʒanapan kiŋ paŋa tau na
human_rights_un_pmp_dm_64kb_0113	kiŋ pamanupad na kiŋ kajaŋ kaapatan at kalajan iŋ balaŋ metuŋ mipailalam ija kaiŋ limitasjuŋ sasadʒlawajan na niŋ batas paa baŋkanita akamtan iŋ kaapaddapat pamaŋilala at padʒdʒalaŋ kaiŋ kaapatan at kalajan diŋ aliwa at apakibatan iŋ makatuliaŋ pamaŋailaŋan niŋ moalidad kaajusaŋ pambalen at panladʒanap a kapakanan kiŋ metuŋ a demokatikuŋ lipunan
human_rights_un_pmp_dm_64kb_0114	diŋ kaapatan at kalajan a iti ela kapilan man madʒamit a makasaluŋat kaiŋ kapadʒnasan at tuntunan diŋ misasanmetuŋ a bansa
human_rights_un_pmp_dm_64kb_0115	atikulo
human_rights_un_pmp_dm_64kb_0116	alaŋ nanu maŋ pati kiŋ poklamasjuŋ iti a tutuiŋ maŋabaldudʒan kiŋ sanu maŋ ɛstado dʒupo ɔː tau iŋ kaapataŋ makiabe kiŋnanu maŋ dʒadʒawan ɔː kimut ɔː bibie paalan paa sian na iŋ sanu maŋ kaapatan at kalajan mitakda keni
