human_rights_un_wal_ezwa_64kb_0001	deklaʁåsjɔn ynivesɛl dɛs dʁɛt dwˈalˈɔm
human_rights_un_wal_ezwa_64kb_0012	lˈasimblɛi geneʁål pRoklam li pʁezint
human_rights_un_wal_ezwa_64kb_0013	deklaʁåsjɔn ynivesɛl dɛs dʁɛt dwˈalˈɔm kɔm ɛstɑ̃ lɛ valɛyʁ ki tɔ lɛ pøp ɛt tɔt lɛ nåsjɔ̃ divʁi mɛt ɛnuvɛ.
human_rights_un_wal_ezwa_64kb_0014	ki lɛ si ki twˈanɛt svjɛʁna dɛ sosjete tɔ kɔm ʃaskœnwˈa å ʁɛs avu dʒɔyʁmɛ sis dɛklaʁåsjɔ̃ ɛ ssjs sɛjɛs dɛ mɛt ɛnavan li ʁɛspɛt dɛ dʁɛyt ɛt libetesʃal divin lɛ skɔl ɛt lˈedykåsjɔ̃ pɔ nˈaiʁ pitʃɔt a midʒɔt gås a dɛ mɛzuR nasjɔnål ɛt intenasjɔnåm a wˈan ʁikwˈanɔans di kɛ dʁɛyt ɛt dɛ libetesla pɔ kˈi sɛiɛs mɛtu ɛnalɛdʒ pɔ dbɔ̃ tɔ avå sʁɛ ɔtwˈatɑ̃ pɔ lɛ populåsjɔ̃ dɛsɛtat mamb zɛl minm ki pɔ lɛ sis dɛ teʁ ki sɔn dzɔ lɛy kwˈadyansɛ.
human_rights_un_wal_ezwa_64kb_0015	aʁtik pʁymi 1
human_rights_un_wal_ezwa_64kb_0016	tɔ lɛsɔm vinɛtstå mɔnd libs ɛt zɔlwˈanm pid pɔ su kˈɛnˈɛs dlœ diɲite ɛt dlœ dRus.
human_rights_un_wal_ezwa_64kb_0017	i nsɔn nin fu Rɛzɔn ɛtɔnti lɛy kɔ̃siins pɔ zɛls su kˈɛlɛ du mine a swˈakidyʁ ɔnkwˈa pɔ sot tɔ kɔm dɛ fRes.
human_rights_un_wal_ezwa_64kb_0018	aʁtik dɛyzinm 2
human_rights_un_wal_ezwa_64kb_0019	ʃaskœnwˈa søiti ɔm u fœm pu fe valɛyʁ tɔ lɛ dʁɛyt ɛt tɔt lɛ libɛʁte ki ny sɔn Raʃu dvin spʁezint dɛklaʁåkl ɛt nwˈapoʁtɔn pRɛ̃d nukwˈa pɔ mɔn kˈi nˈɛs a kåz di swˈaʁasɛ dɛlwˈaklyʁ di swˈapɛ di swˈaliŋadʒɛ di su kˈi kRu di sɛsidɛi zɔlwˈapɔlitik u sɔ tɔ ot tʃwɛs di ke pɛji kˈi pRovɛ̃t di swˈakɔndisjɔn dʁitʃ u dpov dɛlwˈakɔ̃tRɛi wis kˈil a vɛiu sdʒu u bin dtɔ minm kwɛ ki ssøiɛ.
human_rights_un_wal_ezwa_64kb_0020	di puzwˈa nɔly nwˈadu påti dɛlwˈakɔndisjɔn di swˈapatʁɛi Rapoʁ åsot pɛjs ki skɔ̃tRɛi u spɛji di dwis kˈi pRovin sɛiɛz ɛ̃depɑ̃dɑ̃s nin mɛs di zɛl pɔ dbɔ̃ u bin ʁastʁindu dvin lɛy dRus ɛt måge tɔ su kˈɔn poʁu tyze di lɛy gyvɛʁnymint.
human_rights_un_wal_ezwa_64kb_0021	aʁtik tʁɛyzinm 3
human_rights_un_wal_ezwa_64kb_0022	ʃaskœnwˈa a dRu alwˈavikåʁɛi alˈibɛRte ɛt alwˈasyʁɛte pɔ lu minmɛ.
human_rights_un_wal_ezwa_64kb_0023	aʁtikl kwatʁinm 4
human_rights_un_wal_ezwa_64kb_0024	nɔly nsɛʁɛ twˈanu kɔm ɛklåv u ɔvʁi zin salɛR lˈɛklavadʒ di tɔt soʁt tɔ kɔm dɛ fe maʁti dɛsɛklåv di tɔ snm kel mɑ̃iʁ sɔn disfindus.
human_rights_un_wal_ezwa_64kb_0025	aʁtik sɛ̃kɛ̃m 5
human_rights_un_wal_ezwa_64kb_0026	nɔly nwˈapoʁtɛs må tʁɛti mɛtu alwˈatɔRtuR u ʁabai avu dɛ kʁywelɛ pɔn nin dɛɲ dˈinɔmɛ.
human_rights_un_wal_ezwa_64kb_0027	aʁtik sinm 6
human_rights_un_wal_ezwa_64kb_0028	ʃaskœnwˈa a sdu dˈɛs ʁikwˈanu tɔtavå pɔ su kˈil ɛs zɔʁlɔn si lwɛ tɔ kɔm sɛ dRus.
human_rights_un_wal_ezwa_64kb_0029	aʁtik sɛtɛ̃m 7
human_rights_un_wal_ezwa_64kb_0030	tyʁtɔ sɔn zɔlwˈanm pid pɔ dvɑ̃ li lwɛ ɛt tyʁtɔ ɔn dRu dˈɛs pRoteʒe dlwˈanm mɑ̃iʁ pa li lwɛ.
human_rights_un_wal_ezwa_64kb_0031	tyʁtɔ ɔn dRu a wˈan minm pRotɛksjɔn pɔ nwˈanɛ̃ ɛs mɛtu zɔlwˈakɔste dˈin mɑ̃iʁ kˈiʁu diskɔ̃t li pʁezint dɛklaʁåkl min ɔsy diskɔ̃t tɔ su kpoʁu mine a gaRɑ̃ti ɔnk ɛt nin sot u a tɔt soʁ di pRefeRɛ̃sɛ.
human_rights_un_wal_ezwa_64kb_0032	aʁtik ytɛ̃m 8
human_rights_un_wal_ezwa_64kb_0033	ʃaskœnwˈa a sdu dsˈale plind ɛt dˈɛs ɛtindu pɔ dbɔ̃ dɛlwˈaʒystis kɔ̃petint di swˈapɛjs di tɔ su kzɛRu fɛt pɔ mɛt a må lɛ mɛs dʁɛyt kli sɔn ʁikwˈanɔy dɛlwˈakɔnstitysjɔn u bin dɛ lwɛs.
human_rights_un_wal_ezwa_64kb_0034	aʁtik nuvɛ̃m 9
human_rights_un_wal_ezwa_64kb_0035	nɔly nwˈaputɛs zin Rɛzɔn tʃɔyki ɛlwˈapt tinu ɛpʁiawˈane u tʃɛsi fu di swˈapejis.
human_rights_un_wal_ezwa_64kb_0036	aʁtik diinm 10
human_rights_un_wal_ezwa_64kb_0037	ʃaskœnwˈa a sdu dˈɛs ɛtindu dˈin minm mɑ̃iR divan tɔ smɔ̃d ɛt zin totɛ fɛtɛsidɛis divan ɔ̃ tʁibynål indepɛndan ɛt dʒys ki dɛsidʁe dsɛ dʁɛyt u bin dsɛ dvweʁs tɔ kɔm li ʁwˈavin sdu di swˈanfind di su kˈɔn li ʁwˈapʁɔʃ u bin dsu kˈɔn lˈakyzɛ.
human_rights_un_wal_ezwa_64kb_0038	aʁtik ɔnzinm 1
human_rights_un_wal_ezwa_64kb_0039	tɔ ki ɛstakyze dˈin måkyl dɛytɛs tinu pɔ ɛnɔsin dsu kˈɔn li ʁwˈapʁɔʃ diskˈa tɑ̃ kˈi søi ʁikwˈanu kupåb ɛkɔ fåti ki spʁɔkɛ søi pyblik ki tɔt lɛ ʁɛg sɛiɛs ʁɛspɛktɛi ɛt kˈil åi avu sdu di swˈanfind pɔ dbɔn.
human_rights_un_wal_ezwa_64kb_0040	nɔly nwˈaputɛs kɔ̃dåne pɔ wˈan sakwɛ kˈil a fɛt u kˈi nˈa nin vɔlu fe a ɔ̃ mumin wis ki zɔʁlɔn lɛ lwɛ di swˈapɛji u dɛ mɔ̃d suʃal nˈɛsu nin kɔ wˈan fåtɛ.
human_rights_un_wal_ezwa_64kb_0041	dɛlwˈanm mɑ̃iR ɔ̃ nˈɛlwˈapoʁɛ pyni py fwɛʁ kˈi nwˈasåʁu sty å mumin wis ki lˈafɛʁ sˈa pase.
human_rights_un_wal_ezwa_64kb_0042	aʁtik dɔzinm 12
human_rights_un_wal_ezwa_64kb_0043	nuk ni poʁɛ ale ɛRe swˈanaʁɛn divin svikåʁɛi li famil dˈinot bʁɔki ɛ swˈamɔn u bin nai dvin sɛ lɛt ɛt sɛ papis ni lˈasyʁ divin ziɔnyʁ u swˈaʁepytåsjɔn.
human_rights_un_wal_ezwa_64kb_0044	ʃaskœnˈa sdu dˈɛs pRoteʒe dɛ lwɛ diskɔ̃t dɛ swˈafɛtɛ mɑ̃iʁ.
human_rights_un_wal_ezwa_64kb_0045	aʁtik tʁazinm 13
human_rights_un_wal_ezwa_64kb_0046	ʃaskœnwˈa a sdu dˈale tɔ wis kˈi vu dvin wˈanɛta ɛt dˈi tʃyzi kɔm i vu splɛs la kˈi vu dmani.
human_rights_un_wal_ezwa_64kb_0047	ʃaskœnwˈa a sdu dɛ kwite tɔ snm dɥe pɛjs minm li zɔnk ɛt dɛ ʁale ɛ swˈapɛji kwan i li plɛt.
human_rights_un_wal_ezwa_64kb_0048	aʁtik katwazinm 14
human_rights_un_wal_ezwa_64kb_0049	sˈil ɛs kwˈatʃɛsi ʃak ɔm a sdu dɛ kwɛʁi a sˈaute ɛt dɛ tʁɔve ɔ̃ RatRɛ divin dɛsot pejis.
human_rights_un_wal_ezwa_64kb_0050	ɔn nsi pu nin ʃɛʁvi di swˈadu la sˈɔnzɛs pɔRsyvu pɔ wˈan måkyl ki li lwɛ RepRyv u pɔ dɛ kɛuR ki vɔn diskɔ̃t su klɛ nåsjɔnynj vɔlɛt mɛt ɛnavant.
human_rights_un_wal_ezwa_64kb_0051	aʁtik kwinzinm 15
human_rights_un_wal_ezwa_64kb_0052	ʃaskœnwˈa a sdu a wˈan nasjɔnålite.
human_rights_un_wal_ezwa_64kb_0053	ɔn nwˈapu ʁwˈand a nolu ɛt zin Rɛzo si nasjɔnåls tɔ kɔm si dRu dˈɛnɛ kɑ̃dji.
human_rights_un_wal_ezwa_64kb_0054	aʁtik sim 16
human_rights_un_wal_ezwa_64kb_0055	si vit kˈɛnˈɔn lˈadʒɛ ɔm ɛt fœm di tɔ snm kel ʁasɛ nasjɔnålite u ʁwˈalidʒo ɔn sdu di swˈamaʁje ɛt dɛ fɔ̃de wˈan familɛ.
human_rights_un_wal_ezwa_64kb_0056	il ɔn lɛ minm dʁɛyt pɔ su kˈɛnˈɛs dɛ maRjɛdʒɛ tɑ̃ kˈi sɔn maRje u sˈi mwˈanɛt a dvoʁse.
human_rights_un_wal_ezwa_64kb_0057	li maRjɛdʒ ni swˈapu fe ki dɛlwˈaplin volwˈate ɛt dɛlwˈatʃyz dɛ si ksˈɔn pRomɛtu lɛsakwɛRdɑ̃s.
human_rights_un_wal_ezwa_64kb_0058	li famil kˈɛs svʁɛi fɔ̃dəmin dɛlsɔsjɛte li ʁwˈavin sdu dˈin pRotɛksjɔn dɛlsosjete ɛt dlˈɛtat.
human_rights_un_wal_ezwa_64kb_0059	aʁtik dizɛtɛ̃m 17
human_rights_un_wal_ezwa_64kb_0060	tɔ sʁɛ zɛyiɛti a lu tɔ zɛy u bin avu dɛsoʁ a sdu dˈavɛyʁ dɛ bins.
human_rights_un_wal_ezwa_64kb_0061	ɔn nwˈapu ʁwˈand sɛ bin a nolu zin bɔn Rɛzɔn.
human_rights_un_wal_ezwa_64kb_0062	aʁtik diaytɛ̃m 18
human_rights_un_wal_ezwa_64kb_0063	ʃaskœnwˈa a sdu dɛ tyze su kˈi vyt dˈavɛyʁ si kɔ̃siins pɔʁ lu ɛt dɛ pʁii tɔ snm ke bɔn djy sula vu diʁ ɔsy kˈi pu kɑ̃dji di ʁwˈalidʒɔn u bin kɑ̃dji dˈidɛi.
human_rights_un_wal_ezwa_64kb_0064	tɔ zɛy u bin avu dɛ kwˈapaɲʃ ɛ swˈamɔn tɔ kɔm å dfu i pu diʁ tɔ ot su kˈi kRu lˈapʁind åsɛfɑ̃s tɔ kɔm ɛnɛ feåʁɛmy u lɛ seRemonwˈaʁi.
human_rights_un_wal_ezwa_64kb_0065	aʁtik dinuvɛ̃m 19
human_rights_un_wal_ezwa_64kb_0066	ʃaskœnwˈa a sdu dsɛsɔpinjɔn ɛt slibɛRte dˈɛlɛ dne a kwˈanɔ su ki vu diʁ kˈɔn nɛlwˈapoʁɛ tɔyʁmɛte pɔ su kˈi tyz ɛt kˈi pu kwɛʁi zin ʁatwˈana lɛ ɛ̃fɔRmåsjɔ̃ kɔm lɛ idɛis ɛnɛ ʁwˈasyʁ ɛt wˈanɛ ʁipåd lådʒ ɛt lo minm fu pɛjs ɛt di tɔ snm kel mɑ̃iʁɛ.
human_rights_un_wal_ezwa_64kb_0067	aʁtik vintinm 20
human_rights_un_wal_ezwa_64kb_0068	ʃaskœnwˈa a sdu di swˈaʁayle u dsˈakɔlɛbe pɔ wˈan bɔn kåɛ.
human_rights_un_wal_ezwa_64kb_0069	nɔly nwˈaputɛs fwɛʁsi dɛ fe påʁtɛi dˈin asosjåsjɔn.
human_rights_un_wal_ezwa_64kb_0070	aʁtik vintœnɛ̃m 21
human_rights_un_wal_ezwa_64kb_0071	i ʁwˈavin a ʃaskœnwˈa li dRu dɛ pRɛ̃d si påʁ pɔ su kˈɛnˈɛs dɛ tinʁ li vjɛʁna di swˈapɛjs zɛyiɛti diʁɛktɛmɛ̃t u bin tɔ tʃyziɑ̃ libʁɛmin dɛ ʁwˈapʁyzintants.
human_rights_un_wal_ezwa_64kb_0072	2.
human_rights_un_wal_ezwa_64kb_0073	ʃaskœnwˈa a snm dRu dɛ pRɛ̃d ɔ̃ pɔs divin lˈadministʁåsjɔ̃ di swˈapejis.
human_rights_un_wal_ezwa_64kb_0074	li volwˈate dɛ pøp kˈɛs sfɔndɛmin dɛ pyvwɛʁ dˈɔn gyvɛʁnymin
human_rights_un_wal_ezwa_64kb_0075	sis volwˈatela si du dne a kwˈanɔ divin dɛsɛlɛkwˈasjɔ̃ ki suvɛt sdu dɛ dʒø kˈɔn du adʒɛʁki a tʃk avu ssyfʁadʒ ynivesel : inɔm in vwɛ ɛt å vot sɛkʁɛt u di tɔ snm kel ot mɑ̃iʁ ki ʁɛspɛsɛi li libɛRte dɛ si ki du dne swˈavwɛs.
human_rights_un_wal_ezwa_64kb_0076	aʁtik vintwˈadyzinm 2
human_rights_un_wal_ezwa_64kb_0077	ʃaskœnwˈa kɔm mamb dɛlsosjɛte a dRu alwˈasekyʁite sosjɑl
human_rights_un_wal_ezwa_64kb_0078	ɛl ɛs fɔ̃dɛi pɔ klˈɔm åi su kˈa dandʒi pɔ swˈadiɲite kɔm pɔ fʁydʒi dkwɛʁ ɛt åmɛ.
human_rights_un_wal_ezwa_64kb_0079	ʃak pɛji du fe su kˈi pu zɔʁlɔn sɛ ʁitʃɛs ɛt ziɔʁgnizåkl min swˈadyti pɔlɛyʁ kɔ̃te ɔsy sɔ ɔ̃ kop di spal dɛsotɛ nåsjɔ̃s.
human_rights_un_wal_ezwa_64kb_0080	aʁtik vintwˈaʁyzinm 23
human_rights_un_wal_ezwa_64kb_0081	ʃaskœnwˈa a sdu dˈɔvʁe dɛ tʃyzi smti kli plɛt dɛlwˈafe divin dɛ bɔnɛ kɔndisjɔn ɛt dˈɛs asyʁe diskɔ̃t li ʃomɛdʒɛ.
human_rights_un_wal_ezwa_64kb_0082	2.
human_rights_un_wal_ezwa_64kb_0083	tyʁtɔ ɔ̃ dRu zin nɔl difeRja a ɔ̃ minm zalɛʁ pɔ ɔ̃ minm ɔvʁɛdʒɛ.
human_rights_un_wal_ezwa_64kb_0084	tɔ lɛ si kˈɔvʁɛt ɔ̃ sdu dˈɛs pɛji dtɛl soʁ kˈil åiɛs ase pɔ vike ɛt pɔ fe vike lɛy familɛ zin kwɛ ɛlzi ʁwˈavɛ̃ʁ dɛ tuʃedˈin mɑ̃iʁ u dˈin ot in sakwɛ dpywˈa ki su kgɲɛt.
human_rights_un_wal_ezwa_64kb_0085	ʃaskœnwˈa a sdu dˈɛmɑ̃tʃi avu dɛsɔt dɛ sindikat ɛt dfe påʁtɛi dˈɔn sindika pɔ disfind sɛsintɛʁɛts.
human_rights_un_wal_ezwa_64kb_0086	aʁtik vintwˈakwatʁinm 24
human_rights_un_wal_ezwa_64kb_0087	ʃaskœnwˈa a sdu di swˈaʁipwɛze ɛt dɛ pRɛ̃d dɛ bɔn tins.
human_rights_un_wal_ezwa_64kb_0088	insi nwˈadytɔn nin lˈɔblidʒi dˈɔvRe a fwɛs zin ʁwˈala ɛt fu mɛzyʁ ɛt li ʁwˈavɛ̃ti dɛ kɔ̃dʒis pɛji å bu dˈɔn tins.
human_rights_un_wal_ezwa_64kb_0089	aʁtik vintwˈasɛ̃kɛ̃m 25
human_rights_un_wal_ezwa_64kb_0090	ʃaskœnwˈa a sdu dɛ gɲi ase pɔ swˈapɔlɛyʁ sɔɲi ɛtavɛyʁ bo pɔʁ lyminm ɛt swˈafamilɛ insi pɔ su kˈɛnˈɛs dɛ maɲi di swˈamusi di swˈalɔdʒi dɛ pɛji sdɔktœR ɛt lˈapɔtikåʁ u bin lɛ ʃɛʁvis kˈɛnˈa dandʒi.
human_rights_un_wal_ezwa_64kb_0091	ʃaskœnwˈa a sdu alwˈasekyʁite sˈil ɛs sinsɔvʁɛdʒɛ malåd ɛ̃valid vɛf kwan i dvin vi u kwan i nˈa py nɔl Rɛ̃tRɛi di sanswˈa la ksi nˈɛs nin di swˈafåtɛ.
human_rights_un_wal_ezwa_64kb_0092	l mam ɛt lɛsɛfɑ̃ ɔn poʁ li dRu dˈɛs ɛdis.
human_rights_un_wal_ezwa_64kb_0093	tɔ lɛsɛfɑ̃s kˈi sɛiɛs vinu å mɔnd di dʒin maRje u fu dɛ sakRɔmin divɛtɛs pRoteʒe dɛlwˈanm mɑ̃iʁɛ.
human_rights_un_wal_ezwa_64kb_0094	aʁtikl vintsiinm 26
human_rights_un_wal_ezwa_64kb_0095	ʃaskœnwˈa a sdu dˈale ɛ skɔlɛ.
human_rights_un_wal_ezwa_64kb_0096	li skɔl ni du Rɛ̃ kɔste dɛ mɔn pɔ su kˈɛnˈɛs dɛ pwˈatitɛ skɔl la ktɔ smɔ̃d dɛytɛs oblidʒi dˈale.
human_rights_un_wal_ezwa_64kb_0097	ɔn du tʁɔve tɔtavå dɛ skɔl tɛknik ɛt pʁɔfɛsjɔ̃el
human_rights_un_wal_ezwa_64kb_0098	tɔ smɔ̃d zɔlwˈanm pid dɛy pɔlɛyʁ fe dɛ otetyd zɔʁlɔn sɛ meʁit ɛt sɛ kålˈe.
human_rights_un_wal_ezwa_64kb_0099	lˈedykåsjɔ̃ du pɛʁmɛt a ʃaskœnwˈa dɛ fe fʁydʒi sɛ kapåsite ɛt du ʁind py fwɛʁ li ʁɛspɛt dɛ dʁɛyt dlˈɔm ɛt dɛ pʁymiʁɛ libetes.
human_rights_un_wal_ezwa_64kb_0100	ɛl du amine l dʒin di tɔ snm kɛl Ras u ʁwˈalidʒo lɛ pøp ɛt lɛ nåiʃ a swˈami kɔ̃pRind ɛt ssypwɛʁe tɔ fan ot avu lɛ nåsjɔnsynj pɔ su kˈɛs dɛ gaRɑ̃ti spɑiɛ.
human_rights_un_wal_ezwa_64kb_0101	kˈɛstå pʁymi ʁaŋ å paʁint kˈi ʁwˈavin dɛ tʃyzi smɛjøz sikɔl pɔ løsɛfants.
human_rights_un_wal_ezwa_64kb_0102	aʁtik vintsɛtɛ̃m 27
human_rights_un_wal_ezwa_64kb_0103	ʃaskœnwˈa a sdu dɛ pRɛ̃d libʁɛmin påʁ a su ki fɛt svɛi kultuRel dɛlwˈakɔmynot dɛ pʁɔfite dɛsåʁt ɛt dɛ pRɛ̃d påʁ å pʁɔgɛ dɛlsiins ɛt tɔ su kaɛt dbɔn.
human_rights_un_wal_ezwa_64kb_0104	ʃaskœnwˈa a sdu dɛ vɛyi gaRɑ̃ti sɛsinteʁɛt pɔ dɛsuv di sia di skʁiɛdʒ u dåʁtis kˈɛnɛ lˈotœʁ.
human_rights_un_wal_ezwa_64kb_0105	aʁtik vintwˈaytɛ̃m 28
human_rights_un_wal_ezwa_64kb_0106	kˈɛstɔn dRu pɔ ʃaskœnwˈa ki smɔ̃d ʁɔt di tɛl mɑ̃iʁ ki pɔ wˈan klas u sot dɛlwˈasɔsjete kɔm dˈɔn pɛji a sot lɛ dʁɛyt ɛt lɛ libete ki swˈaʁvɛt ʃal Raʃu si pɔlɛs mɛt ɛnalɛdʒɛ.
human_rights_un_wal_ezwa_64kb_0107	aʁtik vintwˈanuvɛ̃m 29
human_rights_un_wal_ezwa_64kb_0108	lˈɔm a dɛ dvwɛʁ pɔ skɔmynote wis kˈi pu dɛɲwˈamin kʁɛɛ ɛt vike.
human_rights_un_wal_ezwa_64kb_0109	pɔ su kˈɛnˈɛs dsɛ dʁɛyt ɛt dsɛ libetes ʃaskœnwˈa divʁɛt dmoRe dvin lɛsaʁoi ki li lwɛ a mɛtu dʒys pɔ gaRɑ̃ti li ʁikwˈanɔans ɛt sʁɛspɛt dɛ libete dɛsoʁ dɛlwˈamɔʁål dɛlwˈatʁankilite ɛt dɛlbɛ̃åiste dtyʁtɔ divin wˈan sosjete ddɛmɔkʁåtɛs.
human_rights_un_wal_ezwa_64kb_0110	kɛ dʁɛyt ɛt kɛ libetesla ni spoRɔ̃ mɑi mɛt kɔm dɛ am ɛlwˈavoi di su kvlɛt fe lɛ nåsjɔnsynj.
human_rights_un_wal_ezwa_64kb_0111	aʁtik tʁintinm 30
human_rights_un_wal_ezwa_64kb_0112	ʁin di tɔ su kiswˈaʁyv divin sis dɛklaʁåsjɔnʃal ni pu dne a tyze dˈinɛta u dˈin zaki kˈil a sdu dɛ fe tɔ snm kwɛ ki poʁu mɛt a må lɛ dʁɛyt ɛt lɛ libetɛ ki sɔn Raʃus.
