human_rights_un_oc_am_64kb_0001	dɛklaʁasjun ynivesalɔ di dʁ d lˈɔm
human_rights_un_oc_am_64kb_0025	akeli je dɛvɔn lˈɛfikasi ɛ la dɛvɔn dɛfɛndʁɛkɔntʁɔ li at k vjolɔ̃ li dʁ fundamɛnto Rəkynɛgy pɛʁ la lɛi ɛ lakustitysjun.
human_rights_un_oc_am_64kb_0026	aʁtikl 9
human_rights_un_oc_am_64kb_0027	dɛgn saʁa aʁta ɛmbaʁa vɔ ɛzila pɛʁaʁbitʁaʁj.
human_rights_un_oc_am_64kb_0028	aʁtikl 10
human_rights_un_oc_am_64kb_0029	tóyti li pesunɔ an lu mɛm dʁ d plɛdɛʒapyblikamɛn sa dɛfɛnsɔ davan yn tʁibyno k li ɛskutaʁa ɑ̃ˈyn peidˈindɛpɛndɛnsi ɛ d ʒustiswa k s pRynynsjaʁa pjɛi sjɛg tukan si dʁ ɛsi óybligsjun sjɛg tukan la fundamɛntɔ d tutɔ akyzasjun kɔntʁɔ ɛlœn matɛʁj pɛnalɔ.
human_rights_un_oc_am_64kb_0030	aʁtikl 1
human_rights_un_oc_am_64kb_0031	tutɔ pesunɔ akyzadɔ dˈyn at fotibl e ʁɛgʁdadɔ kym inukɛntɔ ʒyskɔ k fug lɛglamɛn tablidɔ sa kypablɛta pɛʁ yn pRysɛ publij.
human_rights_un_oc_am_64kb_0032	din akey pRysɛs tóyti li gʁantidɔ nɛsitɔ a sa dɛfɛnsɔ je zaʁan tadɔ puʁgdɔ.
human_rights_un_oc_am_64kb_0033	ʁ saʁa kundana pɛʁ dˈat ɔ dóybli kˈɛʁɔn pa kunsidea fotibl zɛgyn lu dʁ nasjuno ɔ intenasjuno kuʁɔ fygɛRɔ̃ fa.
human_rights_un_oc_am_64kb_0034	me kˈaò s pòy pa kundana li gn ɛn d pɛnɔ me fɔʁtɔ dˈakeli k s pydjɛ̃ aplika kuʁɔ lˈat fotibl fygɛ kymes.
human_rights_un_oc_am_64kb_0035	aʁtikl 12
human_rights_un_oc_am_64kb_0036	zɛ pòy pa sɛnsɔ ʁun valablɔ buta lu nasdin la vidɔ pʁivadɔ la famiɔ lˈusto ɔ lu kuʁje di gnt.
human_rights_un_oc_am_64kb_0037	zɛ pòy nimeataka zun unuʁ ɛ sa ʁɛpytasjun.
human_rights_un_oc_am_64kb_0038	tutɔ pesunɔ a lu dʁ dɛstʁ apaʁadɔpɛʁ la lɛi kɔntʁɔ akeli malafaʃɔ.
human_rights_un_oc_am_64kb_0039	aʁtikl 13
human_rights_un_oc_am_64kb_0040	kadyn a lu dʁ dˈana dˈɔœ̃t vòy d planta kaviɔ dˈɔœ̃t vòy dɛdin li ʁaʁɔ dˈyn tat.
human_rights_un_oc_am_64kb_0041	kadyn a lu dʁ d kita yn pai ɛ lu sjey tambɛn.
human_rights_un_oc_am_64kb_0042	kadyn a lu dʁ d sˈɛntuʁna o pai sjey.
human_rights_un_oc_am_64kb_0043	aʁtikl 14
human_rights_un_oc_am_64kb_0044	kuʁɔ sɛkytadɔ tutɔ pesunɔ a lu dʁ d seka yn ʁɛkat din daytʁi pai ɛ d lu pRyf..
human_rights_un_oc_am_64kb_0045	pòy pa sˈapɛla dˈakt dʁ ynɔ pesunɔ pesɛgidɔ dɛbɔn pɛʁ yn kRim d dʁ kymyn ɔ dˈat kuntʁaʁi i pʁinsip ɛme i tɔkɔ di nasjun ynidɔ.
human_rights_un_oc_am_64kb_0046	aʁtikl 15
human_rights_un_oc_am_64kb_0047	kadyn a dʁ a ynɔ nasjuat.
human_rights_un_oc_am_64kb_0048	zɛ pòy lɛva ɛn ʁ pɛʁ aRbitRaʁi sa nasjunalita ɔ lu dʁ d la ʃanʒa.
human_rights_un_oc_am_64kb_0049	aʁtikl 16
human_rights_un_oc_am_64kb_0050	lˈɔm ɛ la fɛmɔ sˈyn kɔ zun maʁidadu an lu dʁ d s maʁida ɛ d funda ynɔ famiɔ sɛnsɔ g dˈɛmpaʃ pɛʁ ɑ̃kosɔ d Rasɔ d nasjunalita ɔ d ʁɛligun.
human_rights_un_oc_am_64kb_0051	li dʁ di ɔm ɛ di fɛmɔ zun paʁje ʁapɔʁ o maʁid. k sjɛg dóy tɛm k zun maʁida ɔ kuʁɔ s divɔRsɔn.
human_rights_un_oc_am_64kb_0052	lu maʁidaʒ s pòy feʁ zulamɛn s li nòvi s volɔ̃ dɛbɔn.
human_rights_un_oc_am_64kb_0053	la famiɔ e la fundamɛntɔ natyʁalɔ d la sysjɛta.
human_rights_un_oc_am_64kb_0054	a dʁ dɛstʁ apaʁadɔ pɛʁ la sysjɛta ɛ llat.
human_rights_un_oc_am_64kb_0055	aʁtikl 17
human_rights_un_oc_am_64kb_0056	tutɔ pesunɔ zulɛtɔ ɔ kytRìɔ wˈame daytʁi gnt a dʁ a la pRypʁjɛta.
human_rights_un_oc_am_64kb_0057	dɛgn saʁa despusɛdi d zun bɛn pɛʁ aRbitRaʁj.
human_rights_un_oc_am_64kb_0058	aʁtikl 18
human_rights_un_oc_am_64kb_0059	tutɔ pesunɔ e libʁɔ d sa pɛnsado d sakunsjɛnsi ɛ d sa ʁɛligun.
human_rights_un_oc_am_64kb_0060	ɛn akey dʁ je ko la libeta d kambja deɛligun ɔ d kʁɛʁ ɛ tambɛn d manifɛsta sa ʁɛligun ɔ si kʁɛʁ zulɛ ɔwˈame daytʁi gnt din la vidɔ publiko ɔ pʁivadɔ pɛʁ lˈɛnsiɲamɑ̃ li uz.lu kult ɛme lˈakumplisamɛn di ʁitɛ.
human_rights_un_oc_am_64kb_0061	aʁtikl 19
human_rights_un_oc_am_64kb_0062	tu pesunɔ a dʁ a la libeta dóypinjun dpʁsjun.
human_rights_un_oc_am_64kb_0063	ɛn akey dʁ je ko d ʁɛn s kapita kaʁkaɲa pɛʁ ɑ̃kosɔ dɛsɔ k pɑ̃ss ɛ tambɛn d seka Rəsopʁ ɛ pandi li ɛnfuʁmasjun ɛ lizidɛjɔ kym k sjɛg lu mɛʒan dpʁsjun sɛnsɔ ɑ̃paʃ a Rɛspɛt difʁuntjeɔ.
human_rights_un_oc_am_64kb_0064	aʁtikl 20
human_rights_un_oc_am_64kb_0065	tóyti li gn an lu dʁ d sˈakampa ɛ d sˈasusja din yn pei d pas.
human_rights_un_oc_am_64kb_0066	dɛgn pòy ɛstʁ óybliʒa d feʁ paʁtidɔ dˈyn gupamɛn.
human_rights_un_oc_am_64kb_0067	aʁtikl 21
human_rights_un_oc_am_64kb_0068	tutɔ pesunɔ a lu dʁ d paʁtɛsipa o gyvɛRnamɛn d zun pais sjɛg diʁɛtamɛn sjɛg dɛpɛʁ d ʁɛpʁɛntan ʃozi libʁamɛn.
human_rights_un_oc_am_64kb_0069	tutɔ pesunɔ a lu dʁ dóytɛni d funsjun publiko d zun pai din d kundisjun dˈɛglita.
human_rights_un_oc_am_64kb_0070	la vulunta dóy pɔpl e la fundamɛntɔ d lˈotuʁita di pyde publij.
human_rights_un_oc_am_64kb_0071	akɛsto vulunta s dɛy ɛspRəmi dɛpɛʁ dˈɛlɛsjun unɛstɔ k zaʁan tignsadɔ a kadɛnsɔ ʁɛgadɔ o zyfʁaʒ univɛRso ɛme bylɛtin zɛkʁɛt ɔ dˈyn bjɛ ɛkivalɛn k pɔsk asɛgʁa la libeta dóy vɔtɛ.
human_rights_un_oc_am_64kb_0072	aʁtikl 2
human_rights_un_oc_am_64kb_0073	tutɔ pesunɔ ɛn fazɛn paʁtidɔ d lasusjɛta a dʁ dˈynɔ pRytɛsjun sysjalɔ ɛ d kumpli si dʁ ɛkunumisusjo ɛ kyltyʁo
human_rights_un_oc_am_64kb_0074	ɛ akò bɔnadi li pefɔʁ nasjuno ɛ lˈɛntʁɛaʒydɔintenasjunalɔ zɛgyn lˈuʁgnizasjun ɛ li mɛʒan d ʃask pais k ladiɲɛta ɛ lu dvulupa libʁ d la pesunalita pɔdɔn pa feʁ sɛnsɔ.
human_rights_un_oc_am_64kb_0075	aʁtikl 23
human_rights_un_oc_am_64kb_0076	kadyn a lu dʁ d tRavaja d ʃozi libʁ zun mtje din d kundisjun ɛkitablɔ dˈɔbʁɔ ɛ d pRytɛsjun kɔntʁɔ lu ʃomag.
human_rights_un_oc_am_64kb_0077	tóyti an dʁ ɛn ynɔ mɛmɔ pagɔ pɛʁ ynɔ mɛmɔ ɔbʁɔ sɛnsɔ g d dtʁjamɛn.
human_rights_un_oc_am_64kb_0078	yn k tʁaveɔ a dʁ ɛn ynɔ pagɔ ʒystɔ ɛ kunvɛnɛntɔ k saʁa kumplɛtadɔ s je fe bun pɛʁ tóyti li aytʁi mɛʒan d pRytɛsjun sysjalɔ.
human_rights_un_oc_am_64kb_0079	din ty akò dɛy pyske vjeyʁ dɛsɛgʁ diɲamɛn ɛme sa famiɔ.
human_rights_un_oc_am_64kb_0080	tutɔ pesunɔ a lu dʁ d funda ɛme dˈotʁɔ d sɛndika ɛ dɛstʁ sòsi dˈyn sɛndika pɛʁ dɛfɛndʁ si ɛ̃tɛRɛs.
human_rights_un_oc_am_64kb_0081	aʁtikl 24
human_rights_un_oc_am_64kb_0082	kadyn a dʁ d s poza ɛ d spˈasa.
human_rights_un_oc_am_64kb_0083	a dʁɛa ynɔ tankɔ ʁunablɔ d la ʒuʁnadɔ d tʁave a d kuŋɛ ʁɛglje ɛ pag.
human_rights_un_oc_am_64kb_0084	aʁtikl 25
human_rights_un_oc_am_64kb_0085	tóyti an dʁ a yn nivɛy d vidɔ k iˈasɛgʁ la zanta ɛ lu bɛnɛstʁ ɛme a sa famiɔ me k me pɛʁ lu manʒa lu vɛsti lˈusto li sjɥɛn d zanta ɛ pɛʁ tóyti li sevis sysjo nɛsitɛ.
human_rights_un_oc_am_64kb_0086	pɛʁ kazɛnsɔ k yn pɔsk pa me s gaɲa sa vidɔ sɛnsɔ lˈave vug pɛʁ ɛzɛmpl s vɛn vjɛi malot ɛndɛka ɔ ʃomɛR a dʁ a la sɛgʁɛta.
human_rights_un_oc_am_64kb_0087	li fɛmɔ ɑ̃baRasadɔ li meʁ ɛ li piʃɔ an dʁ a ynɔ aʒydɔ paʁtikyljeɔ.
human_rights_un_oc_am_64kb_0088	sjɛgn pa si gn maʁida ɛ lu fygɛsɔn pa kuʁɔ lu nistun e nasky tóyti li piʃɔ pRyfiʃɔn pamɛn la mɛmɔ pRytɛsjun sysjalɔ.
human_rights_un_oc_am_64kb_0089	aʁtikl 26
human_rights_un_oc_am_64kb_0090	tutɔ pesunɔ a lu dʁ dɛstʁ ɛdykadɔ.
human_rights_un_oc_am_64kb_0091	lˈɛdykasjun dɛy ɛstʁ agatis lu ply po pɛʁ sɔ k pʁɛtɔkɔ lˈɛnsiɲamɛn ɛlɛmɛntaʁi ɛ fundamɛnto.
human_rights_un_oc_am_64kb_0092	lˈɛnsiɲamɛn ɛlɛmɛntaʁi e óybligtòʁj.
human_rights_un_oc_am_64kb_0093	lˈɛnsiɲamɛn di tɛnikɔ ɛ di mtje dɛy ɛstʁ dˈatɛnʃɔ pɛʁ tóyti.
human_rights_un_oc_am_64kb_0094	li tùdi zypejuʁ dɛvɔn ɛstʁ dybe a tóyti paʁje a Rɛspɛt d si meitɛ.
human_rights_un_oc_am_64kb_0095	la tɔkɔ d lˈɛdykasjun e k la pesunalita di gn sˈɛsplajg ɛ k lu Rɛspɛt dɛgy i dʁ d lˈɔm ɛ i libeta fundamɛntalɔ sˈafuʁtigɛ.
human_rights_un_oc_am_64kb_0096	dɛy favuʁiza la kumpRønɛnsɔ la tuleansɔ ɛ lˈamista ɑ̃tR tóyti li nasjun li gRyp ɛtni vɔ ʁɛligus ɛme lu kʁɛi di lɛta di nasjunynidɔ.
human_rights_un_oc_am_64kb_0097	pɛʁ mantɛni la pas.
human_rights_un_oc_am_64kb_0098	lu peʁ ɛme la meʁ an lu dʁ d ʃozi bɛy pRymje lu bjɛ dˈɛdykasjun k volɔ̃ pɛʁ si piʃɔt.
human_rights_un_oc_am_64kb_0099	aʁtikl 27
human_rights_un_oc_am_64kb_0100	tutɔ pesunɔ a lu dʁ d paʁtɛsipa libʁamɛn a la vidɔ kyltyʁalɔ d la kymynota o pRygɛ sjɛntifi ɛ i bɛnfa kˈadyzɔn.
human_rights_un_oc_am_64kb_0101	tu lu mund a lu dʁ d pRyfiʃa lu pli kuŋʁɛa pɛʁ li aʁt.
human_rights_un_oc_am_64kb_0102	lˈotuʁ dˈynɔ ɔbʁɔ sjɛntifikɔ liteaʁi ɔ aʁtistikɔ a dʁ a lˈapaʁamɛn d si ɛ̃tɛRɛ muʁo ɛ finɑ̃sje.
human_rights_un_oc_am_64kb_0103	aʁtikl 28
human_rights_un_oc_am_64kb_0104	tutɔ pesunɔ a lu dʁ d vjeyʁ din ynmitan sysjo ɛ intenasjuno pRyn yRdynɛ k li dʁ ɛsplika din aktɔdɛklaʁasjun dˈaki s je pɔskɔn aplika ɛn plɛn.
human_rights_un_oc_am_64kb_0105	aʁtikl 29
human_rights_un_oc_am_64kb_0106	tutɔ pesunɔ a d dəve a Rɛspɛt d la kymynota kˈɛs ɛn zun dintʁ zulɛ k lu dvulupamɛn libʁ ɛ kumplɛ d sa pesunalita is pusiblɛ.
human_rights_un_oc_am_64kb_0107	zɛ pòy ʁtanka li dʁ ɛ li libeta d ʃaskyn zulamɛn dóy bjɛ k la lɛi lˈa vygy pɛʁ fin dˈasɛgʁa la Rəkynɛsɛnsɔ di otR lu Rɛspɛt d si dʁ ɛ libeta
human_rights_un_oc_am_64kb_0108	ɛ tambɛn pɛʁ fin d Rɛspɛta li ɛzignsi ʒystɔ d la muʁalɔ d la tʁankilɛta di gnt ɛ dóy bɛnɛstʁ gneo din ynɔ sysjɛta dɛmukʁatikɔ.
human_rights_un_oc_am_64kb_0109	akesti dʁ ɛ libeta pydRɑ̃ ʒame ɛ d g d bjɛ ɛstʁ ɑ̃plɛga pɛʁ feʁ d kozɔ kuntʁaʁi i pʁinsip di nasjunynidɔ.
human_rights_un_oc_am_64kb_0110	aʁtikl 30
human_rights_un_oc_am_64kb_0111	ʁɛs ni ta ni gupamɛn nime ynɔpesunɔ pydRa asaʒa d tiRa dˈaktɔ dɛklaʁasjun lu dʁ d feʁɛkokaRɛn pɛʁ ɛskRaʃa li dʁ ɛ li libeta k je zun pk.
