human_rights_un_hin_brc_64kb_0001	maːn̪av ad̪ʱikaːron̪ kiː saːrvabʱɔːm gʱoʂɳa:
human_rights_un_hin_brc_64kb_0012	saːmaːn̪ja sbʱaː
human_rights_un_hin_brc_64kb_0013	gʱoʂit̪ kart̪iː hæe̯ ki
human_rights_un_hin_brc_64kb_0014	maːn̪av ad̪ʱikaːron̪ kiː jh saːrvabʱɔːm gʱoʂɳa: sbʱiː d̪eɕon̪ ɔr sbʱiː logon̪ kiː samaːn̪ saflat̪aː hæe̯ iskaː ud̪d̪eɕj jh hæe̯ ki prat̪jeak vjkt̪i ɔr samaːdʒ kaː prat̪jeak bʱaːg is gʱoʂɳa: ko lagaːt̪aːr d̪riʂʈi men̪ rakʰt̪e hue ad̪ʱjaːpan̪ ɔr ɕikɕaː ke d̪vaːraː jh prjt̪an̪ karegaː ki in̪ ad̪ʱikaːron̪ ɔr aːaːd̪iːjon̪ ke prat̪i samamaːn̪ kiː bʱaːvan̪aː dʒaːgrat̪ ho ɔr ut̪t̪rot̪t̪ar æe̯se raːʂʈriːj t̪t̪ʰaː aan̪t̪arraːʂʈriːj upaa:j kije dʒaːen̪ dʒin̪se sad̪sja d̪eɕon̪ kiː dʒan̪t̪aː t̪t̪ʰaː un̪ake d̪vaːraː ad̪ʱikrit̪ prad̪eɕon̪ kiː dʒan̪t̪aː in̪ ad̪ʱikaːron̪ kiː saːrvabʱɔːm ɔr prbʱaːvot̪paːd̪ak svaiːkrit̪i d̪e ɔr un̪kaː paːlan̪ karaːve
human_rights_un_hin_brc_64kb_0015	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0016	sbʱiː man̪uʂjoːn̪ ko gaɔrv ɔr ad̪ʱikaːron̪ ke maːmle men̪ dʒan̪mdʒaːt̪ svat̪n̪t̪rat̪aː ɔr samaːn̪t̪aː praːpt̪ hæe̯ un̪ʰen̪ bud̪d̪ʱi ɔr aan̪t̪raːt̪maː kiː d̪en̪ praːpt̪ hæe̯ ɔr paraspar un̪ʰen̪ bʱaːitʃaːre ke bʱaːv se bart̪aːv karan̪aː tʃaːhie
human_rights_un_hin_brc_64kb_0017	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0018	sbʱiː ko is gʱoʂɳa: men̪ sn̪n̪ihit̪ sbʱiː ad̪ʱikaːron̪ ɔr aːaːd̪iːjon̪ ko praːpt̪ karan̪e kaː h hæe̯ ɔr is maːmle men̪ dʒaːt̪i varɳ liŋg bʱaːʂaː d̪ʱaram raːdʒan̪iːt̪i jaː an̪ja vitʃaːrapraɳaːliː kisiː d̪eɕ jaː samaːdʒ viɕeʂ men̪ dʒan̪m sampt̪t̪i jaː kisiː prkaːr kiː an̪ja marjaːd̪aː aːd̪i ke kaːraɳ bʱed̪bʱaːv kaː vitʃaːr n̪ kijaː dʒaːegaː
human_rights_un_hin_brc_64kb_0019	isake at̪irikt̪ tʃaːhe koiː d̪eɕ jaː prad̪eɕ svat̪n̪t̪ra ho samrkɕit̪ ho jaː st̪rɕːsan̪ rahit̪ ho jaː paraimit̪ prbʱust̪t̪aː vaːlaː ho us d̪eɕ jaː prad̪eɕ kiː raːdʒan̪ɛt̪ik kɕet̪riːj jaː aan̪t̪arraːʂʈriːj st̪ʰit̪i ke aːd̪ʱaːr par vhaːn̪ ke n̪ivaːsiːjon̪ ke prat̪i koiː pʰɽar n̪ rakʰaː dʒaːegaː
human_rights_un_hin_brc_64kb_0020	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0021	prat̪jeak vjkt̪i ko dʒiːvan̪ svaːd̪ʱiːn̪t̪aː ɔr vaijkt̪ik surkɕaː kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0022	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0023	koiː bʱiː gulaːmiː jaː d̪aːst̪aː kiː haːlat̪ men̪ n̪ rakʰaː dʒaːegaː gulaːmiːprat̪ʰaː ɔr gulaːmon̪ kaː vjaːpaːr apan̪e sbʱiː ruːpon̪ men̪ n̪iʂid̪d̪ʱ hogaː
human_rights_un_hin_brc_64kb_0024	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0025	kisiː ko bʱiː ɕaːriːrik jaːt̪an̪aː n̪ d̪iː dʒaːegiː ɔr n̪ kisiː ke bʱiː prat̪i n̪ird̪aj amaːan̪uʂik jaː apamaːn̪dʒn̪ak vjvhaːr hogaː
human_rights_un_hin_brc_64kb_0026	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0027	har kisiː ko har dʒagh aːn̪uːn̪ kiː n̪igaːh men̪ vjkt̪i ke ruːp men̪ svaiːkrit̪ipraːpt̪i kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0028	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0029	aːn̪uːn̪ kiː n̪igaːh men̪ sbʱiː samaːn̪ hɛːn̪ ɔr sbʱiː bin̪aː bʱed̪bʱaːv ke samaːn̪ aːn̪uːn̪iː surkɕaː ke ad̪ʱikaːriː hɛːn̪ jd̪i is gʱoʂɳa: kaː at̪ikramaɳ karake koiː bʱiː bʱed̪bʱaːv kijaː dʒaːjaː us prkaːr ke bʱed̪bʱaːv ko kisiː prkaːr se ukasaːjaː dʒaːjaː t̪o usake virud̪d̪ʱ samaːn̪ samrkɕɳ kaː ad̪ʱikaːr sbʱiː ko praːpt̪ hæe̯
human_rights_un_hin_brc_64kb_0030	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0031	sbʱiː ko samvid̪ʱaːn̪ jaː aːn̪uːn̪ d̪vaːraː praːpt̪ bun̪ijaːd̪iː ad̪ʱikaːron̪ kaː at̪ikramaɳ karan̪e vaːle kaːrajoːn̪ ke virud̪d̪ʱ samutʃit̪ raːʂʈriːj ad̪aːlat̪on̪ kiː kaːragar sahaːjt̪aː paːn̪e kaː h hæe̯
human_rights_un_hin_brc_64kb_0032	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0033	kisiː ko bʱiː man̪maːn̪e ɖʱŋg se girt̪aːr n̪arbn̪d̪ jaː d̪eɕan̪iʂkaːsit̪ n̪ kijaː dʒaːegaː
human_rights_un_hin_brc_64kb_0034	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0035	sbʱiː ko puːrɳt̪ɦ samaːn̪ ruːp se h hæe̯ ki un̪ake ad̪ʱikaːron̪ ɔr karat̪vjoːn̪ ke n̪iɕtʃja karan̪e ke maːmle men̪ ɔr uan̪ par aːropit̪ pʰɔːd̪aːriː ke kisiː maːmle men̪ un̪akiː sun̪avaːiː n̪ja:jotʃit̪ ɔr saːravadʒn̪ik ruːp se n̪irpekɕ evan̪ n̪iʂpakɕ ad̪aːlat̪ d̪vaːraː ho
human_rights_un_hin_brc_64kb_0036	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0037	prat̪jeak vjkt̪i dʒis par d̪ɳaɖn̪iːj aparaːd̪ʱ kaː aːrop kijaː gajaː ho t̪ab t̪ak n̪irparaːd̪ʱ maːn̪aː dʒaːegaː dʒb t̪ak use æe̯siː kʰuliː ad̪aːlat̪ men̪ dʒahaːn̪ use apan̪iː saːiː kiː sbʱiː aːvaɕjak suvid̪ʱaːen̪ praːpt̪ hon̪ kaːn̪uːn̪ ke an̪usaːr aparaːd̪ʱiː n̪ sid̪d̪ʱ kar d̪ijaː dʒaːjaː
human_rights_un_hin_brc_64kb_0038	koiː bʱiː vjkt̪i kisiː bʱiː æe̯se karit̪ jaː akrit̪ aparaːd̪ʱ ke kaːraɳ us d̪ɳaɖn̪iːj aparaːd̪ʱ kaː aparaːd̪ʱiː n̪ maːn̪aː dʒaːegaː dʒise t̪t̪kaːliːn̪ prtʃalit̪ raːʂʈriːj jaː aan̪t̪arraːʂʈriːj aːn̪uːn̪ ke an̪usaːr d̪ɳaɖn̪iːj aparaːd̪ʱ n̪ maːn̪aː dʒaːe ɔr n̪ usse ad̪ʱik bʱaːriː d̪ɳaɖ d̪ijaː dʒaː sakegaː dʒo us samaj d̪ijaː dʒaːt̪aː dʒis samaj vh d̪ɳaɖn̪iːj aparaːd̪ʱ kijaː gajaː t̪ʰaː
human_rights_un_hin_brc_64kb_0039	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0040	kisiː vjkt̪i kiː ekaaːan̪t̪t̪aː paraivaːr gʱar jaː pat̪ravjvhaːr ke prat̪i koiː man̪maːn̪aː hst̪kɕep n̪ kijaː dʒaːegaː n̪ kisiː ke samamaːn̪ ɔr kʰjaːt̪i par koiː aːkɕep ho sakegaː æe̯se hst̪kɕep jaː aːd̪ʱepon̪ ke virud̪d̪ʱ prat̪jeak ko aːn̪uːn̪iː rakɕaː kaː ad̪ʱikaːr praːpt̪ hæe̯
human_rights_un_hin_brc_64kb_0041	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0042	prat̪jeak vjkt̪i ko prat̪jeak d̪eɕ kiː siːpaːon̪ ke an̪d̪ar svat̪n̪t̪rat̪aːpuravaak aːn̪e dʒaːn̪e ɔr basn̪e kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0043	prat̪jeak vjkt̪i ko apan̪e jaː paraːje kisiː bʱiː d̪eɕ ko tʃʰoɽan̪o ɔr apan̪e d̪eɕ ko vaːps aːn̪o kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0044	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0045	prat̪jeak vjkt̪i ko st̪aːje dʒaːn̪e par d̪uːsare d̪eɕon̪ men̪ ɕarɳ len̪e ɔr rahn̪e kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0046	is ad̪ʱikaːr kaː laːbʱ æe̯se maːmalon̪ men̪ n̪ahiːn̪ milegaː dʒo vaːst̪v men̪ gaɛraaraːdʒan̪iːt̪ik aparaːd̪ʱon̪ se smbn̪d̪ʱit̪ hɛːn̪ jaː dʒo samjukt̪ raːʂʈron̪ ke ud̪d̪eɕjoːn̪ ɔr sid̪d̪ʱaːan̪t̪on̪ ke virud̪d̪ʱ kaːrja hɛːn̪
human_rights_un_hin_brc_64kb_0047	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0048	prat̪jeak vjkt̪i ko kisiː bʱiː raːʂʈraviɕeʂ ko n̪aːgarikt̪aː kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0049	kisiː ko bʱiː man̪maːn̪e ɖʱŋg se apan̪e raːʂʈr kiː n̪aːgarikt̪aː se van̪tʃit̪ n̪ kijaː dʒaːegaː jaː n̪aːgarikt̪aː kaː jarivart̪an̪ karan̪e se man̪aː n̪ kijaː dʒaːegaː
human_rights_un_hin_brc_64kb_0050	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0051	baːlig st̪riːpuruʂon̪ ko bin̪aː kisiː dʒaːt̪i raːʂʈriːjt̪aː jaː d̪ʱaram kiː rukaːvʈon̪ ke aːps men̪ vivaːh karan̪e ɔr paraivaːr ko st̪ʰaːpan̪ karan̪e kaː ad̪ʱikaːr hæe̯ un̪ʰen̪ vivaːh ke viʂja men̪ vɛvaːhik dʒiːvan̪ men̪ t̪t̪ʰaː vivaːh viatʃtʃʰeɖ ke baːre men̪ samaːn̪ ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0052	vivaːh kaː iraːd̪aː rakʰn̪e vaːle st̪riːpuruʂon̪ kiː puːrɳ ɔr svat̪n̪t̪ra sahmit̪ par hiː vivaːh ho sakegaː
human_rights_un_hin_brc_64kb_0053	paraivaːr samaːdʒ kiː svaːbʱaːvik ɔr bun̪ijaːd̪iː saːmuːhik ikaːiː hæe̯ ɔr use samaːdʒ t̪t̪ʰaː raːdʒj d̪vaːraː samrkɕɳ paːn̪e kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0054	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0055	prat̪jeak vjkt̪i ko akele ɔr d̪uːsaron̪ ke saːt̪ʰ milkar sammt̪i rakʰn̪e kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0056	kisiː ko bʱiː man̪maːn̪e ɖʱŋg se apan̪iː sammt̪i se van̪tʃit̪ n̪ kijaː dʒaːegaː
human_rights_un_hin_brc_64kb_0057	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0058	prat̪jeak vjkt̪i ko vitʃaːr aan̪t̪raːt̪maː ɔr d̪ʱaram kiː aːaːd̪iː kaː ad̪ʱikaːr hæe̯ is ad̪ʱikaːr ke aan̪t̪rgt̪ apan̪aː d̪ʱaram jaː viɕvaːs bad̪aln̪e ɔr akele jaː d̪uːsaron̪ ke saːt̪ʰ milkar t̪t̪ʰaː saːravadʒn̪ik ruːp men̪ at̪ʰvaː n̪idʒiː t̪or par apan̪e d̪ʱaram jaː viɕvaːs ko ɕikɕaː krijaː upaaːsan̪aː t̪t̪ʰaː vjvhaːr ke d̪vaːraː prkʈ karan̪e kiː svat̪n̪t̪rat̪aː hæe̯
human_rights_un_hin_brc_64kb_0059	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0060	prat̪jeak vjkt̪i ko vitʃaːr ɔr usakiː abʱivjkt̪i kiː svat̪n̪t̪rat̪aː kaː ad̪ʱikaːr hæe̯ isake aan̪t̪rgt̪ bin̪aː hst̪kɕep ke koiː raːj rakʰn̪aː ɔr kisiː bʱiː maːd̪ʱjm ke rie se t̪t̪ʰaː siːmaːon̪ kiː paravaːh n̪ kar ke kisiː kiː muːtʃan̪aː ɔr d̪ʱaːraɳa: kaː an̪veʂɳ prahɳ t̪t̪ʰaː prad̪aːn̪ samamilit̪ hæe̯
human_rights_un_hin_brc_64kb_0061	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0062	prat̪jeak vjkt̪i ko ɕaːn̪t̪i puːrɳ sbʱaː karan̪e jaː samit̪i ban̪aːn̪e kiː svat̪n̪t̪rat̪aː kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0063	kisiː ko bʱiː kisiː samst̪ʰaː kaː sad̪sja ban̪n̪e ke alie madʒbuːr n̪ahiːn̪ kijaː dʒaː sakt̪aː
human_rights_un_hin_brc_64kb_0064	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0065	prat̪jeak vjkt̪i ko apan̪e d̪eɕ ke ɕaːsan̪ men̪ prat̪jkʂ ruːp se jaː svat̪n̪t̪ra ruːp se tʃun̪e gae prat̪in̪id̪ʱiːjon̪ ke rie hissaː len̪e kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0066	prat̪jeak vjkt̪i ko apan̪e d̪eɕ kiː sarakaːriː n̪ɔkariːjon̪ ko praːpt̪ karan̪e kaː samaːn̪ ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0067	sarakaːr kiː sat̪t̪aː kaː aːd̪ʱaːr dʒan̪t̪aː kiː d̪atʃtʃʰaː hogiː is iatʃtʃʰaː kaː prkʈan̪ samajsamaj par ɔr asaliː tʃun̪aːvon̪ d̪vaːraː hogaː je tʃun̪aːv saːrvabʱɔːm ɔr samaːn̪ mat̪aːd̪ʱikaːr d̪vaːraː hoŋge ɔr gupt̪ mat̪d̪aːn̪ d̪vaːraː jaː kimiː an̪ja samaːn̪ svat̪n̪t̪ra mat̪d̪aːn̪ pad̪d̪ʱt̪i se karaːje dʒaːeŋge
human_rights_un_hin_brc_64kb_0068	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0069	samaːdʒ ke eka sad̪sja ke ruːp men̪ prat̪jeak vjkt̪i ko saːmaːdʒik surkɕaː kaː ad̪ʱikaːr hæe̯ ɔr prat̪jeak vjkt̪i ko apan̪e vjkt̪it̪v ke us svat̪n̪t̪ra vikaːs t̪t̪ʰaː gorv ke aliedʒo raːʂʈriːj prjt̪an̪ jaː aan̪t̪arraːʂʈriːj sahjog t̪t̪ʰaː prat̪jeak raːdʒj ke saŋgʈʰan̪ evan̪ saːd̪ʱan̪on̪ ke an̪ukuːl hoan̪ikaːrjat̪ɦ aːvaɕjak aːrt̪ʰik saːmaːdʒik ɔr saːn̪skrit̪ik ad̪ʱikaːron̪ kiː praːpt̪i kaː h hæe̯
human_rights_un_hin_brc_64kb_0070	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0071	prat̪jeak vjkt̪i ko kaːm karan̪e iatʃtʃʰaːn̪umaːr rogaːr ke tʃun̪aːv kaːm kiː utʃit̪ ɔr suvid̪ʱaːdʒn̪ak paraist̪ʰit̪iːjon̪ ko praːpt̪ karan̪e ɔr bekaːriː se samrkɕɳ paːn̪e kaː h hæe̯
human_rights_un_hin_brc_64kb_0072	prat̪jeak vjkt̪i ko samaːn̪ kaːrja ke alie bin̪aː kisiː bʱed̪bʱaːv ke samaːn̪ mad̪uːriː paːn̪e kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0073	prat̪jeak vjkt̪i ko dʒo kaːm kart̪aː hæe̯ ad̪ʱikaːr hæe̯ ki vh it̪an̪iː utʃit̪ ɔr an̪ukuːl mad̪uːriː paːe dʒisse vh apan̪e alie ɔr apan̪e paraivaːr ke alie æe̯siː aːdʒiːvikaː kaː prbn̪d̪ʱ kar make dʒo maːn̪avij gaɔrv ke jogja ho t̪t̪ʰaː aːvaɕjakt̪aː hon̪e par usakiː puːrt̪i an̪ja prkaːr ke saːmaːdʒik samrkɕɳon̪ d̪vaːraː ho sake
human_rights_un_hin_brc_64kb_0074	prat̪jeak vjkt̪i ko apan̪e hit̪on̪ kiː rakɕaː ke alie ɕrmdʒiːviː sŋgʱ ban̪aːn̪e ɔr un̪men̪ bʱaːg len̪e kaː ad̪ʱikaːr hæe̯
human_rights_un_hin_brc_64kb_0075	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0076	prat̪jeak vjkt̪i ko viɕraːm ɔr avakaːɕ kaː ad̪ʱikaːr hæe̯ isake aan̪t̪rgt̪ kaːm ke gʱan̪ʈon̪ kiː utʃit̪ hd̪abn̪d̪iː ɔr samajsamaj par mad̪uːriː shit̪ tʃʰuʈʈijaːn̪ samamilit̪ hæe̯
human_rights_un_hin_brc_64kb_0077	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0078	prat̪jeak vjkt̪i ko æe̯se dʒiːvan̪st̪ar ko praːpt̪ karan̪e kaː ad̪ʱikaːr hæe̯ dʒo use ɔr usake paraivaːr ke svaːst̪ʰj evan̪ kalajaːɳ ke alie parjaːpt̪ ho isake aan̪t̪rgt̪ kʰaːn̪aː kapaɽaː makaːn̪ tʃikit̪saːsmbn̪d̪ʱiː suvid̪ʱaːen̪ ɔr aːvaɕjak saːmaːdʒik sevaːen̪ samamilit̪ hæe̯ sbʱiː ko bekaːriː biːmaːriː asamrt̪ʰt̪aː vɛd̪ʱavj buɖʱaːpe jaː an̪ja kisiː æe̯siː paraist̪ʰit̪i men̪ aːdʒiːvikaː kaː saːd̪ʱan̪ n̪ hon̪e par dʒo usake aːbuː ke baːhar ho surkɕaː kaː ad̪ʱikaːr praːpt̪ hæe̯
human_rights_un_hin_brc_64kb_0079	dʒatʃtʃaː ɔr batʃtʃaː ko kʰaːs sahaːjt̪aː ɔr suvid̪ʱaː kaː h hæe̯ prat̪jeak batʃtʃe ko tʃaːhe vh vivaːhit̪aː maːt̪aː se dʒan̪maː ho jaː avivaːhit̪aː se samaːn̪ saːsaːdʒik samrkɕɳ praːpt̪ hogaː
human_rights_un_hin_brc_64kb_0080	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0081	prat̪jeak vjkt̪i ko ɕikɕaː kaː ad̪ʱikaːr hæe̯ ɕikɕaː kam se kam praːrmabʱik ɔr bun̪ijaːd̪iː avast̪ʰaːon̪ men̪ n̪iɦɕulk hogiː praːrmabʱik ɕikɕaː an̪ivaːrja hogiː ʈekn̪ikal jaːn̪t̪rik ɔr peɕon̪smbn̪d̪ʱiː ɕikɕaː saːd̪ʱaːraɳ ruːp se praːpt̪ hogiː ɔr uatʃtʃt̪ar ɕikɕaː sbʱiː ko jogjt̪aː ke aːd̪ʱaːr par samaːn̪ ruːp se upalbd̪ʱ hogiː
human_rights_un_hin_brc_64kb_0082	ɕikɕaː kaː ud̪d̪eɕj hogaː maːn̪av vjkt̪it̪v kaː puːrɳ vikaːs ɔr maːn̪aːv ad̪ʱikaːron̪ t̪t̪ʰaː bun̪ijaːd̪iː svat̪n̪t̪rat̪aːon̪ ke prat̪i samamaːn̪ ko puʂʈi ɕikɕaː d̪vaːraː raːʂʈron̪ dʒaːt̪ijon̪ at̪ʰvaː gʱaːrmik samuːhon̪ ke biːtʃ aːpasiː sd̪bʱaːvan̪aː shiʂɳut̪aː ɔr maŋt̪riː kaː vikaːs hogaː ɔr ɕːan̪t̪i ban̪aːe rakʰn̪e ke alie samjukt̪ raːʂʈron̪ ke prjt̪n̪on̪ ke aːge baɽʱa:jaː dʒaːegaː
human_rights_un_hin_brc_64kb_0083	maːt̪aːpit̪aː ko sabse pehale is baːt̪ kaː akɕikaːr hæe̯ ki ve tʃun̪aːv kar saken̪ ki kis ism kiː ɕikɕaː un̪ake batʃtʃon̪ ko d̪iː dʒaːegiː
human_rights_un_hin_brc_64kb_0084	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0085	prat̪jeak vjkt̪i ko svat̪n̪t̪rat̪aːpuravaak samaːdʒ ke saːn̪skrit̪ik dʒiːvan̪ men̪ hissaː len̪e kalaːon̪ kaː aːn̪n̪d̪ len̪e t̪t̪ʰaː vɛdʒaɲaːn̪ik un̪n̪t̪i ɔr usakiː suvid̪ʱaːon̪ men̪ bʱaːg len̪e kaː h hæe̯
human_rights_un_hin_brc_64kb_0086	prat̪jeak vjkt̪i ko kisiː bʱiː æe̯siː vɛdʒaɲaːn̪ik saːhit̪jaik jaː kalaːsamak karit̪i me ut̪pn̪n̪ n̪ɛt̪ik ɔr aːrt̪ʰik hit̪on̪ kiː rakɕaː kaː ad̪ʱikaːr hæe̯ dʒiskaː ratʃjit̪aː vh svajn̪ ho
human_rights_un_hin_brc_64kb_0087	an̪utʃtʃʰed̪
human_rights_un_hin_brc_64kb_0088	prat̪jeak vjkt̪i ko æe̯siː saːmaːdʒik ɔr aan̪t̪arraːʂʈriːj vjvst̪ʰaː kiː praːpt̪i kaː ad̪ʱikaːr hæe̯ dʒisamen̪ is gʱoʂɳa: men̪ ullikʰit̪ ad̪ʱikaːron̪ ɔr svat̪n̪t̪rat̪aːon̪ ko puːrɳt̪ɦ praːpt̪ kijaː dʒaː sake
