human_rights_un_javs_vu_64kb_0001	pɛrandʒatan u.mʊɛm ndʒaenani haka#haaka a.sasi u.mat
human_rights_un_javs_vu_64kb_0018	manɪmmbanɡe ma.na.wa pa.ra bɔŋ.sɔ ɪŋ pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ ɪŋ.sadʒ.rɔnɪŋ pi.a.ɡam pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ wʊs pa.ɖa mra.tə.laʔ.ke kan.ʈi.tan.ɖəs aŋ.ɡɔ.ne ŋu.ɡə.mi ma.raŋ haʔ#haʔ kaŋ ba.ku u.mat ma.nʊŋ.sɔ ma.raŋ.mar.ta.bat lan a.dʒi.nɪŋ pri.ba.di.ne u.mat lan ma.raŋ haʔ#haʔ pri.jɔ lan wa.ni.ta kaŋ.sa.dra.dʒat lan pa.ɖa sar.ta wʊs ɡa.we pu.tu.san ba.kal ɲəŋ.ku.jʊŋ ma.dʒu.nɪŋ so.si.al.sar.ta a.dʒi.nɪŋ u.rɪp am.rɪh sa.ja lu.wɪh bə.tʃɪʔ kan.ʈi ka.mar.di.kan kaŋ ɔm.bər lan.dʒəm.bar tə.ba.ne
human_rights_un_javs_vu_64kb_0019	manɪmmbanɡe mə.nɔ.wɔ nə.ɡɔ.rɔ#nə.ɡɔ.rɔ aŋ.ɡo.ta wʊs i.krar lan pra.dʒan.dʒi ba.kalŋ.ɡa.jʊh kaŋ sa.ja ma.dʒu aŋ.ɡɔ.ne ŋa.dʒɛ.ni lan ŋu.r.ma.ti a.dʒi.nɪŋ u.mʊm ma.raŋ.haʔ#haʔ a.sa.si u.mat ma.nʊŋ.sɔ sar.ta rɔ.sɔ bə.bas kaŋ a.sa.si kan.ʈi pa.u.ɡə.ra.nɪŋ u.dʒʊtɪŋ sam.bʊŋ ma.kar.ja kə.la.wan pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ
human_rights_un_javs_vu_64kb_0020	manɪmmbanɡe ma.na.wa kan.ʈi ma.nʊŋ.ɡa.lɪŋ pa.ŋər.tən ŋe.na.ni haʔ#haʔ lan.tu.mɪn.daʔ kan.ʈi bə.bas ka.sə.bʊt pər.lu ba.ŋət ŋɡo ŋlɛk.saʔ.na.ni dʒan.dʒi kan.ʈɪ.tə.mɛn mu.lo
human_rights_un_javs_vu_64kb_0021	madʒelɪs u.mʊmbi.wa.ra.ʔa.ke
human_rights_un_javs_vu_64kb_0022	pɛrandʒatan u.mʊɛm ndʒaenani haka#haaka a.sasi u.mat manʊnɡisa.mi.nɔŋ.kɔ sa.wi.dʒi.nɪŋ pa.u.ɡə.ran u.mʊm ŋɡo ka.si.lɪŋ ɡə.ɡa.ju.an sa.bən baŋ.sa.lan sa.bən nə.ɡɔ.rɔ ɖe.ne kaŋ ka.tu.dʒu su.pa.ja sa.bən u.wɔŋ lan sa.bən bə.ba.ɖa.nɪŋ sa.tə.ŋa.hɪŋ bə.bra.jan ma.sja.ra.kat kan.ʈi tan.sah e.lɪŋ lan ŋu.ɡə.mi
human_rights_un_javs_vu_64kb_0023	pra.ɲa.tan i.ki tan.sah mər.su.di ŋa.da.ni paŋ.ɡʊlɔ.wɛn.tah su.pa.ja rɔ.sɔ ŋa.dʒɛ.ni lan.ŋʊr.ma.ti haʔ#haʔ sar.ta u.rɪp bə.bas ka.sə.bʊt sa.ja mə.kar ŋrəm.ba.ʔɔ
human_rights_un_javs_vu_64kb_0024	sar.ta kan.ʈɪre.ka da.ja pro.ɡrə.sɪp kaŋ a.si.pat na.si.o.nal lan ɪn.tər.na.si.o.nal bi.sɔ naŋ.ɡʊŋdʒu.tɪŋ ka.sa.ɡu.han ŋa.kɔ.ni lan aŋ.ɡɔ.ne a.sʊŋ pa.kʊr.ma.tan kan.ʈi u.ni.pər.sa.l.lan e.fek.tɪp i.jɔ sə.kɔ bɔŋ.so#baŋ.sa ɪŋ na.ɡɔ.rɔ#ɛna.ɡɔ.rɔ aŋ.ɡo.ta ka.lə.bu bɔŋ.so#baŋ.sa ɪŋ la.la.ɖan kaŋ ka.ba.wah pa.ŋu.wa.sa.nɪŋ ŋɡɛr#ŋɡɛ.re wə.wa.tɔn un.daŋ#ʊn.daŋ
human_rights_un_javs_vu_64kb_0025	babe
human_rights_un_javs_vu_64kb_0026	sa.bən u.wɔŋ ka.la.i.ra.ke kan.ʈi mar.di.ka lan da.rpe mar.ta.bat lan haʔ#haʔ ka.kaŋpɔ.ɖɔ
human_rights_un_javs_vu_64kb_0027	ka.bɛh pi.na.ri.ŋan a.kal lan kal.bu sar.ta ka.a.dʒap pa.sra.wu.ŋan aŋ.ɡɔ.nə.mə.mi.tran si.dʒi lan si.dʒi.ne kan.ʈi dʒi.wɔ su.ma.du.lʊr
human_rights_un_javs_vu_64kb_0028	babe
human_rights_un_javs_vu_64kb_0029	sa.bən u.wɔŋ da.rpe haʔ tʊm.rap haʔ lan kə.bə.ba.san#kə.bə.ba.san kaŋ ti.nu.lɪs ɪŋ
human_rights_un_javs_vu_64kb_0030	pra.ɲa.tan u.mʊm i.ki tan.pa pi.lɪh ka.sɪh ka.bɛh wa.ra.ta lan a.dɪl ɪŋ sa.mu.ba.raŋ.ka.ja.ta be.dɔ be.da.nɪŋ ras war.na.nɪŋ a.waʔ wa.lu.laŋ be.ɖa#be.da.nɪŋ le.na.ŋ.lan wa.dɔn ba.sa a.ɡɔ.mɔ pɔ.li.tik lan pa.nɛ.mu li.ja.ne a.sal u.sʊl su.ku bɔŋ.sɔ lan.bə.bra.jan haʔ da.rpe ta.ta.la.ɪr lan ka.lʊŋ.ɡu.han li.ja.ne
human_rights_un_javs_vu_64kb_0031	sa.kdʒu.e.ɔ.ra ba.kal a.na pra.be.da.ne tʊm.rap ka.lʊŋ.ɡu.han pɔ.li.tik ŋɡɛr#ŋɡɛr
human_rights_un_javs_vu_64kb_0032	un.daŋ#ʊn.daŋ u.to.wa ka.lʊŋ.ɡu.han ɪn.tər.na.si.o.nal sə.kɔ nə.ɡɔ.rɔ u.to.wa la.la.da.na.sal u.su.lɪŋ sa.wi.dʒi.ŋɪŋ u.wɔŋ sa.na.d.jan sə.kɔ nə.ɡɔ.rɔ mar.di.ka la.la.dan#la.la.ɖa.nɪŋ pa.ŋu.wa.sa.nɪŋ wa.li dʒa.dʒa.han u.tɔ.wɔ kaŋ wi.nəŋ.ku ɪŋ ka.wa.sa.nɪŋ li.jan
human_rights_un_javs_vu_64kb_0033	babe
human_rights_un_javs_vu_64kb_0034	sa.bən u.wɔŋ ndu.wɛ.ni haʔ i.ŋəta.sɪŋ u.ri.pe bə.ba.sɪŋ u.ri.pe lan ka.sla.mə.tanə.mi.nɔŋ.ko pri.ba.di ɪn.di.fɪdu
human_rights_un_javs_vu_64kb_0035	babe
human_rights_un_javs_vu_64kb_0036	ɔ.ra kə.no sa.wi.dʒi.nɪŋ u.wɔŋ di.da.dɛʔ.ke bu.ɖaʔ u.tɔ.wɔ ba.tʊr ma.u.dʒu.dɪŋ bu.ɖa.klan ba.tʊr tu.kɔn kan.ʈi u.dʒʊt ɔ.pɔ a.e da.di la.ra.ŋan
human_rights_un_javs_vu_64kb_0037	babe
human_rights_un_javs_vu_64kb_0038	ɔ.ra kə.nɔ sa.wi.dʒi.nɪŋ u.wɔŋ di.si.jo#si.jo ɪŋ si.k.sa u.tɔ.wɔ nan.ɖaŋ tɪn.daʔ kə.dʒə.m.di.pa.tra.pi u.tɔ.wɔ nɔm.pɔ pi.dɔ.nɔ kaŋ ɔ.ra ka.ja lʊm.ra.hɪŋ u.mat ma.nʊŋ.sɔ u.tɔ.wɔ.si.nɪŋ.kʊr ka.rɛ.mɛ.ha.ke
human_rights_un_javs_vu_64kb_0039	babe
human_rights_un_javs_vu_64kb_0040	sa.bən u.wɔŋ da.rpe haʔ tʊm.rap pa.sɛk.si ɪŋ sa.dʒro.nɪŋ ŋɡɛr#ŋɡɛr un.daŋ#ʊn.daŋ mi.nɔŋ.ka u.mat ma.nʊŋ.sɔ sa.tʃa.ra pri.ba.di ɪŋ ən.di a.e pa.pan du.nu.ŋe
human_rights_un_javs_vu_64kb_0041	babe
human_rights_un_javs_vu_64kb_0042	ŋa.də.pi hu.kʊm ka.bɛh du.we haʔ pa.ɖa lan da.rpe haʔ ɔ.lɛh pə.ŋa.jo.ma.naŋ.ɡɛr#ŋɡɛr sɪŋ pa.ɖa tan.po di.be.ɖaʔ#be.da.ʔa.ke
human_rights_un_javs_vu_64kb_0043	ka.bɛh du.we ha.ki.ŋa.jo.man sɪŋ pa.ɖa ma.raŋ tu.mɪn.daʔ mbɛ.daʔ#mbɛ.daʔ.ke di.skri.mi.na.si.kaŋ ɔ.ra tʃʊn.ɖʊʔ tʃɔ.tʃɔʔ ka.ro pra.ɲa.tan i.ki lan ma.raŋ sa.wər.na.nɪŋ pa.mi.lʊt
human_rights_un_javs_vu_64kb_0044	ŋɔ.dʒo.k#ɔ.dʒɔ.ʔi sɪŋ tu.mu.dʒu ma.raŋ tu.mɪn.daʔ di.skri.mi.na.si ka.sə.bʊt
human_rights_un_javs_vu_64kb_0045	babe
human_rights_un_javs_vu_64kb_0046	sa.bən u.wɔŋ ndu.wɛ.ni haʔ ka.pu.li.ha.ke kan.ʈi trəp sə.kɔ sə.sam.bu.ŋa.nɛ.ka.pa.tra.pan pə.ŋa.di.lan na.si.o.nal tʊm.rap ti.daʔ#tan.dʊʔ kaŋ na.li.sɪr sə.kɔ haʔ#haʔpa.ku kaŋ də.nɪŋ ŋɡɛr#ŋɡɛr un.daŋ#ʊn.daŋ ka.pa.sra.ha.ke da.di ha.ke
human_rights_un_javs_vu_64kb_0047	babe
human_rights_un_javs_vu_64kb_0048	ɔ.ra a.na si.dʒi a.e u.wɔŋ kaŋ kə.nɔ di.taŋ.kəp di.ta.han u.tɔ.wɔ ka.sɪŋ.kɪr.ke kan.ʈi.sa.wə.naŋ#wə.naŋ
human_rights_un_javs_vu_64kb_0049	babe
human_rights_un_javs_vu_64kb_0050	sa.bən u.wɔŋ kan.ʈi ndu.wɛ.ni dra.dʒat pa.ɖa ɪŋ sa.tə.mə.ne da.rpe haʔ tum.rɔ.p.pa.ŋa.di.lan kaŋ a.dɪl lan ti.nar.bu.ka də.nɪŋ pa.ŋa.di.lan kan.ʈi bə.bas lan ɔ.ra bɔt#sih ɪŋ ba.ba.kan nə.təp.ke haʔ lan ku.wa.dʒi.pan#ku.wa.dʒi.pan sar.ta ɪŋ sa.dʒrɔ.niŋ.nɔm.pɔ sa.bən an.tʃa.man pi.dɔ.nɔ kaŋ di.tə.tə.pa.ʔe ma.raŋ sa.bən u.wɔŋ
human_rights_un_javs_vu_64kb_0051	babe
human_rights_un_javs_vu_64kb_0052	
human_rights_un_javs_vu_64kb_0053	sa.bən u.wɔŋ kaŋ di.nak.wa a.mar.ɡo di.əŋ.ɡəp ni.daʔ.ke la.ku na.li.sɪr sə.ka.ʊn.daŋ#ʊn.daŋ di.əŋ.ɡəp rʊŋ ɲan.ɖaŋ ka.lu.pu.tan sə.du.ru.ŋeun.daŋ#ʊn.daŋ mbʊk.tɛʔ.ke ka.lu.pu.ta.ne ɪŋ pa.ŋa.di.lan kaŋ ti.nar.bu.ka.ɪŋ bap i.ki sa.bən u.wɔŋ ɔ.lɛh dʒa.mi.nan kaŋ di.pər.lɔʔ.ke ŋɡo mbə.la.ni.ha.ke
human_rights_un_javs_vu_64kb_0054	
human_rights_un_javs_vu_64kb_0055	ɔ.ra a.na u.wɔŋ si.dʒi a.e kaŋ kə.nɔ di.əŋ.ɡəp lu.pʊt nɪn.daʔ.ke ŋlaŋ.ɡa.rʊn.daŋ#ʊn.daŋ u.tɔ.wo tlə.ɖɔr kaŋ ɔ.ra mu.dʒʊt.ke tɪn.daʔ na.li.sɪr sə.ka.ʊn.daŋ#ʊn.daŋ na.si.o.nal u.tɔ.wo ɪn.tər.na.si.o.nal ɪŋ ti.ti maŋ.sa tu.mɪn.daʔ.ma.u li.na.kɔ.nan
human_rights_un_javs_vu_64kb_0056	uo ɔ.ra pra.jɔ.ɡa nəm.tɔ.ʔa.ke pa.u.ku.man kaŋ lu.wɪh a.bɔt.ka.tɪm.baŋ pa.u.ku.man kaŋ ka.tə.tə.pa.ʔe na.li.kɔ tɪn.daʔ ŋlaŋ.ɡar un.daŋ#ʊn.daŋ i.ku li.na.kɔ.nan
human_rights_un_javs_vu_64kb_0057	babe
human_rights_un_javs_vu_64kb_0058	ɔ.ra a.na u.wɔŋ si.dʒi a.e kaŋ kə.nɔ di.rə.ɡɔ.ni haʔ pri.ba.di.ne ku.lɔ.war.ɡa.ne ba.le.wɪs.ma.ne u.to.wa sə.sam.bu.ŋa.ne nɔm.pɔ lan ŋi.rɪm la.jaŋ kan.ʈi sa.wə.naŋ#wə.naŋ
human_rights_un_javs_vu_64kb_0059	u.ɡa ma.raŋ haʔ pa.kʊr.ma.tan lan a.dʒi.nɪŋ di.ri
human_rights_un_javs_vu_64kb_0060	sa.bən u.wɔŋ nda.r.bɛ.ni haʔ.kaeo.man di.nɪŋ un.daŋ#ʊn.daŋ a.wɪt sə.kɔ a.na.ne ɡaŋ.ɡu.an u.tɔ.wo tɪn.daʔ na.li.sɪr.maŋ.kɔ.nɔ i.ku
human_rights_un_javs_vu_64kb_0061	babe
human_rights_un_javs_vu_64kb_0062	
human_rights_un_javs_vu_64kb_0063	sa.bən u.wɔŋ da.rpe haʔ tʊm.rap bə.ba.sɪŋ tu.mɪn.daʔ u.tɔ.wɔ ɔ.ra nɪn.da.ʔa.keɔ.pɔ#ɔ.pɔ ɪŋ sa.dʒro.nɪŋ la.la.ɖan wə.wə.ŋ.ko.nɪŋ nə.ɡɔ.rɔ
human_rights_un_javs_vu_64kb_0064	
human_rights_un_javs_vu_64kb_0065	sa.bən u.wɔŋ da.rpe haʔ nɪŋ.ɡa.la.ke sə.ɖə.ŋah nə.ɡɔ.rɔ ka.lə.bu nə.ɡɔ.rɔ.nə.ɖe.we lan da.rpe haʔ ba.li ma.nɛh ɲaŋ nə.ɡa.ra.ne
human_rights_un_javs_vu_64kb_0066	babe
human_rights_un_javs_vu_64kb_0067	
human_rights_un_javs_vu_64kb_0068	sa.bən u.wɔŋ da.rpe haʔ ŋu.pa.ja pa.ŋa.jo.man ma.raŋ nə.ɡɔ.rɔ li.ja.kaŋ.ɡo pa.ŋa.jo.man a.mar.ɡɔ aŋ.ɡɔ.ne da.di bu.rɔn
human_rights_un_javs_vu_64kb_0069	
human_rights_un_javs_vu_64kb_0070	haʔ ka.sə.bʊt ɔ.ra kə.nɔ ka.e.tra.pa.ke ma.na.wa aŋ.ɡɔ.ne da.di bu.rɔn i.ku ɲa.ta.kaŋ da.di sa.ba.be a.wɪt tu.mɪn.daʔ ka.dʊr.si.lan kaŋ ɔ.ra ɡə.ɡan.ɖə.ŋan ka.rɔ.po.li.tik u.tɔ.wo ka.ra.na tu.mɪn.daʔ kaŋ na.li.sɪr ka.ro tu.dʒu.an sɪŋ ba.ku sə.kɔ
human_rights_un_javs_vu_64kb_0071	pər.səri.ka.tan bɔŋ.so#beɔŋ.sɔ
human_rights_un_javs_vu_64kb_0072	babe
human_rights_un_javs_vu_64kb_0073	
human_rights_un_javs_vu_64kb_0074	sa.bən u.wɔŋ da.rpe haʔ da.di war.ɡɔ nə.ɡɔ.rɔ
human_rights_un_javs_vu_64kb_0075	
human_rights_un_javs_vu_64kb_0076	ɔ.ra a.na u.wɔŋ si.dʒi a.e kaŋ kan.ʈi tan.pa lan.ɖɛ.san ta.ta.nan dʒu.ka.ba.tal.ke aŋ.ɡɔ.ne da.di war.ɡɔ nə.ɡɔ.rɔ u.tɔ.wo di.tam.pɪʔ ha.ke ŋɡo sa.lɪn.da.di war.ɡɔ nə.ɡɔ.rɔ li.ja
human_rights_un_javs_vu_64kb_0077	babe
human_rights_un_javs_vu_64kb_0078	
human_rights_un_javs_vu_64kb_0079	pri.jɔ lan wa.ni.ta kaŋ wʊs di.wɔ.sɔ kan.ʈi tan.pa ma.was bɔŋ.sɔ war.ɡɔ.nə.ɡɔ.rɔ u.tɔ.wɔ a.ɡɔ.mɔ da.rpe haʔ ŋla.kɔ.ni niŋ.kah lan mba.ŋʊn.kʊ.la.war.ɡɔ
human_rights_un_javs_vu_64kb_0080	ka.bɛh ndu.wɛ.ni haʔ kaŋ pa.ɖa ɪŋ ba.ba.ʔan nə.nɪŋ.ka.ha.nɪŋ sa.dʒro.nɪŋ a.lam niŋ.kah lan ɪŋ a.lam pə.pi.sa.an.pə.ɡa.tan
human_rights_un_javs_vu_64kb_0081	
human_rights_un_javs_vu_64kb_0082	nə.nɪŋ.ka.han a.mʊŋ bi.sɔ di.lək.sɔ.na.ni a.ɖə.ɖa.sar pi.li.han bə.bas lan.tə.mɛn#tə.mɛn da.di pa.sa.ru.dʒu.ʔa.ne pə.ŋan.tən saʔ.kə.lɔ.rɔn
human_rights_un_javs_vu_64kb_0083	
human_rights_un_javs_vu_64kb_0084	bra.ja.t.kʊ.la.war.ɡɔ i.ku sa.wi.dʒi.nɪŋ tə.tʊŋ.ɡa.lan kaŋ a.la.mi.jah lan ba.ku ɪŋ.ma.sja.ra.kat lan an.du.wɛ.ni haʔ pa.ŋa.jo.man sə.kɔ bə.bra.jan ma.sja.ra.kat.lan na.ɡɔ.rɔ
human_rights_un_javs_vu_64kb_0085	babe
human_rights_un_javs_vu_64kb_0086	
human_rights_un_javs_vu_64kb_0087	sa.bən u.wɔŋ du.we haʔ an.dar.bɛ.ni bɔn.ɖɔ kan.ʈi pri.ba.di u.ta.wabə.ba.rə.ŋan ka.ro u.wɔŋ li.ja.ne
human_rights_un_javs_vu_64kb_0088	
human_rights_un_javs_vu_64kb_0089	ɔ.ra a.na u.wɔŋ si.dʒi a.e kə.nɔ di.ram.pas ban.ɖa.ne kan.ʈi sa.wə.naŋ#wə.naŋ
human_rights_un_javs_vu_64kb_0090	babe
human_rights_un_javs_vu_64kb_0091	sa.bən u.wɔŋ da.rpe haʔ bə.bas du.we pa.nɛ.mu kal.bu lan a.ɡɔ.mɔ
human_rights_un_javs_vu_64kb_0092	ɪŋ ba.ba.ʔan i.ki.ka.lə.bu haʔ bə.bas ɡan.ti a.ɡɔ.mɔ lan ka.pi.ta.jan lan haʔ bə.bas ŋɡo a.nɛk.sɛ.ni.a.ɡɔ.mɔ.ne u.tɔ.wɔ ka.pi.ta.ja.ne kan.ʈi tʃɔ.rɔ aŋ.ɡə.lar pi.wu.laŋ ŋla.kɔ.ni la.ki.ba.ɖah lan sə.ta tu.hu ŋu.ɡə.mi pər.tʃa.ja.ne kan.ʈi tʃɔ.rɔ pri.ba.di u.tɔ.wɔ.bə.ba.rə.ŋan ka.ro u.wɔŋ li.ja.ne ɪŋ ŋə.ɖə.ŋan ŋa.rə.pɪŋ u.mʊm u.tɔ.wo.pri.ba.di
human_rights_un_javs_vu_64kb_0093	babe
human_rights_un_javs_vu_64kb_0094	sa.bən u.wɔŋ da.rpe haʔ i.ŋəta.se haʔ bə.bas mra.tə.laʔ.ke pa.nɛ.mu.me ka.lə.bu.du.we haʔ bə.bas da.rpe pa.nɛ.mu tan.po di.rə.ɡɔni.di.ɡaŋ.ɡu lan ŋɡo ŋu.pa.ja.nɔm.pɔ sar.ta mra.tə.laʔ.ke ɪn.pɔr.ma.si lan pa.mi.ki.ran pə.nə.mu.ne lu.man.tar mə.ɖi.a a.pa.wa.e kan.ʈi tan.pa ma.was wa.tə.sɪŋ wə.wə.ŋ.kɔn la.la.ɖan
human_rights_un_javs_vu_64kb_0095	babe
human_rights_un_javs_vu_64kb_0096	
human_rights_un_javs_vu_64kb_0097	sa.bən u.wɔŋ ndu.wɛ.ni haʔ i.ŋəta.se haʔ bə.bas ŋʊm.pʊl lan ɡa.wə.pa.ɡu.ju.pan tan.pa a.na.ne ru.ɖa.pək.san
human_rights_un_javs_vu_64kb_0098	
human_rights_un_javs_vu_64kb_0099	ɔ.ra a.na u.wɔŋ si.dʒi a.e kaŋ kə.nɔ di.pək.sa lu.mə.bu ɪŋ sa.wi.dʒi.niŋpə.kʊm.pu.lan pa.ɡu.ju.pan
human_rights_un_javs_vu_64kb_0100	babe
human_rights_un_javs_vu_64kb_0101	
human_rights_un_javs_vu_64kb_0102	sa.bən u.wɔŋ ndu.wɛ.ni haʔ tʃa.we#tʃa.we ɪŋ ka.pər.lu.a.ne pa.ma.rɪn.tah.na.ɡa.ra.ne kan.ʈi laŋ.sʊŋ u.tɔ.wɔ lu.man.tar wa.kɪl#wa.kɪl kaŋ pi.ni.lɪh kan.ti.bə.bas
human_rights_un_javs_vu_64kb_0103	
human_rights_un_javs_vu_64kb_0104	sa.bən u.wɔŋ da.rpe haʔ kaŋ pa.ɖa kan.ʈi ka.lo.ɖa.ŋan kaŋ pa.ɖa bi.sa.ka.wi.su.ɖa tɔm.pɔ ka.lʊŋ.ɡu.han.dʒa.wa.tan pa.ma.rɪn.tah ɪŋ nə.ɡa.ra.ne
human_rights_un_javs_vu_64kb_0105	
human_rights_un_javs_vu_64kb_0106	ɡə.ɡa.ju.a.nɪŋ ra.kjat ku.du da.di lam.ba.ran ba.ku wə.wə.na.ŋe pa.ma.rɪn.tahɡə.ɡa.ju.an i.ki ku.du ka.wu.dʒʊt.ke kan.ʈi tʃɔ.rɔ a.na.ne pa.mi.li.an u.mʊm kaŋ.di.a.naʔ.ke ɪŋ wək.tu kaŋ ti.nam.tu lan mʊr.ni kan.ʈi haʔ pi.lɪh kaŋ u.mʊm.lan sa.dra.dʒat kan.ʈi pu.ŋʊt swɔ.rɔ sa.tʃa.ra wa.di u.tɔ.wɔ kan.ʈi pra.na.tan li.ja.aŋ.ɡɛr bi.sɔ naŋ.ɡʊŋ haʔ bə.bas aŋ.ɡɔ.ne mi.lɪh
human_rights_un_javs_vu_64kb_0107	babe
