human_rights_un_rum_xip_64kb_0001	deklaratsia universalə a drepturilor omului
human_rights_un_rum_xip_64kb_0025	fiekare om are dreptul sə i se rekunoaskə pretutindeni personalitatea ʒuridikə
human_rights_un_rum_xip_64kb_0026	artikolul
human_rights_un_rum_xip_64kb_0027	totsi oameni sunt egali ɨn fatsa ledʒi ʃi au fərə nitʃio deosebire dreptul la o egalə protektsie a legi
human_rights_un_rum_xip_64kb_0028	totsi oameni au dreptul la o protektsie egalə ɨmpotriva orikərei diskriminəri kare ar viola prezenta deklaratsie ʃi ɨmpotriva orikərei provokəri la o asemenea diskriminare
human_rights_un_rum_xip_64kb_0029	artikolul
human_rights_un_rum_xip_64kb_0030	orike persoanə are dreptul la satisfaktsia efektivə din partea instantselor ʒuridike natsionale kompetente ɨmpotriva aktelor kare violeazə drepturile fundamentale kei sunt rekunoskute prin konstitutsie sau lege
human_rights_un_rum_xip_64kb_0031	artikolul
human_rights_un_rum_xip_64kb_0032	nimeni nu trebuie sə fie arestat detsinut sau eksilat ɨn mod arbitrar
human_rights_un_rum_xip_64kb_0033	artikolul
human_rights_un_rum_xip_64kb_0034	orike persoanə are dreptul ɨn deplinə egalitate de a fi audiatə ɨn mod ekitabil ʃi publik de kətre un tribunal independent ʃi impartsial kare va hotərɨ fie asupra drepturilor ʃi obligatsilor sale fie asupra temeinitʃiei orikərei akuzəri ɨn materie penalə ɨndreptatə ɨmpotriva sa
human_rights_un_rum_xip_64kb_0035	artikolul
human_rights_un_rum_xip_64kb_0036	orike persoanə akuzatə de komiterea unui akt ku karakter penal are dreptul sə fie presupusə nevinovatə pɨnə kɨnd vinovətsia sa va fi stabilitə ɨn mod legal ɨn kursul unui prokes publik ɨn kare iau fost asigurate toate garantsile nekesare apərəri sale
human_rights_un_rum_xip_64kb_0037	nimeni nu va fi kondamnat pentru aktsiuni sau omisiuni kare nu konstituiau ɨn momentul kɨnd au fost komise un akt ku karakter penal konform dreptului internatsional sau natsional
human_rights_un_rum_xip_64kb_0038	de asemenea nu se va aplika nitʃio pedeapsə mai grea dekɨt akea kare era aplikabilə ɨn momentul kɨnd a fost səvɨrʃit aktul ku karakter penal
human_rights_un_rum_xip_64kb_0039	artikolul
human_rights_un_rum_xip_64kb_0040	nimeni nu va fi supus la imikstiuni arbitrare ɨn viatsa sa personalə ɨn familia sa ɨn domitʃiliul lui sau ɨn korespondentsa sa nitʃi la atindʒeri aduse onoarei ʃi reputatsiei sale
human_rights_un_rum_xip_64kb_0041	orike persoanə are dreptul la protektsia ledʒi ɨmpotriva unor asemenea imikstiuni sau atindʒeri
human_rights_un_rum_xip_64kb_0042	artikolul
human_rights_un_rum_xip_64kb_0043	orike persoanə are dreptul de a tʃirkula ɨn mod liber ʃi de aʃi aledʒe reʃedintsa ɨn interiorul granitselor unui stat
human_rights_un_rum_xip_64kb_0044	orike persoanə are dreptul de a pərəsi orike tsarə inklusiv a sa ʃi de reveni ɨn tsara sa
human_rights_un_rum_xip_64kb_0045	artikolul
human_rights_un_rum_xip_64kb_0046	ɨn kaz de persekutsie orike persoanə are dreptul de a kəuta azil ʃi de a benefitʃia de azil ɨn alte tsəri
human_rights_un_rum_xip_64kb_0047	akest drept nu poate fi invokat ɨn kaz de urmərire ke rezultə ɨn mod real dintro krimə de drept komun sau din aktsiuni kontrare skopurilor ʃi printʃipilor organizatsiei natsiunilor unite
human_rights_un_rum_xip_64kb_0048	artikolul a
human_rights_un_rum_xip_64kb_0049	orike persoanə are dreptul la o ketətsenie
human_rights_un_rum_xip_64kb_0050	nimeni nu poate fi lipsit ɨn mod arbitrar de ketətsenia sa sau de dreptul de aʃi skimba ketətsenia
human_rights_un_rum_xip_64kb_0051	artikolul
human_rights_un_rum_xip_64kb_0052	ku ɨnkepere de la ɨmplinirea vɨrstei legale bərbətul ʃi femeia fərə nitʃio restriktsie ɨn ke priveʃte rasa natsionalitatea sau relidʒa au dreptul de a se kəsətori ʃi de a ɨntemeia o familie
human_rights_un_rum_xip_64kb_0053	ei au drepturi egale la kontraktarea kəsətoriei ɨn dekursul kəsətoriei ʃi la desfakerea ei
human_rights_un_rum_xip_64kb_0054	kəsətoria nu poate fi ɨnkeiatə dekɨt ku konsimtsəmɨntul liber ʃi deplin al vitorilor sotsi
human_rights_un_rum_xip_64kb_0055	familia konstituie elementul natural ʃi fundamental al sotʃietətsi ʃi are dreptul la okrotire din partea sotʃietətsi ʃi a statului
human_rights_un_rum_xip_64kb_0056	artikolul
human_rights_un_rum_xip_64kb_0057	orike persoanə are dreptul la proprietate atɨt singurə kɨt ʃi ɨn asotʃiatsie ku altsi
human_rights_un_rum_xip_64kb_0058	nimeni nu poate fi lipsit ɨn mod arbitrar de proprietatea sa
human_rights_un_rum_xip_64kb_0059	artikolul
human_rights_un_rum_xip_64kb_0060	orike om are dreptul la libertatea gɨndiri de konʃtintsə ʃi relidʒie
human_rights_un_rum_xip_64kb_0061	akest drept inklude libertatea de aʃi skimba relidʒia sau konvindʒerea prekum ʃi libertatea de aʃi manifesta relidʒia sau konvindʒerea singur sau ɨmpreunə ku altsi atɨt ɨn mod publik kɨt ʃi privat prin ɨnvətsəturə praktitʃi relidʒioase kult ʃi ɨndeplinirea riturilor
human_rights_un_rum_xip_64kb_0062	artikolul
human_rights_un_rum_xip_64kb_0063	orike om are dreptul la libertatea opinilor ʃi ekspriməri
human_rights_un_rum_xip_64kb_0064	akest drept inklude libertatea de a avea opini fərə imikstiune din afarə prekum ʃi libertatea de a kəuta de a primi ʃi de a rəspɨndi informatsi ʃi idei prin orike miʒloake ʃi independent de frontierele de stat
human_rights_un_rum_xip_64kb_0065	artikolul
human_rights_un_rum_xip_64kb_0066	orike persoanə are dreptul la libertatea de ɨntrunire ʃi de asotʃiere paʃnikə
human_rights_un_rum_xip_64kb_0067	nimeni nu poate fi silit sə fəkə parte dintro asotʃiatsie
human_rights_un_rum_xip_64kb_0068	artikolul
human_rights_un_rum_xip_64kb_0069	orike persoanə are dreptul de a lua parte la kondukerea treburilor publike ale tsəri sale fie direkt fie prin reprezentantsi liber aleʃi
human_rights_un_rum_xip_64kb_0070	orike persoanə are dreptul de akes egal la funktsile publike din tsara sa
human_rights_un_rum_xip_64kb_0071	vointsa poporului trebuie sə konstituie baza puteri de stat
human_rights_un_rum_xip_64kb_0072	akeastə vointsə trebuie sə fie eksprimatə prin aledʒeri nefalsifikate kare sə aibə lok ɨn mod periodik prin sufradʒiu universal egal ʃi eksprimat prin vot sekret sau urmɨnd o prokedurə ekivalentə kare sə asigure libertatea votului
human_rights_un_rum_xip_64kb_0073	artikolul
human_rights_un_rum_xip_64kb_0074	orike persoanə ɨn kalitatea sa de membru al sotʃietətsi are dreptul la sekuritatea sotʃialə
human_rights_un_rum_xip_64kb_0075	ea este ɨndreptətsitə ka prin efortul natsional ʃi kolaborarea internatsionalə tsinɨnduse seama de organizarea ʃi resursele fiekərei tsəri sə obtsinə realizarea drepturilor ekonomike sotʃiale ʃi kulturale indispensabile pentru demnitatea sa ʃi libera dezvoltare a personalitətsi sale
human_rights_un_rum_xip_64kb_0076	artikolul
human_rights_un_rum_xip_64kb_0077	orike persoanə are dreptul la munkə la libera aledʒere a muntʃi sale la konditsi ekitabile ʃi satisfəkətoare de munkə prekum ʃi la okrotirea ɨmpotriva ʃomaʒului
human_rights_un_rum_xip_64kb_0078	totsi oameni fərə nitʃio diskriminare au dreptul la salariu egal pentru munkə egalə
human_rights_un_rum_xip_64kb_0079	orike om kare munkeʃte are dreptul la o retribuire ekitabilə ʃi satisfəkətoare kare səi asigure atɨt lui kɨt ʃi familiei sale o eksistentsə konformə ku demnitatea umanə ʃi kompletatə la nevoie prin alte miʒloake de protektsie sotʃialə
human_rights_un_rum_xip_64kb_0080	orike persoanə are dreptul de a ɨntemeia sindikate ʃi de a se afilia la sindikate pentru apərarea intereselelor sale
human_rights_un_rum_xip_64kb_0081	artikolul
human_rights_un_rum_xip_64kb_0082	orike persoanə are dreptul la odihnə ʃi rekreatsie inklusiv la o limitare rezonabilə a zilei de munkə ʃi la konkedi periodike plətite
human_rights_un_rum_xip_64kb_0083	artikolul
human_rights_un_rum_xip_64kb_0084	orike om are dreptul la un nivel de trai kare sə asigure sənətatea ʃi bunəstarea lui ʃi familiei sale kuprinzɨnd hrana ɨmbrəkəmintea lokuintsa ɨngriʒirea medikalə prekum ʃi servitʃile sotʃiale nekesare
human_rights_un_rum_xip_64kb_0085	el are dreptul la asigurare ɨn kaz de ʃomaʒ boalə invaliditate vəduvie bətrɨnetse sau ɨn kelelalte kazuri de pierdere a miʒloakelor de subzistentsə ɨn urma unor ɨmpreʒurəri independente de vointsa sa
human_rights_un_rum_xip_64kb_0086	mama ʃi kopilul au dreptul la aʒutor ʃi okrotire deosebite
human_rights_un_rum_xip_64kb_0087	totsi kopi fie kə sunt nəskutsi ɨn kadrul kəsətoriei sau ɨn afara akesteia se bukurə de akeaʃi protektsie sotʃialə
human_rights_un_rum_xip_64kb_0088	artikolul
human_rights_un_rum_xip_64kb_0089	orike persoanə are dreptul la ɨnvətsəturə
human_rights_un_rum_xip_64kb_0090	ɨnvətsəmɨntul trebuie sə fie gratuit kel putsin ɨn kea ke priveʃte ɨnvətsəmɨntul elementar ʃi dʒeneral
human_rights_un_rum_xip_64kb_0091	ɨnvətsəmɨntul elementar trebuie sə fie obligatoriu
human_rights_un_rum_xip_64kb_0092	ɨnvətsəmɨntul tehnik ʃi profesional trebuie sə fie la ɨndemɨna tuturor iar ɨnvətsəmɨntul superior trebuie sə fie de asemenea egal akesibil tuturora pe bazə de merit
human_rights_un_rum_xip_64kb_0093	ɨnvətsəmɨntul trebuie sə urməreaskə dezvoltarea deplinə a personalitətsi umane ʃi ɨntərirea respektului fatsə de drepturile omului ʃi libertətsile fundamentale
human_rights_un_rum_xip_64kb_0094	el trebuie sə promoveze ɨntseledʒerea tolerantsa prietenia ɨntre toate popoarele ʃi toate grupurile rasiale sau relidʒioase prekum ʃi dezvoltarea aktivitətsi organizatsiei natsiunilor unite pentru mentsinerea pətʃii
human_rights_un_rum_xip_64kb_0095	pərintsi au dreptul de prioritate ɨn aledʒerea felului de ɨnvətsəmɨnt pentru kopi lor minori
human_rights_un_rum_xip_64kb_0096	artikolul
human_rights_un_rum_xip_64kb_0097	orike persoanə are dreptul de a lua parte ɨn mod liber la viatsa kulturalə a kolektivitətsi de a se bukura de arte ʃi de a partitʃipa la progresul ʃtintsifik ʃi la binefakerile lui
human_rights_un_rum_xip_64kb_0098	fiekare om are dreptul la okrotirea intereselor morale ʃi materiale kare dekurg din orike lukrare ʃtintsifikə literarə sau artistikə al kərei autor este
human_rights_un_rum_xip_64kb_0099	artikolul
human_rights_un_rum_xip_64kb_0100	orike persoanə are dreptul la o orɨnduire sotʃialə ʃi internatsionalə ɨn kare drepturile ʃi libertətsile ekspuse ɨn prezenta deklaratsie pot fi pe deplin ɨnfəptuite
human_rights_un_rum_xip_64kb_0101	artikolul
human_rights_un_rum_xip_64kb_0102	orike persoanə are ɨndatoriri fatsə de kolektivitate deoareke numai ɨn kadrul akesteia este posibilə dezvoltarea liberə ʃi deplinə a personalitətsi sale
human_rights_un_rum_xip_64kb_0103	ɨn eksertʃitarea drepturilor ʃi libertətsilor sale fiekare om nu este supus dekɨt numai ɨngrədirilor stabilite prin ledʒe eksklusiv ɨn skopul de a asigura kuvenita rekunoaʃtere ʃi respektare a drepturilor ʃi libertətsilor altora ʃi ka sə fie satisfəkute ʒustele kerintse ale moralei ordini publike ʃi bunəstəri dʒenerale ɨntro sotʃietate demokratikə
human_rights_un_rum_xip_64kb_0104	akeste drepturi ʃi libertətsi nu vor putea fi ɨn nitʃiun kaz eksertʃitate kontrar skopurilor ʃi printʃipilor organizatsiei natsiunilor unite
human_rights_un_rum_xip_64kb_0105	artikolul
human_rights_un_rum_xip_64kb_0106	nitʃio dispozitsie a prezentei deklaratsi nu poate fi interpretatə ka implikɨnd pentru vreun stat grupare sau persoanə dreptul de a se deda la vreo aktivitate sau de a səvɨrʃi vreun akt ɨndreptat spre desfintsarea unor drepturi sau libertətsi enuntsate ɨn prezenta deklaratsie
