eng-AU_0001	juːnɪvɜːsl̩ dˈɛkləreɪʃn̩ ɒv hjˈuːmən ɻaɪts
eng-AU_0012	pɻəklˈeɪmz ðˈɪs juːnɪvɜːsl̩ dˈɛkləreɪʃn̩ ɒv hjˈuːmən ɻaɪts əs ə kˈɒmən stˈændəd ɒfətʃiːvmənt fˈɔːɜ˞ ɔːl pˈiːpl̩z ænd ɔːl nˈæʃn̩z təʊ θɪ ɛnd ðˈæt ˈɛvɻɪ ˈɪndɪvˈɪdʒʊəl ændˈɛvəɻɪ ˈɔːɡən ɒv səsˈaɪətɪ kˈiːpɪŋ ðˈɪs dˈɛkləreɪʃn̩ kənstəntlɪ ɪn mˈaɪnd ʃˈæl stɻˈaɪv bˈaɪtˈiːɲɪŋ ænd ˈɛdʒʊkˈeɪʃn̩ təʊ pɻəmˈəʊt ɻɪspɛkt fˈɔːɜ˞ θˈiːz ɻˈaɪts ænd fɻˈiːdəmz ænd bˈaɪpɻəʊɡɻˈɛsɪv mˈɛʒəz nˈæʃənl̩ ænd ˈɪntənˈæʃənl̩ təʊ sɪkjˈʊəɜ˞ ðˈɛə jˈuːnɪvɜːsl̩ ændɪfˈɛktɪv ɻˈiːkɒɡnˈɪʃn̩ ænd əbzˈɜːvn̩s bˈəʊθ əmˈʌŋ θɪ pˈiːpl̩z ɒv mˈɛmbəɜ˞ stˈeɪtsθˈiːmsˈɛlvz ænd əmˈʌŋ θɪ pˈiːpl̩z ɒv tɛrətəɻɪz ˈʌndəɜ˞ ðˈɛə dʒʊərɪsdˈɪkʃəɻəbl̩
eng-AU_0013	ætɪkl̩ ˈaɪ
eng-AU_0014	ˈæl hjˈuːmən bˈiːɪŋz ɛə* bˈɔːn fɻˈiː ænd ɪkwəl ɪn dˈɪɡnətɪ ænd ɻˈaɪts
eng-AU_0015	θɪ əɻˈiːndˈaʊd wɪð ɻˈiːzn̩ ænd kˈɒnʃəns ænd ʃˈəʊld ækt təwˈɔːdz wˈʌn ənˈʌðəɜ˞ ɪn əspˈɪɻɪt ɒv bɻˈʌðəhʊdˈiː
eng-AU_0016	ætɪkl̩
eng-AU_0017	ˈiːvrɪwʌn ɪz ɪntˈaɪtl̩d təʊ ɔːl θɪ ɻˈaɪts ænd fɻˈiːdəmz sˈɛt fˈɔːθ ɪn ðˈɪs dˈɛkləreɪʃənwɪðˈaʊt dɪstˈɪŋkʃn̩ ɒv ˈɛnɪ kˈaɪnd sʌtʃ əs ɻˈeɪs kˈʌlə sˈɛks lˈæŋɡwɪdʒ ɻɪlˈɪdʒənpəlˈɪtɪkl̩ əɜ˞ ˈʌðəɜ˞ əpˈɪnjən nˈæʃənl̩ əɜ˞ sˈəʊʃl̩ əɻˈɪdʒən pɻˈɒpətɪ bˈɜːθ əɜ˞ ˈʌðəɜ˞ stˈætjʊs
eng-AU_0018	fˈɜːðəmˈɔːɜ˞ nəʊ dɪstˈɪŋkʃn̩ ʃˈæl b mˈeɪd ɒn θɪ beɪsɪs ɒv θɪ pəlˈɪtɪkl̩dʒʊərɪsdˈɪkʃənl̩ əɜ˞ ˈɪntənˈæʃənl̩ stˈeɪtəs ɒv θɪ kˈʌntɻɪ əɜ˞ tɛrətərɪ təʊ wˈɪɲ ə pˈɜːsənbɪlˈɒŋz wˈɛðəɜ˞ ˈɪt b ˈɪndɪpˈɛndənt tɻˈʌst nˈɒnsˈɛlvɡˈʌvənɪŋ əɜ˞ ˈʌndəɜ˞ ˈɛnɪ ˈʌðəlˈɪmɪtˈeɪʃn̩ ɒv sˈɒvɻɪntɪˈiː
eng-AU_0019	ætɪkl̩
eng-AU_0020	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ lˈaɪf lˈɪbətɪ ænd θɪ sɪkjˈʊəɻətɪ ɒv pˈɜːsnˈiː
eng-AU_0021	ætɪkl̩
eng-AU_0022	nəʊ wˈʌn ʃˈæl b hˈɛld ɪn slˈeɪvəɻɪ əɜ˞ sˈɜːvɪtjuːd
eng-AU_0023	slˈeɪvəɻɪ ænd θɪ slˈeɪv tɻˈeɪd ʃˈæl bɪpɻəhˈɪbɪtɪd ɪn ɔːl ðˈɛə fɔːms
eng-AU_0024	ætɪkl̩
eng-AU_0025	nəʊ wˈʌn ʃˈæl b səbdʒˈɛktɪd təʊ tˈɔːɲəɜ˞ əɜ˞ təʊ kɻˈʊəl ˈɪnhjuːmən əɜ˞ dɪɡɻˈeɪdɪŋ tɻˈiːtməntəɜ˞ pˈʌnɪʃməntˈiː
eng-AU_0026	ætɪkl̩
eng-AU_0027	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ɻˈiːkɒɡnˈɪʃn̩ ˈɛvɻɪwɛəɜ˞ əs ə pˈɜːsn̩ bɪfɔː* θɪ lˈɔːˈiː
eng-AU_0028	ætɪkl̩
eng-AU_0029	ˈæl ɛə* ɪkwəl bɪfɔː* θɪ lˈɔː ænd ɛə* ɪntˈaɪtl̩d wɪðˈaʊt ˈɛnɪ dɪskɻˈɪmɪnˈeɪʃn̩ təʊ ɪkwəlpɻətˈɛkʃn̩ ɒv θɪ lˈɔːˈiː
eng-AU_0030	ˈæl ɛə* ɪntˈaɪtl̩d təʊ ɪkwəl pɻətˈɛkʃn̩ əɡˈɛnst ˈɛnɪdɪskɻˈɪmɪnˈeɪʃn̩ ɪn vˈaɪəlˈeɪʃn̩ ɒv ðˈɪs dˈɛkləreɪʃn̩ ænd əɡˈɛnst ˈɛnɪ ɪnsˈaɪtmənt təʊ sˈʌɲdɪskɻˈɪmɪnˈeɪʃn̩ˈiː
eng-AU_0031	ætɪkl̩
eng-AU_0032	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ æn ɪfˈɛktɪv ɻˈɛmədɪ bˈaɪ θɪ kˈɒmpɪtənt nˈæʃənl̩ tɻˈɪbjuːnl̩sfɔːɜ˞ ˈækts vˈaɪəleɪtɪŋ θɪ fˈʌndəmˈɛntl̩ ɻˈaɪts ɡɻˈæntɪd hɪm bˈaɪ θɪ kənstɪtjˈuːʃn̩ əɜ˞ bˈaɪ lˈɔːˈiː
eng-AU_0033	ætɪkl̩
eng-AU_0034	nəʊ wˈʌn ʃˈæl b səbdʒˈɛktɪd təʊ ˈɑːbɪtɻəɻɪ əɻˈɛst dɪtˈɛnʃn̩ əɜ˞ ˈɛksaɪlˈiː
eng-AU_0035	ætɪkl̩
eng-AU_0036	ˈiːvrɪwʌn ɪz ɪntˈaɪtl̩d ɪn fˈʊl ɪkwɒlətɪ təʊ ə fˈɛəɜ˞ ænd pˈʌblɪk hˈɪəɻɪŋ bˈaɪ æn ˈɪndɪpˈɛndəntænd ɪmpˈɑːʃl̩ tɻˈɪbjuːnl̩ ɪn θɪ dɪtˈɜːmɪnˈeɪʃn̩ ɒv hˈɪz ɻˈaɪts ænd əblɪɡˈeɪʃn̩z ænd ɒv ˈɛnɪkɻˈɪmɪnl̩ ɲˈɑːdʒ əɡˈɛnst hˈaɪm
eng-AU_0037	ætɪkl̩
eng-AU_0038	ˈiː
eng-AU_0039	ˈiːvrɪwʌn ɲˈɑːdʒd wɪð ə pˈiːnl̩ əfˈɛns hˈæz θɪ ɻˈaɪt təʊ b pɻɪzjˈuːmdɪnəsn̩t ˈʌntɪl pɻˈuːvd ɡˈɪltɪ əkˈɔːdɪŋ təʊ lˈɔː ɪn ə pˈʌblɪk tɻˈaɪəl ˈæt wˈɪɲ hˈiːəz hˈæd ɔːl θɪ ɡˈæɻəntˈiːz nˈɛsəsərɪ fˈɔːɜ˞ hˈɪz dɪfˈɛnsˈiː
eng-AU_0040	ˈiː
eng-AU_0041	nəʊ wˈʌn ʃˈæl b hˈɛld ɡˈɪltɪ ɒv ˈɛnɪ pˈiːnl̩ əfˈɛns ɒn əkˈaʊnt ɒv ˈɛnɪ ækt ɔɹəmɪʃn̩ wˈɪɲ dˈɪd nɒt kənstɪtjuːt ə pˈiːnl̩ əfˈɛns ˈʌndəɜ˞ nˈæʃənl̩ əɻˈɪntənˈæʃənl̩ lˈɔː ˈæt θɪ tˈaɪm wˈɛn ˈɪt wˈeɪs kəmˈɪtɪdˈiː
eng-AU_0042	nˈɔːɜ˞ ʃˈæl ə hˈɛvɪəpˈɛnl̩tɪ b ɪmpˈəʊzd ðˈæn θɪ wˈʌn ðˈæt wˈeɪs ˈæplɪkəbl̩ ˈæt θɪ tˈaɪm θɪ pˈiːnl̩əfˈɛns wˈeɪs kəmˈɪtɪdˈiː
eng-AU_0043	ætɪkl̩
eng-AU_0044	nəʊ wˈʌn ʃˈæl b səbdʒˈɛktɪd təʊ ˈɑːbɪtɻəɻɪ ˈɪntəfˈɪəɻəns wɪð hˈɪz pɻˈɪvəsɪ fˈæməlɪ hˈəʊmˈɔːɜ˞ kˈɒɻɪspˈɒndəns nˈɔːɜ˞ təʊ ətˈæks əpˈɒn hˈɪz ˈɒnəɜ˞ ænd ɻˈɛpjʊtˈeɪʃn̩ˈiː
eng-AU_0045	ˈiːvrɪwʌn hˈeɪsʃ ɻˈaɪt təʊ θɪ pɻətˈɛkʃn̩ ɒv θɪ lˈɔː əɡˈɛnst sʌtʃ ˈɪntəfˈɪəɻəns əɜ˞ ətˈæksn̩
eng-AU_0046	ætɪkl̩
eng-AU_0047	ˈiː
eng-AU_0048	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɻˈiːdəm ɒv mˈuːvmənt ænd ɻˈɛzɪdəns wɪðɪn θˈiːbˈɔːdəz ɒv ˈiːɲ stˈeɪtˈiː
eng-AU_0049	ˈiː
eng-AU_0050	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ lˈiːv ˈɛnɪ kˈʌntɻɪ ɪnklˈuːdɪŋ hˈɪz ˈəʊn ænd tˈɒɻɪtˈɜːn təʊ hˈɪz kˈʌntɻɪˈiː
eng-AU_0051	ætɪkl̩
eng-AU_0052	ˈiː
eng-AU_0053	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ sˈiːk ænd təʊ ɪndʒˈɔɪ ɪn ˈʌðəɜ˞ kˈʌntɻɪz əsˈaɪləm fɻˈɒmpˈɜːsɪkjuːʃn̩ˈiː
eng-AU_0054	ˈiː
eng-AU_0055	tɪz ɻˈaɪt mˈeɪ nɒt b ɪnvˈəʊkt ɪn θɪ kˈeɪs ɒv pɻˈɒsɪkjˈuːʃn̩z dʒˈɛnjʊɪnlɪəɻˈaɪzɪŋ fɻˈɒm nˈɒnpˈɒlətɪkl̩ kɻˈaɪmz əɜ˞ fɻˈɒm ˈækts kəntɻəɻɪ təʊ θɪ pˈɜːpəsɪz ˈændpɻˈɪnsəpl̩z ɒv θɪ jˈuːnɪtɪd nˈæʃn̩s
eng-AU_0056	ætɪkl̩
eng-AU_0057	ˈiː
eng-AU_0058	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ə nˈæʃənˈælətɪˈiː
eng-AU_0059	ˈiː
eng-AU_0060	nəʊ wˈʌn ʃˈæl b ˈɑːbɪtɻəɻəlɪ dɪpɻˈaɪvd ɒv hˈɪz nˈæʃənˈælətɪ nˈɔːɜ˞ dɪnˈaɪd θɪ ɻˈaɪt təʊɲˈeɪndʒ hˈɪz nˈæʃənˈælətɪˈiː
eng-AU_0061	ætɪkl̩
eng-AU_0062	ˈiː
eng-AU_0063	mɛn ænd wˈɪmɪn ɒv fˈʊl ˈeɪdʒ wɪðˈaʊt ˈɛnɪ lˈɪmɪtˈeɪʃn̩ djuː təʊ ɻˈeɪs nˈæʃənˈælətɪə* ɻɪlˈɪdʒən hˈæv θɪ ɻˈaɪt təʊ mˈæɻɪ ænd təʊ fˈaʊnd ə fˈæməlɪˈiː
eng-AU_0064	θɪ ɛə* ɪntˈaɪtl̩dtəʊ ɪkwəl ɻˈaɪts əs təʊ mˈæɻɪdʒ djˈʊəɻɪŋ mˈæɻɪdʒ ænd ˈæt ˈɪts dˈɪsəlˈuːʃn̩ˈiː
eng-AU_0065	ˈiː
eng-AU_0066	mˈæɻɪdʒ ʃˈæl b ˈɛntəd ˈɪntuː ˈəʊnlɪ wɪð θɪ fɻˈiː ænd fˈʊl kənsˈɛnt ɒv θˈiːɪntˈɛndɪŋ spˈaʊzs
eng-AU_0067	ˈiː
eng-AU_0068	tʃ fˈæməlɪ ɪz θɪ nˈæɲɻəl ænd fˈʌndəmˈɛntl̩ ɡɻˈuːp jˈuːnɪt ɒv səsˈaɪətɪ ænd ˈɪsɪntˈaɪtl̩d təʊ pɻətˈɛkʃn̩ bˈaɪ səsˈaɪətɪ ænd θɪ stˈeɪtˈiː
eng-AU_0069	ætɪkl̩
eng-AU_0070	ˈiː
eng-AU_0071	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ˈəʊn pɻˈɒpətɪ ələʊn əs wˈɛl əs ɪn əsˈəʊʃɪeɪʃn̩ wɪðəθˈɜːsn̩
eng-AU_0072	ˈiː
eng-AU_0073	nəʊ wˈʌn ʃˈæl b ˈɑːbɪtɻəɻəlɪ dɪpɻˈaɪvd ɒv hˈɪz pɻˈɒpətɪˈiː
eng-AU_0074	ætɪkl̩
eng-AU_0075	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɻˈiːdəm ɒv θˈɔːt kˈɒnʃəns ænd ɻɪlˈɪdʒən
eng-AU_0076	ðˈɪs ɻˈaɪtɪnklˈuːdz fɻˈiːdəm təʊ ɲˈeɪndʒ hˈɪz ɻɪlˈɪdʒən əɜ˞ bɪlˈiːf ænd fɻˈiːdəm ˈaɪðəɜ˞ ələʊn əɜ˞ ˈɪnkəmjˈuːnətɪ wɪð ˈʌðəz ænd ɪn pˈʌblɪk əɜ˞ pɻˈaɪvɪt təʊ mˈænɪfɛst hˈɪz ɻɪlˈɪdʒən əɜ˞ bɪlˈiːf ɪntiːtʃɪŋ pɻˈæktɪs wˈɜːʃɪp ænd əbzˈɜːvn̩sˈiː
eng-AU_0077	ætɪkl̩
eng-AU_0078	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɻˈiːdəm ɒv əpˈɪnjən ænd ɪkspɻˈɛʃn̩
eng-AU_0079	ðˈɪs ɻˈaɪt ɪnklˈuːdzfɻˈiːdəm təʊ hˈəʊld əpˈɪnjənz wɪðˈaʊt ˈɪntəfˈɪəɻəns ænd təʊ sˈiːk ɻɪsˈiːv ænd ɪmpˈɑːtɪnfɔːmˈeɪʃn̩ ænd aɪdˈɪəz θɻˈuː ˈɛnɪ mˈiːdjə ænd ɻɪɡˈɑːdlɪs ɒv fɻˈʌntˈɪəzˈiː
eng-AU_0080	ætɪkl̩
eng-AU_0081	ˈiː
eng-AU_0082	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɻˈiːdəm ɒv pˈiːsfʊl əsˈɛmblɪ ænd əsˈəʊʃɪeɪʃn̩ˈiː
eng-AU_0083	ˈiː
eng-AU_0084	nəʊ wˈʌn mˈeɪ b kəmpˈɛld təʊ bɪlˈɒŋ təʊ æn əsˈəʊʃɪeɪʃn̩ˈiː
eng-AU_0085	ætɪkl̩
eng-AU_0086	ˈiː
eng-AU_0087	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ tˈeɪk pˈɑːt ɪn θɪ ɡˈʌvn̩mənt ɒv hˈɪz kˈʌntɻɪdɪrɛktlɪ əɜ˞ θɻˈuː fɻˈiːlɪ ɲˈəʊzn̩ ɻˈɛpɻɪzˈɛntətɪvs
eng-AU_0088	ˈiː
eng-AU_0089	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ɪkwəl əksɛs təʊ pˈʌblɪk sˈɜːvɪs ɪn hˈɪz kˈʌntɻɪˈiː
eng-AU_0090	ˈiː
eng-AU_0091	tʃ wˈɪl ɒv θɪ pˈiːpl̩ ʃˈæl b θɪ beɪsɪs ɒv θɪ ɔːθˈɒɻətɪ ɒv ɡˈʌvn̩mənt
eng-AU_0092	ðˈɪs wˈɪl ʃˈæl b ɪkspɻˈɛst ɪn pˈɪəɻɪˈɒdɪk ænd dʒˈɛnjʊɪn ɪlˈɛkʃn̩z wˈɪɲ ʃˈælb bˈaɪ jˈuːnɪvɜːsl̩ ænd ɪkwəl sˈʌfɻɪdʒ ænd ʃˈæl b hˈɛld bˈaɪ sɛkrət vˈəʊt əɜ˞ bˈaɪɪkwˈɪvələnt fɻˈiː vˈəʊtɪŋ pɻəsˈiːdʒəzdɪ
eng-AU_0093	ætɪkl̩
eng-AU_0094	ˈiːvrɪwʌn əs ə mˈɛmbəɜ˞ ɒv səsˈaɪətɪ hˈæz θɪ ɻˈaɪt təʊ sˈəʊʃl̩ sɪkjˈʊəɻətɪ ænd ɪz ɪntˈaɪtl̩dtəʊ rɪəlaɪzeɪʃən θɻˈuː nˈæʃənl̩ ˈɛfət ænd ˈɪntənˈæʃənl̩ kˈəʊˈɒpəɻˈeɪʃn̩ ænd ɪnˈækˈɔːdəns wɪð θɪ ˈɔːɡənaɪzˈeɪʃn̩ ænd ɻɪsˈɔːsɪz ɒv ˈiːɲ stˈeɪt ɒv θɪ ˈiːkənˈɒmɪksˈəʊʃl̩ ænd kˈʌlɲəɻəl ɻˈaɪts ˈɪndɪspˈɛnsəbl̩ fˈɔːɜ˞ hˈɪz dˈɪɡnətɪ ænd θɪ fɻˈiː dɪvˈɛləpməntɒv hˈɪz pˈɜːsənˈælətɪˈiː
eng-AU_0095	ætɪkl̩
eng-AU_0096	ˈiː
eng-AU_0097	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ wˈɜːk təʊ fɻˈiː ɲˈɔɪs ɒv ɪmplˈɔɪmənt təʊ dʒˈʌst ˈændfˈeɪvəɻəbl̩ kəndˈɪʃn̩z ɒv wɜːk ænd təʊ pɻətˈɛkʃn̩ əɡˈɛnst ˈʌnɪmplˈɔɪməntˈiː
eng-AU_0098	ˈiː
eng-AU_0099	ˈiːvrɪwʌn wɪðˈaʊt ˈɛnɪ dɪskɻˈɪmɪnˈeɪʃən hˈæz θɪ ɻˈaɪt təʊ ɪkwəl pˈeɪ fˈɔːɜ˞ ɪkwəlwˈɜːkˈiː
eng-AU_0100	ˈiː
eng-AU_0101	ˈiːvrɪwʌn hˈuː wɜːks hˈæz θɪ ɻˈaɪt təʊ dʒˈʌst ænd fˈeɪvəɻəbl̩ ɻɪmjˈuːnəɻˈeɪʃn̩ˈɛnʃəɻɪŋ fˈɔːɜ˞ hɪmsˈɛlf ænd hˈɪz fˈæməlɪ æn ɪɡzˈɪstəns wˈɜːðɪ ɒv hjˈuːmən dˈɪɡnətɪænd sˈʌplɪmɛntɪd ɪf nˈɛsəsərɪ bˈaɪ ˈʌðəɜ˞ mˈiːnz ɒv sˈəʊʃl̩ pɻətˈɛkʃn̩ˈiː
eng-AU_0102	ˈiː
eng-AU_0103	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ fɔːm ænd təʊ dʒˈɔɪn tɻˈeɪd jˈuːnjənz fˈɔːɜ˞ θɪ pɻətˈɛkʃn̩ əvɪz ˈɪntɻəsts
eng-AU_0104	ætɪkl̩
eng-AU_0105	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ɻɪst ænd lˈɛʒə ɪnklˈuːdɪŋ ɻˈiːzn̩əbl̩ lˈɪmɪtˈeɪʃn̩ ɒvwˈɜːkɪŋ ˈaʊəz ænd pˈɪəɻɪˈɒdɪk hˈɒlədeɪz wɪð pˈeɪˈiː
eng-AU_0106	ætɪkl̩
eng-AU_0107	ˈiː
eng-AU_0108	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ə stˈændəd ɒv lˈɪvɪŋ ˈædɪkwət fˈɔːɜ˞ θɪ hˈɛlθ ændwˈɛlbˈiːɪŋ ɒv hɪmsˈɛlf ænd ɒv hˈɪz fˈæməlɪ ɪnklˈuːdɪŋ fˈuːd klˈəʊðɪŋ hˈaʊzɪŋænd mˈɛdɪkl̩ kɛə* ænd nˈɛsəsərɪ sˈəʊʃl̩ sˈɜːvɪss ænd θɪ ɻˈaɪt təʊ sɪkjˈʊəɻətɪɪn θɪ ɪvˈɛnt ɒv ˈʌnɪmplˈɔɪmənt sˈɪknɪs dˈɪsəbˈɪlətɪ wˈɪdəʊhʊd ˈəʊld ˈeɪdʒ ɒrʌðə* lˈæk ɒv lˈaɪvlɪhʊd ɪn sˈɜːkəmstənsɪz bɪjɒnd hˈɪz kəntɻˈəʊlˈaɪ
eng-AU_0109	ˈiː
eng-AU_0110	mˈʌðəhʊd ænd ɲˈaɪldhʊd ɛə* ɪntˈaɪtl̩d təʊ spˈɛʃl̩ kɛə* ænd əsˈɪstənsˈiː
eng-AU_0111	ˈælɲˈɪldɻən wˈɛðəɜ˞ bˈɔːn ɪn əɜ˞ aʊt ɒv wˈɛdlɒk ʃˈæl ɪndʒˈɔɪ θɪ sˈeɪm sˈəʊʃl̩pɻətˈɛkʃn̩ˈiː
eng-AU_0112	ætɪkl̩
eng-AU_0113	ˈiː
eng-AU_0114	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt təʊ ˈɛdʒʊkˈeɪʃn̩ˈiː
eng-AU_0115	ɪdʒʊkˈeɪʃn̩ ʃˈæl b fɻˈiː ˈæt lˈiːst ɪn θˈiːˈɛlɪmɛntəɻɪ ænd fˈʌndəmˈɛntl̩ stˈeɪdʒs
eng-AU_0116	ɪlɪmɛntəɻɪ ˈɛdʒʊkˈeɪʃn̩ ʃˈæl bɪkəmpˈʌlsəɻɪˈiː
eng-AU_0117	tˈɛknɪkl̩ ænd pɻəfˈɛʃənl̩ ˈɛdʒʊkˈeɪʃn̩ ʃˈæl b mˈædɪdʒˈɛnəɻəlɪ əvˈeɪləbl̩ ænd hˈaɪəɜ˞ ˈɛdʒʊkˈeɪʃn̩ ʃˈæl b ɪkwəlɪ əksɛsəbl̩ təʊ ˈælən θɪ beɪsɪs ɒv mˈɛɻɪtˈiː
eng-AU_0118	ˈiː
eng-AU_0119	ɪdʒʊkˈeɪʃn̩ ʃˈæl b dɪɻˈɛktɪd təʊ θɪ fˈʊl dɪvˈɛləpmənt ɒv θɪ hjuːmˈænpˈɜːsənˈælətɪ ænd təʊ θɪ stɻˈɛŋθənɪŋ ɒv ɻɪspɛkt fˈɔːɜ˞ hjˈuːmən ɻˈaɪts ˈændfʌndəmˈɛntl̩ fɻˈiːdəms
eng-AU_0120	ɪt ʃˈæl pɻəmˈəʊt ˈʌndəstˈændɪŋ tˈɒləɻəns ˈændfrɛndʃɪp əmˈʌŋ ɔːl nˈæʃn̩z ɻˈeɪʃl̩ əɜ˞ ɻɪlˈɪdʒəs ɡɻˈuːps ænd ʃˈæl fˈɜːðəɪð æktˈɪvətɪz ɒv θɪ jˈuːnɪtɪd nˈæʃənz fˈɔːɜ˞ θɪ meɪntˈɛnəns ɒv pˈiːsˈiː
eng-AU_0121	ˈiː
eng-AU_0122	pærənts hˈæv ə pɻˈaɪəɜ˞ ɻˈaɪt təʊ ɲˈuːs θɪ kˈaɪnd ɒv ˈɛdʒʊkˈeɪʃn̩ ðˈæt ʃˈæl bɪɡˈɪvn̩ təʊ ðˈɛə ɲˈaɪldɻən
eng-AU_0123	ætɪkl̩
eng-AU_0124	ˈiː
eng-AU_0125	ˈiːvrɪwʌn hˈæz θɪ ɻˈaɪt fɻˈiːlɪ təʊ pɑːtˈɪsɪpeɪt ɪn θɪ kˈʌlɲəɻəl lˈaɪf ɒv θˈɛkəmjˈuːnətɪ təʊ ɪndʒˈɔɪ θɪ ˈɑːts ænd təʊ ʃˈɛəɜ˞ ɪn sˈaɪəntɪfɪk ədvˈɑːnsmənt ˈændɪts bˈɛnɪfɪtsn̩
eng-AU_0126	ˈiː
