human_rights_un_urd_ahk_64kb_0001	ʔnsɑːɲɛː ɦqoːq kʔ ɑːɑlmiː mnʃoːr
human_rights_un_urd_ahk_64kb_0012	ʔnsɑːɲɛː ɦqoːq kʔ eːɦ ɑːɑlmiː mnʃoːr t̪mɑːm ɑqʋɑːm kɛː ʋʔst̪ɛː ɦsʋl mqsd̪ kʔ mʃt̪rk mʔiːɑr ɦʋ ɡʔ t̪ɑːkh ɦr frd̪ ɑoːr mʕɑʃreː kʔ ɦr ɑd̪ɑːrɦ ɑs mnʃoːr kʋ ɦmjʃɦ pɛːʃ nzr rkʰt̪ɛː ɦuːeː t̪ʔlɛːm oː t̪bleːɣ kɛː zrjɑː∅ ɑn ɦqoːq ɑoːr ɑːzɑːd̪ɛːɔːn kʔ ɑːɦt̪r∅m pɛːd̪∅ kreː ɑoːr ɑːn∅eːn qɔːmɛː ɑoːr beːŋ ʔlɑːquː∅meː kʔrrɔː∅eːuːn kɛː zriːʔɛː mmbr mlkoːn mɛːn ɑoːr ʊɳ qoːmoːn mɛːn ɟʝʋ mmbr mlkoːn kɛː mɑːt̪ht̪ ɦʋn mɲʋɑːɲeː kɛː lɛː bt̪d̪riːɟʝ kʋʃʃ kr skeː
human_rights_un_urd_ahk_64kb_0013	d̪feːh
human_rights_un_urd_ahk_64kb_0014	t̪mɑːm ʔɲsɑŋ ɑːzɑːd̪ ɑoːr ɦqoːq oː ɑːzt̪ kɛː ɑeːt̪bɑr sɛː brɑbr pɛːd̪∅ ɦuːeː ɦɛːn ɑːn∅eːn zmiːr ɑoːr ɑːql ʋd̪eːɑːt̪ hʋɛː ɦeː ɑs lɛː ɑːn∅eːn ɑeːk d̪uːsrɛː kɛː sɑːt̪ʰ b̤ɑeː tʃɑːrɛː kʔ sluːk krŋɑː tʃʔ∅ɛːɛː
human_rights_un_urd_ahk_64kb_0015	d̪feːh
human_rights_un_urd_ahk_64kb_0016	ɦr ʃxs ɑn t̪mɑːm ɑːzɑːd̪ɛːɔːn ɑoːr ɦqoːq kʔ mst̪hq ɦeː ɟʝʋ ɑs ∅∅l∅ŋ mɛːn beːɑn kɛː ɡɛː ɦɛːn ɑoːr ɑs ɦq pr nsl rɳɡ ɟʝɳs zbʔŋ mz∅b ɑoːr sjɑːseː t̪freːq kʔ eː∅ ksj qsm kɛː ∅qɛːd̪ɛː qʋm mʕɑʃreː d̪ʋlt̪ eː∅ xɑŋd̪ɑːniː heːsiːt̪ oːɣiːrɦ kʔ koːiː ɑsr nɦ pɽeː ɡʔ
human_rights_un_urd_ahk_64kb_0017	ɑs kɛː oːlɑːoː∅ ɟʝs ∅l∅qɛː eː∅ mlk sɛː ɟʝʋ ʃxs t̪∅lq rkʰt̪ɑː ɦeː ɑs kɛː sjɑːseː keːfeːt̪ d̪ɑːrh ∅xt̪ɛːɑːr eː∅ beːŋ ʔlɑːquː∅meː heːsiːt̪ kɛː bɳʔ pr ɑs sɛː koːiː ∅mt̪ɛːɑːziː sluːk ŋhjn kɛːʔ ɟʝɑːeː ɡʔ tʃɑːɦɛː oːɦ mlk eː∅ eːlɑq∅ ɑːzɑːd̪ ɦʋ eː∅ t̪oːlɛːt̪ɛː ɦʋ eː∅ ɣɛːr mxt̪ɑr ɦʋ eː∅ sjɑːseː ɑqt̪d̪ʔr kɛː lɦɑz sɛː ksj d̪oːsriː bɳd̪ʃ kʔ pɑbnd̪ ɦʋ
human_rights_un_urd_ahk_64kb_0018	d̪feːh
human_rights_un_urd_ahk_64kb_0019	ɦr ʃxs kʋ ʔpɲj ɟʝɑŋ ɑːzɑd̪ɛː ɑoːr zʔt̪ɛː t̪hf∅z kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0020	d̪feːh
human_rights_un_urd_ahk_64kb_0021	koːiː ʃxs ɣlɑːm eː∅ lɔːŋɖeː bɳʔ kr nɦ rkʰɑː ɟʝʔ skeː ɡʔ ɣlɑmɛː ɑoːr brd̪ɦ froːʃɛː tʃɑːɦɛː ɑs kɛː koːiː ʃkl b̤ɛː ɦʋ mmɳoːʔ qrɑːr d̪ɛː ɟʝɑːeː ɡɛː
human_rights_un_urd_ahk_64kb_0022	d̪feːh
human_rights_un_urd_ahk_64kb_0023	ksj ʃxs kʋ ɟʝsmɑːɲɛː ɑːzeː∅t̪ eː∅ zɑlm∅ɲɦ ɑːŋsʔiːt̪ sʋz eː∅ zliːl sluːk eː∅ sz∅ ŋhjn d̪ɛː ɟʝɑːeː ɡɛː
human_rights_un_urd_ahk_64kb_0024	d̪feːh
human_rights_un_urd_ahk_64kb_0025	ɦr ʃxs kʔ ɦq ɦeː kɦ ɦr mqɑːm pr q∅noːn ɑs kɛː ʃxseːt̪ kʋ t̪sleːm kreː
human_rights_un_urd_ahk_64kb_0026	d̪feːh
human_rights_un_urd_ahk_64kb_0027	q∅noːn kɛː nzr mɛːn sb brɑbr ɦɛːn ɑoːr sb bɣiːr ksj t̪freːq kɛː q∅noːn kɛː ɑnd̪r ʔmʔɲ pɑːŋɛː kɛː brɑbr kɛː ɦqd̪ɑr ɦɛːn ɑs ∅∅l∅ŋ kɛː xlɑːf ɟʝʋ t̪freːq kɛː ɟʝɑːeː eː∅ ɟʝs t̪freːq kɛː lɛː t̪rɣeːb d̪ɛː ɟʝɑːeː ɑs sɛː sb brɑbr kɛː btʃ∅ kɛː ɦqd̪ɑr ɦɛːn
human_rights_un_urd_ahk_64kb_0028	d̪feːh
human_rights_un_urd_ahk_64kb_0029	ɦr ʃxs kʋ ɑn ɑfoːɑl kɛː xlɑːf ɟʝʋ ɑs d̪st̪oːr eː∅ q∅noːn mɛːn d̪ɛː ɦuːeː bɳiːɑd̪eː ɦqoːq kʋ t̪lf krt̪eː ɦʋn b∅ɑːxt̪eːɑr qɔːmɛː ʔd̪ʔlt̪ʋn sɛː moːs∅r t̪rɛːqɛː pr tʃɑːrh ɟʝoːiː krneː kʔ pʋr∅ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0030	d̪feːh
human_rights_un_urd_ahk_64kb_0031	ksj ʃxs kʋ mɦz h∅km kɛː mrzj pr ɡrft̪ɑːr nzrbɲd̪ eː∅ ɟʝl∅ʋt̪ŋ ŋhjn kɛːʔ ɟʝɑːeː ɡʔ
human_rights_un_urd_ahk_64kb_0032	d̪feːh
human_rights_un_urd_ahk_64kb_0033	ɦr ɑeːk ʃxs kʋ eːks∅n t̪ʋr pr ɦq h∅sl ɦeː kɦ ɑs kɛː ɦqoːq oː frɑːz kʔ t̪ɑːɛːɳ eː∅ ɑs kɛː xlɑːf ksj eːɑːd̪ krd̪∅ ɟʝrm kɛː bɑːrɛː mɛːn mqd̪m∅ kɛː smʔoːt̪ ɑːzɑːd̪ ɑoːr ɣɛːr ɟʝɑːnb d̪∅r ɑːd̪ɑlt̪ kɛː kʰlɛː ɑɟʝl∅s mɛːn mnsf∅ɲɦ t̪rɛːqɛː pr ɦʋ
human_rights_un_urd_ahk_64kb_0034	d̪feːh
human_rights_un_urd_ahk_64kb_0035	ɑiːseː ɦr ʃxs kʋ ɟʝs pr koːiː fʋɟʝd̪ɑːriː kʔ ɑlz∅m eːɑːd̪ kɛːʔ ɟʝɑːeː bɛː ɡn∅∅ ʃmɑːr kɛː ɟʝɑːŋɛː kʔ ɦq ɦeː t̪ɑɔːqt̪eːkh ɑs pr kʰliː ɑːd̪ɑlt̪ mɛːn q∅noːn kɛː mt̪ɑbq ɟʝrm s∅bt̪ nɦ ɦʋ ɟʝɑːeː ɑoːr ɑseː ʔpɲj sfʔiː pɛːʃ krneː kʔ pʋr∅ muːqʕ nɦ d̪ɛːʔ ɟʝʔ tʃk∅ ɦʋ
human_rights_un_urd_ahk_64kb_0036	ksj ʃxs kʋ ksj ɑiːseː f∅l eː∅ froːɡzɑːʃt̪ kɛː bɳʔ pr ɟʝʋ ɑrt̪kʔb kɛː oːqt̪ qɔːmɛː eː∅ beːŋ ʔlɑːquː∅meː q∅noːn kɛː ɑnd̪r t̪ʕzjreː ɟʝrm ʃmɑːr ŋhjn kɛːʔ ɟʝ∅t̪∅ t̪ʰʔ ksj t̪ʕzjreː ɟʝrm mɛːn mɑxoːz ŋhjn kɛːʔ ɟʝɑːeː ɡʔ
human_rights_un_urd_ahk_64kb_0037	d̪feːh
human_rights_un_urd_ahk_64kb_0038	ksj ʃxs kɛː ɳɟʝeː znd̪ɡiː xʔŋɡeː znd̪ɡiː ɡʱrb∅r xt̪ oː kt̪ɑbt̪ mɛːn mɳ mɑːŋɛː t̪rɛːqɛː pr md̪ɑːxlt̪ nɦ kɛː ɟʝɑːeː ɡɛː ɑoːr nɦ ɦɛː ɑs kɛː ɑːzt̪ ɑoːr neːk ɳɑmɛː pr ɦmlɛː kɛː ɟʝɑːeːn ɡɛː ɦr ʃxs kʔ ɦq ɦeː kɦ q∅noːn ɑseː ɦmlɛː eː∅ md̪ɑːxlt̪ sɛː mɦfoːz rkʰɛː
human_rights_un_urd_ahk_64kb_0039	d̪feːh
human_rights_un_urd_ahk_64kb_0040	ɦr ʃxs kʔ ɦq ɦeː kɦ ɑseː ɦr rjɑst̪ kɛː ɦd̪oːd̪ kɛː ɑnd̪r nql oː ɦrkt̪ krneː ɑoːr skuːnt̪ ∅xt̪ɛːɑːr krneː kɛː ɑːzɑd̪ɛː ɦʋ
human_rights_un_urd_ahk_64kb_0041	ɦr ʃxs kʋ ɑs b∅t̪ kʔ ɦq ɦeː kɦ oːɦ mlk sɛː tʃl∅ ɟʝɑːeː tʃɑːɦɛː eːɦ mlk ɑs kʔ ɑːpɳʔ ɦʋ ɑoːr ∅seː t̪rh ɑseː mlk mɛːn oːɑps ɑː ɟʝɑːŋɛː kʔ b̤ɛː ɦq ɦeː
human_rights_un_urd_ahk_64kb_0042	d̪feːh
human_rights_un_urd_ahk_64kb_0043	ɦr ʃxs kʋ ɑːiːzɑ rsɑːɳiː sɛː d̪uːsrɛː mlkoːn mɛːn pn∅∅ ɖ̤oːɲɖɲɛː ɑoːr pn∅∅ ml ɟʝɑːeː t̪ʋ ɑs sɛː fɑːd̪h ∅ʈʰ∅ɳɛː kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0044	eːɦ ɦq ɑn eːd̪ʔlt̪j kʔrrɔː∅eːuːn sɛː btʃneː kɛː lɛː ʔst̪∅mɑːl mɛːn ŋhjn lɑːiːɑː ɟʝʔ skt̪∅ ɟʝʋ xɑːlsʔn ɣɛːr sjɑːseː ɟʝrɑːm eː∅ ɑiːseː ɑfoːɑl kɛː uːɟʝɦ sɛː ɑːml mɛːn ɑːt̪j ɦɛːn ɟʝʋ ɑqoːɑːm mt̪ɦd̪∅ kɛː mqɑsd̪ ɑoːr ʊsuːl kɛː xlɑːf ɦɛːn
human_rights_un_urd_ahk_64kb_0045	d̪feːh
human_rights_un_urd_ahk_64kb_0046	ɦr ʃxs kʋ qoːmeːt̪ kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0047	koːiː ʃxs mɦz h∅km kɛː mrzj pr ʔpɲj qoːmeːt̪ sɛː mɦroːm ŋhjn kɛːʔ ɟʝɑːeː ɡʔ ɑoːr ɑs kʋ qoːmeːt̪ t̪bd̪eːl krneː kʔ ɦq d̪iːŋɛː sɛː ʔɲkɑːr nɦ kɛːʔ ɟʝɑːeː ɡʔ
human_rights_un_urd_ahk_64kb_0048	d̪feːh
human_rights_un_urd_ahk_64kb_0049	b∅lɣ mrd̪oːn ɑoːr ʕuːrt̪ɔːn kʋ bɣiːr ksj ∅eːsɛː pɑbɳd̪ɛː kɛː ɟʝʋ nsl qoːmeːt̪ eː∅ mz∅b kɛː bɳʔ pr lɡʔiː ɟʝɑːeː ʃʔd̪ɛː beː∅∅ krneː ɑoːr ɡʱr bs∅ɳɛː kʔ ɦq ɦeː mrd̪oːn ɑoːr ʕuːrt̪ɔːn kʋ ɲkɑːɦ ∅zd̪ʋɑːɟʝiː znd̪ɡiː ɑoːr ɲkɑːɦ kʋ fsx krneː kɛː moː∅mlh mɛːn brɑbr kɛː ɦqoːq h∅sl ɦɛːn
human_rights_un_urd_ahk_64kb_0050	ɲkɑːɦ frɛːqɛːn kɛː pɔːrɛː ɑoːr ɑːzɑːd̪ rzɑːmɳd̪iː sɛː ɦʋ ɡʔ
human_rights_un_urd_ahk_64kb_0051	xɑŋd̪ɑɲ mʕɑʃreː kɛː ft̪rj ɑoːr bɳiːɑd̪eː ʔkʔj ɦeː ɑoːr oːɦ mʕɑʃreː ɑoːr rjɑst̪ d̪ʋŋɔːn kɛː t̪rf sɛː ɦfɑzt̪ kʔ ɦqd̪ɑr ɦeː
human_rights_un_urd_ahk_64kb_0052	d̪feːh
human_rights_un_urd_ahk_64kb_0053	ɦr ʔɲsɑŋ kʋ t̪ɲɦɑː eː∅ d̪uːsroːn sɛː ml kr ɟʝɑd̪ɑd̪ rkʰneː kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0054	ksj ʃxs kʋ zbrd̪st̪eː ɑs kɛː ɟʝɑd̪ɑd̪ sɛː mɦroːm ŋhjn kɛːʔ ɟʝɑːeː ɡʔ
human_rights_un_urd_ahk_64kb_0055	d̪feːh
human_rights_un_urd_ahk_64kb_0056	ɦr ʔɲsɑŋ kʋ ɑːzɑd̪ɛː fkr ɑːzɑd̪ɛː zmiːr ɑoːr ɑːzɑd̪ɛː mz∅b kʔ pʋr∅ ɦq ɦeː ɑs ɦq mɛːn mz∅b eː∅ ∅qɛːd̪ɛː kʋ t̪bd̪eːl krneː ɑoːr pblk mɛːn eː∅ ɳɟʝeː t̪ʋr pr t̪ɲɦɑː eː∅ d̪uːsroːn kɛː sɑːt̪ʰ ml ɟʝl kr ∅qɛːd̪ɛː kɛː t̪bleːɣ ɑːml ɑːbɑd̪t̪ ɑoːr mzhbj rsmeːn pɔːrɛː krneː kɛː ɑːzɑd̪ɛː b̤ɛː ʃ∅ml ɦeː
human_rights_un_urd_ahk_64kb_0057	d̪feːh
human_rights_un_urd_ahk_64kb_0058	ɦr ʃxs kʋ ʔpɲj rɑːeː rkʰneː ɑoːr ɑːz∅∅r rɑːeː kɛː ɑːzɑd̪ɛː kʔ ɦq h∅sl ɦeː ɑs ɦq mɛːn eːɦ ɑmr b̤ɛː ʃ∅ml ɦeː kɦ oːɦ ɑːzɑd̪ɛː kɛː sɑːt̪ʰ ʔpɲj rɑːeː q∅m kreː ɑoːr ɟʝs zriːʔɛː sɛː tʃɑːɦɛː bɣiːr mlkj srɦd̪oːn kʔ xiːɑl kɛː ɑːlm ɑoːr xj∅lɑt̪ kɛː t̪lɑːʃ kreː ɑːn∅eːn h∅sl kreː ɑoːr ɑn kɛː t̪bleːɣ kreː
human_rights_un_urd_ahk_64kb_0059	d̪feːh
human_rights_un_urd_ahk_64kb_0060	ɦr ʃxs kʋ prɑːmɲ t̪rɛːqɛː pr mlɲeː ɟʝlɲeː ɑoːr ɑːɳɟʝmŋeːn q∅m krneː kɛː ɑːzɑd̪ɛː kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0061	ksj ʃxs kʋ ksj ɑːɲɟʝmŋ mɛːn ʃ∅ml hoːŋɛː lɛː mɟʝboːr ŋhjn kɛːʔ ɟʝʔ skt̪∅
human_rights_un_urd_ahk_64kb_0062	d̪feːh
human_rights_un_urd_ahk_64kb_0063	ɦr ʃxs kʋ ʔpŋɛː mlk kɛː ɦkoːmt̪ mɛːn br∅h r∅st̪ eː∅ ɑːz∅d̪ʔɳh t̪ʋr pr mnt̪xb kɛː ɦuːeː nmɑːɳd̪ɔːn kɛː zriːʔɛː hsɦ liːŋɛː kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0064	ɦr ʃxs kʋ ʔpŋɛː mlk mɛːn srkʔriː mlɑːzmt̪ h∅sl krneː kʔ brɑbr kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0065	ʕuːʔm kɛː mrzj ɦkoːmt̪ kɛː ɑqt̪d̪ʔr kɛː bɳiːʔd̪ ɦʋ ɡɛː eːɦ mrzj uːqt̪ɑːn fuːqt̪ʔn ɑiːseː ɦqɛːqj ʔɲt̪xʔbɑːt̪ kɛː zriːʔɛː z∅ɦr kɛː ɟʝɑːeː ɡɛː ɟʝʋ eːɑːm ɑoːr msɑːʋiː rɑːeː d̪hŋd̪ɡeː sɛː ɦʋn ɡɛː ɑoːr ɟʝʋ xfjɦ oːoːʈ eː∅ ɑs kɛː msɑːʋiː ksj d̪uːsrɛː ɑːz∅d̪ʔɳh t̪reːq rɑːeː d̪hŋd̪ɡeː kɛː mt̪ɑbq ɑːml mɛːn ɑːɛːn ɡɛː
human_rights_un_urd_ahk_64kb_0066	d̪feːh
human_rights_un_urd_ahk_64kb_0067	mʕɑʃreː kɛː rkɲ kɛː heːsiːt̪ sɛː ɦr ʃxs kʋ mʕɑʃrt̪iː t̪hf∅z kʔ ɦq h∅sl ɦeː ɑoːr eːɦ ɦq b̤ɛː kɦ oːɦ mlk kɛː nzʔm ɑoːr oːsʔl kɛː mt̪ɑbq qɔːmɛː kʋʃʃ ɑoːr beːŋ ʔlɑːquː∅meː t̪∅ɑʋɲ sɛː ɑiːseː ɑːqt̪s∅d̪iː mʕɑʃrt̪iː ɑoːr sqɑft̪j ɦqoːq kʋ h∅sl kreː ɟʝʋ ɑs kɛː ɑːzt̪ ɑoːr ʃxseːt̪ kɛː ɑːz∅d̪ʔɳh nʃoːuːŋmɑː kɛː lɛː l∅zm ɦɛːn
human_rights_un_urd_ahk_64kb_0068	d̪feːh
human_rights_un_urd_ahk_64kb_0069	ɦr ʃxs kʋ k∅m k∅ɟʝ ruːzɡɑr kɛː ɑːz∅d̪ʔɳh ∅nt̪xɑb k∅m k∅ɟʝ kɛː mɲɑsb oː mʔqʋl ʃrɑːt̪ ɑoːr bɛː rʋzɡɑːriː kɛː xlɑːf t̪hf∅z kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0070	ɦr ʃxs kʋ ksj t̪freːq kɛː bɣiːr msɑːʋiː k∅m kɛː lɛː msɑːʋiː mʔɑːuːzeː kʔ ɦq ɦeː
human_rights_un_urd_ahk_64kb_0071	ɦr ʃxs ɟʝʋ k∅m krt̪∅ ɦeː oːɦ ɑiːseː mɲɑsb oː mʔqʋl mʃʔhreː kʔ ɦq rkʰt̪ɑː ɦeː ɟʝʋ xʋd̪ ɑs kɛː ɑoːr ɑs kɛː ɑ∅l oː ʕiːʔl kɛː lɛː bɑ∅zt̪ znd̪ɡiː kʔ zʔmɳ ɦʋ ɑoːr ɟʝs mɛːn ɑɡr zroːrɛː ɦʋ t̪ʋ mʕɑʃrt̪iː t̪hf∅z kɛː d̪uːsrɛː zreːɑːuːn sɛː ɑzɑːfɦ kɛːʔ ɟʝʔ skeː
human_rights_un_urd_ahk_64kb_0072	ɦr ʃxs kʋ ʔpŋɛː mfɑːd̪ kɛː btʃ∅ kɛː lɛː t̪ɟʝɑrt̪j ɑːɳɟʝmŋeːn q∅m krneː ɑoːr ɑs mɛːn ʃriːk hoːŋɛː kʔ ɦq h∅sl ɦeː
human_rights_un_urd_ahk_64kb_0073	d̪feːh
human_rights_un_urd_ahk_64kb_0074	ɦr ʃxs kʋ ɑːrɑːm ɑoːr frst̪ kʔ ɦq ɦeː ɟʝs mɛːn k∅m kɛː ɡʱnʈɔːn kɛː hd̪bŋd̪ɛː ɑoːr t̪ŋxuːʔ∅ kɛː oːlɑːoː∅ mqr∅r∅ oːqfʋn kɛː sɑːt̪ʰ t̪ɑːt̪jlɑt̪ b̤ɛː ʃ∅ml ɦɛːn
human_rights_un_urd_ahk_64kb_0075	d̪feːh
human_rights_un_urd_ahk_64kb_0076	ɦr ʃxs kʋ ʔpɲj ɑoːr ʔpŋɛː ɑ∅l oː ʕiːʔl kɛː sɦt̪ ɑoːr flɑh oː b∅bɔːd̪ kɛː lɛː mɲɑsb mʔiːɑr znd̪ɡiː kʔ ɦq ɦeː ɟʝs mɛːn xoːrɑk poːʃɑk mkʔŋ ɑoːr ɑːl∅ɟʝ kɛː sɦɔːlt̪jn ɑoːr d̪oːsriː zroːrɛː mʕɑʃrt̪iː mrɑɑːɑːt̪ ʃ∅ml ɦɛːn ɑoːr bɛː rʋzɡɑːriː beːm∅rɛː mʕzɔːreː bjuːɡeː bɽʱɑːpɑː eː∅ ɑn hɑlɑːt̪ mɛːn ruːzɡɑr sɛː mhroːmɛː ɟʝʋ ɑs kɛː qbz qd̪rt̪ sɛː b∅ɦr ɦʋn kɛː xlɑːf t̪ɦfz kʔ ɦq h∅sl ɦeː
human_rights_un_urd_ahk_64kb_0077	ztʃ∅∅ ɑoːr btʃ∅∅ x∅s t̪uːɟʝh ɑoːr ɑmd̪∅d̪ kɛː ɦqd̪ɑr ɦɛːn t̪mɑːm btʃeː xoː∅∅ oːɦ ʃʔd̪ɛː sɛː phleː pɛːd̪∅ ɦuːeː ɦʋn eː∅ ʃʔd̪ɛː kɛː b∅d̪ mʕɑʃrt̪iː t̪hf∅z sɛː eːks∅n t̪ʋr pr mst̪fiːd̪ ɦʋn ɡɛː
human_rights_un_urd_ahk_64kb_0078	d̪feːh
