human_rights_un_pl_km_64kb_0001	w
human_rights_un_pl_km_64kb_0017	ɔ̃ ɔɲ ɔˈabʲpxn̪aʐɛɲ rɔzumɛm i sumɛ̝ɲɛ̝m i pɔvʲɲɲ pɔstɛ̃pɔˈɨvatɕ vɔbɛts iˈɨ̃n̪ˈɨ̃n̪ɨx v duxu bratɛrstˈɨva
human_rights_un_pl_km_64kb_0018	rtɨkuw
human_rights_un_pl_km_64kb_0019	aʐdɨ tʂwɔvʲjˈɛ̝k pɔɕʲaˈidʑa vʂɨstkʲɛ praˈɨva i vɔlnɔɕtɕ z̪ˈɨvartɛ v ɲɲɛ̝jʂɛj ɛklˈat̪ratsji bɛz vʂɨ̃ɡlɛ̃pxn̪u na jakʲɛklvʲjˈɛ̝k ruʐɲtsɛ rasɨ klɔru pwtɕ jˈɛ̃nʂɛɨka vɨw̃z̪ɲaɲa pɔɡlɔ̃ɲdˈu pɔlitɨtʂɲɨx i iˈɨ̃n̪ˈɨ̃n̪ɨx narɔˈidʑɔvɔɕtɕ pɔxɔdzɛɲa spɔwɛtʂɲɛɡɔ majɔ̃ɲtku urɔdzɛɲa lub jakʲɛɡɔklvʲjˈɛ̝k iɲnɛɡɔ san̪u
human_rights_un_pl_km_64kb_0020	ɛ̝ vɔlˈɨ̃n̪ɔ pɔn̪apxn̪tɔ tʂɨɲtɕ ʐapxn̪nɛj ruʐɲtsɨ v z̪lˈɛʐˈɨ̃n̪ɔɕtɕ ɔd sɨtuatsji pɔlitɨtʂɲɛj praˈɨvˈɨ̃n̪ɛj lub miɛ̃dzɨnarɔˈidʑɔˈɨvɛj kraju lub ɔbʂaru dɔ kturɛɡɔ daɲa ɔs̪ːɔba pʐɨɲalˈɛʐɨ bɛz vʂɨ̃ɡlɛ̃pxn̪u na tɔ tʂɨ daɲɨ kraj lub ɔbʂar jɛst ɲɛ̝pɔˈidʑlɡw tʂɨ tɛʐ pɔdlɲtɕn̪ˈɔʐ sɨstɛmɔvʲ pɔvʲjˈɛ̝rɲtstˈɨva ɲɛ̝ ʐɔ̃ɲdʑ ɕɛ̃ amɔdʑɛ̝lɲɛ̝ lub jɛst v jakʲklvʲjˈɛ̝k spɔs̪ːub ɔɡraɲtʂɔˈɨ̃n̪ɨ v svɛj ɲɛ̝pɔpxn̪lɡwɔɕtɕ
human_rights_un_pl_km_64kb_0021	rtɨkuw
human_rights_un_pl_km_64kb_0022	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ ʐɨtɕa vɔlnɔɕtɕ i bɛw̃z̪pʲɛtʂɛɲstˈɨva svɛj ɔs̪ːɔbɨ
human_rights_un_pl_km_64kb_0023	rtɨkuw
human_rights_un_pl_km_64kb_0024	ɛ̝ vɔlˈɨ̃n̪ɔ ɲkɡɔ tʂɨɲtɕ ɲɛ̝vɔlɲkʲɛm aɲ nakwapxn̪atɕ na ɲkɡɔ swuˈɛʐɛˈabʲn̪ɔɕtɕ
human_rights_un_pl_km_64kb_0025	ɲɛ̝vɔlɲtstvɔ i xanˈidʑɛl ɲɛ̝vɔlɲkami sɔ̃ɲ z̪kaz̪ˈɨ̃n̪ɛ vɛ vʂɨstkʲx svɨx pɔsatɕax
human_rights_un_pl_km_64kb_0026	rtɨkuw
human_rights_un_pl_km_64kb_0027	ɛ̝ vɔlˈɨ̃n̪ɔ ɲkɡɔ tɔrturɔˈɨvatɕ aɲ karatɕ lub tʂaktɔˈɨvatɕ v spɔs̪ːub ɔkrutn̪ɨ ɲɛ̝ludzkʲ lub pɔɲʐajɔ̃ɲtsɨ
human_rights_un_pl_km_64kb_0028	rtɨkuw
human_rights_un_pl_km_64kb_0029	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ uw̃z̪n̪aˈɨvaɲa vʂɛ̃dʑɛ̝ jɛɡɔ ɔis̪ɔˈabʲɔˈɨvɔɕtɕ praˈɨvˈɨ̃n̪ɛj
human_rights_un_pl_km_64kb_0030	rtɨkuw
human_rights_un_pl_km_64kb_0031	ʂɨstsɨ sɔ̃ɲ rˈuɲ vɔbɛts praˈɨva i majɔ̃ɲ pravɔ bɛz jakʲɛjklvʲjˈɛ̝k ruʐɲtsɨ dɔ jˈɛɲakˈɨvɛj ɔxrɔɲɨ praˈɨvˈɨ̃n̪ɛj
human_rights_un_pl_km_64kb_0032	ʂɨstsɨ majɔ̃ɲ pravɔ dɔ jˈɛɲakˈɨvɛj ɔxrɔɲɨ pʐˈɛ jakɔ̃ɲklvʲjˈɛ̝k dɨis̪krmvʲiɲatsjɔ̃ɲ bˈɛ̃nˈidʑɔ̃ɲtsɔ̃ɲ pɔɡˈɨvawtsɛɲɛ̝m ɲɲɛ̝jʂɛj ɛklˈat̪ratsji i pʐˈɛ jakʲmklvʲjˈɛ̝k naraˈɛʐɛɲɛ̝m na akɔ̃ɲ dɨis̪krmiɲatsjɛ̃
human_rights_un_pl_km_64kb_0033	rtɨkuw
human_rights_un_pl_km_64kb_0034	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ is̪kutɛtʂɲɛɡɔ ɔpxn̪ˈɨvɔwˈɨvaɲa ɕɛ̃ dɔ kmpɛtɛˈɨ̃n̪tnɨx sɔ̃ɲdˈu krajɔvɨx pʐɛtɕv tʂɨˈɨ̃n̪ɔm san̪ɔvʲjˈɔ̃tsm pɔɡˈɨvawtsɛɲɛ̝ pɔdsaˈɨvɔvɨx prav pʐɨʂɨ̃naˈɨ̃n̪ɨx mu pʐɛz kɲstɨtutsjɛ̃ lub pʐɛz pravɔ
human_rights_un_pl_km_64kb_0035	rtɨkuw
human_rights_un_pl_km_64kb_0036	ikɡɔ ɲɛ̝ vɔlˈɨ̃n̪ɔ amɔvɔlɲɛ̝ arɛʂtɔˈɨvatɕ z̪tʂʂɨ̃matɕ lub vɨɡn̪atɕ z kraju
human_rights_un_pl_km_64kb_0037	rtɨkuw
human_rights_un_pl_km_64kb_0038	aʐdɨ tʂwɔvʲjˈɛ̝k ma na ˈɨvarun̪kax tsawkvʲtɛj rˈuˈɨ̃n̪ɔɕtɕ pravɔ abɨ pʐɨ rɔʂɛstʐɨɲtɕn̪ˈɔʐɲu ɔ jɛɡɔ praˈɨvax i zɔbɔvʲjˈɔ̃w̃z̪aɲax lub ɔ z̪apxn̪n̪ɔɕtɕ vɨs̪ːuˈɨvanɛɡɔ pʐɛtɕv ɲɛ̝mu ɔis̪karˈɛʐɛɲa ɔ pɔpɛwɲɛ̝ɲɛ̝ pʐɛstɛ̃pstˈɨva bɨtɕ swuxaɲm spravʲˈɛlivʲjˈɛ̝ i publvʲitʂɲɛ̝ pʐɛz ɲɛ̝z̪lˈɛʐn̪ɨ i bɛzstʂɔˈɨ̃n̪ˈɨ̃n̪ɨ sɔ̃ɲd
human_rights_un_pl_km_64kb_0039	rtɨkuw
human_rights_un_pl_km_64kb_0040	aʐdɨ tʂwɔvʲjˈɛ̝k ɔis̪karʐɔˈɨ̃n̪ɨ ɔ pɔpɛwɲɛ̝ɲɛ̝ pʐɛstɛ̃pstˈɨva ma pravɔ abɨ uzˈɨ̃n̪aˈɨvanɔ ɡɔ z̪ ɲɛ̝vʲnn̪ɛɡɔ dɔputɨ dɔpukʲ ɲɛ̝ uɔvɔdɲ mu ɕɛ̃ vʲn̪ɨ zɡɔdɲɛ̝ z pravɛm pɔdtʂas publitʂɲɛɡɔ prɔtsɛs̪ːu v kturm z̪pɛvɲɔn̪ɔ mu vʂɨstkʲɛ kɲɛ̝tʂɲɛ ɕrɔdkʲ ɔbrɔn̪ɨ
human_rights_un_pl_km_64kb_0041	ikt ɲɛ̝ mɔˈɛʐɛ bɨtɕ is̪kaz̪n̪ɨ z̪ pʐɛstɛ̃pstˈɨvɔ z pɔvɔpxn̪u dʑawaɲa lub z̪ɲɛ̝xaɲa ɲɛ̝ san̪ɔvʲjˈɔ̃tsɛɡɔ v xvʲli jɛɡɔ pxn̪ɔknaɲa pʐɛstɛ̃pstˈɨva vˈɛwuɡ praˈɨva krajɔvɛɡɔ lub mvʲiˈɛ̃ndʑɨɲarɔdɔvɛɡɔ
human_rights_un_pl_km_64kb_0042	ɛ̝ vɔlˈɨ̃n̪ɔ akˈɛʐɛ vmɛ̝ʐatɕ karɨ vɨʐʂɛj ɲʐ a ktura bɨwa pʐɛvʲˈidʑɛ̝ana v xvʲli pɔpɛwɲɛ̝ɲa pʐɛstɛ̃pstˈɨva
human_rights_un_pl_km_64kb_0043	rtɨkuw
human_rights_un_pl_km_64kb_0044	ɛ̝ vɔlˈɨ̃n̪ɔ in̪ɡɛrɔˈɨvatɕ amɔvɔlɲɛ̝ v tʂɨjɛklvʲjˈɛ̝k ʐɨtɕɛ prɨˈɨvatˈɨ̃n̪ɛ rɔdʑɲɲɛ dɔmɔˈɨvɛ aɲ v jɛɡɔ krɛspɔˈɨ̃n̪ˈidʑɛˈɨ̃n̪tsjɛ̃ aɲ tɛʐ uvwatʂatɕ jɛɡɔ xɔˈɨ̃n̪ɔrɔvʲ lub dɔbrɛmu imɛ̝ɲu
human_rights_un_pl_km_64kb_0045	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ ɔxrɔɲɨ praˈɨvˈɨ̃n̪ɛj pʐɛtɕvk akʲɛj iˈɨ̃n̪ɡɛrɛˈɨ̃n̪tsji lub uvwatʂaɲu
human_rights_un_pl_km_64kb_0046	rtɨkuw
human_rights_un_pl_km_64kb_0047	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ svɔˈabʲɔdˈɨ̃n̪ɛɡɔ pɔruʂaɲa ɕɛ̃ i vɨbɔru mɛ̝jstsa z̪mɛ̝ʂkaɲa v ɡraɲtsax kaˈɛʐˈidʑɛɡɔ aɲstˈɨva
human_rights_un_pl_km_64kb_0048	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ ɔpuɕtɕtɕ jakʲklvʲjˈɛ̝k kraj vwɔ̃ɲtʂajɔ̃ɲts v tɔ svuj vwasˈɨ̃n̪ɨ i pɔvrutɕtɕ dɔ svɛɡɔ kraju
human_rights_un_pl_km_64kb_0049	rtɨkuw
human_rights_un_pl_km_64kb_0050	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ ubɛ̝ɡatɕ ɕɛ̃ ɔ aʂɨ̃ɨl i kʐɨstatɕ z ɲɛ̝ɡɔ v iˈɨ̃n̪ˈɨ̃n̪m kraju v radʑɛ pʐɛˈɨɕlˈat̪pxn̪ɔˈɨvaɲa
human_rights_un_pl_km_64kb_0051	ɛ̝ mɔʐɲa pɔvɔwˈɨvatɕ ɕɛ̃ na tɔ pravɔ v pʐɨˈɔpadku ɕtɕɲtɕn̪ˈɔʐɲa vʂtʂɛ̃tɛɡɔ ʐɛtʂɨvʲɕtɕɛ z pɔvɔpxn̪u pɔpɛwɲɛ̝ɲa pʐɛstɛ̃pstˈɨva pɔspɔlitɛɡɔ lub tʂɨn̪u spʐɛtʂɲɛɡɔ z tsɛlˈat̪mi i z̪apxn̪ami rɲtɕn̪ˈɔʐɲz̪tsji arɔdˈu jˈɛn̪ɔtʂɔn̪ɨx
human_rights_un_pl_km_64kb_0052	rtɨkuw
human_rights_un_pl_km_64kb_0053	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ pɔɕʲaˈidʑaɲa ɔbɨˈɨvatɛlstˈɨva
human_rights_un_pl_km_64kb_0054	ɛ̝ vɔlˈɨ̃n̪ɔ ɲkɡɔ pɔzbavʲatɕ amɔvɔlɲɛ̝ ɔbɨˈɨvatɛlstˈɨva aɲ ɲkmu ɔdmavʲatɕ praˈɨva dɔ zmianɨ ɔbɨˈɨvatɛlstˈɨva
human_rights_un_pl_km_64kb_0055	rtɨkuw
human_rights_un_pl_km_64kb_0056	ɛ̃ʐtʂɨʑɲ i kbɛ̝tɨ bɛz vʂɨ̃ɡlɛ̃pxn̪u na jakʲɛklvʲjˈɛ̝k ruʐɲtsɛ rasɨ narɔˈidʑɔvɔɕtɕ lub vɨw̃z̪ɲaɲa majɔ̃ɲ pravɔ pɔ ɔɕʲˈɔ̃ŋɡɲɛ̃tɕu pɛwɲɔltˈɨ̃n̪ɔɕtɕ dɔ z̪ˈɨvartɕa mawˈɛʐɛɲstˈɨva i z̪wɔˈɛʐɛɲa rɔdʑɲɨ
human_rights_un_pl_km_64kb_0057	ajɔ̃ɲ ɔɲ rˈuɲɛ praˈɨva v ɔpxn̪ɲɛ̝ɕɛɲu dɔ z̪vʲjˈɛ̝raɲa mawˈɛʐɛɲstˈɨva pɔdtʂas jɛɡɔ tʂˈɨvaɲa i pɔ jɛɡɔ usaɲu
human_rights_un_pl_km_64kb_0058	awˈɛʐɛɲstvɔ mɔˈɛʐɛ bɨtɕ z̪ˈɨvartɛ jˈɛɨɲɛ̝ z̪ svɔbɔˈidʑɲɛ̝ vɨraʐɔˈɨ̃n̪ɔ̃ɲ pɛwn̪ɔ̃ɲ zɡɔpxn̪ɔ̃ɲ pʐɨʂwx mawʐɔn̪kˈu
human_rights_un_pl_km_64kb_0059	ɔdʑɲa jɛst naturaln̪ɔ̃ɲ i pɔpxn̪savɔvɔ̃ɲ kmurkɔ̃ɲ spɔwɛtʂɛɲstˈɨva i ma pravɔ dɔ ɔxrɔɲɨ zɛ stʂɔn̪ɨ spɔwɛtʂɛɲstˈɨva i aɲstˈɨva
human_rights_un_pl_km_64kb_0060	rtɨkuw
human_rights_un_pl_km_64kb_0061	aʐdɨ tʂwɔvʲjˈɛ̝k z̪rˈun̪ɔ am jak i vɛis̪puw z iˈɨ̃n̪ˈɨ̃n̪mi ma pravɔ dɔ pɔɕʲaˈidʑaɲa vwasˈɨ̃n̪ɔɕtɕ
human_rights_un_pl_km_64kb_0062	ɛ̝ vɔlˈɨ̃n̪ɔ ɲkɡɔ amɔvɔlɲɛ̝ pɔzbavʲatɕ jɛɡɔ vwasˈɨ̃n̪ɔɕtɕ
human_rights_un_pl_km_64kb_0063	rtɨkuw
human_rights_un_pl_km_64kb_0064	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ vɔlnɔɕtɕ mˈɨɕli sumɛ̝ɲa i vɨw̃z̪ɲaɲa
human_rights_un_pl_km_64kb_0065	pravɔ tɔ ɔbɛjmujɛ svɔbɔdɛ̃ zmianɨ vɨw̃z̪ɲaɲa lub vʲarɨ ɔraz svɔbɔdɛ̃ ɡwɔʂɛɲa svɛɡɔ vɨw̃z̪ɲaɲa lub vʲarɨ bɔ̃ɲdʑ indɨvʲˈidʑualɲɛ̝ bɔ̃ɲdʑ vɛis̪puw z iˈɨ̃n̪ˈɨ̃n̪mi ludʑmi publvʲitʂɲɛ̝ i prɨˈɨvatɲɛ̝ pɔpʐɛz nautʂaɲɛ̝ praktɨkˈɨvaɲɛ̝ upravʲaɲɛ̝ kultu i pʐɛstʐɛɲtɕn̪ˈɔʐɲɛ̝ ɔbɨtʂajˈu
human_rights_un_pl_km_64kb_0066	rtɨkuw
human_rights_un_pl_km_64kb_0067	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ vɔlnɔɕtɕ ɔpʲɲi i vɨraʐaɲa jɛj
human_rights_un_pl_km_64kb_0068	pravɔ tɔ ɔbɛjmujɛ svɔbɔdɛ̃ pɔɕʲaˈidʑaɲa ɲɛ̝z̪lˈɛʐɲɛj ɔpʲɲi pɔʂukʲˈɨvaɲa ɔtʂʂɨ̃mɨˈɨvaɲa i rɔʂɛpɔvʂɛxɲaɲa iˈɨ̃n̪fɔrmatsji i pɔɡlɔ̃ɲdˈu vʂɛlkʲmi ɕrɔdkami bɛz vʂɨ̃ɡlɛ̃pxn̪u na ɡraɲtsɛ
human_rights_un_pl_km_64kb_0069	rtɨkuw
human_rights_un_pl_km_64kb_0070	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ spɔkjn̪ɛɡɔ zɡrɔmadzaɲa i stɔˈɨvaʐɨʂaɲa ɕɛ̃
human_rights_un_pl_km_64kb_0071	ikɡɔ ɲɛ̝ mɔʐɲa zmuʂatɕ dɔ nalˈɛʐɛɲa dɔ jakʲɛɡɔɕ stɔˈɨvaʐɨʂɛɲa
human_rights_un_pl_km_64kb_0072	rtɨkuw
human_rights_un_pl_km_64kb_0073	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ utʂɛstɲtʂɛɲa v ʐɔ̃ɲdzɛɲu svm krajɛm bɛʂɛpɔɕrˈɛɲɔ lub pɔpʐɛz svɔbɔˈidʑɲɛ̝ vɨbranɨx pʐˈɛis̪avʲtɕɛli
human_rights_un_pl_km_64kb_0074	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ rˈunɛɡɔ dɔstɛ̃pu dɔ swuˈɛʐˈabʲɨ puˈabʲlitʂɲɛj v svm kraju
human_rights_un_pl_km_64kb_0075	ɔlˈat̪ luu jɛst pɔpxn̪savɔ̃ɲ vwadzɨ ʐɔ̃ɲˈidʑu
human_rights_un_pl_km_64kb_0076	vɔlˈat̪ a vɨraʐa ɕɛ̃ v pʐɛprɔˈɨvadʑan̪ɨx ɔkrɛis̪ɔvɔ ʐɛtɛlnɨx vɨbɔrax ɔˈɔpartɨx na z̪adʑɛ̝ pɔvʂɛxn̪ɔɕtɕ rˈuˈɨ̃n̪ɔɕtɕ i ajnɔɕtɕ lub na iˈɨ̃n̪ɲɛj rˈun̪ɔʐɛ̃pxn̪ɲɛj prɔtsˈɛuʐɛ z̪pɛvɲajɔ̃ɲtsɛj vɔlˈɨ̃n̪ɔɕtɕ vɨbɔrˈu
human_rights_un_pl_km_64kb_0077	rtɨkuw
human_rights_un_pl_km_64kb_0078	aʐdɨ tʂwɔvʲjˈɛ̝k ma jak tʂwɔn̪ɛk spɔwɛtʂɛɲstˈɨva pravɔ dɔ ubɛzpʲɛtʂɛɲ spɔwɛtʂɲɨx
human_rights_un_pl_km_64kb_0079	ma rˈuɲɛ̝ʐ pravɔ dɔ uʐɛtʂɨvʲstɲaɲa pɔpʐɛz vɨɕʲwɛk narɔpxn̪ɔˈɨvɨ i vspuwpratsɛ̃ miɛ̃dʑɨˈɨ̃n̪arɔˈidʑɔˈɨvɔ̃ɲ ɔraz zɡɔdɲɛ̝ z ɔrɲtɕn̪ˈɔʐɲz̪tsjɔ̃ɲ i z̪sɔˈabʲami kaˈɛʐˈidʑɛɡɔ aɲstˈɨva svɨx prav ɡɔis̪pɔˈidʑartʂɨx spɔwɛtʂɲɨx i kulturalɲɨx ɲɛ̝ʂɛbɛ̃ˈidʑnɨx dlˈat̪ jɛɡɔ ɡɔˈidʑnɔɕtɕ i svɔˈabʲɔdˈɨ̃n̪ɛɡɔ rɔzvɔju jɛɡɔ ɔis̪ɔˈabʲɔˈɨvɔɕtɕ
human_rights_un_pl_km_64kb_0080	rtɨkuw
human_rights_un_pl_km_64kb_0081	aʐdɨ tʂwɔvʲjˈɛ̝k ma pravɔ dɔ pratsɨ dɔ svɔˈabʲɔdˈɨ̃n̪ɛɡɔ vɨbɔru pratsɨ dɔ ɔdpɔvʲˈɛɲx i z̪ˈidʑɔˈɨvalˈat̪jɔ̃ɲtsɨx ˈɨvarunkˈu pratsɨ ɔraz dɔ ɔxrɔɲɨ pʐˈɛ bɛʂɛrɔbɔtɕɛm
human_rights_un_pl_km_64kb_0082	aʐdɨ tʂwɔvʲjˈɛ̝k bɛz vʂɨ̃ɡlɛ̃pxn̪u na jakʲɛklvʲjˈɛ̝k ruʐɲtsɛ ma pravɔ dɔ rˈuˈɨ̃n̪ɛj pwatsɨ z̪ rˈun̪ɔ̃ɲ pratsɛ̃
