human_rights_03_eng_jkb_64kb_0001	#ni.vɛɹ.sl̩# #ik.lɚ.ˈei.ʃn̩# #əv# #ˈʌmn̩# ˌɑɪts#
human_rights_03_eng_jkb_64kb_0029	#ll# #ˈɑɹ# #ˈi.kwl̩# #bɪ.fˈoʊɹ# #ði# #lɑ# #ˈænd# #ˈɑɹ# #ɛn.tˈɑɪ.ɾl̩d# #wɪ.ɵˈaʊt# #ˈɛ.ni# #dɪs.kɹˌɪ.mə.nˈei.ʃn̩# #tˈoʊ# #ˈi.kwl̩# #pɹə.tˈɛk.ʃn̩# #əv# #ði# #lˈɔ#
human_rights_03_eng_jkb_64kb_0030	#ll# #ˈɑɹ# #ɛn.tˈɑɪ.ɾl̩d# #tˈoʊ# #ˈi.kwl̩# #pɹə.tˈɛk.ʃn̩# #ə.gˈɛnst# #ˈɛ.ni# #dɪs.kɹˌɪ.mə.nˈei.ʃn̩# #ˈɪn# #vɑɪ.ə.lˈei.ʃn̩# #əv# #ðɪs# #ik.lɚ.ˈei.ʃn̩# #ˈænd# #ə.gˈɛnst# #ˈɛ.ni# #ɪn.sˈɑɪt.mn̩t# #tˈoʊ# #sək# #dɪs.kɹˌɪ.mə.nˈei.ʃə.n#
human_rights_03_eng_jkb_64kb_0031	#ɹ.ɾɪ.kl̩# .ˌeit#
human_rights_03_eng_jkb_64kb_0032	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #ən# #ɪ.fˈɛk.tɪv# #ɹˈɛ.mɪ.di# #bˈɑɪ# #ði# #kˈɑm.pɪ.tn̩t# #nˈæ.ʃə.nl̩# #tɹɑɪ.bjˈu.nl̩z# #fɚ# #ˈæks# #vˈɑɪ.ə.lei.tɪŋ# #ði# #fˌʌn.də.mˈɛn.tl̩# #ɹˈɑɪts# #gɹˈæ.nɪd# #hˈɪm# #bˈɑɪ# #ði# #kˌɑns.tɪ.tˈu.ʃn̩# #əɹ# #bˈɑɪ# #lˈɔ#
human_rights_03_eng_jkb_64kb_0033	#ɹ.ɾɪ.kl̩#
human_rights_03_eng_jkb_64kb_0034	# #wn̩# #ʃˈæl# #bi# #səb.dʒˈɛk.tɪd# #tˈoʊ# #ˈɑɹ.bɪ.tɹˌɛ.ɹi# #ə.ɹˈɛst# #dɪ.tˈɛn.ʃn̩# #əɹ# #ˈɛk.sˌɑɪl##
human_rights_03_eng_jkb_64kb_0035	#ɹ.ɾɪ.kl̩# tˌɛn#
human_rights_03_eng_jkb_64kb_0036	#vɚ.jˌoʊn# #ɪz# #ɛn.tˈɑɪ.ɾl̩d# #ˈɪn# #fˈʊl# #ɪk.wˈɑ.lə.ti# #tˈoʊ# # #fˈɛɹ# #ˈænd# #pˈʌ.blɪk# #hˈi.ɹɪŋ# #bˈɑɪ# #ən# #ˌɪn.dɪ.pˈɛn.dn̩t# #ˈænd# #ɪm.pˈɑɹ.ʃl̩# #tɹɑɪ.bjˈu.nl̩# #ˈɪn# #ði# #dɪ.tˈɝ.mə.nˈei.ʃn̩# #əv# #hɪz# #ɹˈɑɪts# #ˈænd# #ˌɑb.lə.gˈei.ʃn̩z# #ˈænd# #əv# #ˈɛ.ni# #kɹˈɪ.mə.nl̩# #tʃˈɑɹdʒ# #ə.gˈɛnst# #hˈɪˈɛm#
human_rights_03_eng_jkb_64kb_0037	#ɹ.ɾɪ.kl̩# tˈiwˈʌn#
human_rights_03_eng_jkb_64kb_0038	#vɚ.jˌoʊn# #tʃˈɑɹdʒd# #wɪɵ# # #pˈi.nl̩# #ə.fˈɛns# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #bi# #pɹi.zˈumd# #ˈɪ.nə.sn̩t# #ən.tl̩# #pɹˈuvd# #gˈɪl.ti# #ə.kˈɑɹ.dɪŋ# #tˈoʊ# #lɑ# #ˈɪn# # #pˈʌ.blɪk# #tɹˈɑɪ.l̩# #ˈæt# #ɪtʃ# #h# #hˈæz# #hˈæd# #ˈɔl# #ði# #gˌæ.ɹn̩.tˈiz# #nˈɛ.sə.sˌɛ.ɹi# #fɚ# #hɪz# #dˌɪ.fˌɛns#
human_rights_03_eng_jkb_64kb_0039	# #wn̩# #ʃˈæl# #bi# #hɛld# #gˈɪl.ti# #əv# #ˈɛ.ni# #pˈi.nl̩# #ə.fˈɛns# #ˈɑn# #ə.kˈaʊnt# #əv# #ˈɛ.ni# #ˈækt# #əɹ# #oʊ.mˈɪ.ʃn̩# #ɪtʃ# #dɪd# #nˈɑt# #kˈɑn.stə.tˌut# # #pˈi.nl̩# #ə.fˈɛns# #ˈʌn.dəɹ# #nˈæ.ʃə.nl̩# #əɹ# #ˌɪn.təɹ.nˈæ.ʃə.nl̩# #lɑ# #ˈæt# #ði# #tɑɪm# #hwˈɛn# #ˈɪt# #wˈɔz# #kə.mˈɪ.ti.d#
human_rights_03_eng_jkb_64kb_0040	#əɹ# #ʃˈæl# # #hˈɛ.vi.ɚ# #pˈɛ.nl̩.ti# #bi# #ɪm.pˈoʊzd# #ðˈæn# #ði# #wn̩# #ðˈæt# #wˈɔz# #ˈæ.plə.kə.bl̩# #ˈæt# #ði# #tɑɪm# #ði# #pˈi.nl̩# #ə.fˈɛns# #wˈɔz# #kə.mˈɪ.ti.d#
human_rights_03_eng_jkb_64kb_0041	#ɹ.ɾɪ.kl̩# ˈɛlv#
human_rights_03_eng_jkb_64kb_0042	# #wn̩# #ʃˈæl# #bi# #səb.dʒˈɛk.tɪd# #tˈoʊ# #ˈɑɹ.bɪ.tɹˌɛ.ɹi# #ˌɪn.tɚ.fˈɪ.ɹn̩s# #wɪɵ# #hɪz# #pɹˈɑɪ.və.si# #fˈæ.mə.li# #hoʊm# #əɹ# #kˌɑ.ɹɪ.spˈɑn.dn̩s# #nˈɔɹ# #tˈoʊ# #ə.tˈæks# #ə.pˈɑn# #hɪz# #ˈɑ.nəɹ# #ˈænd# #ɹˌɛ.pjə.tˈei.ʃə.n#
human_rights_03_eng_jkb_64kb_0043	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #ði# #pɹə.tˈɛk.ʃn̩# #əv# #ði# #lɑ# #ə.gˈɛnst# #sək# #ˌɪn.tɚ.fˈɪ.ɹn̩s# #əɹ# #ə.tˈækz#
human_rights_03_eng_jkb_64kb_0044	#ɹ.ɾɪ.kl̩# tˈin#
human_rights_03_eng_jkb_64kb_0045	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #fɹˈi.dəm# #əv# #mˈuv.mn̩t# #ˈænd# #ɹˈɛ.zɪ.dn̩s# #wɪð.ˈɪn# #ði# #bˈɔɹ.dɚz# #əv# ˈitʃ# #tə.tˈei#
human_rights_03_eng_jkb_64kb_0046	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #liv# #ˈɛ.ni# #kˈʌn.tɹi# #ɪn.klˈu.dɪŋ# #hɪz# #ˈoʊn# #ˈænd# #tˈoʊ# #ɹi.tˈɝn# #tˈoʊ# #hɪz# #kˈʌn.tɹi#
human_rights_03_eng_jkb_64kb_0047	#ɹ.ɾɪ.kl̩# ɹ.tˈin#
human_rights_03_eng_jkb_64kb_0048	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #sˈik# #ˈænd# #tˈoʊ# #ɛn.dʒˈɔi# #ˈɪn# #ˈʌ.ðəɹ# #kˈʌn.tɹiz# #ə.sˈɑɪ.ləm# #fɚm# #pˈɝ.sək.jˈu.ʃn̩#
human_rights_03_eng_jkb_64kb_0049	#hɪz# #ɹˈɑɪt# #mˈei# #nˈɑt# #bi# #ɪn.vˈoʊkt# #ˈɪn# #ði# #keis# #əv# #pɹˌɑ.sək.jˈu.ʃn̩z# #dʒˈɛn.jə.wn̩.li# #ɚ.ˈɑɪ.zɪŋ# #fɚm# #nɑn.pə.lˈɪ.ɾɪ.kl̩# #kɹˈɑɪmz# #əɹ# #fɚm# #ˈæks# #kˈɑn.tɹɛ.ɹi# #tˈoʊ# #ði# #pˈɝɹ.pə.s# #ˈænd# #pɹˈɪn.sə.pl̩z# #əv# #ði# #nˌɑɪ.tˌɪd# #ˈæ.ʃn̩z#
human_rights_03_eng_jkb_64kb_0050	#ɹ.ɾɪ.kl̩# .tfˌɑɪv#
human_rights_03_eng_jkb_64kb_0051	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# # #nˌæ.ʃə.nˈæ.lɪ.ti#
human_rights_03_eng_jkb_64kb_0052	# #wn̩# #ʃˈæl# #bi# #ˈɑɹ.bɪ.tɹˌɛ.ɹə.li# #dɪp.ɹˈɑɪvd# #əv# #hɪz# #nˌæ.ʃə.nˈæ.lɪ.ti# #nˈɔɹ# #dɪ.nid# #ði# #ɹˈɑɪt# #tˈoʊ# #tʃˈeindʒ# #hɪz# #nˌæ.ʃə.nˈæ.lɪ.ti#
human_rights_03_eng_jkb_64kb_0053	#ɹ.ɾɪ.kl̩# ˈɪks.tˈin#
human_rights_03_eng_jkb_64kb_0054	n̩# #ˈænd# #wˈɪ.mɪn# #əv# #fˈʊl# #eidʒ# #wɪ.ɵˈaʊt# #ˈɛ.ni# #lˈɪ.mɪ.tˈei.ʃn̩# #du# #tˈoʊ# #ɹeis# #nˌæ.ʃə.nˈæ.lɪ.ti# #əɹ# #ɹɪ.lˈɪ.dʒn̩# #hæv# #ði# #ɹˈɑɪt# #tˈoʊ# #mˈæ.ɹi# #ˈænd# #tˈoʊ# #fˈaʊnd# # #fˈæ.mə.li#
human_rights_03_eng_jkb_64kb_0055	#hˈei# #ˈɑɹ# #ɛn.tˈɑɪ.ɾl̩d# #tˈoʊ# #ˈi.kwl̩# #ɹˈɑɪts# #ˈæz# #tˈoʊ# #mˈi.ɹɑdʒ# #dˈʊ.ɹɪŋ# #mˈi.ɹɑdʒ# #ˈænd# #ˈæt# #ˈɪts# #dˌɪ.sə.lˈu.ʃn̩#
human_rights_03_eng_jkb_64kb_0056	#ˈæ.ɹɪdʒ# #ʃˈæl# #bi# #ˈɛn.tɚd# #ˈɪn.tu# #ˈoʊn.li# #wɪɵ# #ði# #fɹˈi# #ˈænd# #fˈʊl# #kn̩.sˈɛnt# #əv# #ði# #ɪn.tˈɛn.dɪŋ# #spˈaʊ.zə.sɪz#
human_rights_03_eng_jkb_64kb_0057	#h# #fˈæ.mə.li# #ɪz# #ði# #nˈæ.tʃə.ɹl̩# #ˈænd# #fˌʌn.də.mˈɛn.tl̩# #gɹˈup# #jˈu.nɪt# #əv# #sə.sˈɑɪ.ɪ.ti# #ˈænd# #ɪz# #ɛn.tˈɑɪ.ɾl̩d# #tˈoʊ# #pɹə.tˈɛk.ʃn̩# #bˈɑɪ# #sə.sˈɑɪ.ɪ.ti# #ˈænd# #ði# #tə.tˈei#
human_rights_03_eng_jkb_64kb_0058	#ɹ.ɾɪ.kl̩# .tvˌɪn#
human_rights_03_eng_jkb_64kb_0059	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #ˈoʊn# #pɹˈɑ.pɚ.ti# #ə.lˈoʊn# #ˈæz# #wˈɛl# #ˈæz# #ˈɪn# #ə.sˌoʊ.si.ˈei.ʃn̩# #wɪɵ# #ˈʌ.ðəɹz#
human_rights_03_eng_jkb_64kb_0060	# #wn̩# #ʃˈæl# #bi# #ˈɑɹ.bɪ.tɹˌɛ.ɹə.li# #dɪp.ɹˈɑɪvd# #əv# #hɪz# #pɹˈɑ.pɚ.t#wˈɑɪ#
human_rights_03_eng_jkb_64kb_0061	#ɹ.ɾɪ.kl̩# tˈi.ˌeit#
human_rights_03_eng_jkb_64kb_0062	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #fɹˈi.dəm# #əv# #ɵɑt# #kˈɑn.ʃn̩s# #ˈænd# #ɹɪ.lˈɪ.dʒn̩#
human_rights_03_eng_jkb_64kb_0063	#ðɪs# #ɹˈɑɪt# #ɪn.klˈudz# #fɹˈi.dəm# #tˈoʊ# #tʃˈeindʒ# #hɪz# #ɹɪ.lˈɪ.dʒn̩# #əɹ# #bɪ.lˈif# #ˈænd# #fɹˈi.dəm# #ˈi.ðɚ# #ə.lˈoʊn# #əɹ# #ˈɪn# #kə.mjˈu.nɪ.ti# #wɪɵ# #ˈʌ.ðəɹz# #ˈænd# #ˈɪn# #pˈʌ.blɪk# #əɹ# #pɹˈɑɪ.vɪt# #tˈoʊ# #mˈæ.nə.fˌɛst# #hɪz# #ɹɪ.lˈɪ.dʒn̩# #əɹ# #bɪ.lˈif# #ˈɪn# #tˈi.tʃɪŋ# #pɹˈæk.tɪs# #wˈɝ.ʃɪp# #ˈænd# #əb.zˈɝ.vn̩.sɪ#
human_rights_03_eng_jkb_64kb_0064	#ɹ.ɾɪ.kl̩# wˈʌn#
human_rights_03_eng_jkb_64kb_0065	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #fɹˈi.dəm# #əv# #ə.pˈɪn.jn̩# #ˈænd# #ɪk.spɹˈɛ.ʃn̩#
human_rights_03_eng_jkb_64kb_0066	#ðɪs# #ɹˈɑɪt# #ɪn.klˈudz# #fɹˈi.dəm# #tˈoʊ# #hˈoʊld# #ə.pˈɪn.jn̩z# #wɪ.ɵˈaʊt# #ˌɪn.tɚ.fˈɪ.ɹn̩s# #ˈænd# #tˈoʊ# #sˈik# #ɹi.sˈiv# #ˈænd# #ɪm.pˈɑɹt# #ˌɪn.fəɹ.mˈei.ʃn̩# #ˈænd# #ɑɪ.dˈi.əz# #ɵɹu# #ˈɛ.ni# #mˈi.di.ə# #ˈænd# #ɹɪ.gˈɑɹd.lɪs# #əv# #fɹn̩.tˈɪɹz#
human_rights_03_eng_jkb_64kb_0067	#ɹ.ɾɪ.kl̩# .tn#
human_rights_03_eng_jkb_64kb_0068	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #fɹˈi.dəm# #əv# #pˈis.fl̩# #ə.sˈɛm.bli# #ˈænd# #ə.sˌoʊ.si.ˈei.ʃn̩#
human_rights_03_eng_jkb_64kb_0069	# #wn̩# #mˈei# #bi# #kəm.pˈɛld# #tˈoʊ# #bɪ.lˈɔŋ# #tˈoʊ# #ən# #ə.sˌoʊ.si.ˈei.ʃn̩#
human_rights_03_eng_jkb_64kb_0070	#ɹ.ɾɪ.kl̩# .twˈʌn#
human_rights_03_eng_jkb_64kb_0071	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #tˈoʊ# #teik# #pɑɹt# #ˈɪn# #ði# #gˈʌ.vəɹn.mn̩t# #əv# #hɪz# #kˈʌn.tɹi# #dɚ.ˈɛkt.li# #əɹ# #ɵɹu# #fɹˈi.li# #tʃˈoʊ.zn̩# #ɹˌɛ.pɹɪ.zˈɛn.tə.tɪvz#
human_rights_03_eng_jkb_64kb_0072	#vɚ.jˌoʊn# #hˈæz# #ði# #ɹˈɑɪt# #əv# #ˈi.kwl̩# #ˈæk.sɛs# #tˈoʊ# #pˈʌ.blɪk# #sˈɝɹ.vɪs# #ˈɪn# #hɪz# #kˈʌn.tɹi#
