human_rights_un_lb_ll_64kb_0001	univɛʁzal # dɛklaʁatiɔʊn vʊn dɛ mnskheʁɛktɛʁ
human_rights_un_lb_ll_64kb_0012	aʁtikɛl 1
human_rights_un_lb_ll_64kb_0013	al mɛnʃ kɛnt fʁɛi a mat deʁ zɛlwɛktɛʁ dɪgnɪtɛˈiːt an deːnə zɛlwɛktɛ ʁɛktɛʁ ɔp dwɛlt
human_rights_un_lb_ll_64kb_0014	jˈɪdərˈeːən hˈyːt zɛi fɛrʃtˈant a zɛi ɡəvɛsə kruːt an zɔl an ˈɛŋəm geʃt vu bʁɪdɛʁlɛket dˈeːnən ˈanərə ɡaɪntiwwɛʁ hˈandəlɛn
human_rights_un_lb_ll_64kb_0015	aʁtikɛl 2
human_rights_un_lb_ll_64kb_0016	jɪdɛʁe kan al dei ʁɛktɛʁ an al dei fʁɛieten dei an dezər dɛklaʁatiɔʊn proːklamɛˈiːrt zɪm fɪʁ zɛk fɛrlˈaːˈaŋən an dat ɔuni nərʃet zˈiːf ɛt vu ʁas hˈautfaʁf gɛʃlɛkt ʃpʁox ʁelɪɔʊn politɛʃɛ ˈɔdər ˈanərər ɪwɛʁtsegɔŋ natsiːoːnˈaːləm ˈɔdər tsoːtsiːˈaːləm ˈuːrʃprˈɔŋk fɛrmaɪɡə ɡəbuːʊrt ˈɔdər zˈoːs ɛŋɛʁ ziːtuːatˈiːʊn
human_rights_un_lb_ll_64kb_0017	eːt dˈʏrf doː dɛrnˈiːft ɔx kˈeːən ɛnərʃet ɡəmˈaːt ɡˈɪn de mam politɛʃɛn rˈɛxtlɛkɛn ˈɔdər ɪntɛʁnatsɪonalɛ ʃtatˈuːt vʊn deːəm lant ˈɔdər deːəm ɡəbˈɪt bəɡrɛnt gɛt ˈaus deːəm ɛŋ pɛrzˈoːʊn hˈiːrʃtaːmt eːɡaːl ɔp dɛst lant ˈɔdər dɛst ɡəbˈɪt onɔfhɛŋɛg ɛnɛʁ ˈɛŋəm mandˈaːt nɛt autoːnˈoːm ˈɔdər sɛŋ zɔuveʁɛnitaɪt an ɪʁgɛndɛŋɛʁ fɔʁm bəɡrˈɛntst as
human_rights_un_lb_ll_64kb_0018	aʁtikɛl 3
human_rights_un_lb_ll_64kb_0019	al mɛʃ hˈyːt ʁɛkt ɔp dliwɛn ɔp dfʁɪet an ɔp dzɛkɛʁhet vu sɛŋər pɛrzˈoːʊn
human_rights_un_lb_ll_64kb_0020	aʁtikɛl 4
human_rights_un_lb_ll_64kb_0021	ke mɛnʃ daːaːrf a sklaveʁaɪ ˈɔdər a kniktʃhaft ɡəhal ɡɪn
human_rights_un_lb_ll_64kb_0022	dsklaveʁaɪ an dɛ sklavɛnhandɛl zɪn an al hiːrə fˈɔrmə fɛrbˈyːdən
human_rights_un_lb_ll_64kb_0023	aʁtikɛl 5
human_rights_un_lb_ll_64kb_0024	ken dˈʏrf ɡəfˈɔltərt an ɔx ke ɡrˈauzaːm ˈɔŋmɛnʃlɛk ɔnwiɪʁdɛk bəʃtroːˈɔft a beandɛlt ɡˈɪn
human_rights_un_lb_ll_64kb_0025	aʁtikɛl 6
human_rights_un_lb_ll_64kb_0026	jˈɪdərˈeːən hˈyːt ɪwweʁal dʁɛkt ɔp ʊnɛrkɛnɔŋ vu sɛŋər juʁɪstɛʃɛʁ pɛrzaɪnlɛket
human_rights_un_lb_ll_64kb_0027	aʁtikɛl 7
human_rights_un_lb_ll_64kb_0028	dmɛnʃə zɪn alegʊɛʁ glɛɪk viːrʊm gezɛts a zi hʊn ɔuni nərʃet ʁɛkt ɔp de zɛlwɛktɛ ʃʊts vʊm ɡəzˈɛts
human_rights_un_lb_ll_64kb_0029	alegʊɛʁ huː zɛ ʁɛkt ɔp de zɛlwɛktɛ ʃʊts ɡaɪnt al dɪskriːmiːnatsiːˈoːʊn dei dɛs dɛklaʁatiɔʊn ɡaɪŋ fɛrlˈɛtsən a ɡaɪnt al proːvoːkatiɔʊn tsˈuː ezɔu ɛŋɛʁ dɪskriːmiːnatˈiːʊn
human_rights_un_lb_ll_64kb_0030	aʁtikɛl 8
human_rights_un_lb_ll_64kb_0031	al mɛnʃ hˈyːt dʁɛkt fɪʁ bˈai dˈeːnən tsɔʊstɛnegɛn natsiːoːnˈaːlə ɡərˈɪˈɪxtər ɛn ɛfɛktˈiːvə ʁekɔʊʁs ɡaɪnt dei ˈaktən tsɛ mˈan dei dfʊndamɛntal ʁɛktɛʁ dei hˈɪm dˈʏrx dkɔnstitutiɔʊn ˈɔdər dˈʏrx dgezɛts tsɔʊstin fɛrlˈɛtsən
human_rights_un_lb_ll_64kb_0032	aʁtikɛl 9
human_rights_un_lb_ll_64kb_0033	ke mɛnʃ dˈʏrf aʁbɪtʁɛʁ fɛrhˈaft agezat ˈɔdər aʊsgewizɛ ɡˈɪn
human_rights_un_lb_ll_64kb_0034	aʁtikɛl 10
human_rights_un_lb_ll_64kb_0035	al mɛnʃ hˈyːt dʁɛkt a vɔlɛʁ glɛikhet dˈat sɛŋ zax zɛin ulaiəs ɡərˈɛxt an œfɛntlɛk viːruːn ˈɛŋəm onɔfhɛŋegɛn an ɔnpaʁtaɪɛʃɛ ɡərˈɪˈɪxt tsʊʁ ʃpʁox kɛnt dat ɪwwɛʁ sɛŋ ʁɛktɛʁ a flˈɪxtən an ɪwwɛʁ dbeʁɛktegɔŋ vʊn al ukloː dei a ʃtʁɔfzaxə ɡaɪnt ɛ ɡəfˈɔˈyːrt gɛt ɛntʃet
human_rights_un_lb_ll_64kb_0036	aʁtikɛl 1
human_rights_un_lb_ll_64kb_0037	al mɛnʃ de vaɪnʃt ˈɛŋəm ʃtrˈoːfbaːrən akt ˈuːɡəklɔt gɛt as ezɔu laːaŋ als ɔnʃɛlɛk ʊntsegezɪn bɪs sɛŋ ʃɔlt ɡəzˈɛtslɛk an am vɛʁlaf vʊn ˈɛŋəm œfɛntlɛkɛ pʁotsɛs noːɡəvˈiːzən as an deːəm ɛ mat sɛkɛʁhet ɔp al naɪdɛk gaʁantiɛ fɪʁ sɛŋ vɛʁdedegɔŋ kɔnt ʁɛknen
human_rights_un_lb_ll_64kb_0038	ken dˈʏrf fɛrˈʊˈʊrtəlt gi fɪʁ zaxˈən dei ɛ ɡəmˈaːt ˈɔdər ɛnɛʁlos hˈyːt dei an deːəm amɑ̃ːt wɔu dat ɡəʃˈɪt as noː natsiːoːnˈaːləm an ɪntərnatsiːoːnaːləm ʁɛkt kˈɛŋ ʃtrˈoːfbaːr aktɛ voːreːn
human_rights_un_lb_ll_64kb_0039	ɔk dˈʏrf ke maɪ ɛŋ haɪk ʃtʁɔf kʁeˈiː wi daɪ dei an deːəm amɑ̃ːt apliːtsɛˈiːrt ɡuːf an deːəm dɛ ʃtrˈoːfbaːrən akt ɡəʃˈɪt as
human_rights_un_lb_ll_64kb_0040	aʁtikɛl 12
human_rights_un_lb_ll_64kb_0041	an ɛŋɛʁ pɛrzˈoːʊn hɪr priːvˈaːtliwɛn hɪʁ famˈiːl hɪʁ wʊnɛŋ ˈɔdər hɪʁ kɔrɛspɔndɛnts dˈʏrf zɛk nɛt aʁbɪtʁɛʁ aɡɛmaʃt an hɪʁ eiːr an hiːrə ɡˈʊdə ʁʊf ɔx nɛt uːɡətaʃt ɡˈɪn
human_rights_un_lb_ll_64kb_0042	al mɛnʃ hˈyːt dʁɛkt ɔp dɛ ʃʊts vʊm gezɛts ɡaɪnt ezɔu ɛn amɛsxən an ˈʊntaʃtn
human_rights_un_lb_ll_64kb_0043	aʁtikɛl 13
human_rights_un_lb_ll_64kb_0044	al mɛnʃ hˈyːt dʁɛkt fɪʁ fʁɛi bˈanənt dɛ ɡrˈɛntsə vʊn al ʃtat tsɛ tsɪrkuːlɛiːrən a sɛŋ ʁezidɛnts tsɛ wilɛn
human_rights_un_lb_ll_64kb_0045	al mɛnʃ hˈyːt dʁɛkt fɪʁ al lant tsɛ fɛrlosə ɔx zɛin eːɡˈɛnt an nes a zɛi lant hemtsekɔmen
human_rights_un_lb_ll_64kb_0046	aʁtikɛl 14
human_rights_un_lb_ll_64kb_0047	al mɛnʃ hˈyːt dʁɛkt fˈɪr vˈan ɛ fɛrfˈɔlleːkt gɛt azyːl an ˈanərə lɛnɛʁ tsɛ zˈɪxən a gɛbʁaʊx dovʊnɛʁ tsɛ maxɛn
human_rights_un_lb_ll_64kb_0048	ɔp dɛst ʁɛkt ka zɛk nɛt beʁʊf ɡɪn am fal vʊn ukløːn dei reːˈɛl ɔp ˈɛŋəm fɛrbriːxə vʊm ˈalɡəmɛŋə ʁɛkt an ɔp handlɔŋɛ fʊndɛiʁɛn dei ɡaɪnt dtsilɛʁ an dgʁɔndzɛts vʊn dɛ veʁentən natiɔunɛ vɛʁstɔʊsɛn
human_rights_un_lb_ll_64kb_0049	aʁtikɛl 15
human_rights_un_lb_ll_64kb_0050	al mɛnʃ hˈyːt dʁɛkt ɔp ɛŋ natsɪonalɪtɛɪt
human_rights_un_lb_ll_64kb_0051	sɛŋ natsɪonalɪtɛˈiːt dˈʏrf kˈɛŋəm mɛnʃ aʁbɪtʁɛʁ ɛnttsˈuː ɡˈɪn ɔx nɛt dat ʁɛkt fɪʁ sɛŋ natsɪonalɪtɛˈiːt tsɛ ʃɑ̃ːʒɛiərn
human_rights_un_lb_ll_64kb_0052	aʁtikɛl 16
human_rights_un_lb_ll_64kb_0053	vaː man a fʁa am ˈaltər zi fɪʁ zɛk tsɛ bəʃtˈyːdən huː zɛ dʁɛkt fɪʁ dat tsɛ maxən an ɛŋ famɪl tsɛ gʁɛnɛn ɔuni ɪɪʁgɛndɛŋ ʁɛstʁɪktiɔʊn vˈaːt dʁas dnatsɪonalɪtɛˈiːt ˈɔdər dʁelɪɔʊn ʊget
human_rights_un_lb_ll_64kb_0054	zi huː baɪm bəʃtˈiːdnəs am bəʃtˈiːdnəs a bˈai sɛŋər oːplɛizɔŋ dei zɛlwɛkt ʁɛktɛʁ
human_rights_un_lb_ll_64kb_0055	dbɛstˈiːdnəs dˈʏrf nɛmə mat dɛʁ fʁɛiːr a vɔlɛʁ awɛlegɔŋ vʊm brˈautpʊɛʁ gɛʃlɔs ɡˈɪn
human_rights_un_lb_ll_64kb_0056	dfamɪl as dat natiʁlɛkt a fʊndamɛntaːalt elemɛnt vʊn dɛʁ gezɛlʃaft a zi hˈyːt dʁɛkt ɔp dɛ ʃʊts vu gezɛlʃaft a ʃtat
human_rights_un_lb_ll_64kb_0057	aʁtikɛl 17
human_rights_un_lb_ll_64kb_0058	al mɛnʃ hˈyːt dʁɛkt elɛŋ an ɔx mat ˈanərən tsˈeːzʊmɛn ɔp egɛntɔm
human_rights_un_lb_ll_64kb_0059	zɛin egɛntɔm dˈʏrf kˈɛŋəm mɛnʃ aʁbɪtʁɛʁ ɛnttsˈuː ɡˈɪn
human_rights_un_lb_ll_64kb_0060	aʁtikɛl 18
human_rights_un_lb_ll_64kb_0061	al mɛnʃ hˈyːt dʁɛkt ɔp gedaŋkɛ ɡəvɛsɛns a ʁelɪɔʊnsfʁɛɪet
human_rights_un_lb_ll_64kb_0062	an dezəm ʁɛkt mat drˈan as dfʁɪet fɪʁ sɛŋ ʁelɪɔʊn ˈɔdər sɛŋ ɪwɛʁtsegɔŋ tsɛ ɛneʁɛn gʁat ezɔu vaɪ dfʁɪet fɪʁ sɛŋ ʁelɪɔʊn a sɛŋ lwɛʁtsegɔŋ elɛŋ ˈɔdər mat ˈanərən tsɛ maniːfˈɛstɛiʁɛn zˈiːf ɛt an dɛʁ œfɛntlɛket ˈɔdər priːvˈaːt dˈʏrx dɛn ʊntɛʁɛkt dpʁaktitsɛiʁɛn dɛ kʊltʊs an dfˈaiərə vu ʁitɛn
human_rights_un_lb_ll_64kb_0063	aʁtikɛl 19
human_rights_un_lb_ll_64kb_0064	al mɛnʃ hˈyːt dʁɛkt ɔp ɛŋ fʁɛi meːnɔŋ a fɪʁ zɛ fʁɛi ˈaustseːdʁɛken an deːəm ɔx dʁɛkt mat drˈan as ɔp ɛŋ meːnɔŋ fʁɛi vu fuːʊrxt an dat ʁɛkt fɪʁ ɪnfɔʁmatsɪɔunɛn an ɪdɪɛn tsɛ zɪkɛn tsɛ kʁeˈiːən an tsɛ fɛrbreːdə mat al deːnə mɛtələ fɪʁ zɛk ˈaustseːdʁɛken dei ɛt gɛt an ɔuni zɛk mʊsən u ɡrˈɛntsə vu lɛnɛʁ tsɛ halɛn
human_rights_un_lb_ll_64kb_0065	aʁtikɛl 20
human_rights_un_lb_ll_64kb_0066	al mɛnʃ hˈyːt dʁɛkt ɔp vɛʁzamlʊŋs a veʁenegɔŋsfʁɛɪet am fʁɪdlɛkɛ zɛnn
human_rights_un_lb_ll_64kb_0067	ken dˈʏrf an ɛŋ veʁenegɔŋ ɡətsvɔŋ ɡˈɪn
human_rights_un_lb_ll_64kb_0068	aʁtikɛl 21
human_rights_un_lb_ll_64kb_0069	al mɛnʃ hˈyːt dʁɛkt fɪʁ ʊn dɛn œfɛntlɛkɛn ugelɛɛneːtə vu sɛŋəm lant matsewɪɪʁkɛn zˈiːf ɛt diːrɛkt ˈɔdər dˈʏrx fʁɛi ɡəvˈiːlt fɛrtrˈiːdər
human_rights_un_lb_ll_64kb_0070	al mɛnʃ hˈyːt dʁɛkt fɪʁ ɛnɛʁ glɛɪxə kɔnditiɔunɛn an dœfɛntlɛk fɔŋktsɪɔunɛ vu sɛŋəm lant ɛrˈantseːkɔmɛn
human_rights_un_lb_ll_64kb_0071	dɛ vɔlɛksvɛlɛn as dgʁɔndlak vʊn dɛʁ œfɛntlɛkɛʁ gewalt hiʁɛʁ aʊtoʁitaɪt
human_rights_un_lb_ll_64kb_0072	de vɛlɛ mˈʊs zɛk an ɛˈiːrlˈɛxə walɛn dei peʁɪodɛʃ ˈɔftsealɛ zɪn noː ˈɛŋəm glɛɪxən an ˈalɡəmɛŋə vˈalrɛxt a ɡəhˈaimə vˈaːlən ˈɔdər an ɛŋɛʁ glɛikwɛʁtegɛʁ pʁotsedʊʁ dei fʁɛi vˈaːlə ɡarantɛˈiːrt ˈaustseːdʁekkn
human_rights_un_lb_ll_64kb_0073	aʁtikɛl 2
human_rights_un_lb_ll_64kb_0074	al mɛnʃ hˈyːt als membər vʊn dɛʁ gezɛlʃaft dʁɛkt ɔp tsoːtsiːaːl sɛkɛʁhet
human_rights_un_lb_ll_64kb_0075	ɛn as beʁɛktɛgt fɪʁ an dɛ ɡənˈɔs vʊn dɛ wɪʁtʃhaftlɛkɛn tsoːtsiːˈaːlən a kʊltuʁɛlɛ ʁɛktɛʁ tsɛ kɔmɛn dei fɪʁ sɛŋ dɪgnɪtɛˈiːt an dfʁɛi ɛntvɛklɔŋ vu sɛŋər pɛrzaɪnlɛket naɪdɛk zɪm dat alɛs dˈʏrx ɛn natsiːoːnˈaːlən ɛfɔʁt an ɛŋ ɪntɛʁnatsɪonal tsˈeːzʊmənaːrpɛxt an an ˈɛŋəm mos vaɪ dɔʁganizatsɪɔʊn an dʁɛsɔʊʁtsɛ vʊn al lant ɛt ˈausvaizən
human_rights_un_lb_ll_64kb_0076	aʁtikɛl 23
human_rights_un_lb_ll_64kb_0077	al mɛnʃ hˈyːt dʁɛkt ɔp aʁbɛkt ɔp dfʁɛi wil vu sɛŋər aʁbɛkt ɔp aʁbɛktskɔnditiɔunɛn dei ɡərˈɛxt zɪn an tsɛfʁɪdɛ ʃtɛlən an ɔp dɛ ʃʊts ɡaɪnt dɛ çɔmɪɲ
human_rights_un_lb_ll_64kb_0078	jˈɪdərˈeːən hˈyːt ɔuni dɪskʁiminatiɔʊn dʁɛkt ɔp dɛ zɛlwɛktɛ lɔʊn fɪʁ dei zɛlwɛkt aʁbɛkt
human_rights_un_lb_ll_64kb_0079	jɪdɛʁen de ʃaft hˈyːt dʁɛkt ɔp ɛ ɡərˈɛxtən an ˈɔrdəntlɛkɛ lɔʊn deːən hˈɪm zɛlwɛʁ a sɛŋər famɪl ɛŋ ɛksɪstˈɛnts ɔp dɛʁ bazɪs vʊn dɛʁ mɛnʃlxər dɪgnɪtɛˈiːt sɛkɛʁt an den vˈan naɪdɛg dˈʏrx al anɛʁ tsoːtsiːaːl mezyʁɛ gɛstɛɪpt gɛt
human_rights_un_lb_ll_64kb_0080	al mɛnʃ hˈyːt dʁɛkt fɪʁ mat ˈanərə lˈait beʁʊffzɔʁganizatsɪɔunɛn tsɛ gʁɛnɛn a fɪʁ sɛŋ ɪntʁɛsɛn tsɛ vɛʁdedegɛn drˈantseːɡøːn
human_rights_un_lb_ll_64kb_0081	aʁtikɛl 24
human_rights_un_lb_ll_64kb_0082	al mɛnʃ hˈyːt dʁɛkt ɔp ʁɔu a fʁɛɪtsɛɪt a bəzˈɔnəʃ ɔp ɛŋ ʁɛzˈɔnaːbəl bəɡrˈɛntstən daʊɛʁ vʊn dɛʁ aʁbɛxtstsɛɪt an ɔp peʁɪodɛʃɛn a bətsˈyːltə kɔŋe
human_rights_un_lb_ll_64kb_0083	aʁtikɛl 25
human_rights_un_lb_ll_64kb_0084	al mɛnʃ hˈyːt dʁɛkt ɔp ɛ liwɛsniːvoː deːən dˈʏrket fɪʁ hˈɪm zɛlwɛʁ a sɛŋər famɪl dgezɔndhet an dgʊtɛʁgøːn bəzˈɔnəʃ dnaʁɔŋ dkledɛʁ dwʊnɛŋ dmedetsinɛʃ flˈeːk an dei naɪdɛk tsoːtsiːaːl deŋʃtər tsɛ ɡarantɛiːrən
human_rights_un_lb_ll_64kb_0085	ɛn hˈyːt dʁɛkt ɔp sɛkɛʁhet am fal vu çɔmɪɲ krˈaŋkhet ɪnvaliːdiːtaɪt als wɪtfʁa ˈɔdər wɪtman am ˈaltər an an ˈanərə fɛl wɔu ɛn dmɛtələ fɪʁ zɛi liwɛsɛnɛʁhalt nɛt maɪ hˈyːt dˈʏrx mstɛn dei onɔfhɛŋɛk zi vu sɛŋəm vɛlɛn
human_rights_un_lb_ll_64kb_0086	mˈam a kant hʊn dʁɛkt ɔp ʃpeːtsiːˈɛl hɛlɛf a bɛɪstand
human_rights_un_lb_ll_64kb_0087	dkanɛʁ aleːɡʊr ɔp zɛ am ˈɔdər nɛt am bəʃtˈiːdnəs ɡəbyːr ɡˈɪn kɔmɛn an dɛ ɡənˈɔs vʊn deːəm zɛlwɛktɛn tsoːtsiːˈaːlə ʃˈʊts
human_rights_un_lb_ll_64kb_0088	aʁtikɛl 26
human_rights_un_lb_ll_64kb_0089	al mɛnʃ hˈyːt dʁɛkt ɔp bɪldʊng
human_rights_un_lb_ll_64kb_0090	dɛn ʊntɛʁɛkt mˈʊs ɔp dmˈanst fɪʁ delemɛntaʁ an dgʁɔndʒhɔulɛ ɡrˈaːtɪs zˈɪn
human_rights_un_lb_ll_64kb_0091	dɛn elemɛntaʁʊntɛʁɛkt as ɔbligatoʁɛʃ
human_rights_un_lb_ll_64kb_0092	dɛn tɛknɛʃɛn an dɛ beʁʊffzʊntɛʁɛkt mˈʊsə fɛralɡəmɛŋərt zˈɪn
human_rights_un_lb_ll_64kb_0093	dɛn hˈiːrə ʃtudɪʊm mˈʊs jˈɪdərɛŋəm mat deːnə zɛlwɛktɛ ʁɛktɛʁ an ɔp dɛʁ bazɪs vu sɛŋə leʃtʊŋən oːpʃtˈøːn
human_rights_un_lb_ll_64kb_0094	dbɪldʊŋ zɔl dei fɔl ɛntvɛklɔŋ vʊn dɛʁ mɛnʃlɛkɛʁ pɛrzaɪnlɛket a maɪ ɛ gʁɔʊsɛ reːspɛkt vʊn dɛ mɛnʃeʁɛktɛʁ an dɛ gʁɔndfʁɛietɛn uvɪsɛiərn
human_rights_un_lb_ll_64kb_0095	zi zɔl dɛ fɛrʃtˈɛeːdəmˈɛx dtoleʁants an dfʁɛndʒhaft tɛʃt alɛn natiɔunɛn an alɛ gʁʊpɛ vu rˈasən a ʁelɪɔunɛ gʁat ezɔu favoːriːzɛˈiːrə vaɪ dɛntwɛklɔŋ vʊn dɛ veʁentən natiɔunɛn hiːrən aktiːviːtɛˈiːtə fɪʁ dɛʁhalɛ vʊm fʁɪdɛn
human_rights_un_lb_ll_64kb_0096	dɛltərən huː viʁewɛk dʁɛkt fɪʁ dɛ ʒɑ̃ːrə vʊn dɛ kanɛʁ hiʁɛʁ bɪldʊŋ tsɛ wilɛn
human_rights_un_lb_ll_64kb_0097	aʁtikɛl 27
human_rights_un_lb_ll_64kb_0098	al mɛnʃ hˈyːt dʁɛkt fɪʁ fʁɛi ʊn dɛʁ kɔmunɔtɛˈiːt hiːrəm kʊltuʁɛlɛ liwɛn deːˈɛltseːˈyːlən an dɛ ɡənˈɔs vʊn dɛʁ kɔnʃt tsɛ kɔmɛn a vʊm vɛsʃaftlɛkɛ fɔʁtʃhʁɛt a vʊn alɛm vˈaːt zɛk doːrˈaus u ɡˈʊdəm ɛʁgɛt tsɛ proːfiːtɛiərn
human_rights_un_lb_ll_64kb_0099	jˈɪdərˈeːən hˈyːt dʁɛkt ɔp dɛ ʃʊts vʊn dɛ moʁalɛʃɛn a mateːriːˈɛlən ɪntrˈɛsə dei ˈaus jɪdfɛʁ vɛsɛʃaˈaftleːʃˈɛr liteʁaʁɛʃɛʁ ˈɔdər artˈɪstɛʃɛʁ pʁodʊktiɔʊn ɛntʃtˈɪn vʊn deʁ hin dɛn autøːr as
human_rights_un_lb_ll_64kb_0100	aʁtikɛl 28
human_rights_un_lb_ll_64kb_0101	al mɛnʃ hˈyːt dʁɛkt ɔp ɛŋ tsoːtsiːaːl an ɪntɛʁnatsɪonal ʊɛʁdnɔŋ an deʁ zɛk dei ʁɛktɛʁ a fʁɛieten dei an dezər dɛklaʁatiɔʊn oːpɡətsiːlt ɡˈɪn fɔl kɛnɛn ˈausvɪiʁkn
human_rights_un_lb_ll_64kb_0102	aʁtikɛl 29
human_rights_un_lb_ll_64kb_0103	al mɛnʃ hˈyːt flɪxtə viːzavɪs vʊn dɛʁ kɔmuːnoːtaɪt an deʁ elɛŋ dei fʁɛi a fɔl ɛntvɛklɔŋ vu sɛŋər pɛrzaɪnlɛket maɪglɛk as
