human_rights_un_bal_brc_64kb_0001	aŋawədər endek əkək zasi ənʊsea
human_rights_un_bal_brc_64kb_0016	ənembəŋ rɪantukən pəɡʊjubən nɛɡarəneɡarə sampun məsemaja patʃaŋ ɲudʒur kɪmədʒʊən sadʒərʊniŋ paŋarɡən mewah pəŋubakteən mərep reŋ hək əsasɪ mənʊsɪə lən kebɪbasan səne ŋarʊdʒɔŋ sərɪŋ ərsɪrikatan əŋsaəŋsə
human_rights_un_bal_brc_64kb_0017	ənembəŋ rɪantukən pahəneŋ wɪrasa səne pəteh ŋɛnɪnin endek haxək lən kəbɪbasənkɛbebasan punekə mabʊət pesan məka paŋlaksana səne sumɪken pesan səkeŋ sɪməjə punekə mawɪnən
human_rights_un_bal_brc_64kb_0018	
human_rights_un_bal_brc_64kb_0019	əlarapan punekə ɲɔbiahaŋ
human_rights_un_bal_brc_64kb_0020	aŋawədər ndik əkək zasi ənʊsea
human_rights_un_bal_brc_64kb_0021	enakə antʃɪŋ səne kətah məka sɪdaniŋ wəŋsa samɪ lən pəneɡara samɪ məka tətʊdʒʊn məŋda saloiriŋ dʒənma lən saloiriŋ pəɡʊjubən sadʒərʊniŋ pəkrəman nɪtjəkəla eleŋ reŋ pəŋəwedar poniki patʃaŋ ŋʊtsəhajəŋ madʒalərən təta tʃəra ŋədʒəhen lən ŋetʃɛnin pəndedekən ŋəptɪ nintʃapaŋ paŋarɡən mərɛpɪ reŋ haxək lən kɪbəbesənkɛbɛbasan punekə tur pəmarɡe səne ɡantʃaŋ ɡɪletɪk orətɪ səne maŋɡeh nəsɪonəl wɪədin entərnəsɪʊnal ɲəmin paŋaŋkən lən paŋəbəktɪanipun səne loeh tur sumɪken eŋɡɪlən oleh waŋsawaŋsə səkeŋ swanəɡərə əŋɡota wɪədin oleh waŋsawaŋsə səkeŋ wawɪdəŋan səne wɪntɛn reŋ sadʒərʊniŋ wəwɛŋkɔn hokomepʊn
human_rights_un_bal_brc_64kb_0022	əɔs
human_rights_un_bal_brc_64kb_0023	ami mənʊsəne səne ɲrʊwade wantah merdɛka tur mədowə kautaməən lən haxək səne pəteh
human_rights_un_bal_brc_64kb_0024	ami kəluɡrain pəpɪnəh lən edəp tur maŋdənə pəda masawɪtrə mələrəpan seməŋət pakulawərɡəan
human_rights_un_bal_brc_64kb_0025	əɔs
human_rights_un_bal_brc_64kb_0026	ətuŋɡɪl pəra dʒənma wɛnəŋ reŋ həxəkepʊn samɪ lən kəbɪbasənkɛbebasan səne mʊŋɡuh reŋ dʒɪrɔnɪŋ pəŋəwedar poniki məkadɪ pabinəan reŋ rəs warnan tʃərma lanəŋwədon bəsa əɡama pʊletik otəwɪ pamarnən məseʊsən witneŋ kəwaŋsəən otəwɪ pəkrəman kəmaʃərakət hək pədruweən pəlɪkadan wɪədin lɪŋɡih səɔsan
human_rights_un_bal_brc_64kb_0027	elantʊr epon nɪntɛn patʃaŋ kəwəntɪnəŋ pabinəjan səŋkaniŋ lɪŋɡih kɪdudʊkən pʊletik hʊkʊm otəwɪ kɪdudʊkən entərnəsɪʊnal səkeŋ nɪɡərə otəwɪ daɪrəh səkeŋ dedʒa oɡe kawit ɲənɪ mənʊsa ɪŋɡian səkeŋ nɪɡərə səne merdɛka səne meropə wewɪdəŋanwɪwidəŋən pərwalɪan dʒədʒəhən otəwɪ səne wɪntɛn reŋ sadʒərʊniŋ wətes kədaulatən səne səɔsan
human_rights_un_bal_brc_64kb_0028	əɔs
human_rights_un_bal_brc_64kb_0029	alʊereŋ mənʊsa wɛnəŋ reŋ hək hɪdʊp kebɪbasan lən kerəhajoan sowaŋsuwaŋ
human_rights_un_bal_brc_64kb_0030	əɔs
human_rights_un_bal_brc_64kb_0031	əpasirə oɡe nɪntɛn kajoɡjə kadədʊsəŋ bodak otəwɪ pərɪkan pɛrbudəkan lən pɛdəɡəŋən bodak jadɪən mərʊpa napɪ dʒə mʊstɪ kələrəŋ
human_rights_un_bal_brc_64kb_0032	əɔs
human_rights_un_bal_brc_64kb_0033	əpasirə oɡe nɪntɛn dadɔs kaseksə otəwɪ kabəjəŋbəjəŋ otəwɪ katewəken dənda səne tən ŋanotɪn sʊlʊr kamanʊsan otəwɪ kənistajəŋ
human_rights_un_bal_brc_64kb_0034	əɔs
human_rights_un_bal_brc_64kb_0035	alʊereŋ dʒənma kawənaŋ reŋ paŋaŋkən sadʒərʊniŋ hʊkʊm pɪnaka mənʊsa nɪri reŋ dedʒa oɡe məɡɪnah
human_rights_un_bal_brc_64kb_0036	əɔs
human_rights_un_bal_brc_64kb_0037	əmɪan mənʊsəne pəteh reŋ sadʒərʊniŋ hʊkʊm lən pəteh mədowə hək reŋ pəŋajʊmən hʊkʊm tənpa pabinəjan
human_rights_un_bal_brc_64kb_0038	ami mənʊsəne mədowə hək reŋ pəŋajʊmən mərep saloiriŋ bəntʊk pabinəjan səne toŋkəs reŋ pəŋəwedar poniki tur mərep saloɪr hasʊtən səne ɲudʒur pabinəjan ɪnotʃəp
human_rights_un_bal_brc_64kb_0039	əɔs
human_rights_un_bal_brc_64kb_0040	alʊereŋ dʒənma mədowə hək reŋ pɪmulɪhən səkeŋ pəŋədilan nəsɪonəl səne mədowə kəwɪnəŋan mərep səpərisoləh səne ŋɛləŋɡar haxək dəsar səne kəpaitʃə oleh ondaŋundəŋ dəsar wɪədin hʊkʊm
human_rights_un_bal_brc_64kb_0041	əɔs
human_rights_un_bal_brc_64kb_0042	əpasirə oɡe nɪntɛn dadɔs kɛtəŋkɪp ketəhan wɪədin kəkutəŋ səkɪta ərep
human_rights_un_bal_brc_64kb_0043	əɔs
human_rights_un_bal_brc_64kb_0044	alʊereŋ dʒənma sadʒərʊniŋ sasəma pəda mədowə hək reŋ pɪradilən səne adil lən tɛrbʊka səkeŋ pəŋədilan səne bebəs tur nɪntɛn məmihak sadʒərʊniŋ ŋerədʒɪɡaŋ hək lən swadharmənɪpun tur reŋ saloiriŋ dənda tʊntutən pɪdana səne kətɪwəkəŋ reŋ raɡanɛ
human_rights_un_bal_brc_64kb_0045	əɔs
human_rights_un_bal_brc_64kb_0046	alʊereŋ dʒənma səne kətʊntot səŋkaniŋ katarka məpərisoləh ŋɛləŋɡar hʊkʊm doruŋ dadɔs kəsɛŋɡuh səlah sədoroŋ kəbʊkteəŋ kəsəlahanepʊn manut hʊkʊm oleh pəŋədilan tur reŋ pəŋədilan ɪnotʃəp pʊlɪh dʒamɪnən səne kəsərətəŋ nɪndihən rəɡa
human_rights_un_bal_brc_64kb_0047	ənten wɪntɛn dʒənma səne dadɔs kəsələhəŋ kadəlɪh mɪləksənə ŋɛləŋɡar hʊkʊm səŋkaniŋ pɪləksənə otəwɪ kələŋəhən səne nɪntɛn mərʊpa pɛləŋɡəran hʊkʊm manut ondaŋundəŋ nəsɪonəl wɪədin entərnəsɪʊnal ritatkəla səpərisoləh punekə kəlaksənəjaŋ
human_rights_un_bal_brc_64kb_0048	əler nɪntɛn kapətʊtəŋ nɪwakaŋ dənda səne lebɪh abɔt səkeŋ dənda səne sɪpatutepʊn kətɪwəkəŋ ritatkəla pɛləŋɡəran hʊkʊm punekə kəlaksənəjaŋ
human_rights_un_bal_brc_64kb_0049	əɔs
human_rights_un_bal_brc_64kb_0050	alʊereŋ dʒənma nɪntɛn dadɔs kausakəsek orosanɲane swəŋswaŋ koləwarɡənepun pakʊrenanipun otəwɪ paikɪtən swalapatraipun səkɪta ərep təler nɪntɛn kadədʊsəŋ marɪtʃɛdə
human_rights_un_bal_brc_64kb_0051	alʊereŋ dʒənma mədowə hək pʊlɪh pəŋəjɔman hʊkʊm səne dʒaɡɪ kəəŋɡən ŋarɛpəŋ səpərisoləh kəon reŋ ərep
human_rights_un_bal_brc_64kb_0052	əɔs
human_rights_un_bal_brc_64kb_0053	alʊereŋ dʒənma mədowə hək kəbɪbasan mələksana səne patut tur məɡɪnah reŋ wawɪdəŋan swəŋswaŋ nɪɡərə
human_rights_un_bal_brc_64kb_0054	alʊereŋ dʒənma mədowə hək melantʃaran reŋ swəŋswaŋ nɪɡərə məkta pədruwenipun tur mɛwale malih reŋ pəneɡara dowɛnɪ
human_rights_un_bal_brc_64kb_0055	əɔs
human_rights_un_bal_brc_64kb_0056	alʊereŋ dʒənma mədowə hək ŋarorʊh tur ŋərasənin soakə pəŋəjɔman səkeŋ nɪɡərə səɔsan dʒaɡɪ kəəŋɡən ŋajomɪn dɪwekɲənə səkeŋ katut bʊri
human_rights_un_bal_brc_64kb_0057	ək punekə nɪntɛn kədadosaŋ kaaŋɡɛ mərep reŋ sʊŋketə tʊtburɪ səne sumɪken medəl səŋkaniŋ səpərisoləh səne kəon səne tən wɪntɛn paikɪtən reŋ pʊletik otəwɪ səŋkaniŋ səpərisoləh səne pewal reŋ tʊdʒoən mewah dəsar ərsɪrikatan əŋsaəŋsə
human_rights_un_bal_brc_64kb_0058	əɔs
human_rights_un_bal_brc_64kb_0059	alʊereŋ dʒənma mədowə hək kɛwərɡənɛɡəraən kəwaŋsəən
human_rights_un_bal_brc_64kb_0060	alʊereŋ dʒənma nɪntɛn dadɔs sakaməkama kəbantʃut kewərɡanɪɡarəanepʊn kɛwəŋsanipʊn wɪədin mədowə hək ŋəntosin kɛwərɡənɛɡəraən kəwaŋsəən
human_rights_un_bal_brc_64kb_0061	əɔs
human_rights_un_bal_brc_64kb_0062	ənəŋ lən estre səne sampun dəhatruna tənpa kawatɪsen kɛwəŋsəanepʊn kewərɡanɪɡarəanepʊn wɪədin əɡama mədowə hək makurənən otəwɪ mawewəha tur ŋewəŋun kulawarɡa
human_rights_un_bal_brc_64kb_0063	pun mədowə hək səne pəteh reŋ səparɪ endek pawiwəhan reŋ sadʒərʊniŋ makurənən wɪədin ritatkəla pəlas makurənən
human_rights_un_bal_brc_64kb_0064	awiwəhən wantah dadɔs kəlaksənəjaŋ jəneŋ tʃalɔn pəŋəntɪn pəda səleŋ lʊlʊt asih
human_rights_un_bal_brc_64kb_0065	oləwarɡa eŋɡɪh punekə paikɪtən səŋkaniŋ tetah reŋ sadʒərʊniŋ pəɡʊbuɡən tur mədowə hək pʊlɪh pəŋəjɔman səkeŋ pəɡʊbuɡən wɪədin nɪɡərə
human_rights_un_bal_brc_64kb_0066	əɔs
human_rights_un_bal_brc_64kb_0067	alʊereŋ dʒənma mədowə hək mədɛrbɪ ərthə ndere nɪwɪk wɪədin sareŋsəreŋ dʒənma leanən
human_rights_un_bal_brc_64kb_0068	alʊereŋ dʒənma nɪntɛn dadɔs kerəmpəs pədrowɛnənɲanə səkɪta kərep
human_rights_un_bal_brc_64kb_0069	əɔs
human_rights_un_bal_brc_64kb_0070	alʊereŋ dʒənma mədowə hək kebɪbasan mapaidep untəŋ kajun lən ŋəɡɪm əɡama hək kəbɪbasan məɡəntɔs əɡama otəwɪ kɪpərtʃajaan lən kebɪbasan ɲəŋɡuhəŋ əɡama otəwɪ kɪpərtʃajaan malarəpən ŋədʒəhen ŋɪləksənəjaŋ ŋəturaŋ baktɪ tur ŋanotɪn ədʒərən əɡama punekə ndirendɪri wɪədin sareŋsəreŋ dʒənma səɔsan reŋ ərep pəɡʊbuɡən wɪədin ndere ndewɪk
human_rights_un_bal_brc_64kb_0071	əɔs
human_rights_un_bal_brc_64kb_0072	alʊereŋ dʒənma bebəs mədowə tɛtɪmbəŋən wɪədin ŋamɛdaləŋ tɛtɪmbəŋən tənpa ɡəŋɡuan ŋerʊrʊh neremə tur ŋamɛdaləŋ ɡətra lən pakajʊnan malarəpən sarəna napɪ dʒə tənpa ŋətaŋ wətɪswates wɪwidəŋən
human_rights_un_bal_brc_64kb_0073	əɔs
human_rights_un_bal_brc_64kb_0074	alʊereŋ dʒənma mədowə hək kebɪbasan məpʊpʊl lən ŋewəŋun sɪxə tənpa ŋəŋɡə kekɪrasan
human_rights_un_bal_brc_64kb_0075	alʊereŋ dʒənma nɪntɛn dadɔs kapaksa məŋda ŋɪrɪŋ ɲareŋin sɪxə
human_rights_un_bal_brc_64kb_0076	əɔs
human_rights_un_bal_brc_64kb_0077	alʊereŋ dʒənma mədowə hək ɲareŋin ŋɛmarɡiaŋ pɛmɛrintahan nɛɡəranɲanɪ sɪtʃərə laŋsoŋ otəwɪ malarəpən wakilwakɪl səne kəpɪlɪh sɪtʃərə bebəs
human_rights_un_bal_brc_64kb_0078	alʊereŋ dʒənma samɪsamɪ pəteh mədowə hək kəbesɪkajaŋ otəwɪ kəleŋɡɪhaŋ dadɔs prədʒoro reŋ sadʒərʊniŋ ŋɛmarɡiaŋ pɛmɛrintahan nɛɡəranɲanɪ
human_rights_un_bal_brc_64kb_0079	akajunən pəra dʒənma mʊstɪ kadədʊsəŋ pɪnaka dəsar kɪwənaŋan pemɛrɪntəh
human_rights_un_bal_brc_64kb_0080	pakəjʊn poniki mʊstɪ kəsɪnəhəŋ mərʊpa pɪmilɪhən omom səne kamarɡɪəŋ səŋkaniŋ mənah ləstʃərja tur nɪrmələ malarəpən hək pɪlɪh tur dʊdʊnan səne pəteh malarəpən pəmoŋutən soarə səne sɪŋɪd otəwɪ ŋəŋɡə təta tʃəra səɔsan səne ɲəmin kɛbebɛsən ŋowɛhin soarə
human_rights_un_bal_brc_64kb_0081	əɔs
human_rights_un_bal_brc_64kb_0082	alʊereŋ dʒənma pɪnaka krəma pəɡʊbuɡən mədowə hək dʒamɪnən sʊseəl ŋɪləksənəjaŋ hək əkʊnʊmɪ sʊseəl lən bʊdaja səne pɪnɪh kəboataŋ dʒaɡɪ ŋawəŋɪaŋ kaprabəwən lən nombuhəŋ kepribadiən malarəpən ʊtsəhautsəhə nəsɪonəl wɪədin ɲareŋin utsaha entərnəsɪʊnal sədʒəɡət manut kadɪ təta tʃəra lən kɪkʊatən swəŋswaŋ nɪɡərə
human_rights_un_bal_brc_64kb_0083	əɔs
human_rights_un_bal_brc_64kb_0084	alʊereŋ dʒənma mədowə hək reŋ pekərjən mədowə hək kəbɪbasan mɪlɪh pakarjən mədowə hək reŋ təta tʃəra ŋɪləksənəjaŋ pekərjən səne adil mewah ŋewɛtʊəŋ əɡet lən mədowə hək pəŋajʊmən sʊməŋdəne tən ketʃalən paŋopədʒɪwa
human_rights_un_bal_brc_64kb_0085	alʊereŋ dʒənma tənpa pabinəjan mədowə hək reŋ pəŋopəhən səne pəteh reŋ pakarjən səne pəteh
human_rights_un_bal_brc_64kb_0086	alʊereŋ dʒənma səne makarja mədowə hək reŋ pəŋopəhən səne adil tur ŋewɛtʊəŋ əɡet səne ɲəmin kəhɪdupən səne dəhat mapikɪnɔh reŋ pədəwekən wɪədin koləwarɡanɲənɛ peŋkəlih jəneŋ wantah pɪrlʊ kɪwəwɛhin antuk pəŋəjɔman sʊseəl səne sɪʊsan
human_rights_un_bal_brc_64kb_0087	alʊereŋ dʒənma mədowə hək ŋewəŋun tur ŋɪrandʒeŋ reŋ pəɡʊjubən otəwɪ sɪxə bʊrʊh səne dʒaɡɪ ŋajomɪn saloɪr pabʊətanɲəne
human_rights_un_bal_brc_64kb_0088	əɔs
human_rights_un_bal_brc_64kb_0089	alʊereŋ dʒənma mədowə hək mɛsandekan wɪədin lɪbʊran peŋkəlih wətɪswates ɡəlah mɪkarjə səne patut peŋkəlih pʊlɪh lɪbʊr bɪrkəla tur tɪtɪp nampɪ ʊpəh
human_rights_un_bal_brc_64kb_0090	əɔs
human_rights_un_bal_brc_64kb_0091	alʊereŋ dʒənma mədowə hək reŋ təraf hɪdʊp səne tʃʊkʊp məŋda seda nemu kerəhajoan lən kɛsɛdʒəhtɪrəan pədəwekən wɪədin koləwarɡənepun təler hək reŋ paŋən paumahən paŋopəpɪra kərəhadʒɛŋən peŋkəlih pələjənan sʊseəl səne kəboataŋ tur mədowə hək reŋ dʒamɪnən ritatkəla ŋəŋɡurmaɡəŋ soŋkən tʃətʃad balʊ sampun lɪŋsir otəwɪ kehənan sɪʊsan səne məxəwinan kɪkirəŋən paŋopədʒɪwa
human_rights_un_bal_brc_64kb_0092	bu lən ənakanak mədowə hək pʊlɪh paŋopəpɪra wɪədin wantʊən səne dəhat istɪmɪwə
human_rights_un_bal_brc_64kb_0093	alʊereŋ ənək alit səne ɛmbəs səkeŋ pawiwəhan wɪədin babɪndʒət mʊstɪ pʊlɪh pəŋəjɔman sʊseəl tənpa pabinəjan
human_rights_un_bal_brc_64kb_0094	əɔs
human_rights_un_bal_brc_64kb_0095	alʊereŋ dʒənma mədowə hək pʊlɪh pəndedekən
human_rights_un_bal_brc_64kb_0096	ɛndidɪkən punekə mʊstɪ ɡratɪs pəleŋ nɪntɛn reŋ teŋkət səkɔlah rɛndəh wɪədin pəndedekən dəsar
human_rights_un_bal_brc_64kb_0097	ɛndidɪkən rɛndəh mʊstɪ kəwadʒebaŋ nɪntɛn dadɔs tən kelaksanajəŋ
human_rights_un_bal_brc_64kb_0098	ɛndidɪkən təknɪk lən dʒʊrʊsan səne sampun ketəh məŋda kabʊkək reŋ saloiriŋ dʒənma təler pəndedekən tiŋɡe məŋda prəsida kərəndʒɪŋaŋ oleh pəra dʒanmənə samɪ ŋanotɪn təta tʃəra səne pəteh medəsar antuk kɪpatutən
human_rights_un_bal_brc_64kb_0099	ɛndidɪkən punekə mʊstɪ matətodʒon ŋɛwɪrdɪəŋ aŋɡə sərɪra tur məŋda prəsida ŋədʒeəŋ hək əsasɪ mənʊsɪə wɪədin kəbɪbasənkɛbebasan
human_rights_un_bal_brc_64kb_0100	ɛndidɪkən punekə məŋda prəsida ŋewɛtʊəŋ səleŋ pəŋɛrtɪan mʊlatsarira tur pəsawɪtrən reŋ saloiriŋ waŋsənə samɪ pəɡʊjubən rəs peŋkəlih əɡama tur mʊstɪ ŋemadʒuaŋ pemərɡin ərsɪrikatan əŋsaəŋsə reŋ sadʒərʊniŋ ŋopapirə pərdamaian
human_rights_un_bal_brc_64kb_0101	rɪrəmə otəwɪ ɡʊru rʊpaka mədowə hək səne mautəma reŋ sadʒərʊniŋ mɪlɪh saloiriŋ pəndedekən səne patʃaŋ kətɪwəkəŋ reŋ ɔkanɔkanɲane
human_rights_un_bal_brc_64kb_0102	əɔs
human_rights_un_bal_brc_64kb_0103	alʊereŋ dʒənma mədowə hək ɲareŋin reŋ sadʒərʊniŋ kɪhidʊpən kebodajəan ŋerəsajəŋ kəlʊehən kɛsəniən lən sərɪŋ ŋerəsajəŋ kɪmədʒʊən tur nəmtəmen pəkɛnʊh elmo pɛŋɪtəhoən
human_rights_un_bal_brc_64kb_0104	alʊereŋ dʒənma mədowə hək pəŋajʊmən mərep reŋ keontoŋan mʊrɪl wɪədin matɪrɪəl səne kəmoleŋ antuk hasil kərja ɪlmɪəh kesosəstrəan wɪadiən kɛsəniən səne prəsida kaɔrtajaŋ
human_rights_un_bal_brc_64kb_0105	əɔs
human_rights_un_bal_brc_64kb_0106	alʊereŋ dʒənma mədowə hək mərep reŋ tətənən sʊseəl wɪədin entərnəsɪʊnal tur haxək lən kəbɪbasənkɛbebasan səne mʊŋɡuh reŋ sadʒərʊniŋ pəŋəwedar poniki prəsida kəlaksənəjaŋ
human_rights_un_bal_brc_64kb_0107	əɔs
human_rights_un_bal_brc_64kb_0108	alʊereŋ dʒənma samɪ mədowə swadarmə mərep reŋ pəɡʊbuɡən reŋ dedʒa oɡe epon prəsida ŋɛwɪrdɪəŋ kɪpribədianɪpun malarəpən antuk kəbɪbasan səne baŋɛt pesan
human_rights_un_bal_brc_64kb_0109	eŋ sadʒərʊniŋ ŋɪləksənəjaŋ haxək lən kɪbebəsankɪbɛbəsanɪpun swəŋswaŋ mənʊsa mʊstɪ ŋanotɪn wətɪswates səne kəpəɡəhaŋ oleh ondaŋundəŋ səne matətodʒon ɲəmin paŋaŋkən wɪədin ŋewəŋiəŋ haxək lən kəbɪbasənkɛbebasan mənʊsa səɔsan lən reŋ pəkrəman ŋanotɪn təta tʃəra səne adil ŋɛnɪnin kesosiləən ketrəptean mewah kɛdʒəɡədɪtaən dʒəɡat sadʒərʊniŋ səne dəmʊkrates
human_rights_un_bal_brc_64kb_0110	əxak lən kɪbəbesənkɛbɛbasan poniki reŋ sadʒərʊniŋ pələksanaənepʊn nɪntɛn dadɔs mətuŋkasan reŋ tətʊdʒʊn lən prinsipprinsep ərsɪrikatan əŋsaəŋsə
human_rights_un_bal_brc_64kb_0111	əsəl
human_rights_un_bal_brc_64kb_0112	eŋ sadʒərʊniŋ pəŋəwedar poniki tən dadɔs katarka tur ŋowɛhin ɪŋɡian nɪɡərə pəɡʊjubən otəwɪ sɪlɪh toŋɡəl dʒənma hək ɲareŋin saloɪr pɪkərjəan otəwɪ ŋɪləksənəjaŋ səpərisoləh səne mətʊdʒʊn ŋərusək haxək lən kəbɪbasənkɛbebasan səne mʊŋɡuh reŋ sadʒərʊniŋ pəŋəwedar poniki
