human_rights_un_arz_ef_64kb_0001	iliʕlˈæːn ilʕæːlæmˈiː lħuʔˈuːʔ ilinsˈæːn
human_rights_un_arz_ef_64kb_0016	wæʔʔæd wˈæhbu ʕˈuʔlæ wˈadˤamˈiːɾa wˈaʕlˈiːhum ˈæn jiʕˈæːmil baʕdˤˈuhum baʕdˤa bæɾˈuːħ ilixˈæːʔ
human_rights_un_arz_ef_64kb_0017	ilmˈæddæ
human_rights_un_arz_ef_64kb_0018	lˈækl insˈæːn ħˈæʔʔ iltˈæmtæʕ bikˈæːfit ilħuʔˈuːʔ wælħuɾɾijjˈæːt ilwæɾdæ fæj hˈæːzæ iliʕlˈæːn dˈoːn ˈæ tæmjˈiːz kæltamjˈiːz bisæbˈæb ilʕˈansˤaɾ ˈæw illˈoːn ˈæw iggˈænnis ˈæw illˈuɣæ ˈæw iddˈiːn ˈæw iɾɾˈaʔj issijæsˈijj ˈæw ˈæ ɾˈaʔj ˈæːxiɾ ˈæw ilasˤil ilwatˤanˈijj ˈæw iligtimæːʕijj ˈæw issˈæɾwit ˈæw ilmilˈæːd ˈæw ˈæ wˈadˤʕ ˈæːxiɾ dˈoːn ˈæjjit tifæɾʔit bˈeːn iɾɾiggˈæːl wælˈinsˈæːʔ
human_rights_un_arz_ef_64kb_0019	wˈæfdˤalæ ʕæmmæ taqˈaddum fælæn jikˈuːn hinˈæːk ˈæ tæmjˈiːz æsæsu ilwˈadˤʕ issijæsˈijj ˈæw ilqanunˈijj ˈæw iddæwlˈijj lˈæblid ˈæw ilbæʔˈiʕit itti jintˈimi ilˈiːhæ ilfˈæɾd sæwˈæːʔ kˈæːn hˈæːzæ ilbˈælæd ˈæw tælæk ilbæʔˈiʕit mustæʔˈillæ ˈæw tæħt ilusˤˈaːja ˈæw ɣˈeːɾ mitmˈættæʕ bilħkum izzˈæːti ˈæw kˈæːnit sijædˈitu xˈaːdˤʕa liˈæj ʔˈiːd min ilʔijˈuːd
human_rights_un_arz_ef_64kb_0020	ilmˈæddæ
human_rights_un_arz_ef_64kb_0021	lˈækl fˈæɾd ilħæʔ fæj ilħæjˈæː wælħuɾɾˈijjæ wæssulˈæːmæ ʃaxsˤih
human_rights_un_arz_ef_64kb_0022	ilmˈæddæ
human_rights_un_arz_ef_64kb_0023	læ jigæwwiz istˈuɾuʔˈæːʔ ˈæw istˈiʕibˈæːd ˈæ ʃˈaxsˤ
human_rights_un_arz_ef_64kb_0024	wˈijħˈiðˤiɾ ilistˈuɾuʔˈæːʔ wˈitgˈaːɾit iɾɾæʔˈiːʔ bikˈæːfit ˈæwdˤˈaːʕhmæ
human_rights_un_arz_ef_64kb_0025	ilmˈæddæ
human_rights_un_arz_ef_64kb_0026	læ jiʕɾidˤ ˈæ insˈæːn littæʕzˈiːb wˈællæ lilʕuʔubˈæːt ˈæw ilmuʕæmlˈæːt ilʔæsˈijjæ ˈæw ilwiħʃˈijjit ˈæw ilħˈaːtˤit bilkiɾˈaːmit
human_rights_un_arz_ef_64kb_0027	ilmˈæddæ
human_rights_un_arz_ef_64kb_0028	lˈækl insˈæːn ˈæjjinmæ wˈægæd ilħæʔ fæj ˈæn jiʕtˈiɾif bæʃaxsˤijjˈitu ilqanunˈijjæ
human_rights_un_arz_ef_64kb_0029	ilmˈæddæ
human_rights_un_arz_ef_64kb_0030	kil innˈæːs sˈæwæsˈijjæ æmˈæːm ilqanun wˈilhum ilħæʔ fæj iltˈæmtæʕ biħæmmˈæːjæ mitkˈæːfiʔit ʕænu dˈoːn ˈæjjit tifæɾʔit kæmæ ˈæn lhum gæmˈiːʕæn ilħæʔ fæj ħæmˈæːjit mitsˈæːwjit dˤˈidd ˈæ tæmjˈiːz jixæll bæhˈæːzæ iliʕlˈæːn wadˤdˤid ˈæ taħɾˈiːdˤ ʕˈælli tæmjˈiːz kæhˈæːzæ
human_rights_un_arz_ef_64kb_0031	ilmˈæddæ
human_rights_un_arz_ef_64kb_0032	lˈækl ʃˈaxsˤ ilħæʔ fæj ˈæn jilgæʔ ili ilmuħˈæːkim ilwatˤanˈijjit liʔˈinnsˤˈaːfu ʕæn æʕmˈæːl fˈiːhæ iʕtidˈæːʔ ʕˈælli ilħuʔˈuːʔ ilusæsˈijjæ itti jimˈænħhæ lu ilqanun
human_rights_un_arz_ef_64kb_0033	ilmˈæddæ
human_rights_un_arz_ef_64kb_0034	læ jigæwwiz ilʔbadˤ ʕˈælli ˈæ insˈæːn ˈæw ħgˈizu ˈæw næfˈiː tæʕˈæssifæ
human_rights_un_arz_ef_64kb_0035	ilmˈæddæ
human_rights_un_arz_ef_64kb_0036	lˈækl insˈæːn ilħæʔ ʕˈælli ʔˈæddim ilmusæwæit ittˈæmmæ mæʕ ilæːxˈiɾˈiːn fæj ˈæn tanðˤaɾ ʔˈadˤdˤˈeːtu æmˈæːm mæħkˈæmæ mustæʔˈillit nizˈiːhæ nˈaðˤaɾan ʕˈædlæ ʕˈælænjæ lilfˈusˤil fæj ħuʔˈuːʔu wæltizˈæːmˈaːtu wˈæʔjit tˈuhmit gænaʔˈijjæ tæwˈæggih lu
human_rights_un_arz_ef_64kb_0037	ilmˈæddæ
human_rights_un_arz_ef_64kb_0038	kil ʃˈaxsˤ mithum bigæɾˈiːmæ juʕtˈabaɾ bˈæɾjʔæn ili ˈæn tˈisbit idˈæntu qanunæ bimuħˈækmit ʕˈælænjæ tiˈuʔmin lu fˈiːhæ idˤdˤamˈaːnˈæːt idˤdˤaɾuɾˈijjæ lildifˈæːʕ ʕænu
human_rights_un_arz_ef_64kb_0039	læ jædˈæːn ˈæ ʃˈaxsˤ min gæɾˈæːʔ ædˈæːʔ ʕæmæl ˈæw iliimˈitnˈæːʕ ʕæn ædˈæːʔ ʕæmæl ilæ izæ kˈæːn zˈæːlik juʕtˈabaɾ gˈuɾmæ wæffˈæʔæn lilʔˈaːnˈuːn ilwatˤanˈijj ˈæw iddæwlˈijj wˈæʔʔæt iliɾtikˈæːb
human_rights_un_arz_ef_64kb_0040	kæzˈæːlik læ tæwʔæʕ ʕælˈeː ʕuʔˈuːbit æʃˈædd min tælæk itti kˈæːn jigæwwiz tæwʔˈiʕhæ wˈæʔʔæt iɾtikˈæːb ilgæɾˈiːmæ
human_rights_un_arz_ef_64kb_0041	ilmˈæddæ
human_rights_un_arz_ef_64kb_0042	læ jiʕɾidˤ æħˈædd lætˈudxul tæʕˈæssifˈeː fæj ħæjˈæːtu ilxˈaːsˤit ˈæw ˈæsɾtu ˈæw misˈiknu ˈæw muɾˈaːsilˈæːtu ˈæw lˈæħæmælˈæːt ʕˈælli ʃæɾɾˈæfu wæsimˈiʕtu
human_rights_un_arz_ef_64kb_0043	wˈilkil ʃˈaxsˤ ilħæʔ fæj ħæmˈæːjit ilqanun min mˈæssil hˈæːzæ ittædˈæxxul ˈæw tælæk ilħæmælˈæːt
human_rights_un_arz_ef_64kb_0044	ilmˈæddæ
human_rights_un_arz_ef_64kb_0045	lˈækl fˈæɾd ħuɾɾˈijjit innʔil wæxtijˈæːɾ mæħˈill iqˈaːmtu dˈæːxil ħudˈuːd kil dˈæwlit
human_rights_un_arz_ef_64kb_0046	jiħæʔʔ lˈækl fˈæɾd ˈæn jiɣˈæːdiɾ ˈæjjit bælˈæːd bˈimæ fæj zˈæːlik bælædih kæmæ jiħæʔʔ lu ilʕˈæwdit ilˈeː
human_rights_un_arz_ef_64kb_0047	ilmˈæddæ
human_rights_un_arz_ef_64kb_0048	lˈækl fˈæɾd ilħæʔ ˈæn jilgæʔ ili bælˈæːd ˈæxɾi ˈæw jiħˈæːwil ilittugˈæːʔ ilˈiːhæ hɾˈaba min ilidˤtˤihˈaːd
human_rights_un_arz_ef_64kb_0049	læ jintˈifiʕ bæhˈæːzæ ilħæʔ min ʔˈæddim lilmuħˈækmit fæj giɾˈæːʔim ɣˈeːɾ sijæsˈijjæ ˈæw liˈæʕmˈæːl tanˈaːqidˤ aɣɾˈaːdˤ ilˈummim ilmuttˈæħidæ wˈæmbædʔhæ
human_rights_un_arz_ef_64kb_0050	ilmˈæddæ
human_rights_un_arz_ef_64kb_0051	lˈækl fˈæɾd ħˈæʔʔ iltˈæmtæʕ biginsˈijjæ mæ
human_rights_un_arz_ef_64kb_0052	læ jigæwwiz ħiɾmˈæːn ʃˈaxsˤ min ginsˈiːtu tæʕˈæssifæ ˈæw inikˈaːɾ ħˈæʔʔu fæj tæɣjiːɾhæ
human_rights_un_arz_ef_64kb_0053	ilmˈæddæ
human_rights_un_arz_ef_64kb_0054	liɾɾˈigl wælmˈaɾʔit mitæ bulɣæ sin izzæwˈæːg ħˈæʔʔ ittæzˈæwwig wˈitæʔsˈiːs ˈæsɾa dˈoːn ˈæ ʔˈiːd bisæbˈæb iggˈænnis ˈæw iddˈiːn
human_rights_un_arz_ef_64kb_0055	wˈilhmæ ħuʔˈuːʔ mitsˈæːwjit ʕˈænæd izzæwˈæːg wˈæʔsnˈæːʔ ʔijˈæːmu wˈaʕnid inħˈællˈæːlu
human_rights_un_arz_ef_64kb_0056	læ jibɾæm ʕˈæʔʔæd izzæwˈæːg ilæ bˈaɾdˤi itˤtˤaɾfˈiːn iɾɾˈæːɣibˈiːn fæj izzæwˈæːg ɾˈidˤi kˈæmlæ læ ikɾˈæː fˈiːh
human_rights_un_arz_ef_64kb_0057	ilˈusɾa hæj ilwˈæħdæ itˤtˤabiʕˈijjit ilusæsˈijjæ lilmugtˈæmæʕ wˈilhæ ħˈæʔʔ iltˈæmtæʕ biħæmmˈæːjæ ilmugtˈæmæʕ wældˈuːlit
human_rights_un_arz_ef_64kb_0058	ilmˈæddæ
human_rights_un_arz_ef_64kb_0059	lˈækl ʃˈaxsˤ ħˈæʔʔ ittæmlik bimˈifɾidæ ˈæw biliʃtiɾˈæːk mæʕ ɣajjˈaɾu
human_rights_un_arz_ef_64kb_0060	læ jigæwwiz tægɾˈiːd æħˈædd min milkˈæh tæʕˈæssifæ
human_rights_un_arz_ef_64kb_0061	ilmˈæddæ
human_rights_un_arz_ef_64kb_0062	lˈækl ʃˈaxsˤ ilħæʔ fæj ħuɾɾˈijjit ittæfkˈiːɾ wældˤamˈiːɾ wældˈeːn
human_rights_un_arz_ef_64kb_0063	wˈæjˈæʃmæl hˈæːzæ ilħæʔ ħuɾɾˈijjit tæɣjˈiːɾ dæjjˈæːntu ˈæw ʕæʔˈiːdtu wˈæħɾˈijjæ iliʕɾˈæːb ʕˈænhmæ bittæʕlˈiːm wælmumˈæɾsæ wˈæiqˈaːma iʃʃiʕˈæːʔiɾ wˈæmaɾɾˈaːʕˈæthæ sæwˈæːʔ ækˈæːn zˈæːlik sˈiɾæ ˈumm mæʕ iggæmˈæːʕæ
human_rights_un_arz_ef_64kb_0064	ilmˈæddæ
human_rights_un_arz_ef_64kb_0065	lˈækl ʃˈaxsˤ ilħæʔ fæj ħuɾɾˈijjit iɾɾˈaʔj wættˈæʕæbˈiːɾ
human_rights_un_arz_ef_64kb_0066	wˈæjˈæʃmæl hˈæːzæ ilħæʔ ħuɾɾˈijjit iʕtˈænnˈæːʔ ilæːɾˈaːʔ dˈoːn ˈæ tˈidxul wastaqˈaːʔ ilænbˈæːʔ wælæfkˈaːɾ wˈætælʔˈiːhæ wˈæʔizæʕˈithæ biˈæjjit wæsˈiːlit kˈæːnit dˈoːn tiʔˈiːd bilħidˈuːd igguɣɾˈafjæ
human_rights_un_arz_ef_64kb_0067	ilmˈæddæ
human_rights_un_arz_ef_64kb_0068	lˈækl ʃˈaxsˤ ilħæʔ fæj ħuɾɾˈijjit iliʃtiɾˈæːk fæj ilgæmæʕˈijjˈæːt wælgimˈæːʕˈæːt issællæmˈijjit
human_rights_un_arz_ef_64kb_0069	læ jigæwwiz ˈiɾɣˈæːm æħˈædd ʕˈælli ilindˤimˈaːm ili gæmæʕˈijjæ mæ
human_rights_un_arz_ef_64kb_0070	ilmˈæddæ
human_rights_un_arz_ef_64kb_0071	lˈækl fˈæɾd ilħæʔ fæj iliʃtiɾˈæːk fæj iddˈæːɾit iʃʃʔˈuːn ilʕˈæmmæ lˈæblˈæːdu mæ mubaːʃˈaɾatan wˈæimæ bæwæstˤit mimˈæssilˈiːn jixtˈaːɾˈoːn ixtijˈaːɾa ħaɾa
human_rights_un_arz_ef_64kb_0072	lˈækl ʃˈaxsˤ nˈæfæs ilħæʔ illæzˈiː liɣajjˈaɾu fæj tæʔlid ilwˈaðˤaːʔˈif ilʕˈæmmæ fæj ilbælˈæːd
human_rights_un_arz_ef_64kb_0073	ˈinn ˈiɾˈæːdæ iʃʃˈæʕb hæj mˈasˤdaɾ sˈultˤit ilħukˈuːmæ wˈijjˈaʕbaɾ ʕæn hˈæzzu iliɾˈæːdæ bænˈitxæbˈæːt nizˈiːhæ dæwæɾˈijjæ tægɾi ʕˈælli æsˈæːs iliqtiɾˈaːʕ issiɾˈiː wˈaʕlæ ʔˈæddim ilmusæwæit bˈeːn iggæmˈiːʕ ˈæw ħˈæssib ˈæ ˈigɾˈaːʔ mumˈæːsil jˈidˤman ħuɾɾˈijjit ittasˤwˈiːt
human_rights_un_arz_ef_64kb_0074	ilmˈæddæ
human_rights_un_arz_ef_64kb_0075	lˈækl ʃˈaxsˤ bˈisˤiftu ʕˈadˤdˤu fæj ilmugtˈæmæʕ ilħæʔ fæj idˤdˤamˈaːnit iligtimæʕˈijjæ wˈæfj ˈæn tiħˈæʔʔæʔ busˈaːtˤa ilmæghˈuːd ilʔˈuːmi wælˈitʕˈæːwin iddæwlˈijj wˈæbˈimæ jittˈifiʔ wˈænˈaðˤðˤam kil dˈæwlit wˈæmwæɾdhæ ilħuʔˈuːʔ iliqtisˤadˈijjit wæligtimæʕˈijjæ wælˈitaɾbˈuːjit itti læ ɣˈæni ʕˈænhæ lˈækɾæmˈitu wˈillˈænæmu ilħˈaɾɾ læʃaxsˤijjˈitu
human_rights_un_arz_ef_64kb_0076	ilmˈæddæ
human_rights_un_arz_ef_64kb_0077	lˈækl ʃˈaxsˤ ilħæʔ fæj ilʕmil wˈilu ħuɾɾˈijjit ixtijˈaːɾu bˈæʃɾˈuːtˤ ʕˈædlit muɾdˤˈijja kæmæ ˈæn lu ħˈæʔʔ ilħæmˈæːjit min ilbatˤtˤˈaːla
human_rights_un_arz_ef_64kb_0078	lˈækl fˈæɾd dˈoːn ˈæ tæmjˈiːz ilħæʔ fæj aggaɾ mitsˈæːw lilʕmil
human_rights_un_arz_ef_64kb_0079	lˈækl fˈæɾd jiʔˈuːm bˈæʕmil ilħæʔ fæj aggaɾ ʕˈæːdil mˈaɾadˤ jikæffil lu wˈilˈusɾtu ʕˈeːʃit lˈæːʔiʔit bˈakaɾˈaːma ilinsˈæːn tidˤˈaːf ilˈeː ʕˈænæd illizˈuːm wæsˈæːʔil ˈæxɾi lilħimˈæːjæ iligtimæʕˈijjæ
human_rights_un_arz_ef_64kb_0080	lˈækl ʃˈaxsˤ ilħæʔ fæj ˈæn jinʃæʔ wˈeːndˤim ili næʔʔæbˈæːt ħæmˈæːjit lˈæmasˤlaħˈitu
human_rights_un_arz_ef_64kb_0081	ilmˈæddæ
human_rights_un_arz_ef_64kb_0082	lˈækl ʃˈaxsˤ ilħæʔ fæj iɾɾˈaːħa ˈæw fæj ˈæwʔˈæːt ilfaɾˈaːɣ wˈællæ sˈiːmæ fæj tæħdˈiːd mæʕʔˈuːl lˈæsæʕˈæːt ilʕmil wˈæfj ʕˈatˤtˤalˈaːt dæwæɾˈijjæ biægaɾ
human_rights_un_arz_ef_64kb_0083	ilmˈæddæ
human_rights_un_arz_ef_64kb_0084	lˈækl ʃˈaxsˤ ilħæʔ fæj mistˈæwæ min ilmuʕˈiːʃit kˈæːf lilmuħˈafðˤa ʕˈælli isˤsˤˈiħħa wælɾafahˈijjit lu wˈilˈusɾtu
human_rights_un_arz_ef_64kb_0085	wˈeːtdˤˈimin zˈæːlik ittæɣzˈijæ wælmilˈæbbis wælmusˈækkin wˈæːliʕnˈæːjit itˤtˤabjit wˈækkzˈæːlik ilxædæmˈæːt iligtimæʕˈijjæ illˈæzmit
human_rights_un_arz_ef_64kb_0086	wˈilu ilħæʔ fæj tæʔmˈiːn mæʕˈiːʃtu fæj ħælˈæːt ilbatˤtˤˈaːla wælmˈaɾadˤ wælʕˈæggiz wælˈitɾˈammil wælʃæjxˈuːxit wæɣˈiːɾ zˈæːlik min fæʔædˈæːn wæsˈæːʔil ilʕˈiːʃ nætˈiːgæ laðˤɾˈuːf xæːɾˈigit ʕæn ˈiɾˈædtu
human_rights_un_arz_ef_64kb_0087	lilumˈuːmæ wæltˤufˈuːlæ ilħæʔ fæj misˈæʕdæ waɾʕˈaːjit xˈaːsˤsˤitˈeːn
human_rights_un_arz_ef_64kb_0088	wˈeːnʕæm kil ilˈutˤfˈaːl binˈæfs ilħæmˈæːjit iligtimæʕˈijjæ sæwˈæːʔ ækˈæːnit wilˈædtˈuhum nˈæːtigit ʕæn ɾabˈaːtˤ ʃaɾʕˈijj ˈumm bitˤaɾˈiːʔit ɣˈeːɾ ʃaɾʕˈijjit
human_rights_un_arz_ef_64kb_0089	ilmˈæddæ
human_rights_un_arz_ef_64kb_0090	lˈækl ʃˈaxsˤ ilħæʔ fæj ittæʕlæm
human_rights_un_arz_ef_64kb_0091	wˈeːgib ˈæn jikˈuːn ittæʕlˈiːm fæj mæɾæħˈillu ilæwwˈæli wælusæsˈijjæ ʕˈælli ˈilæʔæl bilmæggˈæːn wˈæʔn jikˈuːn ittæʕlˈiːm ilæwlæj ilzˈæmjæ wˈeːnbˈæɣˈiː ˈæn jiʕˈæmmim ittæʕlˈiːm ilfˈænj wælmuhænj wˈæʔn jijˈæssiɾ ilʔbˈuːl littæʕlˈiːm ilʕˈælj ʕˈælli ʔˈæddim ilmusæwæit ittˈæmmæ lilgæmˈiːʕ wˈaʕlæ æsˈæːs ilkifˈæːʔæ
human_rights_un_arz_ef_64kb_0092	jigib ˈæn tæhdif ittæɾbˈijjæ ili inæmˈæːʔ ʃaxsˤˈijjit ilinsˈæːn inæmˈæːʔ kˈæmlæ wˈæili tæʕzˈiːz iħtiɾˈæːm ilinsˈæːn wælħuɾɾijjˈæːt ilusæsˈijjæ wˈitnmˈijjæ iltifˈæːhim wælˈitsˈæmħ wælsˤadˈaːʔit bˈeːn gæmˈiːʕ iʃʃˈæʕˈuːb wælgimˈæːʕˈæːt ilʕˈansˤɾjæ ˈæw iddˈeːnjæ wˈæili zijˈæːdæ mæghˈuːd ilˈummim ilmuttˈæħidæ liħfaðˤ issælˈæːm
human_rights_un_arz_ef_64kb_0093	lilˈæːbˈæːʔ ilħæʔ ilˈuwil fæj ixtijˈæːɾ nˈoːʕ tæɾbˈijjæ ˈæwilˈædhum
human_rights_un_arz_ef_64kb_0094	ilmˈæddæ
human_rights_un_arz_ef_64kb_0095	lˈækl fˈæɾd ilħæʔ fæj ˈæn jiʃtiɾik iʃtiɾˈæːkæ ħaɾa fæj ħæjˈæːt ilmugtˈæmæʕ issaqˈaːfj wˈæfj ilistimtˈæːʕ bilfunˈuːn wælmusˈæhmit fæj ittaqˈaddum ilʕˈilmæ wælˈæstæfˈæːdæ min nitˈæːʔgih
human_rights_un_arz_ef_64kb_0096	lˈækl fˈæɾd ilħæʔ fæj ħæmˈæːjit ilmusˤˈaːliħ iladabbˈijjit wælmæddˈijjæ ilmˈitɾtˈæbæ ʕˈælli intˈæːgu ilʕˈilmæ ˈæw iladabbˈeː ˈæw ilfˈænj
human_rights_un_arz_ef_64kb_0097	ilmˈæddæ
human_rights_un_arz_ef_64kb_0098	lˈækl fˈæɾd ilħæʔ fæj iltˈæmtæʕ biniðˤˈaːm igtimæːʕijj dæwlˈijj titħˈæʔʔæʔ bimuʔtˈadˤˈæː ilħuʔˈuːʔ wælħuɾɾijjˈæːt ilmansˤˈuːsˤ ʕælˈiːhæ fæj hˈæːzæ iliʕlˈæːn tiħæʔʔˈæʔæn tˈæːmæ
human_rights_un_arz_ef_64kb_0099	ilmˈæddæ
human_rights_un_arz_ef_64kb_0100	ʕˈælli kil fˈæɾd wægibˈæːt niħæww ilmugtˈæmæʕ illæzˈiː jitˈæːħ fˈiːh wˈæħdu læʃaxsˤijjˈitu ˈæn tænæmu nˈimu ħaɾa kˈæmlæ
human_rights_un_arz_ef_64kb_0101	jixˈadˤaʕ ilfˈæɾd fæj mumˈæɾstu ħuʔˈuːʔu litlik ilʔijˈuːd itti jiqaɾɾˈaɾha ilqanun fˈaʔʔatˤ ladˤamˈaːn iliʕtiɾˈæːf bæħuʔˈuːʔ ilɣˈajjaɾ wæħæɾijjˈæːtu wˈæːħtiɾæmhæ wˈiltæħʔˈiːʔ ilmuʔtadˤajˈaːt ilʕˈædlit lilniðˤˈaːm ilʕˈæːm wælmasˤlˈaħa ilʕˈæmmæ wælaxlˈæːʔ fæj migtˈimiʕ dimuʔɾaˈatˤj
human_rights_un_arz_ef_64kb_0102	jisˤaħħ bæħħˈæːl min ilaħwˈæːl ˈæn tæmˈæːɾis hˈæzzu ilħuʔˈuːʔ mumˈæɾsæ tætnˈaːʔidˤ mæʕ aɣɾˈaːdˤ ilˈummim ilmuttˈæħidæ wˈæmbædʔhæ
human_rights_un_arz_ef_64kb_0103	ilmˈæddæ
human_rights_un_arz_ef_64kb_0104	lˈiːs fæj hˈæːzæ iliʕlˈæːn nasˤ jigæwwiz tæʔwˈiːlu ʕˈælli ˈænu jixæwwil lˈiduwælit ˈæw gæmˈæːʕæ ˈæw fˈæɾd ˈæ ħˈæʔʔ fæj ilʔijˈæːm binʃˈaːtˤ ˈæw tæʔdˈijjæ ʕæmæl jihdif ili hˈædm ilħuʔˈuːʔ wælħuɾɾijjˈæːt ilwæɾdæ fˈiːh
