human_rights_un_grc_pi_64kb_0001	ikumenikli ðiaklirfksi ŋiaː taː anθropinaː ðikaomaːtaː
human_rights_un_grc_pi_64kb_0012	ðiakirssi ti i prˈusa oikumenik ðiakrvksi ton ðikenomˈaton tu anθrˈopu apoteleˈez to cin iðaŋnik sto opoˈezo prˈepi na katateˈiun li i laoˈez ke la ta ˈeθni ˈetsi ˈoste kˈaθe ˈatomo ke kˈaθe rɣano tis cinonˈezas me ti ðiakrvksi aft ðiarkˈos sti scˈepsi na katavˈalli me ti ðiðaŋsaia ke tin peðeˈeza kˈaθe prˈiospˈaθia ŋia na anaptvxθeˈez o sevasms ton ðikenomˈaton ke ton elefθeriˈon aftˈon ke na eksasfalisteˈez prˈiooðeftikˈa me esnoterikˈa ke ðieθn mˈesa i pɡsmia ke apotelesmtik efarmoŋ tus tso anˈamesa stus laˈus ton ˈezðinon ton kratˈon melˈon so ke anˈamesa stus pliθvsmˈus xorˈon pu vrˈizskode sti ðikeoðosˈeza tus
human_rights_un_grc_pi_64kb_0013	arθro
human_rights_un_grc_pi_64kb_0014	li i ˈanθropi ʝnniˈude eleθeri ke ˈezsi stin aksioprˈepia ke ta ðikeˈomta
human_rights_un_grc_pi_64kb_0015	eˈie prˈiikismˈeni me loŋɡik ke svneˈezðisi ke ofeˈezlun na simberifˈerode metaks tus me pnem aðelfosˈiis
human_rights_un_grc_pi_64kb_0016	arθro
human_rights_un_grc_pi_64kb_0017	kˈaθe ˈanθropos ðikeˈute na epikaleˈezte la ta ðikeˈomta ke les tis elefθerˈizes pu prˈiokirssi i prˈusa ðiakrvksi xorˈizs kamˈiza apoltos ðiˈakrisi iðiktera nos prˈios ti fvl to xrˈom to flo ti ŋlˈossa tis θriseˈezes tis politikˈes opiesðpote ˈalles pepiθsis tin eθnik cinonik kataŋnoŋɡ tin periusˈeza ti ŋˈennisi opiaðpote ˈalli katˈastasi
human_rights_un_grc_pi_64kb_0018	ðen θa boreˈez akm na ŋˈiete kamˈiza ðiˈakrisi eksetˈezas tu politikˈu nomikˈu ðieθnˈus kaθestˈotos tis xˈoras ap tin opoˈeza prˈioˈerxete kaneˈezs eˈezte prˈikite ŋia xˈora eðaŋfik periox aneksˈartiti ip kiðemonˈeza ipeksusˈeza pu vrˈizsete ip opionðpote ˈallon periorism kvriarxˈezas
human_rights_un_grc_pi_64kb_0019	arθro
human_rights_un_grc_pi_64kb_0020	kˈaθe ˈatomo ˈexi ðikaˈeznom sti o tin elefθerˈiza ke tin prˈiosnopik tu asfˈalia
human_rights_un_grc_pi_64kb_0021	arθro
human_rights_un_grc_pi_64kb_0022	kaneˈezs ðen epitrˈepete na zi ip kaθestˈos ðuleˈezas oliks meriks
human_rights_un_grc_pi_64kb_0023	i ðuleˈeza ke to ðulebrio ip opiaðpote morf apŋoreode
human_rights_un_grc_pi_64kb_0024	arθro
human_rights_un_grc_pi_64kb_0025	kaneˈezs ðen epitrˈepete na ipovˈallete se vasanistria ˈute se pin metaxeˈezrisi slir apˈanθropi tapinotik
human_rights_un_grc_pi_64kb_0026	arθro
human_rights_un_grc_pi_64kb_0027	kaθˈenas pu ke an vrˈizsete ˈexi ðikaˈeznom stin anaɣnˈorisi tis nomiks tu prˈiosnopiktitas
human_rights_un_grc_pi_64kb_0028	arθro
human_rights_un_grc_pi_64kb_0029	li eˈie ˈezsi apˈenadi ston nmo ke ˈexun ðikaˈeznom se ˈezsi prˈiostasˈeza tu nmu xorˈizs kamˈiza apoltos ðiˈakrisi
human_rights_un_grc_pi_64kb_0030	li ˈexun ðikaˈeznom se ˈezsi prˈiostasˈeza ap kˈaθe ðiˈakrisi pu θa pravˈezaze tin prˈusa ðiakrvksi ke ap kˈaθe prˈiklisi ŋia mia tˈetia ðvsmen ðiˈakrisi
human_rights_un_grc_pi_64kb_0031	arθro
human_rights_un_grc_pi_64kb_0032	kaθˈenas ˈexi ðikaˈeznom na aseˈez apotelesmtikˈa ˈenðika mˈesa sta armðia eθnikˈa ðikastria katˈa ton prˈaksenon pu praviˈazun ta θemeliakˈa ðikeˈomta ta opoˈeza tu anaɣnorˈizzun to sˈitaŋɡm ke o nmos
human_rights_un_grc_pi_64kb_0033	arθro
human_rights_un_grc_pi_64kb_0034	kaneˈezs ðen boreˈez na svllamvˈanete na krateˈezte na eksorˈizzete afθaˈezreta
human_rights_un_grc_pi_64kb_0035	arθro
human_rights_un_grc_pi_64kb_0036	kaθˈenas ˈexi ðikaˈeznom me plri istita na ekðikˈazete i ipθes tu ðˈezkea ke ðimsia ap ðikastrio aneksˈartito ke amerlipto pu θa apofasˈezsi eˈezte ŋia ta ðikeˈomta ke tis ipoxreˈosis tu eˈezte se perˈizptosi piniks ðiaðikasˈezas ŋia to vˈasimo tis katiŋɡorˈizas pu strˈefete enadˈezon tu
human_rights_un_grc_pi_64kb_0037	arθro
human_rights_un_grc_pi_64kb_0038	kˈaθe katiɣorˈumenos ŋia pinik aðˈezkim prˈepi na θeoreˈezte aθˈoos nostu ðiapistoθeˈez i enox tu smfnona me ton nmo se pinik ðˈezki katˈa tin opoˈeza θa tu ˈexun eksasfalisteˈez les i apraˈeztites ŋia tin iperˈaspis tu eɡvsis
human_rights_un_grc_pi_64kb_0039	kaneˈezs ðen θa kataðikˈazete ŋia prˈaksis praleˈezpsis pu katˈa ton xrno pu telˈestikan ðen svnistˈusan aksipino aðˈezkim katˈa to esnoterik to ðieθnˈes ðˈezkeo
human_rights_un_grc_pi_64kb_0040	epˈizsis ðen epivˈallete pin varteri ap ekeˈii pu ˈezsxve katˈa ton xrno pu telˈestike i aksipini prˈaksi
human_rights_un_grc_pi_64kb_0041	arθro
human_rights_un_grc_pi_64kb_0042	kaneˈezs ðen epitrˈepete na iposteˈez afθaˈezretes epemvˈasis stin iðinotik tu o tin ioŋˈenia tin katikˈeza tin alliloŋɡrafˈeza tu ˈute prˈiosvolˈes tis tims ke tis iplipsis tu
human_rights_un_grc_pi_64kb_0043	kaθˈenas ˈexi to ðikaˈeznom na ton prˈiostateun i nmi ap epemvˈasis ke prˈiosvolˈes aftˈu tu eˈezðus
human_rights_un_grc_pi_64kb_0044	arθro
human_rights_un_grc_pi_64kb_0045	kaθˈenas ˈexi to ðikaˈeznom na kvkloforeˈez eleθera ke na eklˈeʝi ton tpo tis ðiamons tu sto esnoterik ens krˈatus
human_rights_un_grc_pi_64kb_0046	kaθˈenas ˈexi to ðikaˈeznom na eɡataleˈezpi opiaðpote xˈora akm ke ti ðik tu ke na epistrˈefi se aftn
human_rights_un_grc_pi_64kb_0047	arθro
human_rights_un_grc_pi_64kb_0048	kˈaθe ˈatomo pu kataðiˈokete ˈexi to ðikaˈeznom na zitˈa ˈasvlo ke tu prˈexete ˈasvlo se ˈalles xˈores
human_rights_un_grc_pi_64kb_0049	to ðikaˈeznom aft ðen boreˈez kaneˈezs na to epikalesteˈez se perˈizptosi ðˈeznoksis ŋia praŋɡmtik aðˈezkim tu cinˈu pinikˈu ðikaˈezu ŋia enˈerʝies adˈezθetes prˈios tus skopˈus ke tis arxˈes tu oie
human_rights_un_grc_pi_64kb_0050	arθro
human_rights_un_grc_pi_64kb_0051	kaθˈenas ˈexi to ðikaˈeznom mias iθaŋˈenias
human_rights_un_grc_pi_64kb_0052	kaneˈezs ðen boreˈez na steriθeˈez afθaˈezreta tin iθaŋˈeniˈa tu ˈute to ðikaˈeznom na alelˈaksi iθaŋˈenia
human_rights_un_grc_pi_64kb_0053	arθro
human_rights_un_grc_pi_64kb_0054	ap ti stiŋɡm pu θa fθˈasun se ilikˈeza ŋˈamu o ˈanðras ke i ŋfnaˈezka xorˈizs kanˈena periorism eksetˈezas tis fvls tis eθniktitas tis θriseˈezas ˈexun to ðikaˈeznom na pdreode ke na iðrun ioŋˈenia
human_rights_un_grc_pi_64kb_0055	ke i ðo ˈexun ˈezsa ðikeˈomta nos prˈios ton ŋˈamo katˈa ti ðiˈarkia tu ŋˈamu ke katˈa ti ðiˈalims tu
human_rights_un_grc_pi_64kb_0056	ŋˈamos ðen boreˈez na svnafθeˈez prˈa mno me eleθeri ke plri svnaˈiesi ton mellonmfnon
human_rights_un_grc_pi_64kb_0057	i ioŋˈenia eˈie to fvsik ke to vasik stixeˈezo tis cinonˈezas ke ˈexi to ðikaˈeznom prˈiostasˈezas ap tin cinonˈeza ke to krˈatos
human_rights_un_grc_pi_64kb_0058	arθro
human_rights_un_grc_pi_64kb_0059	kˈaθe ˈatomo mno tu me ˈallus mzˈez ˈexi to ðikaˈeznom tis iðioktisˈezas
human_rights_un_grc_pi_64kb_0060	kaneˈezs ðen boreˈez na steriθeˈez afθaˈezreta tin iðioktisˈeza tu
human_rights_un_grc_pi_64kb_0061	arθro
human_rights_un_grc_pi_64kb_0062	kˈaθe ˈatomo ˈexi to ðikaˈeznom tis elefθerˈizas tis scˈepsis tis svneˈezðisis ke tis θriseˈezas
human_rights_un_grc_pi_64kb_0063	sto ðikaˈeznom aft perilamvˈanete i elefθerˈiza ŋia tin allaɣ tis θriseˈezas pepiθsenon pnos ke i elefθerˈiza na ekðilˈoni kaneˈezs ti θriseˈeza tu tis θriseftikˈes tu pepiθsis mnos mzˈez me ˈallus ðimsia iðinotikˈa me ti ðiðaŋsaia tin ˈasisi ti latreˈeza ke me tin tˈelesi θriseftikˈon teletˈon
human_rights_un_grc_pi_64kb_0064	arθro
human_rights_un_grc_pi_64kb_0065	kaθˈenas ˈexi to ðikaˈeznom tis elefθerˈizas tis ɣnˈomis ke tis ˈekfrasis pu simˈii to ðikaˈeznom na min ifˈezstate ðvsmeneˈezs svnˈepies ŋia tis ɣnˈomes tu ke to ðikaˈeznom na anaziteˈez na pˈezrni ke na ðiaðˈezði pliroforˈizes ke iðˈees me opioðpote mˈeso ˈekfrasis ke ap lo ton ksmo
human_rights_un_grc_pi_64kb_0066	arθro
human_rights_un_grc_pi_64kb_0067	kaθˈenas ˈexi to ðikaˈeznom na svnˈerxete ke na svneterˈizzete eleθera ke ŋia irinikˈus skopˈus
human_rights_un_grc_pi_64kb_0068	kaneˈezs ðen boreˈez na ipoxrenoθeˈez na svmmetˈexi se orismˈeno snomteˈezo
human_rights_un_grc_pi_64kb_0069	arθro
human_rights_un_grc_pi_64kb_0070	kaθˈenas ˈexi to ðikaˈeznom na svmmetˈexi sti ðiakvvˈernisi tis xˈoras tu ˈamesa ˈemmesa me adiprˈiosˈopus eleθera ekleŋɡmˈenus
human_rights_un_grc_pi_64kb_0071	kaθˈenas ˈexi to ðikaˈeznom na ŋˈiete ðekts ip ˈezsus rus stis ðimsies ipiresˈezes tis xˈoras tu
human_rights_un_grc_pi_64kb_0072	i lak θˈelisi eˈie to θemˈelio tis kratiks eksusˈezas
human_rights_un_grc_pi_64kb_0073	i θˈelisi aft prˈepi na ekfrˈazete me tˈezmies ekloŋɡˈes i opoˈezes prˈepi na ðieksˈaŋɡode perioðikˈa me kaθolik ˈezsi ke mvstik psifoforˈiza me adˈezstixi ðiaðikasˈeza pu na eksasfaizi tin elefθerˈiza tis ekloŋs
human_rights_un_grc_pi_64kb_0074	arθro
human_rights_un_grc_pi_64kb_0075	kˈaθe ˈatomo nos mˈelos tu cinonikˈu svnlu ˈexi ðikaˈeznom cinoniks prˈiostasˈezas
human_rights_un_grc_pi_64kb_0076	i cinonˈeza me tin eθnik prˈinotovuia ke ti ðieθn svnerɣasˈeza anˈaloŋɡa pˈada me tin orɣˈanosi ke tis ionomikˈes ðvnattites kˈaθe krˈatus ˈexi xrˈeos na tu eksasfaisi tin ikanopoˈezisi ton ionomikˈon cinonikˈon ke politistikˈon ðikenomˈaton pu eˈie apraˈeztita ŋia tin aksioprˈepia ke tin eleθeri anˈaptvksi tis prˈiosnopiktitˈas tu
human_rights_un_grc_pi_64kb_0077	arθro
human_rights_un_grc_pi_64kb_0078	kaθˈenas ˈexi to ðikaˈeznom na erɣˈazete ke na epilˈeʝi eleθera to epˈaŋɡʝelmˈa tu na ˈexi ðˈezkees ke ikanopiitikˈes svnθkes ðuliˈas ke na prˈiostateete ap tin anerɣˈeza
human_rights_un_grc_pi_64kb_0079	li xorˈizs kamˈiza ðiˈakrisi ˈexun to ðikaˈeznom ˈezsis amivs ŋia ˈezsi erɣasˈeza
human_rights_un_grc_pi_64kb_0080	kˈaθe erɣazmenos ˈexi ðikaˈeznom ðˈezkeis ke ikanopiitiks amivs pu na eksasfaizi se aftn ke tin ioɣˈeniˈa tu svnθkes os ˈaksies stin anθrˈopini aksioprˈepia
human_rights_un_grc_pi_64kb_0081	i amiv tis erɣasˈezas an ipˈarxi prˈepi na simblirˈonete me ˈalla mˈesa cinoniks prˈiostasˈezas
human_rights_un_grc_pi_64kb_0082	kaθˈenas ˈexi to ðikaˈeznom na iðri mzˈez me ˈallus svnðikˈata ke na svmmetˈexi se svnðikˈata ŋia tin prˈioˈaspisi ton svmferdnon tu
human_rights_un_grc_pi_64kb_0083	arθro
human_rights_un_grc_pi_64kb_0084	kaθˈenas ˈexi to ðikaˈeznom stin anˈapfsi se eleθero xrno ke iðiaˈeztera se loŋɡik periorism tu xrnu erɣasˈezas ke se perioðikˈes ˈaðies me plris apoðoxˈes
human_rights_un_grc_pi_64kb_0085	arθro
human_rights_un_grc_pi_64kb_0086	kaθˈenas ˈexi ðikaˈeznom se ˈena viotik epˈizpeðo ikan na eksasfaisi ston ˈezðio ke stin ioŋˈenia tu iʝˈeza ke efimerˈiza ke iðiktera trof ruxism katikˈeza iatrik perˈizθalpsi pnos ke tis apraˈeztites cinonikˈes ipiresˈezes
human_rights_un_grc_pi_64kb_0087	xi akm ðikaˈeznom se asfˈalisi ŋia tin anerɣˈeza tin arrˈostia tin anapirˈiza ti xireˈeza ti ʝrodik ilikˈeza pnos ke ŋia les tis ˈalles periptˈosis pu stereˈezte ta mˈesa tis svdriss tu eksetˈezas peristˈasenon aneksartton tis θˈelisis tu
human_rights_un_grc_pi_64kb_0088	i mitrtita ke i peðik ilikˈeza ˈexun ðikaˈeznom iðiks mˈerimnas ke perˈizθalpsis
human_rights_un_grc_pi_64kb_0089	la ta peðiˈa aneksˈartita an eˈie nmim eksˈoŋɡam apolamvˈanun tin ˈezðia cinonik prˈiostasˈeza
human_rights_un_grc_pi_64kb_0090	arθro
human_rights_un_grc_pi_64kb_0091	kaθˈenas ˈexi ðikaˈeznom stin ekpˈezðefsi
human_rights_un_grc_pi_64kb_0092	i ekpˈezðefsi prˈepi na prˈexete ðoreˈan tuelˈaxiston sti stixiˈoði ke vasik vaθmˈizðaŋ tis
human_rights_un_grc_pi_64kb_0093	i stixiˈoðis ekpˈezðefsi eˈie ipoxrenotik
human_rights_un_grc_pi_64kb_0094	i texnik ke epŋɡʝelmtik ekpˈezðefsi prˈepi na eksasfaizete ŋia lus
human_rights_un_grc_pi_64kb_0095	i prˈisvasi stin anˈotati peðeˈeza prˈepi na eˈie anikt se lus ip ˈezsus rus anˈaloŋɡa me tis ikadites tus
human_rights_un_grc_pi_64kb_0096	i ekpˈezðefsi prˈepi na apovlˈepi stin plri anˈaptvksi tis anθrˈopinis prˈiosnopiktitas ke stin enˈezsxvsi tu sevasmˈu ton anθropˈinon ðikenomˈaton ke ton θemeliakˈon elefθeriˈon
human_rights_un_grc_pi_64kb_0097	prˈepi na prˈioˈaʝi tin katanisi tin anektiktita ke ti fiia anˈamesa se la ta ˈeθni ke se les tis fvlˈes ke tis θriseftikˈes omˈaðes ke na efnoeˈez tin anˈaptvksi ton ðrastiriotton ton inomˈenon eθnˈon ŋia ti ðiatrisi tis irnis
human_rights_un_grc_pi_64kb_0098	oi ŋoneˈezs ˈexun katˈa prˈioteretita to ðikaˈeznom na epilˈeŋɡun to eˈezðos tis peðeˈezas pu θa ðoθeˈez sta peðiˈa tus
human_rights_un_grc_pi_64kb_0099	arθro
human_rights_un_grc_pi_64kb_0100	kaθˈenas ˈexi to ðikaˈeznom na svmmetˈexi eleθera stin pnefmtik o tis ciditas na xaˈezrete tis kalˈes tˈexnes ke na metˈexi stin epistimonik prˈioðo ke sta aŋɡaθˈa tis
human_rights_un_grc_pi_64kb_0101	kaθˈenas ˈexi to ðikaˈeznom na prˈiostateode ta iθikˈa ke ilikˈa svmfˈerodˈa tu pu aporrˈeun ap kˈaθe eˈezðus epistimonik loŋɡotexnik kallitexnik praɣnoŋ tu
human_rights_un_grc_pi_64kb_0102	arθro
human_rights_un_grc_pi_64kb_0103	kaθˈenas ˈexi to ðikaˈeznom na epikrateˈez mia cinonik ke ðieθns tˈaksi mˈesa stin opoˈeza ta ðikeˈomta ke i elefθerˈizes pu prˈiokirssi i prˈusa ðiakrvksi na boroˈi na praɣmtˈonode se li tus tin ˈektasi
human_rights_un_grc_pi_64kb_0104	arθro
human_rights_un_grc_pi_64kb_0105	to ˈatomo ˈexi kaθcda apˈenadi stin cidita mˈesa sta plaˈezsia tis opoˈezas ke mno eˈie ðvnat i eleθeri ke olokliromˈeni anˈaptvksi tis prˈiosnopiktitˈas tu
human_rights_un_grc_pi_64kb_0106	stin ˈasisi ton ðikenomˈaton tu ke stin aplafsi ton elefθeriˈon tu kaneˈezs ðen ipkite prˈa mno stus periorismˈus pu orˈizzode ap tus nmus me apoklistik skop na eksasfaizete i anaɣnˈorisi ke o sevasms ton ðikenomˈaton ke ton elefθeriˈon ton ˈallnon ke na ikanopiˈude i ðˈezkees apetsis tis iθiks tis ðimsias tˈaksis ke tu ʝnikˈu kalˈu se mia ðimokratik cinonˈeza
human_rights_un_grc_pi_64kb_0107	ta ðikeˈomta aftˈa ke i elefθerˈizes ðen boroˈi se kamˈiza perˈizptosi na askˈude adˈezθeta prˈios tus skopˈus ke tis arxˈes ton inomˈenon eθnˈon
human_rights_un_grc_pi_64kb_0108	arθro
human_rights_un_grc_pi_64kb_0109	kamiˈa ðiˈataksi tis prˈusas ðiakrvksis ðen boreˈez na erminefθeˈez ti prˈexi se ˈena krˈatos se mia omˈaðaŋ se ˈena ˈatomo opioðpote ðikaˈeznom na epiðˈezðete se enˈerʝies na ekteleˈez prˈaksis pu apovlˈepun stin ˈarnisi ton ðikenomˈaton ke ton elefθeriˈon pu eksaɡˈellode se aftn
